games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z-GAME-WENT-OT
457,3001,98,3255,-927,67,-2200,1084,1276
157,4124,17,2551,-2304,86,-1648,670,930
0,-4608,17,1659,-3731,17,-1210,1286,298
0,-4608,17,324,-4304,17,-991,2374,359
0,-4608,17,-145,-5306,17,-811,3403,436
0,-4608,17,-385,-5507,23,-645,4354,175
0,-4608,17,-454,-5551,25,-497,5199,217
0,-4557,17,-454,-5551,25,-495,5208,217
277,-3762,17,-454,-5551,25,-495,5208,217
1453,-3414,17,-454,-5551,25,-495,5208,217
2666,-4103,17,-454,-5551,25,-495,5208,217
3772,-3510,17,256,-3840,16,0,0,93
3388,-2612,17,256,-3840,16,0,0,93
2386,-2818,17,256,-3840,16,0,0,93
1253,-3078,43,256,-3840,16,0,0,93
-174,-2963,88,256,-3840,16,0,0,93
-1801,-2714,17,255,-3797,17,0,0,93
-2863,-1345,17,135,-3012,17,0,0,93
-3285,137,17,-28,-1636,17,0,0,93
-3254,1838,17,-10,-236,84,-28,-21,97
-3068,3458,17,-452,-147,62,-1700,589,93
-2366,4193,17,-1038,-116,17,-3263,1167,93
-1528,3670,17,-2223,-21,17,-3997,1578,499
-1728,2673,17,-3560,-102,17,-3978,1870,953
-1957,1627,81,-3857,-1134,19,-3959,2155,1051
-1953,343,80,-3684,-2530,17,-3942,2424,815
-1943,-1105,17,-3216,-4166,17,-3925,2690,253
-1148,-2131,17,-2052,-5018,33,-3603,2925,183
91,-2882,17,-739,-5088,79,-3254,3131,126
1379,-3296,17,-23,-5116,17,-2909,3441,293
2559,-3779,17,0,-5410,19,-3418,3025,1642
3832,-3850,22,-151,-5175,17,-3824,2641,1389
4079,-2605,659,-195,-5117,17,-3460,2308,731
3670,-1586,15,-162,-5167,17,-2598,1999,131
2528,-2040,17,-71,-5425,20,-1927,1755,431
1492,-3462,17,-53,-5339,17,-1221,1346,478
728,-4918,17,68,-5023,17,-310,-78,747
-577,-4874,17,474,-4852,17,612,-1519,678
-2115,-4420,17,482,-4850,17,1524,-2945,259
-3559,-3661,17,482,-4850,17,2814,-3185,145
-3914,-2189,30,286,-4918,17,3998,-3079,228
-3167,-894,17,10,-5044,17,3374,-3537,752
-1710,-1408,17,306,-5038,17,2215,-4593,917
-556,-2599,17,297,-5024,17,1268,-4621,778
-21,-3900,17,436,-4520,17,545,-3986,322
-854,-4845,17,-21,-3355,168,-109,-3157,394
-2091,-4537,192,-644,-1906,114,-873,-1626,737
-3507,-3987,231,-1510,-576,17,-1620,-128,734
-4079,-3339,428,-3040,-276,17,-2358,1353,388
-4043,-2337,1118,-3736,476,17,-2839,1561,411
-3787,-1052,1562,-3726,396,17,-3002,152,840
-3836,499,1644,-3109,447,17,-3160,-1211,921
-3763,2191,1487,-2436,-638,17,-3319,-2590,657
-3694,3855,973,-1865,-2109,17,-3472,-3904,111
-3325,4626,89,-1089,-3613,17,-3305,-4359,379
-2769,3723,17,-1646,-4560,17,-2768,-4296,311
-2257,3475,17,-1621,-4559,17,-3896,-3140,133
-1346,3116,192,-997,-4622,17,-3895,-2152,1014
-465,3152,225,-258,-4905,17,-3824,-1194,1588
400,3224,48,-163,-4881,17,-3755,-247,1811
1005,2504,17,-21,-4314,17,-3664,679,1705
354,1158,17,-13,-4142,17,-3062,2179,1454
-550,87,90,-4,-3942,17,-2466,3663,855
-1259,-1130,41,28,-3238,17,-1927,5010,177
-1466,-1544,17,4,-2315,17,-1685,4451,588
-1479,-1098,17,-9,-2118,17,-1459,3892,638
-849,-875,17,-8,-2125,17,-1231,3326,341
-199,-1615,105,-17,-1993,17,-924,3110,186
580,-2577,20,-30,-1755,17,-863,2542,268
1601,-3221,17,-106,-2218,17,-804,1986,131
2605,-3630,17,-59,-3026,17,-772,971,245
3038,-4573,17,-102,-3865,17,-771,-852,276
2081,-4876,17,-293,-4541,17,-765,-2638,142
1194,-3933,17,-700,-4219,89,-822,-4075,146
564,-2295,17,-1423,-3746,73,-1896,-3555,406
295,-643,17,-2193,-3496,17,-2934,-3052,309
1305,291,17,-3061,-4211,17,-3835,-2636,172
2620,844,17,-2830,-4672,17,-3764,-2341,468
3130,1933,17,-2817,-3787,17,-3493,-2071,479
3525,3075,128,-3088,-2589,17,-3225,-1804,146
3939,2960,144,-3197,-890,94,-2775,-862,539
4071,2813,206,-3168,560,16,-2094,612,901
4010,2070,91,-2322,1356,17,-1437,2037,911
3750,882,111,-1650,678,17,-794,3430,583
3415,-562,53,-1675,-377,17,555,3795,982
3179,-2277,17,-2184,-1320,17,1987,4070,1128
2661,-3885,17,-2295,-2294,17,3370,4336,922
1495,-4722,17,-1837,-3096,17,3509,3660,505
-4,-4560,17,-1084,-3830,17,3658,3012,567
-398,-3937,17,-177,-4173,17,3856,2655,1612
-289,-4267,17,36,-4474,17,3478,2351,1828
-209,-3940,17,101,-4893,17,3081,2084,1296
385,-3151,17,123,-5033,17,2693,1823,430
1244,-2825,17,76,-4866,17,1243,294,194
2122,-2246,17,-570,-4613,17,-288,-1343,181
2881,-1509,17,-1857,-4347,17,-1693,-2847,140
2868,-528,196,-2599,-3289,91,-3205,-2990,330
3024,711,535,-3030,-2026,41,-3490,-1712,570
3526,1860,517,-2906,-1012,17,-2529,-637,458
4044,3090,253,-1895,-1103,17,-1542,-179,169
3987,3934,155,-753,-1559,63,-587,-1376,153
3258,3849,17,634,-1230,107,853,-931,459
2458,3406,17,1882,-966,17,2245,-501,415
2465,2345,17,2817,-1631,17,3542,-104,111
2887,963,17,3085,-2990,17,3716,153,504
3618,-159,17,2815,-4537,17,3283,373,702
3476,-1773,17,1694,-5056,60,3055,876,811
3040,-3319,17,579,-4619,17,3436,2371,1402
3145,-4441,49,229,-4802,17,3797,3783,1632
3588,-4452,390,99,-5100,17,3129,4267,1201
3688,-4268,889,101,-5054,17,2309,4520,410
3428,-4459,869,105,-4958,17,2485,3862,620
3136,-4682,586,102,-5018,17,3139,2780,1095
2861,-4890,27,86,-5385,19,3800,1685,1219
3177,-4684,47,127,-5306,17,3758,901,973
3835,-3678,115,186,-5215,17,3383,213,362
4050,-2517,339,199,-5203,17,3341,-1934,131
4079,-2128,456,202,-5199,17,3329,-4154,115
4079,-1954,746,170,-5238,17,3486,-4386,591
4079,-1306,445,150,-5263,17,3553,-4172,799
3829,-542,15,163,-5246,17,3616,-3969,666
3051,698,17,321,-5110,17,3680,-3765,192
2138,2138,17,385,-5066,17,3743,-3705,316
1920,3624,163,423,-5040,17,3803,-3674,262
1892,5067,389,427,-5037,17,3984,-3393,199
1706,4961,428,612,-4674,17,3649,-1874,682
1461,4826,33,123,-4338,17,3310,-410,814
1657,4599,17,-23,-4802,17,2980,1021,605
2472,4130,17,217,-4690,17,2658,2419,109
3389,3442,17,-21,-4023,17,2469,3400,335
2978,2571,17,-5,-3105,17,2274,4415,218
2138,2199,17,-38,-2190,17,2116,4928,270
1062,2213,17,-107,-1115,17,1989,4597,430
160,2364,17,-14,-82,17,2181,4791,745
-206,1530,97,762,284,17,2462,3827,922
-503,244,63,1870,798,17,2727,2917,745
-519,-1286,17,2916,1993,189,3102,2172,295
103,-2579,17,4078,2847,218,3431,3299,413
589,-4041,105,4079,3481,333,2323,4220,215
1178,-4751,431,3334,4072,17,2506,5016,576
2432,-4182,1032,3147,4026,17,2699,4564,712
3613,-3646,1292,3145,4028,17,2884,4093,502
4003,-3149,1263,2476,4857,83,2687,2969,343
-256,-3840,17,2049,5103,285,2187,1291,130
-256,-3840,17,1469,5010,32,1759,-132,176
-256,-3840,17,1656,4015,17,1361,-1457,124
-256,-3840,17,2442,2834,17,908,-2835,97
-256,-3840,17,3390,1329,17,294,-4522,93
-256,-3840,17,3363,-237,17,43,-5212,93
-199,-3450,17,3263,-1562,17,43,-5212,93
-25,-2286,17,2886,-3159,18,43,-5212,93
10,-830,17,3113,-4277,17,43,-5212,93
28,-77,84,0,-4608,18,0,0,93
101,-9,17,0,-4608,16,0,0,93
431,297,17,0,-4608,16,0,0,93
1363,151,46,0,-4608,16,0,0,93
2754,-6,95,0,-4608,16,0,0,93
3977,-285,58,0,-4608,16,0,0,93
4079,-1600,391,0,-4368,17,0,0,93
3662,-3033,17,0,-4487,17,0,0,93
2747,-4402,17,0,-5098,17,0,0,93
1130,-4663,17,0,-5341,18,-435,277,526
-223,-3898,17,-459,-4959,17,-1202,839,954
128,-2707,17,-1561,-4683,17,-1942,1383,1027
1692,-2194,17,-2981,-4130,17,-2659,1908,766
3325,-2360,17,-2711,-3671,17,-3013,1223,420
4080,-3160,444,-2731,-3035,17,-3016,-478,142
3810,-4232,649,-3123,-2145,161,-3048,-1886,234
3121,-4911,439,-3024,-1092,171,-2119,-957,787
2940,-5013,173,-3032,-55,17,-1194,-3,989
2991,-4770,23,-3707,30,17,-290,930,841
3380,-4236,136,-3876,-916,23,584,1832,359
3732,-3610,36,-3881,-2318,23,2136,1315,105
3888,-2777,25,-3127,-3432,17,3973,88,164
4079,-2119,347,-2145,-4088,17,3984,-661,1056
4080,-2157,772,-1019,-4719,17,3964,-1363,1559
4079,-2769,598,-71,-5498,23,3944,-2072,1720
3979,-3530,62,171,-5534,24,3925,-2758,1529
2930,-4047,17,242,-5495,23,3907,-3413,1012
1776,-2998,17,242,-5495,23,3617,-4232,151
869,-1761,17,416,-5333,17,2620,-4400,97
-534,-764,17,1102,-4762,17,1790,-4523,93
-2136,-169,17,1709,-4470,17,2263,-3848,570
-3716,-199,17,1429,-4669,17,3152,-2940,875
-3983,-1439,67,805,-5076,22,3933,-2050,862
