games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z-GAME-WENT-OT
2048,2560,17,0,4608,17,0,0,93
2048,2560,17,0,4608,17,0,0,93
2048,2560,17,0,4608,17,0,0,93
2048,2560,17,0,4608,17,0,0,93
2048,2560,17,0,4608,17,0,0,93
2048,2560,17,0,4608,17,0,0,93
1871,2431,17,0,4608,17,0,0,93
1089,1892,17,0,4608,17,0,0,93
167,837,22,0,4399,17,0,0,93
37,-746,95,63,3687,17,1120,365,111
-156,-2271,17,932,3429,17,2504,810,93
-1606,-2783,17,2324,4063,17,3697,1191,93
-2501,-1795,17,3609,3567,17,3962,1438,523
-3387,-603,17,4057,2381,323,3905,1632,698
-3306,772,17,3600,978,620,3581,991,1318
-1997,1192,17,3104,-343,523,3108,-127,1868
-975,475,17,2591,-1708,90,2721,-1030,1244
152,397,17,2137,-2891,35,2329,-1944,265
1105,3,17,1981,-3220,17,2079,-2527,559
1821,713,17,1981,-3220,17,1861,-3036,787
2658,1078,17,1814,-3465,148,1651,-3527,675
3224,329,17,1398,-4206,287,817,-3847,685
2412,-643,17,988,-5109,216,-896,-3888,1003
842,-1020,17,628,-5148,29,-2515,-3927,976
-652,-963,17,319,-5389,18,-3856,-3828,619
-2095,-1612,97,-1,-4766,17,-3372,-2932,144
-3327,-2486,271,178,-3641,17,-3069,-2856,555
-3992,-3382,243,-37,-2416,17,-3001,-4372,1117
-3777,-4106,81,-367,-2840,17,-2469,-4638,1221
-3696,-3940,17,-778,-3316,223,-1715,-4206,920
-3621,-3202,17,-1268,-4207,411,-1657,-3393,763
-3435,-2258,17,-1755,-5105,385,-2638,-2030,992
-3602,-736,17,-1961,-5103,602,-3587,-713,882
-3518,744,17,-2571,-5102,292,-3710,308,508
-3694,2452,17,-2924,-4470,17,-3180,1057,219
-3145,3261,17,-3248,-3394,101,-2750,1612,359
-2442,3545,17,-3649,-2056,18,-2335,2149,153
-1574,3839,17,-3619,-667,17,-1719,2699,112
-1221,3289,53,-3475,996,95,-1228,2997,134
-552,2802,95,-3372,2706,69,-370,2711,147
242,2516,17,-2925,4239,17,415,2560,118
1253,3211,17,-1508,4652,17,1580,2645,96
2446,3250,17,-236,5283,17,2587,2694,99
3526,2066,17,462,5571,26,3085,1865,279
3564,717,164,468,5581,26,3341,629,259
3182,-566,171,468,5581,26,2634,-856,132
2647,-1960,17,468,5581,26,1500,-1907,114
1363,-2255,90,468,5580,26,-283,-1967,94
-326,-2343,59,377,5349,17,-1924,-2036,93
-1908,-1931,17,-8,5233,17,-3458,-2108,93
-2789,-717,17,-126,5331,17,-4002,-2157,539
-3765,506,17,-383,5332,17,-3664,-1553,724
-3567,1121,17,-573,5774,36,-3263,-831,544
-3049,1551,17,-325,5978,235,-2875,-112,130
-2452,1904,17,-175,5535,24,-2641,495,310
-2166,1496,17,-279,5336,17,-2416,1082,144
-2655,1254,76,-502,4951,17,-3025,814,538
-3174,1038,17,-726,4741,17,-3917,248,791
-3217,322,109,-576,4960,17,-3566,-162,667
-3161,-789,264,-581,4949,17,-3007,-790,600
-2836,-1960,167,-434,4548,17,-2420,-1684,773
-2325,-2933,17,40,4126,17,-1852,-2549,601
-1465,-3086,109,83,3331,17,-1308,-3375,110
-1055,-3185,31,191,2346,17,-902,-3907,320
-660,-3951,17,298,1362,17,-511,-4415,213
-118,-5210,92,239,728,17,-439,-5014,532
457,-5978,304,7,275,17,-1196,-4746,1339
879,-5585,262,-1051,110,17,-1924,-4443,1767
776,-4838,17,-2355,271,17,-2636,-4147,1840
1654,-4205,17,-3657,-47,17,-3309,-3867,1580
2977,-4142,17,-3740,-1370,17,-4006,-3578,959
3822,-2878,18,-3585,-2875,52,-3617,-3328,174
2703,-1935,17,-3451,-4119,205,-3136,-4740,516
1459,-2679,17,-3015,-4918,94,-1926,-4930,537
-10,-2437,17,-2325,-4312,17,-946,-4678,248
-478,-1257,17,-2260,-3059,17,-821,-3997,93
-805,7,17,-2366,-2038,17,-1559,-3224,139
-1696,801,17,-2813,-1125,17,-2664,-2333,112
-2562,1392,17,-3542,-1713,96,-3240,-1370,302
-3458,1527,17,-4047,-2843,157,-2837,-294,818
-3744,2452,17,-3951,-3660,48,-2442,758,978
-3145,3768,17,-3630,-3274,17,-2061,1775,792
-2277,4755,17,-3586,-1994,17,-1624,2811,570
-1084,4834,207,-3486,-475,17,-963,4088,691
-115,4941,432,-3370,1285,17,-381,5212,488
640,3862,1048,-3262,2921,17,-381,5212,488
1474,2591,1434,-3182,4144,17,-381,5212,488
2317,1306,1452,-2868,5053,337,-381,5212,488
3078,148,1148,-2220,5103,699,-381,5212,488
256,3840,17,2048,2560,17,0,0,93
256,3840,17,2048,2560,17,0,0,93
256,3840,17,2048,2560,17,0,0,93
256,3840,17,2048,2560,17,0,0,93
256,3840,17,2048,2560,17,0,0,93
280,3759,17,1990,2496,17,0,0,93
1031,3410,17,1437,1805,17,0,0,93
2076,3884,17,563,708,17,0,0,93
3331,3907,17,-196,525,126,-689,-24,913
3452,2942,17,-651,995,130,-1941,-413,1818
2212,2648,98,-1044,1460,16,-2959,-776,1537
792,2794,81,-704,1880,17,-3888,-1122,719
-858,2923,17,-100,2502,17,-3549,-1349,261
-1780,1672,17,37,3343,17,-3047,-1508,588
-1137,594,17,-36,4398,17,-2285,-879,860
-5,1051,17,-212,5050,17,-1246,559,1105
738,2205,17,-72,5215,17,-183,2030,1003
1112,3506,189,266,4960,17,746,3435,682
1265,4892,458,831,4925,17,1310,4807,631
1778,4985,484,1084,4677,17,1728,4615,772
2297,4868,240,1649,4178,181,2091,4074,575
2604,4711,17,2591,3753,259,2755,3358,163
2302,4266,17,3526,3470,184,3467,2631,406
2430,3482,55,4038,3203,128,3444,2337,826
2748,2767,353,3733,2873,16,3421,2060,902
3363,1825,691,3267,3312,17,3670,1533,722
4080,671,656,2943,4215,17,3396,322,571
4079,564,758,2284,4424,17,2568,-831,113
4079,119,729,1591,4268,17,1969,-1646,311
3820,81,13,770,4690,17,1403,-2417,170
2852,175,17,375,4918,17,1478,-2034,318
2191,-561,92,345,5323,17,1673,-1455,231
1616,-1037,174,287,5519,24,2161,-35,418
1268,-1010,35,333,5445,21,2654,1404,304
947,-599,17,429,5187,17,1914,2274,420
1067,364,85,550,4191,17,1084,3138,231
1219,1531,17,864,3031,101,715,3841,1193
1753,2471,17,1101,2001,16,737,4028,1663
2551,3054,17,366,1520,17,780,4106,642
3279,3793,17,2,2425,17,807,4155,444
2841,4550,17,-52,4078,17,823,4186,864
1828,4690,208,223,5483,22,839,4215,928
883,4597,475,293,5705,31,854,4244,652
266,4242,527,435,5374,18,868,4271,111
-368,3768,309,835,4711,258,883,4300,376
-900,3270,17,932,3745,321,746,3095,514
-1791,3154,17,981,2724,155,572,1579,367
-2770,4006,17,1280,1789,17,417,216,181
