games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
-3002,-4040,17,37,-548,52,0,0,93
-3500,-3376,17,-361,-48,105,-1574,608,450
-3256,-2097,17,-892,-3,17,-3772,1458,656
-2757,-450,17,-918,475,28,-2866,1980,528
-1468,-184,17,-1355,1083,24,-1935,1715,267
-345,-1117,17,-2389,1676,54,-1907,-459,219
-450,-2669,17,-3770,1935,17,-1890,-2540,161
-1198,-4216,17,-4079,1514,712,-1882,-4448,116
-1471,-5103,455,-4074,887,224,-1888,-4927,708
-1735,-5034,1155,-3549,74,22,-1898,-4769,1291
-2315,-4455,1374,-3301,-1317,106,-1912,-4217,1670
-3003,-3774,1234,-3052,-2564,17,-1927,-3348,1804
-3644,-3168,803,-2337,-3768,17,-1941,-2528,1588
-4024,-2384,105,-1335,-4711,17,-1954,-1717,1030
-3139,-2290,17,-280,-5318,35,-1967,-932,151
-2417,-2868,17,236,-5466,21,-1932,-443,529
-1507,-2806,17,0,-5199,17,-1895,18,664
-1628,-1624,17,-61,-4400,17,-1859,480,457
-2282,-512,17,-46,-3516,17,-1825,919,178
-2045,950,46,-70,-2450,17,-1792,1342,282
-1391,2105,160,-53,-1069,17,-883,2398,485
-607,3261,39,328,-215,17,458,3783,553
673,3920,17,1224,-136,17,1686,5011,295
2363,4043,49,2256,-287,17,2477,4270,186
3879,4145,185,3325,-414,17,2970,4308,485
3844,4155,152,3629,159,17,3416,4487,527
3557,4141,17,2859,624,17,3410,4152,195
2854,3799,17,2075,1085,17,2756,3930,107
2075,4193,98,1390,903,17,1845,4301,261
1440,4176,86,645,270,17,819,4713,318
768,4382,17,139,-506,17,732,4905,563
36,3971,17,704,-1200,17,1786,4833,1099
674,3259,17,1703,-1408,17,2853,4760,1284
1900,3064,17,2361,-1023,17,3294,4280,1121
2976,3169,217,2710,-740,17,3439,3572,609
4014,3269,415,2612,-848,17,3780,3862,236
3850,3302,232,2297,-1247,17,2934,4025,94
3748,3378,99,2149,-1465,17,2260,4212,108
3611,3473,17,2052,-952,17,2288,4592,314
3404,3570,17,2265,-282,17,2964,4682,561
3486,3498,210,2337,-136,17,3271,3964,405
3222,3925,248,2347,159,17,3074,4205,195
3000,4357,79,2375,82,17,2759,4712,163
2698,4881,109,2363,109,17,2524,5021,195
2510,5103,203,2127,630,17,2239,4756,1312
2173,4847,16,1800,1152,17,2012,4443,1837
2279,4193,17,1676,1423,17,1820,4100,1104
1766,3723,207,1722,990,17,2048,3305,261
1132,3262,194,1888,164,17,3223,1469,306
537,2766,17,2057,-852,90,3845,-37,325
341,2007,17,2182,-2184,20,3205,-1193,124
-2,1040,17,2192,-3085,17,2694,-2137,166
-165,-230,100,2478,-2699,91,2714,-2291,321
-232,-1515,16,3017,-2232,97,3598,-1167,673
569,-2384,17,3637,-1250,17,3736,-249,655
1406,-1803,17,3526,190,17,3212,511,260
1907,-1027,17,2570,1438,100,2284,1264,377
1414,-121,17,1636,2500,29,1041,2060,515
-122,89,17,810,2663,17,-219,2865,315
-1713,-5,17,407,1875,17,-1334,3557,220
-3395,-91,17,98,990,17,-2321,2949,640
-4035,-103,145,-4,-30,17,-3241,2381,709
-3901,166,28,-487,-483,17,-3889,1846,455
-3435,821,17,-1152,-693,17,-3358,1570,173
-3015,1496,118,-1356,-625,17,-2903,1527,389
-2923,1888,26,-1624,-73,17,-2451,1816,553
-2283,2045,17,-1745,1006,17,-2030,2085,376
-1731,2299,99,-1719,1843,17,-1438,2643,370
-1399,2451,17,-1252,2085,17,-822,3284,264
-499,2218,17,-450,1242,17,-25,3283,153
707,2549,17,129,8,17,744,2914,112
1523,3534,17,1427,-452,17,650,2691,330
2472,3415,17,2691,-326,17,251,2349,345
2375,2384,17,3668,117,17,-116,2035,124
1295,1480,17,2948,116,17,-411,1794,164
90,1014,17,2060,-392,17,-690,1565,122
-919,1144,17,1143,-919,17,-966,1339,97
-1326,1506,17,277,-1030,17,-1197,1704,192
-1405,2082,17,-3,-644,17,-1339,2294,98
-1297,3064,17,-15,-516,17,-1130,3110,118
-553,3532,17,-19,-276,17,-311,3919,96
-211,3507,17,439,-75,17,504,4303,197
-133,3050,43,1083,-569,17,1431,3028,532
107,2124,93,2100,-571,17,2328,1797,500
370,1091,17,3091,283,49,3155,660,146
784,251,17,4071,954,216,3621,1740,441
1658,515,17,4078,1542,258,2718,2853,577
1432,1795,17,3510,1303,17,1844,3929,368
830,2977,17,3224,468,17,922,4425,289
33,3796,17,2884,-567,20,-342,3500,657
-1441,3908,102,2460,-1859,89,-1592,2586,669
-2906,4047,47,2020,-3203,17,-2799,1702,332
-4082,3361,274,1774,-4263,17,-3818,1005,252
-3956,1850,47,893,-4942,17,-3576,530,370
-3570,178,17,79,-5222,17,-3060,103,165
-3396,-1428,17,-175,-4935,17,-2584,-589,210
-2669,-2926,17,-317,-4812,17,-1775,-2253,105
-1176,-3770,16,-873,-4028,54,-962,-3696,135
-21,-3793,32,-171,-3033,130,746,-3946,358
368,-4159,17,408,-2116,17,2456,-4196,239
1123,-4569,17,-220,-1654,17,3675,-4249,421
2115,-4177,17,-982,-2358,17,3956,-3849,940
3113,-3926,17,-2320,-3380,17,3998,-3412,1127
4023,-3680,108,-3020,-4700,19,3995,-3008,956
4079,-2816,299,-2057,-5027,38,3993,-2631,474
3876,-2142,20,-854,-5041,23,3709,-1873,117
3561,-1426,17,91,-5125,17,3426,-1257,204
3064,-637,22,650,-5087,17,2912,-423,110
2259,297,87,657,-5075,17,1576,232,638
1339,1090,17,657,-5075,17,-138,710,1170
-19,1385,17,657,-5075,17,-1814,1177,1343
-1244,974,17,643,-5073,17,-3416,1624,1175
-2321,1478,17,376,-5000,17,-3393,2013,725
-2645,2366,127,339,-4974,17,-2717,2620,202
-2727,3708,74,126,-4719,17,-2794,3980,120
-2923,5026,160,10,-3963,17,-2781,4998,273
-2258,5103,542,-16,-2864,95,-2003,5021,915
-1714,4840,16,-44,-1572,38,-1258,4998,1189
-1103,4479,22,308,-596,17,-578,4978,1127
-48,4768,265,924,17,17,168,4955,703
1111,4827,411,1335,425,17,867,4980,327
2073,4699,318,1510,752,17,1403,4729,94
3077,4539,32,1991,1412,17,2358,4506,93
3244,4293,18,2837,942,17,3157,4233,192
3288,3943,17,3447,248,17,3283,3495,950
2984,3086,95,3471,-636,17,3409,2756,1367
2689,2011,27,3439,-764,17,3531,2034,1428
2736,804,91,3502,-608,17,3651,1328,1142
2933,-486,55,3694,108,249,3765,653,536
3045,-1978,17,3987,1204,278,3818,1952,296
2997,-3408,17,4078,1969,279,3457,3449,149
2535,-4650,17,4079,2229,493,3152,4686,362
1283,-4469,17,3999,2671,77,2350,4663,1203
