games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z
65,-4069,625,59,-4406,17,377,-3455,918
228,-3547,698,56,-4539,17,944,-3700,285
407,-2886,495,541,-4574,17,1793,-3582,375
612,-2210,15,1780,-4254,17,2535,-3477,439
1200,-2149,17,3199,-3616,17,3320,-3367,142
1972,-2214,17,3742,-2697,17,3700,-2506,429
2553,-1695,17,3083,-1965,17,2965,-1682,490
2245,-941,132,2353,-1060,96,2308,-902,275
1760,-90,81,1781,466,88,2137,264,834
1918,595,17,1431,1872,17,1974,1381,1038
2776,416,17,1321,3681,17,1808,2512,898
3502,774,17,1496,4968,19,1679,3567,449
3423,1730,17,2074,4547,17,2973,4082,509
3366,2514,17,2809,4033,17,3492,3846,299
3524,3509,103,-2304,-4595,17,3551,3668,321
3697,4344,284,-2588,-4310,17,3327,3798,608
4047,3833,267,-3113,-3892,17,2529,3505,502
3505,2897,17,-3074,-3093,17,1742,3216,115
2017,2309,17,-2814,-1929,17,1274,3049,272
721,2932,104,-2430,-265,17,732,3209,232
-484,3447,92,-2477,1269,17,-109,4700,410
-1572,3741,17,-256,-3840,17,-398,5213,393
-1624,3949,17,-256,-3840,17,-398,5213,393
-1884,4246,17,-256,-3840,17,-398,5213,393
-2131,4193,17,-256,-3840,17,-398,5213,393
0,-4608,17,-256,-3840,17,0,0,93
0,-4608,17,-256,-3839,17,0,0,93
0,-4608,17,-162,-3345,17,0,0,93
0,-4608,17,-10,-2057,17,0,0,93
0,-4608,17,-20,-659,22,0,0,93
0,-4607,17,144,-138,100,0,0,93
124,-4038,17,288,-52,16,0,0,93
1084,-3393,17,-93,52,17,0,0,93
2369,-3931,17,-885,-43,17,0,0,93
3620,-3958,17,-1702,245,40,-953,109,509
3808,-2660,16,-2886,719,200,-2239,348,791
2515,-1898,17,-4066,1019,185,-3555,592,725
1461,-2780,17,-4079,627,349,-3554,802,417
606,-4039,17,-3974,-104,60,-2858,969,218
-578,-4746,17,-3800,-1294,91,-3173,131,670
-1857,-4826,17,-3664,-2549,36,-3887,-1391,1067
-2307,-4372,68,-3159,-3808,17,-3270,-2492,951
-2696,-3740,306,-2118,-4515,17,-2687,-3532,505
-2755,-2905,333,-892,-4844,17,-1303,-2932,974
-2815,-2144,146,-344,-5479,22,63,-2250,1166
-2667,-1183,17,42,-5728,32,1445,-1560,1011
-1476,-974,17,126,-5599,27,2751,-908,530
-76,-1049,17,222,-5466,21,3997,-882,299
1233,-1805,17,413,-4915,17,3755,-1387,1028
855,-2961,17,361,-3940,17,3522,-1875,1385
-180,-3848,17,-251,-3440,17,2569,-3209,1585
-450,-4823,17,-1179,-3706,17,1552,-4613,1471
233,-4937,17,-2261,-3224,159,694,-4518,1089
169,-4235,17,-2716,-3037,197,-421,-4663,648
544,-3652,17,-3248,-2833,15,-1285,-4041,193
1059,-4119,17,-3535,-3296,17,-1906,-3547,449
670,-4959,17,-3121,-4028,17,-2552,-3216,352
-227,-5060,17,-2182,-4295,17,-3390,-4138,215
-1250,-4996,45,-1650,-3578,17,-3278,-4042,353
-2194,-4381,17,-1726,-2655,17,-2853,-3616,189
-2852,-3033,86,-1853,-1569,17,-2787,-2882,436
-3546,-1662,70,-1901,-516,17,-3159,-1391,955
-4080,-371,491,-1554,765,17,-3509,18,1109
-4079,1090,778,-1481,1305,17,-3864,1443,918
-3979,2830,560,-1375,1769,17,-3670,2868,704
-3688,4355,450,-1328,2428,17,-2993,4516,417
-2842,4409,17,-1362,2230,17,-2348,4897,120
-1887,4688,17,-1141,2434,61,-1988,4628,344
-1087,4654,17,-695,3286,173,-1663,4306,283
-214,3985,97,-297,4184,21,-1361,4032,167
883,3141,47,434,4325,17,-1059,3795,104
1941,2085,17,820,3456,17,-959,3216,257
3036,775,17,283,2796,17,-1423,3091,554
3552,-590,17,-719,2448,17,-2206,3528,733
2223,-1400,17,-1367,1739,17,-2929,3931,567
