games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z-GAME-WENT-OT
-3993.0,-2430.0,75.0,-2331.0,-4834.0,17.0,-3688.0,-3982.0,520.0
-4077.0,-3283.0,235.0,-2651.0,-4021.0,17.0,-3634.0,-3288.0,320.0
-3806.0,-4215.0,182.0,-3248.0,-2734.0,116.0,-3301.0,-2571.0,217.0
-3116.0,-4351.0,17.0,-3374.0,-1158.0,157.0,-3599.0,-771.0,770.0
-2650.0,-3276.0,17.0,-3456.0,527.0,16.0,-3899.0,1051.0,980.0
-1606.0,-1949.0,92.0,-3541.0,2245.0,17.0,-3895.0,2710.0,818.0
-668.0,-778.0,17.0,-3425.0,3810.0,129.0,-3682.0,4216.0,311.0
-474.0,734.0,17.0,-3176.0,4787.0,330.0,-3432.0,4184.0,838.0
-1113.0,1400.0,17.0,-2691.0,5094.0,490.0,-3264.0,4006.0,1263.0
-1713.0,1840.0,17.0,-2813.0,5069.0,1009.0,-3106.0,3837.0,1337.0
-2194.0,1323.0,17.0,-3401.0,4638.0,1141.0,-2945.0,3666.0,1072.0
-1679.0,628.0,17.0,-3968.0,4029.0,1266.0,-3040.0,3243.0,625.0
-1121.0,1032.0,17.0,-4079.0,2935.0,1413.0,-3998.0,1970.0,486.0
-1731.0,1581.0,17.0,-4079.0,1518.0,1195.0,-3417.0,1144.0,152.0
-2523.0,686.0,17.0,-4079.0,-169.0,862.0,-2968.0,558.0,244.0
-2484.0,-993.0,17.0,-4079.0,-1934.0,783.0,-2164.0,-820.0,584.0
-2039.0,-2503.0,17.0,-4079.0,-3435.0,390.0,-1323.0,-2275.0,612.0
-968.0,-3880.0,17.0,-2954.0,-4489.0,17.0,-539.0,-3634.0,301.0
490.0,-4482.0,88.0,-1405.0,-4537.0,17.0,761.0,-4518.0,413.0
2002.0,-4765.0,80.0,-85.0,-4325.0,17.0,2431.0,-5006.0,684.0
3385.0,-4654.0,238.0,33.0,-4320.0,17.0,3363.0,-4374.0,661.0
3955.0,-3888.0,105.0,229.0,-4283.0,17.0,3877.0,-3510.0,327.0
3715.0,-3012.0,76.0,561.0,-4220.0,17.0,3628.0,-2766.0,123.0
3286.0,-2308.0,104.0,318.0,-4403.0,17.0,3187.0,-2140.0,102.0
2386.0,-2706.0,201.0,183.0,-4840.0,17.0,1170.0,-2400.0,355.0
1273.0,-3406.0,22.0,-134.0,-4563.0,17.0,-893.0,-2766.0,287.0
462.0,-3057.0,17.0,-1191.0,-4322.0,96.0,-2771.0,-3094.0,168.0
-467.0,-2899.0,17.0,-2238.0,-4089.0,17.0,-3878.0,-3376.0,479.0
-1268.0,-3604.0,17.0,-3258.0,-4363.0,17.0,-3540.0,-3633.0,1285.0
-1877.0,-4423.0,17.0,-2966.0,-5012.0,459.0,-3214.0,-3882.0,1724.0
-1634.0,-5092.0,120.0,-2233.0,-5103.0,974.0,-2898.0,-4122.0,1816.0
-1230.0,-5098.0,127.0,-1461.0,-5103.0,1238.0,-1813.0,-4866.0,1800.0
-835.0,-4692.0,17.0,-580.0,-5103.0,1287.0,-882.0,-4936.0,1109.0
-405.0,-4622.0,17.0,82.0,-5036.0,111.0,-12.0,-4922.0,116.0
-189.0,-4804.0,17.0,954.0,-4486.0,102.0,421.0,-5213.0,543.0
-654.0,-4282.0,17.0,1677.0,-3121.0,19.0,421.0,-5213.0,543.0
-996.0,-3896.0,17.0,1972.0,-2187.0,17.0,421.0,-5213.0,543.0
-1130.0,-3745.0,17.0,2229.0,-1422.0,17.0,421.0,-5213.0,543.0
-256.0,-3840.0,28.0,2048.0,-2560.0,29.0,0.0,0.0,93.0
-256.0,-3840.0,16.0,2048.0,-2560.0,16.0,0.0,0.0,93.0
-256.0,-3840.0,16.0,2048.0,-2560.0,16.0,0.0,0.0,93.0
-256.0,-3840.0,16.0,2048.0,-2560.0,16.0,0.0,0.0,93.0
-256.0,-3840.0,16.0,2048.0,-2560.0,16.0,0.0,0.0,93.0
-256.0,-3840.0,16.0,2048.0,-2560.0,16.0,0.0,0.0,93.0
-399.0,-3609.0,17.0,1825.0,-2337.0,17.0,0.0,0.0,93.0
-1415.0,-3540.0,17.0,1101.0,-1487.0,17.0,0.0,0.0,93.0
-2564.0,-4035.0,17.0,241.0,-451.0,101.0,0.0,0.0,93.0
-3597.0,-3642.0,17.0,-474.0,-740.0,164.0,632.0,1139.0,132.0
-3606.0,-2367.0,17.0,-1115.0,-1571.0,39.0,1288.0,2445.0,95.0
-3693.0,-610.0,17.0,-1165.0,-1552.0,17.0,1286.0,2865.0,382.0
-2957.0,480.0,17.0,-633.0,-1261.0,17.0,163.0,1881.0,987.0
-2041.0,-58.0,17.0,163.0,-1254.0,17.0,-922.0,930.0,1224.0
-1553.0,-1545.0,91.0,657.0,-2070.0,17.0,-1947.0,32.0,1119.0
-979.0,-3235.0,17.0,627.0,-3337.0,96.0,-3048.0,-923.0,706.0
-616.0,-4472.0,17.0,572.0,-4574.0,20.0,-3749.0,-1929.0,381.0
-1375.0,-5007.0,32.0,382.0,-5886.0,70.0,-3023.0,-2592.0,206.0
-1984.0,-4120.0,17.0,4.0,-5767.0,482.0,-2411.0,-3097.0,248.0
-2233.0,-2812.0,163.0,-295.0,-5531.0,407.0,-2104.0,-2289.0,649.0
-2433.0,-1732.0,70.0,-574.0,-5310.0,23.0,-2044.0,-469.0,1257.0
-2676.0,-384.0,71.0,-481.0,-5019.0,17.0,-1984.0,1374.0,1525.0
-3315.0,1243.0,79.0,-14.0,-4411.0,17.0,-1926.0,3155.0,1436.0
-3651.0,2766.0,17.0,105.0,-3574.0,17.0,-1871.0,4837.0,1023.0
-2412.0,3612.0,83.0,20.0,-2537.0,17.0,-1869.0,4125.0,355.0
-1074.0,4118.0,131.0,36.0,-1515.0,17.0,-744.0,4304.0,157.0
607.0,4705.0,44.0,135.0,-568.0,17.0,778.0,4883.0,115.0
2049.0,5071.0,75.0,992.0,14.0,17.0,1882.0,4910.0,352.0
3186.0,4091.0,17.0,2206.0,-278.0,17.0,2860.0,4766.0,384.0
3961.0,3382.0,52.0,3384.0,-382.0,17.0,3332.0,4303.0,175.0
4079.0,2860.0,311.0,3496.0,62.0,17.0,4007.0,3439.0,401.0
4079.0,2061.0,292.0,3394.0,306.0,17.0,3376.0,2651.0,389.0
3378.0,1307.0,17.0,2673.0,611.0,17.0,2593.0,1852.0,153.0
1773.0,1009.0,17.0,1851.0,-28.0,17.0,1384.0,1056.0,113.0
365.0,-111.0,17.0,390.0,-590.0,17.0,198.0,311.0,94.0
