games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z-GAME-WENT-OT
3318,-855,17,1890,4975,23,3765,-459,93
3508,570,16,1755,4935,18,3766,765,128
3915,1951,31,1953,4961,20,3687,1910,558
3974,3236,61,2117,4364,69,3342,2904,693
3438,4488,79,2532,3090,90,2990,3922,492
2478,5093,113,2917,1815,17,2671,4881,166
2247,5034,44,3277,88,17,2446,4686,324
2251,4351,84,3191,-1629,87,2223,4208,177
2757,3414,80,3645,-2938,107,2301,2573,375
-2304,4606,26,3897,-4065,127,2405,855,271
-2080,4304,17,3176,-4569,21,2482,-669,179
-1410,4520,17,2921,-4281,17,2762,-1858,157
-736,4927,17,3363,-3367,17,2800,-1064,663
-333,5293,17,3635,-1877,17,2579,-254,886
332,5158,17,3740,-548,17,2370,512,768
505,4533,46,3327,878,17,2155,1305,295
522,3421,101,2457,1891,17,2027,1922,315
658,2289,17,1567,2778,17,1936,2461,331
1588,2169,17,1991,4000,17,1373,4319,412
2146,2591,25,2654,5074,199,834,4313,175
2409,2781,202,2742,5080,162,1325,4003,581
2504,2740,134,2526,4446,17,2658,4465,1172
2658,2582,17,2270,3310,17,3121,4260,1325
2487,1661,17,2225,1666,132,2854,3473,1056
1664,574,17,1673,182,162,2608,2747,484
267,183,17,971,-1250,16,2407,2103,337
-448,1371,98,475,-865,17,2263,1586,514
-1089,2955,46,327,77,17,2126,1092,350
-1148,4332,17,138,1474,17,2085,1054,213
-401,5102,17,1103,2395,17,2093,1312,139
122,5088,17,2427,2225,17,2109,1545,110
380,4958,17,2831,1295,17,2123,1763,93
467,4607,17,3331,458,17,2137,1971,93
785,3877,17,3443,-412,17,2151,2187,93
487,2963,17,2788,-36,17,2488,1840,270
-397,2262,46,2087,760,17,3317,650,484
-890,1215,320,1027,1455,186,3625,-166,626
-1247,-71,352,-53,2204,95,2484,92,1145
-1548,-1186,191,-302,2640,17,1393,337,1306
-1786,-2437,17,89,2355,17,302,583,1125
-1094,-3279,17,369,1585,17,-764,823,603
-536,-2691,60,703,659,17,-790,-519,785
-213,-1531,73,1009,-239,126,-632,-2131,805
-125,-631,96,1211,-950,282,-485,-3636,501
-131,319,106,1342,-1652,607,-338,-5095,216
-2048,2560,17,-256,3840,17,-325,-5210,245
-2048,2560,17,-256,3840,17,-325,-5210,245
-2048,2560,17,-256,3840,17,-325,-5210,245
-2048,2560,17,-256,3840,17,-325,-5210,245
-2048,2560,17,-256,3840,17,0,0,93
-2023,2535,17,-260,3865,17,0,0,93
-1516,2112,17,-78,4182,17,0,0,93
-459,1232,17,-14,4046,17,0,0,93
55,50,89,-26,3424,17,0,0,93
520,-749,36,240,2644,17,0,0,93
1227,-1040,27,1098,2852,17,0,0,93
2630,-1153,114,1975,3454,17,0,0,93
3961,-1248,49,2768,3976,17,356,-153,162
4079,-692,536,3311,3748,17,2040,-1110,162
3803,-88,13,3270,2960,17,3600,-1981,125
2864,-362,17,3392,2059,17,3991,-2510,677
3042,-1492,17,3472,1477,17,3976,-2917,1068
4017,-2720,189,3472,1449,17,3962,-3324,1125
4046,-3635,370,3159,1021,17,3948,-3717,849
3701,-4340,430,2396,1438,17,3821,-4058,256
3045,-4309,16,1847,2564,58,3793,-3151,121
2417,-2975,17,1266,4173,114,3604,-1919,260
1782,-1534,17,-2048,2560,16,3212,-283,437
1093,-38,17,-2048,2560,16,2839,1269,281
-143,901,17,-2048,2560,16,1940,2849,151
-1550,1849,17,-2048,2560,16,985,4253,116
256,3840,16,-2048,2560,16,344,5208,93
256,3840,16,-1944,2444,17,344,5208,93
256,3840,16,-1300,1661,17,344,5208,93
256,3840,16,-407,602,52,344,5208,93
256,3840,16,97,225,185,0,0,98
222,3940,92,345,454,91,0,0,93
-59,4367,85,761,381,17,0,0,93
-227,4662,17,1468,-7,17,0,0,93
-111,4279,17,2410,-266,17,0,0,93
490,3886,17,3298,-370,17,0,0,93
857,4370,17,3530,100,17,0,0,93
866,4945,17,3049,1004,17,0,0,93
533,5210,59,2505,2549,17,0,0,93
824,5455,134,2247,3893,17,223,48,93
805,5559,29,1158,4205,17,526,325,136
555,5078,17,458,3665,17,718,1808,264
1307,4652,17,1009,3036,17,799,3331,122
2797,4335,17,1735,2296,17,612,5087,100
3705,3620,17,1901,955,17,1206,4856,180
3372,2570,17,1349,-439,17,1750,4663,127
2691,1239,17,346,-1488,17,2182,4526,95
3775,52,17,338,-2746,17,2554,4409,93
4079,-1117,702,1495,-3166,106,2912,4293,96
4020,-2630,96,2573,-4015,155,3636,3318,317
3330,-3925,17,3453,-4551,154,2915,2289,154
1981,-4114,55,3837,-3944,35,3571,1025,157
385,-3514,76,3772,-3073,16,4002,-94,314
-1040,-2689,17,3448,-2777,17,3647,-1407,788
-867,-1434,17,3746,-2980,17,3050,-3035,1137
330,-1258,19,4080,-3143,314,2487,-4573,1138
1731,-996,107,4052,-3559,150,2021,-4374,911
2895,-806,16,2996,-4746,20,1609,-3461,390
3774,-1588,17,1584,-5092,115,1261,-2704,323
4079,-2607,290,627,-4862,17,959,-2059,425
3974,-3696,63,-221,-4479,17,662,-1422,183
2304,4608,26,-296,-4465,20,1601,-1892,490
2393,4340,17,-767,-4617,109,2603,-2432,512
3070,3913,17,-1672,-4698,16,3571,-2953,202
3203,2620,105,-2084,-4764,17,3892,-3475,105
3266,1198,60,-2221,-4749,17,3906,-3976,233
3434,-224,17,-2715,-4353,17,3034,-4880,548
3722,-1045,17,-2954,-4053,17,2087,-5023,506
4055,-2015,152,-2609,-3780,17,1173,-5013,120
4079,-3013,758,-1921,-3150,17,459,-4795,100
4016,-3625,539,-972,-2258,17,-110,-4610,93
3896,-3530,38,106,-890,17,140,-4666,772
4062,-3425,176,1250,385,17,526,-4759,1267
3968,-2853,55,2840,969,17,912,-4851,1419
3217,-2083,119,3182,2236,17,1293,-4942,1219
2468,-1291,65,2909,3446,17,1654,-5027,693
1504,-288,98,3007,4579,165,2268,-4968,105
428,823,31,2878,5012,241,3374,-4559,396
-209,2392,17,2499,5012,33,3936,-3910,578
-83,4090,17,1583,4979,22,3439,-2936,183
-406,5045,355,597,4767,109,3517,-1696,117
-1295,4335,1026,966,3620,274,3559,-545,93
-2385,3463,1502,1386,2313,118,3578,432,97
-3475,2592,1595,1596,1802,17,3746,2017,364
2048,2560,26,256,3840,27,3293,3397,366
2048,2560,16,256,3840,16,3229,4722,337
2048,2560,16,256,3840,16,2418,4578,323
2048,2560,16,256,3840,16,1634,4462,150
2048,2560,16,256,3840,16,829,4737,298
2048,2560,16,256,3840,16,97,5210,353
1788,2392,17,252,4029,17,97,5210,353
925,1873,17,15,4343,17,97,5210,353
159,751,46,8,3987,17,97,5210,353
218,-40,91,-4,3164,17,0,0,93
248,-507,17,632,2659,17,0,0,93
-354,-658,38,1751,3417,17,0,0,93
-1523,-432,85,3188,4118,17,0,0,93
-2641,-216,17,3393,3244,17,0,0,93
-3581,396,17,2865,2934,17,0,0,93
-3414,1651,17,2618,2904,17,0,0,93
-3046,3025,17,2181,2656,156,0,0,93
-1880,4067,17,1560,2028,354,0,0,93
-887,4156,17,840,1193,281,1541,8,96
-394,4213,17,193,507,15,3409,-136,93
174,4427,17,-407,997,17,3998,-217,708
908,4701,17,-536,2029,17,3989,-279,1271
1850,4288,17,-456,2964,17,3982,-336,1459
2292,3143,17,-230,4028,17,3585,110,1524
2787,1790,17,198,4702,17,2911,916,1395
3659,1830,17,34,5159,17,2260,1695,930
3680,2660,17,79,5141,17,1962,1887,454
3176,3578,17,717,4484,17,2268,1091,220
2223,4005,17,1580,3467,17,2537,495,216
1372,4069,17,2344,1985,17,2799,-38,92
843,3022,99,3188,790,17,3774,468,245
352,1752,36,3849,-629,19,3593,898,281
-304,582,17,3814,-1642,16,3099,1350,261
-1177,-490,17,2857,-2707,17,2745,1861,341
-1487,-1584,17,1849,-2861,17,2402,2356,98
-624,-2764,127,647,-2807,145,2176,2649,170
376,-3834,225,-895,-3181,220,1953,2939,121
1347,-3898,345,-2362,-3378,197,1749,3204,97
2630,-2910,423,-3826,-2687,42,2414,1746,725
3985,-1865,133,-4079,-2037,516,3130,170,1049
4019,-946,427,-4079,-1559,695,3814,-1336,1009
0,4608,16,2048,2560,16,3178,-2906,1329
0,4608,16,2048,2560,16,2040,-4477,1586
0,4608,16,2048,2560,16,1042,-4456,1299
0,4608,16,2048,2560,16,133,-3585,554
0,4608,16,2048,2560,16,-38,-4651,231
0,4608,17,2048,2560,17,1,-5198,298
0,4351,17,1647,2086,17,1,-5198,298
0,4708,17,950,1180,17,1,-5198,298
