games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z-GAME-WENT-OT
-40,2627,17,-3702,4138,41,-3448,4397,132
319,2345,17,-2916,4283,17,-2482,4279,177
425,2228,17,-1551,4095,160,-1415,4153,153
-100,2094,17,-322,3950,474,844,3536,306
104,1276,17,1060,3794,466,2998,2950,119
1477,1030,17,2285,3658,145,3883,2525,755
3025,1031,17,3447,3263,17,3700,2190,1726
3859,170,19,3703,2076,17,3450,1967,1676
3579,-972,17,3804,956,17,3137,1775,932
3113,-1931,17,3712,-145,17,2854,1551,210
2321,-2380,17,3607,-1337,17,2447,451,916
2124,-3397,17,3499,-2542,17,2058,-600,1257
1801,-3729,35,3145,-3504,17,1682,-1617,1262
1511,-3695,325,2159,-3884,100,1293,-2669,916
1063,-3255,544,922,-3865,269,540,-3292,165
719,-2794,475,-284,-3646,202,-540,-3119,530
315,-2258,88,-1573,-3356,17,-1630,-2939,678
-39,-2352,17,-2756,-3340,17,-2661,-2768,475
-553,-2805,17,-3475,-2471,88,-3500,-2163,170
-1550,-2539,87,-3737,-1215,81,-3948,-659,139
-2764,-1461,45,-3655,29,17,-3998,527,335
-3650,-555,17,-4077,1641,237,-3871,1891,354
-3132,501,75,-3751,3258,15,-3442,3678,423
-1735,1062,85,-2729,4060,17,-2656,4913,167
-544,1695,17,-1888,4627,168,-2301,4742,650
-671,2863,17,-1333,5082,183,-3731,3461,1654
-1615,2881,17,-1045,5090,83,-3533,2672,629
-2143,1712,98,-996,5099,98,-2938,2072,478
-2628,364,16,-1371,4957,19,-2422,1607,856
-3077,-936,17,-1573,4841,17,-1900,1138,890
-3417,-2149,17,-1781,4064,17,-1407,694,587
-3210,-3482,17,-1949,2816,17,-926,260,172
-2474,-4289,17,-1398,1180,17,-507,-117,374
-1916,-4570,17,-531,-112,17,-92,-489,230
-1191,-4903,17,711,-1091,17,1156,-949,136
-483,-5065,17,1977,-2132,17,2672,-1404,92
-460,-5070,17,2762,-3643,17,3988,-1803,192
-50,-4858,17,3076,-4931,166,3997,-2018,726
31,-4751,17,2150,-5103,490,3989,-2230,914
-220,-4931,17,2003,-4890,15,3981,-2438,753
227,-4860,17,2808,-4337,17,3975,-2639,257
279,-4851,17,3427,-3300,81,3374,-2936,95
25,-4899,17,3568,-1758,119,2584,-4135,99
523,-5004,17,3493,-149,17,1931,-5027,221
599,-5725,32,2507,201,17,1498,-5014,614
133,-5733,32,1565,-732,48,1099,-5003,652
244,-5203,17,1177,-1090,17,682,-4992,343
925,-4712,129,1613,-1054,17,978,-4354,271
1654,-4132,48,1872,-1732,17,1643,-3361,129
-2341,-4511,17,1374,-2523,17,1118,-3409,259
-2763,-4131,17,796,-3705,17,335,-3678,144
-3341,-4481,35,-135,-4370,17,-295,-3883,143
-2918,-4941,58,-740,-3951,17,-733,-3753,223
-2224,-4392,17,-964,-3184,114,-997,-3085,399
-1503,-3224,17,-1157,-2256,57,-1285,-1928,680
-664,-1876,17,-1765,-1140,17,-1558,-834,610
241,-454,17,-2116,17,20,-1830,261,199
1117,874,17,-1610,1469,80,-1504,1721,363
898,2421,17,-1092,3112,17,-997,3232,417
-560,2338,17,-799,3860,17,-229,4006,615
-1137,1181,17,47,4330,17,513,4755,474
-1119,75,104,967,4623,79,562,4820,126
-1315,-1679,49,908,4803,109,146,4458,238
-1210,-2822,16,920,4884,17,-329,2965,163
-606,-3977,17,1603,4565,17,-801,1341,134
64,-4246,217,2767,4260,17,-817,98,192
894,-4377,469,3238,3370,17,176,-686,194
1452,-4668,417,3520,1747,17,1050,-1371,143
2061,-4984,58,3695,28,17,1482,-2204,259
2584,-4505,17,3723,-1493,17,1175,-3380,466
3350,-3346,17,3529,-3219,17,1089,-4700,460
3917,-1903,31,2603,-4254,17,1713,-4173,273
3549,-309,17,2162,-3811,17,2238,-3251,209
2373,638,17,2636,-2793,20,2708,-2448,131
826,718,17,3411,-1360,98,3509,-831,146
56,1901,17,4072,-11,197,4002,782,404
159,2677,116,4079,1522,593,3996,2117,704
257,3189,400,4079,3237,647,3978,3465,658
445,3832,836,3458,4547,149,3275,4652,372
670,4462,1013,2311,4188,17,2531,4816,752
895,5046,868,1828,3653,17,1929,4672,1184
1338,5103,735,1271,3009,17,1313,4392,1303
2050,5072,73,608,2232,17,610,3134,1275
2799,4382,17,38,1296,17,-40,1972,925
2942,3234,17,-613,568,22,-719,755,208
2479,1873,22,-1411,577,115,-1534,1011,104
1919,246,117,-2268,630,17,-2279,1370,93
1426,-1185,17,-3074,272,17,-3006,1396,144
1016,-2843,17,-3692,-446,17,-3755,1000,110
-288,-3371,17,-3329,-1227,17,-3912,271,183
-1357,-2114,17,-3139,-2154,17,-3849,-471,154
-1584,-577,17,-3201,-2019,32,-3675,-1257,107
-774,697,17,-3567,-1337,139,-3763,-890,419
-306,1824,17,-3928,-502,35,-3804,219,604
-1392,2460,17,-3724,718,17,-3488,1127,390
-2956,2577,19,-2816,2150,118,-2789,2319,351
-4064,3295,259,-1798,3332,27,-1810,3699,383
-4079,3131,295,-575,3764,17,-2154,4715,169
-4048,2474,143,26,2693,17,-2707,3703,168
-3986,1477,70,-215,1438,17,-3374,2717,162
-3609,358,108,-1069,956,17,-3689,1770,325
-3163,-862,25,-2277,756,122,-3076,1035,284
-3143,-1940,17,-3807,527,212,-3589,1453,498
-3523,-3119,17,-4079,81,540,-3698,2119,554
-2965,-4159,17,-3960,-149,50,-3142,2623,244
-1901,-4499,17,-3324,412,17,-3480,2533,447
-871,-4619,17,-3340,801,17,-3536,1944,687
-693,-4599,17,-3228,773,17,-2773,1456,507
-779,-4634,17,-2497,776,17,-2055,1000,144
-718,-4582,250,-1595,611,127,-1563,706,297
-793,-4269,400,-850,796,118,-1077,416,105
-908,-3883,270,-134,909,17,-661,169,149
-1090,-3571,17,132,172,17,-688,-1585,438
-1649,-3840,17,36,-692,17,-775,-3521,456
-2736,-3831,137,-20,-1772,17,-1549,-4126,125
-3940,-3720,313,-48,-3038,17,-2498,-3859,298
-3693,-3380,614,16,-4183,17,-3203,-4174,611
-3428,-2987,551,-202,-5124,17,-3480,-4170,630
-3147,-2580,101,37,-5373,18,-3293,-3739,305
-3105,-2331,17,-248,-5092,17,-2499,-4837,287
-3160,-2070,40,-760,-4598,89,-1324,-4428,368
-3197,-1559,326,-1608,-3834,197,-1333,-3839,929
-3096,-590,493,-2437,-3179,61,-1750,-3210,1415
-2976,453,387,-2859,-3533,17,-2173,-2574,1560
-2815,1576,14,-2850,-4392,17,-2571,-1973,1361
-2663,2673,17,-2375,-4673,17,-2970,-1371,820
-2830,3874,17,-1722,-4229,17,-2663,49,437
-3690,4146,39,-1173,-3022,17,-2009,1832,154
-3836,3064,16,-445,-2070,17,-30,2365,358
-2597,2037,17,841,-2100,17,1952,2838,224
-1076,1831,17,2018,-2138,17,3763,3299,184
330,1342,17,2672,-1637,17,3446,3614,831
933,2081,17,2491,-1438,17,2819,3904,1249
17,2968,17,2200,-1171,17,2200,4190,1310
-1399,2635,17,1733,-770,17,1614,4461,1032
-2295,1231,17,1131,-430,17,1002,4723,417
-2446,-465,101,677,-146,17,-491,4365,101
-2628,-2162,17,-491,-45,17,-1857,4038,169
-2973,-3603,17,-1853,-203,17,-3194,3699,134
-2772,-4609,17,-2530,-1097,17,-3962,3408,453
-2214,-4605,17,-2715,-2334,17,-3629,3025,1335
-1885,-3972,17,-2121,-3051,17,-3073,2558,1916
-1969,-2572,17,-1276,-2717,17,-2069,1993,1551
-2244,-1180,92,-607,-1504,17,-1073,1433,769
-2371,77,35,-373,176,218,-786,823,174
-1786,880,17,-264,1703,212,-1593,42,112
-845,316,66,-220,3382,16,-2052,-1152,176
165,-1032,77,-1638,3993,17,-2178,-3012,245
1047,-2460,17,-3197,4129,17,-2249,-4850,129
437,-3718,17,-4070,2898,204,-2333,-4418,770
-254,-4638,17,-3908,1227,29,-2419,-3748,1140
-985,-4791,17,-3502,-281,17,-2501,-3101,1158
-1563,-4812,17,-2963,-1930,17,-2557,-2640,886
-1119,-4791,101,-2416,-3519,17,-2394,-3796,729
-259,-4750,57,-2129,-4420,116,-2241,-4887,253
-38,-4759,17,-2174,-4936,177,-2678,-4988,464
-4,-4724,17,-2265,-4664,25,-3119,-4795,738
-34,-4789,17,-2827,-4690,17,-3413,-4475,704
-299,-4969,17,-3420,-4210,177,-3695,-4137,315
-227,-4967,17,-4006,-3888,209,-3904,-3264,123
-583,-5133,17,-4074,-3670,264,-3787,-2483,106
-1052,-4504,17,-4063,-3188,180,-3632,-2121,193
-1441,-3122,17,-3444,-3295,17,-3230,-3101,505
-2633,-2209,17,-2984,-4185,17,-2845,-4038,469
-3534,-749,17,-2276,-4821,17,-2343,-4722,230
-3575,908,17,-1355,-4901,16,-1873,-3819,182
-3793,2612,17,-1106,-3992,17,-1538,-2941,146
-4040,3862,504,-974,-2972,17,-2043,-1220,432
-3096,4437,14,-1037,-1884,17,-2531,444,369
-2490,3536,17,-1693,-1264,17,-3090,1870,205
-1854,1961,80,-2266,-485,17,-3929,2444,576
-1041,431,68,-1533,31,17,-3336,2845,493
-488,-1008,17,-946,502,17,-2745,3249,106
-199,-2689,17,-906,368,17,-2524,2474,679
-563,-3759,109,-800,-246,46,-2376,1153,1109
-678,-4013,98,-745,-1440,94,-2236,-95,1180
-801,-4385,17,-701,-2571,17,-2097,-1330,914
-1042,-4692,17,-618,-3608,17,-1742,-2562,385
-1636,-4542,17,-526,-4664,17,-697,-3702,231
-1607,-3843,17,118,-5141,17,-996,-3839,769
-653,-3115,92,-245,-5006,52,-1299,-3977,948
218,-2409,17,-1154,-4569,331,-1571,-4101,782
545,-1230,17,-2345,-3711,463,-2218,-3316,970
-93,-544,17,-3421,-2869,394,-3106,-1868,1344
-739,-1133,17,-4073,-1814,216,-3964,-468,1373
-321,-2326,92,-3861,-529,19,-3512,556,1020
147,-3506,16,-3085,893,17,-3036,1488,359
229,-4469,17,-3070,2060,17,-3535,465,549
-684,-4508,17,-3467,1687,17,-3973,-579,411
-1743,-3786,73,-3239,600,17,-3678,-1296,153
-2687,-2716,70,-3149,-1075,17,-3422,-1839,228
-3539,-1459,17,-3703,-2658,26,-2798,-2612,211
-3707,55,17,-3826,-4022,48,-1933,-3489,103
-3591,1762,17,-2593,-4914,17,-1467,-3393,494
-3277,3482,17,-1749,-4432,17,-1455,-1987,1149
-2300,4345,228,-1757,-3707,17,-1444,-643,1441
-1266,5075,394,-892,-3228,17,-1434,702,1391
-829,5129,570,-488,-2469,17,-1425,1929,1034
-552,5285,403,0,-1495,17,-1415,3289,276
-300,5425,19,220,-462,17,-1352,4216,435
-494,5111,17,-310,237,17,-1278,5020,551
-1188,4463,87,-885,1018,17,-1256,4557,451
-1905,3785,16,-945,1721,17,-1349,4150,159
-2386,2605,101,-1338,2340,17,-2234,4186,465
-2865,1207,16,-1998,1965,17,-3069,4219,425
-3451,66,17,-2560,1124,17,-3952,3801,171
-2905,-1368,17,-3249,527,17,-4002,2438,296
-1944,-2616,17,-3722,643,17,-3919,826,362
-1303,-3969,17,-3887,690,25,-3803,-829,209
-1420,-4975,194,-4049,398,146,-3688,-2300,187
-1530,-4823,186,-3677,-606,17,-3577,-3634,117
-2130,-4431,91,-3608,-2081,17,-3093,-4794,201
-3507,-3672,42,-3329,-3784,17,-1882,-4962,222
-4077,-2837,242,-2220,-4664,17,-470,-4835,146
-4079,-2094,362,-624,-4942,17,484,-4946,192
256,-3840,16,-676,-5366,508,380,-5223,290
256,-3840,16,-893,-5062,259,380,-5223,290
256,-3840,16,-963,-4895,28,380,-5223,290
256,-3840,16,-978,-4905,17,380,-5223,290
256,-3840,16,-2048,-2560,17,0,0,93
256,-3840,17,-2048,-2560,17,0,0,93
119,-4236,90,-2048,-2560,17,0,0,93
-74,-4671,68,-2048,-2560,17,0,0,93
-244,-5078,17,-2048,-2560,17,0,0,93
-10,-4778,17,-2048,-2560,17,0,0,93
1016,-4286,17,-1615,-2124,17,0,0,93
2400,-4005,17,-820,-1171,17,0,0,93
