games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z-GAME-WENT-OT
-2048,2560,17,256,3840,17,0,0,93
-2048,2560,17,256,3840,17,0,0,93
-2048,2560,17,256,3840,17,0,0,93
-2048,2560,17,256,3840,17,0,0,93
-2048,2560,17,256,3840,17,0,0,93
-2048,2560,17,256,3840,17,0,0,93
-1927,2461,17,256,3840,17,0,0,93
-1104,1920,17,256,3840,17,0,0,93
-160,1040,17,254,3938,17,0,0,93
-127,-418,109,1,4242,17,-1036,1127,112
-279,-1924,84,-5,4214,17,-2443,2667,93
-314,-2452,17,-18,4652,17,-3762,4122,156
131,-2146,77,83,4896,17,-3684,4210,1138
940,-1522,72,86,4896,17,-3573,4261,1757
1749,-1046,17,29,4879,17,-3292,4109,1881
2752,-570,17,-539,4633,17,-3011,3958,1647
3666,272,17,-1423,4276,17,-2750,3817,1091
3619,1846,17,-2360,3792,121,-2504,3668,211
3321,3577,17,-3621,3052,124,-3675,2354,333
2399,4727,17,-4068,2247,197,-3500,1362,170
918,5039,25,-3502,1300,17,-2901,655,167
196,5091,17,-2317,201,106,-2284,83,465
-212,4312,17,-1465,-745,48,-1487,-917,812
24,3001,17,-351,-1392,17,-688,-1917,817
552,1343,17,247,-2587,102,92,-2895,477
1437,-156,17,750,-3821,34,634,-4296,107
2451,-1293,17,1647,-4394,132,799,-5215,144
2351,-2616,17,2664,-3634,309,799,-5215,144
2004,-3638,55,3768,-2811,150,799,-5215,144
1900,-4460,226,4018,-2341,103,799,-5215,144
2048,2560,26,-2048,2560,27,0,0,93
2048,2560,17,-2048,2560,17,0,0,93
2048,2560,17,-2048,2560,17,0,0,93
2048,2560,17,-2048,2560,17,0,0,93
2048,2560,17,-2048,2560,17,0,0,93
2048,2560,17,-2048,2560,17,0,0,93
1873,2310,17,-1825,2337,17,0,0,93
2423,1530,17,-1046,1472,17,0,0,93
3381,2081,17,-151,338,77,0,0,93
3398,3099,17,336,-28,115,1576,-427,451
3028,4419,17,739,-105,17,3396,-921,549
2185,5031,40,1304,-518,17,3328,-1364,349
1443,4432,17,1758,-1351,17,2373,-1727,202
936,3652,17,2058,-2357,100,1814,-2238,588
738,2624,17,2316,-3447,16,1439,-3058,1078
571,1517,17,2960,-4045,17,1071,-3861,1211
499,580,17,3770,-3919,19,712,-4645,996
458,-562,17,3723,-3067,17,403,-4811,493
385,-1710,17,3801,-2029,17,159,-4131,265
58,-2396,147,3692,-797,17,-12,-2721,386
-296,-2946,307,3183,836,17,-188,-1279,157
-622,-3491,101,2473,2358,17,-258,-28,197
-881,-3898,47,1676,3346,17,403,1940,119
-1135,-4215,20,569,3267,107,209,2995,148
-1592,-4027,17,-587,3226,57,-1725,2420,95
-2331,-4255,17,-1663,3046,17,-3443,1929,102
-3050,-3769,17,-3299,2717,17,-4000,1618,647
-2743,-2619,95,-4079,2121,479,-3992,1375,1128
-2357,-1492,16,-4014,1307,1148,-3985,1138,1252
-1377,-953,17,-3558,520,1467,-3907,-174,1442
-490,-1431,17,-3039,-376,1470,-3824,-1542,1306
-361,-2107,17,-2540,-1235,1116,-3746,-2850,843
-1185,-2299,17,-2075,-2035,471,-3664,-4129,136
-2084,-2139,17,-1743,-2556,17,-3207,-4418,580
-2536,-1319,17,-1390,-2562,17,-2683,-4563,649
-3047,-1198,17,-1465,-3159,17,-2169,-4707,389
-3573,-1634,17,-2167,-2935,17,-3178,-4415,949
-3652,-1807,17,-2383,-1897,17,-3797,-3943,1115
-3683,-1990,212,-3309,-502,17,-3961,-3294,924
-3777,-2494,438,-3440,897,17,-3798,-2759,428
-3898,-3206,384,-2153,1162,17,-3276,-3847,360
-3949,-3863,75,-1169,497,17,-2818,-4901,541
-2955,-4175,55,-774,-148,17,-2301,-4642,463
