games5425898691_pos_x,games5425898691_pos_y,games5425898691_pos_z,enpitsu_pos_x,enpitsu_pos_y,enpitsu_pos_z,ball_pos_x,ball_pos_y,ball_pos_z-GAME-WENT-OT
-237,4798,17,-1768,4774,17,-2717,1718,862
-784,4484,214,-1564,4716,17,-2101,2909,917
-1456,4157,516,-1033,4797,17,-1515,4057,682
-2320,4157,500,-607,4919,17,-2040,3421,1338
-3125,4162,266,17,4808,17,-2536,2820,1622
-3656,4158,35,-37,4428,17,-3032,2218,1565
-3212,4166,17,-46,4055,17,-3512,1637,1170
-2642,4587,17,-55,4272,17,-3986,1062,435
-2045,4275,17,-82,4904,17,-3517,717,152
-2085,3073,17,-84,4950,17,-2943,459,112
-2193,1388,17,-84,4950,17,-2400,482,167
-2184,-159,17,-90,5094,17,-1569,1941,450
-844,-756,17,-189,4565,43,-801,3288,379
703,-106,17,-460,3648,166,-816,3721,207
878,1213,17,-632,2828,73,-1463,3344,154
159,2687,17,-1218,2304,17,-2017,3045,115
-1151,3456,17,-1976,2801,17,-2474,2810,95
-2484,4139,17,-2834,2780,17,-2852,2615,93
-3314,3507,17,-3189,2285,17,-3197,2438,93
-3537,2105,17,-3200,2510,17,-3518,2206,432
-3872,814,21,-3013,2183,17,-3786,1234,894
-3672,-586,17,-2478,2387,17,-3987,352,990
-3042,-755,17,-2647,3210,17,-3837,-417,764
-3021,-119,17,-3098,4094,17,-3691,-1170,197
-3697,-276,17,-2529,4430,17,-3593,-1644,357
-3642,-1331,17,-1786,3887,17,-3504,-1942,364
-2834,-2277,17,-1726,3613,17,-3436,39,221
-1654,-2277,17,-2361,3283,17,-3368,1952,186
-619,-1617,17,-3363,3294,54,-3759,3151,272
-557,-341,17,-3728,3306,17,-3135,2984,508
-593,1134,17,-2925,3543,17,-2184,2826,369
-1048,2819,113,-1553,3380,116,-1294,2871,203
-1490,4256,112,-132,2973,356,495,4225,937
-1770,5087,284,1482,2527,299,2386,4769,1465
-2107,5073,78,2831,2238,17,3863,4033,1612
-2010,4482,17,2924,2812,17,3916,2939,1258
-1296,4311,17,3107,3604,17,3750,1953,604
-517,4730,17,2819,4462,17,3232,2268,401
426,4818,17,1999,4571,195,2389,3807,601
1011,4890,17,1689,4608,233,1626,4879,453
1278,4170,100,1429,4640,38,1238,3738,172
1294,3172,28,826,4727,17,1033,2213,125
753,2543,17,153,4965,17,846,863,97
-74,2988,17,-48,4414,17,676,-343,93
-845,3742,17,-38,4307,17,221,-1156,210
-1562,4321,17,-38,4307,17,-631,-1572,237
-2587,4480,17,-38,4307,17,-1475,-1700,111
-3068,3703,17,-46,4377,17,-2285,-1495,94
-3025,3402,17,-21,4381,17,-2936,-1347,93
-2996,3918,17,-57,3994,17,-3159,-366,251
-2957,4617,17,-345,4250,17,-3287,789,134
-2799,4305,17,-627,4736,17,-2828,2408,218
-2308,3362,202,-682,4798,17,-2295,3192,106
-1945,2660,154,-838,4687,17,-2172,2116,93
-1922,1863,108,-545,4996,17,-2050,1151,93
-2370,696,168,-435,5219,17,-1033,1938,547
-2949,-705,17,-1,4782,17,170,3044,770
-3034,-683,17,1090,4968,17,1332,4112,638
-3149,216,69,2098,5091,115,2419,4950,174
-3061,1550,94,2984,4878,51,2955,4442,270
-3011,2935,17,3501,4097,19,3473,3939,158
-2691,4155,17,3656,2602,95,3481,3024,346
-1590,4890,17,3622,1282,17,3484,2052,200
-441,4919,17,2750,1187,17,3487,1287,181
326,4662,17,2944,1670,17,3781,930,192
1296,4415,17,3610,2079,17,3435,1331,386
1995,3355,17,3009,2573,17,2772,1672,227
2149,1813,17,2023,1945,128,1867,1839,493
905,1371,17,1048,1278,91,992,2001,417
325,2376,17,384,1342,17,130,2332,238
106,3098,17,89,2492,17,-675,3112,366
-623,3827,17,-138,3669,17,-1453,3866,158
-1360,4520,201,-295,4771,17,-2085,4466,223
-2088,4987,261,-699,4700,17,-1306,4952,808
-2727,5072,177,-387,4879,17,-748,4518,907
-2640,5022,40,122,5246,17,-239,4123,672
