,shot_taker_name,is_orange,time,xg,goal
0,LeJon Brames,1,1,0.60114044,True
1,LeJon Brames,1,25,0.45648462,False
2,LeJon Brames,1,36,0.51816225,True
3,games5425898691,0,43,0.3584895,True
4,LeJon Brames,1,50,0.2337332,False
5,EmeraldRaccoon,1,98,0.067792974,False
6,EmeraldRaccoon,1,134,0.23869024,False
7,EmeraldRaccoon,1,150,0.17625296,False
8,LeJon Brames,1,164,0.10940999,False
9,EmeraldRaccoon,1,186,0.14300533,False
10,EmeraldRaccoon,1,188,0.76167053,False
11,games5425898691,0,199,0.59333974,False
12,enpitsu,0,228,0.8155156,False
13,LeJon Brames,1,248,0.02729832,False
14,LeJon Brames,1,281,0.18871027,False
15,games5425898691,0,291,0.016267302,False
