,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect
0,958,28,False,1,4658.135467786288,-291.7200012207031,635.8300170898438,93.1500015258789,1642.7000427246094,20276.199951171875,0.0,-4438.599853515625,-4001.0000610351562,-50.300002098083496,1.0,1.0560217474015912,-0.5340884194022726,1.0566344325342936,b9a3c5b308b,yacine42152,7.0,-377.6000061035156,406.3500061035156,99.4000015258789,1245.5000305175781,19662.5,-158.4000015258789,-1136.1000061035156,5335.0,-704.4000244140625,255.0,18.0,True,-0.16005472589728417,0.8154768878684704,3.12476386697329,False,19,False,20,0.0,False,,bc87200b99b,Natsu-du-42,7.0,58.88999938964844,-953.2999877929688,17.010000228881836,-11794.599609375,16155.0,1.899999976158142,-0.0,0.5000000074505806,0.0,255.0,128.0,False,-0.009624007007806195,0.9401583314919703,-3.053338356999317e-05,True,8,6,14,0.0,False,,enpitsu,76561198039309853,27,-156.3300018310547,679.8499755859375,15.960000038146973,-3400.5999755859375,20792.80029296875,102.79999732971191,99.39999580383301,-8.500000238418579,447.09999084472656,0.0,255.0,,-0.026659352824904774,1.3751766822194973,0.0016807086718695682,True,10,10,False,81.0,False,,games5425898691,bf81d8692db,19.0,2444.7099609375,-1299.75,17.010000228881836,-7625.9002685546875,21698.89892578125,1.5000000596046448,-0.0,0.5000000074505806,0.0,255.0,128.0,,-0.009604169352426806,1.232827393075648,-4.0925443287428674e-05,True,119.0,False,10,False,12,
1,965,28,False,1,4238.041325366814,-330.8800048828125,1083.4300537109375,125.27999877929688,-1067.0999908447266,23050.70068359375,843.7000274658203,1340.0,-3066.9000244140625,2041.0000610351562,1.0,0.4670072168146078,-0.23385176041794484,2.5188935816063727,b9a3c5b308b,yacine42152,7.0,-346.0199890136719,931.97998046875,91.38999938964844,961.8000030517578,19117.60009765625,-768.8999938964844,-1187.6000213623047,4791.499938964844,2425.0,255.0,0.0,True,0.4012868456790921,1.258038027602822,-1.5859534727696176,False,20,False,20,0.0,False,,bc87200b99b,Natsu-du-42,7.0,-245.83999633789062,-536.0399780273438,17.010000228881836,-11794.599609375,16155.0,1.899999976158142,-0.0,0.5000000074505806,0.0,255.0,128.0,False,-0.009624007007806195,0.9401583314919703,-3.053338356999317e-05,True,8,6,14,0.0,False,,enpitsu,76561198039309853,27,-321.29998779296875,1189.8800048828125,16.950000762939453,-8597.19970703125,13773.00048828125,23.69999885559082,-42.69999980926514,-60.10000228881836,1991.4999389648438,0.0,255.0,,-0.01372824730857584,0.923652480241164,0.0011758561953829803,True,10,10,False,81.0,False,,games5425898691,bf81d8692db,19.0,2265.139892578125,-716.8699951171875,63.04999923706055,-6145.4998779296875,21967.099609375,2814.89990234375,-1120.199966430664,-220.6999969482422,-659.4000244140625,255.0,128.0,,-0.066693127615399,1.4088764225918549,-0.0012574429737515463,True,119.0,False,10,False,14,
2,1015,30,True,1,1220.351812854602,518.8800048828125,3979.3798828125,212.08999633789062,-3520.7998657226562,24101.10107421875,2035.0999450683594,-2651.300048828125,682.6000213623047,5174.0997314453125,1.0,0.592103630534908,1.0712330421687033,1.4186544372594805,b9a3c5b308b,yacine42152,7.0,564.0499877929688,3782.7900390625,101.19999694824219,2959.5001220703125,22186.0009765625,2453.2000732421875,-2895.0,-4587.099914550781,909.4000244140625,255.0,128.0,True,-0.3589160555419159,1.9411286776392176,-0.8074769742426157,False,21,False,22,0.0,True,,bc87200b99b,Natsu-du-42,7.0,-222.94000244140625,2495.5400390625,17.010000228881836,7524.0997314453125,15276.300048828125,2.199999988079071,0.7999999821186066,1.7000000178813934,1312.1000671386719,213.0,255.0,False,-0.009590996847651254,2.016209182605419,0.0001747815522060112,True,8,6,14,0.0,False,,enpitsu,76561198039309853,27,-904.3599853515625,2151.219970703125,17.059999465942383,-1523.3999633789062,14687.19970703125,-4.099999964237213,-0.0,-2.5,-199.0999984741211,255.0,0.0,False,-0.016782919277037532,1.48658025904921,0.0002183994649867991,True,10,10,False,12.033195667369391,True,,games5425898691,bf81d8692db,19.0,752.2999877929688,2910.2099609375,16.989999771118164,-18885.6005859375,13127.39990234375,2.199999988079071,0.5999999865889549,-0.3999999910593033,-1212.6000213623047,255.0,0.0,,-0.009588115851483545,0.6184893044058268,-0.00024861061629989644,True,50.033195667369384,True,12,False,14,
3,1754,48,False,1,4240.325259516187,1092.280029296875,904.219970703125,93.37000274658203,-6604.7998046875,20216.099853515625,1508.9999389648438,-1510.5000305175781,-1522.7000427246094,5603.499755859375,1.0,0.07851935215528345,-0.4161578176806636,-2.6296269397047025,bc87200b99b,Natsu-du-42,7.0,1030.5,695.4199829101562,17.010000228881836,-240.40000915527344,7831.5997314453125,0.0,-0.0,-1.1999999731779099,2282.5,255.0,250.0,,-0.009521348063228711,1.5375990413899603,8.938238586208175e-05,True,6,False,4,225.09189686211207,True,,b9a3c5b308b,yacine42152,7.0,1924.489990234375,1723.22998046875,17.0,-2298.000030517578,20889.89990234375,8.999999761581421,-0.0,7.900000214576721,-2230.0,255.0,0.0,False,-0.009621936772331332,1.5640422715223319,-0.00034898252199183643,False,12,False,12,0.0,False,,enpitsu,76561198039309853,27,2851.31005859375,667.8400268554688,101.69000244140625,-9157.999877929688,21020.400390625,-123.99999618530273,-5345.30029296875,1154.4999694824219,-586.5000152587891,255.0,128.0,,-0.836528297381869,0.15775553019446553,1.6529663171854403,True,8,5,False,0.0,False,,games5425898691,bf81d8692db,19.0,2705.590087890625,3745.570068359375,17.010000228881836,-13354.3994140625,18445.6005859375,2.199999988079071,-0.19999999552965164,0.3999999910593033,1384.4999694824219,255.0,255.0,,-0.009594410576051758,0.9202982270166188,0.00020003993404642983,True,213.0,False,6,False,6,
4,2179,63,False,1,5368.372453114755,-2693.639892578125,1148.27001953125,101.69000244140625,17495.2001953125,19980.50048828125,2775.2999877929688,-3525.7998657226562,-3260.5999755859375,2443.000030517578,1.0,0.3152523656999221,0.5051462399527669,-0.5730046179761525,bc87200b99b,Natsu-du-42,8.0,-2823.389892578125,1064.0899658203125,16.760000228881836,15080.799560546875,14273.499755859375,-268.1999969482422,-150.600004196167,-2137.2000122070312,-1232.2000122070312,255.0,11.0,False,0.003490516442352749,2.4694453803661163,-0.01217406051539803,False,10,False,8,98.50171178899784,True,,b9a3c5b308b,yacine42152,7.0,-3806.929931640625,-1911.989990234375,17.170000076293945,2445.0999450683594,5958.599853515625,-74.0999984741211,43.00000190734863,-295.2000045776367,23.599998950958252,255.0,128.0,False,-0.014134095800355545,1.963442257631724,0.006726061119318182,True,20,False,18,0.0,False,,enpitsu,76561198039309853,27,-805.22998046875,4861.93994140625,17.049999237060547,2675.0,5749.6002197265625,2.5,-2.0000000298023224,1.0000000149011612,0.09999999776482582,128.0,128.0,False,-0.01639509115743328,-1.1352230993440926,5.363556638576014e-06,True,10,8,False,255.0,False,,games5425898691,bf81d8692db,19.0,-4069.780029296875,-919.8400268554688,198.6300048828125,1584.9000549316406,12139.200439453125,-6147.9998779296875,37.5,-2528.300018310547,268.6000061035156,255.0,128.0,,-0.46372466313318245,1.7046420897072807,1.3411190232299424,True,69.85336761577155,True,10,False,10,
5,3918,127,True,1,1525.3517742795545,-342.29998779296875,4249.31982421875,661.530029296875,-4535.5999755859375,13734.300537109375,177.09999084472656,1762.2000122070312,68.4000015258789,-3013.800048828125,1.0,0.09505873535458369,0.41706791039316554,-2.9534002431719664,b9a3c5b308b,yacine42152,7.0,-412.2300109863281,4162.77978515625,519.47998046875,-8542.60009765625,12607.900390625,-196.90000534057617,-3792.39990234375,-1063.1999969482422,-3838.800048828125,255.0,93.0,,0.6739789579345485,2.6493835849804115,0.3351238441941572,True,48,8,52,145.0000861613981,True,,bc87200b99b,Natsu-du-42,8.0,54.7400016784668,2884.300048828125,17.010000228881836,-13485.6005859375,3991.0000610351562,2.0999999344348907,0.5000000074505806,-0.0,-159.3000030517578,230.0,115.0,,-0.009590230891345001,0.288639673271967,7.282725323759494e-06,True,26,4,34,75.0,False,8.0,enpitsu,76561198039309853,27,1150.6600341796875,1202.5899658203125,17.059999465942383,-724.3000030517578,12153.00048828125,1.8000000715255737,-0.0,5.400000214576721,761.9999694824219,255.0,255.0,False,-0.01671391209120777,1.5317961022448188,0.00028018536130284963,True,30,28,False,166.15421943767095,True,,games5425898691,bf81d8692db,19.0,-945.8699951171875,4275.10986328125,184.83999633789062,-12357.5,-977.5,-160.10000228881836,-1247.300033569336,-5345.30029296875,348.1999969482422,255.0,183.0,,-0.33503028552601344,1.9284563544505815,1.1825652782737763,True,203.0,False,32,False,32,
6,4693,146,True,0,1285.7464176316573,73.43000030517578,4295.39990234375,298.8599853515625,-2323.0999755859375,23543.5009765625,1107.699966430664,-789.4999694824219,1642.8999328613281,4925.4998779296875,0.0,1.1464841470037714,-0.17933457605739556,0.06949483018717928,76561198039309853,enpitsu,27.0,130.9199981689453,4121.919921875,237.6300048828125,2473.8999938964844,15530.899658203125,2172.4000549316406,-1025.5000305175781,-4243.500061035156,193.99999618530273,255.0,255.0,,-0.3332280393018658,2.0659081118089557,-0.2920492884166369,True,5,False,8,109.0,False,,bf81d8692db,games5425898691,19.0,-1147.5799560546875,5048.8798828125,39.939998626708984,3622.9000854492188,-5452.9998779296875,-4103.0999755859375,-5402.9998779296875,-974.0000152587891,-329.3000030517578,255.0,128.0,,0.5233617211421777,-1.1340783135339403,0.05034818240334694,True,6,False,6,62.0,False,,yacine42152,b9a3c5b308b,7,413.20001220703125,5286.47998046875,58.209999084472656,4311.700134277344,-5625.4998779296875,3729.2999267578125,-589.0000152587891,-256.8000030517578,-2907.2000122070312,255.0,8.0,False,-0.01876624643695161,-1.1456300163506559,0.008219556702300283,True,17,16,False,0.0,False,,Natsu-du-42,bc87200b99b,7.0,-1439.3699951171875,5070.39013671875,75.43000030517578,9384.89990234375,1709.7999572753906,2290.500030517578,1271.9000244140625,-1991.0000610351562,1205.5999755859375,255.0,255.0,,-0.30578477584830055,0.22362610841405,0.8180100705740879,True,128.98283006298925,True,8,4,14,
7,5238,156,False,1,4079.067594747738,-617.75,1352.2099609375,231.9600067138672,5169.000244140625,29895.400390625,-3337.39990234375,-3011.7999267578125,-343.80001068115234,-5177.80029296875,1.0,0.4493545269691413,0.34129145820013657,1.0794829799798904,bc87200b99b,Natsu-du-42,7.0,-597.6799926757812,1196.31005859375,215.0500030517578,-7081.199951171875,15779.200439453125,1288.2000732421875,4257.300109863281,1909.9000549316406,-2911.4999389648438,216.0,0.0,True,0.31025466325721446,0.8996924936450433,-1.0537760498517337,True,7,False,8,133.9448257338616,True,,b9a3c5b308b,yacine42152,7.0,-663.0800170898438,1148.989990234375,71.08000183105469,13412.60009765625,18498.00048828125,2611.0000610351562,-5318.699951171875,-1342.4000549316406,398.10001373291016,255.0,255.0,True,-0.10866425708340162,2.5102800139604167,-0.17625672928635047,False,13,False,12,0.0,False,,enpitsu,76561198039309853,27,231.47000122070312,4248.97998046875,17.049999237060547,-738.7999725341797,5093.900146484375,2.7000001072883606,0.09999999776482582,-1.1999999731779099,-562.400016784668,0.0,0.0,,-0.01693050750204911,-1.6308267291714125,0.0002334861417587882,True,4,4,False,255.0,False,,games5425898691,bf81d8692db,19.0,-3820.1201171875,1561.6400146484375,17.479999542236328,1213.8999938964844,14659.599609375,-61.10000133514404,-29.700000286102295,-250.10000228881836,-206.20000839233398,255.0,128.0,,-0.0178331279772977,1.6792838820496374,0.020380926006962473,True,31.0,False,4,False,4,
8,5816,177,False,1,4691.189616506511,1355.2099609375,471.3399963378906,123.38999938964844,-9322.80029296875,22109.19921875,-17.59999990463257,-2403.0999755859375,2293.2000732421875,1908.3999633789062,1.0,-0.6862284925210558,2.567774800632102,0.6053489700562472,bc87200b99b,Natsu-du-42,7.0,1474.25,381.5299987792969,16.809999465942383,-9286.799926757812,21041.59912109375,-41.70000076293945,-24.200000762939453,-111.70000076293945,216.5999984741211,255.0,183.0,False,-0.014726004295603211,1.154154177611549,-0.005511875484457279,False,10,False,10,23.319982949123595,True,,b9a3c5b308b,yacine42152,7.0,2076.889892578125,-1193.02001953125,17.0,-5084.700012207031,22271.8994140625,3.3000001311302185,-0.7000000029802322,3.400000035762787,921.6999816894531,255.0,255.0,False,-0.009588418376165054,1.339778313123388,0.00010634234378986687,True,20,False,20,88.0,False,,enpitsu,76561198039309853,27,1960.5,1214.3299560546875,17.030000686645508,-18572.60009765625,4365.10009765625,5.299999713897705,2.7000001072883606,-0.9000000357627869,-1104.5999908447266,255.0,128.0,False,-0.01683153592413774,0.23589485947990077,-0.00021803736761187985,True,10,10,False,165.3856258007788,True,,games5425898691,bf81d8692db,19.0,-71.44000244140625,1549.18994140625,17.010000228881836,-5981.400146484375,21743.701171875,2.0000000298023224,-0.0,0.9000000357627869,67.30000019073486,255.0,128.0,,-0.009612180649956701,1.2941595602210823,-0.00010237489111863977,True,100.0,False,10,False,10,
9,5981,183,True,1,3857.8045909750845,-2535.5,3377.199951171875,584.4400024414062,18491.99951171875,9436.500244140625,-11261.600341796875,-4018.2000732421875,2222.899932861328,-3861.6000366210938,1.0,-0.4429277006982786,-0.859414113756579,0.430575041155217,b9a3c5b308b,yacine42152,7.0,-2714.56005859375,3283.639892578125,576.2999877929688,4442.699890136719,17311.199951171875,2330.0,2811.099853515625,3509.8001098632812,3166.7001342773438,255.0,17.0,True,0.6645075925592342,2.756873094327083,0.021589056464427214,True,22,4,24,166.06343211922598,True,,bc87200b99b,Natsu-du-42,7.0,-2988.97998046875,-3083.590087890625,16.459999084472656,857.7999877929688,-21370.10009765625,83.90000343322754,-71.50000095367432,66.10000133514404,-1793.5000610351562,225.0,0.0,False,-0.01262728261782683,-1.5851702388938358,-3.132114079460089e-05,False,16,False,16,,False,,enpitsu,76561198039309853,27,-2205.31005859375,3828.64990234375,212.58999633789062,-4312.39990234375,-9235.999755859375,3199.2001342773438,-1182.2000122070312,550.2000045776367,0.29999999329447746,255.0,128.0,False,0.7617317649929689,-1.1352900077800352,-0.00014593185441513494,True,14,13,False,138.0,False,,games5425898691,bf81d8692db,19.0,-2622.6201171875,3853.27001953125,197.38999938964844,5159.0997314453125,-15241.600341796875,2860.2999877929688,1497.5999450683594,3146.300048828125,-1711.6000366210938,255.0,214.0,,0.9001560558657995,-1.9005350723859262,-0.39643336713323124,True,214.1926708016345,True,11,False,12,
