,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_jump_active,opp_2_dodge_active,opp_2_ball_cam,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,872,25,True,1,5407.763943935001,-3052.9599609375,1445.4599609375,229.69000244140625,14563.00048828125,15866.700439453125,9344.69970703125,-359.39998626708984,-4746.300048828125,-3652.7999877929688,1.0,-0.10888118693923288,-3.0923799936561274,-2.3240772679430406,76561198039309853,enpitsu,24.0,-3181.6201171875,1337.9200439453125,84.0999984741211,11936.800537109375,19580.2001953125,1768.2000732421875,-2089.600067138672,5070.299987792969,-418.10001373291016,255.0,0.0,,-0.4182726777102572,1.8546324705576391,0.4520906044691772,True,6,5,False,64.0,False,,bf81d8692db,games5425898691,19.0,387.0199890136719,1801.47998046875,17.0,11630.400390625,17965.10009765625,3.799999952316284,1.1999999731779099,1.8000000715255737,450.8000183105469,255.0,210.0,,-0.009593269443567583,2.14560158839262,7.616257082769037e-05,True,188.0,False,False,10,10,,ratail83,ba52e0253bb,8,-1421.6199951171875,3623.280029296875,46.13999938964844,-9489.099731445312,-8525.499877929688,3461.400146484375,-70.79999923706055,77.69999980926514,109.89999771118164,255.0,128.0,,-0.008627183301129411,-0.750018938900084,-0.00025079161061369024,True,11,4,231.37339355868676,True,6,,Zrocken,bc019ebf85b,17.0,487.54998779296875,3747.5,17.010000228881836,2415.7000732421875,18496.500244140625,2.5999999046325684,-0.09999999776482582,1.0000000149011612,90.69999694824219,128.0,146.0,,-0.009623810176970702,1.701057003206274,-3.133042275417888e-05,10,10,True,False,245.0,False,
1,1370,34,False,0,1305.9715783215352,-1824.9200439453125,4222.02978515625,151.41000366210938,23531.69921875,16181.8994140625,-7134.4000244140625,-2365.0,1239.1000366210938,-5373.0999755859375,0.0,0.9932264102819504,1.4278094358132247,1.7168990803031983,bc019ebf85b,Zrocken,16.0,-2014.199951171875,3985.969970703125,193.89999389648438,15144.3994140625,14521.600341796875,924.1999816894531,-925.2999877929688,5399.4000244140625,489.7999954223633,255.0,0.0,,-0.09427136381829399,1.703672610749117,1.4219624826696364,True,6,5,False,29.0,False,,ba52e0253bb,ratail83,8.0,-2423.47998046875,-346.5400085449219,17.010000228881836,4309.4000244140625,5875.8001708984375,2.7000001072883606,0.7000000029802322,-0.19999999552965164,0.29999999329447746,255.0,128.0,False,0.009566286171221164,0.9380889036660227,-8.688815301737947e-06,True,240.0,False,False,4,4,,enpitsu,76561198039309853,24,2975.530029296875,4113.31005859375,17.049999237060547,-9167.999877929688,10712.39990234375,3.100000023841858,-0.5999999865889549,0.29999999329447746,11.499999761581421,255.0,128.0,,0.016757329974787325,2.2801704298428596,-5.86445046483068e-05,True,2,False,255.0,False,2,,games5425898691,bf81d8692db,19.0,-1181.5999755859375,4484.68017578125,154.75,-16750.50048828125,-8832.19970703125,2683.5000610351562,-409.3000030517578,-1820.5000305175781,-769.8999786376953,255.0,82.0,,-0.44177503414441227,-2.6825988765068267,0.0822014610836638,4,3,True,False,136.6758364400556,True,
2,1981,56,False,0,4326.291302162567,425.3399963378906,1020.4299926757812,180.49000549316406,-5350.4998779296875,29423.798828125,-3986.6000366210938,-1767.2999572753906,-2688.800048828125,2135.399932861328,0.0,-0.2655006221906223,-1.0406509896657679,0.8422241447942976,bc019ebf85b,Zrocken,17.0,451.8699951171875,813.22998046875,200.1199951171875,1635.2999877929688,22870.70068359375,1804.4999694824219,-5408.599853515625,986.9999694824219,151.09999656677246,255.0,170.0,False,0.37932840982640165,1.4012362550730577,0.021669941170911984,True,10,9,False,169.0,False,,ba52e0253bb,ratail83,8.0,467.1600036621094,864.52001953125,17.010000228881836,-8236.400146484375,1439.7000122070312,3.0000001192092896,-1.4000000059604645,-0.9000000357627869,-2258.000030517578,128.0,0.0,,0.009559914938898767,2.9415456866508705,-9.733364743014718e-05,True,19.0,False,4,12,8,,enpitsu,76561198039309853,24,75.73999786376953,5653.10009765625,28.8799991607666,0.5999999865889549,1739.1000366210938,68.09999942779541,-4.300000071525574,3.400000035762787,-47.39999771118164,255.0,128.0,,0.05606404405034944,-1.5914473343091644,-0.000708819938720169,True,2,False,255.0,False,2,,games5425898691,bf81d8692db,19.0,-3588.030029296875,-165.57000732421875,17.010000228881836,95.50000190734863,22999.7998046875,0.0,0.0,-2.5999999046325684,-411.6999816894531,255.0,51.0,,0.009597726563907944,1.5657290540084596,-4.720615365786101e-05,6,6,True,False,251.88095495265017,True,
3,2274,67,False,0,3323.4703002889523,852.969970703125,2313.949951171875,150.5800018310547,-625.0,12961.99951171875,1051.8000030517578,-504.0999984741211,2628.800048828125,4548.399963378906,0.0,-1.1048583617489947,-1.9243963754375122,-3.115468590546992,ba52e0253bb,ratail83,8.0,789.47998046875,2287.530029296875,16.760000228881836,-5304.5001220703125,13347.60009765625,-137.39999771118164,360.99998474121094,645.2999877929688,-1640.0999450683594,255.0,0.0,False,-0.002085358056308289,1.9314115739501285,0.008887267280930682,False,14,10,4,0.0,False,,bc019ebf85b,Zrocken,17.0,504.3800048828125,-2087.199951171875,17.010000228881836,-3240.10009765625,12547.2998046875,2.5999999046325684,0.0,0.7000000029802322,0.7999999821186066,176.0,128.0,False,0.009591044785885496,1.8236870398866665,-6.51201849915952e-05,True,255.0,False,False,12,12,,enpitsu,76561198039309853,24,139.6699981689453,5296.97021484375,16.84000015258789,2328.3999633789062,-5834.2999267578125,-28.80000114440918,-88.00000190734863,77.69999980926514,-2269.4000244140625,128.0,255.0,False,0.013277788701125547,-1.2104314536772618,-0.0010711082945511414,True,4,False,255.0,False,4,,games5425898691,bf81d8692db,19.0,-2005.780029296875,4139.18017578125,17.010000228881836,18092.5,11149.69970703125,2.800000011920929,0.7000000029802322,0.5999999865889549,-1895.0,255.0,0.0,,0.009576334117304368,0.48819813178778326,-0.00012225814005843288,10,10,True,False,54.0,False,
4,2311,68,False,0,2450.3993660299625,1199.5799560546875,3869.9599609375,111.75,-4660.10009765625,15728.399658203125,1236.9000244140625,-918.6000061035156,4625.899963378906,-447.79998779296875,0.0,-0.22803643588844208,-1.1888016626592128,2.0036702829766564,ba52e0253bb,ratail83,8.0,1315.5799560546875,3732.85009765625,90.23999786376953,-2922.9998779296875,12656.800537109375,2768.9999389648438,-504.7999954223633,-5437.0001220703125,658.6000061035156,255.0,255.0,False,0.2694768701333527,1.7406129438131535,-0.5373092390186266,False,16,11,4,0.0,False,,bc019ebf85b,Zrocken,17.0,1007.3599853515625,-597.0,17.010000228881836,3302.7999877929688,10408.800048828125,2.7000001072883606,-1.0999999940395355,-5.299999713897705,1194.1999816894531,225.0,128.0,False,0.009580466641937447,1.321701704779796,-6.146086250508753e-05,True,255.0,False,False,12,12,,enpitsu,76561198039309853,24,657.1199951171875,4616.759765625,17.049999237060547,1909.2999267578125,-811.1000061035156,3.100000023841858,-0.9000000357627869,-1.1999999731779099,0.09999999776482582,255.0,128.0,False,0.01695814500665089,-0.4016497613676547,3.2835809239152624e-05,True,4,False,255.0,False,4,,games5425898691,bf81d8692db,19.0,901.0900268554688,4133.1298828125,102.98999786376953,21391.99951171875,-8148.499755859375,2231.699981689453,3661.199951171875,2073.5000610351562,-895.1000213623047,255.0,30.0,,0.015943626848187852,-0.1898816246694638,0.04191071917847358,12,11,True,False,44.0,False,
5,4478,147,True,0,991.8971189291478,-1.309999942779541,4711.759765625,98.19000244140625,-6465.8001708984375,23940.50048828125,3497.60009765625,-5315.999755859375,-2480.7000732421875,-1259.1000366210938,0.0,-0.07216549537243518,1.069585030810103,-1.6691670701072554,ba52e0253bb,ratail83,8.0,26.450000762939453,4501.31982421875,177.27000427246094,-5499.7998046875,21021.69921875,-221.70000076293945,-1082.9000091552734,-5372.80029296875,458.10001373291016,255.0,228.0,False,0.32724436223969333,1.398019693958646,-1.6806385944585769,True,38,27,8,74.68285609573445,True,,bc019ebf85b,Zrocken,18.0,-3384.949951171875,424.5199890136719,61.75,-17834.300537109375,-11564.200439453125,-8237.19970703125,1897.2999572753906,546.5999984741211,3979.89990234375,252.0,255.0,,-0.06441150615191898,1.9821079808420636,0.4634389677657037,True,222.0,False,False,36,30,,enpitsu,76561198039309853,24,-330.0799865722656,4886.0,94.44999694824219,17336.99951171875,2656.7999267578125,2540.0,-828.3999633789062,5437.19970703125,0.29999999329447746,0.0,128.0,False,-0.7017154232225615,-2.990286146810676,-0.00012409372477447137,True,4,False,118.0,False,3,,games5425898691,bf81d8692db,19.0,-3029.22998046875,1271.719970703125,16.989999771118164,-13713.299560546875,17623.599853515625,3.100000023841858,0.0,0.09999999776482582,-1996.9999694824219,255.0,0.0,,0.009599344965577555,2.1538825927001595,-2.8244860302865506e-06,32,32,True,False,21.329359208383877,True,
6,7927,254,True,0,5018.0410180020035,1580.280029296875,775.510009765625,344.04998779296875,-6301.9000244140625,27859.29931640625,6307.39990234375,3668.5000610351562,602.5,3357.2000122070312,0.0,0.6422651419991978,0.07573655290373905,2.9931353052204783,bc019ebf85b,Zrocken,17.0,1593.9599609375,634.280029296875,223.3000030517578,4735.0,18847.39990234375,881.5000152587891,-1345.3999328613281,-5189.89990234375,1226.6000366210938,255.0,232.0,,-0.2391316005767168,1.4416030653881953,-0.00504807959340406,True,14,11,False,93.00930770494605,True,,ba52e0253bb,ratail83,8.0,3069.080078125,3433.929931640625,17.010000228881836,-14766.700439453125,5013.2000732421875,0.7000000029802322,0.7000000029802322,-0.29999999329447746,2028.0999755859375,255.0,255.0,,0.00958234235653375,2.8767674707181246,6.799717752665129e-05,True,136.0,False,4,12,6,,enpitsu,76561198039309853,25,2114.159912109375,3812.449951171875,17.040000915527344,-18638.199462890625,7793.4002685546875,4.799999892711639,-0.09999999776482582,-2.199999988079071,1964.1000366210938,0.0,255.0,,0.016868213909003286,2.818085856141672,2.9764938800096745e-05,True,10,False,151.0,False,10,,games5425898691,bf81d8692db,19.0,3425.820068359375,3570.929931640625,17.0,-13904.69970703125,18320.899658203125,1.8000000715255737,1.5000000596046448,-3.3000001311302185,1355.5000305175781,255.0,208.0,,0.009566538647040665,2.273681261818262,0.00012724315762167767,8,6,True,False,131.55280025287342,True,
7,8429,263,True,1,3280.8362551585674,-1721.72998046875,3162.280029296875,104.55000305175781,15032.39990234375,26148.40087890625,3540.7000732421875,-4504.2999267578125,-3603.2998657226562,1651.199951171875,1.0,0.32754144557944537,2.4556889204549925,-2.5456700596745265,76561198039309853,enpitsu,24.0,-1890.9200439453125,2993.5400390625,19.5,11266.800537109375,19836.400146484375,2928.0999755859375,-0.0,0.3999999910593033,0.0,255.0,128.0,False,-0.016767770159351617,2.0873459809464965,-3.415857390307748e-05,True,6,4,False,97.0,False,,bf81d8692db,games5425898691,19.0,-1976.8800048828125,1080.0799560546875,17.010000228881836,640.5999755859375,12166.800537109375,2.5999999046325684,-0.0,0.5000000074505806,-527.5,255.0,128.0,,-0.009554094418521753,1.6727719635529639,0.00024581434255998257,True,87.0,False,False,4,4,,ratail83,ba52e0253bb,8,-828.7999877929688,-1422.4300537109375,17.010000228881836,6733.499755859375,849.1000366210938,2.7000001072883606,1.1999999731779099,-0.09999999776482582,73.49999904632568,255.0,128.0,,-0.009529942287367695,3.006624248064478,-0.00011830684396263493,True,6,4,0.0,False,4,,Zrocken,bc019ebf85b,17.0,-780.47998046875,3004.639892578125,81.72000122070312,-1951.300048828125,17292.60009765625,4210.199890136719,-0.0,0.09999999776482582,0.5999999865889549,255.0,128.0,,-0.009591525073618965,1.4581604621958826,-2.4727330711974762e-05,8,4,True,False,3.0,False,
8,9559,295,True,0,1249.9282452588575,-92.43000030517578,4182.60986328125,239.89999389648438,-4909.599914550781,14756.600341796875,-5035.5999755859375,-3581.099853515625,1522.7000427246094,4566.9000244140625,0.0,0.010131274966380633,1.8872463692224757,2.1059324059018607,bc019ebf85b,Zrocken,17.0,-106.80000305175781,4045.080078125,216.0800018310547,7745.3997802734375,8649.199829101562,1773.3999633789062,4831.499938964844,1415.3999328613281,2214.2999267578125,255.0,24.0,False,-0.37837559945898863,0.7556515300938798,0.8941354719791986,True,18,15,4,173.0,False,,ba52e0253bb,ratail83,8.0,-330.5,4921.1298828125,17.020000457763672,-7404.5001220703125,-10982.5,1.8000000715255737,0.0,0.5999999865889549,2269.1000366210938,255.0,252.0,,0.009590816237342353,-2.0964871216667347,2.6650288788302724e-05,True,201.0,False,False,12,10,,enpitsu,76561198039309853,24,37.09000015258789,4271.240234375,48.970001220703125,-14025.699462890625,-4951.499938964844,3401.199951171875,137.70000457763672,-501.8000030517578,-1204.4999694824219,255.0,0.0,False,0.029782559434873433,-2.9036037094144653,0.0008930397567853567,True,10,False,151.0,False,9,34.0,games5425898691,bf81d8692db,19.0,1294.780029296875,5103.0,305.17999267578125,-13088.699951171875,-1.7000000178813934,4569.5001220703125,-11.000000238418579,1163.0000305175781,0.5000000074505806,255.0,128.0,,-0.4013821767640328,3.1313316271454625,-1.5670488534388993,12,12,True,False,67.7640345276043,True,
9,10483,313,True,1,2404.04071724143,-661.7999877929688,3308.969970703125,341.9200134277344,1284.2999267578125,26146.298828125,1192.5,2267.2000122070312,-392.09999084472656,5541.199951171875,1.0,0.8124277536141083,-1.1285639411910617,-2.2077182067452013,bf81d8692db,games5425898691,19.0,-657.1099853515625,3120.570068359375,283.8299865722656,11551.600341796875,19181.500244140625,550.9000015258789,-1874.2999267578125,-2748.5000610351562,-4379.700012207031,255.0,128.0,,0.3480713980900187,2.011138342779391,-1.4096794679137041,True,8,5,False,123.54760413785135,True,,76561198039309853,enpitsu,24.0,-1474.719970703125,4531.3798828125,17.030000686645508,11840.999755859375,-16506.300048828125,1.5000000596046448,0.5999999865889549,-0.19999999552965164,-415.40000915527344,255.0,,,-0.016771921091493707,-2.1553654465033176,0.000130769722781748,True,143.54760413785132,True,False,4,4,,ratail83,ba52e0253bb,8,-571.52001953125,4036.93994140625,103.30999755859375,10712.2998046875,-14444.69970703125,2865.0,-2216.1000061035156,-1071.3999938964844,-3445.2999877929688,255.0,128.0,,0.2620395462336133,-1.6348851755811886,0.0578546515968688,True,10,False,118.54760413785135,True,8,,Zrocken,bc019ebf85b,17.0,-404.2699890136719,3527.169921875,163.8300018310547,-8197.7001953125,-21230.2001953125,3327.6998901367188,167.99999237060547,-242.29999542236328,-233.70000839233398,255.0,128.0,,0.5623115345294907,-1.1321382006903207,0.028947939321865464,6,3,True,4,21.547604137851348,True,
