,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_jump_active,opp_2_boost_collect
0,596,15,True,0,3815.5792731519105,-2218.3798828125,1560.9000244140625,137.72999572753906,17353.199462890625,21321.39892578125,6015.999755859375,-1800.0,-5431.9000244140625,1803.8999938964844,0.0,-0.29696326769792597,1.8927695408556349,1.9993230525555246,befde14102b,Deepblacknight0,6.0,-2421.010009765625,1402.1800537109375,16.989999771118164,17025.2001953125,15331.8994140625,4.699999988079071,3.700000047683716,3.3000001311302185,-943.3999633789062,255.0,128.0,,0.00959822476572369,0.6867104557709941,-6.903662376207881e-05,True,207.0,False,4,6,8,,76561198074156458,White General,14.0,-1962.510009765625,742.7899780273438,17.010000228881836,11915.400390625,18349.49951171875,2.3000000417232513,0.0,0.09999999776482582,-1968.0999755859375,255.0,0.0,,0.009570956630142484,0.9196007301555194,-1.028294637865088e-05,True,83.0,False,4,False,4,,enpitsu,76561198039309853,27.0,3426.739990234375,-1313.5999755859375,92.4800033569336,1648.0999755859375,18699.000244140625,-143.100004196167,-5478.699951171875,483.49998474121094,0.0,128.0,128.0,,-0.9969875198747297,-1.6588050182579361,3.1415783153750363,True,,False,10,False,8,,games5425898691,bf81d8692db,21.0,-2754.35009765625,-2138.610107421875,221.08999633789062,5016.199951171875,22339.49951171875,2180.2000427246094,-5314.6002197265625,1415.0,43.400001525878906,255.0,130.0,,-0.09747653843717069,1.3098169787536205,0.01400418623588079,True,168.0,False,False,9,10,
1,897,17,False,0,5200.971373190439,-0.7400000095367432,16.65999984741211,91.25,-1741.1000061035156,27033.5009765625,-1657.7000427246094,-3465.1998901367188,1466.9000244140625,4673.299865722656,0.0,0.02231907929156002,0.06549167685018235,-0.048228607543131845,76561198074156458,White General,14.0,47.81999969482422,-132.05999755859375,107.73999786376953,10684.300537109375,17539.000244140625,695.0,510.29998779296875,-0.5999999865889549,4415.799865722656,255.0,255.0,,0.6161974261560773,-0.30953913584522913,-2.67769483064464,True,0.0,False,False,3,4,,befde14102b,Deepblacknight0,6.0,0.0,-5238.85986328125,17.010000228881836,0.0,-7355.8001708984375,2.0999999344348907,1.5000000596046448,0.0,0.0,255.0,,,0.009346042612056593,1.5707876150693114,-4.096788818646429e-08,True,116.0,False,False,False,False,,enpitsu,76561198039309853,27.0,0.0,2382.169921875,17.049999237060547,0.0,-4343.999938964844,2.7000001072883606,-1.1999999731779099,0.0,0.0,255.0,,,0.01692219923377495,-1.5707458848599967,-7.202784169945338e-06,True,112.0,False,2,False,2,,games5425898691,bf81d8692db,20.0,68.8499984741211,386.2200012207031,76.7699966430664,-2945.5999755859375,-22624.49951171875,2311.199951171875,5486.199951171875,-385.99998474121094,42.800002098083496,128.0,136.0,,0.6254530679309834,-1.640578767520345,0.0021230390877770167,True,31.0,False,False,3,4,
2,1323,32,False,1,1560.903547608195,2.4800000190734863,3860.139892578125,143.3699951171875,-2276.3999938964844,15389.300537109375,8424.299926757812,5141.199951171875,-1047.0999908447266,-2910.4000854492188,1.0,0.5288467278710971,0.7488261686468142,-1.7901522581823173,bf81d8692db,games5425898691,21.0,-86.18000030517578,3713.320068359375,57.47999954223633,-16735.699462890625,12841.700439453125,-3646.9000244140625,1704.6000671386719,-1308.9999389648438,-4883.800048828125,255.0,128.0,,0.4131704626771768,1.5872031787033685,0.5914553673848285,True,0.0,False,False,8,8,,76561198039309853,enpitsu,27.0,2199.52001953125,4731.009765625,92.2300033569336,-1078.3000183105469,22032.80029296875,-6422.19970703125,-2529.7999572753906,3729.1000366210938,-152.5,255.0,0.0,,-0.7122683126091701,2.585736333608605,0.7536367194785664,True,17.0,False,6,False,6,,Deepblacknight0,befde14102b,14.0,1211.530029296875,5069.4599609375,63.689998626708984,-13702.2998046875,2716.7999267578125,1505.7000732421875,2526.199951171875,-1064.800033569336,190.40000915527344,255.0,187.0,,0.13831516577976774,0.21639756477074898,-0.8170391066600039,True,255.0,False,6,False,6,,White General,76561198074156458,14.0,98.19999694824219,4031.889892578125,16.979999542236328,-12198.199462890625,-12608.399658203125,3.6000001430511475,-0.5999999865889549,-0.5000000074505806,-1938.699951171875,255.0,0.0,,-0.00960197939286768,-0.7388438136362582,-7.137301295793373e-05,True,167.34985827117833,True,False,6,6,
3,1751,48,True,1,1954.1933981500085,-876.239990234375,4316.56982421875,133.19000244140625,15089.69970703125,25806.10107421875,4361.400146484375,1237.9000091552734,3469.7000122070312,-4735.799865722656,1.0,0.08673050501656343,-0.5933586622762769,3.022779866392185,bf81d8692db,games5425898691,20.0,-974.260009765625,4113.7099609375,77.91999816894531,-3933.2998657226562,19659.89990234375,3378.9999389648438,3872.60009765625,-119.30000305175781,-3625.7000732421875,255.0,0.0,,-0.020787864205752484,1.4416460526229862,-0.007326000627367607,True,142.2930666451813,True,False,12,13,,76561198039309853,enpitsu,27.0,-922.3300170898438,4847.0,17.049999237060547,-906.3999938964844,1014.5999908447266,2.5999999046325684,-1.7000000178813934,-0.3999999910593033,-45.79999923706055,128.0,128.0,False,-0.017108388015236654,-2.3063351297850603,7.534071157392814e-05,True,46.0,False,8,2,10,,Deepblacknight0,befde14102b,6.0,-745.760009765625,4958.6298828125,16.549999237060547,783.0000305175781,-7434.1998291015625,90.29999732971191,28.299999237060547,10.199999809265137,-2423.2000732421875,255.0,0.0,False,-0.0077692651199640994,-1.6395914394146869,0.0005040031011438094,True,60.89158680105722,True,12,False,12,,White General,76561198074156458,14.0,3714.56005859375,1258.5699462890625,16.84000015258789,-10042.5,16006.500244140625,40.59999942779541,27.5,-63.80000114440918,1285.7000732421875,255.0,128.0,False,-0.008876397306678364,0.9344804794930643,0.0040961840060935485,True,255.0,False,False,12,12,
4,2572,69,False,0,4944.608984475838,1727.02001953125,948.469970703125,168.00999450683594,-9000.700073242188,24940.6005859375,3358.9999389648438,3543.900146484375,3204.8001098632812,-3628.900146484375,0.0,0.3168072975913224,-2.2824579497158135,1.0693935431184634,befde14102b,Deepblacknight0,6.0,1842.1199951171875,698.6199951171875,97.41999816894531,-10541.600341796875,20240.2001953125,2764.2001342773438,-2200.399932861328,-3964.2001342773438,3113.2998657226562,142.0,175.0,,0.16310878825930838,2.3985471427488885,0.0032708125769214235,True,128.0,False,False,11,12,,76561198074156458,White General,14.0,1742.489990234375,-1077.9100341796875,17.010000228881836,-7675.7000732421875,6915.999755859375,2.0999999344348907,0.3999999910593033,-0.9000000357627869,-43.60000133514404,255.0,128.0,,0.009507583591612835,2.4015457067365507,9.065459434478133e-05,True,61.0,False,8,False,8,,enpitsu,76561198039309853,27.0,3611.800048828125,-176.94000244140625,17.049999237060547,-407.99999237060547,18623.00048828125,2.5999999046325684,0.0,0.3999999910593033,16.299999952316284,255.0,128.0,False,0.016779013190384096,1.5945876691150425,-4.4614514667064124e-05,True,0.0,False,13,2,10,,games5425898691,bf81d8692db,21.0,2282.1201171875,4761.85986328125,17.020000457763672,-10440.6005859375,9173.599853515625,1.0999999940395355,0.09999999776482582,-0.19999999552965164,2165.5999755859375,255.0,255.0,,0.009571109195574133,2.482966073750021,2.9977719628375994e-05,True,242.0,False,False,6,6,
5,2904,81,True,1,5220.239582517953,-2147.969970703125,899.1099853515625,221.22999572753906,12282.7001953125,30333.5009765625,2350.2999877929688,2344.2999267578125,1707.7000427246094,-5252.2998046875,1.0,0.12008369144451185,2.745095422462165,-2.337122526717522,76561198039309853,enpitsu,27.0,-2167.489990234375,608.280029296875,205.3800048828125,-6669.4000244140625,21954.599609375,1584.7000122070312,-3717.7999877929688,-1132.2000122070312,-75.79999923706055,255.0,0.0,False,-0.06904153959125298,1.2764833575287091,-4.1557196914794314e-05,True,148.0,False,2,13,16,,bf81d8692db,games5425898691,21.0,-2299.199951171875,4280.33984375,16.989999771118164,-14041.99951171875,-1277.9000091552734,4.4999998807907104,0.5999999865889549,-0.19999999552965164,0.0,255.0,128.0,,-0.009561760682587298,-0.09077865409723385,5.08736638906245e-05,True,0.0,False,10,False,12,,Deepblacknight0,befde14102b,6.0,-3977.909912109375,2402.340087890625,60.52000045776367,9143.599853515625,-1248.8999938964844,-7146.500244140625,1270.8000183105469,-4860.199890136719,202.09999084472656,255.0,225.0,False,-0.5895499529954066,-3.028507148671364,-0.059658268668326825,True,209.0,False,14,False,14,,White General,76561198074156458,14.0,-2462.81005859375,2561.10009765625,17.010000228881836,-13985.899658203125,10431.300048828125,2.3999999463558197,-0.0,-0.0,-1976.300048828125,255.0,0.0,False,-0.009596907964103622,0.7131978978575236,5.187324637051969e-09,True,188.0,False,False,12,12,
6,3631,98,False,0,3005.3368922503023,1974.6800537109375,4250.47998046875,163.02999877929688,-17193.499755859375,7995.3997802734375,8214.89990234375,5347.7001953125,698.0000305175781,2629.4000244140625,0.0,0.00969623103478527,-0.7012090043746456,-0.7194955615448264,befde14102b,Deepblacknight0,6.0,2108.39990234375,4122.3701171875,100.33000183105469,-9968.599853515625,8558.699951171875,2751.7999267578125,-1373.6000061035156,-1668.6000061035156,989.8000335693359,128.0,185.0,,0.23524013598749188,2.5628638355044684,0.014803085748337351,True,132.0,False,False,4,6,,76561198074156458,White General,14.0,1877.6600341796875,49.4900016784668,16.989999771118164,-12004.300537109375,1054.7000122070312,5.0,0.19999999552965164,0.0,-2358.5000610351562,255.0,0.0,False,0.009551306232855931,2.9892831148809456,2.3272532185737746e-05,True,31.0,False,6,False,6,,enpitsu,76561198039309853,27.0,1374.530029296875,4449.41015625,81.43000030517578,13454.69970703125,-8822.999877929688,4175.400085449219,5.099999904632568,-2.0999999344348907,-774.7000122070312,128.0,255.0,,0.01704792709409421,-0.74881890529493,0.001978392447100859,True,39.8454623094169,True,6,False,5,,games5425898691,bf81d8692db,21.0,1798.8499755859375,3515.1201171875,17.010000228881836,-12373.1005859375,3559.7000122070312,2.0000000298023224,1.2999999523162842,-0.29999999329447746,-112.10000038146973,255.0,128.0,,0.009560654124515478,2.846246567337232,0.00014314645290258566,True,255.0,False,4,8,10,
7,4572,132,True,1,1870.1250686164228,-734.27001953125,4223.7099609375,196.77999877929688,11606.099853515625,13171.99951171875,6166.7999267578125,3422.9000854492188,1231.2000274658203,4771.499938964844,1.0,0.24499169285245015,-1.9524854777619296,-2.5686008949261376,bf81d8692db,games5425898691,20.0,-832.8400268554688,4055.510009765625,140.8800048828125,21180.2001953125,7273.3001708984375,33.09999942779541,-5381.5997314453125,-1133.6000061035156,48.69999885559082,255.0,247.0,,-0.4284913966850719,2.8093702092348227,-1.3541464563139813,True,21.0,False,4,23,26,,76561198039309853,enpitsu,27.0,-986.5700073242188,3694.929931640625,17.040000915527344,10793.199462890625,-6450.5999755859375,3.799999952316284,1.0000000149011612,-0.0,111.09999656677246,128.0,255.0,False,-0.016823372158082522,-2.6165997800461795,-0.00011285908969803532,True,55.0,False,12,False,14,,Deepblacknight0,befde14102b,6.0,-580.510009765625,4855.93017578125,484.79998779296875,18914.599609375,849.7000122070312,-517.5,-2814.89990234375,1903.9999389648438,-4324.4000244140625,128.0,128.0,,0.5559208322577232,-0.2539575102192754,1.087894915102262,True,77.0,False,16,False,13,,White General,76561198074156458,14.0,-3221.409912109375,4665.43017578125,55.65999984741211,-16648.599853515625,-7551.099853515625,3911.9000244140625,3919.2001342773438,2147.100067138672,1515.8000183105469,255.0,255.0,,0.20874081067113706,-0.45159929769466284,-0.535005085289321,True,202.0,False,4,22,20,
8,4847,133,False,0,5185.284341182703,-5.289999961853027,31.790000915527344,102.5999984741211,-3741.7999267578125,24335.30029296875,7273.699951171875,4160.799865722656,805.8999633789062,-60.59999942779541,0.0,0.013454650985750802,-0.0005427851790927518,0.06934068162524122,76561198074156458,White General,14.0,14.65999984741211,-130.14999389648438,16.149999618530273,-3847.5,16334.100341796875,-280.10000228881836,946.2999725341797,725.8999633789062,-1909.7000122070312,255.0,128.0,,-0.019741723677318565,1.7211802804217853,0.01200233844578539,True,0.0,False,False,False,False,,befde14102b,Deepblacknight0,6.0,61.25,-5008.97998046875,17.010000228881836,-50.79999923706055,4405.899963378906,2.0999999344348907,-0.9000000357627869,0.0,0.0,255.0,128.0,,0.00939960019124481,1.582398444499768,1.1215626126393488e-06,True,116.0,False,False,False,False,,enpitsu,76561198039309853,27.0,9.359999656677246,3638.469970703125,17.049999237060547,-968.7000274658203,-10093.800048828125,2.7000001072883606,0.5000000074505806,0.19999999552965164,-0.09999999776482582,255.0,128.0,False,0.016645145896676313,-1.666514877637035,2.7695696534609943e-05,True,116.0,False,False,False,False,,games5425898691,bf81d8692db,20.0,-82.16000366210938,430.6700134277344,80.80999755859375,22.200000286102295,-22628.30078125,2413.5000610351562,5410.4998779296875,-978.0999755859375,-138.100004196167,128.0,128.0,,0.6326779707120131,-1.7679320228095645,-0.013609011130258418,True,31.0,False,False,3,4,
9,5047,140,False,1,1469.207825010479,94.80999755859375,3908.469970703125,597.6799926757812,9499.299926757812,18628.800048828125,-6531.400146484375,-1958.2000732421875,-1266.6999816894531,-5528.0999755859375,1.0,-0.27511674155323934,1.3244811378687715,1.8097728431855031,bf81d8692db,games5425898691,20.0,96.94000244140625,3727.090087890625,613.530029296875,-20158.900146484375,10871.099853515625,900.5999755859375,-383.80001068115234,-5335.5999755859375,-1278.0000305175781,255.0,223.0,,-0.322006147965567,1.0069340291915583,-0.7218540722121979,True,92.62392264796837,True,False,7,8,,76561198039309853,enpitsu,27.0,-2674.070068359375,4698.85986328125,16.889999389648438,-926.1000061035156,-12616.099853515625,36.90000057220459,59.099998474121094,10.0,-108.80000114440918,255.0,128.0,False,-0.013603544777735423,-1.4856583622206787,0.0009707594795643253,True,148.8810496509716,True,False,False,2,,Deepblacknight0,befde14102b,6.0,-3301.949951171875,3366.0,16.989999771118164,-250.30000686645508,20116.500244140625,2.199999988079071,-0.0,0.09999999776482582,-92.5,255.0,110.0,,-0.009598580838939297,1.5571483952070106,-7.946149907277915e-05,True,0.0,True,4,False,4,,White General,76561198074156458,14.0,288.0400085449219,3997.2900390625,516.510009765625,-11857.900390625,-5009.89990234375,5062.0001220703125,-1054.1000366210938,-3748.2000732421875,3884.4000244140625,255.0,0.0,False,0.20971200388966416,-0.7387467507961637,1.0731793708771395,True,168.0,False,False,5,6,
