,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,173,0,False,1,5151.204101765481,10.420000076293945,65.48999786376953,106.72000122070312,4004.8001098632812,27597.39990234375,5769.7998046875,-461.5999984741211,26.400001049041748,281.200008392334,1.0,0.0006825998451959852,-0.007025606902450571,0.011558787549207816,bf81d8692db,games5425898691,23.0,-29.260000228881836,-257.3999938964844,21.979999542236328,1824.9000549316406,20453.399658203125,2998.9999389648438,0.3999999910593033,3.8999998569488525,-997.0999908447266,255.0,101.0,,-0.00958974519114355,1.7137545195029087,7.826020460243378e-05,True,4,False,11.0,False,False,,76561198039309853,enpitsu,27.0,69.79000091552734,-4447.3701171875,17.049999237060547,804.1000366210938,7415.3997802734375,2.5999999046325684,-0.09999999776482582,-0.9000000357627869,-83.50000381469727,255.0,128.0,,-0.016637220994189465,1.6880727328775085,0.0001162595451671236,True,116.0,False,False,False,False,,brunozzzZ_,51c1771d3b234feab856731bf9ed6d83,15.0,-1677.2099609375,2189.2099609375,17.010000228881836,9242.899780273438,-9242.999877929688,0.0,0.29999999329447746,0.3999999910593033,0.0,255.0,,,-0.009522708365967199,-2.3561837428718184,-2.953443865567536e-06,True,False,False,False,46.51787500740379,True,,S1lva,76561198311210071,15.0,3064.239990234375,4111.33984375,17.010000228881836,9590.599975585938,14779.100341796875,2.3000000417232513,-0.09999999776482582,-0.09999999776482582,1958.2000732421875,255.0,255.0,,-0.009572649581276637,2.076832921524727,2.2963224645320514e-05,True,255.0,False,False,False,False,
1,692,18,True,1,1714.8686999901047,-635.1699829101562,4367.7998046875,250.8699951171875,-702.3999786376953,29951.298828125,2656.099853515625,-395.40000915527344,2253.800048828125,4204.100036621094,1.0,-0.6931160976723769,2.294694635978559,-1.9758197429854645,bf81d8692db,games5425898691,23.0,-630.6500244140625,4098.08984375,197.44000244140625,5577.0001220703125,22254.89990234375,1616.3999938964844,-2445.500030517578,4447.099914550781,-643.7999725341797,255.0,0.0,,0.2623215208448782,1.676937852724261,0.14716818394925343,True,8,7,117.0168172492776,True,False,,76561198039309853,enpitsu,27.0,-934.1400146484375,2768.669921875,17.030000686645508,8480.2001953125,12714.200439453125,5.099999904632568,0.5999999865889549,-0.19999999552965164,0.0,128.0,128.0,False,-0.016912359467055115,2.1590244268909577,-1.2747143527583858e-05,True,199.0,False,6,False,6,,brunozzzZ_,51c1771d3b234feab856731bf9ed6d83,16.0,-1297.8900146484375,3891.89990234375,17.010000228881836,13268.900146484375,6172.9998779296875,2.0999999344348907,-0.5999999865889549,-0.0,-34.30000066757202,255.0,128.0,False,-0.009585671703596976,2.7110377331674242,8.042561878126503e-05,True,16,False,18,0.0,False,,S1lva,76561198311210071,15.0,-907.1799926757812,4902.52001953125,17.0,14326.700439453125,-1530.0,3.1999999284744263,-5.400000214576721,1.1999999731779099,-985.1000213623047,128.0,128.0,,-0.009569903006294879,0.19288022004160918,-7.485459221763532e-05,True,255.0,False,12,False,10,
2,1199,28,True,1,1452.2367700749817,267.5199890136719,3830.800048828125,102.62999725341797,-7011.5997314453125,24501.201171875,9783.499755859375,2158.0999755859375,5480.2001953125,-1143.8999938964844,1.0,0.8303283752520731,2.9221694214361995,-2.1655424456748,bf81d8692db,games5425898691,23.0,374.8699951171875,3639.989990234375,17.010000228881836,-3201.0000610351562,21722.900390625,2.3999999463558197,-0.0,1.0000000149011612,2265.0,128.0,255.0,True,-0.009624213999046175,1.3283663730506312,5.0217101066214185e-05,True,False,False,100.0,False,False,,76561198039309853,enpitsu,27.0,175.47999572753906,2610.169921875,17.049999237060547,5754.6002197265625,-3988.800048828125,2.7000001072883606,-1.4000000059604645,-0.0,-5.299999713897705,128.0,128.0,,-0.01691136297828547,-2.5344069249905954,7.84380035309879e-05,True,204.0,False,4,False,4,,brunozzzZ_,51c1771d3b234feab856731bf9ed6d83,16.0,-3359.330078125,1298.280029296875,17.020000457763672,18040.899658203125,-3568.3999633789062,-1.2999999523162842,-6.299999952316284,2.5,1990.5999755859375,255.0,255.0,False,-0.009570790560544837,-3.018907008933486,0.00015264704093551274,True,12,False,12,116.00715713090793,True,,S1lva,76561198311210071,15.0,-393.1499938964844,3379.300048828125,16.989999771118164,11475.30029296875,19580.899658203125,2.199999988079071,-0.7000000029802322,-1.5999999642372131,650.9999847412109,255.0,128.0,,-0.00960307230468739,2.0468706913053896,-0.00015539488616916035,True,22.010744112794104,True,4,False,4,
3,2589,69,False,0,4808.650950675626,2924.52001953125,2219.93994140625,337.2200012207031,-16723.299560546875,22399.69970703125,3270.4998779296875,-1244.000015258789,2006.300048828125,-5515.999755859375,0.0,-0.41815878904780474,-2.730355275745619,0.7364431464004593,76561198311210071,S1lva,15.0,3107.889892578125,2029.469970703125,191.66000366210938,-19317.900390625,11970.30029296875,3539.4000244140625,540.9999847412109,-2003.3999633789062,-2287.5,255.0,255.0,,-0.7681756816133125,2.1383358206872223,0.10709332945115205,True,26,17,91.66935916869875,True,8,,51c1771d3b234feab856731bf9ed6d83,brunozzzZ_,16.0,1336.1199951171875,1528.75,17.010000228881836,-10428.699951171875,8167.7001953125,0.0,0.3999999910593033,-0.3999999910593033,-223.29999923706055,255.0,128.0,False,0.00956652412802316,2.452475934223004,0.0001606004883660794,True,37.600171909537366,True,24,False,20,,enpitsu,76561198039309853,27.0,514.47998046875,-1405.0799560546875,17.020000457763672,-8911.699829101562,21203.30078125,2.199999988079071,0.09999999776482582,-0.09999999776482582,-0.9000000357627869,255.0,0.0,False,0.01679264765648945,1.9685663230079116,1.449174630558067e-05,True,12,False,12,0.0,True,,games5425898691,bf81d8692db,23.0,-12.199999809265137,4725.31005859375,17.0,1850.8999633789062,5415.4998779296875,3.700000047683716,0.0,0.0,-2053.2000732421875,128.0,0.0,,0.009645328459066592,1.242298133274114,9.930439516349378e-06,True,255.0,False,14,False,14,
4,3236,83,False,1,5110.542584081451,1.8300000429153442,108.29000091552734,94.37000274658203,-151.30000114440918,26691.298828125,278.8999938964844,4722.900085449219,-769.0000152587891,-3030.7000732421875,1.0,-0.01939744776419785,0.12863805903319406,-0.19829599989346186,bf81d8692db,games5425898691,23.0,26.190000534057617,-10.6899995803833,94.27999877929688,1403.3000183105469,20341.500244140625,-136.899995803833,-5372.7001953125,16.799999475479126,1176.1000061035156,128.0,174.0,,-1.229496056894669,-1.0886158372193349,2.6116780105946864,True,4,3,31.0,False,False,,76561198039309853,enpitsu,27.0,-0.0,-3442.260009765625,17.049999237060547,-0.0,11006.400146484375,2.5999999046325684,-0.5999999865889549,-0.0,0.0,255.0,,,-0.016639900639519194,1.5707739685896973,1.858732232883196e-07,True,116.0,False,False,False,False,,brunozzzZ_,51c1771d3b234feab856731bf9ed6d83,17.0,4.46999979019165,5455.27001953125,21.0,-42.800002098083496,-8957.39990234375,-355.8000183105469,0.7000000029802322,-0.0,0.0,255.0,,,-0.048932100642667224,-1.5659624214736043,-0.00019460656552346356,True,4,False,4,78.75163867909421,True,,S1lva,76561198311210071,15.0,-624.75,363.30999755859375,17.010000228881836,-17441.600341796875,-12539.89990234375,1.899999976158142,0.7000000029802322,0.7000000029802322,-63.499999046325684,255.0,128.0,,-0.00960713719434296,-0.6154084235894638,0.00010390916165573169,False,0.0,False,False,False,False,
5,4206,119,False,0,2119.9754534421545,868.02001953125,3964.18994140625,299.0899963378906,-14795.30029296875,26443.20068359375,2891.400146484375,2542.7999877929688,-3936.199951171875,991.3999938964844,0.0,-0.25913323751691003,1.2805933851766835,0.19419254787229756,76561198311210071,S1lva,15.0,885.47998046875,3780.27001953125,269.82000732421875,-7292.9998779296875,13212.60009765625,2189.2999267578125,-1144.8999786376953,-234.40000534057617,-2283.2000732421875,255.0,255.0,False,-0.2468726017309295,0.9925124015615113,-0.06759230262426809,True,22,13,36.73884744028893,True,8,,51c1771d3b234feab856731bf9ed6d83,brunozzzZ_,16.0,2256.64990234375,4330.22021484375,29.809999465942383,1797.7999877929688,-10828.599853515625,-3541.0000610351562,3642.39990234375,2471.0000610351562,-670.0,255.0,128.0,False,-0.41058492177770667,-1.5810377989091353,0.17227541792306078,True,196.8500045268767,True,24,4,20,,enpitsu,76561198039309853,27.0,953.02001953125,4116.52978515625,218.5,4378.299865722656,-19191.8994140625,2644.2999267578125,4681.9000244140625,-2885.8999633789062,21.600000858306885,255.0,0.0,,-0.03683096021643632,-1.142800096602797,0.5445742157371433,True,7,False,8,35.0,False,,games5425898691,bf81d8692db,23.0,785.75,4113.31982421875,169.35000610351562,6680.10009765625,-2589.1000366210938,5006.9000244140625,-366.1000061035156,-935.0,-99.49999809265137,255.0,18.0,,-0.5629584509684159,-0.43895310853051955,-0.009716915331433224,True,223.72507532437646,True,20,4,16,
6,4600,133,True,0,2207.4596595961084,1137.219970703125,4280.41015625,247.7100067138672,-13794.000244140625,21604.09912109375,-478.10001373291016,-586.6999816894531,872.7999877929688,-5907.1002197265625,0.0,-0.09150085805872728,1.4285848841936766,0.6891000827451473,51c1771d3b234feab856731bf9ed6d83,brunozzzZ_,16.0,1359.239990234375,4151.5,189.33999633789062,-16842.60009765625,6356.7999267578125,2404.499969482422,4830.799865722656,-1945.5000305175781,-1768.3999633789062,128.0,255.0,False,-0.3537331286301629,2.794248102301646,-0.9737337406703223,True,30,25,143.0,False,4,,76561198311210071,S1lva,15.0,49.560001373291016,2374.280029296875,16.979999542236328,11591.500244140625,-7401.099853515625,5.600000023841858,1.5000000596046448,1.5000000596046448,1280.5999755859375,255.0,255.0,False,0.00949962248291504,-0.5756106163509861,0.00014165278107649494,True,78.0,False,28,8,20,,enpitsu,76561198039309853,27.0,1660.97998046875,5061.14013671875,67.7300033569336,1759.1000366210938,1812.2999572753906,1942.5,2085.7000732421875,-1077.3999786376953,894.1000366210938,0.0,255.0,False,-0.7955432282835484,0.9452997097867536,0.4251032911831891,True,14,False,16,5.0,False,,games5425898691,bf81d8692db,23.0,-50.959999084472656,2928.06005859375,73.22000122070312,3168.2998657226562,12988.699951171875,1904.2999267578125,-5.299999713897705,243.4000015258789,3281.400146484375,255.0,128.0,,-0.03542099373410585,2.9073931087129488,0.06355165250472515,True,233.0,False,26,4,22,
7,5293,149,False,1,1312.6616758439127,476.1000061035156,3896.31005859375,456.54998779296875,-4184.89990234375,18936.300048828125,3941.300048828125,1012.9000091552734,-4482.900085449219,3857.0999145507812,1.0,-0.2979127274834333,0.2543550292884937,0.5374535919246293,76561198039309853,enpitsu,27.0,488.3500061035156,3777.06005859375,395.7300109863281,5908.800048828125,8267.899780273438,1091.9000244140625,2024.1999816894531,-2918.2998657226562,4199.4000244140625,128.0,255.0,,1.0822494499906405,-2.5080920747997,1.0003425185410342,True,6,2,50.0,False,False,,bf81d8692db,games5425898691,23.0,1595.800048828125,2989.75,17.020000457763672,-4797.9998779296875,-12789.300537109375,1.0999999940395355,-0.0,-0.19999999552965164,-2203.3999633789062,255.0,0.0,,-0.009569129881113927,-1.1480430835944584,-2.4557951667510335e-05,True,255.0,False,6,False,6,,brunozzzZ_,51c1771d3b234feab856731bf9ed6d83,16.0,51.369998931884766,4102.6201171875,222.16000366210938,11454.000244140625,-4264.200134277344,3532.6998901367188,-1151.3999938964844,-1946.6999816894531,274.50000762939453,128.0,128.0,,1.2551892001751193,-2.986793415434608,-0.25655283414261265,True,10,False,12,39.08393996248962,True,,S1lva,76561198311210071,15.0,3030.3798828125,-550.7899780273438,79.7300033569336,-6171.500244140625,19201.8994140625,-1561.300048828125,-2280.8999633789062,-164.79999542236328,-773.6000061035156,128.0,128.0,,0.27733122258729376,0.6637500546459127,-0.6670167791247817,True,180.0,False,10,False,10,
8,5357,151,True,1,849.7083339645127,66.87000274658203,4954.1298828125,463.45001220703125,-1670.2999877929688,27573.60107421875,-5887.2998046875,-5887.7001953125,-851.3999938964844,780.4000091552734,1.0,0.8600024097282302,0.4466798534543951,0.6504818449989682,bf81d8692db,games5425898691,23.0,62.119998931884766,4803.509765625,458.6199951171875,-3578.3999633789062,18927.19970703125,5274.6002197265625,564.7999954223633,-1985.0,-5097.9998779296875,255.0,128.0,,0.4995205737702912,1.4661503611994622,0.07271565071484314,True,8,7,186.2042408092048,True,False,,76561198039309853,enpitsu,27.0,1029.0799560546875,4886.2099609375,16.989999771118164,-6500.2001953125,-4046.7001342773438,18.50000023841858,20.999999046325684,-1.2999999523162842,38.59999895095825,255.0,0.0,False,-0.016109457829193725,-0.562389492888457,0.001053739380750053,True,21.0,False,6,False,2,,brunozzzZ_,51c1771d3b234feab856731bf9ed6d83,16.0,3123.889892578125,3116.64990234375,353.8599853515625,12966.199951171875,-4086.400146484375,-6482.39990234375,-3311.6000366210938,-1443.9999389648438,-192.70000457763672,255.0,128.0,False,0.04283362995814946,1.0084415824710682,-0.07687335596032488,True,10,False,12,0.0,False,,S1lva,76561198311210071,15.0,1216.989990234375,3223.60009765625,17.010000228881836,-8923.099975585938,21198.5009765625,-0.29999999329447746,-0.09999999776482582,0.3999999910593033,0.0,255.0,128.0,,-0.009601514368457544,1.1723602696374904,-2.2900382985374867e-05,True,137.07725571816968,True,10,False,10,
9,5725,155,False,0,1831.8679592224416,-1472.9200439453125,3401.35009765625,506.8399963378906,17746.300048828125,23181.8994140625,-4715.899963378906,-3300.4000854492188,-1289.7000122070312,165.0,0.0,0.019518628738180086,-1.4319397708154893,-0.14796735285336468,51c1771d3b234feab856731bf9ed6d83,brunozzzZ_,16.0,-1554.989990234375,3257.0400390625,462.010009765625,12050.2001953125,17912.900390625,-610.9000015258789,3850.4998779296875,3637.60009765625,-618.4000015258789,128.0,0.0,True,-0.38040409152431376,1.4567977581081686,-0.5149013483343597,True,6,False,170.94912692295605,True,False,,76561198311210071,S1lva,15.0,-1717.5799560546875,3151.929931640625,276.2300109863281,10082.80029296875,8931.400146484375,3651.7001342773438,5343.0999755859375,1129.4999694824219,-651.8000030517578,0.0,0.0,True,-0.36189785460953905,0.46249031958872877,1.031394520540978,True,22.0,False,6,4,4,,enpitsu,76561198039309853,27.0,96.79000091552734,5026.490234375,17.049999237060547,-2536.1000061035156,-1739.7999572753906,2.5,-3.700000047683716,-2.3000000417232513,-688.3999633789062,128.0,128.0,,0.01661357561981587,-2.50757431524456,5.091352205217395e-05,True,False,False,False,177.0,False,,games5425898691,bf81d8692db,23.0,3806.22998046875,469.7900085449219,17.020000457763672,8660.0,19886.700439453125,39.90000009536743,85.39999961853027,-160.9000015258789,957.3999786376953,255.0,251.0,,0.008422833365641789,1.176876227040111,-0.000988352621470618,True,229.94912692295605,True,4,False,4,
