,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect
0,1526,39.0,True,0,2008.1259464489679,1102.8800048828125,4947.52001953125,93.73999786376953,-10416.099853515625,5607.80029296875,1666.199951171875,1984.7000122070312,-2370.8999633789062,-5141.9000244140625,0.0,-0.10268930840466518,-2.856421445914765,-0.93036178597067,bf0a0065e5b,EliGremi,12.0,1182.3199462890625,4823.509765625,16.8700008392334,-11851.400146484375,856.8000030517578,9.900000095367432,402.79998779296875,92.10000038146973,848.3000183105469,,128.0,,0.0008537384012842269,3.0929958746284467,-0.021050951752013734,True,14,False,10,118.0,False,,b6247822c2b,fedeprune,12.0,2780.77001953125,-4199.169921875,17.059999465942383,10118.200073242188,1679.9000549316406,2.3000000417232513,4.799999892711639,0.9000000357627869,640.1000213623047,255.0,251.0,,0.016660993645787457,0.14461124618306379,0.00020612848526506457,True,False,85.0,False,False,False,,enpitsu,76561198039309853,26,2295.0400390625,4557.0498046875,17.030000686645508,-22073.30078125,6462.80029296875,1.5000000596046448,-0.09999999776482582,-0.09999999776482582,2.0000000298023224,255.0,,,0.016757478733727776,2.856990669233533,-8.306998292876005e-06,True,6,2,152.64198709046966,True,4,,games5425898691,bf81d8692db,20.0,1743.75,5103.0,595.0900268554688,-16628.1005859375,-1.5999999642372131,-6588.800048828125,1.5000000596046448,-320.09998321533203,0.3999999910593033,255.0,128.0,,0.3869797106917343,3.131239693687275,-1.574790111480345,True,223.64198709046966,True,10,False,12,
1,1984,47.0,False,1,3791.1143191827273,-2417.840087890625,3298.530029296875,499.8699951171875,17512.19970703125,14294.7998046875,1677.4000549316406,-685.2999877929688,-555.9999847412109,4535.4998779296875,1.0,-0.006762198325439103,-0.30606131428580674,-0.7189141340113945,76561198039309853,enpitsu,26.0,-2508.06005859375,3189.330078125,383.80999755859375,13897.7001953125,10190.0,403.10001373291016,-981.2000274658203,2071.3999938964844,-2564.89990234375,255.0,128.0,False,0.6105917085198809,2.174345207095772,-0.25734146002885433,True,2,False,1,42.0,False,,bf81d8692db,games5425898691,19.0,-1230.3699951171875,-2170.010009765625,17.010000228881836,3054.5999145507812,22665.2001953125,2.5,-0.0,0.29999999329447746,0.0,255.0,128.0,,-0.009601409200525062,1.7047575970378679,-3.9993127694935675e-05,True,6,164.0,False,6,False,,fedeprune,b6247822c2b,12,43.9900016784668,5322.47998046875,17.219999313354492,34.40000057220459,18.50000023841858,3.700000047683716,1.899999976158142,-0.0,-3.1999999284744263,128.0,128.0,False,-0.02007566094951335,-0.6086711320555336,-0.0053151671091045405,True,False,False,61.0,False,False,,EliGremi,bf0a0065e5b,13.0,-874.7000122070312,4902.169921875,17.010000228881836,2388.5000610351562,-460.99998474121094,2.5999999046325684,4.900000095367432,3.700000047683716,60.10000228881836,0.0,128.0,,-0.009712380732411395,-2.973824599998022,-0.00019403823490175509,True,213.0,False,False,4,4,
2,3646,107.0,False,1,3894.1059532910303,1882.989990234375,1373.050048828125,93.13999938964844,-6431.6998291015625,18076.300048828125,0.0,-5383.800048828125,-2076.199951171875,1643.9999389648438,1.0,1.10263010374196,0.5769699813938347,-0.3183075841744831,76561198039309853,enpitsu,26.0,2061.81005859375,1399.3800048828125,17.040000915527344,-17725.10009765625,14212.80029296875,0.7999999821186066,-0.0,-0.0,2044.2999267578125,255.0,255.0,False,-0.016771043073399765,0.5982258208347012,-5.934229895766155e-06,True,18,False,16,82.38914420527797,True,,bf81d8692db,games5425898691,19.0,-1103.77001953125,1181.8800048828125,17.010000228881836,6158.4002685546875,20098.900146484375,2.7000001072883606,-1.1999999731779099,-4.099999964237213,934.0000152587891,255.0,128.0,,-0.009580636053554619,1.8118419403239054,-2.2903738383728574e-05,True,28,61.0,False,26,False,,fedeprune,b6247822c2b,11,1146.449951171875,2083.360107421875,17.059999465942383,18964.89990234375,-12932.60009765625,2.0999999344348907,0.7000000029802322,-0.7000000029802322,1263.1999969482422,255.0,255.0,,-0.01678404347936065,-2.5592479410423032,0.0002471036818950111,True,False,False,0.0,False,False,,EliGremi,bf0a0065e5b,12.0,-525.0900268554688,819.2000122070312,17.020000457763672,5579.7998046875,22046.0009765625,1.4000000059604645,-0.19999999552965164,-1.1999999731779099,-785.6999969482422,255.0,38.0,False,-0.009594285822275568,1.8249023648621534,-0.0001564787984989569,True,142.0,False,26,8,30,
3,4673,145.0,True,0,1440.3442138812366,529.989990234375,4937.16015625,253.88999938964844,-19876.99951171875,12138.900146484375,-4534.100036621094,-1431.4999389648438,-597.9000091552734,5795.9002685546875,0.0,-0.666241803744068,-1.5665419337118718,-1.589283970388461,b6247822c2b,fedeprune,12.0,678.9299926757812,4868.81982421875,238.16000366210938,-9368.200073242188,20978.1005859375,-403.69998931884766,-5440.9002685546875,737.6000213623047,319.59999084472656,255.0,193.0,,1.312668618297171,-1.9279394028506378,2.89020442881811,True,14,4,13,15.0,False,,bf0a0065e5b,EliGremi,13.0,-1490.68994140625,5100.22021484375,138.16000366210938,112.60000228881836,2092.2000122070312,7948.3001708984375,5490.0,-326.19998931884766,-51.99999809265137,128.0,250.0,,-1.4059736661914821,1.534527025213724,0.03960644977581585,True,36,19.0,False,30,8,,enpitsu,76561198039309853,26,-148.4499969482422,4939.080078125,21.93000030517578,22137.80029296875,5499.000244140625,2945.10009765625,-0.09999999776482582,0.0,0.0,255.0,0.0,,0.01677635526784724,0.2434679500960771,1.4245249387720496e-05,True,28,False,93.7052560108964,True,25,,games5425898691,bf81d8692db,20.0,372.510009765625,5731.31982421875,66.8499984741211,-3891.6000366210938,70.50000190734863,-465.40000915527344,2414.600067138672,-2283.9999389648438,-115.9000015258789,255.0,255.0,,-0.4374895185294105,2.121226945757537,0.7465090375832375,True,168.8735399015488,True,38,False,42,
4,5023,148.0,True,1,5945.891007611066,-2303.56005859375,128.3699951171875,105.51000213623047,14934.49951171875,24632.099609375,3832.9000854492188,4386.099853515625,3295.5999755859375,-2428.9999389648438,1.0,0.4220240671584125,-1.4707729620940087,-1.4490890437743418,76561198039309853,enpitsu,26.0,-2374.7900390625,-20.670000076293945,93.18000030517578,5556.300048828125,22283.20068359375,240.59999465942383,-5336.9000244140625,1329.1999816894531,0.0,128.0,128.0,,-1.2909402197427764,1.814835924705587,7.101034321264297e-05,True,4,False,3,140.0,False,,bf81d8692db,games5425898691,19.0,-1655.5999755859375,-2222.760009765625,17.010000228881836,-12970.6005859375,-3514.4000244140625,2.8999999165534973,-1.2999999523162842,-0.5999999865889549,-2058.5000610351562,255.0,0.0,,-0.009547832144093193,-0.22362393646466727,-0.00018200157769734986,True,4,61.0,False,4,False,,fedeprune,b6247822c2b,12,679.8099975585938,-531.1099853515625,99.54000091552734,-6990.5999755859375,12326.800537109375,-140.39999961853027,-5257.60009765625,-1599.7999572753906,-218.4000015258789,255.0,128.0,False,-1.4236377118467658,-1.0630308046000325,2.3535332451323887,True,6,False,0.0,False,5,,EliGremi,bf0a0065e5b,13.0,1045.1300048828125,1047.27001953125,91.7300033569336,-3854.2999267578125,16742.19970703125,-139.399995803833,-5394.0997314453125,-1067.5,115.10000228881836,255.0,128.0,False,1.3673025997031345,0.055584070821199205,-1.3136623700947154,True,0.0,False,6,False,6,
5,5697,164.0,True,1,1641.1862856253365,-457.2300109863281,4211.419921875,128.3699951171875,8955.30029296875,21436.201171875,6507.0001220703125,774.1000366210938,-5755.5999755859375,1507.5999450683594,1.0,-0.6351190785647092,2.925400588584002,0.6796262087011387,76561198039309853,enpitsu,26.0,-612.77001953125,3978.969970703125,22.030000686645508,8068.0999755859375,18232.5,2998.2000732421875,-1.1999999731779099,-0.29999999329447746,-240.59999465942383,128.0,128.0,False,-0.016853189358425148,2.011352161273942,0.00022947090586585055,True,4,False,2,122.0,False,,bf81d8692db,games5425898691,19.0,576.22998046875,4816.93017578125,16.989999771118164,-5773.599853515625,9456.300048828125,5.099999904632568,-1.0999999940395355,3.1999999284744263,221.29999160766602,255.0,184.0,,-0.009590821186022709,1.0343388516823517,2.4980697279427145e-05,True,4,31.0,False,False,False,,fedeprune,b6247822c2b,12,493.3299865722656,3850.64990234375,17.030000686645508,-11193.00048828125,19953.299560546875,5.699999928474426,-0.09999999776482582,0.09999999776482582,30.799999237060547,255.0,128.0,False,-0.016770050706907826,1.0563326733703537,-2.212263019810577e-05,True,6,False,0.0,False,6,,EliGremi,bf0a0065e5b,15.0,-2080.68994140625,169.1999969482422,17.010000228881836,-2607.7999877929688,12463.800048828125,2.5999999046325684,-0.09999999776482582,0.7000000029802322,0.0,255.0,128.0,False,-0.009563357791092658,1.3645115001996397,-6.0915095940661735e-05,True,31.0,False,6,False,6,
6,6167,171.0,True,0,3843.2833811293235,-2706.219970703125,1749.72998046875,204.7100067138672,18067.099609375,27623.00048828125,-5881.6998291015625,-4560.299987792969,901.2000274658203,2375.2000427246094,0.0,0.3688738009220203,1.1788963016323433,1.4371550959743793,bf0a0065e5b,EliGremi,13.0,-2821.419921875,1607.8599853515625,186.42999267578125,14599.3994140625,16050.6005859375,1863.800048828125,-4336.7999267578125,3074.5001220703125,1410.2999877929688,128.0,128.0,False,0.4042322076543235,0.7874583028726881,-0.01923743009749678,True,4,False,3,59.38482558342717,True,,b6247822c2b,fedeprune,11.0,1419.8800048828125,-3165.330078125,95.79000091552734,13830.0,17710.400390625,1110.5000305175781,-5403.0999755859375,612.7999877929688,824.8999786376953,255.0,128.0,,0.9924421967591842,-1.2070404909907486,-2.867809328398938,True,10,31.0,False,9,False,,enpitsu,76561198039309853,26,-2268.3798828125,1269.7099609375,46.13999938964844,6890.999755859375,20796.10107421875,3349.7000122070312,-376.6999816894531,171.29999160766602,-727.9000091552734,255.0,128.0,,0.025385221779809237,1.1568213852329539,0.0011944931607426699,True,6,False,0.0,False,5,,games5425898691,bf81d8692db,19.0,-1216.7099609375,-601.760009765625,71.20999908447266,8395.599975585938,21213.5009765625,-1272.2000122070312,-2933.2000732421875,1139.800033569336,9.800000190734863,255.0,128.0,,-0.7403584247917936,1.1890876416335692,0.009722765963140893,True,142.0,False,4,False,6,
7,6499,174.0,False,1,5615.21106157212,-189.91000366210938,-369.2099914550781,114.91999816894531,435.99998474121094,22736.201171875,10009.600219726562,5727.19970703125,-1669.4000244140625,641.5000152587891,1.0,-0.09632210274729847,0.6512878635259011,1.5429991223005524,76561198039309853,enpitsu,26.0,-206.6999969482422,-579.780029296875,19.510000228881836,-77.60000228881836,18152.19970703125,2953.800048828125,0.09999999776482582,-10.099999904632568,877.6000213623047,255.0,0.0,,-0.01676491081694248,1.5169425445949412,-0.0001666810377626552,True,2,False,1,67.67055489170936,True,,bf81d8692db,games5425898691,19.0,29.510000228881836,-312.9800109863281,16.920000076293945,-1160.5000305175781,2738.9999389648438,23.80000114440918,19.40000057220459,-5.400000214576721,857.9000091552734,255.0,128.0,,-0.010430544555559848,1.2202546784161052,0.00029749891963841717,True,4,31.0,False,4,False,,fedeprune,b6247822c2b,11,2202.070068359375,2927.2099609375,17.06999969482422,-17484.69970703125,1233.0999755859375,1.0000000149011612,-0.0,-0.0,-2012.5999450683594,255.0,0.0,False,-0.016771126485563594,0.1406071124216346,3.383896974293344e-06,True,4,False,193.0,False,4,,EliGremi,bf0a0065e5b,13.0,548.8300170898438,-10.640000343322754,101.54000091552734,4836.300048828125,-1512.2000122070312,-3035.7000732421875,1395.0,2449.7999572753906,608.4999847412109,255.0,206.0,False,0.7140076537351276,-2.202194938851477,-0.17104796053430668,True,9.0,False,4,False,4,
8,6611,178.0,True,1,2351.8553833648516,-1249.1700439453125,4175.91015625,222.7100067138672,10587.099609375,15794.300537109375,1603.5000610351562,843.0999755859375,-1926.0000610351562,5619.5001220703125,1.0,-0.3343456276495642,-1.0518616924954416,-1.650812610187958,bf81d8692db,games5425898691,19.0,-1350.52001953125,4070.610107421875,154.0399932861328,13532.60009765625,5186.199951171875,1166.6000366210938,3848.9999389648438,3461.4999389648438,-1858.0000305175781,255.0,196.0,,-0.24050555075760519,3.134289488734672,0.38772524251776513,True,8,False,7,31.0,False,,76561198039309853,enpitsu,26.0,-978.0900268554688,3661.820068359375,17.059999465942383,-7515.999755859375,-5902.1002197265625,2.5999999046325684,-0.09999999776482582,1.2999999523162842,2339.499969482422,255.0,255.0,False,-0.016763895093149257,-0.6977512385143879,7.596243421420528e-05,True,2,97.0,False,2,False,,fedeprune,b6247822c2b,12,-663.3300170898438,5393.85009765625,412.1300048828125,4537.699890136719,-86.19999885559082,-2637.2000122070312,2861.9000244140625,2143.699951171875,3597.39990234375,255.0,0.0,False,0.5153047771490545,-3.1015137968497477,-2.4661272499091607,True,8,False,116.0,False,6,,EliGremi,bf0a0065e5b,13.0,787.3699951171875,3617.830078125,17.010000228881836,-2712.0001220703125,13780.799560546875,2.7000001072883606,0.7999999821186066,-4.000000059604645,1041.500015258789,255.0,128.0,,-0.009578594667308015,1.3216884575750538,-4.6357109416873027e-05,True,31.0,False,4,False,4,
9,7180,189.0,True,0,417.145499009633,-511.92999267578125,4977.2099609375,313.3699951171875,-10702.80029296875,11922.900390625,-4972.60009765625,-1333.8999938964844,-2881.099853515625,5091.099853515625,0.0,-0.764223359896155,1.0061300337797634,-1.5125680472711427,bf0a0065e5b,EliGremi,13.0,-356.54998779296875,4796.47021484375,346.0400085449219,-2491.4999389648438,12144.69970703125,-256.8000030517578,-961.6999816894531,-2248.800048828125,-757.6999664306641,128.0,128.0,False,0.11335872845194365,2.3690979310032048,2.8212798956551186,True,8,False,6,106.0,False,,b6247822c2b,fedeprune,12.0,-17.850000381469727,5011.81982421875,17.059999465942383,-5771.400146484375,-4387.099914550781,2.3999999463558197,0.0,-0.19999999552965164,-2417.100067138672,255.0,0.0,False,0.0166370807133556,-2.4949452475775105,-1.8157349784109177e-05,True,6,140.0,False,6,False,,enpitsu,76561198039309853,26,-261.92999267578125,5071.43994140625,148.8300018310547,-4675.4998779296875,-2481.3999938964844,3319.4000244140625,607.5,-2186.9000244140625,-699.5999908447266,0.0,0.0,False,-0.05155319648786791,0.25152148878239433,0.008194844142802814,True,4,False,129.0,False,3,,games5425898691,bf81d8692db,19.0,1555.1300048828125,4252.669921875,17.010000228881836,-9685.399780273438,-107.39999771118164,3.0000001192092896,-0.5000000074505806,0.0,-2421.7999267578125,255.0,0.0,,0.009533362631320628,3.10704729884598,-4.058407789058457e-05,True,31.0,False,10,False,10,
