,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,434,9,False,1,2958.2577591998993,-1328.6400146484375,3190.06005859375,210.75,6569.69970703125,11769.200439453125,8405.399780273438,4039.2999267578125,-1756.3999938964844,-4074.1000366210938,1.0,-1.3266946713478611,-2.696979629513897,-1.3576865178592963,76561198039309853,enpitsu,25.0,-1420.75,3020.2099609375,148.5,-4097.200012207031,17635.899658203125,3077.9998779296875,-3537.0001220703125,4196.7999267578125,-354.50000762939453,128.0,0.0,,-0.03149260769026379,0.8995753619375776,0.7204645183494629,True,205.0,False,4,False,3,,bf81d8692db,games5425898691,19.0,1255.43994140625,3018.199951171875,17.010000228881836,-8136.5997314453125,-11515.2001953125,2.0999999344348907,0.19999999552965164,0.09999999776482582,0.0,255.0,128.0,,-0.009576259237963331,-0.9556437313793454,3.1992085351713274e-05,True,4,False,4,204.0,False,,FullSpectrum,76561198892496095,5.0,-617.6500244140625,3247.179931640625,248.5800018310547,-2092.100067138672,-10048.300170898438,-9318.699951171875,-1028.3000183105469,-4250.899963378906,-3334.89990234375,128.0,0.0,True,-0.5695333337557793,-1.7225837704853992,0.34238528112676003,True,False,4,4,95.0,False,,BoofBung,76561198183186199,8.0,-739.6599731445312,4538.66015625,17.010000228881836,1284.9000549316406,1551.4999389648438,2.0000000298023224,-0.7000000029802322,0.19999999552965164,0.0,0.0,128.0,False,-0.00980486672354944,-0.8790696006973874,-2.168152010401121e-05,True,6,4,False,31.0,False,
1,1107,33,True,1,1576.617836178965,-307.1400146484375,4121.08984375,1051.4000244140625,-1324.7999572753906,11093.399658203125,-8331.599731445312,-5416.500244140625,-2355.0,1055.5999755859375,1.0,-0.3328195664917291,-1.1566755273931475,-0.3742445142394903,bf81d8692db,games5425898691,19.0,-247.8300018310547,3986.530029296875,1112.3900146484375,3498.2998657226562,8069.7998046875,5825.30029296875,2251.1000061035156,315.49999237060547,-1200.4000091552734,255.0,231.0,,0.5694873561985229,1.652586193574983,0.741376564975563,True,25.0,False,16,False,12,,76561198039309853,enpitsu,25.0,-1222.97998046875,3175.050048828125,17.049999237060547,9712.000122070312,-6938.4002685546875,2.5999999046325684,-0.0,0.5000000074505806,0.0,255.0,255.0,,-0.016828918451257488,-2.521242920797405,2.758879269341537e-05,True,12,False,14,229.0,False,,FullSpectrum,76561198892496095,5.0,-391.760009765625,4541.7900390625,920.5499877929688,6075.3997802734375,-2498.8999938964844,-5587.39990234375,581.8999862670898,-199.69999313354492,-856.8000030517578,255.0,0.0,,0.4664001013184048,2.2996236331101514,-1.681432807880383,True,4,4,8,81.20808601379395,True,,BoofBung,76561198183186199,8.0,-195.05999755859375,5137.60009765625,134.0800018310547,10398.800048828125,509.3000030517578,-7851.7999267578125,-140.600004196167,-199.59999084472656,-1728.2000732421875,130.0,0.0,,0.2339000206413954,-2.637202614636571,0.4519841117686383,True,16,10,False,24.0,False,
2,1434,36,True,1,4904.140384317548,96.79000091552734,301.4200134277344,109.29000091552734,-197.60000228881836,26125.0,8380.599975585938,5926.500244140625,872.6000213623047,337.79998779296875,1.0,0.9217207048440773,0.9872455959224107,1.2350591469594467,76561198039309853,enpitsu,25.0,103.38999938964844,119.05999755859375,17.049999237060547,-1268.3000183105469,21518.60107421875,2.8999999165534973,-0.0,0.3999999910593033,-1442.5999450683594,128.0,128.0,,-0.016777601298404537,1.5338082207623336,-0.000277256179532428,True,47.0,False,False,False,False,,bf81d8692db,games5425898691,19.0,-41.310001373291016,-109.47000122070312,17.010000228881836,3354.7000122070312,4325.899963378906,2.0999999344348907,0.3999999910593033,0.5999999865889549,0.0,255.0,128.0,,-0.009479267951844167,2.2303636180823005,-3.513365374630212e-05,True,4,False,4,31.0,False,,FullSpectrum,76561198892496095,5.0,-2379.719970703125,2659.77001953125,17.010000228881836,-1464.4999694824219,12999.69970703125,0.09999999776482582,-0.19999999552965164,-0.09999999776482582,-2335.500030517578,255.0,0.0,False,-0.009538658603763005,1.5259528596486414,2.3125772596434148e-05,True,False,False,False,145.67117413910483,True,,BoofBung,76561198183186199,8.0,-649.8200073242188,240.49000549316406,16.59000015258789,-5020.5999755859375,259.50000762939453,60.79999923706055,-27.40000009536743,50.70000171661377,-2190.8999633789062,255.0,0.0,,-0.011973368858463652,0.0030393435473735943,0.0014654016185428375,True,4,4,False,17.0,False,
3,2151,53,False,0,2463.4499304260366,-3305.360107421875,4626.60986328125,349.82000732421875,4151.000061035156,4022.39990234375,5425.10009765625,-4791.199951171875,-1522.5,3274.89990234375,0.0,0.6230235142204944,-1.6570521450531612,-2.9296120697908776,76561198892496095,FullSpectrum,5.0,-3389.06005859375,4477.72998046875,46.040000915527344,-6817.8997802734375,12116.600341796875,6449.4000244140625,4199.800109863281,3549.5999145507812,-106.99999809265137,255.0,128.0,,-0.5041979488995226,2.122558137675732,0.10437052589153428,True,220.68020665517415,True,6,False,4,,76561198183186199,BoofBung,8.0,230.13999938964844,2561.070068359375,17.010000228881836,41.30000114440918,6570.10009765625,2.5999999046325684,-0.29999999329447746,-0.29999999329447746,1675.0999450683594,0.0,255.0,,0.009890109660938725,1.6064969551042567,-4.4728657300769677e-05,True,10,False,12,,False,,enpitsu,76561198039309853,25.0,-517.3900146484375,5002.47998046875,17.059999465942383,-940.8999633789062,423.10001373291016,1.2999999523162842,-0.5000000074505806,0.29999999329447746,0.0,,,,0.016867979071114203,2.718887855811131,-4.9226817467428926e-05,True,2,False,2,92.0,False,,games5425898691,bf81d8692db,19.0,-3025.5,4981.02001953125,221.11000061035156,-5668.0999755859375,-2046.7999267578125,12287.7001953125,3972.2000122070312,468.3000183105469,78.09999942779541,255.0,255.0,,-1.1309434930635252,-2.720738520058672,-1.38137909700546,True,10,10,False,89.0,False,
4,3140,89,True,1,1729.7239906842572,-742.030029296875,4584.2998046875,209.02999877929688,-665.5999755859375,17040.999755859375,3792.5,2197.100067138672,1843.9999389648438,-602.7999877929688,1.0,0.9208753060369114,1.2567054121352428,-2.3895423794215582,76561198039309853,enpitsu,25.0,-735.5700073242188,4428.10986328125,149.14999389648438,-7124.0997314453125,11509.599609375,2364.9000549316406,-5144.5001220703125,-1887.2999572753906,-470.6999969482422,255.0,128.0,False,-1.0881293117536983,1.3839331300641686,-0.17644626656010368,True,68.0,False,14,False,13,,bf81d8692db,games5425898691,19.0,-928.5,4578.25,103.86000061035156,3403.5000610351562,-2704.2001342773438,-339.00001525878906,3275.2999877929688,3646.9000244140625,-57.89999961853027,255.0,128.0,,0.9816549610683307,2.6658063030744112,-1.1451339936171523,True,26,False,26,150.0,False,,FullSpectrum,76561198892496095,5.0,-614.3099975585938,4726.47021484375,66.05999755859375,4640.400085449219,-7198.699951171875,1416.300048828125,543.8000106811523,-5442.9998779296875,-572.2999954223633,128.0,0.0,False,-0.04822364246857341,-1.5572165140319552,2.4338511842889625,True,11,False,12,34.7497204349887,True,,BoofBung,76561198183186199,8.0,-1652.300048828125,4890.990234375,17.010000228881836,21486.8994140625,492.20001220703125,2.199999988079071,-1.7000000178813934,-0.0,-1465.2000427246094,255.0,0.0,False,-0.009586244059912085,-3.1356630682835553,-0.00013092429637983678,True,24,20,False,234.0,False,
5,4246,120,False,0,3844.9393479216187,-143.02999877929688,1369.510009765625,247.60000610351562,2518.2000732421875,27037.80029296875,8052.8997802734375,4464.2999267578125,4004.1000366210938,190.20000457763672,0.0,1.1009801676943058,0.7480970677022726,-1.2041968538426295,76561198892496095,FullSpectrum,5.0,-112.87000274658203,1086.9300537109375,166.24000549316406,2462.7999877929688,22847.5,852.5,-4606.000061035156,806.6999816894531,-10.700000524520874,128.0,128.0,True,0.10360170535814706,1.4334375051437824,0.010793986025196678,True,146.0,False,16,4,13,,76561198183186199,BoofBung,8.0,-1180.0899658203125,1129.5899658203125,17.0,18290.10009765625,-4509.89990234375,3.4999999403953552,-0.9000000357627869,0.0,1681.6999816894531,255.0,255.0,False,0.009602311829885257,-0.2041449311475924,0.0001932520219323761,True,20,False,22,77.0,False,,enpitsu,76561198039309853,25.0,1981.0999755859375,4479.240234375,17.049999237060547,-17431.400146484375,3076.099853515625,2.5,-0.7000000029802322,0.0,12.100000381469727,255.0,128.0,False,0.016754521162775017,2.9683414722997523,-6.331573625052439e-05,True,10,False,10,255.0,False,,games5425898691,bf81d8692db,19.0,-3633.840087890625,185.4499969482422,17.010000228881836,6477.9998779296875,16156.400146484375,-0.29999999329447746,0.19999999552965164,0.0,-441.19998931884766,255.0,128.0,,0.009611935564413969,1.147235154911736,0.00024330853586190375,True,12,10,False,233.08320003171124,True,
6,4374,124,True,1,6403.833148203243,-844.8200073242188,-1022.6799926757812,172.33999633789062,4908.900146484375,23671.298828125,3423.0999755859375,2079.199981689453,-1596.6000366210938,-5396.9000244140625,1.0,0.32247110910296733,-1.6031559127591042,0.19933713192751143,76561198039309853,enpitsu,25.0,-895.0399780273438,-1215.7900390625,98.19999694824219,-4414.599914550781,22464.09912109375,2186.999969482422,-4779.599914550781,2571.0000610351562,-891.2999725341797,128.0,0.0,,-0.5907656130861834,1.1482385641549147,0.5421739023781228,True,155.0,False,14,False,11,,bf81d8692db,games5425898691,19.0,-731.2000122070312,-1862.9599609375,17.010000228881836,-14315.699462890625,17761.99951171875,2.0999999344348907,-0.19999999552965164,0.19999999552965164,50.19999980926514,255.0,128.0,,-0.009593403955759094,0.8863130436855892,-5.677371215727634e-05,True,10,False,12,135.0,False,,FullSpectrum,76561198892496095,5.0,1017.1699829101562,-3192.840087890625,16.979999542236328,-3639.2999267578125,21171.79931640625,3.400000035762787,-0.7000000029802322,3.400000035762787,1581.3999938964844,255.0,128.0,False,-0.009574645419627699,1.3284092208163034,-0.00036337661253220963,True,14,4,16,42.32828405851959,True,,BoofBung,76561198183186199,8.0,-454.8599853515625,-5464.7099609375,21.3799991607666,-900.1999664306641,9684.199829101562,-381.5999984741211,-1.1999999731779099,-2.3999999463558197,-85.10000228881836,255.0,128.0,,-0.0488030968377435,1.489320860947594,0.0032346183248926795,True,25,22,False,0.0,False,
7,5049,140,False,0,1310.0409530228383,379.0799865722656,4839.3701171875,106.81999969482422,-2775.4998779296875,1040.5000305175781,6578.499755859375,-1140.8999633789062,-3043.2000732421875,-258.99999618530273,0.0,1.0502625312212375,-2.302661111188828,2.046056979040107,76561198892496095,FullSpectrum,5.0,278.54998779296875,4699.240234375,206.6699981689453,-7066.5997314453125,2202.100067138672,-48.80000114440918,-4687.5,1628.0999755859375,2371.7999267578125,128.0,0.0,False,-0.423010903445834,2.7906431443433957,2.562151203217153,True,55.483002165312406,True,8,4,5,,76561198183186199,BoofBung,8.0,66.62999725341797,3838.199951171875,17.010000228881836,-8089.6002197265625,11595.400390625,2.199999988079071,1.899999976158142,-2.0999999344348907,-405.29998779296875,128.0,45.0,False,0.009648831421121143,2.219051497463631,-0.0002834721737224244,True,6,False,6,128.0,False,,enpitsu,76561198039309853,25.0,951.9299926757812,4945.509765625,17.040000915527344,-12506.500244140625,348.10001373291016,7.900000214576721,15.499999523162842,-6.499999761581421,-802.6000213623047,255.0,128.0,False,0.01638789106784307,3.12659253712384,0.0004219928879154613,True,6,2,8,,False,,games5425898691,bf81d8692db,19.0,-59.619998931884766,4713.8798828125,124.22000122070312,-19951.8994140625,-9376.599731445312,-151.30000114440918,5407.1002197265625,-883.3000183105469,482.2999954223633,255.0,159.0,,-0.2832669452476643,2.69669617257761,2.1959983374861047,True,10,9,False,36.0,False,
8,5085,141,True,0,930.1881626647424,20.739999771118164,4982.39990234375,404.5899963378906,-5472.39990234375,9299.000244140625,3282.9998779296875,2055.8999633789062,-4197.699890136719,1248.8999938964844,0.0,-0.46074069226103825,-2.7454557372861492,0.40784970669966286,76561198183186199,BoofBung,8.0,56.380001068115234,4856.10986328125,249.9499969482422,2598.2998657226562,7728.0999755859375,1664.1000366210938,-1650.0,-833.3000183105469,894.8000335693359,128.0,128.0,False,-0.7165792012080572,1.603462837047212,-0.3948812925986467,True,130.0,False,8,False,6,,76561198892496095,FullSpectrum,5.0,-653.0900268554688,4982.3701171875,16.68000030517578,-1968.0999755859375,23.69999885559082,74.6999979019165,15.800000429153442,1.2999999523162842,1919.4000244140625,202.0,255.0,False,0.008600323871452119,-1.6153737384740465,0.00033484127380681067,True,6,4,8,54.0,False,,enpitsu,76561198039309853,25.0,143.4600067138672,5278.58984375,103.4800033569336,-2879.2001342773438,2812.6998901367188,-1507.2000122070312,-2000.5999755859375,2846.6000366210938,1193.8999938964844,128.0,128.0,False,0.6733440711325992,-2.8063784702804524,0.19119781974807662,True,8,2,10,,False,,games5425898691,bf81d8692db,19.0,-2746.43994140625,3575.679931640625,41.689998626708984,-18696.099853515625,-6629.0997314453125,-226.10000610351562,1274.800033569336,-1843.9999389648438,-1997.7999877929688,255.0,0.0,,0.017319357619726986,2.2682136416336234,1.151299741145177,True,10,10,False,36.0,False,
9,5353,141,False,0,5247.866470538742,-12.960000038146973,-33.040000915527344,95.44000244140625,273.1999969482422,25741.0009765625,2983.599853515625,-440.9000015258789,704.7000122070312,4505.400085449219,0.0,0.020013439976970873,0.04640206044778214,-0.02127865634786138,76561198892496095,FullSpectrum,5.0,-58.5099983215332,-329.5899963378906,56.09000015258789,6747.1002197265625,21795.10009765625,2879.5999145507812,-1485.0999450683594,4086.300048828125,-710.5000305175781,212.0,0.0,True,0.041391225984358515,1.552554558216065,0.10176694129930151,True,18.0,False,4,False,3,,76561198183186199,BoofBung,8.0,1127.02001953125,-2644.6298828125,17.010000228881836,-735.1999664306641,14327.19970703125,0.09999999776482582,-0.3999999910593033,-1.0999999940395355,2138.5000610351562,255.0,255.0,,0.009562297320205646,1.6818697838039205,8.077493213269229e-05,True,False,False,False,136.70161709221458,True,,enpitsu,76561198039309853,25.0,-4.179999828338623,131.16000366210938,113.44999694824219,-4696.099853515625,-19603.599853515625,2021.9999694824219,4045.7000732421875,-2095.399932861328,3080.7000732421875,255.0,0.0,,0.7916805820388548,-1.3189916117063913,0.6372853102565382,True,1,False,2,31.0,False,,games5425898691,bf81d8692db,19.0,-2846.02001953125,4112.16015625,17.010000228881836,-19452.900390625,1430.0,2.3000000417232513,0.09999999776482582,-0.09999999776482582,1988.5000610351562,255.0,255.0,,0.00957579619270348,-3.1413173803142698,2.829228199346721e-05,True,False,False,False,255.0,False,
