,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_boost_collect
0,1103,34,False,1,5485.680438033864,-947.760009765625,-26.549999237060547,596.5599975585938,6644.000244140625,24431.69921875,5041.300048828125,4495.5999755859375,2683.2000732421875,-2930.7000732421875,1.0,1.5305754370563451,-2.428021689513445,-0.5365497908655353,2122059525422191287,Zedko-AR,8.0,-946.510009765625,-168.16000366210938,451.7300109863281,1662.2000122070312,22628.60107421875,3717.39990234375,-3157.0999145507812,2085.2999877929688,3799.2999267578125,255.0,83.0,,0.9667545185740815,0.18520391441588208,0.7319734714972318,True,116.0,False,12,10,4,,4563988621052743332,MinatO_chacal,12.0,-1771.1099853515625,-2712.31005859375,17.010000228881836,8684.69970703125,-9768.400268554688,2.199999988079071,0.5999999865889549,-0.7000000029802322,1530.5000305175781,255.0,220.0,,-0.00956816580375295,-2.3469948632785376,-7.75286399115146e-05,True,6,178.0,False,4,8,,enpitsu,76561198039309853,26.0,-22.799999237060547,2694.330078125,17.059999465942383,2604.1000366210938,8720.399780273438,1.1999999731779099,-0.7999999821186066,0.09999999776482582,0.0,0.0,,,-0.016962598169136818,-1.2805849514616292,-3.7146919204999736e-06,True,6,False,6,82.0,False,,games5425898691,bf81d8692db,19.0,-2015.6099853515625,670.030029296875,89.29000091552734,-699.3000030517578,18686.500244140625,-481.89998626708984,-4401.600036621094,-1331.0000610351562,393.49998474121094,255.0,,,1.1422334777861578,2.029629660018673,0.7330414320598205,,14.0,12.0,74.0,False,False,
1,1416,45,True,1,600.7211675671249,410.3299865722656,4786.4599609375,412.0299987792969,-1608.3999633789062,24575.6005859375,-7205.999755859375,-4372.0001220703125,-2719.8001098632812,-1399.7999572753906,1.0,-0.08368733075478327,1.0638716282602585,1.9512341717617347,4563988621052743332,MinatO_chacal,12.0,406.9700012207031,4567.10009765625,459.8500061035156,-2404.2999267578125,17299.200439453125,3609.5001220703125,1108.499984741211,3232.0001220703125,2678.5000610351562,255.0,128.0,,0.13377752279766192,1.5865956412656066,-2.5682339482485363,True,96.08659790408227,True,12,8,6,,2122059525422191287,Zedko-AR,8.0,484.67999267578125,4461.89013671875,352.55999755859375,-6671.5997314453125,10300.30029296875,-488.8999938964844,-1406.0000610351562,3417.60009765625,-3420.4998779296875,255.0,128.0,,-0.05770530414942686,1.5628653966361814,0.25111548339858575,True,10,130.6796300744498,True,6,14,,enpitsu,76561198039309853,26.0,2847.449951171875,4356.58984375,17.059999465942383,6837.2998046875,-8239.400024414062,2.199999988079071,-0.0,-0.0,-2487.2999572753906,255.0,0.0,False,-0.016703734340192976,-2.1972695902000416,2.904987602568781e-05,True,10,False,10,,False,,games5425898691,bf81d8692db,19.0,353.510009765625,5310.3798828125,219.8300018310547,1494.7999572753906,5406.500244140625,-245.40000915527344,-713.1999969482422,-5448.0999755859375,242.99999237060547,255.0,0.0,,-0.2502597326444518,-2.292782180271431,-0.33210806802366005,True,20.0,15.0,15.327449593492734,True,False,
2,1881,53,False,0,5586.442545475705,707.6900024414062,-211.30999755859375,313.2900085449219,-1712.2999572753906,27439.09912109375,2662.0999145507812,2947.7999877929688,593.4999847412109,-5192.0001220703125,0.0,0.45680303350857643,3.1408928406497303,-0.7456922415830686,bf81d8692db,games5425898691,20.0,750.489990234375,-444.05999755859375,156.47000122070312,-3148.900146484375,22712.19970703125,1799.6000671386719,-55.59999942779541,-2056.3999938964844,-805.2999877929688,255.0,248.0,,-0.7576613380000278,1.456056412737425,-0.03611840600913651,True,76.18159123646316,True,4,3,False,,76561198039309853,enpitsu,26.0,-785.739990234375,-3497.050048828125,17.049999237060547,-1928.0999755859375,14367.39990234375,3.100000023841858,-0.09999999776482582,0.29999999329447746,-2095.5999755859375,255.0,0.0,,0.016760132095861052,1.6440201764055464,-5.80108919325982e-05,True,4,31.0,False,False,4,,MinatO_chacal,4563988621052743332,12.0,-1663.56005859375,2403.81005859375,17.010000228881836,-1940.0999450683594,17163.00048828125,2.0999999344348907,0.0,0.3999999910593033,0.0,255.0,128.0,,0.009600429712203906,1.6833884807479018,-4.7359510962117505e-05,True,4,False,4,234.0,False,,Zedko-AR,2122059525422191287,8.0,617.6099853515625,121.69000244140625,294.79998779296875,-7079.1998291015625,1179.7000122070312,1338.6000061035156,-1213.1999969482422,3945.0,3635.10009765625,255.0,255.0,,-0.04426052586229554,-0.9107102355611779,-0.4817036610491932,True,6.0,4.0,180.3348988922694,True,4,
3,2603,79,True,0,2676.7801643346424,-1312.300048828125,2495.7900390625,132.24000549316406,12991.700439453125,17124.200439453125,4976.000061035156,2071.699981689453,-493.10001373291016,5609.2999267578125,0.0,-0.966038814621432,0.44650145004696856,0.692845431673364,bf81d8692db,games5425898691,19.0,-1373.469970703125,2326.2099609375,67.45999908447266,20372.7001953125,4974.200134277344,2348.800048828125,1461.7999267578125,4992.900085449219,-1784.1000366210938,255.0,128.0,,0.11525518352766104,0.4386486412068017,0.03760432330670837,True,187.0,False,12,9,False,,76561198039309853,enpitsu,26.0,-199.72000122070312,2736.3701171875,17.049999237060547,18025.2001953125,-14283.1005859375,2.5,-0.19999999552965164,0.19999999552965164,0.0,255.0,255.0,False,0.016775264889366166,-0.670090871043945,2.6060933205127104e-05,True,12,153.0,False,False,12,,MinatO_chacal,4563988621052743332,12.0,-2973.820068359375,4890.02978515625,55.66999816894531,-4161.099853515625,1316.6999816894531,1266.9000244140625,3524.8001098632812,539.900016784668,-3804.5999145507812,233.0,255.0,False,0.08803029869579519,-2.128636857469932,-0.5726737015814537,True,10,False,8,68.0,False,,Zedko-AR,2122059525422191287,8.0,2567.72998046875,-4595.77001953125,17.0,0.0,0.0,3.1999999284744263,-0.19999999552965164,0.19999999552965164,0.0,,,,0.009591745684192266,2.8424926674756086,-3.220659578026512e-05,True,10.0,8.0,229.0,False,4,
4,2909,81,False,0,5130.465758992478,7.130000114440918,89.6500015258789,114.94999694824219,2092.7999877929688,29501.4990234375,7092.5,-566.1999893188477,83.10000419616699,-54.80000019073486,0.0,0.002750369296684066,-0.00183327270996523,-0.018857723034425105,bf81d8692db,games5425898691,19.0,-11.8100004196167,-234.57000732421875,21.979999542236328,1135.5000305175781,21985.400390625,2999.2001342773438,0.0,-4.399999976158142,-1338.800048828125,255.0,0.0,,0.009595786146376168,1.499413429990502,-0.000228120507092564,True,9.0,False,3,False,False,,76561198039309853,enpitsu,26.0,0.0,-2226.3798828125,17.049999237060547,0.0,14097.5,2.7000001072883606,-0.7000000029802322,0.0,0.0,255.0,,,0.016700997939493475,1.570774477373452,-2.4226578640790356e-07,True,False,116.0,False,False,False,,MinatO_chacal,4563988621052743332,12.0,0.0,5084.22998046875,17.010000228881836,0.0,-176.00000381469727,2.0999999344348907,5.099999904632568,0.0,0.0,32.0,,,0.009574926869779374,-1.5708040397420107,-3.6724864686549674e-08,True,False,False,False,116.0,False,,Zedko-AR,2122059525422191287,8.0,,,,,,,,,,,,,,,,True,,,,,,
5,3569,105,False,0,2643.521097864036,117.91000366210938,2698.64990234375,278.54998779296875,-252.80000686645508,18808.00048828125,-1567.8999328613281,561.5000152587891,-350.8000183105469,-4557.39990234375,0.0,-0.8978754008922898,0.04279062831787298,-0.008656059110929894,76561198039309853,enpitsu,26.0,134.14999389648438,2501.419921875,220.8800048828125,2134.199981689453,9733.699951171875,1898.3000183105469,-339.3000030517578,-2799.5001220703125,1639.2999267578125,,255.0,,-0.31684565570139644,1.4783703170470837,-0.1741887219881815,True,,False,10,7,False,,bf81d8692db,games5425898691,19.0,-2251.06005859375,4934.66015625,15.6899995803833,-10212.100219726562,-6815.2001953125,-33.399999141693115,-1070.6999969482422,-134.89999771118164,-149.3000030517578,255.0,128.0,,0.007729880038285733,-2.535415212139235,0.010438214742731412,False,10,,False,False,12,,MinatO_chacal,4563988621052743332,11.0,652.4199829101562,4714.919921875,17.0,-6216.500244140625,4104.700012207031,3.3000001311302185,-2.800000011920929,-1.2999999523162842,-644.7000122070312,0.0,128.0,,0.009768976746612307,2.4942218330490857,0.0002335872224878612,True,8,4,6,255.0,False,,Zedko-AR,2122059525422191287,8.0,,,,,,,,,,,,,,,,True,,,,,,
6,3846,115,False,0,1735.3295101584758,-653.0599975585938,3421.760009765625,98.05000305175781,1152.6000213623047,10722.60009765625,1628.8999938964844,-754.8000335693359,2918.3999633789062,5187.7001953125,0.0,0.3859491644020843,-1.9338880969717072,-0.33395694715385515,bf81d8692db,games5425898691,19.0,-603.5399780273438,3253.1298828125,16.850000381469727,7601.9000244140625,9386.500244140625,-52.89999961853027,550.099983215332,516.1999893188477,1517.2999572753906,128.0,255.0,,0.005233451591346002,0.9690450307990355,0.016917123882907753,True,18.0,False,16,14,False,,76561198039309853,enpitsu,26.0,-2691.75,3180.7900390625,17.049999237060547,10318.199462890625,9071.699829101562,2.5999999046325684,0.19999999552965164,0.7000000029802322,0.0,255.0,,,0.016713202048161246,0.7212117684213777,-5.7096216128314434e-05,True,10,61.0,False,False,12,,MinatO_chacal,4563988621052743332,12.0,2304.02001953125,4608.0,29.09000015258789,8.899999856948853,0.7000000029802322,-1109.1000366210938,0.0,0.0,184.69999313354492,,,,7.622947415388501e-06,-1.488570049969928,3.1358004622457044e-07,True,False,False,False,85.0,False,,Zedko-AR,2122059525422191287,8.0,,,,,,,,,,,,,,,,True,,,,,,
7,3862,115,False,0,1169.207970965871,-588.72998046875,4011.889892578125,95.62000274658203,1288.0999755859375,9535.700073242188,905.6999969482422,-3122.7999877929688,2217.7999877929688,4618.299865722656,0.0,1.1170341852871495,0.37641666902121856,-1.68948368835147,bf81d8692db,games5425898691,19.0,-556.7000122070312,3685.93994140625,17.010000228881836,-2395.7000732421875,9286.199951171875,0.0,0.29999999329447746,-1.1999999731779099,-1353.699951171875,255.0,3.0,,0.009517003780613511,1.8517965835006884,-0.0003876980983891135,True,5.358373980368338,True,16,14,False,,76561198039309853,enpitsu,26.0,-2068.02001953125,3729.18994140625,17.049999237060547,10590.10009765625,9310.800170898438,2.5999999046325684,0.09999999776482582,0.5999999865889549,0.0,255.0,128.0,,0.01674348966123358,0.721211967090391,-4.5673520394436854e-05,True,10,61.0,False,False,12,,MinatO_chacal,4563988621052743332,12.0,2300.2099609375,4569.18994140625,17.010000228881836,-626.8000030517578,-3081.6000366210938,2.199999988079071,0.0,-0.5000000074505806,-1646.9999694824219,255.0,0.0,,0.009499346241345956,-1.6463623022205498,-0.0001605784016900475,True,False,False,False,85.0,False,,Zedko-AR,2122059525422191287,8.0,,,,,,,,,,,,,,,,True,,,,,,
8,3883,116,False,0,597.8634414618061,-485.5199890136719,4705.31982421875,93.13999938964844,1332.5,7859.2999267578125,0.0,-5043.0999755859375,1288.6000061035156,2984.2999267578125,0.0,-0.15283200014581338,-0.028554832585924603,-0.7910229608590789,bf81d8692db,games5425898691,19.0,-560.3499755859375,4546.75,17.010000228881836,2916.7999267578125,9926.099853515625,2.0999999344348907,0.5999999865889549,0.7000000029802322,-2730.7998657226562,128.0,128.0,True,0.009600786527058902,0.8907100118339765,-3.809963590921457e-05,True,0.0,False,16,14,False,,76561198039309853,enpitsu,26.0,-1480.800048828125,4413.330078125,17.049999237060547,6804.89990234375,8868.200073242188,2.5999999046325684,0.19999999552965164,0.5000000074505806,0.09999999776482582,128.0,128.0,,0.01684756649038959,0.9163264143836364,-4.655975790122714e-05,True,10,92.0,False,False,12,,MinatO_chacal,4563988621052743332,12.0,1967.239990234375,4292.97021484375,17.010000228881836,-6071.6998291015625,-784.0000152587891,2.0999999344348907,-3.100000023841858,-0.19999999552965164,-829.8000335693359,128.0,128.0,,0.009640902048947304,-3.057908886841384,0.00019304837102665737,True,False,False,False,85.0,False,,Zedko-AR,2122059525422191287,8.0,,,,,,,,,,,,,,,,True,,,,,,
9,3888,116,True,0,518.8516038325971,-433.2099914550781,4905.41015625,93.41000366210938,3141.6000366210938,11497.5,109.89999771118164,-2853.2000732421875,-342.00000762939453,2490.2000427246094,0.0,-0.07343756931939883,0.5036123681495803,-1.323474907761616,bf81d8692db,games5425898691,19.0,-503.25,4715.77001953125,17.15999984741211,3416.7999267578125,8755.399780273438,-76.10000133514404,-192.90000915527344,177.5,-1253.1999969482422,128.0,255.0,True,0.003186365906816667,0.5665116998060321,0.001966957234146383,True,0.0,False,16,14,False,,76561198039309853,enpitsu,26.0,-1321.02001953125,4621.56005859375,17.049999237060547,6003.900146484375,7824.7998046875,2.5999999046325684,0.19999999552965164,0.5000000074505806,0.0,128.0,128.0,,0.01684756649038959,0.9163264143836364,-4.655975790122714e-05,True,10,92.0,False,False,12,,MinatO_chacal,4563988621052743332,12.0,1873.3399658203125,4285.5498046875,17.010000228881836,-5226.099853515625,-272.1999931335449,2.0999999344348907,0.7999999821186066,0.0,-35.09999990463257,128.0,128.0,,0.009641609271837805,-3.0962768891046566,6.200645355295397e-05,True,False,False,False,116.0,False,,Zedko-AR,2122059525422191287,8.0,,,,,,,,,,,,,,,,True,,,,,,
