,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect
0,1540,49.0,True,0,7808.962348126393,-2275.489990234375,-2546.14990234375,433.32000732421875,11087.39990234375,28242.80029296875,4859.700012207031,2017.1000671386719,320.60001373291016,-5641.5997314453125,0.0,0.8183923795261697,-2.3137534636281614,2.8875638287795837,bf81d8692db,games5425898691,19.0,-2301.639892578125,-2701.610107421875,299.1000061035156,-3505.1998901367188,22490.80078125,3297.5,-4627.699890136719,-1794.7000122070312,-2369.199981689453,255.0,135.0,,-0.3669916824846564,2.0239850748811428,-0.46431502719681056,True,3,False,4,122.21562128169559,True,,76561198039309853,enpitsu,27.0,-243.0,-4864.4599609375,17.049999237060547,4422.39990234375,8566.900024414062,2.5999999046325684,-0.5000000074505806,-0.5999999865889549,-17.100000381469727,255.0,128.0,,0.0166666118422986,1.0919474220995287,7.036700859389204e-05,True,122.0,False,8,False,8,,FRUNKY4040,b05d1ada1eb,17,-2269.590087890625,-3300.68994140625,1604.4100341796875,12748.499755859375,-13165.0,-4262.5,472.7000045776367,123.4000015258789,1362.2999572753906,255.0,128.0,,0.22275635078824507,-1.2245225163047395,-1.6529310248113533,True,6.0,4,10.0,236.0,False,,Flavsk1,5015981471864310181,7.0,-1606.8699951171875,-34.5099983215332,17.010000228881836,-10379.3994140625,-4406.300048828125,2.800000011920929,-0.5000000074505806,0.0,-3237.9000854492188,218.0,0.0,False,0.009570175397653953,-3.004125751797365,-6.038029258418018e-05,True,255.0,False,16,6,20,
1,1939,54.0,False,1,7065.120199521611,-2056.280029296875,-1278.719970703125,99.9000015258789,9915.700073242188,22715.6005859375,11394.200439453125,3382.9998779296875,-4948.599853515625,-256.49999618530273,1.0,0.16205517280281043,-0.8986163001882478,1.3086535446526977,5015981471864310181,Flavsk1,7.0,-2145.969970703125,-1440.3900146484375,17.010000228881836,12493.499755859375,15966.099853515625,0.9000000357627869,0.3999999910593033,0.9000000357627869,57.89999961853027,255.0,128.0,False,-0.009580241398906435,2.227851522629706,-8.181614934238888e-05,True,False,False,False,193.0,False,,b05d1ada1eb,FRUNKY4040,17.0,1321.0,22.5,17.0,10141.799926757812,-3607.6998901367188,3.3000001311302185,-0.3999999910593033,0.5000000074505806,-0.5999999865889549,255.0,128.0,,-0.009507159588868512,-2.7996692830878445,5.0277771125979436e-05,True,53.0,False,4,False,4,,enpitsu,76561198039309853,27,-543.0599975585938,-106.05000305175781,19.5,-11180.10009765625,1098.499984741211,2961.6000366210938,-4.900000095367432,0.5000000074505806,-495.9000015258789,255.0,128.0,,-0.016706105653706595,0.12696940174580837,0.00012185263984689747,True,3.0,False,4.0,0.0,False,,games5425898691,bf81d8692db,19.0,2315.2099609375,3351.110107421875,17.010000228881836,-4849.200134277344,12878.1005859375,2.0999999344348907,0.7999999821186066,-1.899999976158142,-391.3999938964844,255.0,81.0,,-0.009586501509507305,1.2176475563417712,4.431143096963689e-05,True,255.0,False,False,False,False,
2,2379,70.0,False,1,4321.470125252127,2033.449951171875,970.9099731445312,108.88999938964844,-15849.300537109375,23911.69921875,6147.7001953125,3107.9998779296875,-3505.7000732421875,3748.2000732421875,1.0,0.8147128795704742,-0.32203450416814794,1.4897760517926601,5015981471864310181,Flavsk1,7.0,2149.820068359375,759.3699951171875,20.06999969482422,-8347.5,20801.298828125,3672.0001220703125,-355.9000015258789,350.40000915527344,-4821.499938964844,255.0,128.0,False,-0.010373906820036985,0.9087316137449539,0.009204503488754503,True,6,4,8,206.7223744007849,True,,b05d1ada1eb,FRUNKY4040,17.0,-877.3400268554688,-1820.06005859375,17.010000228881836,-11826.700439453125,19583.699951171875,1.8000000715255737,-0.09999999776482582,0.19999999552965164,407.7000045776367,255.0,128.0,,-0.009598610993519042,0.9879191690571636,-0.0001872523885414771,True,77.0,False,6,4,4,,enpitsu,76561198039309853,27,2060.760009765625,707.8099975585938,17.0,-8224.299926757812,19662.19970703125,-10.099999904632568,32.5,-37.30000019073486,3457.7999877929688,255.0,128.0,,-0.01499252169913669,1.1359717933408229,-0.009932078187777619,True,6.0,False,6.0,8.0,False,,games5425898691,bf81d8692db,19.0,1819.8900146484375,1069.0,17.020000457763672,19470.699462890625,-7874.5001220703125,1.0000000149011612,0.5000000074505806,-0.19999999552965164,-1848.2000732421875,128.0,0.0,,-0.009654057361011164,-2.695097027254916,-9.51142482098374e-05,True,148.0,False,6,False,8,
3,3285,103.0,False,1,5934.200084037109,1936.4300537109375,-702.280029296875,141.0500030517578,-6609.69970703125,26585.70068359375,7129.2999267578125,1447.7000427246094,4789.200134277344,-3311.6000366210938,1.0,0.8018909873972221,-2.0884746162271566,-2.0564001683440747,5015981471864310181,Flavsk1,7.0,2028.8699951171875,-925.030029296875,71.51000213623047,-9673.599853515625,17278.900146484375,2803.599853515625,-2840.2999877929688,-1296.199951171875,-1009.3000030517578,255.0,128.0,False,-0.10829330882674022,1.176122202898128,-0.004203532181272403,True,3,False,4,120.0,False,,b05d1ada1eb,FRUNKY4040,17.0,-422.8599853515625,-568.9500122070312,17.010000228881836,-5500.8001708984375,17309.599609375,1.899999976158142,-0.0,0.3999999910593033,0.0,255.0,128.0,,-0.009609224269943385,1.263087424347488,-3.076410069332807e-05,True,165.0,False,False,False,False,,enpitsu,76561198039309853,27,-1366.3399658203125,4031.639892578125,17.059999465942383,10078.499755859375,15909.69970703125,1.1999999731779099,-0.3999999910593033,-0.29999999329447746,0.0,255.0,0.0,False,-0.01676718989131839,2.135478701669321,4.5461178547609285e-05,True,14.0,False,14.0,255.0,False,,games5425898691,bf81d8692db,19.0,1167.9599609375,-826.6699829101562,16.989999771118164,12303.699951171875,13716.800537109375,4.000000059604645,1.0000000149011612,1.0000000149011612,-452.20001220703125,255.0,121.0,,-0.009600200839492425,2.337214222262662,0.00010298022489969391,True,0.0,False,10,False,12,
4,3670,117.0,False,1,312.6791070442351,591.5399780273438,5068.77978515625,562.75,864.4999694824219,3687.2000122070312,-15934.000244140625,5909.2999267578125,-945.9999847412109,-429.7999954223633,1.0,-0.9738067851071714,-2.8639053819104783,0.6582576423551649,5015981471864310181,Flavsk1,7.0,654.2000122070312,4849.43994140625,605.72998046875,4869.89990234375,13533.399658203125,534.3999862670898,387.09999084472656,-1763.2000732421875,1689.1000366210938,190.0,141.0,,-0.18052166297765146,-1.9828398865068055,-2.676584096299634,True,4,4,6,197.0,False,,b05d1ada1eb,FRUNKY4040,17.0,1608.3199462890625,4388.5498046875,16.989999771118164,21192.7001953125,-7096.400146484375,4.4999998807907104,-0.5999999865889549,-0.0,0.0,255.0,128.0,,-0.009602345700325012,-2.8184653895375975,5.8372015276319465e-05,True,152.0,False,False,False,False,,enpitsu,76561198039309853,27,419.8399963378906,5205.68017578125,312.4599914550781,2055.7000732421875,-40.10000228881836,3584.89990234375,-2626.9000244140625,-953.0999755859375,-4737.099914550781,255.0,255.0,,1.0420658563262781,2.6669209292549807,-1.795747443613251,True,17.0,False,18.0,155.0,False,,games5425898691,bf81d8692db,19.0,-1.2799999713897705,5103.5498046875,647.760009765625,16295.6005859375,195.49999237060547,-6253.3001708984375,683.8999938964844,588.4000015258789,-172.39999771118164,255.0,18.0,,-0.3654603586441173,3.121433572850764,1.5971667385525092,True,6.08553110912281,True,12,False,16,
5,3686,118.0,False,1,140.89001455194062,757.0399780273438,5163.240234375,291.1400146484375,-2847.9998779296875,-2395.7000732421875,1592.8999328613281,694.8000335693359,4786.7999267578125,3016.7001342773438,1.0,0.48361516817609707,1.822105088334904,1.8481178220778585,5015981471864310181,Flavsk1,7.0,877.9500122070312,5175.2998046875,240.4600067138672,1285.2000427246094,2124.9000549316406,-7585.30029296875,2583.699951171875,-308.1999969482422,2660.1998901367188,198.0,128.0,,0.17529275730277413,1.6288141711113477,-1.5728341016432605,True,4,4,6,197.0,False,,b05d1ada1eb,FRUNKY4040,17.0,2844.52001953125,3974.85009765625,16.989999771118164,21192.7001953125,-7096.400146484375,4.4999998807907104,-0.5999999865889549,-0.0,0.0,255.0,128.0,,-0.009602345700325012,-2.8184653895375975,5.8372015276319465e-05,True,183.0,False,False,False,False,,enpitsu,76561198039309853,27,552.0700073242188,5215.2900390625,335.3399963378906,2103.3999633789062,349.0999984741211,-232.80000686645508,-2404.600067138672,-805.6999969482422,-4389.100036621094,255.0,128.0,,1.0467492066180912,2.818097596214291,0.30296568745371244,True,18.0,False,18.0,155.0,False,,games5425898691,bf81d8692db,19.0,1181.5999755859375,4840.43017578125,460.2099914550781,20928.30078125,-5214.0997314453125,-142.89999961853027,5313.4002685546875,-312.8000068664551,1385.2999877929688,255.0,72.0,,0.7621278409504173,-2.5177324257359954,-0.6025466843540263,True,0.0,False,13,False,16,
6,4097,133.0,False,1,3558.8195059776845,1431.3699951171875,1621.6800537109375,93.23999786376953,-3348.0999755859375,15949.200439453125,-49.29999828338623,-2125.0999450683594,716.9999694824219,-3932.7999877929688,1.0,0.42397124220339705,1.0482545029955779,-0.6378222695218353,b05d1ada1eb,FRUNKY4040,17.0,1266.739990234375,1769.81005859375,16.989999771118164,-724.7000122070312,22830.400390625,4.600000083446503,-0.0,3.0000001192092896,-754.8000335693359,255.0,128.0,,-0.009590161619278063,1.5752699271663337,-2.1451186427235288e-05,False,4,False,4,151.0,False,,5015981471864310181,Flavsk1,7.0,2071.9599609375,-1152.219970703125,17.010000228881836,-12818.399658203125,4102.699890136719,2.0999999344348907,0.7999999821186066,-0.09999999776482582,-32.200000286102295,240.0,128.0,False,-0.009575623644424228,0.3145484177246137,7.097036675337828e-05,True,255.0,False,12,4,10,,enpitsu,76561198039309853,27,-108.79000091552734,1505.7099609375,16.950000762939453,-1850.3999328613281,22654.3994140625,27.200000286102295,12.699999809265137,-2.199999988079071,-33.499999046325684,255.0,128.0,,-0.01741479610443046,1.4926756843403182,0.00023009607997453782,True,28.0,False,28.0,122.0,False,,games5425898691,bf81d8692db,19.0,1477.280029296875,2189.669921875,21.959999084472656,1301.300048828125,-22768.30078125,2985.0,-0.0,0.5000000074505806,-1395.2999877929688,255.0,17.0,,-0.009591377952735144,-1.6071712022736286,-0.0003978429269121259,True,171.0,False,16,False,19,
7,4310,141.0,True,0,3415.1789522593394,-133.02000427246094,1811.1400146484375,392.9700012207031,-3880.7000732421875,24016.69921875,3399.4000244140625,2066.300048828125,-2783.0999755859375,-4897.300109863281,0.0,0.3053685906668141,-1.836637842088284,1.0964874147269676,bf81d8692db,games5425898691,19.0,-123.08000183105469,1628.5,323.9200134277344,-9950.999755859375,15608.199462890625,2991.9000244140625,-3040.1998901367188,2272.4000549316406,3980.1998901367188,255.0,8.0,,-0.10969263535181793,1.8734465661106607,1.0892815955394906,True,19,False,22,63.43624093455655,True,,76561198039309853,enpitsu,27.0,0.23999999463558197,-5090.14990234375,17.049999237060547,3851.9000244140625,-1835.7000732421875,4.000000059604645,0.19999999552965164,0.09999999776482582,2506.699981689453,255.0,255.0,False,0.01662967695641063,0.879770411082958,-2.599615669548267e-05,True,255.0,False,28,False,28,,FRUNKY4040,b05d1ada1eb,17,31.510000228881836,958.7100219726562,354.04998779296875,762.6000213623047,-17840.999755859375,-574.5999908447266,2.0999999344348907,-28.499999046325684,-831.9000244140625,255.0,128.0,,-0.029928806954744216,-0.9449836621189767,-0.002474060617142928,True,4.0,4,6.0,255.0,False,,Flavsk1,5015981471864310181,6.0,-128.3000030517578,3003.39990234375,17.0,-617.9999923706055,-13882.39990234375,3.4999999403953552,0.0,0.09999999776482582,-1658.3999633789062,255.0,0.0,False,0.009579181170744045,-1.6288701610891194,-0.0002553318754581026,True,255.0,False,12,4,14,
8,5174,163.0,False,0,3330.7257538567906,2088.489990234375,3661.300048828125,428.5299987792969,-12554.200439453125,13033.199462890625,6101.300048828125,5991.500244140625,18.200000524520874,318.29999923706055,0.0,-0.847838882839471,-3.114877919340396,-1.3157652156674173,bf81d8692db,games5425898691,19.0,2205.75,3462.10009765625,367.7699890136719,-10245.0,9020.0,2378.9999389648438,-3217.3001098632812,4296.199951171875,1200.2999877929688,255.0,3.0,,0.3914233308046969,1.9104998328132408,1.2051897224751682,True,11,False,12,132.96497191152267,True,,76561198039309853,enpitsu,27.0,916.469970703125,-251.19000244140625,17.049999237060547,-21.30000114440918,-15.099999904632568,2.3999999463558197,1.1999999731779099,-1.4000000059604645,-6.9999998807907104,255.0,128.0,False,0.01728503395476388,1.4656416892530884,6.058907384485774e-05,True,255.0,False,False,False,False,,FRUNKY4040,b05d1ada1eb,17,2230.1201171875,4239.93994140625,17.010000228881836,-10412.5,-6655.7000732421875,2.0999999344348907,-3.3000001311302185,-1.7000000178813934,-1002.3000335693359,255.0,128.0,,0.009567840715019725,-2.642421796893835,0.00018408250319280184,False,4.0,4,6.0,255.0,False,,Flavsk1,5015981471864310181,7.0,-2.619999885559082,5225.68994140625,17.010000228881836,842.3999786376953,-846.2000274658203,2.0999999344348907,0.7000000029802322,0.5000000074505806,0.0,255.0,128.0,,0.00939239711372532,-0.7876047883064572,-1.7687422508243556e-05,True,255.0,False,8,False,10,
9,6266,203.0,False,1,4379.661488183772,-2567.080078125,2458.860107421875,138.58999633789062,17980.50048828125,22327.099609375,2744.4000244140625,-368.10001373291016,-181.20000839233398,140.0,1.0,0.2584265018477121,2.746763367879345,-0.7477562230275131,b05d1ada1eb,FRUNKY4040,17.0,-2676.889892578125,2356.659912109375,16.0,5177.80029296875,15066.199951171875,362.90000915527344,96.5999984741211,1396.3999938964844,-1057.5,255.0,6.0,,-0.08336939089884149,1.880776390983782,0.09726254010083614,False,8,4,12,236.21185360416288,True,,5015981471864310181,Flavsk1,7.0,-2917.22998046875,3061.469970703125,313.70001220703125,4085.5999755859375,21366.8994140625,-5835.2001953125,-2108.6000061035156,411.5999984741211,-167.09999084472656,128.0,128.0,False,0.7009425153846264,1.6976442782413457,-0.1343740489097823,True,183.0,False,30,4,24,,enpitsu,76561198039309853,27,-216.24000549316406,5014.10986328125,17.049999237060547,-2289.9000549316406,-920.1999664306641,2.5,-4.1999998688697815,-2.0999999344348907,-1000.8999633789062,255.0,128.0,False,-0.016602748671763274,-0.4840742305708012,-6.323263808647642e-05,True,10.0,False,10.0,255.0,False,,games5425898691,bf81d8692db,19.0,-3431.260009765625,2039.4000244140625,95.55000305175781,866.9999694824219,22820.0,-160.49999237060547,-5496.199951171875,33.90000104904175,200.79999923706055,255.0,128.0,,-0.2095772080144513,-1.5568335026427067,3.104072907256845,True,0.0,False,23,False,24,
