,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,169,0,False,0,5179.744255462185,17.139999389648438,41.380001068115234,94.94000244140625,10027.000122070312,28199.599609375,2628.5000610351562,304.3000030517578,-172.5,1309.7999572753906,0.0,-0.0029199024337645597,0.021836691827880006,0.00504493502616422,6567659010494770228,DENsilv9,45.0,-97.30999755859375,-223.8800048828125,62.11000061035156,15289.89990234375,16993.800048828125,2521.199951171875,-2387.7000427246094,3750.4998779296875,-283.700008392334,255.0,68.0,,0.09485555013846406,1.0419233593484885,0.024586083430302566,True,0.0,False,4,3,False,,b73bc6ab6ab,AdriBF11,9.0,-2827.47998046875,-3987.530029296875,17.010000228881836,-17271.500244140625,-2773.800048828125,3.1999999284744263,-0.5000000074505806,0.0,-3047.5,255.0,0.0,False,0.009594656773034713,3.0271526826584876,-0.0001335252347386914,True,False,False,0.0,False,False,,enpitsu,76561198039309853,24,-121.88999938964844,4201.22998046875,17.049999237060547,2600.1998901367188,-6851.5997314453125,3.1999999284744263,0.3999999910593033,-0.7000000029802322,101.89999580383301,255.0,0.0,False,0.016630636727859235,-1.1976779802112456,-0.00012186815505178975,True,False,False,116.0,False,False,,games5425898691,bf81d8692db,22.0,96.69999694824219,478.760009765625,81.93000030517578,-5028.699951171875,-22224.89990234375,2473.9999389648438,5460.4998779296875,-653.3000183105469,74.80000019073486,128.0,150.0,,0.6854539985671948,-1.738796189824157,-0.024247736341027126,True,3,4,False,0.0,False,
1,1018,30,True,1,1841.5875358504252,-927.4000244140625,4881.81982421875,329.20001220703125,12465.6005859375,26996.8994140625,-6699.000244140625,-627.9999923706055,3358.2000732421875,-2610.10009765625,1.0,-0.08153466694146146,2.6455083966536272,-1.5952168960711526,bf81d8692db,games5425898691,22.0,-997.0800170898438,4674.5498046875,375.0400085449219,8923.900146484375,21197.19970703125,199.0999984741211,-4988.500061035156,881.5000152587891,-2141.699981689453,255.0,233.0,,-0.2439678171658352,2.368870264436291,-0.6308208476017686,True,86.80847335630844,True,14,11,False,,76561198039309853,enpitsu,24.0,-2999.31005859375,4993.68994140625,592.6900024414062,-6805.30029296875,-3544.5999145507812,1349.4000244140625,1351.9000244140625,-2068.5000610351562,951.1000061035156,255.0,255.0,False,0.19962623671560153,-0.4990413618273513,-1.5748369924924106,True,False,12,32.0,False,12,,AdriBF11,b73bc6ab6ab,9,-981.7000122070312,4671.35986328125,514.4600219726562,-6273.699951171875,2141.0000610351562,2850.4998779296875,-4929.700012207031,1125.5999755859375,2163.5000610351562,128.0,128.0,False,0.37736724980790537,0.20166464448846125,-0.8045398379721352,True,16,6,143.02469700638966,True,8,,DENsilv9,6567659010494770228,10.0,1155.969970703125,-1872.1199951171875,17.010000228881836,-989.1999816894531,3833.0999755859375,6.800000071525574,-5.299999713897705,2.3999999463558197,1977.5,255.0,255.0,False,-0.009203693644280926,1.400798736080718,-8.871385113845175e-05,True,12,18,False,0.0,False,
2,1275,31,False,0,5175.093526741489,1.5800000429153442,43.34000015258789,94.94999694824219,-740.2999877929688,29135.6005859375,1881.6000366210938,-3365.1998901367188,615.0,-4929.200134277344,0.0,0.00807344576624755,-0.08443727931613249,-0.05783932171906252,b73bc6ab6ab,AdriBF11,9.0,12.180000305175781,-132.6699981689453,78.66999816894531,3600.10009765625,19812.900390625,3070.1998901367188,373.80001068115234,-3213.699951171875,4447.60009765625,255.0,251.0,,-0.02187850180319386,1.4420750843372303,-0.04732079569126076,True,4.155509718002809,True,6,5,False,,6567659010494770228,DENsilv9,10.0,-2408.43994140625,-3865.280029296875,74.5,-18844.69970703125,-3247.2000122070312,-2258.800048828125,916.9999694824219,-1771.9000244140625,363.8999938964844,255.0,128.0,,-0.2665506826578807,-2.735913812194804,-0.019419436947960948,False,False,4,10.0,False,4,,enpitsu,76561198039309853,24,156.13999938964844,179.92999267578125,99.44999694824219,-13789.300537109375,-18344.000244140625,127.29999542236328,4396.300048828125,-3304.8001098632812,0.0,255.0,128.0,,1.3650414047417818,-2.2151521323047274,0.00023476397808831946,True,2,False,0.0,False,1,,games5425898691,bf81d8692db,22.0,-2732.81005859375,4122.009765625,17.010000228881836,-17812.60009765625,1857.8999328613281,2.800000011920929,0.7000000029802322,0.0,1900.8999633789062,255.0,255.0,,0.009579466816423545,3.099579985151013,7.393788056951141e-05,True,False,False,False,0.0,False,
3,1903,53,True,0,735.0374631781704,-367.5,4629.14990234375,254.38999938964844,10837.099609375,17517.60009765625,-3673.2000732421875,-695.9999847412109,-1783.8999938964844,-5686.199951171875,0.0,-0.0972104688362533,2.1927484298617683,-0.7234301353625915,6567659010494770228,DENsilv9,10.0,-510.3500061035156,4414.7998046875,260.4100036621094,1065.0,19876.700439453125,297.00000762939453,1693.3999633789062,4613.999938964844,2468.300018310547,255.0,47.0,,-0.3555028443914281,1.1799517398881372,1.4994055523286594,True,0.0,False,8,5,False,,b73bc6ab6ab,AdriBF11,9.0,-807.3900146484375,4502.27001953125,17.010000228881836,-9814.7998046875,1692.7000427246094,2.7000001072883606,-3.6000001430511475,0.3999999910593033,-1524.4999694824219,128.0,78.0,,0.009632892539467237,2.9412527287445367,-0.00012775835994586788,True,6,12,0.0,False,16,,enpitsu,76561198039309853,24,-906.2899780273438,4729.83984375,754.0700073242188,-8392.60009765625,-507.5,3683.800048828125,-5029.5001220703125,-1498.2000732421875,-1645.7000732421875,255.0,255.0,False,1.2619669304062164,0.10485886759497808,-2.641090419432146,True,8,2,148.0,False,6,,games5425898691,bf81d8692db,22.0,2259.31005859375,4383.18994140625,17.010000228881836,-5.099999904632568,8028.699951171875,3.100000023841858,-0.19999999552965164,-0.3999999910593033,2500.0,255.0,255.0,,0.009506730476678639,1.5980248554180654,3.024396988300457e-05,True,12,12,False,161.0,False,
4,3022,85,False,0,3678.6044128554113,-3208.75,2279.35009765625,451.0400085449219,16283.699951171875,13766.400146484375,696.2000274658203,2541.1000061035156,2714.1000366210938,-4709.100036621094,0.0,0.13633063507854995,1.3573266534546662,-2.1835764201885266,b73bc6ab6ab,AdriBF11,9.0,-3288.469970703125,2073.320068359375,315.9599914550781,-980.4000091552734,16127.2998046875,3359.5999145507812,1379.9000549316406,2614.5999145507812,3212.2000122070312,128.0,128.0,False,-1.1231185316705807,0.6441786088127237,2.9422003744301417,True,191.0,False,18,14,4,,6567659010494770228,DENsilv9,10.0,2448.969970703125,-407.8900146484375,17.010000228881836,-11718.199462890625,-7551.5997314453125,2.8999999165534973,-0.5999999865889549,-0.29999999329447746,-2139.499969482422,255.0,0.0,,0.009575421038311108,-2.6281239624581225,-7.978317765971641e-05,True,False,16,255.0,False,18,,enpitsu,76561198039309853,24,-2825.840087890625,4060.830078125,17.059999465942383,6500.2001953125,-3711.400146484375,1.899999976158142,0.0,-1.0999999940395355,-2713.2998657226562,255.0,255.0,False,0.016680265620083505,-1.2945855705960512,8.457547410032762e-05,True,12,False,255.0,False,12,,games5425898691,bf81d8692db,22.0,-2374.3701171875,4061.090087890625,17.010000228881836,-6877.60009765625,-6761.500244140625,2.8999999165534973,0.0,0.09999999776482582,2220.7000732421875,128.0,255.0,,0.009651157230113522,-2.31507142003693,8.514168646470807e-06,True,14,16,False,110.0,False,
5,3559,104,True,0,7529.124359529396,275.9800109863281,-2297.35009765625,106.05999755859375,1877.7999877929688,29114.599609375,3206.300048828125,2683.800048828125,-5323.2000732421875,678.3000183105469,0.0,0.3064668838113325,-0.5434652783036871,-1.5084808466906006,b73bc6ab6ab,AdriBF11,9.0,244.8300018310547,-2484.010009765625,85.73999786376953,3246.4999389648438,20507.2998046875,1554.9000549316406,-5014.2999267578125,1412.7999877929688,1763.6000061035156,132.0,153.0,False,0.6345099954272877,1.1527513517037733,-0.07218941505499961,True,59.889943979119714,True,24,19,4,,6567659010494770228,DENsilv9,10.0,391.7699890136719,-2821.14990234375,17.010000228881836,-8596.199951171875,17424.49951171875,2.800000011920929,-0.5999999865889549,0.09999999776482582,-1925.0999450683594,128.0,0.0,,0.009604389911681908,1.961230486558757,-3.738199585841621e-05,True,False,20,99.0,False,22,,enpitsu,76561198039309853,24,1823.5799560546875,-3629.590087890625,35.0,-1562.2999572753906,18647.80029296875,3200.4998779296875,0.0,-1.899999976158142,158.99999618530273,255.0,128.0,False,0.016794541547368758,1.6713902823194022,-0.00022411599434496928,True,22,False,45.0,False,19,,games5425898691,bf81d8692db,23.0,2738.550048828125,-3095.219970703125,17.0,-2749.89990234375,17748.399658203125,1.5000000596046448,-0.7000000029802322,4.399999976158142,941.9999694824219,255.0,255.0,,0.009590040778623484,1.734533337320764,2.1374688209072137e-05,True,20,24,False,115.49492471961557,True,
6,4677,136,False,0,4057.3899730333424,2754.659912109375,3369.3798828125,208.58999633789062,-20097.39990234375,17840.0,-3443.699951171875,-1024.4000244140625,-5883.900146484375,573.6999893188477,0.0,0.2169941837936413,-1.6961690974926196,-3.026679198774617,6567659010494770228,DENsilv9,10.0,2882.489990234375,3309.699951171875,149.6699981689453,-7399.69970703125,15165.400390625,2595.2999877929688,1120.8999633789062,-2496.999969482422,1131.8000030517578,255.0,188.0,,-0.36889910571603074,2.0990698020501912,-0.06674486135759616,True,145.0,False,12,8,False,,b73bc6ab6ab,AdriBF11,12.0,1361.6199951171875,768.0499877929688,17.010000228881836,2723.2000732421875,14409.599609375,2.5,0.0,-0.7000000029802322,0.0,151.0,128.0,False,0.009600772550531647,1.3839818086332563,7.378051605887618e-05,True,False,10,236.0,False,12,,enpitsu,76561198039309853,24,2359.510009765625,3104.360107421875,45.61000061035156,7529.7998046875,21478.30078125,3313.599853515625,-0.29999999329447746,0.0,0.0,128.0,0.0,False,0.016789957751014807,1.2335883673773675,2.100563246331112e-05,True,14,False,26.0,False,12,,games5425898691,bf81d8692db,22.0,-257.6099853515625,3885.780029296875,17.0,4271.9000244140625,19518.900146484375,4.099999964237213,0.0,0.0,-1981.1000061035156,255.0,0.0,,0.009588743853571249,1.282190541247693,-1.3358411305631042e-05,True,16,18,False,114.0,False,
7,5078,151,True,1,1480.5360449910968,1671.6700439453125,3878.919921875,94.61000061035156,-19537.19970703125,14486.199951171875,2316.4999389648438,-5433.800048828125,-950.8000183105469,2359.9000549316406,1.0,-0.7288386596401554,1.0702583896889768,-1.2718912141284688,bf81d8692db,games5425898691,22.0,1840.0999755859375,3777.0,16.989999771118164,-18759.100341796875,13307.60009765625,2.8999999165534973,0.5999999865889549,-0.29999999329447746,1564.1999816894531,255.0,255.0,,-0.009599232348763401,0.5823878441725415,0.00021490101543306851,True,106.39336761095193,True,22,20,False,,76561198039309853,enpitsu,24.0,23.420000076293945,2307.030029296875,17.059999465942383,-1937.5999450683594,21773.701171875,0.0,0.09999999776482582,-0.29999999329447746,0.0,255.0,255.0,,-0.01679253351710453,1.4820289236512048,2.792615957671231e-05,True,False,14,229.0,False,16,,AdriBF11,b73bc6ab6ab,9,2003.780029296875,877.9400024414062,17.969999313354492,-6296.7999267578125,21902.7001953125,-1476.3999938964844,-1143.0000305175781,-2217.5,-308.0999946594238,255.0,128.0,,0.010949750151094659,1.31480600206866,0.05523026537856238,True,20,4,31.0,False,16,,DENsilv9,6567659010494770228,10.0,2465.139892578125,3045.610107421875,17.0,-12845.999755859375,19078.199462890625,1.5000000596046448,0.9000000357627869,-1.0000000149011612,-542.9000091552734,255.0,47.0,,-0.009604927352077014,0.9810747519826053,-0.0001207677577647253,True,14,16,False,0.0,False,
8,5607,161,True,1,301.4423051202619,675.6199951171875,4934.330078125,96.11000061035156,16063.00048828125,19851.099853515625,2898.5000610351562,5205.0,1290.0,-2691.400146484375,1.0,-0.12361341073687188,1.5491716246237952,-1.9530438724584411,76561198039309853,enpitsu,24.0,551.3599853515625,4739.580078125,45.119998931884766,12073.199462890625,15938.399658203125,2967.2000122070312,-2178.9999389648438,343.80001068115234,1586.0000610351562,255.0,255.0,False,-0.03533010117574677,2.462592571835335,-0.010461850079549088,True,111.77877834022686,True,4,3,False,,bf81d8692db,games5425898691,22.0,390.0199890136719,3225.110107421875,17.0,19778.499755859375,6141.9000244140625,4.000000059604645,1.0000000149011612,0.5000000074505806,1682.7000427246094,255.0,250.0,,-0.00957976096041852,2.7755220168982504,-3.1765218806592147e-05,True,False,6,178.0,False,6,,AdriBF11,b73bc6ab6ab,9,89.43000030517578,4501.66015625,17.010000228881836,8752.80029296875,-3732.9998779296875,3.1999999284744263,-0.3999999910593033,-0.0,2629.7000122070312,236.0,255.0,False,-0.009562096186800014,-2.8260933136668016,-1.882837232642043e-05,True,8,4,166.0,False,6,,DENsilv9,6567659010494770228,10.0,-1658.72998046875,4522.85986328125,17.020000457763672,12051.700439453125,5347.9998779296875,1.4000000059604645,-0.5999999865889549,0.3999999910593033,-1.7000000178813934,128.0,128.0,,-0.009594313960643244,2.724259994258569,2.9842384579952404e-05,True,4,4,False,255.0,False,
9,9577,287,True,1,2778.847784858307,-1525.3800048828125,3776.580078125,253.2899932861328,22041.201171875,18871.400146484375,-3812.0999145507812,-465.60001373291016,442.59998321533203,-5965.4998779296875,1.0,-0.36364062482102344,1.30412452434418,-1.928163862131062,bf81d8692db,games5425898691,22.0,-1619.760009765625,3672.989990234375,195.85000610351562,7772.80029296875,14763.399658203125,357.7000045776367,3940.10009765625,-990.5000305175781,3707.2000122070312,255.0,140.0,,0.6981927720756061,2.3392219346439505,0.17178589709533731,True,64.83335912868539,True,20,17,False,,76561198039309853,enpitsu,24.0,-321.69000244140625,3652.77001953125,17.059999465942383,11384.89990234375,-8321.099853515625,1.8000000715255737,-0.3999999910593033,0.5999999865889549,-0.09999999776482582,255.0,255.0,True,-0.016756388893877462,-2.5104017560200544,6.216884076077798e-05,True,False,16,225.0,False,16,,AdriBF11,b73bc6ab6ab,9,-1097.8900146484375,5076.39990234375,455.2200012207031,1639.1000366210938,-3565.10009765625,-1944.1000366210938,-187.99999237060547,-54.699997901916504,-252.00000762939453,203.0,128.0,False,-0.6423952427330563,3.1364106771845264,1.5739253692530466,True,25,6,240.0,False,18,,DENsilv9,6567659010494770228,10.0,-3013.22998046875,550.1799926757812,17.030000686645508,10643.499755859375,7946.7999267578125,0.3999999910593033,-0.29999999329447746,-0.19999999552965164,2268.699951171875,255.0,255.0,,-0.009564286419710006,2.4320779817433933,3.928015468024914e-05,True,24,24,False,167.0,False,
