,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,170,0.0,False,1,5173.857409144102,-5.119999885559082,45.220001220703125,106.33000183105469,-1563.0999755859375,21652.80029296875,6148.499755859375,3175.0,2481.199951171875,-4445.4998779296875,1.0,0.0823407124964697,0.13268721859859536,-0.09205970460097532,bf9e2c169bb,PtHenk,11.0,-15.920000076293945,-130.14999389648438,16.049999237060547,-11198.499755859375,13638.00048828125,-165.79999923706055,106.30000114440918,-121.80000305175781,-586.5999984741211,255.0,128.0,,-0.01279291801060969,0.917454300523469,0.004229692398629082,True,False,0.0,False,False,False,,76561198810719683,a_couchinho,14.0,-0.0,-2642.0,17.010000228881836,-0.0,13725.999755859375,2.0999999344348907,-0.7999999821186066,-0.0,0.0,255.0,,,-0.009498631517434493,1.5708043502953375,-3.803362393823418e-08,True,False,False,False,146.0,False,,enpitsu,76561198039309853,27.0,-0.0,2577.4599609375,17.049999237060547,-0.0,-13893.499755859375,2.7000001072883606,0.7999999821186066,-0.0,0.0,255.0,0.0,,-0.016670479252160426,-1.5707742227540715,-2.4338197291840506e-07,True,146.0,False,False,False,False,,games5425898691,bf81d8692db,19.0,-10.779999732971191,321.1700134277344,79.58999633789062,3819.2001342773438,-22590.2001953125,1952.5,5497.5,-74.49999809265137,-145.600004196167,255.0,94.0,,-0.7042963524152618,-1.5792984209569136,0.012504301145787159,True,4,3,False,31.0,False,
1,338,6.0,True,0,1043.8538390029412,-1083.260009765625,4113.080078125,130.47000122070312,11250.999755859375,28801.59912109375,5282.39990234375,2488.000030517578,-4908.599853515625,2390.399932861328,0.0,-0.2323449494330389,2.9330747501468126,2.8733096956203346,bf81d8692db,games5425898691,20.0,-1185.010009765625,3937.699951171875,96.87000274658203,7811.300048828125,21518.20068359375,2224.600067138672,-4409.100036621094,-954.4999694824219,1349.4000244140625,255.0,216.0,,0.12890168295929558,1.13948198275664,-0.030489666388475528,True,5,177.0,False,6,False,,76561198039309853,enpitsu,26.0,803.260009765625,5673.72998046875,33.529998779296875,-813.0999755859375,-6139.4000244140625,-423.80001068115234,83.29999923706055,768.3999633789062,276.200008392334,255.0,128.0,,0.08020533334986381,-1.6960299793871088,0.12076499656927443,True,2,False,2,17.0,False,,a_couchinho,76561198810719683,14.0,399.45001220703125,4277.740234375,17.010000228881836,-16065.0,2663.800048828125,-0.3999999910593033,5.400000214576721,-0.3999999910593033,765.9999847412109,255.0,128.0,,0.009599493210998403,3.0235755736918124,-6.451818251072053e-05,True,11.68419784115208,True,4,False,4,,PtHenk,bf9e2c169bb,11.0,67.91999816894531,4631.0400390625,83.77999877929688,-22578.701171875,-4168.599853515625,1350.0999450683594,-665.0,1526.0000610351562,1257.0999908447266,255.0,128.0,,-0.2993785706450261,-2.4885925821621138,-0.04086185598244077,True,6,4,False,45.0,False,
2,1151,26.0,False,1,2411.953829572542,-1237.280029296875,4014.550048828125,107.12000274658203,14608.00048828125,24616.99951171875,990.0,-968.7999725341797,496.8000030517578,-5900.30029296875,1.0,0.8977798277981638,-1.7350632649075266,1.1917866819773517,76561198810719683,a_couchinho,14.0,-1276.68994140625,3776.840087890625,16.989999771118164,11898.599853515625,19432.19970703125,4.600000083446503,-0.19999999552965164,-0.0,1976.6999816894531,255.0,236.0,False,-0.009566925353770036,2.041242208753705,1.3763922200459502e-05,True,10,18.0,False,10,False,,bf9e2c169bb,PtHenk,11.0,3293.52001953125,3078.489990234375,17.030000686645508,-7285.2001953125,21795.80078125,3.6000001430511475,0.09999999776482582,-0.3999999910593033,1489.2999267578125,255.0,255.0,,-0.016771879576301628,1.2195866696713367,0.00024060698131857916,True,4,False,4,228.0,False,,enpitsu,76561198039309853,25.0,-3582.659912109375,-1878.8699951171875,92.30999755859375,-4678.399963378906,18065.10009765625,-316.8000030517578,-4987.099914550781,-1047.7999877929688,-425.6999969482422,128.0,128.0,False,1.3586213746006137,0.9652356501481447,-0.4065145929322419,True,31.0,False,8,False,8,,games5425898691,bf81d8692db,19.0,-1470.7900390625,4820.85986328125,17.0,21871.298828125,-5211.500244140625,1.899999976158142,0.19999999552965164,-0.0,-1766.0000610351562,255.0,0.0,,-0.009585454020376602,-2.8542499722738794,-9.482819210950484e-05,True,6,4,False,130.0,False,
3,1523,40.0,True,0,1062.6168324841924,-1095.8199462890625,4096.33984375,210.5500030517578,12348.599853515625,21434.89990234375,482.40001678466797,1123.8999938964844,2401.3999938964844,-408.3000183105469,0.0,-0.38988157149719904,0.2229225868422847,2.9398040373887433,76561198039309853,enpitsu,25.0,-1164.68994140625,3918.5400390625,195.58999633789062,7422.19970703125,9094.7998046875,1786.9000244140625,-4711.499938964844,-2239.499969482422,-1742.1000671386719,128.0,255.0,False,0.03756888966293535,0.49126529404964814,-0.5829340370560102,True,11,41.0,False,12,False,,bf81d8692db,games5425898691,19.0,1121.8699951171875,362.6300048828125,16.989999771118164,-5986.9000244140625,22207.099609375,2.3000000417232513,1.0999999940395355,-0.7000000029802322,1834.4000244140625,255.0,204.0,,0.009655551347640259,1.9107215611139272,-1.4978327971194166e-05,True,14,False,16,133.08043867029167,True,,a_couchinho,76561198810719683,14.0,-895.3400268554688,4728.2001953125,16.989999771118164,11255.999755859375,-13189.000244140625,13.999999761581421,33.80000114440918,-14.299999475479126,-1928.3999633789062,252.0,0.0,False,0.008652107341009775,-0.9296364434541494,-0.0017255231494286095,True,224.0,False,10,False,12,,PtHenk,bf9e2c169bb,11.0,-700.4099731445312,2919.590087890625,17.030000686645508,11448.699951171875,19479.89990234375,5.199999809265137,-3.1999999284744263,-5.899999737739563,1180.999984741211,255.0,128.0,,0.01677634347805033,1.097494995307041,1.9434992960429074e-05,True,8,8,False,0.0,False,
4,1965,46.0,False,0,4929.9400017570515,2830.5400390625,1912.4300537109375,102.33000183105469,-16054.69970703125,18806.099853515625,2097.7999877929688,-1187.6000213623047,161.5999984741211,-530.6000137329102,0.0,-0.447869751234865,-1.8630100557599492,-1.9322265855683798,bf81d8692db,games5425898691,20.0,2986.389892578125,1731.5400390625,16.739999771118164,-13787.60009765625,14390.6005859375,-208.89999389648438,1267.6000213623047,1882.5999450683594,-610.6000137329102,255.0,107.0,,-0.008929185179384378,2.33494398864111,0.004132860096977581,True,6,131.5563700814402,True,6,False,,76561198039309853,enpitsu,25.0,-58.119998931884766,-3730.489990234375,17.049999237060547,-426.30001068115234,12754.89990234375,2.5999999046325684,0.0,-1.0999999940395355,-73.09999942779541,255.0,128.0,,0.01673138292429843,1.5952978768345647,0.0001133652235943186,True,2,False,2,255.0,False,,a_couchinho,76561198810719683,14.0,2799.110107421875,4671.52978515625,17.010000228881836,-10541.099853515625,3190.4000854492188,3.0000001192092896,0.7000000029802322,0.0,3275.0,251.0,255.0,False,0.009565429162492598,3.1181943546744226,-2.0194479498162e-05,True,255.0,False,6,False,6,,PtHenk,bf9e2c169bb,11.0,2941.590087890625,2517.080078125,17.030000686645508,-15450.30029296875,-3888.5000610351562,5.699999928474426,0.7000000029802322,0.09999999776482582,2000.3999328613281,255.0,255.0,False,0.016771274800926182,-2.8365913448849,8.32455533865105e-05,True,4,4,False,184.0,False,
5,2356,60.0,True,0,3727.738843989647,2484.949951171875,3569.89990234375,406.5799865722656,-27145.30029296875,16381.600341796875,-2564.8001098632812,-4238.2000732421875,1781.1000061035156,3855.4998779296875,0.0,1.0087233294926667,-0.5620432935579283,-2.1473418011444854,bf81d8692db,games5425898691,19.0,2682.070068359375,3421.909912109375,374.3299865722656,-12442.2998046875,19046.700439453125,3377.7999877929688,-4217.900085449219,-62.30000019073486,-3529.1000366210938,255.0,111.0,,-0.6641498595541386,2.5005273209671435,-0.9689585259733114,True,5,182.9149334917786,True,6,False,,76561198039309853,enpitsu,25.0,19.940000534057617,1702.199951171875,17.059999465942383,287.5,12188.399658203125,1.4000000059604645,0.5999999865889549,0.0,0.0,255.0,128.0,False,0.01677846763097332,1.5471856170355827,2.3550341866302546e-07,True,6,False,6,116.0,False,,a_couchinho,76561198810719683,14.0,1984.989990234375,5102.990234375,278.6499938964844,-11753.900146484375,-2.7000001072883606,-2271.9000244140625,0.19999999552965164,37.799999713897705,1.0000000149011612,220.0,128.0,False,0.16225953556373832,3.1318229996382803,-1.5723304678427101,True,255.0,False,10,False,8,,PtHenk,bf9e2c169bb,11.0,3381.85009765625,2817.02001953125,56.900001525878906,2592.39990234375,18249.49951171875,-2068.300018310547,-1471.300048828125,743.3000183105469,-580.9999847412109,255.0,128.0,False,-0.1696002186907177,1.7686728955434294,-0.5216854182107277,True,8,6,4,0.0,False,
6,2994,74.0,False,1,1456.8580479025838,487.92999267578125,3741.4599609375,734.3499755859375,-8512.7001953125,25428.798828125,-5329.2999267578125,-5989.5001220703125,168.70000839233398,310.79999923706055,1.0,-1.5100586009093149,3.019877767272955,-2.9883066282874924,76561198810719683,a_couchinho,14.0,465.6600036621094,3550.14990234375,690.5599975585938,-9354.299926757812,16615.50048828125,2061.0000610351562,-1070.8999633789062,687.2000122070312,-225.10000228881836,253.0,128.0,,-0.11397959333379205,2.161497857641642,1.281717058195426,True,False,8.978554610283147,True,6,False,,bf9e2c169bb,PtHenk,11.0,147.52000427246094,3849.35009765625,128.8699951171875,-14388.699951171875,12015.799560546875,-9950.700073242188,4927.300109863281,-1846.7999267578125,1600.0999450683594,255.0,255.0,,-0.25456330456068854,2.00879642747842,1.0999681427027952,True,6,False,6,167.0,False,,enpitsu,76561198039309853,25.0,555.530029296875,4348.7001953125,16.979999542236328,-7920.7000732421875,3026.0000610351562,22.200000286102295,3.1999999284744263,9.200000166893005,-45.59999942779541,255.0,255.0,False,-0.017367248768611662,0.37409411264575215,1.974969205581565e-06,True,0.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,428.3299865722656,4201.31005859375,487.1400146484375,-6210.999755859375,-10664.3994140625,5057.9998779296875,3623.3999633789062,1634.9000549316406,-2100.0,255.0,233.0,,0.3850922192312648,-1.7021348429146594,-1.2236553262821388,True,8,7,False,176.73253304214884,True,
7,3536,94.0,False,1,777.1357503345403,223.19000244140625,4751.06982421875,651.3900146484375,10352.80029296875,22844.89990234375,1499.6000671386719,-634.7000122070312,4223.800048828125,-4213.699951171875,1.0,1.095534159152373,1.7643154757122397,3.122038989223847,bf9e2c169bb,PtHenk,11.0,217.25,4538.47021484375,548.22998046875,-6285.5999755859375,11617.60009765625,3053.800048828125,-1502.8999328613281,70.70000171661377,2919.2001342773438,128.0,0.0,False,0.46103225914379997,1.2822189655941136,2.8328910756559673,True,6,117.0,False,10,6,,76561198810719683,a_couchinho,14.0,-999.8400268554688,3496.169921875,118.68000030517578,13595.799560546875,-11501.800537109375,-448.49998474121094,-425.8000183105469,4441.9000244140625,908.4999847412109,255.0,128.0,,0.6475610551021671,-1.8902143543910517,1.2833601320300874,True,10,False,14,234.0,False,,enpitsu,76561198039309853,25.0,-20.940000534057617,5378.47021484375,20.610000610351562,7337.8997802734375,-990.1000213623047,2937.2000122070312,-51.19999885559082,7.200000286102295,-129.20000076293945,128.0,128.0,False,-0.01971278139104753,-3.006009203375008,0.035840267458119156,True,,False,12,False,10,,games5425898691,bf81d8692db,19.0,471.760009765625,4849.35986328125,626.5700073242188,-15807.19970703125,-11540.999755859375,20.299999713897705,5453.499755859375,-276.3999938964844,657.3000335693359,255.0,170.0,,-0.17494315768905264,0.16501809340343526,-2.8056088835386723,True,14,11,4,83.0,False,
8,3877,107.0,False,0,4156.314659202874,2600.9599609375,2893.6201171875,224.7899932861328,-14843.800048828125,14128.00048828125,7856.199951171875,5156.9000244140625,-1098.8999938964844,2863.2998657226562,0.0,-0.459889627388471,-0.15382855805160867,-1.9783774766929214,76561198039309853,enpitsu,25.0,2736.7900390625,2796.64990234375,110.4800033569336,-4431.099853515625,18801.400146484375,2266.3999938964844,-5286.5997314453125,-1516.9000244140625,24.40000057220459,255.0,128.0,,0.8436323253007504,1.8552166374909396,0.004936938394486519,True,13,,False,16,False,,bf81d8692db,games5425898691,20.0,2715.030029296875,-434.3800048828125,17.020000457763672,-3508.2000732421875,12697.5,0.7000000029802322,0.09999999776482582,-1.0000000149011612,-34.30000066757202,255.0,128.0,,0.009568607315612787,1.835302730864645,0.00010302074698810894,True,16,4,18,255.0,False,,a_couchinho,76561198810719683,14.0,1480.18994140625,4576.16015625,16.989999771118164,-1346.9999694824219,-3452.9000854492188,4.699999988079071,-0.09999999776482582,-0.29999999329447746,-1869.1999816894531,255.0,1.0,False,0.00949465994056336,-1.8423040247216325,-0.00011107335203432461,True,118.0,False,16,False,12,,PtHenk,bf9e2c169bb,11.0,2255.320068359375,-1012.9000244140625,17.059999465942383,-8192.999877929688,17611.600341796875,-3.1999999284744263,-0.09999999776482582,0.0,-2038.2000732421875,255.0,0.0,,0.016776319286348502,1.9344808596442498,-2.605361252646254e-05,True,16,12,6,175.22040426602928,True,
9,5919,181.0,True,1,2681.325055182378,438.80999755859375,2497.93994140625,131.5,-5373.599853515625,15909.100341796875,6398.3001708984375,3134.5999145507812,-5070.299987792969,682.5,1.0,-0.5254491885515404,2.1868694644969753,-0.21827122131395477,bf9e2c169bb,PtHenk,11.0,441.9800109863281,2371.760009765625,16.600000381469727,521.8999862670898,13156.8994140625,-171.39999389648438,6.9999998807907104,-306.00000381469727,-1381.199951171875,255.0,0.0,False,-0.016230646499868936,1.6791452394880333,-0.012654851829151607,True,28,194.0,False,40,10,,76561198810719683,a_couchinho,14.0,1628.449951171875,3205.409912109375,16.989999771118164,-11480.799560546875,1005.9999847412109,4.600000083446503,-0.9000000357627869,0.5000000074505806,169.79999542236328,255.0,159.0,False,-0.009589844198001313,0.09492580661587652,6.838377472593886e-05,True,28,4,38,122.0,False,,enpitsu,76561198039309853,25.0,308.1499938964844,3986.800048828125,17.040000915527344,-6161.7999267578125,5144.000244140625,3.799999952316284,-0.0,-2.0000000298023224,-79.00000095367432,128.0,128.0,False,-0.016751735963513373,0.7062640608179268,0.00013297796499516144,True,255.0,False,38,False,34,,games5425898691,bf81d8692db,20.0,1654.8900146484375,-4197.8701171875,16.989999771118164,-13627.5,13356.300048828125,4.799999892711639,-0.3999999910593033,0.09999999776482582,-2004.4999694824219,255.0,0.0,,-0.009574319849222992,0.851176646736595,-3.380597954031673e-05,True,42,38,4,255.0,False,
