,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,543,13,True,1,2507.2520269865636,-1514.6099853515625,4450.60009765625,198.2100067138672,22963.9990234375,12459.599609375,1644.2999267578125,-5595.999755859375,1239.1000366210938,-1774.4999694824219,1.0,0.11621238646341012,1.6921506217570152,-1.5645528665219675,bffea5a9afb,PostMandPer.,7.0,-1792.050048828125,4333.64013671875,130.22000122070312,15692.099609375,11637.2998046875,3600.7000732421875,-1753.8999938964844,-1948.8999938964844,948.3000183105469,128.0,255.0,False,0.16961941524948215,2.746771574844265,-0.032784750534502485,True,8,7,False,170.50214181664168,True,,76561198290212131,tranetyk123,9,737.4500122070312,1905.81005859375,17.010000228881836,-1172.0999908447266,1582.4000549316406,2.0999999344348907,-0.0,0.9000000357627869,16.399999856948853,128.0,128.0,,-0.00967708432228575,0.9272058975409072,-5.5058623866760946e-05,True,False,4,240.0,False,4,,enpitsu,76561198039309853,27,-2525.8701171875,4785.08984375,17.049999237060547,18146.400146484375,9705.10009765625,3.0000001192092896,-0.0,0.5999999865889549,-1998.3999633789062,128.0,128.0,False,-0.01680920062003228,2.7232244539620587,-2.1902062384393093e-05,True,False,109.0,False,4,4,,games5425898691,bf81d8692db,24.0,-1109.72998046875,4418.52978515625,19.479999542236328,234.0999984741211,3298.900146484375,2959.2999267578125,-0.3999999910593033,-0.0,1526.0000610351562,128.0,255.0,,-0.009617559926755219,1.709797172375392,-5.002400305857026e-05,True,169.0,False,5,False,4,
1,814,14,False,1,5166.169470233108,10.300000190734863,50.31999969482422,111.69999694824219,3211.300048828125,21701.0009765625,7061.7999267578125,5341.6998291015625,-2451.699981689453,1205.999984741211,1.0,-0.06899237994025789,-0.027953090840599566,-0.1447253700656387,bffea5a9afb,PostMandPer.,7.0,-18.139999389648438,-165.6199951171875,17.049999237060547,8581.599731445312,17487.099609375,2.5999999046325684,-2.0999999344348907,-4.699999988079071,873.1999969482422,255.0,128.0,,-0.01678366423809218,1.976355641669567,-4.6927235578571536e-05,False,False,False,False,0.0,False,,76561198290212131,tranetyk123,8,-71.8499984741211,-1882.97998046875,17.010000228881836,406.3999938964844,13655.400390625,2.0999999344348907,-0.0,2.800000011920929,-500.9000015258789,255.0,128.0,,-0.00957541867036357,1.6365535946226555,8.96384300358144e-05,True,False,False,116.0,False,False,,enpitsu,76561198039309853,27,-55.52000045776367,3531.199951171875,17.049999237060547,-1.4000000059604645,-10444.7998046875,2.7000001072883606,0.5999999865889549,-0.19999999552965164,0.0,255.0,128.0,False,-0.01663995946718763,-1.570651776821384,-1.6521511297130563e-05,True,False,116.0,False,False,False,,games5425898691,bf81d8692db,23.0,80.33999633789062,305.3500061035156,82.33000183105469,-3523.2000732421875,-22541.99951171875,2309.7999572753906,5294.0997314453125,-1485.8999633789062,118.4000015258789,128.0,112.0,,-0.6081073022067529,-1.7115359241327,0.2556559993407604,True,0.0,False,4,False,3,
2,1227,29,False,0,1980.4489316475126,257.8900146484375,3530.429931640625,134.27999877929688,365.60001373291016,33267.19970703125,6161.199951171875,-1767.5999450683594,-3343.9999389648438,4657.5,0.0,-0.7623126284723425,1.1426317683180074,-1.840226507946138,bf81d8692db,games5425898691,24.0,342.6700134277344,3306.4599609375,67.68000030517578,10083.599853515625,20056.300048828125,4943.699951171875,-3428.5000610351562,-604.3000030517578,-4257.900085449219,255.0,165.0,,0.08804574583759162,1.399281438105313,-0.012218997483248516,True,8,7,False,2.0,False,,76561198039309853,enpitsu,27,195.88999938964844,3331.0400390625,54.290000915527344,8886.099853515625,20026.099853515625,6480.5999755859375,-908.3999633789062,-928.8999938964844,3243.9999389648438,255.0,255.0,,0.018908400253578976,0.5949356325656001,-0.021679143517939342,True,False,3,119.0,False,4,,tranetyk123,76561198290212131,9,158.2899932861328,3744.60009765625,21.979999542236328,4791.600036621094,1171.6999816894531,2998.699951171875,-0.09999999776482582,-0.7000000029802322,-1975.5999755859375,255.0,0.0,True,0.009616228882283973,0.23949476014402915,-3.2932911863216685e-05,True,False,12.649066455902592,True,6,4,,PostMandPer.,bffea5a9afb,7.0,81.0999984741211,3197.080078125,17.049999237060547,42.800002098083496,13876.099853515625,3.100000023841858,0.0,0.5999999865889549,-2192.7000427246094,255.0,0.0,,0.01674548648796843,1.5074337903380146,-6.512468336977305e-05,True,,False,4,False,4,
3,1638,44,False,0,5343.454996250524,3255.7900390625,1776.199951171875,158.82000732421875,-17358.699951171875,19225.10009765625,7755.4998779296875,1798.0999755859375,5650.7000732421875,914.0000152587891,0.0,1.0231969668145924,-0.25085708990064165,0.32943119223585476,bf81d8692db,games5425898691,24.0,3442.0400390625,1578.1800537109375,76.88999938964844,-12031.800537109375,19371.800537109375,2960.4998779296875,211.5999984741211,-4222.0001220703125,658.0999755859375,255.0,255.0,,0.04232948377930514,1.6944148274402113,-0.05168651150684862,True,16,15,False,14.0,False,,76561198039309853,enpitsu,27,3637.610107421875,2165.4599609375,17.059999465942383,615.2999877929688,-392.00000762939453,1.1999999731779099,0.5999999865889549,0.29999999329447746,0.0,128.0,128.0,False,0.016750252364028526,2.574345818075782,3.4557731386249166e-05,True,False,8,115.0,False,8,,tranetyk123,76561198290212131,9,628.1599731445312,2083.860107421875,17.010000228881836,-7888.800048828125,15820.999755859375,2.0999999344348907,1.4000000059604645,-2.199999988079071,74.6999979019165,255.0,0.0,,0.00959962529796284,2.074088335939384,-0.00020246177513808146,True,False,149.0,False,6,6,,PostMandPer.,bffea5a9afb,7.0,3406.97998046875,-3093.159912109375,17.020000457763672,-4968.900146484375,-15811.300048828125,5.0,-0.19999999552965164,-1.0999999940395355,60.900001525878906,255.0,128.0,,0.01677013896767344,-1.8683596763984125,-0.00011433103288034293,True,0.0,False,8,4,4,
4,2575,78,True,0,938.8886593545584,-139.42999267578125,4584.02001953125,132.47000122070312,11238.900146484375,24447.2998046875,10643.499755859375,3959.1000366210938,4160.5999755859375,-1735.8999633789062,0.0,-0.4510496403718714,2.1359095510094672,2.585326597268059,bf81d8692db,games5425898691,24.0,-183.30999755859375,4360.47021484375,17.0,-565.9000015258789,18943.900146484375,3.6000001430511475,0.0,0.0,-2024.7999572753906,128.0,0.0,True,0.009595606165248977,1.5485261661270704,-0.0002518224733685458,True,28,26,False,181.0,False,,76561198039309853,enpitsu,27,-301.82000732421875,5071.43994140625,23.209999084472656,12634.69970703125,-459.39998626708984,-2517.100067138672,-2895.8999633789062,3743.599853515625,-1211.9999694824219,0.0,,,-0.060457926836599826,-0.3303010694378948,0.08825114627711428,True,False,18,126.0,False,20,,tranetyk123,76561198290212131,9,-2527.47998046875,4155.52001953125,16.3700008392334,-499.0999984741211,-5279.6002197265625,120.50000190734863,4.4999998807907104,60.10000228881836,-1714.1000366210938,255.0,0.0,,0.008800407546051662,-1.486300440957835,0.004434527035860088,True,6,150.0,False,20,16,,PostMandPer.,bffea5a9afb,7.0,-1228.9599609375,4941.8701171875,113.16000366210938,16439.89990234375,37.5,-16.799999475479126,-406.89998626708984,5483.800048828125,109.20000076293945,255.0,,,1.3689886499665065,0.1714725728870066,0.0992892884967511,True,,False,16,6,9,
5,3684,109,True,1,2706.652253342431,-1624.3399658203125,4153.16015625,140.61000061035156,19053.199462890625,12515.999755859375,2650.7000732421875,-4487.799987792969,-3475.10009765625,1944.7999572753906,1.0,-0.028189967224890762,1.9546153988665473,1.492359356317843,bffea5a9afb,PostMandPer.,7.0,-1893.72998046875,4042.090087890625,73.88999938964844,15820.30029296875,8176.7999267578125,2752.9998779296875,684.1000366210938,1869.1000366210938,-3010.2999877929688,255.0,0.0,,-0.027472697847270976,2.664126495220583,0.00970169525774295,False,10,7,False,31.0,False,,76561198290212131,tranetyk123,9,658.3499755859375,2533.1298828125,17.010000228881836,5299.4000244140625,16918.900146484375,2.3000000417232513,-0.0,-0.29999999329447746,1943.9999389648438,255.0,255.0,,-0.009584258364084289,1.8069014067883118,3.106935640025118e-05,True,4,10,141.0,False,12,,enpitsu,76561198039309853,27,-2430.090087890625,-4309.31982421875,17.049999237060547,1391.0000610351562,10894.89990234375,2.5999999046325684,0.09999999776482582,1.4000000059604645,130.6999969482422,255.0,128.0,False,-0.01671042029103023,1.6824221613580561,-0.00016185171023837142,True,False,112.0,False,8,6,,games5425898691,bf81d8692db,24.0,-1612.449951171875,2054.820068359375,342.1000061035156,4202.39990234375,22590.6005859375,1001.3999938964844,-408.4000015258789,36.30000114440918,-4.699999988079071,255.0,128.0,,0.3067099294606641,1.6575488097303714,-0.08072591550945467,True,96.3749158946417,True,14,False,12,
6,4824,141,False,1,1742.8794942053476,-5.679999828338623,3648.489990234375,95.31999969482422,-3243.3999633789062,19154.69970703125,979.8000335693359,-2677.60009765625,-2393.3999633789062,1278.0999755859375,1.0,0.6285594073284594,0.24893500895868836,1.61116141489264,bffea5a9afb,PostMandPer.,7.0,12.470000267028809,3480.89990234375,47.83000183105469,-1656.6000366210938,16337.5,2943.800048828125,361.1000061035156,184.89999771118164,-149.3000030517578,255.0,128.0,False,-0.007048793799084323,1.4708796208894892,0.0038587312958348412,True,10,4,4,6.011621390619583,True,,76561198290212131,tranetyk123,9,-2303.889892578125,-4607.830078125,16.56999969482422,0.09999999776482582,1.2999999523162842,71.19999885559082,-7.400000095367432,0.3999999910593033,0.0,,,,-0.009107014027837252,1.638137283030312,-1.4033291426244503e-06,True,False,False,85.0,False,False,,enpitsu,76561198039309853,27,3221.110107421875,-1768.6099853515625,17.049999237060547,14243.299560546875,-9830.700073242188,2.5999999046325684,0.3999999910593033,-0.0,0.0,128.0,128.0,False,-0.016825079021041345,-2.5374811641509902,-2.69482263168934e-05,True,False,41.0,False,12,12,,games5425898691,bf81d8692db,24.0,4075.4599609375,2444.77001953125,225.14999389648438,-807.3000335693359,21991.298828125,-6687.8997802734375,92.20000267028809,2247.5999450683594,651.6999816894531,255.0,164.0,,-0.28775495435793286,1.532074045901406,-1.4567892256504207,True,142.25994831772255,True,16,False,16,
7,4838,142,True,1,1145.8456969464291,-196.05999755859375,4793.06005859375,93.80999755859375,-3956.300048828125,23585.400390625,131.40000343322754,-1884.7000122070312,-2313.000030517578,1209.1000366210938,1.0,-0.4437439114266962,-0.377530792875796,2.0263846321397225,bffea5a9afb,PostMandPer.,7.0,-92.0,4530.56982421875,92.01000213623047,-2168.5000610351562,21803.5009765625,-158.29999923706055,-5471.6998291015625,-542.400016784668,126.99999809265137,255.0,128.0,False,-0.06714143617676627,-1.6680354746458799,3.1183932790057978,True,10,5,4,31.0,False,,76561198290212131,tranetyk123,9,-2303.889892578125,-4607.830078125,16.56999969482422,0.09999999776482582,1.2999999523162842,71.19999885559082,-7.400000095367432,0.3999999910593033,0.0,,,,-0.009107014027837252,1.638137283030312,-1.4033291426244503e-06,True,False,False,85.0,False,False,,enpitsu,76561198039309853,27,3957.0,-2284.659912109375,47.869998931884766,9552.899780273438,-8085.2001953125,5180.0,415.40000915527344,-5463.0999755859375,480.60001373291016,128.0,128.0,False,0.42976307614627035,-2.4732883599970332,0.30055674994532916,True,False,41.0,False,12,12,,games5425898691,bf81d8692db,24.0,3757.320068359375,3473.4599609375,15.550000190734863,-11690.699462890625,19805.699462890625,243.70000839233398,-52.30000019073486,-211.10000610351562,457.59998321533203,255.0,132.0,,0.004767562359473949,1.001037089582783,0.023066134057454817,True,98.43046879255643,True,16,False,16,
8,5096,142,False,1,5189.755627792418,-4.690000057220459,29.0,102.37000274658203,-2098.8999938964844,22761.39892578125,6974.69970703125,3925.8999633789062,2574.2001342773438,-3736.300048828125,1.0,0.05403840691376644,0.07233979454002573,-0.07623364871717467,bffea5a9afb,PostMandPer.,7.0,9.9399995803833,-164.08999633789062,17.049999237060547,-10071.199951171875,16769.000244140625,2.7000001072883606,-1.5999999642372131,2.8999999165534973,846.2000274658203,255.0,255.0,,-0.016759901877129026,1.0443080492763706,0.00032097448925848146,True,False,False,False,0.0,False,,76561198290212131,tranetyk123,9,-0.0,-4608.0,16.56999969482422,-0.0,-0.0,71.19999885559082,-7.200000286102295,-0.0,0.0,,,,-0.009117158593144362,1.5707865585755778,4.496007249521595e-08,True,False,False,85.0,False,False,,enpitsu,76561198039309853,27,-0.0,2955.7900390625,17.049999237060547,-0.9000000357627869,-12021.500244140625,2.7000001072883606,-0.09999999776482582,-0.0,0.0,255.0,,,-0.01673151663196589,-1.5706831829864205,-1.0057491673744675e-06,True,False,146.0,False,2,False,,games5425898691,bf81d8692db,24.0,-64.58999633789062,307.3299865722656,78.2300033569336,385.49999237060547,-22878.20068359375,2201.999969482422,5447.7001953125,-749.8000335693359,-95.9000015258789,255.0,128.0,,-0.6843151909392665,-1.4198688829935358,-0.011321818112727791,True,31.0,False,4,False,3,
9,5333,151,True,1,5755.511245103245,3663.590087890625,93.58000183105469,101.5199966430664,-13648.399658203125,20523.60107421875,4221.7999267578125,2861.199951171875,-197.39999771118164,-382.59998321533203,1.0,0.9056664945966995,-2.061293393625187,1.748664246575051,bffea5a9afb,PostMandPer.,7.0,3785.18994140625,-52.560001373291016,16.09000015258789,-8433.300170898438,20347.099609375,6.700000166893005,146.00000381469727,278.700008392334,370.6999969482422,255.0,128.0,False,-0.014190064874830407,1.1372952307755118,0.007046658239229188,False,4,4,False,163.93115712493977,True,,76561198290212131,tranetyk123,9,3115.360107421875,-3827.699951171875,17.030000686645508,1665.7000732421875,11582.60009765625,0.0,-0.0,-0.0,2368.300018310547,255.0,255.0,,-0.009552028324997177,1.651563682223886,-4.173178852570791e-06,True,False,False,89.0,False,False,,enpitsu,76561198039309853,27,2856.2099609375,-2989.7099609375,17.030000686645508,-2424.499969482422,21087.39990234375,0.7999999821186066,-0.0,0.5999999865889549,2.0999999344348907,255.0,128.0,False,-0.01678496459317483,1.4560629569298316,-5.2439633350589934e-05,True,False,186.61536349019698,True,4,False,,games5425898691,bf81d8692db,24.0,3912.27001953125,2419.330078125,30.34000015258789,-5663.4002685546875,-20534.49951171875,-1881.0000610351562,250.10000228881836,2716.4999389648438,-1710.3999328613281,255.0,0.0,,-0.11964050793952788,-1.2299431756933283,0.32385192607550317,True,226.93115712493977,True,6,False,6,
10,7133,207,False,1,3528.6140781823287,-2528.60009765625,4289.56982421875,576.3499755859375,12362.7001953125,5193.599853515625,637.599983215332,1354.2999267578125,1380.7000732421875,1944.7999572753906,1.0,0.35506422697946144,-0.4243904737122066,-2.2024761682683627,bffea5a9afb,PostMandPer.,7.0,-2672.840087890625,4226.81982421875,475.8500061035156,8826.500244140625,3445.4998779296875,-55.70000171661377,4200.7000732421875,291.70000076293945,3483.699951171875,128.0,128.0,False,0.46700367369597295,2.7033878388761914,-0.645426759269745,False,20,14,4,179.45735069756867,True,,76561198290212131,tranetyk123,9,-786.739990234375,1497.3499755859375,17.010000228881836,13372.7001953125,9854.199829101562,0.5999999865889549,-0.5000000074505806,-0.09999999776482582,0.0,255.0,128.0,,-0.00957769388133771,2.5065447894139004,4.140695707994119e-05,True,4,18,203.0,False,22,,enpitsu,76561198039309853,27,-3268.64990234375,4301.81005859375,15.079999923706055,8887.60009765625,-7632.39990234375,309.4000053405762,215.49999237060547,228.89999389648438,2145.500030517578,255.0,255.0,False,0.004666906703429628,-2.4626989818940577,-0.0006920446698363273,True,False,215.0,False,22,22,,games5425898691,bf81d8692db,24.0,-2189.419921875,4041.25,17.010000228881836,12453.399658203125,6515.9002685546875,2.0000000298023224,0.19999999552965164,0.19999999552965164,0.0,255.0,128.0,,-0.009571114858840818,2.6595296857566693,-4.1704739290022605e-05,True,69.0,False,22,4,20,
11,8935,273,True,1,4182.833814381746,-976.1400146484375,1399.52001953125,95.55000305175781,1365.3999328613281,32530.0,2580.1998901367188,705.8000183105469,3561.9000244140625,-4776.400146484375,1.0,0.1922467137907199,2.785543608868435,3.0406321290869385,76561198290212131,tranetyk123,9.0,-923.5700073242188,1161.02001953125,56.08000183105469,-3874.7000122070312,22478.60107421875,2949.2999267578125,-1936.9000244140625,-3821.0000610351562,1660.2000427246094,255.0,255.0,True,-0.05429607874175707,1.5059541796325853,-0.09855983358741988,True,44,39,4,105.93057202011032,True,,bffea5a9afb,PostMandPer.,7,-1926.9000244140625,1936.760009765625,17.059999465942383,21588.9990234375,-3113.0999755859375,-3.4999999403953552,0.7000000029802322,-0.0,-1976.3999938964844,255.0,0.0,,-0.016784430101260524,-2.930628616665966,-5.732361476043128e-05,False,6,34,176.1654883687214,True,44,,enpitsu,76561198039309853,27,-1538.969970703125,1505.739990234375,52.029998779296875,12861.500244140625,8950.10009765625,3477.6998901367188,-290.9000015258789,550.6999969482422,-2342.899932861328,255.0,128.0,,-0.03493596848392522,2.7423393067654507,-0.0012489594951867206,True,False,0.0,False,44,43,,games5425898691,bf81d8692db,24.0,-2326.6201171875,501.1199951171875,17.010000228881836,16971.199951171875,-345.60001373291016,2.3000000417232513,-0.19999999552965164,0.09999999776482582,1984.2999267578125,255.0,255.0,,-0.009578340136973163,3.0919060451507727,1.675094690512513e-05,True,160.0,False,44,6,38,
12,9223,274,False,1,5205.1213791517885,3.190000057220459,12.020000457763672,97.91000366210938,1810.0,22530.30029296875,7269.2999267578125,4770.0,-2432.2000122070312,2707.5,1.0,-0.026372361621017387,-0.027929777824705713,-0.04996369941413463,bffea5a9afb,PostMandPer.,7.0,-24.010000228881836,-202.63999938964844,17.049999237060547,8235.999755859375,17603.299560546875,2.7000001072883606,-2.3000000417232513,-6.1000001430511475,-213.89999389648438,255.0,0.0,,-0.016789793977219004,1.9647187518907538,-0.00030838007997564,False,False,False,False,0.0,False,,76561198290212131,tranetyk123,9,21.889999389648438,-1689.010009765625,16.93000030517578,-1466.300048828125,13603.800048828125,21.600000858306885,1.2999999523162842,0.3999999910593033,0.0,255.0,128.0,,-0.009643528408990062,1.4634041621844573,-2.4153011838023177e-05,True,False,4,116.0,False,4,,enpitsu,76561198039309853,27,9.600000381469727,4196.93017578125,17.049999237060547,-863.7999725341797,-3306.400146484375,2.5,0.29999999329447746,-0.29999999329447746,5.299999713897705,255.0,128.0,False,-0.016545533240289588,-1.312078575342171,-2.885219359704527e-05,True,False,116.0,False,False,False,,games5425898691,bf81d8692db,23.0,61.349998474121094,399.30999755859375,83.91999816894531,-5367.1002197265625,-22183.798828125,2082.4000549316406,5289.0997314453125,-1501.9999694824219,137.70000457763672,128.0,160.0,,-0.8158291941659299,-1.2809801177702353,0.011026611950040836,True,0.0,False,4,False,3,
