,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_ball_cam,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,1336,42.0,False,1,5142.167843480586,3308.530029296875,598.9000244140625,156.57000732421875,-11325.6005859375,19099.7998046875,5278.499755859375,-479.90001678466797,4154.700012207031,657.5,1.0,-0.20645151011551213,0.25338574459921254,1.4803137399795077,2535412886477489,KeirGreenwood7,11.0,3342.169921875,588.6099853515625,24.170000076293945,-13082.099609375,18514.100341796875,2643.5000610351562,-352.40001678466797,-909.3000030517578,-600.4999923706055,254.0,8.0,False,-0.01679818421645387,0.9155023322219774,-0.00466131407592633,False,187.0,False,4,8,11,,2533274970195591,mattg155378,23.0,4006.080078125,556.489990234375,88.0999984741211,-212.5,415.2000045776367,-206.70000076293945,-427.90000915527344,119.0999984741211,386.8000030517578,179.0,128.0,,0.4312686442232491,2.038345142750981,-0.6547969033717234,16,255.0,False,10,8,True,,enpitsu,76561198039309853,27,326.989990234375,2945.6298828125,17.040000915527344,-3331.400146484375,13652.39990234375,3.799999952316284,0.29999999329447746,-1.0999999940395355,597.9000091552734,255.0,128.0,False,-0.01676650629046074,1.2838302320936181,-0.00021402415157877083,True,255.0,False,14,False,14,,games5425898691,bf81d8692db,24.0,1711.9000244140625,-3536.669921875,99.88999938964844,4711.700134277344,17451.800537109375,-147.10000038146973,-5483.4002685546875,386.50001525878906,179.20000076293945,255.0,128.0,,0.6686561117174828,-1.813298682485434,2.9179116795858873,True,17,False,20,106.0,False,
1,2000,66.0,True,1,1009.7618622202546,-99.20999908447266,4969.18994140625,533.1199951171875,24638.9990234375,16034.49951171875,-4761.199951171875,-1124.4999694824219,-864.1000366210938,3991.099853515625,1.0,-0.37810556628897163,-0.22068889018263915,-1.589102331283468,2535412886477489,KeirGreenwood7,11.0,-373.30999755859375,4776.10986328125,503.0400085449219,21737.2998046875,7514.7998046875,118.90000343322754,-3996.4999389648438,1667.1000671386719,-66.90000057220459,255.0,128.0,,-0.15461362424142142,1.9679444150576706,-0.12838671632002924,True,52.343974180119005,True,4,17,22,,2533274970195591,mattg155378,13.0,-2488.330078125,-3032.56005859375,55.93000030517578,20092.900390625,1516.4999389648438,2589.5001220703125,2172.5,1360.8000183105469,2016.9999694824219,254.0,57.0,,-0.03106133813240454,2.7925282683723314,0.10953698924146595,26,255.0,False,19,8,True,,enpitsu,76561198039309853,27,-701.4400024414062,5141.85986328125,148.11000061035156,13495.999755859375,3489.4000244140625,4250.899963378906,2181.0000610351562,1588.0999755859375,2747.0001220703125,255.0,128.0,,0.4202401775157249,2.9469594086671447,1.8037974451385925,True,43.561857979784726,True,24,False,25,,games5425898691,bf81d8692db,24.0,-306.42999267578125,4621.8798828125,728.4400024414062,14380.6005859375,850.5000305175781,2035.8000183105469,-1197.7999877929688,1610.3999328613281,3440.0,255.0,255.0,,-0.1113288059993933,2.30907168281986,-0.4888377938048121,True,26,False,32,106.19741932807426,True,
2,2704,83.0,False,0,2179.66264582609,-2791.340087890625,4063.610107421875,155.89999389648438,17680.10009765625,8808.900146484375,-5368.800048828125,-2298.300018310547,537.400016784668,-5516.199951171875,0.0,0.6340538932365536,1.1085577828220348,2.3623897675017127,bf81d8692db,games5425898691,24.0,-2935.639892578125,3917.050048828125,155.24000549316406,-2126.300048828125,19882.2998046875,1608.0999755859375,-639.5000076293945,479.1999816894531,-1028.7000274658203,255.0,0.0,,-0.3853461768151829,1.4761905586968758,0.06524984550204503,True,50.146752642047026,True,False,6,10,,76561198039309853,enpitsu,27.0,879.5499877929688,186.3800048828125,77.31999969482422,-16098.800048828125,7230.4998779296875,-1723.3999633789062,-1990.2999877929688,-482.79998779296875,-823.3000183105469,255.0,0.0,,-0.21935513370522436,2.6090420327293455,-0.6668183658586955,6,255.0,False,6,False,True,,mattg155378,2533274970195591,11,-2355.02001953125,4182.919921875,19.479999542236328,-8362.100219726562,-7325.4998779296875,2959.2001342773438,0.29999999329447746,0.09999999776482582,-2382.2000122070312,254.0,0.0,,0.009533206891744696,-2.4796810791415087,2.9751744640035986e-05,True,162.0,False,9,False,8,,KeirGreenwood7,2535412886477489,11.0,-2657.139892578125,5097.830078125,341.19000244140625,8714.89990234375,808.8999938964844,-8792.7001953125,80.39999961853027,-2146.199951171875,-774.0000152587891,246.0,255.0,False,0.7236750655188607,0.10444495158731036,1.5793079219336106,True,6,False,6,211.0,False,
3,4176,136.0,True,0,1712.6474093296633,803.239990234375,4926.1201171875,268.75,-21711.59912109375,9214.000244140625,1005.0,1980.2999877929688,914.7000122070312,992.6000213623047,0.0,0.3043416315069867,-0.8693943896253395,1.9811079949543164,76561198039309853,enpitsu,27.0,944.0900268554688,4824.0400390625,230.49000549316406,-13754.7998046875,6286.7999267578125,-3072.9000854492188,3764.5999145507812,2334.2999267578125,3055.0,255.0,128.0,False,-0.4629725323778473,-2.9646389521360814,0.0453064597054667,True,75.0,False,False,22,26,,bf81d8692db,games5425898691,24.0,348.70001220703125,-2288.989990234375,16.989999771118164,-6087.1002197265625,21381.69921875,4.600000083446503,0.09999999776482582,-0.5999999865889549,-0.7999999821186066,255.0,128.0,,0.009597629024800472,1.8480289631502194,6.022577325435671e-05,28,197.0,False,22,False,True,,mattg155378,2533274970195591,10,1644.6300048828125,4855.16015625,17.010000228881836,-20061.700439453125,6763.699951171875,2.3000000417232513,-1.1999999731779099,0.3999999910593033,-1893.9999389648438,219.0,0.0,,0.009605026168556923,2.7530904968939454,-0.00011368809525949276,True,130.0,False,26,False,26,,KeirGreenwood7,2535412886477489,11.0,572.25,4767.830078125,20.5,-5936.400146484375,-2660.4998779296875,-1372.1000671386719,4722.9998779296875,2782.0999145507812,-450.2000045776367,149.0,97.0,,-0.25178787166855693,-0.855384695559369,-0.029845574735222737,True,20,6,26,210.0,False,
4,5374,170.0,False,1,6013.844693742481,-1840.9200439453125,-214.9600067138672,104.75,12820.699462890625,27643.00048828125,2483.000030517578,-4478.500061035156,-3565.1998901367188,1797.4000549316406,1.0,0.8573509617473402,2.014164167795421,2.9038959142728444,2533274970195591,mattg155378,10.0,-1967.1099853515625,-421.1099853515625,21.979999542236328,8869.400024414062,18531.600341796875,2999.5001220703125,0.09999999776482582,0.7999999821186066,-1917.4000549316406,254.0,33.0,,-0.00956971539823576,2.0825766745271364,-0.00010627548727181745,True,174.0,False,4,16,19,,2535412886477489,KeirGreenwood7,11.0,-4055.22998046875,-17.15999984741211,158.1199951171875,-196.90000534057617,5200.999755859375,487.40001678466797,-1574.1999816894531,192.09999084472656,-548.3000183105469,254.0,38.0,,0.19595709112609425,1.475341092044015,1.1396615783320623,14,255.0,False,12,4,True,,enpitsu,76561198039309853,27,-176.13999938964844,4640.580078125,17.049999237060547,-16060.2001953125,1440.3999328613281,3.799999952316284,1.0999999940395355,-0.0,2926.0000610351562,255.0,255.0,,-0.01683661444359484,-0.08812480264958714,0.0001429343178118028,True,255.0,False,12,False,12,,games5425898691,bf81d8692db,24.0,1042.4599609375,-4329.43017578125,17.0,18231.500244140625,3880.7998657226562,2.3000000417232513,0.5999999865889549,-0.29999999329447746,104.89999771118164,255.0,128.0,,-0.009634637251189009,2.9194230615011767,-9.239401487858809e-05,,10,False,10,0.0,False,
5,5598,178.0,True,0,4254.86750319627,-2108.72998046875,1061.6199951171875,232.1699981689453,11487.099609375,26078.20068359375,2944.2999267578125,4383.2000732421875,678.8999938964844,-4040.4998779296875,0.0,0.5978587994177771,2.948343955204227,1.415777385018649,bf81d8692db,games5425898691,24.0,-2166.85009765625,908.1900024414062,178.63999938964844,-4773.599853515625,18874.7998046875,623.6000061035156,4554.800109863281,-673.4999847412109,-3008.2000732421875,255.0,0.0,,-0.2909841444079464,1.8411831865330583,0.08325926152439042,True,99.01807311273392,True,False,13,14,,76561198039309853,enpitsu,27.0,69.76000213623047,2597.280029296875,17.049999237060547,1341.1000061035156,-14037.5,2.5,0.0,0.7999999821186066,0.0,255.0,128.0,,0.016777839699294913,-1.4755592108809745,6.628032381505895e-05,14,162.0,False,14,False,True,,mattg155378,2533274970195591,11,-1007.72998046875,3424.239990234375,17.010000228881836,-6857.5,-12006.099853515625,2.8999999165534973,-0.29999999329447746,0.0,-3346.7999267578125,149.0,0.0,False,0.009597828598637777,-2.4378515621339565,-7.948796017248238e-05,True,252.0,False,24,4,20,28.0,KeirGreenwood7,2535412886477489,11.0,-2318.14990234375,1548.239990234375,209.58999633789062,4938.699951171875,-22308.40087890625,2634.2001342773438,892.5,5273.900146484375,-1280.2000427246094,193.0,249.0,,0.22852505067000986,-0.831522391355377,-0.5349696646298995,True,15,4,20,41.868395677176856,True,
6,6292,195.0,True,1,2172.614168764681,-951.4500122070312,3996.679931640625,182.67999267578125,18368.399658203125,20279.599609375,5254.2999267578125,2948.5000610351562,-2900.5999755859375,1125.5999755859375,1.0,0.6428196721894256,-2.178786484172472,2.2799258924229204,2535412886477489,KeirGreenwood7,11.0,-1095.780029296875,3837.47998046875,84.33999633789062,15723.900146484375,16737.80029296875,261.00000381469727,-3672.9000854492188,4092.6998901367188,94.49999809265137,254.0,235.0,,-1.2104938318718304,2.412851183136218,-0.03467817735678799,,105.0,False,False,11,12,,2533274970195591,mattg155378,10.0,45.52000045776367,2385.429931640625,17.010000228881836,9757.2998046875,20601.99951171875,2.0999999344348907,-0.19999999552965164,-0.3999999910593033,1.0999999940395355,223.0,128.0,,-0.00959613103571321,2.012955253132017,4.0588699199440566e-05,10,220.0,False,10,False,True,,enpitsu,76561198039309853,27,-3574.6298828125,2632.02001953125,81.9800033569336,4647.799987792969,22203.798828125,-1398.9999389648438,-1957.7999877929688,854.8000335693359,2310.500030517578,,,,0.2615281380957445,2.276151071315949,0.8633865773586918,True,46.0,False,8,False,8,,games5425898691,bf81d8692db,24.0,-3437.4599609375,1188.6800537109375,94.55000305175781,9949.89990234375,20197.39990234375,2545.5999755859375,-4933.299865722656,2431.300048828125,22.200000286102295,255.0,,,-0.7304254355751316,2.0248121365142624,0.005606732979731791,True,7,False,8,,False,
7,6658,199.0,True,0,5685.855142991244,788.8200073242188,-290.5,103.05000305175781,-4119.700012207031,27074.49951171875,7421.500244140625,2772.60009765625,4696.199951171875,-2501.4999389648438,0.0,0.9053915954838475,-0.20701625973610982,-0.5479420615206674,bf81d8692db,games5425898691,24.0,844.4600219726562,-516.1300048828125,17.010000228881836,-10097.60009765625,19641.300048828125,2.3000000417232513,-1.0000000149011612,1.7000000178813934,-1721.6999816894531,128.0,45.0,,0.00963186510942286,1.9770190720909824,-5.716634493489494e-05,True,99.0,False,False,False,False,,76561198039309853,enpitsu,27.0,652.3599853515625,-637.22998046875,17.049999237060547,6473.4002685546875,4243.699951171875,3.4999999403953552,1.5000000596046448,1.0000000149011612,1928.9999389648438,255.0,128.0,,0.016651432593750227,0.566337833412472,0.00014259078662314867,2,0.0,False,False,False,True,,mattg155378,2533274970195591,10,1668.02001953125,-1290.1099853515625,17.0,7205.8001708984375,9697.000122070312,3.3000001311302185,0.0,-0.3999999910593033,538.6000061035156,253.0,128.0,,0.009567347292761973,0.9831896108275819,-0.0002562986679471013,True,0.0,False,4,False,4,,KeirGreenwood7,2535412886477489,10.0,212.85000610351562,-358.1199951171875,17.0,6019.6002197265625,-430.60001373291016,1.0999999940395355,-0.29999999329447746,0.5000000074505806,2203.699951171875,255.0,255.0,,0.009475471052506845,-0.10430281204969169,0.00010503310397579807,True,4,False,4,28.301737687921026,True,
8,6972,201.0,False,0,5092.042602282402,-18.420000076293945,124.1500015258789,106.19000244140625,-3173.5000610351562,22966.39892578125,2463.8999938964844,5536.6998291015625,1430.5000305175781,1816.1000061035156,0.0,0.06759417830954292,0.1256528927191455,0.3480082446409092,bf81d8692db,games5425898691,24.0,-23.760000228881836,-76.37000274658203,88.06999969482422,-4578.399963378906,20493.798828125,60.10000228881836,-5162.39990234375,-1560.0,-1079.5999908447266,128.0,214.0,,1.0566252267768863,0.6661038904684363,-1.1359269124358295,True,0.0,False,False,3,4,,76561198039309853,enpitsu,27.0,0.0,-2472.409912109375,17.049999237060547,0.0,12608.900146484375,2.5999999046325684,0.7000000029802322,0.0,0.0,255.0,,,0.016792554048664296,1.5707752440494527,-2.3623645329238e-07,False,146.0,False,False,False,True,,mattg155378,2533274970195591,10,-2934.0400390625,4029.820068359375,16.84000015258789,-17280.699462890625,3138.5000610351562,40.19999980926514,-0.9000000357627869,15.90000033378601,-2289.7000122070312,255.0,0.0,True,0.010476512309524785,2.87690671751181,-0.0002462977183170995,True,255.0,False,4,False,4,,KeirGreenwood7,2535412886477489,10.0,123.37999725341797,-110.8499984741211,72.38999938964844,-8140.30029296875,-11983.199462890625,2537.2000122070312,-2896.6000366210938,-4675.199890136719,36.600000858306885,255.0,1.0,,-0.021055653124079327,-2.1339195258443255,0.6127593338396465,True,5,False,6,0.0,False,
9,7026,203.0,False,0,1007.4842072418791,-573.6400146484375,4185.47998046875,93.29000091552734,-2430.5999755859375,18200.30029296875,84.39999580383301,-4105.10009765625,-116.70000076293945,1816.1000061035156,0.0,1.1575378144397779,1.7070766041253225,-0.5075355079509033,bf81d8692db,games5425898691,24.0,-418.489990234375,3968.2099609375,89.76000213623047,1343.699951171875,22548.701171875,-141.09999656677246,-5286.7999267578125,1497.4000549316406,-237.60000228881836,255.0,134.0,,-1.170994423627978,-2.6586154819882015,-2.3593887526614394,True,0.0,False,False,5,6,,76561198039309853,enpitsu,27.0,174.77000427246094,127.69999694824219,17.049999237060547,5208.3001708984375,13103.199462890625,2.5999999046325684,-0.29999999329447746,-0.5999999865889549,-13.700000047683716,255.0,128.0,,0.01677158764790298,1.1906847322101037,6.774031277797668e-05,False,177.0,False,False,False,True,,mattg155378,2533274970195591,10,-1355.5699462890625,4675.259765625,16.979999542236328,22481.10107421875,-4857.5,3.4999999403953552,0.7000000029802322,0.5999999865889549,43.89999866485596,255.0,128.0,False,0.009556552696142827,-0.2083114988746625,-6.059668667094388e-05,True,132.88294175619717,True,4,False,4,,KeirGreenwood7,2535412886477489,10.0,-1849.8299560546875,-1778.949951171875,17.010000228881836,-14145.400390625,-1272.6000213623047,2.199999988079071,1.5999999642372131,0.0,-1499.1000366210938,255.0,13.0,,0.00956998058908849,-3.062683837676968,-0.00021072070154544068,True,6,False,6,0.0,False,
