,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,549,14.0,False,1,1898.5005254574749,-773.489990234375,4236.06005859375,132.2100067138672,20016.600341796875,15481.099853515625,-9164.299926757812,-5546.099853515625,2043.0000305175781,-1032.0999908447266,1.0,0.5158735120806848,0.7807907910956358,-0.5646632600031962,76561198039309853,enpitsu,27.0,-980.1400146484375,4020.449951171875,217.6999969482422,14465.50048828125,15023.00048828125,935.1000213623047,444.70001220703125,5466.300048828125,-413.49998474121094,255.0,0.0,,-0.4444982493540311,2.312138297775757,0.4966144960086306,True,204.0,False,6,False,3,,bf81d8692db,games5425898691,19.0,-1070.1700439453125,3966.889892578125,17.010000228881836,16833.1005859375,-5424.6002197265625,-0.19999999552965164,-0.29999999329447746,-0.0,31.099998950958252,255.0,142.0,,-0.009600802280984424,-2.829228719896631,3.37610110755576e-05,True,83.5134709701743,True,8,False,8,,banal AnAle,b65a7b5751b,6,-3401.8798828125,2687.93994140625,17.010000228881836,4217.60009765625,12875.6005859375,2.5,-0.7999999821186066,-0.0,2237.2999572753906,255.0,242.0,False,-0.009520860577961183,1.8196310167161156,1.6439420266867205e-05,True,6,4,False,114.0,False,,LOWELOABUSER,b5c2f8f3f9b,5.0,213.8000030517578,4610.2001953125,77.20999908447266,-21704.599609375,-6627.7001953125,3738.900146484375,-594.900016784668,-143.100004196167,-1443.0999755859375,255.0,25.0,True,-0.011704189385463222,-0.033794756492232035,0.00632187368763327,True,8,12,4,204.81805579636685,True,
1,2303,77.0,True,0,1022.9004689971866,-1049.8800048828125,4128.740234375,132.3699951171875,17288.499755859375,22276.69921875,6331.6998291015625,-3360.7000732421875,-4795.4998779296875,1306.9000244140625,0.0,-0.4158176255985727,-0.47562678784746637,-1.7784939784482092,b5c2f8f3f9b,LOWELOABUSER,5.0,-1197.3699951171875,4038.06005859375,17.010000228881836,17964.69970703125,14361.99951171875,0.0,-0.29999999329447746,0.0,-1977.5999450683594,255.0,0.0,,0.009577562448985767,0.595885672078782,3.47343216945334e-05,True,97.71075254358271,True,32,6,26,,b65a7b5751b,banal AnAle,6.0,-3652.090087890625,398.7200012207031,17.010000228881836,2858.599853515625,13327.900390625,2.7000001072883606,0.5000000074505806,0.5000000074505806,-2896.199951171875,255.0,0.0,False,0.009604644993905852,1.188489787585945,-1.391804941993189e-06,True,255.0,False,8,False,6,,enpitsu,76561198039309853,27,224.9499969482422,1441.949951171875,101.12000274658203,4789.89990234375,20517.900390625,-154.7000026702881,-3462.2000122070312,4191.300048828125,-834.0000152587891,128.0,128.0,,-0.5729479006137823,2.3589419537008753,-1.715721002410829,True,20,18,False,31.0,False,,games5425898691,bf81d8692db,19.0,859.530029296875,3413.989990234375,16.989999771118164,-3980.5999755859375,22611.39892578125,4.4999998807907104,0.0,0.0,16.399999856948853,255.0,128.0,,0.009599119901848436,1.747106396962622,-2.4735156447383124e-05,True,22,28,False,31.0,False,
2,2734,84.0,False,0,2042.3537645713932,-94.66000366210938,3261.419921875,93.6500015258789,2066.7999267578125,10215.399780273438,2082.5,-5829.6002197265625,1174.4000244140625,-797.0999908447266,0.0,-0.1160987717071122,-1.8468097685102332,1.1964970951242067,b5c2f8f3f9b,LOWELOABUSER,5.0,-333.9700012207031,3149.530029296875,17.010000228881836,1725.2999877929688,13612.39990234375,2.3000000417232513,-2.199999988079071,-2.800000011920929,1874.6000671386719,91.0,255.0,,0.009598021364267377,1.4769911377711018,0.00026745507430392645,,19.0,False,6,False,False,,b65a7b5751b,banal AnAle,6.0,1344.4599609375,3432.56005859375,17.010000228881836,-14560.30029296875,-5684.6002197265625,2.3000000417232513,0.09999999776482582,0.0,2038.2000732421875,255.0,255.0,,0.009585303353987103,-2.70067201036166,3.062935817496818e-05,True,184.0,False,4,False,4,,enpitsu,76561198039309853,27,-2815.969970703125,2145.070068359375,17.049999237060547,8592.999877929688,21080.10009765625,2.7000001072883606,0.0,0.29999999329447746,0.0,255.0,0.0,,0.01677789143643872,1.183720027684008,-3.852450534954316e-05,True,2,2,False,255.0,False,,games5425898691,bf81d8692db,19.0,65.56999969482422,3877.06005859375,66.5,-2769.2999267578125,-22255.70068359375,3331.7999267578125,2867.6998901367188,-246.70000076293945,1107.9000091552734,255.0,105.0,,0.08081647479768846,-1.4936951110650647,0.005953684608938194,True,3,4,False,196.0,False,
3,3631,117.0,True,0,3384.769037541848,1067.739990234375,2383.1201171875,676.9000244140625,-4782.9998779296875,19495.699462890625,-1312.2999572753906,1813.800048828125,380.6999969482422,1320.5999755859375,0.0,0.23046488184486003,-0.7375060514148255,-1.9318602764788573,b5c2f8f3f9b,LOWELOABUSER,5.0,1166.969970703125,2327.429931640625,527.8200073242188,-408.69998931884766,19657.2998046875,-1449.1000366210938,618.4000015258789,-3910.7998657226562,-2697.2000122070312,128.0,255.0,False,-0.3734619908707494,1.9362865621295824,0.17031411480506686,True,0.0,False,8,4,False,,b65a7b5751b,banal AnAle,6.0,3625.5400390625,-884.239990234375,17.010000228881836,-10892.2998046875,-5952.8997802734375,8.600000143051147,-16.799999475479126,-16.90000057220459,-2330.5999755859375,255.0,0.0,False,0.009195524355175778,-2.706337736616765,-0.0012319645461653038,True,164.0,False,12,4,14,,enpitsu,76561198039309853,27,1914.75,-171.3000030517578,16.079999923706055,2223.0999755859375,22729.49951171875,133.1999969482422,103.4000015258789,-20.69999933242798,185.10000228881836,255.0,128.0,False,0.023875908080766596,1.4872135233016628,0.000666282781751944,True,12,12,False,50.0,False,,games5425898691,bf81d8692db,20.0,489.8900146484375,957.6300048828125,17.010000228881836,-3109.2001342773438,21993.5009765625,2.800000011920929,1.4000000059604645,1.0999999940395355,319.0999984741211,255.0,128.0,,0.009681247219227173,1.7430904811506092,-0.00019772715814097782,True,16,18,False,24.0,False,
4,4436,137.0,False,0,1503.0296783087692,562.25,4775.85009765625,92.58000183105469,-3066.400146484375,3133.3999633789062,1264.3000030517578,-3433.900146484375,-3360.4998779296875,-2454.2999267578125,0.0,0.3427520120448199,2.6303608508201988,-2.9743162290917295,b65a7b5751b,banal AnAle,6.0,427.4599914550781,4690.85009765625,16.989999771118164,-4101.300048828125,12433.900146484375,4.799999892711639,-0.9000000357627869,0.7000000029802322,-2164.7000122070312,128.0,0.0,,0.009595153507925579,1.8302155956123083,-6.407328624022522e-05,True,105.0,False,6,False,6,,b5c2f8f3f9b,LOWELOABUSER,5.0,545.530029296875,-1835.260009765625,17.010000228881836,-7676.7999267578125,10995.0,2.0999999344348907,0.09999999776482582,-0.5999999865889549,30.999999046325684,196.0,128.0,,0.009558597655329374,2.181816073504891,5.467549429054005e-05,True,116.0,False,False,False,False,,enpitsu,76561198039309853,27,1990.8599853515625,4501.7998046875,17.049999237060547,-9147.80029296875,1943.0000305175781,3.400000035762787,0.7999999821186066,-0.29999999329447746,-1732.5,255.0,0.0,,0.016659898218991175,2.9486842621798384,-0.00029485321737379705,True,10,8,False,222.0,False,,games5425898691,bf81d8692db,19.0,208.4499969482422,4786.43017578125,17.010000228881836,-3411.0000610351562,-1216.8000030517578,2.0999999344348907,-0.19999999552965164,-0.19999999552965164,271.5999984741211,0.0,128.0,,0.009948942244989737,-2.7538724518373723,-0.000185414270015098,True,10,10,False,51.0,False,
5,4461,138.0,False,0,1545.6292133137358,646.25,5037.85009765625,95.68000030517578,665.1000213623047,2494.7999572753906,1383.9999389648438,-2735.5999755859375,729.3000030517578,-5071.099853515625,0.0,0.2389321627570592,-2.575810618233132,2.85185758470567,b65a7b5751b,banal AnAle,6.0,420.6000061035156,5007.43994140625,16.979999542236328,185.49999237060547,1035.1000213623047,5.699999928474426,2.800000011920929,0.3999999910593033,20.09999990463257,128.0,128.0,,0.009816756544395195,1.4024379361578159,-7.798410591312859e-05,True,105.0,False,6,False,6,,b5c2f8f3f9b,LOWELOABUSER,5.0,-116.5999984741211,-892.3599853515625,17.010000228881836,-8099.7998046875,11528.199462890625,2.0999999344348907,0.0,-0.7000000029802322,0.0,197.0,128.0,,0.009568130637490622,2.1832631936324023,5.661708992512402e-05,True,146.0,False,False,False,False,,enpitsu,76561198039309853,27,1274.550048828125,4978.1201171875,20.920000076293945,-9241.699829101562,769.7000122070312,21.400001049041748,348.69998931884766,-636.1999893188477,2146.6000366210938,128.0,255.0,,0.01986189130706876,3.085280023975819,-0.13014562265881877,True,10,8,False,222.0,False,,games5425898691,bf81d8692db,19.0,516.219970703125,4898.740234375,17.0,6574.000244140625,2211.7999267578125,2.3999999463558197,-3.8999998569488525,2.0999999344348907,-29.500000476837158,0.0,128.0,,0.00978315890587503,-2.8206715980500303,0.0002991459981355607,True,10,10,False,51.0,False,
6,4473,138.0,True,0,1572.5406727412153,676.5,5151.31005859375,93.48999786376953,657.3000335693359,2467.5,837.2000122070312,-2704.89990234375,720.5000305175781,-5071.099853515625,0.0,0.5215467028089553,1.5302236741560689,-2.401451684731934,b65a7b5751b,banal AnAle,6.0,422.260009765625,5016.97021484375,16.979999542236328,-9.399999976158142,-57.10000038146973,5.699999928474426,-0.9000000357627869,0.19999999552965164,0.09999999776482582,128.0,128.0,,0.009700250989413094,1.4032851785945812,-2.7914333625978407e-06,True,105.0,False,6,False,6,,b5c2f8f3f9b,LOWELOABUSER,5.0,-514.8499755859375,-325.3699951171875,17.010000228881836,-8105.30029296875,11536.300048828125,2.0999999344348907,0.0,-0.7000000029802322,0.0,197.0,128.0,,0.009568130637490622,2.1832631936324023,5.661708992512402e-05,True,146.0,False,False,False,False,,enpitsu,76561198039309853,27,934.9199829101562,4896.740234375,17.049999237060547,-9040.2001953125,-2141.0000610351562,5.799999833106995,4.099999964237213,-3.6000001430511475,-2214.199981689453,255.0,0.0,,0.016425079737475118,-2.9153886049070468,9.021176680908809e-05,True,10,8,False,222.0,False,,games5425898691,bf81d8692db,19.0,824.010009765625,5000.8798828125,17.0,7168.800048828125,2374.600067138672,3.1999999284744263,0.0,0.3999999910593033,0.0,128.0,128.0,,0.009576120237831524,-2.8216896082238137,2.029723503630285e-05,True,10,10,False,51.0,False,
7,6332,187.0,True,0,2862.56791658353,729.8300170898438,2783.949951171875,389.9700012207031,-11150.6005859375,28527.7001953125,2128.300018310547,2110.0999450683594,-2486.3999938964844,5036.300048828125,0.0,-0.9453784346706691,-2.722701223181857,2.1882386645444916,b65a7b5751b,banal AnAle,6.0,762.3599853515625,2557.090087890625,291.739990234375,-1200.6999969482422,18943.599853515625,3498.5000610351562,-3723.2000732421875,-676.1000061035156,-131.40000343322754,255.0,128.0,,-0.7413972933282996,1.7819085689799563,-0.07393141397842218,True,124.05601706812462,True,8,False,7,,b5c2f8f3f9b,LOWELOABUSER,5.0,2377.389892578125,4350.06982421875,17.010000228881836,-2751.7999267578125,-1524.1999816894531,2.3000000417232513,0.0,1.0000000149011612,-31.400001049041748,193.0,128.0,False,0.00957901731836045,-2.6503129565269874,5.9979670457895124e-05,True,187.0,False,8,False,12,,enpitsu,76561198039309853,27,853.6900024414062,3049.820068359375,172.5800018310547,-12023.900146484375,-14470.30029296875,2708.800048828125,0.0,-0.5000000074505806,244.89999771118164,255.0,255.0,,0.017110074705008478,-2.1016527551776094,-0.0022081659607039133,True,8,7,False,197.0,False,,games5425898691,bf81d8692db,19.0,188.4600067138672,2565.1201171875,314.30999755859375,-9562.7001953125,-12699.000244140625,-8912.7001953125,4307.5,-3085.4000854492188,-1474.6000671386719,255.0,239.0,,0.29681442862093566,1.0341385475068237,0.5297922254106361,True,8,8,False,149.0,False,
8,6605,188.0,False,0,5052.36274374086,21.75,171.69000244140625,104.63999938964844,3054.1000366210938,26995.400390625,1753.3999633789062,-357.90000915527344,-194.89999771118164,5986.099853515625,0.0,-0.008068412349485162,0.4204034103375033,-0.027212834970111618,b5c2f8f3f9b,LOWELOABUSER,5.0,11.390000343322754,-146.8300018310547,60.33000183105469,13612.60009765625,15369.100341796875,1951.3999938964844,2958.9999389648438,3932.3001098632812,2455.7000732421875,255.0,59.0,True,-0.0035866612181620823,1.120558741655583,0.24682322259701076,True,0.0,False,6,False,5,,b65a7b5751b,banal AnAle,6.0,-2078.25,-4036.989990234375,17.010000228881836,-17971.99951171875,-2396.699981689453,1.899999976158142,-0.19999999552965164,0.0,0.0,255.0,128.0,,0.009608774906182432,-3.0089919645910173,-1.6210190930385592e-05,True,0.0,False,False,False,False,,enpitsu,76561198039309853,27,0.0,2361.330078125,17.040000915527344,-0.9000000357627869,-12522.80029296875,8.399999737739563,-6.499999761581421,0.0,0.0,128.0,,,0.017196986349445886,-1.57090541044474,6.6920011844843645e-06,True,2,2,False,112.0,False,,games5425898691,bf81d8692db,19.0,132.57000732421875,752.3800048828125,21.979999542236328,-4255.199890136719,-17909.599609375,2999.1000366210938,1.5999999642372131,4.000000059604645,13.09999942779541,128.0,97.0,,0.00963072898713095,-1.7785273874273813,-0.00018314321506963526,True,False,3,False,0.0,False,
9,7401,217.0,True,1,2575.0493003637644,1533.81005859375,2645.18994140625,97.43000030517578,-8664.69970703125,18090.400390625,2972.0999145507812,1794.2999267578125,-3500.2999877929688,4530.799865722656,1.0,-0.5789530608691825,-1.4688450526599492,-0.4509788518804762,76561198039309853,enpitsu,27.0,1581.3800048828125,2412.530029296875,51.189998626708984,4577.099914550781,13149.3994140625,3119.1000366210938,-590.2000045776367,190.0,2076.999969482422,255.0,255.0,False,-0.03466419593920456,1.7801987452677988,0.0026561033487126793,True,183.0,False,12,2,7,,bf81d8692db,games5425898691,19.0,3983.219970703125,4007.389892578125,295.6199951171875,7796.199951171875,-15135.999755859375,7787.1002197265625,2226.4999389648438,-161.70000076293945,-2138.000030517578,255.0,0.0,,0.39040539023331106,-2.034653718806465,1.5977153493667002,True,255.0,False,12,False,12,,banal AnAle,b65a7b5751b,6,2488.719970703125,3736.97998046875,16.459999084472656,4395.0,212.90000915527344,-686.2999725341797,2751.7999267578125,518.3000183105469,634.0000152587891,128.0,128.0,,-0.009691793617649208,-0.10016316665074138,0.022724937636307542,True,10,8,4,222.0,False,,LOWELOABUSER,b5c2f8f3f9b,5.0,-2302.530029296875,4592.25,17.010000228881836,71.5999984741211,-798.4999847412109,3.799999952316284,0.5000000074505806,-0.0,0.19999999552965164,147.0,,,-0.009523479415259575,-1.66068909272713,6.549171046988848e-07,True,False,False,False,85.0,False,
