,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,team_mate_handbrake
0,562,14,False,0,4406.5583553912875,-2821.1298828125,1176.2099609375,102.16999816894531,11392.900390625,19056.500244140625,8181.5997314453125,3275.7000732421875,-1317.5,-4851.000061035156,0.0,-0.02509927730761118,-1.5233304865477473,-2.4799614049263443,76561198039309853,enpitsu,28.0,-2910.949951171875,984.6699829101562,24.549999237060547,-679.3000030517578,17880.699462890625,3039.5999145507812,0.09999999776482582,-4.600000083446503,-239.40000534057617,255.0,0.0,,0.016772864385849302,1.6121730075104412,1.8854756341802833e-05,True,6,False,5,167.0,False,,bf81d8692db,games5425898691,24.0,2520.760009765625,1858.8699951171875,40.02000045776367,-6722.39990234375,-17369.100341796875,-2676.400146484375,1491.1000061035156,-587.599983215332,154.399995803833,255.0,,-0.19549975944639988,-2.0509930262955938,0.11532987306985634,True,93.0,False,8,False,8,,S1lva,76561198311210071,12.0,-1214.27001953125,3800.780029296875,17.010000228881836,-3963.800048828125,10287.39990234375,2.0999999344348907,0.19999999552965164,-0.9000000357627869,-75.39999961853027,128.0,128.0,,0.00964450910651185,1.9274944231646967,0.00012606548916373615,True,8,False,8,255.0,False,,brunozzzZ_,51c1771d3b234feab856731bf9ed6d83,15.0,3082.8798828125,-908.27001953125,17.020000457763672,11265.2001953125,-3046.7999267578125,1.4000000059604645,-0.29999999329447746,0.0,2626.7999267578125,255.0,255.0,False,0.009560356415347304,-0.15995073542819804,-3.559191049507656e-05,True,6,4,False,217.0,False,,
1,971,29,False,1,4416.18054997432,2970.72998046875,1241.52001953125,136.2899932861328,-13096.99951171875,20007.5,3453.800048828125,-1027.3999786376953,5131.9000244140625,-2933.800048828125,1.0,1.3123134648127834,-0.10041673841027599,-0.25040526276641367,76561198311210071,S1lva,12.0,3125.199951171875,1079.0999755859375,16.989999771118164,-12390.799560546875,15367.39990234375,4.699999988079071,-0.0,-0.09999999776482582,1984.7000122070312,255.0,255.0,,-0.009570256231726696,0.8191516202561326,3.3421865032905427e-06,True,12,4,8,132.88342373858217,True,,51c1771d3b234feab856731bf9ed6d83,brunozzzZ_,15.0,1923.75,-1864.1300048828125,67.1500015258789,-5885.10009765625,19890.10009765625,-1571.199951171875,-2585.8999633789062,-845.8999633789062,2.3999999463558197,255.0,128.0,0.6573654530225744,1.2553792958702532,0.0014213782822143255,True,26.0,False,4,False,4,,enpitsu,76561198039309853,28.0,3685.93994140625,-1313.47998046875,17.049999237060547,1473.6000061035156,22951.10107421875,2.5,-0.0,0.5000000074505806,0.0,255.0,128.0,False,-0.016792254746160144,1.6349127997230803,-4.2344099243935206e-05,True,8,False,8,162.0,False,,games5425898691,bf81d8692db,24.0,3158.1201171875,4234.830078125,17.0,-8615.999755859375,18964.200439453125,3.3000001311302185,-0.7999999821186066,2.5,374.70001220703125,255.0,196.0,,-0.009600159172186198,1.1414074284467144,-1.4984668324223604e-05,True,10,8,False,255.0,False,,
2,2714,83,False,0,5151.196959967069,-2.759999990463257,66.83999633789062,97.44999694824219,-632.5,27970.6005859375,1603.8999938964844,5636.7999267578125,286.70000076293945,2035.7000732421875,0.0,0.0035389495943438467,0.05472694401729949,0.15061114016975394,bf81d8692db,games5425898691,23.0,-4.980000019073486,-184.33999633789062,93.43000030517578,-140.39999961853027,22817.099609375,719.8999786376953,-5456.9000244140625,-680.9999847412109,-91.40000343322754,128.0,136.0,,1.159644023843243,1.3683141550605322,-0.30757237063775006,True,4,False,3,31.0,False,,76561198039309853,enpitsu,28.0,0.0,-5060.31982421875,17.049999237060547,0.0,-511.1000061035156,2.5999999046325684,0.5000000074505806,0.0,0.0,255.0,,0.016304256950961934,1.5707712036033583,-2.6542329618749894e-07,True,116.0,False,False,False,False,,S1lva,76561198311210071,13.0,0.0,4935.27978515625,17.010000228881836,0.0,-1661.9000244140625,2.0999999344348907,0.7000000029802322,0.0,0.0,255.0,,,0.009391819022345399,-1.5707878295104034,3.9981008938747724e-08,True,False,False,False,116.0,False,,brunozzzZ_,51c1771d3b234feab856731bf9ed6d83,15.0,562.5499877929688,-68.25,17.010000228881836,14621.199951171875,-11775.999755859375,2.5,-0.3999999910593033,0.09999999776482582,1965.2000427246094,128.0,255.0,,0.009646743327314482,-0.6033278731868458,4.363939398284879e-05,True,4,4,False,58.0,False,,
3,2839,87,True,1,3135.3487753636464,-1801.3900146484375,3541.719970703125,295.45001220703125,25828.89892578125,18308.299560546875,514.5000076293945,-1342.4000549316406,-159.3000030517578,5845.7000732421875,1.0,0.09364327007290554,-2.0016589983813176,-1.6429315159940137,51c1771d3b234feab856731bf9ed6d83,brunozzzZ_,15.0,-1999.6500244140625,3481.06005859375,227.00999450683594,16105.2001953125,7635.8001708984375,737.6000213623047,1209.1999816894531,4509.599914550781,-2906.9000244140625,255.0,255.0,True,0.5757682010715002,-1.3710423620570171,0.9498703353124811,True,6,False,4,202.0,False,,76561198311210071,S1lva,12.0,-128.22999572753906,255.7899932861328,16.93000030517578,620.8000183105469,15923.699951171875,21.500000953674316,5.099999904632568,-0.19999999552965164,-593.6000061035156,255.0,128.0,-0.009877324698721131,1.6523384856844365,0.0002919250071655615,True,48.0,False,6,False,4,,enpitsu,76561198039309853,28.0,-1524.6199951171875,3735.18994140625,49.150001525878906,-12353.299560546875,5793.2000732421875,3522.7999877929688,-189.20000076293945,-481.6999816894531,2486.999969482422,255.0,128.0,,-0.029584608076312774,0.2831981004852726,0.0012921981866270708,True,2,False,1,99.0,False,,games5425898691,bf81d8692db,24.0,25.450000762939453,-4094.510009765625,258.0199890136719,-1121.500015258789,-3163.5000610351562,-9284.299926757812,-0.9000000357627869,8.700000047683716,7.300000190734863,255.0,,,0.35680727881071145,-0.434618125365447,-0.9798401093994735,True,6,4,False,,False,,
4,3271,94,False,1,8128.001236447446,-2699.030029296875,-2149.72998046875,275.3800048828125,396.8000030517578,29360.30029296875,7505.3997802734375,4599.800109863281,2545.8999633789062,-2891.199951171875,1.0,-0.6360261410781972,-1.2084063419974413,2.0756287319485174,76561198311210071,S1lva,12.0,-2684.580078125,-2338.56005859375,194.58999633789062,-1913.2000732421875,22919.49951171875,188.50000381469727,-743.7000274658203,5403.499755859375,705.5999755859375,128.0,0.0,,0.13608357262834447,1.4733611975932033,1.3892001408798431,True,4,False,3,139.05145816905528,True,,51c1771d3b234feab856731bf9ed6d83,brunozzzZ_,15.0,-3473.830078125,-215.36000061035156,16.989999771118164,-2108.800048828125,10386.8994140625,2.199999988079071,-0.09999999776482582,0.9000000357627869,40.59999942779541,255.0,128.0,-0.00955130076584409,1.364956588479245,-9.496816321039449e-05,True,164.11452904824293,True,6,False,4,,enpitsu,76561198039309853,28.0,-3076.64990234375,481.5899963378906,17.059999465942383,11950.0,3539.2999267578125,2.0999999344348907,-0.3999999910593033,-0.0,2352.4000549316406,255.0,255.0,,-0.01673027859500696,2.7909084531221504,4.372482381080945e-05,False,2,False,False,74.84168606676081,True,,games5425898691,bf81d8692db,24.0,2091.389892578125,1395.8800048828125,17.010000228881836,-13609.3994140625,7535.0,-0.19999999552965164,-1.1999999731779099,0.5999999865889549,-441.19998931884766,255.0,128.0,,-0.009594799852630733,0.543693549686889,0.0001649223765343136,True,6,6,False,228.56304526585404,True,,
5,4046,122,False,1,2570.2544236390363,-915.6099853515625,3316.739990234375,251.02000427246094,2249.4000244140625,16148.699951171875,3240.4000854492188,-2615.1998901367188,-4959.100036621094,2137.100067138672,1.0,0.6693472725628626,-2.663997093235212,-0.44274090676503747,51c1771d3b234feab856731bf9ed6d83,brunozzzZ_,15.0,-1062.449951171875,3175.0400390625,149.0,-135.2999973297119,12832.39990234375,3307.2000122070312,3657.7999877929688,4017.3001098632812,-854.8999786376953,128.0,0.0,True,0.335023854650575,2.2781453680794757,0.437403969215894,True,20,False,11,0.0,False,,76561198311210071,S1lva,13.0,-381.3699951171875,1671.199951171875,17.010000228881836,-10570.6005859375,19767.7001953125,2.0999999344348907,0.5999999865889549,0.09999999776482582,0.0,255.0,128.0,-0.00964801806480293,1.0797454437175464,1.0827040760823702e-05,True,169.0,False,16,4,14,,enpitsu,76561198039309853,28.0,3332.159912109375,3635.780029296875,17.0,-2448.2000732421875,22380.2001953125,16.299999952316284,13.300000429153442,4.1999998688697815,1203.3000183105469,255.0,255.0,False,-0.01748454044312338,1.449758449554802,0.0001880871697581107,True,14,2,8,0.0,False,,games5425898691,bf81d8692db,24.0,87.04000091552734,3531.590087890625,15.850000381469727,-12493.499755859375,19053.00048828125,109.70000267028809,46.90000057220459,15.399999618530273,1522.5999450683594,255.0,255.0,,-0.013601896485554326,0.9580173829996236,0.001270189537381384,True,16,14,False,22.0,False,,False
6,5181,154,True,0,721.1515601213574,-194.3800048828125,4973.2998046875,182.19000244140625,22161.59912109375,13482.60009765625,-5881.9000244140625,1691.199951171875,2980.7998657226562,-2894.8001098632812,0.0,1.0788914862743095,1.9188938026863414,-0.48249811729314435,bf81d8692db,games5425898691,24.0,-398.1000061035156,4808.93994140625,233.05999755859375,19652.19970703125,11805.2001953125,-159.20000076293945,-3432.60009765625,4297.099914550781,36.80000066757202,255.0,128.0,,0.14815900409917265,-2.975310784821614,3.0522512438833735,True,16,False,15,0.0,False,,76561198039309853,enpitsu,28.0,64.31999969482422,4188.81005859375,17.040000915527344,4510.299987792969,22552.2998046875,3.700000047683716,0.0,-0.19999999552965164,0.0,255.0,,0.0167918970117835,1.3733939841697658,1.6246047782433792e-05,True,31.0,False,8,False,6,34.0,S1lva,76561198311210071,12.0,2191.570068359375,4094.389892578125,17.010000228881836,-7801.6998291015625,5362.80029296875,2.0999999344348907,-3.3000001311302185,2.5999999046325684,-1138.499984741211,255.0,128.0,False,0.009526462265284023,2.471336283855563,0.0002069566271366924,True,False,False,False,85.0,False,,brunozzzZ_,51c1771d3b234feab856731bf9ed6d83,15.0,573.7100219726562,4571.5498046875,16.979999542236328,-17911.800537109375,14427.900390625,3.4999999403953552,2.5,-2.3000000417232513,-1737.1000671386719,255.0,0.0,,0.00958610689908965,2.413082564416562,8.065680747075082e-05,True,14,12,False,13.608034321056898,True,,
7,7126,207,False,1,5437.176826209253,2741.8701171875,25.739999771118164,250.0399932861328,-9299.299926757812,25449.09912109375,-2203.300018310547,-901.2000274658203,-3442.5,2348.2000732421875,1.0,1.159191337998002,-2.079817131102586,2.800527239268333,51c1771d3b234feab856731bf9ed6d83,brunozzzZ_,15.0,2759.639892578125,-213.67999267578125,196.57000732421875,490.09998321533203,16048.199462890625,2705.10009765625,-3016.0000610351562,-3223.5000610351562,903.7999725341797,255.0,255.0,True,0.23501153752853454,2.02387916429036,0.9646386178091427,True,28,False,25,86.26783642461224,True,,76561198311210071,S1lva,13.0,3435.18994140625,982.5900268554688,17.010000228881836,-3430.0,-9068.099975585938,2.5,-0.7999999821186066,-2.7000001072883606,-2246.0000610351562,255.0,0.0,-0.009537767616551817,-1.1906767721871299,-0.0002577218716538944,True,119.0,False,24,4,18,,enpitsu,76561198039309853,28.0,2687.199951171875,1417.0400390625,17.049999237060547,389.70001220703125,5932.0001220703125,2.800000011920929,-0.19999999552965164,-1.0000000149011612,-905.1000213623047,128.0,128.0,,-0.016918197646621804,-1.1326311660682957,0.00022719978365240217,True,22,False,16,192.0,False,,games5425898691,bf81d8692db,24.0,2092.0,2258.409912109375,16.989999771118164,-5478.599853515625,18554.300537109375,4.799999892711639,-0.19999999552965164,-0.0,1996.6000366210938,255.0,255.0,,-0.009563794735358407,1.2089141920418083,-3.246908236061066e-06,True,10,8,False,76.0,False,,
