,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,608,16,False,1,2452.617690813911,60.79999923706055,2833.969970703125,258.4200134277344,-1569.4999694824219,29648.798828125,-6582.0001220703125,-1639.7999572753906,-761.5000152587891,5720.999755859375,1.0,-0.6762602960784946,0.7536938768940217,-0.9261727575455555,76561198082714716,Gabeszunk,11.0,110.8499984741211,2613.530029296875,263.6000061035156,12247.2998046875,13576.99951171875,-13.799999952316284,-3034.5001220703125,4037.0001220703125,-2178.000030517578,128.0,209.0,False,0.0008536508025154933,-2.884276171432901,-0.647945499278191,True,12,13.0,False,9,4,,7be89fcea73d410fa585125d32024b7e,ahaminden7,10.0,1150.3900146484375,1312.3399658203125,17.010000228881836,-6845.9002685546875,-9171.799926757812,2.0999999344348907,-0.29999999329447746,-0.7999999821186066,11.399999856948853,255.0,128.0,False,-0.009537334129647976,-0.9314774398009559,-7.897551604585261e-05,True,4,False,159.0,False,4,,enpitsu,76561198039309853,29.0,239.9199981689453,3080.139892578125,112.41999816894531,-16130.0,3998.5000610351562,3926.199951171875,-6.499999761581421,1.0000000149011612,497.09999084472656,128.0,255.0,False,-0.016806486271668777,0.19065237364901533,-0.0001057793822035758,True,6,False,77.0,False,5,,games5425898691,bf81d8692db,19.0,1588.2099609375,4320.68017578125,17.010000228881836,-6598.2000732421875,16956.300048828125,2.3000000417232513,-0.0,0.7999999821186066,1515.8000183105469,255.0,255.0,,-0.009610249150551073,1.173603054621698,0.000159672786896844,True,108.0,False,10,False,10,
1,986,29,False,1,1140.70665387664,1689.7099609375,4320.7099609375,183.55999755859375,-25167.2998046875,18870.6005859375,6171.9000244140625,4864.100036621094,-1155.6999969482422,3317.2000122070312,1.0,0.9260075419280966,0.3529550017828499,-2.0265902157357925,76561198082714716,Gabeszunk,11.0,1803.4599609375,4203.77001953125,155.49000549316406,-13367.099609375,14199.200439453125,565.0,5360.9002685546875,-1217.5,-167.29999542236328,255.0,255.0,True,-0.06182503404490562,0.7298085112347176,-1.3753776866537357,True,16,112.0,False,13,4,2.0,7be89fcea73d410fa585125d32024b7e,ahaminden7,10.0,-261.1099853515625,4103.64990234375,16.110000610351562,-19845.0,6213.699951171875,191.5999984741211,-74.80000019073486,1.0999999940395355,1919.1000366210938,255.0,255.0,False,-0.008291341062968182,0.23631408293914122,-0.0034235631358724527,True,8,6,22.23891620994898,True,4,,enpitsu,76561198039309853,29.0,635.6900024414062,3935.169921875,17.049999237060547,-3645.7000732421875,8070.2001953125,2.5,-0.0,0.5999999865889549,-1608.3000183105469,255.0,128.0,False,-0.016705105514225622,1.4420395528695091,0.000235955852226105,True,6,False,240.0,False,6,,games5425898691,bf81d8692db,18.0,1564.6300048828125,4562.14990234375,63.45000076293945,2835.10009765625,-13851.700439453125,2845.2999877929688,4532.799987792969,-481.5999984741211,-1830.7000732421875,255.0,73.0,,-0.10579723712791814,-1.8066175999042764,0.018268211091959013,True,54.0,False,16,False,15,
2,1245,39,True,0,1010.4667926294065,98.76000213623047,4962.52978515625,178.72999572753906,10487.099609375,7919.2999267578125,3628.599853515625,2769.5999145507812,-2048.9999389648438,-4912.200012207031,0.0,-0.18066347370433133,2.683944508037708,-0.5118224685252063,76561198039309853,enpitsu,29.0,-36.97999954223633,4881.02001953125,133.6699981689453,1576.9999694824219,22880.80078125,1726.6000366210938,-878.0000305175781,5412.8997802734375,-423.3000183105469,128.0,0.0,,0.035351472167836386,1.699391210581098,0.6564767854695213,True,10,57.0,False,9,False,,bf81d8692db,games5425898691,19.0,1966.5999755859375,2483.85009765625,100.22000122070312,-17996.700439453125,-3947.3001098632812,-154.79999542236328,2831.6000366210938,-4710.899963378906,197.09999084472656,255.0,128.0,,-0.15901469783790936,0.6680011579641881,3.0857106593027064,True,20,19,43.0,False,False,,ahaminden7,7be89fcea73d410fa585125d32024b7e,10.0,-12.920000076293945,5090.27001953125,17.0,-14705.10009765625,-1301.3999938964844,3.3000001311302185,-2.0999999344348907,-0.7000000029802322,371.19998931884766,255.0,160.0,False,0.00954972297429828,-3.0384782072918197,-8.522018820192616e-05,False,10,4,135.0,False,8,,Gabeszunk,76561198082714716,11.0,1613.3900146484375,143.69000244140625,17.059999465942383,-2022.2000122070312,15354.49951171875,1.2999999523162842,0.0,-0.7999999821186066,-5.799999833106995,255.0,128.0,False,0.016777813248180846,1.7010158285882933,6.936645147996283e-05,True,95.0,False,20,4,16,
3,2056,59,False,0,2751.974637937844,-2992.0400390625,3356.75,259.8399963378906,12773.599853515625,10153.200073242188,8138.3001708984375,1352.2999572753906,-5737.39990234375,-1119.000015258789,0.0,-0.7194953009389854,1.3839566555477107,2.0548095313296346,bf81d8692db,games5425898691,19.0,-3218.989990234375,3259.110107421875,149.35000610351562,8327.999877929688,15806.099853515625,2075.8999633789062,4165.4998779296875,2921.9000244140625,2088.000030517578,255.0,0.0,,-0.40772659001653744,0.5311139272312257,0.8916261863863533,True,10,163.54355275246405,True,9,False,,76561198039309853,enpitsu,29.0,-1505.4200439453125,4933.580078125,63.540000915527344,-5386.300048828125,21960.0,-4212.39990234375,-349.7999954223633,-1474.1000366210938,1560.2999877929688,255.0,255.0,,-0.16607054233259658,2.6077031885832227,-0.15937608141626738,True,6,6,0.0,False,False,,ahaminden7,7be89fcea73d410fa585125d32024b7e,10.0,-2229.510009765625,3786.3798828125,428.739990234375,-18382.900390625,6391.300048828125,-3912.5,520.9000015258789,-404.39998626708984,-1529.1999816894531,255.0,89.0,False,0.1357861698140398,-2.788927920525397,-0.06426930264881221,True,12,4,98.0,False,10,,Gabeszunk,76561198082714716,11.0,-1207.27001953125,4873.0498046875,17.049999237060547,-6960.2001953125,-1911.6000366210938,3.1999999284744263,4.1999998688697815,0.5000000074505806,1550.7000732421875,0.0,146.0,False,0.017263466505876783,-2.8354231192139565,1.614414213538187e-05,True,106.0,False,4,False,4,
4,2760,85,True,0,2743.3593368066727,840.75,3016.389892578125,184.64999389648438,-11896.99951171875,21096.298828125,5492.2998046875,5963.800048828125,-457.00000762939453,-473.10001373291016,0.0,0.5381726698632742,-2.091626865696729,-1.372165916123495,bf81d8692db,games5425898691,18.0,881.3499755859375,2856.43994140625,80.79000091552734,-17995.799560546875,8213.099975585938,2385.2999877929688,-2882.0001220703125,4042.7999877929688,-1357.2999572753906,255.0,128.0,,0.1546572017983935,2.4422153981780013,0.572598359271747,True,20,31.0,False,17,False,,76561198039309853,enpitsu,29.0,-2521.1201171875,-4331.60009765625,17.049999237060547,-7606.6998291015625,2882.7999877929688,2.800000011920929,6.9999998807907104,-2.5,1576.9999694824219,255.0,0.0,True,0.016657644031985216,2.830301265176162,-0.00016190425718905829,True,False,False,85.0,False,False,,ahaminden7,7be89fcea73d410fa585125d32024b7e,10.0,897.7899780273438,2988.669921875,17.010000228881836,-5796.6998291015625,-8930.599975585938,1.899999976158142,0.29999999329447746,0.0,-2392.7999877929688,255.0,0.0,False,0.009517853820608782,-2.1994977122394137,3.4241512240974944e-05,False,20,6,198.0,False,14,,Gabeszunk,76561198082714716,11.0,3751.139892578125,675.1500244140625,17.059999465942383,4989.599914550781,7976.500244140625,2.3000000417232513,0.0,-0.09999999776482582,2696.6000366210938,255.0,255.0,False,0.01669198938526756,1.0982528203659567,-6.376771278004938e-05,True,144.0,False,14,6,6,
5,3049,86,False,1,5166.674214007581,4.730000019073486,50.779998779296875,93.45999908447266,3845.7000732421875,29849.09912109375,1563.2000732421875,-5026.600036621094,253.99999618530273,-829.5999908447266,1.0,0.0036417347807266858,0.01398112028594251,0.08380669804499413,7be89fcea73d410fa585125d32024b7e,ahaminden7,10.0,-29.059999465942383,-120.6500015258789,81.55000305175781,-698.0999755859375,19795.0,3251.199951171875,2998.2998657226562,3279.1000366210938,-3241.400146484375,255.0,0.0,True,-0.028646965344298263,1.6966980229540054,0.29786502956935995,True,4,0.0,False,False,False,,76561198082714716,Gabeszunk,11.0,-3149.340087890625,-3969.070068359375,17.049999237060547,-13788.399658203125,9285.2001953125,4.799999892711639,-0.0,0.19999999552965164,-3657.9000854492188,255.0,0.0,False,-0.01678039199526697,1.1875330620695363,-8.625003187624224e-05,True,False,False,255.0,False,False,,enpitsu,76561198039309853,29.0,29.989999771118164,330.5799865722656,76.04000091552734,-4943.699951171875,-22279.69970703125,2846.4999389648438,2785.0,-1378.699951171875,-619.1999816894531,255.0,0.0,,-0.13042257835850526,-1.602315759658007,0.01156326084736472,True,2,False,31.0,False,1,,games5425898691,bf81d8692db,18.0,-2683.47998046875,4073.0,17.010000228881836,-19388.199462890625,7009.2999267578125,2.3000000417232513,1.0000000149011612,-0.5000000074505806,1749.1000366210938,255.0,255.0,,-0.00957068550361879,0.3005393898499987,0.00018232916866059185,True,0.0,False,False,False,False,
6,5267,167,False,1,3470.118989967675,-408.8399963378906,1924.550048828125,93.05000305175781,3742.7999877929688,16868.699951171875,984.8000335693359,-1004.4000244140625,330.09998321533203,3621.300048828125,1.0,0.3798498354704359,-0.7741650660556121,-1.987151558200569,76561198082714716,Gabeszunk,11.0,-389.7200012207031,1771.0400390625,68.63999938964844,5437.80029296875,22203.701171875,2534.199981689453,-3017.60009765625,292.8000068664551,804.4999694824219,255.0,184.0,False,-0.10856458629546824,1.9312106948928671,-0.004715642085827754,True,8,38.34782793188609,True,5,4,,7be89fcea73d410fa585125d32024b7e,ahaminden7,10.0,-2766.2900390625,-1559.8199462890625,17.010000228881836,14012.5,-6086.199951171875,2.0999999344348907,0.5999999865889549,-0.0,16.799999475479126,255.0,128.0,False,-0.009585271647884988,-2.734334986630411,-7.879355055481071e-05,True,32,26,255.0,False,6,,enpitsu,76561198039309853,29.0,-380.3699951171875,2310.0,55.91999816894531,620.8000183105469,-22863.20068359375,2425.7000732421875,3000.4998779296875,-2377.7000427246094,2973.5000610351562,255.0,0.0,,-0.016444178109270336,-2.152130496173628,0.2873986361612782,True,20,False,137.0,False,19,,games5425898691,bf81d8692db,19.0,-344.79998779296875,2467.489990234375,62.83000183105469,639.7000122070312,-22790.10009765625,3017.6998901367188,2265.0,1056.9000244140625,4899.200134277344,255.0,128.0,,-0.04802246213544098,-1.979847609947375,-0.026343370979999954,True,33.0,False,28,4,25,
7,5579,178,True,1,1363.4952474731701,51.619998931884766,4069.419921875,389.17999267578125,3475.4998779296875,25354.19921875,1415.8999633789062,-2680.8999633789062,-658.8999938964844,-3117.6998901367188,1.0,1.1206948244909063,0.3484062848474257,1.4207274042365408,76561198082714716,Gabeszunk,11.0,-32.4900016784668,3890.25,263.70001220703125,502.00000762939453,20143.199462890625,3331.9000244140625,1189.4000244140625,450.8000183105469,5350.8001708984375,128.0,0.0,True,1.2955281170079624,-3.138476657059109,-2.9584860546887155,True,12,89.70904084174862,True,8,6,,7be89fcea73d410fa585125d32024b7e,ahaminden7,10.0,-311.2699890136719,1198.7900390625,17.010000228881836,-13641.600341796875,-2410.399932861328,2.3000000417232513,-0.3999999910593033,-0.0,-2182.899932861328,255.0,0.0,False,-0.009582296768308646,-0.11067833886423728,-4.7312514302018945e-05,True,36,30,184.0,False,6,,enpitsu,76561198039309853,29.0,288.67999267578125,4058.8798828125,203.97000122070312,-16109.7998046875,16211.600341796875,2491.699981689453,743.0000305175781,353.3000183105469,1758.6000061035156,255.0,255.0,,0.43746591250627165,-0.40319044154916084,-0.348148653444637,True,22,False,155.4709162019914,True,21,,games5425898691,bf81d8692db,19.0,11.399999618530273,4234.81005859375,198.07000732421875,-4067.60009765625,-68.09999942779541,-939.8999786376953,-477.99999237060547,3706.300048828125,-815.1999664306641,255.0,134.0,,0.08335204101751005,-0.7246124322524478,0.2218910386855617,True,51.0,False,32,4,30,
8,6231,192,True,0,2343.19158031381,1123.780029296875,3952.1298828125,161.3300018310547,-14635.699462890625,27995.10009765625,7420.5999755859375,2193.300018310547,-4916.9000244140625,-1045.4000091552734,0.0,0.18404880681276464,-1.0280552280142832,-1.826130527750359,bf81d8692db,games5425898691,19.0,1209.06005859375,3643.0,80.9000015258789,-5431.300048828125,22087.80029296875,3256.0000610351562,-26.80000066757202,-19.299999475479126,-1177.7999877929688,255.0,128.0,,0.010300251942662039,1.6736545868616448,-0.0028617772710152877,True,8,92.0,False,6,False,,76561198039309853,enpitsu,29.0,630.8599853515625,4302.02978515625,17.049999237060547,-19872.900390625,-7576.7999267578125,2.5999999046325684,0.3999999910593033,0.0,-0.7000000029802322,255.0,,,0.016753050439000227,-2.777444013159856,2.901841493661563e-05,True,False,False,194.0,False,False,,ahaminden7,7be89fcea73d410fa585125d32024b7e,10.0,491.260009765625,4209.47021484375,96.44000244140625,19699.599609375,-11149.89990234375,3571.099853515625,-1487.7000427246094,3033.800048828125,-530.9000015258789,255.0,232.0,True,0.09408241276702563,-0.7448782636448532,-0.18225139161873494,True,10,False,230.0,False,8,,Gabeszunk,76561198082714716,11.0,1844.4100341796875,3900.419921875,73.2699966430664,-2920.0,-5723.4002685546875,-1919.1999816894531,2082.4000549316406,-2110.2000427246094,-673.1999969482422,255.0,71.0,,0.3406157108614707,0.6160476355129803,-0.5052449565137099,True,207.0,False,10,False,8,
9,6810,204,False,1,3075.5856380937744,-1998.050048828125,4098.990234375,450.6600036621094,18070.50048828125,10375.0,-5368.699951171875,5310.10009765625,1795.7000732421875,-2095.5999755859375,1.0,-0.2143712948037254,0.7351934239964439,0.31433794126895614,7be89fcea73d410fa585125d32024b7e,ahaminden7,10.0,-2121.1298828125,4210.7998046875,383.7200012207031,12272.099609375,18653.800048828125,1201.1000061035156,3312.0001220703125,282.39999771118164,1059.4999694824219,255.0,0.0,True,1.2207537652381915,2.7021847943868744,2.137135913197377,True,12,178.0,False,10,False,,76561198082714716,Gabeszunk,12.0,-674.0499877929688,1668.0899658203125,17.049999237060547,12380.0,6421.9000244140625,-0.9000000357627869,0.29999999329447746,0.19999999552965164,2376.7999267578125,255.0,255.0,False,-0.0167483765091161,2.5842068842373105,-7.26845468305729e-05,True,4,4,98.93550117297839,True,False,,enpitsu,76561198039309853,29.0,-1369.6199951171875,4702.5498046875,24.549999237060547,-1.0999999940395355,-1.5999999642372131,3033.900146484375,-8.100000023841858,-2.5999999046325684,-112.5,128.0,128.0,False,-0.01661305711182911,-1.9312973364660087,0.00020444866149568088,True,6,False,9.029264557746151,True,4,,games5425898691,bf81d8692db,19.0,961.3099975585938,4270.18994140625,17.010000228881836,-8043.3001708984375,13296.600341796875,2.0999999344348907,1.0999999940395355,-1.0000000149011612,867.3999786376953,255.0,139.0,,-0.009623397461323817,0.971728928707215,-0.00013420115047685783,True,176.0,False,6,4,4,
