,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_jump_active,opp_2_boost_collect
0,381,7.0,False,0,1019.005051546168,87.75,4874.27978515625,141.47000122070312,-2887.5,8838.300170898438,2343.8999938964844,-3410.0,-428.3000183105469,-4673.699951171875,0.0,0.2222881223469276,0.5455240994743561,2.2124664460555805,76561198039309853,enpitsu,27.0,33.970001220703125,4854.97998046875,15.869999885559082,-4997.60009765625,2740.1998901367188,107.5,-875.5999755859375,392.00000762939453,961.2999725341797,0.0,128.0,,0.009211944242959133,2.834222528822422,0.0056535919100925295,True,3.0,False,4,False,4,,bf81d8692db,games5425898691,24.0,1662.8699951171875,3611.64990234375,17.0,-19255.899658203125,-4852.699890136719,1.0999999940395355,-0.3999999910593033,-0.29999999329447746,-1953.0999755859375,255.0,0.0,,0.009575019369086743,-2.962345533507257,-4.41128802996988e-05,True,77.44356125913636,True,4,False,4,,Chuilzevale,2535414359215580,11.0,-1054.5799560546875,3599.080078125,26.959999084472656,-16129.69970703125,2105.2000427246094,-1455.0,-5411.5997314453125,-857.6000213623047,477.99999237060547,255.0,255.0,,-0.014654640140454306,2.6605656537937663,-0.500375092094656,True,186.0,False,8,False,10,,Chuipoudic,2535405930685548,7.0,-255.1999969482422,4921.1298828125,46.13999938964844,11294.69970703125,6956.5997314453125,3457.5,-244.40000534057617,333.69998931884766,-840.1999664306641,254.0,36.0,False,0.018121459119284443,0.5686396906645543,-0.0017917615197869917,True,59.70480855049625,True,False,False,7,
1,572,14.0,True,1,5033.4978313069605,-2515.25,1438.719970703125,179.44000244140625,17427.900390625,23058.5009765625,2545.0999450683594,-3412.5,-400.09998321533203,2179.9000549316406,1.0,-0.582963741448725,-1.0965843118066143,-1.7659821446430939,2535414359215580,Chuilzevale,10.0,-2692.719970703125,1254.3499755859375,142.74000549316406,14675.10009765625,17544.300537109375,2415.5999755859375,-1304.7999572753906,1270.5000305175781,1605.8000183105469,255.0,81.0,,0.03940729216252676,1.9209971354676085,0.00026932512739429547,True,191.79987966629767,True,16,False,11,,2535405930685548,Chuipoudic,7.0,-2094.52001953125,-1296.3800048828125,17.0,-105.69999694824219,14047.5,3.4999999403953552,0.09999999776482582,-3.400000035762787,-1380.2999877929688,255.0,0.0,,-0.009590080826061765,1.5724516994263948,-0.00013000971816494146,True,136.0,False,8,False,4,,enpitsu,76561198039309853,28.0,3180.800048828125,1971.530029296875,17.049999237060547,-6696.500244140625,22003.5009765625,-2.199999988079071,-0.09999999776482582,0.7000000029802322,0.9000000357627869,255.0,128.0,,-0.01679039941512288,1.2752345285142497,-3.823894682109677e-05,True,165.0,False,4,False,4,,games5425898691,bf81d8692db,24.0,-983.719970703125,1018.530029296875,16.65999984741211,28.599998950958252,22999.7998046875,66.30000114440918,22.5,-6.1000001430511475,-1364.2999267578125,255.0,46.0,,-0.01089865274352563,1.5975651227998497,0.00021273684356614252,True,0.0,True,False,8,8,
2,1713,47.0,True,0,2149.0126232660527,-2715.070068359375,3995.780029296875,372.0299987792969,18758.699951171875,7432.2998046875,1289.7000122070312,3953.900146484375,-1618.3999633789062,-4212.60009765625,0.0,-0.6627742618414726,0.021126188654615848,1.9929867563554944,76561198039309853,enpitsu,27.0,-2824.340087890625,3952.2099609375,280.3599853515625,12034.3994140625,17071.800537109375,-679.3000030517578,-1531.6000366210938,1825.5000305175781,4956.9000244140625,255.0,0.0,False,0.23123719368051338,1.0352341705630626,1.0473115137544677,True,177.0,False,10,False,9,,bf81d8692db,games5425898691,24.0,2084.639892578125,4539.75,17.010000228881836,13394.7998046875,-4401.700134277344,2.0999999344348907,-0.09999999776482582,-0.09999999776482582,-0.3999999910593033,255.0,128.0,,0.009613218109633913,-0.3175861070547619,1.763996106907645e-05,True,0.0,False,14,False,12,,Chuilzevale,2535414359215580,9.0,-3001.840087890625,4178.35986328125,17.010000228881836,1409.6000671386719,-7005.4998779296875,2.0999999344348907,0.29999999329447746,0.0,3.0000001192092896,128.0,128.0,,0.009538794532804531,-1.371736722525498,-5.8793189747999695e-06,True,255.0,False,10,False,14,,Chuipoudic,2535405930685548,7.0,-2540.89990234375,4025.6201171875,115.16999816894531,-11673.900146484375,-4394.2999267578125,3843.699951171875,-3243.699951171875,1350.2999877929688,595.2999877929688,255.0,71.0,True,-0.27447882385553785,-2.6918316171607106,0.17456150063680828,True,201.17634414601068,True,False,12,16,
3,2157,53.0,False,0,4808.746894202842,2490.590087890625,1726.050048828125,157.77999877929688,-9566.099853515625,18372.80029296875,4603.800048828125,5193.3001708984375,-2870.8999633789062,886.9000244140625,0.0,1.2122590739146837,2.1701721387496318,1.2025265798477933,76561198039309853,enpitsu,27.0,2540.030029296875,1598.7099609375,92.98999786376953,76.90000057220459,19029.200439453125,2129.499969482422,-4522.39990234375,-2942.9998779296875,1065.5999755859375,255.0,255.0,,0.5461017788273868,1.2429832177691233,-0.5179153016836306,True,7.0,False,2,False,1,,bf81d8692db,games5425898691,24.0,3628.030029296875,-1671.739990234375,16.59000015258789,-16639.300537109375,-9752.100219726562,117.29999542236328,-91.09999656677246,-169.40000534057617,-1900.8000183105469,255.0,0.0,,0.0035304117095854783,-2.675019776891062,-0.009513705457558835,True,192.1059270264,True,6,False,6,,Chuilzevale,2535414359215580,10.0,1957.530029296875,3233.840087890625,82.23999786376953,2038.2000732421875,-21565.50048828125,3410.10009765625,0.0,-3.100000023841858,365.40000915527344,254.0,130.0,,0.009553565793590985,-1.426822378515085,0.000428851989898753,True,201.0,False,False,4,6,,Chuipoudic,2535405930685548,7.0,-2953.030029296875,4368.14990234375,17.010000228881836,7977.7001953125,17565.799560546875,2.3000000417232513,-0.09999999776482582,0.0,-2004.2999267578125,254.0,0.0,,0.00958148894891382,1.0686188922551965,-1.598388479668622e-05,True,255.0,False,False,6,6,
4,4843,151.0,True,1,2642.27885061927,-537.1599731445312,2920.159912109375,662.1199951171875,1939.4999694824219,27576.79931640625,-5412.19970703125,-5136.6998291015625,3062.0001220703125,-486.8000030517578,1.0,-1.1160827908244733,-0.24475280901263222,-2.5991129103389623,2535405930685548,Chuipoudic,7.0,-578.4199829101562,2662.800048828125,630.0900268554688,-4337.5,18262.19970703125,3161.199951171875,-2451.699981689453,-354.70001220703125,-480.60001373291016,254.0,115.0,True,-0.16991817804333717,1.4602927167850381,-0.19827488091362105,True,15.577324598066268,True,50,8,36,,2535414359215580,Chuilzevale,10.0,-267.6300048828125,2029.0899658203125,16.989999771118164,-16690.899658203125,-13829.3994140625,2.199999988079071,-3.4999999403953552,-2.3000000417232513,-1260.1000213623047,255.0,127.0,,-0.009608896553645796,-0.6250841327691098,3.7763125015740616e-05,False,18.5789934409562,True,4,4,False,,enpitsu,76561198039309853,27.0,2200.800048828125,-212.77999877929688,17.040000915527344,-14480.2001953125,14143.00048828125,3.400000035762787,-1.899999976158142,1.899999976158142,-970.6999969482422,255.0,128.0,False,-0.016776042497846373,0.8424262482056197,0.0002221056378860885,True,198.0,False,20,2,22,,games5425898691,bf81d8692db,25.0,-286.0199890136719,4025.219970703125,17.010000228881836,-11751.300048828125,6466.5997314453125,2.3000000417232513,-0.29999999329447746,-0.0,-2254.7999572753906,255.0,0.0,,-0.009561488226094513,0.571247037813214,-4.7056055494891124e-05,True,136.0,False,4,10,12,
5,5915,181.0,False,1,1905.0148908291922,-920.3900146484375,4565.7099609375,271.55999755859375,12959.000244140625,12583.599853515625,-1547.4000549316406,1969.7000122070312,4768.900146484375,-3062.2000122070312,1.0,1.0868620333505137,-2.1482183409582145,-0.1247780011715483,2535414359215580,Chuilzevale,10.0,-977.3300170898438,4482.7099609375,255.22000122070312,114.39999580383301,8835.0,-1201.9999694824219,-1141.3999938964844,895.8000183105469,-3522.0999145507812,255.0,0.0,,-0.5905761191749898,0.7625598561433066,-2.1031759837742356,True,6.0,False,14,False,10,,2535405930685548,Chuipoudic,7.0,-399.8699951171875,1804.6800537109375,16.989999771118164,-504.0999984741211,2719.5001220703125,4.399999976158142,0.19999999552965164,-0.5000000074505806,653.4999847412109,255.0,172.0,False,-0.009492936528455297,1.442588863782089,3.598334112921647e-05,True,221.0,False,14,False,14,,enpitsu,76561198039309853,27.0,-738.0700073242188,4324.39990234375,188.05999755859375,-544.1999816894531,13157.19970703125,328.3000183105469,-2186.0000610351562,4653.299865722656,1953.8999938964844,255.0,0.0,,0.37205255056883746,1.1730807818717894,1.3645314202862764,True,0.0,False,7,False,8,,games5425898691,bf81d8692db,24.0,-951.530029296875,4897.35009765625,61.650001525878906,10605.899658203125,-7865.999755859375,-2216.300048828125,-243.50000381469727,-2700.2999877929688,423.1999969482422,255.0,255.0,,0.7272816719706134,3.0064944842315002,1.255347721288813,True,233.06613323509055,True,4,8,10,
6,5980,183.0,False,1,1208.495196239052,565.5900268554688,3977.550048828125,375.1499938964844,-1982.5999450683594,22041.0009765625,6247.39990234375,5243.699951171875,1288.800048828125,2615.7000732421875,1.0,-0.29540825571538276,-1.2425962151126004,-3.1204127123617273,2535405930685548,Chuipoudic,7.0,600.9299926757812,3842.25,241.6999969482422,3173.800048828125,15329.100341796875,-147.89999961853027,-60.79999923706055,-4358.0999755859375,-3354.5001220703125,254.0,255.0,True,0.6355488909028232,1.994335434048796,-2.56961010805111,True,167.32548813409713,True,16,False,15,,2535414359215580,Chuilzevale,10.0,-814.3499755859375,4130.419921875,102.5999984741211,3717.60009765625,-14075.6005859375,-149.49999809265137,3995.0,909.8999786376953,-1171.6000366210938,128.0,157.0,,1.533021580675344,-1.6785181615704272,-3.0361015431420944,True,6.0,False,16,False,11,,enpitsu,76561198039309853,27.0,-56.689998626708984,5478.25,34.63999938964844,7815.4998779296875,-7852.1002197265625,2808.599853515625,11.200000047683716,29.600000381469727,-1108.7999725341797,255.0,0.0,False,-0.045939740173637604,-2.305617699889756,0.026801528613187478,True,0.0,False,8,False,10,,games5425898691,bf81d8692db,24.0,341.79998779296875,4993.60986328125,27.06999969482422,7055.4998779296875,-1421.6999816894531,3081.7999267578125,0.09999999776482582,0.7999999821186066,-2235.500030517578,128.0,0.0,,-0.009667904566055369,-2.9121579040780556,-3.3296068387591374e-05,True,205.0,False,4,8,11,
7,6116,188.0,False,1,766.9835250004561,579.9299926757812,4441.169921875,215.1300048828125,-8363.499755859375,14865.699462890625,-7394.000244140625,-4721.300048828125,-3157.60009765625,1933.3999633789062,1.0,0.7891622517553377,0.6480278889256368,-1.2550090905650795,2535414359215580,Chuilzevale,10.0,680.280029296875,4255.85009765625,208.86000061035156,-1828.2000732421875,14973.299560546875,1730.3999328613281,-80.9000015258789,-5133.699951171875,-1971.6999816894531,128.0,248.0,,0.647030554334386,1.3266901360573902,0.5072419736156347,True,0.0,False,18,False,13,,2535405930685548,Chuipoudic,7.0,-691.6400146484375,841.6500244140625,16.989999771118164,-13754.300537109375,-16655.699462890625,4.000000059604645,-1.7000000178813934,3.100000023841858,-1933.0999755859375,255.0,0.0,False,-0.009792496276343826,-0.8130281035214825,5.130547383882227e-05,False,50.375836556957616,True,18,False,18,,enpitsu,76561198039309853,28.0,676.0900268554688,4751.58984375,53.11000061035156,3343.599853515625,-1471.9000244140625,1316.9999694824219,4036.400146484375,3735.7998657226562,-27.40000009536743,128.0,128.0,,-0.0033148472101194866,-0.7555664529230167,-2.003760055675816,True,0.0,False,11,False,12,,games5425898691,bf81d8692db,24.0,420.3299865722656,4923.419921875,18.459999084472656,157.70000457763672,1997.5999450683594,-2345.5999755859375,-65.59999942779541,-2950.10009765625,-993.8999938964844,255.0,128.0,,0.04722287885080711,-1.234951420453205,-0.10255113453221229,True,114.0,False,4,12,14,
8,6319,196.0,False,1,6451.638527301157,-1159.31005859375,-975.5,92.66999816894531,5463.699951171875,24745.50048828125,1716.6999816894531,-5949.2999267578125,25.59999942779541,777.3000335693359,1.0,-0.5969647726776507,-2.1726888847603703,-2.768701095443356,2535405930685548,Chuipoudic,7.0,-1166.699951171875,-1158.489990234375,85.5199966430664,13096.8994140625,13134.100341796875,2908.900146484375,4437.39990234375,1870.3999328613281,2391.699981689453,255.0,20.0,False,-0.052945057012580635,2.0014932583984284,0.04400089396455721,True,134.41512249618447,True,20,False,19,,2535414359215580,Chuilzevale,10.0,-3317.169921875,1579.3199462890625,43.310001373291016,811.6000366210938,-14124.599609375,3401.7999267578125,310.79999923706055,22.40000009536743,-167.5,254.0,111.0,,-0.014791750605723289,-1.6307055891536084,-0.00022848430473661234,True,0.0,False,26,4,18,,enpitsu,76561198039309853,27.0,-1466.1300048828125,-651.1199951171875,22.010000228881836,5349.000244140625,-19448.699951171875,3001.099853515625,1.0000000149011612,-4.600000083446503,1398.5000610351562,255.0,255.0,False,-0.016770073516456378,-1.8578205527113685,0.0002957054618338878,True,0.0,False,13,False,14,,games5425898691,bf81d8692db,24.0,-214.3000030517578,4439.89990234375,17.010000228881836,4203.999938964844,-10181.099853515625,2.0999999344348907,0.19999999552965164,-0.9000000357627869,15.399999618530273,255.0,128.0,,-0.009562525448847812,-1.964903349293623,-8.257318239926546e-05,True,88.0,False,4,14,16,
9,6686,209.0,False,0,4208.847377024029,2468.9599609375,2611.8701171875,171.5500030517578,-15804.89990234375,15610.999755859375,731.2999725341797,484.70001220703125,162.90000915527344,-2401.9000244140625,0.0,-1.020629145800314,0.11674223291928733,1.2377956313372134,76561198039309853,enpitsu,27.0,2587.590087890625,2474.070068359375,109.02999877929688,-14886.800537109375,10737.60009765625,208.89999389648438,-3463.5000610351562,-4272.39990234375,-16.699999570846558,128.0,128.0,,1.3647186573525463,2.445798079624749,-0.014750198655073024,True,0.0,False,20,False,19,,bf81d8692db,games5425898691,24.0,2618.06005859375,893.75,16.989999771118164,-13639.89990234375,18518.900146484375,2.0999999344348907,0.0,0.0,0.5000000074505806,255.0,128.0,,0.009595056452127592,2.205704419062469,-1.9511445136125158e-05,True,60.7677075196338,True,20,4,18,,Chuilzevale,2535414359215580,10.0,3514.070068359375,4525.85986328125,581.7000122070312,-8466.900024414062,8467.80029296875,-11978.399658203125,-1389.6000671386719,-1390.5000305175781,-1.8000000715255737,255.0,255.0,False,0.8330923643682959,2.342051838228358,-1.5813050761613023,True,102.73119129673124,True,22,4,30,,Chuipoudic,2535405930685548,7.0,2701.570068359375,3338.489990234375,16.989999771118164,-15083.699951171875,17356.199951171875,4.399999976158142,0.0,0.09999999776482582,3.3000001311302185,254.0,128.0,False,0.009597477913489236,2.286694598878751,-2.6636951814555534e-05,True,199.0,False,False,22,24,
