,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect,team_mate_handbrake
0,786,22,False,1,7156.925067076925,-690.0499877929688,-1838.969970703125,359.8500061035156,6511.199951171875,30139.69970703125,2062.7999877929688,4177.39990234375,-731.1000061035156,-4244.2999267578125,1.0,0.9923420848309052,-0.05029838658400638,-0.8431201673073748,76561198039309853,enpitsu,24.0,-684.3200073242188,-1998.199951171875,293.80999755859375,4057.39990234375,19231.600341796875,529.0999984741211,-4432.900085449219,-3255.10009765625,-53.09999942779541,255.0,255.0,False,0.16733850161996505,1.936979934041964,-0.48068680455648344,True,148.0,False,4,False,3,,bf81d8692db,games5425898691,19.0,-2483.10009765625,-2766.780029296875,89.98999786376953,-7702.19970703125,-17912.7001953125,2105.500030517578,5050.5999755859375,-2177.2000122070312,-0.09999999776482582,255.0,128.0,-0.9361547333485357,-1.163738648410583,-3.3068230619620097e-05,False,0.0,False,12,False,11,,Speedfreek52,8103191170931081510,8.0,,,,,,,,,,,,,,,,True,,,,,,,ethernat_cable,8804005501172738206,6.0,-1254.3299560546875,3976.419921875,17.010000228881836,12528.900146484375,-1670.5999755859375,2.0999999344348907,0.5999999865889549,0.19999999552965164,0.0,255.0,128.0,,-0.009528410870048234,-3.0090241243046925,-5.399492157642155e-05,True,116.0,False,False,False,False,,
1,1763,57,True,1,8374.182779146331,-2296.989990234375,-2601.56005859375,107.05999755859375,7806.300048828125,29838.20068359375,7841.6998291015625,1268.7999725341797,4513.2000732421875,-3744.2999267578125,1.0,1.024448038481583,-1.8183593080372131,-0.8831351962127039,bf81d8692db,games5425898691,19.0,-2307.760009765625,-2801.7099609375,17.010000228881836,-7145.10009765625,21861.99951171875,-0.09999999776482582,-0.3999999910593033,1.1999999731779099,1305.3999328613281,255.0,255.0,,-0.009587328122312572,1.2381070623341703,0.00026357641877549715,True,175.02821500327002,True,20,False,20,,76561198039309853,enpitsu,24.0,-2661.8701171875,-4934.39990234375,17.950000762939453,8353.400268554688,-1777.7000427246094,-3.100000023841858,12.5,-95.60000419616699,-10.800000429153442,255.0,255.0,-0.01904915627783486,-2.9316465718878515,-0.03243661153889607,True,31.0,False,12,False,10,,Speedfreek52,8103191170931081510,8.0,-2511.0,-2655.1201171875,89.62999725341797,10772.2998046875,3679.1000366210938,-12.899999618530273,4606.600036621094,3004.2999267578125,-55.39999961853027,234.0,0.0,True,-0.0100222261195971,2.563998768292028,1.4124875629589522,True,14,0.0,False,6,9,,ethernat_cable,8804005501172738206,7.0,-2137.530029296875,-377.6099853515625,16.989999771118164,-3773.699951171875,-6686.6998291015625,5.0,-0.19999999552965164,0.09999999776482582,-2762.0999145507812,255.0,0.0,False,-0.009571568566416938,-0.9434874466886836,-4.072861157897757e-05,True,235.0,False,14,12,False,,
2,2520,76,False,0,5340.1596308775615,-3331.550048828125,387.5899963378906,176.99000549316406,13848.699951171875,20097.5,4128.2000732421875,-2278.3999633789062,-4754.200134277344,-975.8000183105469,0.0,0.5231897584881383,-2.920589373840782,0.688056091865216,8103191170931081510,Speedfreek52,8.0,-3531.800048828125,159.2899932861328,94.66999816894531,11321.400146484375,18818.199462890625,-2143.0999755859375,-196.8000030517578,5277.19970703125,1536.6999816894531,239.0,0.0,True,-0.16839394733795787,1.5971755849881057,1.479251887795879,True,56.44957421415595,True,6,False,5,,8804005501172738206,ethernat_cable,7.0,3225.72998046875,-4812.0,232.27999877929688,-9486.900024414062,-10303.699951171875,5481.5997314453125,337.7000045776367,-3336.4999389648438,-527.2999954223633,255.0,0.0,-0.32710119380576275,-2.3079390221574556,1.452500835537545,True,255.0,False,4,False,4,,enpitsu,76561198039309853,24.0,-2122.02001953125,1281.050048828125,17.059999465942383,5879.89990234375,12529.7998046875,1.1999999731779099,-0.5000000074505806,-0.9000000357627869,-80.0,255.0,128.0,,0.016747654586706455,1.1224933552194982,0.00011010373702433831,True,False,202.0,False,False,False,,games5425898691,bf81d8692db,19.0,-3743.570068359375,574.1799926757812,16.229999542236328,9407.7001953125,20876.0009765625,142.60000228881836,-26.19999885559082,185.20000457763672,167.70000457763672,255.0,172.0,,0.0027978542142836323,1.1439810082375284,-0.013026586635118416,True,109.0,False,10,10,False,,True
3,4733,156,False,0,5389.590445778778,2977.800048828125,1392.8199462890625,348.94000244140625,-14393.800048828125,17689.300537109375,-263.4000015258789,-3934.1000366210938,1861.199951171875,205.30000686645508,0.0,0.9467917021532195,0.2171653275268489,1.810519344715866,8804005501172738206,ethernat_cable,7.0,3143.2099609375,1284.6099853515625,407.0400085449219,-9197.5,18459.300537109375,-2046.7999267578125,-89.70000267028809,-359.90001678466797,-92.60000228881836,128.0,106.0,,-0.247076603144072,1.3249640093948556,-0.9487200055825119,True,55.0,False,28,False,26,,8103191170931081510,Speedfreek52,8.0,2237.39990234375,3313.06005859375,17.010000228881836,265.9000015258789,-6742.60009765625,2.3000000417232513,0.09999999776482582,1.0999999940395355,1300.3999328613281,0.0,195.0,0.009931098585707848,-1.483831008202384,-7.955263557724846e-05,True,19.0,False,8,False,8,,enpitsu,76561198039309853,24.0,3975.35009765625,59.25,113.19000244140625,5730.0,-5633.800048828125,-371.1000061035156,2037.4000549316406,4212.9998779296875,1233.7999725341797,128.0,0.0,,-0.44682741962129185,-1.7034780330595474,1.2706798789923224,True,20,215.0,False,2,16,,games5425898691,bf81d8692db,19.0,3745.3798828125,-678.719970703125,186.58999633789062,-1376.3999938964844,-22652.900390625,-540.8000183105469,4222.39990234375,-1457.7000427246094,778.3999633789062,255.0,96.0,,-1.156147223711718,1.6454895542039978,2.7506101623566135,True,176.0,False,34,34,False,,False
4,4798,159,True,0,1006.1187712433273,105.9000015258789,5047.9599609375,114.45999908447266,-16749.69970703125,16146.800537109375,-2378.3999633789062,-4948.2000732421875,-2961.7001342773438,230.79999923706055,0.0,0.7533555292842132,1.6297569894998776,1.0737911034640977,8804005501172738206,ethernat_cable,7.0,343.7099914550781,4841.02978515625,137.1999969482422,-15843.599853515625,15867.099609375,3236.6000366210938,78.49999904632568,-4196.300048828125,-1743.9999389648438,128.0,255.0,,0.07649717544044145,1.5940453188745276,-0.36682064278610177,True,0.0,False,30,False,26,,8103191170931081510,Speedfreek52,8.0,430.9700012207031,2456.18994140625,77.5999984741211,-15324.69970703125,-1761.1000061035156,-1035.4000091552734,-1935.7000732421875,-2207.2999572753906,-314.0999984741211,236.0,128.0,-0.33669909394891073,-2.685676455174357,-0.8123726864681161,True,4.0,False,10,False,10,,enpitsu,76561198039309853,24.0,3134.389892578125,29.34000015258789,17.059999465942383,-853.4999847412109,927.2000122070312,1.2999999523162842,0.29999999329447746,-0.7000000029802322,0.0,128.0,128.0,False,0.016836605142696543,2.314874474217662,6.709197686015929e-05,True,20,215.0,False,2,16,,games5425898691,bf81d8692db,19.0,340.5199890136719,-3459.050048828125,16.989999771118164,-18757.2998046875,13310.10009765625,2.5,-0.3999999910593033,0.09999999776482582,-1976.1000061035156,255.0,0.0,,0.00959298481906363,2.4461089439814963,-5.142899367993993e-05,True,103.8872772980762,True,34,34,False,,False
5,5052,159,False,0,5202.131989163025,-3.3299999237060547,15.029999732971191,92.36000061035156,-1904.1000366210938,27614.09912109375,-1179.8999786376953,-2721.9000244140625,-736.6999816894531,-4275.4998779296875,0.0,-0.006536388447779643,-0.03555260903995345,-0.022562398907943464,8804005501172738206,ethernat_cable,6.0,-24.260000228881836,-147.02999877929688,119.66999816894531,-12818.499755859375,16055.799560546875,-998.1999969482422,-355.60001373291016,-2961.400146484375,-4620.899963378906,255.0,128.0,,0.0005658447241829556,1.5345820586835537,0.5799173827614954,True,3.940163473929133,True,4,False,4,,8103191170931081510,Speedfreek52,7.0,-2707.830078125,-399.54998779296875,17.010000228881836,-16695.799560546875,10713.599853515625,2.0999999344348907,-0.3999999910593033,0.0,191.29999160766602,237.0,128.0,0.009579819080564997,2.591824261310432,-0.00011771225325446834,True,14.0,False,False,False,False,,enpitsu,76561198039309853,24.0,943.3699951171875,3247.669921875,17.049999237060547,11517.2998046875,12968.299560546875,2.8999999165534973,-0.29999999329447746,-0.19999999552965164,-2010.5000305175781,255.0,128.0,,0.016763315941994063,0.7754651082561956,3.397908113380646e-05,False,False,27.879716073313066,True,False,False,29.0,games5425898691,bf81d8692db,19.0,-165.8300018310547,591.239990234375,65.02999877929688,3958.3999633789062,-22443.701171875,2991.199951171875,4554.5001220703125,640.6999969482422,-1031.9000244140625,128.0,146.0,,0.10971834283393286,-1.5944967500336495,-0.00864503900472255,True,0.0,False,4,3,False,,
6,6269,203,True,1,1472.8787025121394,-511.04998779296875,4704.58984375,281.29998779296875,-18763.599853515625,27929.19921875,-866.3999938964844,588.1000137329102,1283.0999755859375,5831.5997314453125,1.0,0.7014788481022346,0.2687618779815201,-1.529901232723536,bf81d8692db,games5425898691,19.0,-445.1499938964844,4516.7099609375,274.3399963378906,-4154.4000244140625,21152.80029296875,-333.69998931884766,-5266.7999267578125,-1539.6000671386719,-374.39998626708984,255.0,190.0,,-0.8320671628664965,1.3613343687852442,-0.15854109644919165,True,185.73788391390147,True,22,False,21,,76561198039309853,enpitsu,24.0,526.0,5104.52001953125,17.049999237060547,12.300000190734863,-1430.0,-1.5999999642372131,2.199999988079071,2.5999999046325684,81.80000305175781,255.0,0.0,-0.0164948789741284,-1.575073365766596,7.33638925571566e-05,True,225.10193543793048,True,4,False,4,,Speedfreek52,8103191170931081510,7.0,1598.72998046875,4373.8701171875,17.010000228881836,6094.0997314453125,1095.5999755859375,2.3000000417232513,0.29999999329447746,-0.0,-2152.4000549316406,221.0,9.0,,-0.009534151095532309,2.9552594334823645,-3.56887198072913e-05,True,18,46.0,False,False,16,,ethernat_cable,8804005501172738206,7.0,-395.1300048828125,4975.52978515625,76.04000091552734,-20648.60107421875,-3624.5001220703125,2986.400146484375,1672.4000549316406,-4666.700134277344,-79.0999984741211,255.0,199.0,,-0.149149791793113,0.13065638675345365,-0.028799450380767613,True,115.0,False,18,13,False,,
7,7143,226,False,0,988.9060366887314,-839.1400146484375,4152.72998046875,450.6300048828125,18104.49951171875,15345.10009765625,4982.799987792969,2661.400146484375,-5290.9002685546875,-960.1000213623047,0.0,-0.6511042739514115,2.9455418859661715,0.10690702702751204,8804005501172738206,ethernat_cable,7.0,-1016.3400268554688,4020.4599609375,323.9100036621094,19217.2998046875,12502.5,1838.699951171875,-2485.0999450683594,4796.7999267578125,1031.500015258789,255.0,236.0,False,0.2763262136466377,-0.09347225533384075,0.00824242937939922,True,56.0,False,6,False,5,,8103191170931081510,Speedfreek52,8.0,49.540000915527344,2942.860107421875,17.010000228881836,13969.100341796875,518.3000183105469,2.3000000417232513,-0.29999999329447746,0.0,-2170.8999633789062,215.0,0.0,0.009577394441166301,-0.03007739021800487,3.400697747065924e-05,True,31.0,False,16,6,12,,enpitsu,76561198039309853,24.0,110.9000015258789,4998.93017578125,136.44000244140625,-6008.800048828125,-771.6999816894531,3877.0999145507812,-99.60000038146973,1594.6000671386719,1697.8999328613281,128.0,255.0,,-0.3246779502019457,-2.7099085330129324,-0.05916595850978071,True,4,174.0,False,False,2,,games5425898691,bf81d8692db,19.0,-1179.6300048828125,4153.18017578125,16.989999771118164,14720.2001953125,17672.2998046875,2.0999999344348907,-1.2999999523162842,-1.8000000715255737,-705.5000305175781,255.0,2.0,,0.00958693755591568,0.892873605130012,-0.0002736019557842033,True,2.995793414372249,True,12,12,False,,False
8,7504,239,True,0,1949.558948074061,968.6400146484375,4570.8798828125,95.66999816894531,-2737.3001098632812,9425.399780273438,1106.2999725341797,413.4000015258789,-2850.7998657226562,-5263.2000732421875,0.0,-0.6771061457623159,0.3140500992560449,2.4826700383501352,8804005501172738206,ethernat_cable,6.0,1013.8800048828125,4386.60986328125,73.66999816894531,-12847.80029296875,5470.10009765625,3051.199951171875,-2082.7000427246094,525.6999969482422,-3197.7999877929688,255.0,0.0,,0.009655244917101383,2.869554632015046,0.01679479973592742,True,24.0,False,14,False,13,,8103191170931081510,Speedfreek52,8.0,1017.8200073242188,2964.81005859375,16.989999771118164,-13555.899658203125,-3812.0999145507812,4.4999998807907104,0.5999999865889549,0.0,0.0,239.0,128.0,0.009572234500958928,-2.86745726998001,5.1429974591511563e-05,True,110.0,False,20,6,14,,enpitsu,76561198039309853,24.0,3333.639892578125,4104.3701171875,16.81999969482422,-11056.099853515625,-3517.39990234375,57.5,43.09999942779541,-79.29999828338623,-8.600000143051147,128.0,128.0,False,0.011969857031574115,-2.8348222749656724,0.001069921365391791,True,6,162.0,False,False,6,,games5425898691,bf81d8692db,19.0,-1295.5999755859375,5087.18994140625,99.62999725341797,22924.29931640625,-233.1999969482422,-817.7999877929688,-360.9000015258789,486.3999938964844,549.7000122070312,255.0,96.0,,0.03793854101097901,0.019082381454156302,1.138429177495894,True,209.0,False,20,18,False,,False
9,7788,240,False,0,5117.474607906526,-1.940000057220459,101.2300033569336,105.06999969482422,-1749.6000671386719,29918.30078125,3748.9999389648438,1288.6000061035156,-111.00000381469727,-88.19999694824219,0.0,-0.0036424625691639538,-0.0030083030681458305,0.042957044433044676,8103191170931081510,Speedfreek52,7.0,21.010000228881836,-196.58999633789062,50.13999938964844,1267.5,22796.8994140625,2746.099853515625,-2334.9000549316406,183.79999160766602,-710.2999877929688,204.0,133.0,False,0.04021254483702556,1.4428141656752533,0.0036472781546491896,False,68.0,False,6,False,5,,8804005501172738206,ethernat_cable,6.0,-720.7999877929688,-2649.570068359375,17.010000228881836,6755.3997802734375,11430.899658203125,2.0000000298023224,-0.19999999552965164,-0.7999999821186066,-22.999999523162842,255.0,128.0,0.00958973743886582,1.0334953180012125,8.205630252942743e-05,True,146.0,False,False,False,False,,enpitsu,76561198039309853,24.0,6.050000190734863,521.8499755859375,127.26000213623047,3266.099853515625,-22594.599609375,1940.5000305175781,4208.2000732421875,2992.60009765625,1893.3999633789062,255.0,255.0,,0.8137918536934051,-1.7959157753144077,-0.47173183561978943,True,2,31.0,False,False,1,,games5425898691,bf81d8692db,19.0,-2972.47998046875,4146.009765625,17.010000228881836,-20236.700439453125,2565.2999877929688,2.0000000298023224,-0.3999999910593033,0.0,764.0000152587891,255.0,192.0,,0.009586893987555726,3.0661804794905816,-0.00017270409706391399,True,255.0,False,False,False,False,310.0,
