,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,1325,42.0,False,0,3890.366801631027,2338.85009765625,2978.820068359375,284.9599914550781,-21601.201171875,14956.800537109375,-1656.1000061035156,3192.60009765625,4752.900085449219,-1793.5000610351562,0.0,-0.1610547703576329,-2.8273485017866196,1.5922188230937906,76561198039309853,enpitsu,27.0,2517.06005859375,2877.169921875,208.57000732421875,-19711.99951171875,11766.700439453125,1405.8999633789062,-2081.0000610351562,-4863.800048828125,1504.1000366210938,255.0,128.0,False,0.2241314735881937,2.802080646655223,0.01787463854704114,True,201.0,False,12,False,11,,bf81d8692db,games5425898691,24.0,2142.280029296875,-180.4499969482422,16.989999771118164,-14848.199462890625,10549.49951171875,4.600000083446503,-3.0000001192092896,2.199999988079071,-825.2999877929688,255.0,128.0,,0.009595066763859432,2.478905327542016,1.3727016072954963e-05,True,215.0,False,20,14,False,,Struts3gg,bf3fc230f1b,12,588.3200073242188,4962.7900390625,61.54999923706055,554.3000030517578,-1677.2999572753906,3806.9000244140625,-877.3999786376953,-271.70000076293945,-146.5999984741211,0.0,128.0,False,-0.020343710952653794,-1.2757846570987927,0.00023224362349327392,True,85.0,False,12,13,False,,joffrey2bjoff,454601914555363196,9.0,-2025.989990234375,3773.169921875,17.0,8877.60009765625,11338.199462890625,3.400000035762787,-0.29999999329447746,0.19999999552965164,-567.9999923706055,255.0,128.0,True,0.009536059752506662,0.2609619022047289,1.6261450121446544e-05,True,28,24,False,201.0,False,
1,2552,86.0,True,0,3368.9547737072944,-2666.199951171875,2273.60009765625,507.9100036621094,18324.200439453125,28108.5009765625,-194.69999313354492,-2814.4000244140625,3148.5000610351562,2571.7001342773438,0.0,0.09435094349746108,-2.3844471512836054,1.879904839606051,bf81d8692db,games5425898691,24.0,-2803.159912109375,2097.949951171875,390.6499938964844,12088.499755859375,19139.89990234375,4065.2999877929688,-4917.900085449219,2185.399932861328,-1134.8999786376953,255.0,143.0,,-0.4821210679822488,1.1728166054515885,-0.3729545988589072,True,6.6948215679456,True,34,False,27,,76561198039309853,enpitsu,27.0,-981.8800048828125,-2352.070068359375,17.059999465942383,-5144.000244140625,11527.7001953125,1.1999999731779099,0.0,-0.7000000029802322,0.0,255.0,128.0,False,0.0166975125050387,1.9904984412579643,5.381390051962276e-05,True,67.0,False,20,20,False,,Struts3gg,bf3fc230f1b,12,-2170.360107421875,2782.0,250.72000122070312,-17918.499755859375,-6544.000244140625,4128.699951171875,-114.39999580383301,1503.0999755859375,316.5999984741211,128.0,255.0,,-1.0622724113726638,-2.677968223390039,-0.08826569067194104,True,208.0015482056525,True,22,26,False,,joffrey2bjoff,454601914555363196,9.0,-3230.929931640625,4203.35986328125,16.920000076293945,8398.200073242188,20564.89990234375,17.40000009536743,-14.900000095367432,-34.100000858306885,-1931.300048828125,255.0,0.0,,0.009552350589806583,1.1117849089421,0.00195219305415483,True,48,40,6,255.0,False,
2,2973,92.0,False,0,1450.9615597139639,72.16000366210938,4059.280029296875,419.1499938964844,-9669.199829101562,19703.800048828125,-1936.300048828125,-2846.199951171875,1657.2000122070312,-5015.10009765625,0.0,-0.3288479014906435,1.8202276123495873,0.22591764183102356,bf81d8692db,games5425898691,24.0,121.6500015258789,3880.199951171875,349.8299865722656,-18331.500244140625,13590.6005859375,2872.0999145507812,1470.7000732421875,-3696.7001342773438,-3797.5,255.0,255.0,,-0.26114896240938307,2.549940929879475,-0.9706776646633771,True,161.80122145786083,True,4,False,3,,76561198039309853,enpitsu,27.0,-61.09000015258789,3821.5,247.3300018310547,-379.7999954223633,13876.800537109375,2325.800018310547,555.8000183105469,44.20000076293945,-830.1000213623047,128.0,128.0,,-0.5051656259676366,0.6780987549791874,0.2394543172126288,True,17.0,False,6,4,False,,Struts3gg,bf3fc230f1b,12,-2444.8701171875,2041.2099609375,114.86000061035156,9729.69970703125,16858.499755859375,850.8999633789062,-1811.300048828125,1409.1999816894531,-10.499999523162842,255.0,128.0,,-0.5065179940478065,0.9123325506542094,-0.005694896167540027,True,211.177875239362,True,6,6,False,,joffrey2bjoff,454601914555363196,9.0,193.77000427246094,4412.56982421875,333.7799987792969,-12379.49951171875,-6665.30029296875,1043.7000274658203,-2036.7999267578125,4396.300048828125,2602.60009765625,255.0,233.0,True,0.19373793315753304,-0.8879649039264754,-1.2730956970665446,True,4,False,4,229.94369873436548,True,
3,2979,93.0,True,0,977.0213447586224,-254.10000610351562,4403.43017578125,406.4800109863281,-17800.999755859375,21784.3994140625,3272.6998901367188,-911.9999694824219,-3980.1998901367188,2256.9000244140625,0.0,0.13549570890478793,0.7391716328463351,0.19058969819960142,bf81d8692db,games5425898691,24.0,-270.0799865722656,4227.9501953125,375.2900085449219,-16374.000244140625,15247.60009765625,126.30000114440918,1748.3999633789062,-2102.4000549316406,-2020.5999755859375,255.0,255.0,,-0.24959211089274266,1.8704140723704807,-2.331217982185243,True,143.00518706024337,True,4,False,3,,76561198039309853,enpitsu,27.0,-118.87999725341797,4013.7099609375,236.61000061035156,-4572.300109863281,10713.1005859375,-2017.7000427246094,1520.5999755859375,-3778.3999633789062,1513.2000732421875,128.0,128.0,,-1.073672331237013,1.246895091410888,-0.21475545184841147,True,17.0,False,6,4,False,,Struts3gg,bf3fc230f1b,12,-2153.64990234375,2535.320068359375,126.58000183105469,11434.000244140625,19056.400146484375,-167.00000762939453,-812.3999786376953,631.8999862670898,-3.6000001430511475,255.0,128.0,,-0.07766256407547496,0.9102786927717252,-0.0049864420752587625,True,192.38184084174455,True,6,6,False,,joffrey2bjoff,454601914555363196,9.0,17.43000030517578,4306.83984375,327.3800048828125,-6683.3001708984375,-4316.9000244140625,-2980.1998901367188,-3459.2001342773438,798.8999938964844,-4016.9000244140625,255.0,226.0,True,0.24015464948083565,-1.011139968914902,-2.088490511178384,True,4,False,4,211.14766433674802,True,
4,4053,122.0,False,1,3223.0297843627,-1576.02001953125,3071.89990234375,142.67999267578125,8490.399780273438,11020.10009765625,3512.9998779296875,-1759.4999694824219,-5285.4998779296875,-2005.0999450683594,1.0,0.18062599274975955,2.601628785303813,1.417570213465974,454601914555363196,joffrey2bjoff,9.0,-1654.2900390625,3021.25,16.709999084472656,9124.000244140625,8472.899780273438,-17.5,-13.200000524520874,-25.799999237060547,81.70000076293945,255.0,156.0,,0.0006547000607497892,2.404527664116222,0.0018001682801047439,True,0.0,False,12,False,10,,bf3fc230f1b,Struts3gg,12.0,-1844.1199951171875,-863.4600219726562,17.059999465942383,11438.00048828125,17066.600341796875,1.1999999731779099,0.09999999776482582,0.09999999776482582,0.0,255.0,128.0,False,-0.016781582324612698,2.1612393290334335,-1.5638922763382505e-05,True,250.0,False,14,12,False,,enpitsu,76561198039309853,27,-3628.639892578125,1840.2900390625,17.030000686645508,3282.6998901367188,21949.89990234375,5.099999904632568,-0.0,-0.7000000029802322,-166.20000839233398,255.0,128.0,,-0.016782625155850498,1.7355950801116207,0.00011451555348103875,True,7.0,False,10,10,False,,games5425898691,bf81d8692db,24.0,216.58999633789062,5126.2900390625,17.0,-5904.1998291015625,-7379.000244140625,3.4999999403953552,1.0999999940395355,1.2999999523162842,2089.499969482422,255.0,209.0,,-0.00952365542430771,-0.9489904023837749,-3.9041395560143317e-05,True,10,10,False,207.0,False,
5,4067,123.0,False,1,2507.1078042422473,-1126.010009765625,3657.75,237.64999389648438,11319.200439453125,15187.099609375,3350.5999755859375,1477.2999572753906,-5004.89990234375,-2961.0000610351562,1.0,0.3588854099147855,1.1496544059690832,-2.2058224998944422,454601914555363196,joffrey2bjoff,9.0,-1257.4300537109375,3510.090087890625,90.44000244140625,9872.2998046875,15196.199951171875,2295.399932861328,-5061.099853515625,2142.7000427246094,207.70000457763672,255.0,174.0,,-0.7221448253894028,2.141368081321121,-0.10277697927889926,True,0.0,False,14,False,11,,bf3fc230f1b,Struts3gg,12.0,-1183.719970703125,-51.099998474121094,17.059999465942383,16607.19970703125,11046.99951171875,1.5999999642372131,4.000000059604645,2.199999988079071,-1752.1000671386719,255.0,128.0,False,-0.016784740018030785,2.627910424660293,-3.6853811231979958e-06,True,250.0,False,14,12,False,,enpitsu,76561198039309853,27,-3427.9599609375,2990.64990234375,17.030000686645508,4041.400146484375,22642.099609375,1.0000000149011612,-0.0,-0.09999999776482582,-0.09999999776482582,255.0,128.0,,-0.01678300971956438,1.7474466722309745,1.5062035068474045e-05,True,2.8190107935218442,True,10,10,False,,games5425898691,bf81d8692db,24.0,-159.64999389648438,4705.2001953125,88.66999816894531,-9167.19970703125,-7782.0001220703125,3091.7999267578125,-1079.3000030517578,1649.7000122070312,-685.5000305175781,255.0,128.0,,0.15468047987409275,-0.519975111643446,0.00828523369644251,True,12,10,False,197.63957827065582,True,
6,4333,132.0,False,0,4701.46147339752,-104.33999633789062,505.6700134277344,518.4400024414062,-1964.2999267578125,23655.0,6064.89990234375,5177.19970703125,-2795.7000732421875,338.80001068115234,0.0,-0.19752050622392922,-2.9673342503414424,2.1963505010819198,bf81d8692db,games5425898691,24.0,-137.64999389648438,410.07000732421875,383.92999267578125,1425.8000183105469,13903.900146484375,149.79999542236328,-3008.900146484375,-70.50000190734863,4603.399963378906,255.0,101.0,,-0.18529050775538816,1.3320640002877953,0.745778282820085,True,52.234340024250834,True,14,False,13,,76561198039309853,enpitsu,27.0,1083.989990234375,-1364.6800537109375,17.049999237060547,-11308.800048828125,751.6999816894531,6.700000166893005,0.5000000074505806,-1.4000000059604645,3.3000001311302185,0.0,0.0,False,0.016920241610774978,-0.06577210259716955,-5.464837179210324e-05,True,167.0,False,12,12,False,,Struts3gg,bf3fc230f1b,12,1423.969970703125,-57.310001373291016,62.650001525878906,-11244.100341796875,18376.099853515625,3146.4999389648438,-92.89999961853027,-45.999999046325684,-339.00001525878906,255.0,128.0,False,0.017643039701528952,2.049458043544192,0.0007866984977847915,True,0.0,False,15,18,False,,joffrey2bjoff,454601914555363196,9.0,-92.7300033569336,727.3099975585938,516.3599853515625,-9881.699829101562,-15686.099853515625,3553.2998657226562,2776.300048828125,3177.2000122070312,468.3000183105469,255.0,128.0,True,-0.25683205790080943,-1.0032185036813157,-2.882154415764281,True,20,16,4,27.0,False,
7,4556,141.0,True,1,5176.216763926434,2703.949951171875,289.7900085449219,317.3399963378906,-11000.699462890625,21582.7001953125,2116.3999938964844,2881.4999389648438,-288.8999938964844,5254.7998046875,1.0,-0.4475070579503988,0.07935591108320457,0.6285793911047143,bf3fc230f1b,Struts3gg,12.0,2769.389892578125,102.01000213623047,247.8300018310547,-815.5999755859375,13041.500244140625,43.60000133514404,-1272.3999786376953,5022.200012207031,1846.0000610351562,128.0,0.0,True,0.3980769093347424,1.3909775889953013,2.725128665242877,True,157.98508380049017,True,20,False,17,,454601914555363196,joffrey2bjoff,9.0,3432.070068359375,161.66000366210938,16.989999771118164,-4487.300109863281,-22530.2001953125,3.1999999284744263,-0.19999999552965164,-0.5000000074505806,-1876.300048828125,255.0,0.0,False,-0.009611515842346024,-1.308247541130387,-6.082921052268752e-05,True,50.0,False,20,16,4,,enpitsu,76561198039309853,27,3653.06005859375,862.7000122070312,16.34000015258789,-12479.7998046875,-2654.89990234375,154.0999984741211,24.200000762939453,-145.600004196167,2062.2999572753906,255.0,255.0,,-0.008582374527428462,-0.24046075636603728,-0.00019666558917432402,True,116.0,False,16,16,False,,games5425898691,bf81d8692db,24.0,-865.9000244140625,1678.0400390625,16.989999771118164,-8138.0999755859375,-16383.599853515625,4.799999892711639,-0.09999999776482582,0.19999999552965164,1955.2000427246094,255.0,255.0,,-0.00961937102443099,-1.1796480983577753,3.098789244069385e-05,True,16,16,False,204.0,False,
8,5173,154.0,False,0,3833.0017832439844,-3981.7900390625,2866.280029296875,187.0500030517578,4583.0999755859375,25595.6005859375,2126.699981689453,-3232.6998901367188,-483.10001373291016,5031.400146484375,0.0,0.4558992362104385,0.37792015031258225,1.0449330841446633,bf81d8692db,games5425898691,24.0,-3907.43994140625,2657.27001953125,220.6199951171875,153.29999923706055,19598.800048828125,-52.800002098083496,-3911.4999389648438,-2871.4999389648438,2589.2001342773438,255.0,211.0,,0.4604164327036254,2.00454966671897,0.20658385580672994,True,173.00651173437797,True,10,False,9,,76561198039309853,enpitsu,27.0,3507.25,-483.19000244140625,17.049999237060547,-1155.199966430664,-22911.59912109375,2.7000001072883606,-0.5000000074505806,-6.200000047683716,-874.0000152587891,255.0,128.0,,0.01679550184375038,-1.654557056257072,-0.00010055733815483972,False,0.0,False,4,2,2,,Struts3gg,bf3fc230f1b,12,-3917.64990234375,2822.530029296875,33.099998474121094,-2159.199981689453,-7578.900146484375,765.5000305175781,-551.3999938964844,1132.0999908447266,-1240.199966430664,255.0,0.0,False,-0.07780932576959251,-1.822315081794606,-0.32028468375589214,True,244.0,False,4,4,False,,joffrey2bjoff,454601914555363196,9.0,-2408.47998046875,3234.320068359375,17.0,-427.2999954223633,-8573.800048828125,3.799999952316284,0.0,0.0,3076.9000244140625,255.0,255.0,False,0.009552374981051255,-1.3652061991365652,4.201116381701242e-05,True,6,6,False,202.0,False,
9,5263,157.0,True,0,1397.370803222382,474.0899963378906,4865.22998046875,123.23999786376953,9419.7998046875,18854.300537109375,6227.8997802734375,3720.5999755859375,2121.3999938964844,4201.9000244140625,0.0,1.0905405563633326,-1.4718588705919702,0.5483189860172258,bf81d8692db,games5425898691,24.0,502.75,4695.75,15.960000038146973,15306.199951171875,14565.10009765625,135.10000228881836,-165.79999923706055,-187.80000686645508,805.5999755859375,,255.0,True,0.007487420885038785,0.8256425886544357,0.03628051819686327,True,59.0,False,10,False,10,,76561198039309853,enpitsu,27.0,1143.949951171875,-3026.919921875,17.049999237060547,-909.8999786376953,17518.199462890625,2.5999999046325684,0.0,-0.5999999865889549,-55.0,255.0,,,0.01678769376381364,1.6164305833840242,7.016528637582178e-05,True,255.0,False,4,2,2,,Struts3gg,bf3fc230f1b,12,-453.5,3744.219970703125,17.030000686645508,16025.999755859375,15371.600341796875,5.299999713897705,4.600000083446503,4.699999988079071,-1399.9000549316406,,128.0,,0.016829447547352272,0.7006332411577644,-4.819695253280168e-05,True,157.0,False,4,4,False,,joffrey2bjoff,454601914555363196,9.0,-1279.760009765625,5097.43994140625,208.41000366210938,-306.5999984741211,617.7999877929688,-1150.2999877929688,-1561.6999816894531,3825.5999755859375,1447.2000122070312,255.0,0.0,,-1.376991613191798,-3.1180658263597705,-1.8307211973997202,True,8,8,False,114.0,False,
