,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect
0,308,5,False,0,3760.201967547988,1573.030029296875,2303.97998046875,820.0,-7827.0001220703125,16333.399658203125,-2533.2000732421875,-1078.6000061035156,1515.3999328613281,-559.1999816894531,0.0,-0.03403333687115408,2.9239905817407306,-0.005460311227162372,76561198168006525,123,15.0,1615.6700439453125,2135.550048828125,685.1699829101562,-10747.7001953125,11673.599853515625,-2103.699951171875,88.59999656677246,1231.9999694824219,-218.09999465942383,255.0,255.0,,-1.1986571130336303,2.8748861841374613,1.830161271859731,True,4,False,4,67.0,False,,76561198141839918,BurakYılmaz,21.0,3022.330078125,-1879.199951171875,17.010000228881836,13039.599609375,1158.7999725341797,2.3999999463558197,0.5000000074505806,0.0,2526.7999267578125,255.0,255.0,True,0.00956638871500675,0.1766152052382315,4.0015805985055724e-05,True,4,31.0,False,False,4,,enpitsu,76561198039309853,26.0,1735.9000244140625,2911.330078125,17.059999465942383,-7987.5,6157.9998779296875,-2.8999999165534973,-2.0000000298023224,1.899999976158142,-2264.2999267578125,255.0,128.0,,0.0167089440778067,2.464172378071492,-0.00012645840969228615,True,29.673488145233485,True,2,False,2,,games5425898691,bf81d8692db,24.0,948.9199829101562,3036.110107421875,391.75,11705.6005859375,-14020.2001953125,4024.89990234375,920.8999633789062,713.6000061035156,-494.70001220703125,255.0,128.0,,-0.6270826403066789,-0.5985152426045811,-0.1951817815556382,True,171.08448161873767,True,False,False,4,
1,1169,36,False,0,2790.483739748994,1146.6800537109375,3238.8798828125,142.02999877929688,-11184.200439453125,23539.09912109375,1103.3999633789062,-3349.4000244140625,-837.7999877929688,23.299999237060547,0.0,-0.7148965948695518,1.2645620732996334,-1.9345861831482516,76561198141839918,BurakYılmaz,22.0,1284.969970703125,3051.18994140625,45.220001220703125,-5975.2001953125,21987.2998046875,3108.3999633789062,-385.8000183105469,-152.7999973297119,2332.100067138672,255.0,255.0,False,0.01821505755914763,2.011631242388962,0.00042986153096751455,True,16,False,14,87.0,False,,76561198168006525,123,15.0,458.9800109863281,2840.14990234375,17.010000228881836,-10421.300048828125,17222.80029296875,2.5,1.8000000715255737,-1.1999999731779099,1857.7999877929688,248.0,255.0,,0.009653756744686923,2.172268036348281,0.0001663151892985083,True,14,78.0,False,4,10,,enpitsu,76561198039309853,26.0,294.6000061035156,-1195.989990234375,17.059999465942383,-7679.69970703125,10329.3994140625,2.0999999344348907,0.0,-0.09999999776482582,-2342.100067138672,255.0,128.0,False,0.016728487829431225,2.143402023564825,1.7513069086144073e-05,True,204.0,False,10,False,10,,games5425898691,bf81d8692db,24.0,200.8800048828125,3973.760009765625,17.010000228881836,19046.600341796875,2611.300048828125,0.0,0.0,0.0,-1987.7000427246094,255.0,0.0,,0.009581429584555372,0.064226104882446,-2.1459041349856623e-05,True,0.15295472965445578,True,12,4,14,
2,1971,65,False,1,2199.5230616905797,-743.6500244140625,3673.89990234375,356.3299865722656,7061.6998291015625,11740.30029296875,-680.9999847412109,-432.90000915527344,-1832.8999328613281,5696.6998291015625,1.0,-0.2112320525278485,-0.3659912548922833,0.31336376175196146,bf81d8692db,games5425898691,24.0,-807.6199951171875,3510.02001953125,263.6300048828125,17538.499755859375,5642.8997802734375,3211.4999389648438,2388.3999633789062,2840.5999755859375,4059.1000366210938,255.0,14.0,,0.42777319716246,2.8246894613968623,0.983938468752683,True,22,4,17,72.80871373863633,True,,76561198039309853,enpitsu,26.0,-1524.1199951171875,3249.550048828125,17.030000686645508,13441.800537109375,-8333.099975585938,5.199999809265137,-0.0,0.5999999865889549,0.0,255.0,128.0,,-0.01674387541894248,-2.5866304823775996,3.8138142408925946e-05,True,20,139.0,False,False,16,,123,76561198168006525,15.0,-819.260009765625,4253.52001953125,484.6099853515625,-647.6000213623047,4475.0,486.5999984741211,2142.899932861328,4672.099914550781,-1466.9999694824219,128.0,220.0,,0.48672347910179387,-0.7845554506403353,1.3739395856000012,True,154.0,False,20,6,14,,BurakYılmaz,76561198141839918,21.0,-578.739990234375,4300.009765625,17.010000228881836,-1699.2999267578125,7840.0,2.5999999046325684,-0.29999999329447746,4.4999998807907104,1001.3999938964844,255.0,255.0,,-0.009519164656481924,1.4285920830372802,0.0004791112313093689,True,20.0,False,30,False,30,
3,2029,67,False,1,1167.9391122408585,852.7999877929688,3972.860107421875,297.7200012207031,-852.6999664306641,8794.199829101562,6986.5997314453125,2222.4000549316406,-344.70001220703125,5562.5,1.0,-0.003516615425250035,0.04541348820560631,1.3781799905431524,76561198039309853,enpitsu,26.0,876.9099731445312,3845.570068359375,179.72000122070312,10076.300048828125,14333.699951171875,2859.4000244140625,-806.6999816894531,-2148.5000610351562,-2471.4999389648438,128.0,255.0,,0.7668583393768018,-3.0590909382963845,0.20718448317632826,True,22,False,17,108.0,False,,bf81d8692db,games5425898691,24.0,3089.449951171875,4026.159912109375,17.010000228881836,14188.800048828125,-10415.799560546875,2.3999999463558197,0.29999999329447746,-0.09999999776482582,-1969.4999694824219,255.0,0.0,,-0.00959101298717446,-2.4370118365504445,-3.698177178839855e-05,True,22,255.0,False,4,18,,123,76561198168006525,15.0,-70.44000244140625,4836.43994140625,16.989999771118164,5483.0999755859375,772.0999908447266,4.600000083446503,-0.5999999865889549,-3.400000035762787,338.80001068115234,249.0,128.0,,-0.009727686408843398,2.9763706796577885,-0.00013105136613072765,True,81.0,False,20,6,14,,BurakYılmaz,76561198141839918,22.0,590.6699829101562,4823.64990234375,68.5,7149.2999267578125,-2020.0,-2534.9000549316406,831.8000030517578,-269.89999771118164,592.7999877929688,128.0,255.0,,0.14107868224314452,-2.539689414103938,-0.48568164704153227,True,0.0,False,32,False,32,
4,3559,123,True,0,939.7524048361681,34.959999084472656,5011.75,524.6099853515625,-139.0999984741211,19763.00048828125,-3523.900146484375,-4427.39990234375,-2568.699951171875,3130.2999877929688,0.0,-0.18241414812531934,-1.2342026998969093,-1.71041273632399,76561198141839918,BurakYılmaz,22.0,38.619998931884766,4838.43994140625,540.219970703125,2717.0001220703125,11332.2998046875,2425.500030517578,-5408.3001708984375,-999.5999908447266,10.499999523162842,0.0,255.0,False,0.2659503508209017,2.3072522247924216,2.702145732470089,True,58,8,50,49.6648602998385,True,,76561198168006525,123,15.0,322.30999755859375,4101.7099609375,17.010000228881836,-10092.999877929688,-4702.5,2.0999999344348907,0.5999999865889549,0.0,-0.5000000074505806,232.0,128.0,False,0.009542082372684257,-2.705690641557163,5.22500317522866e-05,True,42,216.0,False,12,30,,enpitsu,76561198039309853,26.0,1257.699951171875,4585.259765625,17.059999465942383,-15234.3994140625,6472.9998779296875,1.2999999523162842,0.0,-0.09999999776482582,168.70000839233398,255.0,128.0,False,0.016846297788955942,2.755093210608291,-6.983531656472575e-05,True,0.0,False,10,False,10,,games5425898691,bf81d8692db,24.0,-96.91999816894531,5142.18994140625,317.2200012207031,1247.9000091552734,3268.2998657226562,893.4999847412109,3142.0001220703125,-4066.7001342773438,1959.2999267578125,255.0,0.0,,-0.07642946811959518,-0.9270760444868115,1.7718785214150246,True,0.0,False,37,4,42,
5,4099,133,False,0,2957.585613280501,-3146.56005859375,3221.070068359375,95.83000183105469,-12438.499755859375,14248.599853515625,-1610.0,587.7999877929688,1977.1000671386719,-1198.7999725341797,0.0,-0.5403388177289571,-2.938771787601293,-0.9870089997768581,76561198141839918,BurakYılmaz,22.0,-3130.0400390625,3058.2900390625,17.010000228881836,-12644.300537109375,9476.300048828125,2.199999988079071,-4.699999988079071,3.6000001430511475,866.6999816894531,128.0,255.0,False,0.009646320798158175,2.4884027671066518,0.0001102228464412785,True,8,False,6,194.0,False,,76561198168006525,123,15.0,-3096.31005859375,-266.6499938964844,17.010000228881836,-8564.600219726562,16701.800537109375,2.199999988079071,-1.0999999940395355,1.899999976158142,-1768.3000183105469,255.0,117.0,,0.00957454809554538,1.9690643328375546,-5.799127256397075e-06,True,6,255.0,False,False,6,,enpitsu,76561198039309853,26.0,-41.36000061035156,5121.97021484375,17.049999237060547,0.09999999776482582,1.5999999642372131,2.5999999046325684,-0.5000000074505806,1.1999999731779099,0.0,128.0,128.0,False,0.016872898043364774,-3.064851766081692,-3.7914329091752984e-05,True,255.0,False,4,False,4,,games5425898691,bf81d8692db,24.0,-2629.830078125,4821.77001953125,17.010000228881836,-16972.60009765625,1905.3999328613281,2.199999988079071,-2.199999988079071,-0.09999999776482582,1246.6000366210938,255.0,255.0,,0.009564307726139004,3.039494235287257,0.00016495071648794422,True,169.0,False,4,False,4,
6,5555,186,False,0,1495.1896366158255,-1483.760009765625,3765.179931640625,93.13999938964844,20077.60009765625,12977.099609375,0.0,-4449.2999267578125,1468.8999938964844,-834.8999786376953,0.0,-0.8172327318030603,-2.4635383948063683,2.573014604037482,76561198168006525,123,15.0,-1667.800048828125,3741.639892578125,106.13999938964844,15245.50048828125,17129.000244140625,365.29998779296875,-5380.7000732421875,-818.1999969482422,792.5,255.0,99.0,,0.7898264880186275,0.42737816065550144,-1.1200686693631696,True,20,6,13,0.0,False,,76561198141839918,BurakYılmaz,22.0,-2071.580078125,-1027.9300537109375,17.010000228881836,-884.7000122070312,13424.599609375,2.3000000417232513,-0.09999999776482582,0.09999999776482582,-2242.5,255.0,0.0,False,0.009552033734532646,1.5699646413241868,-1.1601197943343399e-05,True,28,31.0,False,6,18,,enpitsu,76561198039309853,26.0,-2792.510009765625,3222.89990234375,17.030000686645508,12821.099853515625,19092.5,5.199999809265137,-0.09999999776482582,-0.19999999552965164,-1.8000000715255737,255.0,128.0,False,0.016780244061600665,0.9792285426897159,2.312193463901654e-05,True,0.0,False,18,False,16,,games5425898691,bf81d8692db,24.0,-500.5,3491.590087890625,17.010000228881836,-6492.0001220703125,21152.099609375,2.0999999344348907,0.9000000357627869,-2.5999999046325684,1163.1999969482422,255.0,148.0,,0.009601514350296513,1.935404386543292,-6.859561829739755e-05,True,67.0,False,16,False,20,
7,6283,213,True,1,3707.015661146543,-2029.469970703125,2863.25,105.31999969482422,21625.30029296875,20212.900390625,7195.7000732421875,4765.799865722656,-986.2000274658203,-3508.9999389648438,1.0,0.29036938223459674,2.882718899466238,2.1881295039431627,76561198039309853,enpitsu,26.0,-2173.110107421875,2710.489990234375,45.54999923706055,8212.80029296875,20502.099609375,2564.8001098632812,-6.499999761581421,-11.59999966621399,83.90000343322754,128.0,0.0,False,-0.01703529086883812,1.8995468510044942,-0.001085551512079925,True,24,False,20,195.0,False,,bf81d8692db,games5425898691,24.0,2773.39990234375,1130.8900146484375,17.010000228881836,-14118.499755859375,-14795.30029296875,2.199999988079071,-0.0,-0.0,-952.0999908447266,128.0,70.0,,-0.009636250112947033,-0.7688302221835868,1.6627875490854826e-05,True,26,225.0,False,False,22,,123,76561198168006525,15.0,-3883.179931640625,4000.840087890625,72.83000183105469,-8585.0,-12430.0,439.3000030517578,599.5999908447266,232.99999237060547,2426.1000061035156,255.0,255.0,False,0.006049195659054907,-1.0110529246204953,-0.7143378271799428,True,255.0,False,28,8,20,,BurakYılmaz,76561198141839918,21.0,-366.0400085449219,4787.10009765625,17.010000228881836,-1645.2999877929688,56.79999828338623,2.0999999344348907,-0.3999999910593033,0.3999999910593033,0.0,255.0,128.0,False,-0.009490209498473385,0.03457771951012814,-3.999220949886275e-05,True,,False,22,8,34,
8,6577,214,False,1,5206.0586499343635,-1.6299999952316284,11.90999984741211,93.80000305175781,-1324.4999694824219,26134.599609375,2589.4000244140625,5749.6002197265625,646.9999694824219,1588.3999633789062,1.0,0.006777033309865661,-0.01834282507383679,-0.06560786424821818,bf81d8692db,games5425898691,24.0,-8.210000038146973,-120.45999908447266,84.6500015258789,-1460.0999450683594,20496.10107421875,-115.20000457763672,-4266.199951171875,-65.50000190734863,-3470.5999755859375,128.0,128.0,,-1.315896989594595,2.120592936309513,-0.6528944608495361,True,4,False,3,31.0,False,,76561198039309853,enpitsu,26.0,-0.0,-2522.030029296875,17.049999237060547,-0.0,8748.099975585938,2.5999999046325684,1.0000000149011612,-0.0,0.0,255.0,,,-0.016731457360090674,1.5707747324698187,1.805487853338757e-07,True,False,116.0,False,False,False,,123,76561198168006525,15.0,-2913.31005859375,4085.780029296875,17.010000228881836,-17573.199462890625,-1776.7999267578125,2.199999988079071,-1.5000000596046448,-0.19999999552965164,1361.3999938964844,255.0,255.0,,-0.009581891470239542,-0.11611534808021338,0.0001732511171910424,True,255.0,False,False,False,False,50.0,BurakYılmaz,76561198141839918,21.0,43.09000015258789,235.67999267578125,123.30999755859375,-275.40000915527344,-22857.099609375,-428.3000183105469,5499.69970703125,-48.400001525878906,-0.29999999329447746,255.0,128.0,,-0.8567473663580488,1.579469796706239,-3.141426863003663,True,6.0,False,3,False,4,
9,7023,230,False,1,2660.201441752701,-1554.8800048828125,4105.66015625,101.5,17208.299560546875,17616.300048828125,1315.2000427246094,-3461.9000244140625,4069.89990234375,2729.4000244140625,1.0,0.637879493574703,-1.787385991934461,-2.2966085737063064,76561198039309853,enpitsu,26.0,-1638.6800537109375,3945.929931640625,125.54000091552734,9140.700073242188,20752.900390625,3440.4000854492188,-0.0,-0.09999999776482582,227.09999084472656,255.0,0.0,,-0.01693723700184226,1.8894748032510753,-0.0013540675251389191,True,6,False,3,109.0,False,,bf81d8692db,games5425898691,24.0,3075.840087890625,-3469.0,16.989999771118164,3152.60009765625,-20945.400390625,4.699999988079071,-0.0,-0.0,-1557.8999328613281,255.0,0.0,,-0.00959518093458768,-1.688720300754913,-0.0001902221374697268,True,8,0.0,False,False,8,,123,76561198168006525,15.0,-1788.6199951171875,4305.1298828125,80.6500015258789,19333.199462890625,-3095.4000854492188,-1290.0,1347.7000427246094,5306.300048828125,-525.2000045776367,255.0,0.0,,-0.09762645967295196,1.8220357988505111,0.794862598784944,True,93.76539357246891,True,False,False,3,,BurakYılmaz,76561198141839918,22.0,-1932.3299560546875,4044.47998046875,21.950000762939453,15806.300048828125,-8505.499877929688,3000.5999755859375,3.400000035762787,-3.700000047683716,506.50001525878906,255.0,255.0,,-0.009678899924511302,-2.643792483197193,8.373074380300108e-05,True,209.0,False,8,4,11,
