,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,314,5,True,1,2496.1118965894952,914.9400024414062,2643.9599609375,193.35000610351562,-13404.7998046875,24124.3994140625,2859.89990234375,1928.2000732421875,-5513.599853515625,-703.8999938964844,1.0,-0.9206170874768519,-1.1420587160349245,-2.459389538015779,4901663167694855774,raDaMElFALcAo190,17.0,1030.6300048828125,2406.070068359375,150.66000366210938,-18398.499755859375,13660.0,1973.800048828125,-3076.4999389648438,-1903.8999938964844,-918.3999633789062,255.0,128.0,,0.17663676196829645,0.9711157842621051,0.05063018521042291,True,3,False,139.0,False,4,,1687849446689880086,SeaVen__,11.0,2997.85009765625,4890.14990234375,728.0900268554688,230.30000686645508,-73.09999942779541,-2779.1000366210938,-374.1999816894531,180.0,-405.40000915527344,239.0,128.0,,-0.6935168546601941,-2.054576811464526,0.6635755877550531,True,,False,False,6,6,,enpitsu,76561198039309853,26.0,2953.199951171875,4090.14990234375,17.030000686645508,-1282.5999450683594,-10846.8994140625,5.899999737739563,-0.19999999552965164,-1.8000000715255737,-2568.699951171875,255.0,0.0,False,-0.01672588217928887,-1.3844391779499852,-0.00018373341851854724,True,255.0,False,2,False,False,,games5425898691,bf81d8692db,24.0,-2312.60009765625,2948.8798828125,16.989999771118164,11680.799560546875,19808.1005859375,4.399999976158142,-0.19999999552965164,-0.3999999910593033,0.0,255.0,128.0,,-0.009592198144753681,2.103614428492599,5.5371711497810805e-05,True,202.0,False,4,False,4,
1,1123,25,False,1,2996.13545682828,-1938.1099853515625,4168.06982421875,97.02999877929688,20593.5009765625,8049.4000244140625,965.9999847412109,4659.5001220703125,3377.0001220703125,-1698.3000183105469,1.0,0.3627447354190526,-0.10073200081976015,2.904519201649184,1687849446689880086,SeaVen__,11.0,-2090.719970703125,4053.989990234375,17.010000228881836,13692.19970703125,4727.5,1.899999976158142,0.5999999865889549,0.29999999329447746,2.3000000417232513,255.0,128.0,,-0.00958659712243203,2.8087318564678294,-4.7135560317550084e-05,True,8,False,139.0,False,8,,4901663167694855774,raDaMElFALcAo190,17.0,-1256.5400390625,2720.4599609375,17.010000228881836,8124.2999267578125,504.3000030517578,2.3000000417232513,-0.0,-0.0,-2503.0999755859375,255.0,3.0,False,-0.009512710885749913,3.108040383810851,-1.845265758600452e-05,True,255.0,False,False,8,6,,enpitsu,76561198039309853,26.0,-1544.68994140625,4288.18017578125,98.69999694824219,-20963.20068359375,-4118.599853515625,3415.5999755859375,-242.80000686645508,-3512.0999145507812,-2013.800048828125,255.0,128.0,False,-0.2256430733862162,-0.25549517574474606,-0.004092673701703277,True,176.0,False,12,9,False,,games5425898691,bf81d8692db,24.0,-1321.3699951171875,4786.16015625,61.5099983215332,3355.7000732421875,-8406.300048828125,2969.2999267578125,-2862.0999145507812,448.1999969482422,-489.70001220703125,255.0,53.0,,0.3866181532035884,-1.8628820903331542,-0.3108994644319644,True,255.0,False,8,False,6,
2,1280,31,False,1,1727.49000561367,715.27001953125,3421.989990234375,231.8699951171875,-5561.199951171875,6730.9002685546875,7028.900146484375,3031.7999267578125,1427.5999450683594,4976.7999267578125,1.0,0.5419695162358389,-1.64787589625074,-2.746354465598525,1687849446689880086,SeaVen__,11.0,839.030029296875,3405.5,169.66000366210938,10825.799560546875,18386.300048828125,42.10000038146973,-1935.2000427246094,-5118.0999755859375,-555.9999847412109,255.0,239.0,,0.15688323027245119,1.9582163259616083,-1.310484708508674,True,11,False,8.0,False,12,,4901663167694855774,raDaMElFALcAo190,16.0,-3022.219970703125,2505.469970703125,17.010000228881836,8197.5,-11204.300537109375,2.199999988079071,-0.09999999776482582,-0.0,1767.1000671386719,255.0,233.0,,-0.009589812260540039,-2.24191820962005,9.625475432145125e-05,True,193.0,False,False,10,8,,enpitsu,76561198039309853,26.0,-1929.1199951171875,3915.179931640625,17.059999465942383,16688.299560546875,11289.300537109375,1.2999999523162842,-0.09999999776482582,-0.0,-0.5999999865889549,255.0,128.0,,-0.01677194085846102,2.5469112937938156,1.03466671580402e-05,True,124.0,False,12,10,False,,games5425898691,bf81d8692db,24.0,-173.2100067138672,4104.8701171875,155.8800048828125,909.4000244140625,981.1000061035156,-866.5000152587891,3794.5999145507812,32.40000009536743,-384.0999984741211,255.0,128.0,,-0.6703315804344748,2.2813279260310946,-0.4132593336207055,True,227.0,False,10,False,10,
3,1551,41,True,1,1599.6425230987427,22.3700008392334,3799.989990234375,498.25,-2326.4999389648438,23564.3994140625,-5568.0999755859375,-2328.5000610351562,-4185.0,1856.6000366210938,1.0,1.4319992685725464,2.976214177931356,1.491521904773889,4901663167694855774,raDaMElFALcAo190,16.0,58.290000915527344,3559.5400390625,465.6300048828125,2250.0999450683594,15984.000244140625,2759.4000244140625,2090.800018310547,-4578.699951171875,-2216.6000366210938,255.0,128.0,,0.37232809765900676,1.1622307379308263,2.266595269566046,True,10,4,179.84752689638444,True,14,,1687849446689880086,SeaVen__,11.0,-2494.35009765625,1282.9000244140625,49.150001525878906,-9851.300048828125,-9885.30029296875,3536.300048828125,370.8000183105469,-362.7000045776367,272.7000045776367,255.0,176.0,,-0.022529545546808572,-0.8052545948168085,-1.559939727533787e-05,,0.0,False,4,16,12,,enpitsu,76561198039309853,26.0,18.209999084472656,4216.9599609375,204.69000244140625,2507.7000427246094,-9272.80029296875,3643.3999633789062,-1096.1000061035156,-367.7000045776367,-255.30000686645508,255.0,0.0,,0.6408325810982743,-1.7312003430436216,0.04731928289389875,True,91.74070539269395,True,16,13,False,,games5425898691,bf81d8692db,24.0,181.7899932861328,-1549.02001953125,586.260009765625,1015.1999664306641,-14088.00048828125,-8679.000244140625,-2.3000000417232513,-93.50000381469727,-1249.8999786376953,255.0,0.0,,0.07217510397899929,-1.2536118840498742,0.3286206530500339,True,8.0,False,14,False,12,
4,2043,50,False,1,5647.871202460276,-2515.360107421875,638.77001953125,120.2699966430664,8923.099975585938,17844.200439453125,6002.2998046875,1910.2999877929688,-3769.89990234375,-368.69998931884766,1.0,0.9028814292426358,-2.571288801842514,2.9713140781779295,1687849446689880086,SeaVen__,11.0,-2625.9599609375,496.7799987792969,17.0,6846.500244140625,17265.699462890625,3.3000001311302185,1.0000000149011612,2.5999999046325684,-654.0000152587891,243.0,128.0,,-0.009598068197520808,1.9959509981516694,9.81917238786645e-05,True,False,False,207.0,False,False,,4901663167694855774,raDaMElFALcAo190,16.0,-2995.080078125,291.2699890136719,16.989999771118164,6137.7001953125,14939.599609375,4.4999998807907104,-0.0,-0.19999999552965164,-36.600000858306885,255.0,127.0,False,-0.009592462093180789,1.9646958846783547,3.869012169977706e-05,True,140.0,False,False,8,8,,enpitsu,76561198039309853,26.0,-865.469970703125,2965.679931640625,17.049999237060547,5861.9000244140625,14995.400390625,2.5999999046325684,-0.7000000029802322,-0.0,0.0,128.0,128.0,,-0.01679040186393082,1.943457358789516,2.5731641063729568e-05,True,5.0,False,2,2,False,,games5425898691,bf81d8692db,24.0,2311.6201171875,-4150.14013671875,16.989999771118164,22965.90087890625,-1251.1000061035156,2.199999988079071,-0.5000000074505806,-0.3999999910593033,-0.09999999776482582,255.0,128.0,,-0.009634550902541917,-3.087146455161679,4.5271762329479484e-05,False,13.325918138668106,True,6,False,6,
5,2428,64,False,0,3735.89170972836,581.6599731445312,1708.760009765625,227.60000610351562,578.6000061035156,19546.300048828125,2196.3999938964844,117.10000038146973,915.0,-4382.39990234375,0.0,-0.8980499225168663,1.6306439732190903,-1.4085366047370258,76561198039309853,enpitsu,26.0,504.5400085449219,1653.1099853515625,111.36000061035156,-2140.500030517578,18252.2998046875,-1121.9999694824219,-1005.8999633789062,-4768.0999755859375,104.79999542236328,255.0,128.0,False,-0.490678619647917,0.19556595154507264,2.4250652597665208,True,8,False,52.0,False,8,,bf81d8692db,games5425898691,24.0,409.3999938964844,-949.1699829101562,17.010000228881836,13953.499755859375,1891.4999389648438,2.0999999344348907,-2.7000001072883606,-0.09999999776482582,-452.79998779296875,255.0,56.0,,0.009577802944109122,0.12209223470629256,8.276133694024547e-05,True,200.0,False,False,10,10,,SeaVen__,1687849446689880086,11.0,491.6499938964844,1937.1700439453125,166.52999877929688,7269.89990234375,-14758.299560546875,4972.9998779296875,32.69999980926514,22.5,239.69999313354492,255.0,128.0,,0.017118615597075316,-0.9331098940528413,-0.0014033095931596303,True,240.0,False,8,6,4,,raDaMElFALcAo190,4901663167694855774,16.0,-437.8500061035156,4649.259765625,17.010000228881836,6524.4000244140625,-10.800000429153442,2.0999999344348907,-1.0000000149011612,-1.7000000178813934,-60.0,255.0,128.0,False,0.00961962775566036,-0.011280354338150644,9.140610808527798e-05,True,198.0,False,10,False,10,
6,2927,82,False,1,3943.098156771669,1418.4000244140625,1231.6600341796875,802.6799926757812,-9125.800170898438,21988.40087890625,1204.3000030517578,-1419.4999694824219,2050.800018310547,-1094.8999786376953,1.0,0.2507676124935849,3.0175815458224906,-0.9146243393337017,1687849446689880086,SeaVen__,11.0,1409.3800048828125,1064.3199462890625,716.3099975585938,-14311.400146484375,15534.89990234375,4966.000061035156,-1552.5,-1840.3999328613281,-4944.89990234375,128.0,128.0,,0.5762990689088446,1.7850091416115097,0.37346862420266036,True,10,8,136.67944925062116,True,16,,4901663167694855774,raDaMElFALcAo190,16.0,426.739990234375,880.969970703125,17.010000228881836,-6770.30029296875,16213.599853515625,0.0,-0.0,-0.0,24.100000858306885,255.0,128.0,False,-0.00960151347995834,1.1724120577362278,-2.3149275087058196e-05,True,124.2783140238895,True,False,16,16,,enpitsu,76561198039309853,26.0,824.969970703125,3741.360107421875,17.059999465942383,-8033.0999755859375,11589.200439453125,1.2999999523162842,-0.0,-0.7000000029802322,0.0,0.0,128.0,False,-0.016811019750692935,-2.176909633332187,-5.13141783133103e-05,True,230.0,False,10,10,False,,games5425898691,bf81d8692db,24.0,-1463.0,2878.97998046875,17.010000228881836,-5069.5001220703125,19302.39990234375,2.0999999344348907,-0.0,0.7000000029802322,-1311.0000610351562,255.0,34.0,,-0.009598823006429147,1.3515341205879907,-0.00011011190691095701,True,214.0,False,16,False,16,
7,3690,110,True,1,459.70827801189273,440.5,5077.93994140625,542.489990234375,-4322.900085449219,3403.900146484375,-8671.799926757812,5280.8001708984375,1472.2999572753906,-2438.2000732421875,1.0,-0.3748533297082052,2.3264362241646155,-2.8722919306641543,4901663167694855774,raDaMElFALcAo190,16.0,367.6700134277344,4951.9501953125,463.57000732421875,-11513.299560546875,7433.699951171875,-3262.0999145507812,-423.8999938964844,3387.9000854492188,-4017.9000854492188,255.0,130.0,,-0.04029479457046122,2.549340787971935,2.4191653144339185,True,24,6,0.0,False,26,,1687849446689880086,SeaVen__,11.0,-385.5899963378906,2181.320068359375,16.989999771118164,-10758.199462890625,9249.299926757812,4.600000083446503,-0.5999999865889549,0.29999999329447746,-807.9000091552734,128.0,94.0,False,-0.009640154659102168,0.7449335787398963,5.045535377532583e-05,True,125.0,False,12,28,18,,enpitsu,76561198039309853,26.0,51.7599983215332,4995.7001953125,500.6300048828125,-12636.099853515625,-2207.2999572753906,2069.600067138672,1038.499984741211,-3488.0999755859375,4123.500061035156,128.0,128.0,False,-0.5308584937095807,-1.0134604545648924,-1.439399303032419,True,170.0,False,16,16,2,,games5425898691,bf81d8692db,24.0,3482.31005859375,2748.81005859375,16.989999771118164,-784.0000152587891,14331.600341796875,4.399999976158142,-0.0,-0.9000000357627869,-20.0,255.0,128.0,,-0.009598753449431069,1.5191863241142114,8.747981779920064e-05,True,0.0,False,26,4,22,
8,4344,124,True,1,2452.110217537132,-698.1199951171875,3276.77001953125,506.8500061035156,404.3000030517578,26537.900390625,-1493.800048828125,-1646.1000061035156,989.4000244140625,5684.2999267578125,1.0,0.03462581430407944,2.80203142070551,2.187799424988705,4901663167694855774,raDaMElFALcAo190,17.0,-757.6300048828125,3140.47998046875,436.7699890136719,-3421.099853515625,21391.39892578125,1862.1000671386719,-3459.5001220703125,354.00001525878906,-4260.899963378906,255.0,25.0,,0.47117425394096907,3.013707978464243,-1.0443161084158896,True,6,4,161.61351369529643,True,8,,1687849446689880086,SeaVen__,11.0,3366.6201171875,3943.820068359375,17.010000228881836,17803.699951171875,-10397.19970703125,2.3000000417232513,0.3999999910593033,-0.0,-2013.2000732421875,255.0,0.0,,-0.009569522452919787,-2.534375981850005,-4.135912666088892e-05,True,255.0,False,False,8,8,,enpitsu,76561198039309853,26.0,1896.06005859375,2816.47998046875,17.030000686645508,-953.7999725341797,13558.900146484375,5.600000023841858,-0.0,-0.09999999776482582,2256.3999938964844,255.0,255.0,,-0.016746164834413442,1.435715546380469,8.668299082782063e-06,True,31.0,False,12,12,False,,games5425898691,bf81d8692db,24.0,-1425.5899658203125,4660.919921875,17.010000228881836,4756.7999267578125,13024.69970703125,2.3000000417232513,-2.5,1.0000000149011612,-1848.8999938964844,0.0,0.0,,-0.009758277658265434,1.991106435546792,3.260211853463463e-05,True,157.0,False,4,4,False,
9,5204,146,True,1,4690.663143160601,-2992.469970703125,2516.6201171875,146.83999633789062,17770.30029296875,12058.800048828125,7096.099853515625,3173.2000732421875,-1283.699951171875,-4927.60009765625,1.0,0.2993153515902408,-0.32481524053997657,-2.8021164004243184,4901663167694855774,raDaMElFALcAo190,17.0,-3128.56005859375,2340.9599609375,85.45999908447266,2853.3999633789062,20029.300537109375,2763.0999755859375,-4635.5999755859375,1395.5000305175781,1545.8000183105469,255.0,50.0,False,-0.12921212878203592,1.2123068373418215,0.045252380115771686,True,5,4,244.0,False,8,,1687849446689880086,SeaVen__,11.0,-3968.510009765625,2808.070068359375,57.08000183105469,-2108.9999389648438,-17287.60009765625,1484.1999816894531,231.10000610351562,972.2000122070312,3.0000001192092896,255.0,145.0,,0.08743874053355263,-1.425811641604124,-0.5622339747494923,True,222.0,False,4,10,8,,enpitsu,76561198039309853,26.0,-2543.02001953125,2683.510009765625,29.170000076293945,-3186.400146484375,-12477.19970703125,-3013.2998657226562,2785.7000732421875,4388.800048828125,-1796.3999938964844,255.0,0.0,True,-0.25296620248885676,-0.860690843391522,0.21931525770211113,True,175.0,False,6,6,False,,games5425898691,bf81d8692db,24.0,-2908.949951171875,3204.81005859375,110.54000091552734,-7238.3001708984375,-21737.80029296875,2018.3000183105469,1235.8999633789062,1986.7999267578125,1438.5000610351562,255.0,247.0,,0.19149912139483105,-1.090862117075382,-0.04625232303550486,True,124.0,False,14,False,13,
