,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,354,6,True,1,1079.1185503256845,-173.77999877929688,4998.33984375,493.4599914550781,11818.800048828125,7366.6998291015625,-347.59998321533203,310.49999237060547,1407.5999450683594,3774.8001098632812,1.0,-0.6306614813925523,1.1744164349364472,3.004938059895432,76561198216153433,Kapatranovic,12.0,-196.14999389648438,4930.43994140625,318.0799865722656,11945.50048828125,5430.8001708984375,-3775.10009765625,2779.8001098632812,-505.9000015258789,576.3000106811523,128.0,128.0,False,0.9612820029803787,3.131124578249999,0.9357059399817346,True,188.0,False,False,6,4,,76561198869337620,Castro,20.0,-3613.179931640625,47.18000030517578,17.010000228881836,-13833.599853515625,-2239.4000244140625,2.3000000417232513,1.0999999940395355,0.29999999329447746,2001.6999816894531,255.0,255.0,,-0.009587564229511967,-0.20333324717207626,0.00015926315368103923,True,255.0,False,4.0,4.0,False,,enpitsu,76561198039309853,26.0,-753.8800048828125,5173.85986328125,282.80999755859375,-624.7000122070312,5574.2999267578125,-151.40000343322754,-4055.4000854492188,-1193.7000274658203,3518.2000732421875,128.0,0.0,,0.6710315039702373,-0.2457791727601108,2.216997210562855,True,41.0,False,2,False,1,,games5425898691,bf81d8692db,19.0,1886.75,4972.64990234375,19.510000228881836,-20710.70068359375,3937.7999877929688,618.6000061035156,1968.5000610351562,-190.0,1443.5000610351562,255.0,185.0,,0.014938573262764461,0.1395720680493151,-0.08642773661624807,True,255.0,False,6,False,6,
1,695,9,False,1,3875.4595630707067,-629.9400024414062,1577.5999755859375,135.38999938964844,6039.2999267578125,15706.199951171875,5613.4002685546875,1503.0999755859375,-5503.0999755859375,-819.1000366210938,1.0,-0.11976054809388505,-2.3075624886200883,0.27488840118603686,76561198869337620,Castro,20.0,-734.2899780273438,1405.989990234375,17.010000228881836,6772.1002197265625,13138.499755859375,-0.09999999776482582,-0.3999999910593033,-0.7000000029802322,-23.599998950958252,255.0,128.0,,-0.009588624968475915,2.0501407602079498,6.013437961905814e-05,True,92.36319988260986,True,False,False,False,,76561198216153433,Kapatranovic,12.0,-92.91000366210938,-1248.989990234375,17.010000228881836,10356.500244140625,777.7999877929688,2.5,-0.0,-0.0,2416.1000061035156,255.0,255.0,False,-0.009545653247229174,3.0065481184111515,-3.0367044771508108e-05,True,0.0,False,4.0,4.0,False,,enpitsu,76561198039309853,26.0,-841.8099975585938,820.4600219726562,17.059999465942383,-3966.0000610351562,8224.89990234375,1.1999999731779099,-2.3000000417232513,5.699999928474426,-1099.4999694824219,255.0,0.0,,-0.01668453943757227,1.17277792261212,0.0002049835664228952,True,0.0,False,4,False,4,,games5425898691,bf81d8692db,19.0,-2393.56005859375,4024.889892578125,17.010000228881836,1517.7000427246094,13328.800048828125,2.3999999463558197,-0.0,0.7999999821186066,-2201.300048828125,255.0,0.0,,-0.009551192317570836,1.7432899228829972,-6.767790726092056e-05,True,255.0,False,False,False,False,
2,731,11,False,1,1719.1911449089723,145.02999877929688,3593.5,303.5899963378906,5971.199951171875,22123.5009765625,-2078.8999938964844,-3422.7999877929688,-4531.099853515625,1457.2000122070312,1.0,0.33803327721344384,-2.001939068654817,1.4323916548960416,76561198869337620,Castro,20.0,164.8699951171875,3429.110107421875,303.3900146484375,8499.500122070312,18074.49951171875,2974.5001220703125,-1915.8000183105469,-947.3999786376953,1858.9999389648438,255.0,128.0,,0.25980565087927854,1.6321293658139084,-0.09661532683911364,True,56.0,False,4,4,False,,76561198216153433,Kapatranovic,12.0,1040.989990234375,-135.25,17.010000228881836,8786.699829101562,10198.400268554688,2.3999999463558197,1.2999999523162842,1.8000000715255737,-2086.0000610351562,255.0,0.0,,-0.009559647914783557,2.3242059674737003,-0.0002045086032899966,True,,False,4.0,4.0,False,17.0,enpitsu,76561198039309853,26.0,-1252.25,2249.47998046875,17.059999465942383,-18.600000143051147,13108.599853515625,1.1999999731779099,-0.0,-0.3999999910593033,-511.5999984741211,255.0,0.0,,-0.016749485768426813,1.6152635271838438,0.00027620962712632567,True,,False,4,False,4,,games5425898691,bf81d8692db,19.0,-890.75,4598.39013671875,84.87999725341797,17183.900146484375,772.6999664306641,3014.4000244140625,61.599998474121094,-1866.0000610351562,-30.999999046325684,255.0,207.0,,0.1382898280627536,3.1105234091672047,0.0004603596929045434,True,218.33908820152283,True,4,False,False,
3,1244,30,False,0,4319.471719897192,-2712.929931640625,1221.25,134.9600067138672,13343.599853515625,15331.99951171875,10102.80029296875,5097.60009765625,-1933.3000183105469,-2505.2999877929688,0.0,-1.136106153296436,-0.6648459244328437,-0.06936861949778694,76561198039309853,enpitsu,27.0,-2819.719970703125,1091.510009765625,88.63999938964844,5163.4002685546875,13540.699462890625,1507.7999877929688,-4571.700134277344,3057.5,-23.499999046325684,255.0,128.0,False,0.7112036293161669,0.8290866517498097,-0.08774508223051992,True,211.0,False,False,10,9,,bf81d8692db,games5425898691,19.0,-1872.5999755859375,1954.1300048828125,173.94000244140625,6711.300048828125,-11323.900146484375,1357.2000122070312,-331.50001525878906,-730.2999877929688,-35.69999933242798,255.0,128.0,,-1.0884392155713338,3.1370875891890395,2.521760519259743,True,109.0,False,10.0,10.0,False,,Kapatranovic,76561198216153433,12.0,-2465.10009765625,1901.030029296875,17.020000457763672,-11754.200439453125,-4509.200134277344,6.1000001430511475,-3.700000047683716,-3.3000001311302185,-3232.39990234375,255.0,0.0,False,0.009422275225398055,-3.032190692758449,-0.0002891115408928529,True,210.0,False,8,False,6,,Castro,76561198869337620,20.0,-1305.1300048828125,4453.64990234375,17.010000228881836,-2488.3999633789062,5793.800048828125,2.0999999344348907,-1.7000000178813934,0.19999999552965164,-185.79999923706055,128.0,128.0,,0.009647130055281979,-1.2045368685447833,0.00019606611478236352,True,237.0,False,6,4,4,
4,1642,44,True,1,1930.2951443891411,-1010.0499877929688,4835.02001953125,290.9200134277344,26016.298828125,10832.099609375,-1473.6000061035156,1568.2000732421875,61.19999885559082,-3348.9999389648438,1.0,-0.727307879778497,2.674579018811377,2.772765092037429,76561198216153433,Kapatranovic,12.0,-1153.7099609375,4808.93994140625,297.0799865722656,16484.100341796875,12951.8994140625,-24.800000190734863,-1754.1000366210938,5188.800048828125,498.4000015258789,255.0,0.0,False,-0.8470626489494031,2.423677754493083,0.5316492656554108,True,164.15417607112596,True,False,14,9,,76561198869337620,Castro,21.0,,,,,,,,,,,,,,,,True,,,,,,,enpitsu,76561198039309853,26.0,1147.449951171875,4647.7900390625,17.059999465942383,-16673.900146484375,7186.199951171875,-4.1999998688697815,-1.5000000596046448,0.5999999865889549,429.50000762939453,255.0,128.0,False,-0.016787557032530508,0.36865020032455265,-0.000292698373558248,True,0.0,False,False,False,False,,games5425898691,bf81d8692db,19.0,-3248.989990234375,4790.9501953125,1238.7099609375,10912.900390625,10913.1005859375,-1051.6000366210938,-248.70000839233398,251.5999984741211,-0.09999999776482582,255.0,128.0,,-0.07945198643117894,2.3465659440568425,1.5717360773074236,True,9.769986934559322,True,14,False,12,
5,3121,88,False,1,4949.067631817151,2646.179931640625,510.7300109863281,97.4000015258789,-10921.300048828125,25400.10009765625,3236.0000610351562,-2687.2000122070312,4622.60009765625,-2722.0001220703125,1.0,1.1629863994951,2.9801155588379986,2.4574121778366993,76561198869337620,Castro,20.0,2774.02001953125,401.95001220703125,16.649999618530273,-10223.200073242188,18558.599853515625,-97.39999771118164,428.10001373291016,824.8000335693359,1064.8999786376953,255.0,128.0,,0.009252378466769958,0.9775140879340081,0.011659982473818418,True,40.83851195919898,True,4,12,10,,76561198216153433,Kapatranovic,12.0,1414.22998046875,-510.4100036621094,17.010000228881836,-10493.900146484375,17395.0,-0.19999999552965164,0.7999999821186066,-1.0999999940395355,640.5000305175781,255.0,128.0,,-0.009602430929363913,0.9744512558977485,-0.00020955638091140665,True,8.584989388783773,True,18.0,14.0,4,,enpitsu,76561198039309853,26.0,-2068.360107421875,4348.39013671875,17.049999237060547,8760.599975585938,-5440.10009765625,-2.0000000298023224,2.5999999046325684,-1.2999999523162842,154.49999809265137,255.0,255.0,,-0.016689782138283624,-2.6020047108740196,-0.0001878410772607168,True,47.39290346381483,True,False,False,False,,games5425898691,bf81d8692db,19.0,2381.300048828125,-1725.2099609375,186.85000610351562,-4636.199951171875,22350.400390625,2821.9000244140625,412.20001220703125,84.89999771118164,0.0,255.0,,,0.2720173487025884,1.3661758636155241,-0.000148340091435594,True,217.3929034638149,True,16,False,14,
6,4008,121,False,1,2108.540570312757,-88.91999816894531,3275.6298828125,159.38999938964844,2026.4999389648438,15215.0,3729.5999145507812,5918.599853515625,767.3999786376953,-617.2000122070312,1.0,1.2349745473279057,0.0013603709936800756,-2.6755753935859676,76561198869337620,Castro,20.0,-78.22000122070312,3077.050048828125,120.72000122070312,3574.5999145507812,14711.700439453125,1705.8000183105469,-5245.4998779296875,-266.3999938964844,1631.7999267578125,255.0,128.0,False,-0.6633657748346264,1.2752969765304705,0.16354440100758386,True,236.0,False,4,16,13,,76561198216153433,Kapatranovic,12.0,472.4700012207031,1352.719970703125,16.989999771118164,-3720.2999877929688,20788.9990234375,4.600000083446503,-0.0,0.29999999329447746,0.5000000074505806,255.0,128.0,,-0.0096004802404577,1.3936278740782317,-3.581441850207146e-05,True,207.0,False,28.0,22.0,4,,enpitsu,76561198039309853,26.0,1300.2099609375,3806.18994140625,17.0,3168.9999389648438,11477.60009765625,10.59999942779541,-0.3999999910593033,4.099999964237213,2308.300018310547,255.0,255.0,False,-0.016607718580342563,1.7883501143992915,-0.00021727234708287206,True,84.66110091311961,True,10,False,10,,games5425898691,bf81d8692db,19.0,2028.3299560546875,2161.830078125,17.020000457763672,21028.798828125,-524.7000122070312,3.6000001430511475,-5.699999928474426,-0.3999999910593033,2007.7000427246094,255.0,255.0,,-0.009625258897063543,3.0878571933459025,0.00029645075645550134,True,61.0,False,24,False,22,
7,4380,134,False,0,4880.914296485958,1897.699951171875,1137.6800537109375,218.0399932861328,-6564.7998046875,17322.2998046875,9736.699829101562,4483.599853515625,-1710.3999328613281,3601.4999389648438,0.0,0.2188569737201048,-1.5826810872753057,-0.10482490193510666,bf81d8692db,games5425898691,19.0,1912.4599609375,1039.47998046875,66.0199966430664,-4782.699890136719,20943.701171875,3222.60009765625,-2209.7999572753906,948.1999969482422,-1986.4999389648438,255.0,8.0,,0.05653010901667632,1.9739816693380778,0.01210902781120138,True,106.0,False,False,26,23,,76561198039309853,enpitsu,26.0,,,,,,,,,,,,,,,,True,,,,,,,Kapatranovic,76561198216153433,12.0,1804.449951171875,1527.1400146484375,156.67999267578125,-3688.3999633789062,-15189.200439453125,3187.3001098632812,-1444.4999694824219,5225.30029296875,-926.5000152587891,128.0,255.0,False,-0.21791297809633775,-1.2562732314277432,-0.8310729780162942,True,189.17084729799663,True,32,4,23,,Castro,76561198869337620,21.0,4080.570068359375,1746.1199951171875,338.3699951171875,-265.5999946594238,16354.000244140625,8066.500244140625,-1841.3999938964844,330.8000183105469,-125.60000419616699,255.0,255.0,False,-0.42142952137849554,1.5813473113674599,-1.6004811446389968,True,0.0,False,18,4,16,
8,5265,166,True,1,2183.7755169329726,-1142.9200439453125,4357.89990234375,164.27000427246094,10735.999755859375,14994.200439453125,3843.599853515625,3321.7001342773438,3336.6000366210938,-3719.2001342773438,1.0,-0.20729169990183832,-1.3519395142487354,-1.5950215183789025,76561198869337620,Castro,20.0,-1196.6700439453125,4252.9599609375,71.02999877929688,-5678.599853515625,11425.999755859375,1876.6000366210938,-4420.899963378906,1780.5999755859375,-281.00000381469727,128.0,0.0,,-0.024450202945188144,0.7289038618650232,0.054253346924345296,True,139.0,False,4,20,17,,76561198216153433,Kapatranovic,12.0,-2874.72998046875,4307.330078125,16.989999771118164,-11764.49951171875,-2100.2999877929688,4.900000095367432,0.19999999552965164,-0.0,2353.5000610351562,255.0,255.0,,-0.009545512324029254,-0.2390602337230585,1.0821823886997425e-05,True,0.0,False,44.0,32.0,8,,enpitsu,76561198039309853,26.0,-2069.06005859375,4855.93994140625,17.049999237060547,19938.599853515625,3437.9998779296875,2.8999999165534973,-0.0,-0.0,-1645.7000732421875,128.0,128.0,False,-0.01677754057249453,3.0084602636477458,-0.00016295401994849846,True,231.0,False,4,False,2,,games5425898691,bf81d8692db,19.0,114.80999755859375,5135.56982421875,16.65999984741211,-1092.2000122070312,-2096.9000244140625,23.399999141693115,-60.999999046325684,-19.800000190734863,-990.5999755859375,255.0,0.0,,-0.010048539700735413,-1.1779540091839131,-0.010253218202082602,True,239.0,False,32,False,30,
9,5683,172,False,1,3319.781692695067,1714.0999755859375,1922.5999755859375,215.41000366210938,-5128.3001708984375,16915.30029296875,8661.900024414062,2286.7999267578125,2362.899932861328,-5018.599853515625,1.0,0.18377029746655096,1.2549675179913595,-3.041141302580746,76561198869337620,Castro,20.0,1728.25,1869.9100341796875,79.29000091552734,-8716.900024414062,11596.600341796875,1070.5000305175781,-2251.3999938964844,-435.6999969482422,-2013.8999938964844,255.0,255.0,,-0.5041783899156294,0.9767057371173434,-0.4640925926565402,True,,False,False,6,5,,76561198216153433,Kapatranovic,12.0,2790.469970703125,-544.9099731445312,17.010000228881836,13815.899658203125,2929.89990234375,2.0999999344348907,-0.0,-0.0,424.50000762939453,255.0,128.0,,-0.00960322479589348,2.8899224971044544,-0.00021530505135736882,True,0.0,False,4.0,4.0,False,,enpitsu,76561198039309853,26.0,831.219970703125,3234.199951171875,17.049999237060547,3485.5999755859375,-1387.4000549316406,2.5999999046325684,-0.7999999821186066,-1.8000000715255737,-1.4000000059604645,255.0,128.0,,-0.01670868471906336,-2.762370024857684,1.7897776084336683e-05,True,119.0,False,False,False,False,,games5425898691,bf81d8692db,19.0,-1231.8399658203125,3217.610107421875,17.0,-1640.2000427246094,20222.19970703125,3.3000001311302185,-0.0,2.5999999046325684,-382.2999954223633,255.0,127.0,,-0.009605967989472605,1.5039308620098086,-8.331258780477043e-05,True,169.0,False,4,False,4,
