,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_jump_active,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_ball_cam,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,172,0.0,False,0,5198.612801121769,0.15000000596046448,19.209999084472656,93.94999694824219,-1680.0999450683594,30034.29931640625,2997.39990234375,-5266.400146484375,174.69999313354492,-2198.000030517578,0.0,0.0010600091435724764,-0.018332562588451184,-0.043891135072676744,76561199010958644,FlasH_Ball,7.0,7.409999847412109,-254.0500030517578,47.75,893.0000305175781,22748.701171875,3270.7998657226562,-116.30000114440918,-1426.6999816894531,68.09999942779541,244.0,245.0,True,0.005310492250995025,1.527236730312128,-0.050571279248848626,True,False,6,0.0,True,4,,76561198240220912,EasyNayzl,7.0,24.190000534057617,-1978.6199951171875,17.010000228881836,-302.2999954223633,13216.8994140625,2.7000001072883606,0.0,-0.3999999910593033,-0.3999999910593033,244.0,128.0,,0.009567283989364963,1.5935937705557492,5.565086600885419e-05,False,False,85.0,False,False,True,,enpitsu,76561198039309853,26,19.329999923706055,651.1900024414062,92.48999786376953,-4337.5,-22463.00048828125,2360.800018310547,3551.400146484375,-1167.3999786376953,-1494.2999267578125,255.0,0.0,,0.264928695052884,-1.5661814629146755,-0.00018557051128177657,True,1,False,2,31.0,False,,games5425898691,bf81d8692db,24.0,2887.68994140625,4161.490234375,17.010000228881836,7069.89990234375,15640.10009765625,2.800000011920929,-0.29999999329447746,0.0,1974.1000366210938,255.0,255.0,,0.009561026023781095,1.2163327915207245,2.3701824978821184e-05,True,255.0,False,False,False,False,
1,865,25.0,False,0,2447.604252679222,1335.1400146484375,4133.6298828125,106.75,-12619.599609375,24163.701171875,1483.699951171875,1121.8000030517578,-3590.4998779296875,-1389.4999694824219,0.0,1.2643014051321637,2.7590257667179046,-0.5807363522024223,76561198240220912,EasyNayzl,7.0,1398.3499755859375,3979.2900390625,73.29000091552734,-5552.7001953125,16360.50048828125,2684.2999267578125,1044.8999786376953,-2890.5999755859375,4560.899963378906,255.0,230.0,,0.08798577571393296,1.8015171304581745,-0.05735616500611392,True,False,16,140.0,False,13,,76561199010958644,FlasH_Ball,7.0,2281.739990234375,-4243.52001953125,17.010000228881836,-11965.400390625,9744.600219726562,0.5999999865889549,0.09999999776482582,-0.29999999329447746,-2118.2000732421875,255.0,0.0,False,0.009576093822432404,2.3822281954136235,5.2972880781200504e-05,18,14,226.80429261217836,True,4,True,,enpitsu,76561198039309853,26,2829.27001953125,4689.10009765625,57.02000045776367,7047.60009765625,-2866.199951171875,153.100004196167,1257.6000213623047,4465.0,1897.2999572753906,255.0,128.0,,0.009847598724393197,-1.8099900043706785,1.9399717120255455,True,4,False,8,198.0,False,,games5425898691,bf81d8692db,25.0,1399.6500244140625,4690.85009765625,21.940000534057617,-6941.300048828125,-12648.399658203125,3023.2998657226562,87.39999771118164,31.700000762939453,1190.199966430664,255.0,190.0,,0.007705261934834106,-2.0399349139105145,0.0019788378381172186,True,231.0,False,10,False,8,
2,3174,109.0,False,1,2579.452233393593,792.3800048828125,2562.6298828125,93.1500015258789,-96.5999984741211,14931.800537109375,0.0,-4750.7000732421875,410.9000015258789,3641.6000366210938,1.0,-0.9621700311822428,1.9885034909216335,0.9110175807773322,bf81d8692db,games5425898691,25.0,884.6799926757812,2366.139892578125,19.450000762939453,-4285.7000732421875,22407.80029296875,2918.699951171875,-0.19999999552965164,2.3999999463558197,-337.09999084472656,255.0,145.0,,-0.009597039120617757,1.4171689883441523,0.00018004372296502255,True,4,31,147.76190110688572,True,28,,76561198039309853,enpitsu,26.0,3437.580078125,421.32000732421875,17.030000686645508,14560.799560546875,-17736.800537109375,5.899999737739563,-0.5000000074505806,0.19999999552965164,-1362.2000122070312,255.0,0.0,True,-0.01678384429186725,-2.237385071564177,-0.00022852731974542953,36,30,81.0,False,False,True,,EasyNayzl,76561198240220912,7,-847.1300048828125,3213.3701171875,17.010000228881836,13902.5,12391.199951171875,0.0,-1.0000000149011612,-0.7999999821186066,-107.39999771118164,255.0,128.0,,-0.009603354352067675,2.426609262411609,0.00011463319266120583,True,30,6,40,106.88842997499692,True,,FlasH_Ball,76561199010958644,7.0,779.9600219726562,3473.7099609375,17.010000228881836,-12379.300537109375,1773.0000305175781,3.0000001192092896,-0.0,-0.0,2318.3999633789062,219.0,255.0,False,-0.009560644716748334,0.07613475285083103,-1.3207371113418256e-05,True,0.0,False,52,12,38,
3,3406,117.0,False,1,1278.1023268497445,360.5199890136719,3979.47998046875,111.5199966430664,-1304.6000671386719,7625.7000732421875,4497.099914550781,2719.5001220703125,-330.29998779296875,-5337.9998779296875,1.0,0.4836997235254329,1.2797889905182627,0.008348093656313331,76561198039309853,enpitsu,26.0,254.99000549316406,3897.550048828125,16.440000534057617,-14294.49951171875,10306.8994140625,-143.29999923706055,566.3999938964844,766.5000152587891,-3500.2999877929688,0.0,0.0,,0.00618140280745486,0.7573212104485451,0.0018148630636662852,True,False,38,24.0,False,32,,bf81d8692db,games5425898691,25.0,2384.5400390625,2995.199951171875,17.020000457763672,-12348.800048828125,2069.2999267578125,1.7000000178813934,-0.0,-0.0,2331.699981689453,255.0,255.0,,-0.009564667796804904,0.0994741114710797,-2.7787078854811793e-05,36,32,159.0,False,4,True,,EasyNayzl,76561198240220912,7,524.1799926757812,3125.0,17.020000457763672,836.1000061035156,-365.6999969482422,1.1999999731779099,1.8000000715255737,3.4999999403953552,0.0,132.0,128.0,,-0.009753258157887357,0.41219449177420264,1.6701173354465526e-05,True,32,6,42,255.0,False,,FlasH_Ball,76561199010958644,7.0,261.79998779296875,4376.6201171875,77.16000366210938,-9447.2998046875,-5570.999755859375,3113.9999389648438,781.3999938964844,-1345.8000183105469,578.8000106811523,114.0,255.0,False,0.09397787039816573,2.5804594209265006,-0.0014097395767149398,True,31.0,False,58,12,42,
4,3446,119.0,True,1,723.8665093805638,178.30999755859375,5045.64013671875,100.9000015258789,-985.8999633789062,4681.9000244140625,2626.300048828125,-3794.8001098632812,-867.9000091552734,-4565.5999755859375,1.0,1.1294593164073539,-2.2006977864449735,0.8245994790656003,76561198039309853,enpitsu,26.0,27.510000228881836,4718.830078125,22.020000457763672,1998.0999755859375,7944.89990234375,2997.0999145507812,0.9000000357627869,-1.1999999731779099,-89.0999984741211,255.0,128.0,,-0.01663422239264822,1.827359779552932,0.0001391428671657876,True,False,39,8.296705453626569,True,32,,bf81d8692db,games5425898691,25.0,501.4200134277344,3963.0,17.020000457763672,-11396.300048828125,18943.900146484375,-1.0999999940395355,1.4000000059604645,-2.8999999165534973,-1211.2000274658203,255.0,0.0,,-0.009580869457499837,1.0451435506597841,-0.00019542567590826072,36,32,101.24547955554021,True,4,True,,EasyNayzl,76561198240220912,7,337.7799987792969,4152.3701171875,17.020000457763672,431.1000061035156,7090.3997802734375,1.1999999731779099,-0.5999999865889549,-0.0,-0.7000000029802322,0.0,128.0,,-0.009900068986278628,1.6317877756944508,3.3156213882479347e-06,True,32,6,42,205.0,False,,FlasH_Ball,76561199010958644,7.0,-831.6400146484375,3739.840087890625,17.010000228881836,444.39998626708984,1747.2000122070312,3.400000035762787,-2.8999999165534973,-5.099999904632568,-19.500000476837158,231.0,128.0,False,-0.009391053166764663,1.8450110596624187,0.0002985420287822463,True,61.0,False,58,12,42,
5,4031,131.0,False,0,2613.7444990276813,-616.989990234375,2541.18994140625,277.5299987792969,3718.9999389648438,11761.8994140625,5625.9002685546875,-307.1999931335449,4873.699951171875,-3485.8999633789062,0.0,-1.2033651522034023,-1.1218322641493421,-1.0173732000735323,76561199010958644,FlasH_Ball,7.0,-506.17999267578125,2442.9599609375,133.85000610351562,-17379.69970703125,4550.10009765625,2254.499969482422,1965.0,3669.1000366210938,970.1999664306641,189.0,131.0,True,-0.5860556002507569,-2.9922494383855787,-0.43394249740278695,True,False,12,133.0,False,10,,76561198240220912,EasyNayzl,7.0,-1901.3299560546875,-2958.889892578125,17.010000228881836,7660.5999755859375,11562.19970703125,2.5999999046325684,-0.29999999329447746,-0.7999999821186066,-13.40000033378601,255.0,128.0,,0.009596617753872123,0.9835217875128508,7.91903918718001e-05,False,False,53.0,False,False,True,,enpitsu,76561198039309853,26,-3764.8798828125,1277.68994140625,16.770000457763672,5210.0,18729.49951171875,37.200000286102295,10.0,50.70000171661377,-72.5,255.0,128.0,,0.015479958176697246,1.290879235470939,-0.003275017164281325,True,False,False,False,255.0,False,,games5425898691,bf81d8692db,25.0,-743.4400024414062,4644.6298828125,17.010000228881836,3325.0,9570.700073242188,2.8999999165534973,0.0,0.0,-2381.7999267578125,255.0,0.0,,0.009538697016874034,1.185652159673868,5.611217108933925e-06,True,61.0,False,6,False,6,
6,4209,137.0,True,0,1426.8129037853862,-448.6499938964844,3785.1298828125,535.989990234375,4726.199951171875,29505.6005859375,-7082.60009765625,-1438.0000305175781,-5042.300109863281,-65.19999980926514,0.0,0.2599033336150487,-0.4988977518410707,-0.8657858970373994,76561198240220912,EasyNayzl,7.0,-483.8800048828125,3524.7900390625,538.5900268554688,-1402.4000549316406,19963.399658203125,2774.7000122070312,-2172.5,3753.800048828125,3382.0001220703125,255.0,0.0,,-0.4245509927602959,1.7796444069077761,0.9709411074093385,True,False,4,17.0,False,3,,76561199010958644,FlasH_Ball,7.0,596.5399780273438,3842.090087890625,17.020000457763672,7574.1998291015625,-9342.899780273438,1.4000000059604645,3.799999952316284,-5.0,-1203.7000274658203,240.0,128.0,False,0.009571387895748728,-0.9465533934996286,1.93069478896943e-06,14,12,151.0,False,False,True,,enpitsu,76561198039309853,26,-465.0400085449219,4034.3701171875,240.6300048828125,-2741.4999389648438,-11461.400146484375,2739.5999145507812,-214.69999313354492,791.3999938964844,1966.7999267578125,255.0,255.0,False,-0.35601715200367384,-0.8391056297070146,-0.28351455284420113,True,3,False,4,197.64617627154112,True,,games5425898691,bf81d8692db,25.0,3372.93994140625,4663.43017578125,222.86000061035156,-5981.9000244140625,7280.7000732421875,7516.7999267578125,109.60000038146973,-3469.5999145507812,-118.80000114440918,255.0,255.0,,-0.6706540278835994,2.246447422948206,-1.3707981608384023,True,255.0,False,8,False,8,
7,9519,315.0,False,1,3613.3950609715807,1872.56005859375,1661.0699462890625,235.66000366210938,-9190.700073242188,25353.00048828125,4032.2000122070312,3380.4998779296875,3155.10009765625,-445.40000915527344,1.0,0.7656501979445315,0.5679932120585626,1.8286140427163213,76561198039309853,enpitsu,26.0,1912.949951171875,1591.8199462890625,99.31999969482422,-8264.89990234375,20192.60009765625,-418.1999969482422,-536.1000061035156,-1330.3999328613281,-674.0000152587891,255.0,255.0,False,-0.7799003624580929,1.7887014949857158,-1.0537895801566366,True,False,6,53.0,False,5,,bf81d8692db,games5425898691,25.0,-1061.1300048828125,1706.489990234375,17.020000457763672,-2103.699951171875,13917.7001953125,1.5000000596046448,0.7000000029802322,-4.1999998688697815,-922.5,255.0,0.0,,-0.009604144501751852,1.4158351245297678,-0.00010378758222219335,6,6,167.0,False,False,True,,EasyNayzl,76561198240220912,7,1770.780029296875,2030.6400146484375,190.92999267578125,1374.7000122070312,10653.1005859375,2057.899932861328,-1295.8999633789062,-178.09999465942383,291.5999984741211,255.0,80.0,False,0.06239608201086106,1.4483567188442623,-0.04042096332968823,True,4,False,6,138.0,False,,FlasH_Ball,76561199010958644,7.0,-1720.4100341796875,4323.2900390625,17.010000228881836,10689.89990234375,7469.1998291015625,2.7000001072883606,-0.5999999865889549,-0.09999999776482582,-26.500000953674316,244.0,128.0,False,-0.009556670581121914,2.5356534989258273,7.643989747186159e-05,True,116.0,False,False,False,False,
8,9760,324.0,False,0,5546.582891368862,71.94999694824219,-321.4700012207031,115.7300033569336,-136.8000030517578,24257.900390625,811.6999816894531,-895.8999633789062,-5418.0999755859375,-471.5999984741211,0.0,0.2532508443653172,3.0230529084160094,-1.3262816858161657,76561199010958644,FlasH_Ball,7.0,38.630001068115234,-501.80999755859375,16.989999771118164,2468.9999389648438,21590.2001953125,4.300000071525574,10.099999904632568,40.70000171661377,148.59999656677246,255.0,255.0,False,0.009874736452899503,1.405767078411045,-0.0013984916862415592,True,False,6,110.68099801002012,True,6,,76561198240220912,EasyNayzl,7.0,-715.739990234375,-2732.4599609375,17.010000228881836,-4972.9998779296875,6527.39990234375,2.5999999046325684,0.3999999910593033,-0.5000000074505806,-3.0000001192092896,238.0,128.0,False,0.009527330239488667,2.2212818691438083,6.463656946225065e-05,6,6,227.0,False,False,True,,enpitsu,76561198039309853,26,-3213.6298828125,581.7899780273438,17.059999465942383,13000.50048828125,15283.00048828125,-3.400000035762787,0.19999999552965164,0.5000000074505806,-667.9000091552734,255.0,128.0,False,0.016783981527414695,0.8120288455410017,0.0003390383122279807,True,8,False,8,211.25365180097603,True,,games5425898691,bf81d8692db,25.0,527.75,3978.02001953125,17.010000228881836,-12455.50048828125,-13111.199951171875,0.5999999865889549,0.0,-0.09999999776482582,1845.7000732421875,255.0,255.0,,0.00958587926035553,-2.2736805469189636,3.631896028985512e-05,True,245.5277766207213,True,6,False,6,
9,9771,324.0,False,0,4522.648086005545,65.87000274658203,720.8200073242188,93.86000061035156,-350.99998474121094,22883.798828125,1078.7000274658203,-3695.1998901367188,-4704.5001220703125,-460.49999237060547,0.0,0.5084693075936629,-0.22009774039119187,1.8933746587885907,76561199010958644,FlasH_Ball,7.0,-13.420000076293945,392.260009765625,17.0,-4243.599853515625,21062.5,3.8999998569488525,0.7000000029802322,-2.8999999165534973,-599.5000076293945,243.0,0.0,False,0.009604773748248873,1.7778586807558596,-0.0001602842934848158,True,False,6,112.0,False,6,,76561198240220912,EasyNayzl,7.0,-943.010009765625,-2413.219970703125,17.010000228881836,-4820.299987792969,9172.100219726562,2.7000001072883606,-2.3000000417232513,4.300000071525574,-1598.3000183105469,239.0,116.0,False,0.009537787719365712,2.023141542565679,-0.00014607751657638675,6,6,227.0,False,False,True,,enpitsu,76561198039309853,26,-2564.820068359375,1227.52001953125,17.059999465942383,16574.89990234375,15945.799560546875,-3.400000035762787,-0.3999999910593033,-0.5000000074505806,-2.3999999463558197,255.0,255.0,False,0.01678914038606928,0.7657892971957603,3.308499133186014e-05,True,8,False,8,176.835277500973,True,,games5425898691,bf81d8692db,25.0,200.33999633789062,3273.81005859375,17.010000228881836,-5774.7998046875,-20582.7001953125,0.09999999776482582,-0.19999999552965164,-1.0000000149011612,55.19999980926514,255.0,128.0,,0.009594215748838038,-1.8375162859509893,-9.39694543909648e-05,True,211.1094023207183,True,6,False,6,
