,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_double_jump_active,team_mate_dodge_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_boost_collect
0,815,23.0,True,0,1648.9808086969604,-1604.0899658203125,3650.7900390625,109.9000015258789,10098.699951171875,13258.199462890625,7281.300048828125,2951.4999389648438,4261.099853515625,-3021.7001342773438,0.0,-0.3052277951253206,1.7671391915155752,-0.4925297079408933,7426199340532505687,Nigel_OwNz,6.0,-1625.4599609375,3476.14990234375,17.010000228881836,-4623.0999755859375,7786.199951171875,2.0999999344348907,1.4000000059604645,-2.0999999344348907,738.3999633789062,255.0,127.0,False,0.009529917051345382,2.1599425218543753,-0.00021803421161575376,True,14,False,183.0,False,14,,3092120704745198981,Dammer__,5.0,-2164.679931640625,3701.64990234375,17.010000228881836,1604.6000671386719,-13947.5,2.0999999344348907,0.19999999552965164,-4.1999998688697815,-970.8999633789062,255.0,128.0,,0.009583722840929284,-1.5150238999019734,9.177812688809923e-05,True,False,10,10,113.0,False,,enpitsu,76561198039309853,26.0,-3250.669921875,2895.1201171875,17.049999237060547,14.199999570846558,13107.80029296875,-2.199999988079071,-0.09999999776482582,0.3999999910593033,609.0999984741211,255.0,128.0,False,0.01671588865895451,1.6202440051619393,-0.0003956755250842262,True,195.03848610129407,True,6,False,4,,games5425898691,bf81d8692db,20.0,-686.2100219726562,4358.41015625,17.010000228881836,-10597.39990234375,-12412.5,1.4000000059604645,0.7000000029802322,0.5000000074505806,-186.5999984741211,255.0,86.0,,0.009573277874763132,-2.2719325689012404,-5.631426656055836e-05,True,False,8,173.0,False,11,
1,2388,71.0,True,0,2018.0091676645284,-744.7100219726562,3127.669921875,101.4800033569336,9029.89990234375,23931.10107421875,1355.8000183105469,-2013.0999755859375,-2040.0,2661.199951171875,0.0,0.03139231136922784,-1.2379406685019745,-2.26723477842752,3092120704745198981,Dammer__,5.0,-862.3099975585938,2928.139892578125,16.989999771118164,9397.19970703125,20887.2998046875,4.600000083446503,0.09999999776482582,0.5999999865889549,-1059.8999786376953,255.0,53.0,,0.009579014321941812,1.1164015208773312,-9.245523883761049e-05,True,26,4,65.0,False,22,,7426199340532505687,Nigel_OwNz,7.0,-1210.5799560546875,-2099.2099609375,27.420000076293945,6138.4002685546875,18024.49951171875,-2393.6000061035156,-3507.39990234375,-38.59999895095825,-1130.0,255.0,128.0,False,-0.19376926798120495,1.2368026231706672,0.10278362544017036,True,False,16,14,242.0,False,,enpitsu,76561198039309853,26.0,3313.14990234375,627.3499755859375,67.83999633789062,-5778.699951171875,20708.60107421875,2074.7999572753906,-5095.4998779296875,1914.1999816894531,-788.3000183105469,255.0,0.0,,0.345192419448305,2.0347512590573236,0.28940338190933623,True,239.0,False,18,False,19,,games5425898691,bf81d8692db,21.0,-4079.010009765625,495.1400146484375,330.29998779296875,3.3000001311302185,16695.50048828125,-5797.0001220703125,-13.40000033378601,-0.7000000029802322,0.29999999329447746,255.0,128.0,,0.3217437274158561,1.580895493583994,1.5740677381536896,True,False,16,25.71569904717065,True,16,
2,3763,112.0,True,0,3030.0685062634175,1491.3800048828125,3274.06005859375,480.1099853515625,-13424.200439453125,16013.399658203125,-1578.3000183105469,3403.3999633789062,-914.3000030517578,1768.0999755859375,0.0,-0.9740762426211946,-2.6906329648504865,-2.1480395647283026,3092120704745198981,Dammer__,5.0,1600.22998046875,3247.9599609375,401.2300109863281,-8957.60009765625,17603.399658203125,-144.89999771118164,2275.399932861328,-3079.1000366210938,-3948.5000610351562,255.0,158.0,,-0.781873250757318,0.3765706765860651,-2.4021610198409857,True,20,False,153.0,False,19,,7426199340532505687,Nigel_OwNz,6.0,-646.02001953125,-339.7799987792969,17.010000228881836,-4989.200134277344,17880.30029296875,-0.09999999776482582,0.19999999552965164,-1.1999999731779099,-72.89999961853027,255.0,111.0,,0.009584699285636928,1.8433058180319264,2.0370029010009404e-05,True,4,18,24,157.58160006359057,True,,enpitsu,76561198039309853,26.0,3736.050048828125,2408.449951171875,17.040000915527344,-3966.199951171875,22491.201171875,3.8999998569488525,0.0,0.3999999910593033,96.09999656677246,255.0,128.0,False,0.016777579965080513,1.7551317523527932,-5.833742632283355e-05,True,187.0,False,8,False,8,,games5425898691,bf81d8692db,20.0,802.3499755859375,3629.090087890625,37.779998779296875,482.00000762939453,6945.2001953125,-3128.599853515625,-3839.8001098632812,-32.10000038146973,3937.5,255.0,255.0,,-0.06800404593372926,1.6568651906827727,-0.7925633458854267,True,False,10,190.92824094269864,True,12,
3,4767,139.0,False,1,3898.785284736487,-243.22999572753906,1411.3699951171875,96.4000015258789,4141.099853515625,26504.19921875,4979.2999267578125,-1592.8999328613281,1584.6000671386719,-2791.300048828125,1.0,0.35584637573147765,0.26564237624444154,2.8378673714189824,76561198039309853,enpitsu,26.0,-265.0299987792969,1192.6199951171875,55.25,1978.9999389648438,17470.0,3670.4000854492188,-723.0999755859375,71.10000133514404,88.80000114440918,255.0,128.0,False,-0.040990633370199835,1.6669279193555475,-0.00013848620561600098,True,10,False,193.0,False,7,,bf81d8692db,games5425898691,20.0,-2659.0400390625,1234.5999755859375,17.010000228881836,18986.600341796875,-8858.300170898438,2.3000000417232513,-0.0,-0.0,2010.8999633789062,255.0,255.0,,-0.009591180990515844,-2.783989824936864,1.5398567551555673e-05,True,False,8,10,173.0,False,,Dammer__,3092120704745198981,5.0,-582.4099731445312,4852.97021484375,16.969999313354492,1979.4000244140625,2701.6000366210938,12.699999809265137,3.6000001430511475,-4.900000095367432,1842.1000671386719,255.0,255.0,,-0.009844900632507314,2.305033403694727,7.230133476949102e-05,True,202.0,False,18,6,14,,Nigel_OwNz,7426199340532505687,6.0,-63.11000061035156,3679.06005859375,17.020000457763672,-401.8000030517578,-1172.3999786376953,0.7000000029802322,0.3999999910593033,0.29999999329447746,-2.800000011920929,0.0,128.0,,-0.009925106973384114,-1.2376061988183447,4.0832785079289655e-05,True,False,14,249.0,False,18,
4,4950,146.0,False,1,4130.536355178344,2699.27001953125,1423.8800048828125,103.94999694824219,-9835.700073242188,18975.30029296875,8065.9002685546875,4578.399963378906,-3305.4000854492188,2027.7999877929688,1.0,-0.649013638187111,-0.04144787120480759,0.8307267685614197,76561198039309853,enpitsu,26.0,2732.8701171875,1219.1500244140625,17.059999465942383,2731.4999389648438,16718.900146484375,1.5000000596046448,-0.5000000074505806,-2.8999999165534973,1325.5999755859375,255.0,255.0,False,-0.016761546719601655,1.7360730147485863,0.0005026990321260724,True,10,False,213.0,False,8,,bf81d8692db,games5425898691,20.0,3630.6201171875,3258.159912109375,17.0,-2657.3001098632812,11177.19970703125,3.3000001311302185,-3.1999999284744263,-0.3999999910593033,-751.8000030517578,255.0,128.0,,-0.009347460506302821,1.3964690271917166,0.0003037119753878453,True,False,10,12,49.0,False,,Dammer__,3092120704745198981,5.0,3467.97998046875,4128.47998046875,16.459999084472656,-13717.099609375,2382.7000427246094,73.69999885559082,67.10000038146973,-43.60000133514404,2127.100067138672,255.0,255.0,False,-0.004706802140705938,0.11000451759176032,0.011200641173686014,True,112.0,False,18,6,14,,Nigel_OwNz,7426199340532505687,6.0,2536.64990234375,1815.4599609375,52.90999984741211,5078.2000732421875,-22233.1005859375,2982.6998901367188,-0.0,0.5999999865889549,515.2000045776367,255.0,128.0,False,-0.009577775557981057,-1.8593216845757183,8.847528504984291e-05,True,False,16,120.28700205587572,True,22,
5,5455,164.0,True,1,1235.307672874772,1068.4599609375,3916.7900390625,144.97000122070312,-13077.2998046875,8940.700073242188,2801.4999389648438,2335.0,-3381.6000366210938,4371.700134277344,1.0,-0.8174758550213996,-2.077560971058995,1.7373442128138277,bf81d8692db,games5425898691,20.0,1162.4000244140625,3825.14990234375,58.06999969482422,8701.400146484375,6214.2999267578125,2226.6000366210938,1029.4999694824219,-4480.7000732421875,3018.699951171875,255.0,211.0,,0.11054117643205828,2.8858777779475204,-0.00841292459832977,True,22,False,81.0,False,19,,76561198039309853,enpitsu,26.0,176.5,4544.91015625,17.059999465942383,-7204.000244140625,-16938.399658203125,2.7000001072883606,0.5000000074505806,0.7000000029802322,3282.0001220703125,255.0,128.0,False,-0.016749832839425688,-1.3991468299947476,2.9183306777632718e-05,True,False,12,14,57.0,False,,Dammer__,3092120704745198981,5.0,896.52001953125,4134.3701171875,17.0,-3813.599853515625,-14238.00048828125,1.5999999642372131,-0.7999999821186066,-3.3000001311302185,108.99999618530273,255.0,181.0,False,-0.009593037850537103,-1.2954441094068416,2.646517610555376e-05,True,77.74578076024208,True,24,6,18,,Nigel_OwNz,7426199340532505687,6.0,1091.25,879.77001953125,17.0,-10859.69970703125,17695.2001953125,7.699999809265137,-4.300000071525574,5.099999904632568,0.7999999821186066,255.0,128.0,False,-0.009536723099886091,1.020192993093472,-0.0003346055124861041,True,4,22,213.0,False,30,
6,6354,187.0,False,0,1969.7284805286506,-34.189998626708984,3368.81005859375,145.35000610351562,4584.5001220703125,25512.60009765625,9861.699829101562,3219.8001098632812,-1059.8999786376953,-4950.5999755859375,0.0,-0.9954877962547932,2.8819381293693636,-0.7286939796053996,3092120704745198981,Dammer__,5.0,-78.08999633789062,3203.989990234375,77.16999816894531,-8133.599853515625,17736.099853515625,2128.5000610351562,2021.4999389648438,-3334.2001342773438,2369.1000366210938,255.0,13.0,False,0.06657761873291423,1.9940533420959055,-0.030643466401967412,True,16,4,223.0,False,12,,7426199340532505687,Nigel_OwNz,6.0,3899.68994140625,4130.06982421875,691.739990234375,8817.60009765625,-10754.000244140625,-3453.5000610351562,-258.29999923706055,277.99999237060547,-1724.6000671386719,255.0,128.0,,0.2196182153237299,-0.907686539767943,1.5640834910950123,True,4,10,12,0.0,False,,enpitsu,76561198039309853,26.0,-33.43000030517578,4528.9501953125,64.5999984741211,-5191.099853515625,-13599.69970703125,3850.5999755859375,-0.09999999776482582,0.19999999552965164,-29.000000953674316,128.0,255.0,False,0.01680537908160122,-1.9421764745552972,3.366819788954331e-05,True,94.0,False,10,False,8,,games5425898691,bf81d8692db,20.0,785.3499755859375,5107.4599609375,192.85000610351562,-12407.900390625,538.1000137329102,-6400.7000732421875,-19.600000381469727,6.899999976158142,-756.6000366210938,255.0,78.0,,0.4305443797313428,3.0273795228828186,-1.5896123288700545,True,False,8,162.0,False,8,
7,7082,214.0,False,1,1543.80266861559,1632.75,3783.340087890625,117.01000213623047,-12461.800537109375,16300.699462890625,361.3999938964844,712.7999877929688,181.00000381469727,-5954.69970703125,1.0,0.6405827051652593,-2.1791911053055646,-0.04328612230298408,76561198039309853,enpitsu,26.0,1734.5899658203125,3600.330078125,59.13999938964844,-20875.6005859375,9175.700073242188,2988.2998657226562,-1821.300048828125,-1869.6000671386719,-458.8999938964844,255.0,0.0,False,-0.0657246583577023,0.15717334358967222,0.012370713924446974,True,20,False,57.0,False,19,,bf81d8692db,games5425898691,20.0,1922.7900390625,2950.72998046875,17.010000228881836,-13680.799560546875,12586.99951171875,-0.29999999329447746,-0.3999999910593033,1.0000000149011612,78.29999923706055,255.0,149.0,,-0.009621095386777322,0.740394953080935,-3.6063193555565805e-05,True,False,18,18,151.12566024770024,True,,Dammer__,3092120704745198981,5.0,2407.739990234375,3497.429931640625,17.010000228881836,-16196.700439453125,1492.1000671386719,0.0,-0.0,-0.0,-2036.9999694824219,255.0,0.0,,-0.009596932727042174,0.16009121297109138,1.4924049531864265e-05,True,132.6041118227026,True,22,4,20,,Nigel_OwNz,7426199340532505687,6.0,393.0299987792969,5193.93017578125,21.959999084472656,2546.9000244140625,-5107.900085449219,3001.6000366210938,-0.7999999821186066,-0.19999999552965164,-24.90000009536743,255.0,128.0,False,-0.009475999685810628,-2.0302880095477622,5.36597752153244e-05,True,6,20,132.0,False,25,
8,7307,222.0,False,0,3631.7909799202484,-429.9200134277344,1538.239990234375,179.6300048828125,2654.89990234375,17524.000244140625,2891.0000610351562,-622.9000091552734,-3271.199951171875,-1158.3999633789062,0.0,-0.6380441256789132,0.004202402535815477,0.2162164556105097,7426199340532505687,Nigel_OwNz,6.0,-397.8800048828125,1441.02001953125,46.84000015258789,10540.899658203125,13942.80029296875,3564.7000122070312,-284.6999931335449,282.2999954223633,245.40000915527344,255.0,236.0,,0.01811763727648203,0.9260430908658507,0.0015496910280868885,,30,8,182.93845145163993,True,22,,3092120704745198981,Dammer__,5.0,-2502.89990234375,1512.1199951171875,16.989999771118164,8980.2001953125,9850.999755859375,4.799999892711639,0.3999999910593033,0.5000000074505806,-1964.1000366210938,255.0,33.0,,0.009570108121900503,0.7647464870196079,1.6864328239498888e-05,True,4,20,22,51.87707520300342,True,,enpitsu,76561198039309853,26.0,-2370.510009765625,334.8800048828125,17.030000686645508,5180.10009765625,9122.39990234375,5.099999904632568,0.29999999329447746,0.5000000074505806,510.6999969482422,255.0,128.0,,0.01669442437621529,1.0998324845322816,-0.0003022353422380335,True,0.0,False,20,False,20,,games5425898691,bf81d8692db,20.0,760.1099853515625,-1405.780029296875,90.0999984741211,5947.0001220703125,21994.69970703125,-142.7999973297119,-5195.8001708984375,1803.3000183105469,-30.59999942779541,255.0,128.0,,-1.023070343920083,-1.9140391332628344,-3.1308501551659815,True,False,21,112.0,False,22,
9,7366,224.0,True,0,960.9319999320685,38.2599983215332,4915.169921875,115.76000213623047,11929.599609375,26109.29931640625,4916.499938964844,-3043.699951171875,-3166.400146484375,2170.800018310547,0.0,0.7177440397625834,1.8185628190355583,2.171480810953592,3092120704745198981,Dammer__,5.0,-33.08000183105469,4817.64990234375,44.439998626708984,10877.80029296875,18202.5,2990.4000854492188,1580.7000732421875,-1081.1000061035156,-314.3000030517578,255.0,128.0,,-0.03966322187002142,1.016911476952336,-0.0017666552084276944,True,23,4,0.0,False,20,,7426199340532505687,Nigel_OwNz,6.0,2064.85009765625,5042.1298828125,47.439998626708984,20064.7998046875,-2101.699981689453,-1531.3999938964844,-1542.7000427246094,1099.8999786376953,-1522.7999877929688,255.0,0.0,,0.11234513997017637,-0.15956902440540355,0.7023574832066387,True,8,24,30,211.0,False,,enpitsu,76561198039309853,26.0,-1431.02001953125,2724.25,17.030000686645508,2301.6000366210938,7365.10009765625,5.099999904632568,0.0,0.19999999552965164,0.0,128.0,128.0,,0.016853067273344857,1.2678855531525854,-1.7583139174189938e-05,True,21.0,False,20,False,20,,games5425898691,bf81d8692db,20.0,1856.97998046875,3307.4599609375,16.989999771118164,-1792.2999572753906,22930.0,2.3000000417232513,0.0,0.5000000074505806,1569.1999816894531,255.0,255.0,,0.0095835098494433,1.6880578535933184,0.00013455122096248833,True,False,22,23.97540644163725,True,22,
