,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,443,9,True,0,6294.945253263063,2730.93994140625,-5.059999942779541,375.3299865722656,-8084.5001220703125,21628.798828125,-1863.6000061035156,-3800.4998779296875,-3266.7001342773438,-3299.1000366210938,0.0,0.9531447252504853,0.8500139163676474,1.3995271699631724,250133438555295361,Xxguruguillo74xX,21.0,2745.06005859375,-128.41000366210938,259.1700134277344,-9965.700073242188,9524.7998046875,2060.399932861328,-903.8999938964844,5210.30029296875,-1179.4999694824219,255.0,128.0,,-0.6610399553522034,2.013850463315174,0.16325772524537455,False,6,4,255.0,False,8,,ba55cb3f8fb,Carlagr27,12.0,2024.8699951171875,-432.04998779296875,17.010000228881836,-8624.400024414062,9807.60009765625,2.7000001072883606,2.5,-2.5,1536.6000366210938,255.0,154.0,,0.0095660806733592,2.3587403898505426,-5.53727294265924e-05,True,255.0,False,4,False,4,,enpitsu,76561198039309853,25,2946.6201171875,263.6300048828125,324.42999267578125,8058.3001708984375,21333.9990234375,-138.1999969482422,-2512.2999572753906,-1450.8999633789062,-4672.60009765625,128.0,255.0,False,-1.0067870278981281,0.595472901645961,-1.8176611707178105,True,152.0,False,6,False,5,,games5425898691,bf81d8692db,26.0,903.8599853515625,651.7899780273438,16.989999771118164,-2720.4998779296875,22745.0,5.099999904632568,0.0,0.19999999552965164,0.0,255.0,128.0,,0.009601440694133033,1.6898607870428464,-3.152300392258958e-05,True,214.0,False,False,False,False,
1,1289,31,False,1,4662.905249014221,410.010009765625,502.489990234375,640.3599853515625,421.1000061035156,24133.00048828125,3960.8999633789062,4597.900085449219,-1682.2000122070312,3468.2000732421875,1.0,0.535095547906335,-1.1644137175677016,2.1462241709990972,bf81d8692db,games5425898691,20.0,452.25,331.5400085449219,508.0899963378906,12052.7001953125,17430.10009765625,1963.6000061035156,-4364.200134277344,-3318.2998657226562,-437.59998321533203,255.0,240.0,,0.28297374151435145,2.0094298737764795,-0.3399709540952867,True,5,False,17.9095054313701,True,6,,76561198039309853,enpitsu,25.0,398.1400146484375,-4339.8701171875,17.049999237060547,4441.9000244140625,2416.1000061035156,3.799999952316284,-0.0,-0.0,2288.699951171875,255.0,255.0,False,-0.016637060806197985,2.6471976570585714,-2.4562327218010964e-05,True,204.0,False,2,False,2,,Carlagr27,ba55cb3f8fb,12,300.7900085449219,1175.530029296875,697.8200073242188,10381.400146484375,-16676.700439453125,-6663.499755859375,1118.8999938964844,392.5,972.3000335693359,255.0,163.0,False,-0.06065186280824597,-1.9582594205914048,0.16768884754526964,True,94.0,False,6,4,4,,Xxguruguillo74xX,250133438555295361,16.0,-533.8499755859375,2109.3798828125,35.720001220703125,-1876.300048828125,11150.799560546875,-1133.0000305175781,-1620.2999877929688,5118.599853515625,1193.3999633789062,255.0,128.0,,0.15893979121123983,1.1964773714728527,-0.37817757512217565,True,255.0,False,6,4,4,
2,1374,34,True,1,5467.716941198666,-742.5,-76.44000244140625,296.4599914550781,-148.100004196167,31048.701171875,-2059.2999267578125,-4499.4000244140625,-259.3000030517578,-3960.7000732421875,1.0,-0.8611914433932039,-1.9086415889570052,2.2443113930019916,76561198039309853,enpitsu,25.0,-770.5800170898438,-236.3000030517578,230.55999755859375,-10220.700073242188,17014.300537109375,1250.6999969482422,-1306.3999938964844,-3589.7000122070312,-3956.7999267578125,255.0,128.0,False,0.33180120346171094,1.3458566365471933,-0.17212947908730544,True,3,False,120.0,False,4,,bf81d8692db,games5425898691,20.0,4078.860107421875,2995.7900390625,286.2300109863281,-134.60000038146973,-19813.199462890625,-9380.30029296875,1290.0999450683594,597.5,-233.09999465942383,255.0,0.0,,-0.4828083181134206,-1.5754803695181792,1.5684094335302636,True,198.55686890181673,True,6,False,6,,Carlagr27,ba55cb3f8fb,11,3397.050048828125,1914.8599853515625,17.020000457763672,-5630.9002685546875,22251.10107421875,1.0999999940395355,0.09999999776482582,0.29999999329447746,-356.6999816894531,255.0,128.0,False,-0.009602926114842878,1.355726535715234,0.00018486386027109707,False,0.0,False,6,4,4,,Xxguruguillo74xX,250133438555295361,16.0,-712.5700073242188,2995.5400390625,17.059999465942383,1198.3000183105469,12771.700439453125,1.8000000715255737,-0.0,-1.0999999940395355,-28.499999046325684,255.0,128.0,False,-0.01672581835046369,1.6680436000170797,0.00010271119849653277,True,255.0,False,6,4,4,
3,2021,48,False,1,5190.364605791874,-2317.679931640625,1064.199951171875,127.41000366210938,10324.49951171875,20830.70068359375,9357.39990234375,5307.19970703125,-1375.0,-1866.199951171875,1.0,1.1152201617426887,-2.156698679361482,-1.4252282517772978,76561198039309853,enpitsu,25.0,-2383.360107421875,901.9000244140625,75.7300033569336,6020.8001708984375,9745.900268554688,2530.500030517578,460.29998779296875,2741.400146484375,-123.69999885559082,255.0,128.0,False,-0.04705225671792896,2.078468896590237,0.03944501223538,True,5,False,96.0,False,6,,bf81d8692db,games5425898691,20.0,-2253.7099609375,4747.35986328125,17.020000457763672,-1417.5999450683594,-8473.800048828125,5.099999904632568,5.699999928474426,-22.799999713897705,-2497.7999877929688,255.0,0.0,,-0.009158476552557955,-1.3700303318905187,-0.0010374831609021448,True,43.0,False,4,False,6,,Carlagr27,ba55cb3f8fb,11,-834.3900146484375,4521.2998046875,17.010000228881836,-943.8999938964844,-3614.4000244140625,2.7000001072883606,-0.29999999329447746,-0.29999999329447746,0.0,201.0,128.0,False,-0.009555786937066374,-1.3154634067192192,-4.2053224654283334e-05,True,194.0,False,6,False,4,,Xxguruguillo74xX,250133438555295361,15.0,866.8900146484375,4298.7001953125,17.059999465942383,-5083.999938964844,18860.50048828125,2.3999999463558197,0.19999999552965164,-0.7999999821186066,3004.7000122070312,128.0,210.0,False,-0.016789814044217293,0.9298468587255845,0.00010645238382114165,True,226.0,False,4,False,4,
4,2347,60,True,0,4196.346780196327,-3849.830078125,2159.360107421875,732.8300170898438,17651.700439453125,16032.7001953125,372.09999084472656,-2883.2000732421875,-2144.9000549316406,-2672.5,0.0,1.3181351070875649,-1.6155512381066617,-1.8622793620221336,ba55cb3f8fb,Carlagr27,11.0,-3981.5,2124.760009765625,732.5900268554688,11005.2001953125,15934.300537109375,1611.9999694824219,-1192.3999786376953,4385.5999755859375,2758.9999389648438,255.0,0.0,,0.047011014533246485,1.5756715090484306,1.712268644497498,,5,4,226.0,False,12,,250133438555295361,Xxguruguillo74xX,15.0,3134.260009765625,-4038.659912109375,17.059999465942383,-9186.900024414062,5969.0997314453125,2.7000001072883606,-0.19999999552965164,0.0,-2387.2000122070312,255.0,0.0,,0.01670241218488133,2.5125234788631556,-1.5984752466655684e-05,True,255.0,False,4,4,6,,enpitsu,76561198039309853,25,-3077.219970703125,624.5399780273438,17.030000686645508,6271.9000244140625,20569.69970703125,1.4000000059604645,0.19999999552965164,0.29999999329447746,-524.3999862670898,255.0,128.0,,0.016790687810762626,1.2327037929938245,0.0001992166158100066,True,159.17883019549868,True,10,False,8,,games5425898691,bf81d8692db,20.0,-3653.6298828125,2391.169921875,91.33999633789062,5392.8997802734375,19502.39990234375,-167.39999771118164,-5309.2999267578125,1425.3999328613281,-170.6999969482422,255.0,128.0,,0.809975050281677,-1.8004407832905132,-3.093450133284519,,31.0,False,10,False,7,
5,2709,64,False,0,4854.911024674686,-597.72998046875,294.260009765625,95.87999725341797,1236.9999694824219,19559.3994140625,5397.1002197265625,4404.5001220703125,-3542.3001098632812,-922.7999877929688,0.0,1.2202204339165952,1.5955933267500653,2.063109298475424,250133438555295361,Xxguruguillo74xX,16.0,-641.75,140.63999938964844,16.579999923706055,-1781.3999938964844,14873.1005859375,-558.6999893188477,473.80001068115234,2295.800018310547,-2756.0000610351562,255.0,128.0,,0.011509567925967253,1.6288836381093341,0.0189508982069732,False,False,False,87.91917434815437,True,False,,ba55cb3f8fb,Carlagr27,13.0,-371.0799865722656,-18.940000534057617,17.010000228881836,-5850.4998779296875,3272.0001220703125,2.7000001072883606,0.0,-0.3999999910593033,1.8000000715255737,255.0,128.0,,0.009467242335601709,2.63196042611473,2.593692873005905e-05,,31.0,False,4,False,4,,enpitsu,76561198039309853,25,-123.69000244140625,425.2200012207031,17.040000915527344,-5423.599853515625,6709.7998046875,5.199999809265137,-0.29999999329447746,0.09999999776482582,-2468.699951171875,255.0,0.0,,0.01666933073079546,2.2225706435324266,-2.0352591195880615e-05,True,0.0,False,2,False,2,,games5425898691,bf81d8692db,20.0,-3215.080078125,2465.580078125,17.010000228881836,18598.900146484375,-2319.9000549316406,0.5000000074505806,-0.3999999910593033,0.0,1975.8000183105469,255.0,255.0,,0.009590521395281692,-0.05374473988559443,1.745310437017464e-05,True,230.03792694819873,True,False,False,False,
6,2740,65,False,0,2670.4692556701716,-444.94000244140625,2507.89990234375,292.20001220703125,5856.5997314453125,25464.7998046875,2119.4000244140625,2177.5999450683594,-3205.10009765625,1048.7999725341797,0.0,1.0800859779120577,1.3267789985651797,1.7414994802557235,250133438555295361,Xxguruguillo74xX,16.0,-502.260009765625,2377.330078125,176.00999450683594,3890.8999633789062,21888.798828125,-274.89999771118164,-3538.599853515625,2105.7000732421875,1352.5,255.0,128.0,,0.9393750658510026,2.11482215650289,1.1194245443621733,False,3,False,14.0,False,4,,ba55cb3f8fb,Carlagr27,13.0,-1607.8800048828125,-29.979999542236328,17.010000228881836,-16837.2998046875,-2208.8999938964844,0.0,0.7000000029802322,-0.09999999776482582,-12.100000381469727,255.0,128.0,,0.00958163867226427,-3.012830215309224,5.00999208988234e-05,True,3.060266471678212,True,4,False,4,,enpitsu,76561198039309853,25,-352.1400146484375,1886.6700439453125,86.76000213623047,-1686.6999816894531,15108.699951171875,-517.7000045776367,-4630.7000732421875,-302.90000915527344,-9.800000190734863,128.0,128.0,,-1.2291990496531566,1.6422006007339711,-0.006331294914201801,True,0.0,False,4,False,4,,games5425898691,bf81d8692db,20.0,-885.8599853515625,2910.9599609375,180.8699951171875,22661.298828125,3267.3001098632812,2188.0999755859375,1141.6000366210938,75.10000228881836,-1143.7000274658203,255.0,77.0,,-0.6252562809120462,-0.699069578161525,0.34410690203422734,True,171.28065366642446,True,4,False,False,
7,4529,130,False,1,2042.9266017303273,1686.52001953125,3256.219970703125,186.32000732421875,-13387.2998046875,20231.600341796875,-496.8000030517578,-2676.0000610351562,3871.099853515625,-460.99998474121094,1.0,-1.4411220365256792,-2.7641969202116514,-2.710496004131,bf81d8692db,games5425898691,20.0,1730.739990234375,3081.429931640625,146.52999877929688,-7946.6998291015625,11949.69970703125,1153.7999725341797,3020.7998657226562,-4212.9998779296875,1836.9999694824219,255.0,255.0,,-0.18853753284281222,0.887810215301807,-0.6192455881379093,True,23,False,146.0,False,26,,76561198039309853,enpitsu,25.0,2935.840087890625,4946.56982421875,262.9100036621094,-4771.7999267578125,4069.1000366210938,-3092.60009765625,12.400000095367432,-1957.2999572753906,1692.8999328613281,128.0,128.0,,0.3675302037774813,0.3630154838146567,-0.8403377607483322,True,191.0,False,18,False,20,,Carlagr27,ba55cb3f8fb,11,1794.8800048828125,4538.47021484375,49.15999984741211,-12704.000244140625,-10811.800537109375,3536.6000366210938,-312.2999954223633,383.6000061035156,-886.2999725341797,255.0,84.0,,0.0025217237844149844,-0.6884467800896373,-0.0012306945552706262,True,204.0,False,19,False,14,,Xxguruguillo74xX,250133438555295361,19.0,849.219970703125,4037.7099609375,55.09000015258789,3105.7998657226562,-15308.399658203125,3648.5000610351562,-0.0,0.3999999910593033,-20.299999713897705,255.0,128.0,,-0.01677613856607161,-1.7669294723954694,5.5820435642216085e-05,True,144.91905379295346,True,23,6,12,
8,4768,139,True,0,2405.727325454545,1128.68994140625,3840.7099609375,189.97000122070312,-21144.89990234375,18579.300537109375,-2696.0000610351562,2780.5999755859375,-1001.9999694824219,5148.900146484375,0.0,0.2973701559813181,-2.4220973543541664,-0.9827231959235403,ba55cb3f8fb,Carlagr27,11.0,1262.6099853515625,3730.6201171875,198.1999969482422,-4721.9000244140625,19355.0,1737.8999328613281,-2328.3999633789062,1326.0000610351562,4594.800109863281,255.0,128.0,,-0.2812183061785735,2.171524932786342,-0.0325847558196922,True,17,4,45.0,False,24,,250133438555295361,Xxguruguillo74xX,18.0,2931.3701171875,4758.72998046875,16.649999618530273,1822.4000549316406,-10287.2998046875,-375.49999237060547,-470.09998321533203,1120.5999755859375,-1859.4000244140625,255.0,128.0,,0.024489120549803067,-1.4711978507483134,0.02690521750446441,True,179.0,False,12,8,26,,enpitsu,76561198039309853,25,1037.1099853515625,4683.18994140625,99.05999755859375,-3288.800048828125,-6621.300048828125,4141.499938964844,1.1999999731779099,3.3000001311302185,-401.89998626708984,128.0,0.0,False,0.016460765485144958,-2.071337584207932,0.0005328441802462697,True,45.361307577420305,True,24,False,21,,games5425898691,bf81d8692db,20.0,1460.72998046875,4911.2001953125,398.9800109863281,-3342.0001220703125,-842.6000213623047,-190.59999465942383,1326.0000610351562,-1668.699951171875,1240.4000091552734,255.0,128.0,,-0.9204941051144444,3.1102267921204545,-2.0632772342347776,True,209.25124292219837,True,30,False,28,
9,6275,185,False,1,4426.027477686988,-3160.360107421875,3369.219970703125,183.0,13859.7998046875,9286.900024414062,6419.7998046875,5570.5999755859375,-2193.800048828125,-392.7000045776367,1.0,-0.10233386165703717,2.3990550111978983,1.076876540329756,bf81d8692db,games5425898691,20.0,-3203.2900390625,3318.43994140625,50.09000015258789,12600.0,9730.700073242188,2368.300018310547,-1528.8999938964844,2261.999969482422,-2124.600067138672,255.0,75.0,,-0.04785576456088278,2.534705942364861,0.0007655057709986782,True,16,False,210.0,False,20,,76561198039309853,enpitsu,25.0,-2207.8798828125,2995.60009765625,17.059999465942383,3641.4999389648438,-3958.2000732421875,1.899999976158142,0.7999999821186066,0.5999999865889549,0.0,255.0,0.0,,-0.016766665381337375,0.8270247062558874,1.2724789950817677e-05,True,83.0,False,12,2,16,,Carlagr27,ba55cb3f8fb,12,48.27000045776367,4918.52978515625,17.010000228881836,5899.1998291015625,3982.39990234375,2.5,0.29999999329447746,0.9000000357627869,-83.99999618530273,50.0,166.0,False,-0.009703335051701595,-0.5916424834641067,-0.00013902494195110405,True,166.0,False,16,4,14,,Xxguruguillo74xX,250133438555295361,18.0,-3467.14990234375,4228.9599609375,17.40999984741211,-414.00001525878906,-10158.900146484375,-625.4999923706055,-740.4000091552734,-919.8000335693359,2324.7999572753906,255.0,255.0,False,-0.03858900420665673,-1.6033409949298092,-0.04028918010326442,True,184.0,False,16,4,12,
