,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect
0,525,12.0,True,0,3885.3724413150517,2762.5400390625,3831.8701171875,115.05000305175781,-19837.099609375,11700.400390625,2299.199981689453,-3791.199951171875,1763.800048828125,-4302.900085449219,0.0,-0.26090718029820165,-1.5616638889533359,3.026410021245878,76561198156643344,TerraMW,3.0,2942.39990234375,3760.110107421875,61.900001525878906,-16351.8994140625,4445.799865722656,3022.60009765625,891.3999938964844,-2087.5,2525.0,255.0,255.0,,0.0402086856118899,2.678402121509258,-0.011928321647741828,True,0.0,False,False,7,10,,76561198054434500,:(,11.0,-1138.6099853515625,2647.02001953125,17.010000228881836,-7329.6002197265625,19417.7001953125,2.3000000417232513,-2.3000000417232513,1.1999999731779099,-1733.800048828125,89.0,76.0,False,0.009641338824004435,1.8673194029788764,-9.509027215414389e-05,True,128.0,False,4,8,6,,enpitsu,76561198039309853,24,3478.860107421875,4529.89013671875,203.74000549316406,-8716.699829101562,13131.300048828125,-4139.4000244140625,2350.7000732421875,-4383.999938964844,2346.1000061035156,255.0,255.0,False,-0.17174781120788843,2.310714420047634,-0.6073678775394135,True,4.816344053514541,True,4,False,2,,games5425898691,bf81d8692db,19.0,2123.010009765625,812.27001953125,56.22999954223633,-5747.7001953125,22184.599609375,-1950.7000732421875,-2123.8999938964844,-711.9999694824219,7.699999809265137,255.0,128.0,,-0.42186358816656727,1.8926221677795567,0.004334460811857583,True,159.8973074548988,True,6,4,False,
1,1141,26.0,True,0,3647.535253034426,-2891.830078125,2086.93994140625,443.07000732421875,17861.300048828125,20641.10107421875,3465.0,558.1999969482422,-2791.300048828125,-1729.4999694824219,0.0,-0.416571766197758,2.9388484357556766,-0.6165788786164653,76561198156643344,TerraMW,3.0,-3030.719970703125,1898.739990234375,297.8900146484375,13920.2001953125,12186.400146484375,3628.5000610351562,344.39998626708984,1977.2999572753906,926.1000061035156,255.0,0.0,False,-0.815629314817239,1.3950864262761575,-0.15660887913644816,True,45.770941849677804,True,4,3,6,,76561198054434500,:(,11.0,-1752.1099853515625,1433.780029296875,17.010000228881836,10386.500244140625,637.400016784668,2.5,-0.29999999329447746,0.0,-2381.9000244140625,255.0,0.0,False,0.009532588030788262,0.007903640576827606,3.227665830832433e-05,True,247.0,False,False,10,10,,enpitsu,76561198039309853,24,-2920.75,1971.0400390625,17.030000686645508,16786.700439453125,-4888.800048828125,5.099999904632568,0.19999999552965164,0.19999999552965164,6.1000001430511475,255.0,128.0,False,0.0167436750116972,-0.2826511056381618,-1.1793956907232276e-05,True,93.17345379244897,True,8,False,8,,games5425898691,bf81d8692db,19.0,-3027.60009765625,2156.14990234375,243.77999877929688,11963.499755859375,-10102.100219726562,3785.8999633789062,-2311.300048828125,1608.2000732421875,-4724.5001220703125,255.0,252.0,,-1.2163765452368016,-0.1645704152254755,-0.9779035453831207,True,2.944300828441503,True,6,5,False,
2,1560,31.0,False,0,5897.239792140049,2792.659912109375,538.780029296875,95.76000213623047,-13668.1005859375,24604.29931640625,-1064.1999816894531,-872.6999664306641,-1156.6000366210938,-5822.39990234375,0.0,0.639478758676047,2.1773809682196124,0.4530983550946104,76561198156643344,TerraMW,4.0,2964.56005859375,403.7699890136719,44.83000183105469,-10721.600341796875,-3292.3001098632812,2205.2000427246094,-2065.500030517578,1198.3000183105469,-4954.5001220703125,255.0,1.0,,-0.0009834524173424797,-3.1311629655819018,0.01995082860161769,True,255.0,False,False,4,6,,76561198054434500,:(,10.0,-2114.4599609375,-81.0,17.010000228881836,2240.0999450683594,515.2000045776367,2.5,-2.0999999344348907,-0.9000000357627869,-911.3999938964844,255.0,34.0,False,0.009523413716108058,0.13772670832423506,-8.286110316272503e-06,True,19.0,False,False,4,False,,enpitsu,76561198039309853,24,-2865.159912109375,-4292.60986328125,17.059999465942383,3888.699951171875,4693.900146484375,2.3000000417232513,-2.5,0.3999999910593033,1745.8000183105469,0.0,128.0,,0.017132281647397968,0.9147879697575695,-5.164977611262713e-05,True,,False,4,False,4,,games5425898691,bf81d8692db,19.0,1148.0,4145.31982421875,17.030000686645508,13065.699462890625,-247.99999237060547,0.0,0.0,-0.9000000357627869,-2123.5000610351562,128.0,0.0,,0.009690406103274403,-0.07994659937427379,-2.58224309300806e-05,True,186.0,False,False,False,False,
3,1874,43.0,True,1,3542.947501963988,3125.929931640625,2386.840087890625,413.42999267578125,-20426.400146484375,19147.7001953125,4217.200012207031,4475.4998779296875,-3985.5999755859375,-289.3000030517578,1.0,0.06682308874820998,2.171154591417328,-3.134837477011202,bf81d8692db,games5425898691,19.0,3245.320068359375,2228.8798828125,244.82000732421875,-7037.19970703125,17556.8994140625,3833.800048828125,-1932.5,900.8999633789062,-140.39999961853027,255.0,95.0,,0.8849813247679669,1.5119791821915387,0.28142641622562586,True,161.3549764925433,True,False,7,8,,76561198039309853,enpitsu,24.0,595.25,310.42999267578125,17.059999465942383,6745.0,-7257.0001220703125,1.1999999731779099,-0.29999999329447746,0.29999999329447746,-589.1999816894531,255.0,128.0,False,-0.01668072854097813,-2.2704737017680774,0.00033587462639600565,True,151.0,False,False,6,6,,TerraMW,76561198156643344,3,2788.570068359375,2865.300048828125,126.58000183105469,7452.1002197265625,-18011.099853515625,6551.400146484375,-839.4000244140625,-321.30001068115234,491.8000030517578,255.0,128.0,,0.20128436183134904,-2.048737341022859,-0.010356714366109602,True,87.9506152035088,True,10,3,8,,:(,76561198054434500,11.0,2951.3701171875,4607.27001953125,17.0,-8475.599975585938,7188.499755859375,3.400000035762787,1.5000000596046448,-2.199999988079071,49.29999828338623,128.0,131.0,False,-0.009607560901007617,0.7067185306873504,0.00015365138386969177,True,172.0,False,8,6,False,
4,2171,44.0,False,1,5180.036425054358,-2.880000114440918,38.54999923706055,96.37999725341797,-3454.2001342773438,24769.89990234375,1587.5999450683594,5724.7998046875,229.69999313354492,-1781.3999938964844,1.0,0.006788745201735569,0.03599089426909227,-0.11670224275853519,bf81d8692db,games5425898691,18.0,31.850000381469727,-130.02000427246094,92.44000244140625,-1808.8999938964844,22826.99951171875,209.3000030517578,-5470.10009765625,566.3999938964844,-83.50000381469727,255.0,111.0,,-1.2862299095174285,1.7260574084922309,-0.049023654455969894,True,0.0,False,False,3,4,,76561198039309853,enpitsu,24.0,25.989999771118164,-2109.5,17.049999237060547,2823.2998657226562,11883.399658203125,2.800000011920929,2.199999988079071,8.100000023841858,-1374.4999694824219,255.0,128.0,,-0.016736025479287077,1.858599445865003,-4.364853413528903e-06,True,117.0,False,False,2,2,,TerraMW,76561198156643344,3,2646.0,4130.97021484375,17.010000228881836,18599.300537109375,-1862.2000122070312,2.3000000417232513,-0.09999999776482582,0.29999999329447746,-1720.5999755859375,255.0,0.0,True,-0.009568794436156733,-2.9994522294057337,-0.0001349490560898762,True,22.0,False,False,False,False,,:(,76561198054434500,11.0,-22.25,329.6700134277344,67.93000030517578,8139.6002197265625,-10582.60009765625,2265.5999755859375,-0.29999999329447746,-0.09999999776482582,-19.800000190734863,128.0,128.0,,-0.009759107736229934,-2.220016486943027,1.5843112027265903e-05,True,31.0,False,6,4,False,
5,2291,49.0,False,1,3754.618358620157,-2854.830078125,4971.3798828125,1120.3299560546875,16114.300537109375,358.1999969482422,-602.2999954223633,-3934.2999267578125,-425.09998321533203,-3934.1000366210938,1.0,0.1429228772019501,0.0040683365998307125,-1.7661861213456373,bf81d8692db,games5425898691,19.0,-3028.56005859375,4978.56982421875,1107.3499755859375,9467.60009765625,6828.3001708984375,-58.00000190734863,-1324.9000549316406,1141.3999938964844,-2206.4999389648438,255.0,0.0,,-0.06692474180967335,2.602191065925916,1.5604210697870946,True,230.7332644257494,True,False,4,4,,76561198039309853,enpitsu,24.0,-2248.0,1599.1199951171875,17.049999237060547,12205.6005859375,16513.800048828125,3.0000001192092896,-0.5000000074505806,-0.7000000029802322,1974.1999816894531,255.0,128.0,,-0.0167783340803959,2.1404626839803598,9.583093442952139e-05,True,187.0,False,False,2,2,,TerraMW,76561198156643344,3,118.56999969482422,5525.22998046875,23.780000686645508,-7079.89990234375,-1130.6999969482422,-44.80000019073486,-0.0,-87.70000457763672,2220.2000427246094,,255.0,,-0.016708038374644636,-0.18004461311225467,-0.038823650062396846,True,225.0,False,False,False,False,,:(,76561198054434500,11.0,3851.64990234375,574.260009765625,18.860000610351562,-2372.2999572753906,14683.699951171875,-176.29999160766602,-104.79999542236328,653.0000305175781,2086.6000366210938,255.0,255.0,False,-0.022252933333965285,1.3433358629445387,-0.087031044689051,True,220.5668902140792,True,6,4,False,
6,2621,61.0,True,0,639.4988830210767,-1278.199951171875,4627.27978515625,94.25,11858.699951171875,5534.2999267578125,1527.2000122070312,94.30000305175781,-777.3000335693359,-5948.599853515625,0.0,0.27587967528427604,-2.325453037542322,2.939914262961246,76561198156643344,TerraMW,3.0,-1456.449951171875,4509.7998046875,66.68000030517578,5816.400146484375,18386.099853515625,2906.0000610351562,661.2000274658203,4563.699951171875,-2032.7999877929688,76.0,0.0,,0.012666279093114371,1.3998902491905518,0.12530982925587394,True,62.72889470028621,True,False,5,6,,76561198054434500,:(,10.0,446.1700134277344,3298.219970703125,100.2699966430664,-6845.3997802734375,-12521.8994140625,-146.70000076293945,2451.199951171875,-4804.5001220703125,1075.8999633789062,220.0,128.0,False,-0.8987507685982693,-0.34414363620397703,-2.564803120749228,True,0.0,False,4,14,7,,enpitsu,76561198039309853,24,153.6199951171875,3258.320068359375,48.5099983215332,-5507.9998779296875,-13905.10009765625,-2507.5999450683594,1213.8999938964844,-1751.7999267578125,-1588.9999389648438,255.0,0.0,True,-0.12072779533854411,-2.110960971202215,-0.3080170089456283,True,76.0,False,6,False,6,,games5425898691,bf81d8692db,19.0,682.3599853515625,3996.419921875,17.010000228881836,-9478.200073242188,416.8000030517578,3.0000001192092896,0.0,1.2999999523162842,-2444.1000366210938,255.0,0.0,,0.009617617576816673,3.0531363566317644,9.607554178734211e-07,True,192.0,False,10,10,False,
7,3559,86.0,True,1,1706.0879618193683,-726.2999877929688,4611.91015625,198.4600067138672,4075.8999633789062,21103.701171875,721.9999694824219,1687.2000122070312,4745.799865722656,29.000000953674316,1.0,0.5070902556551705,-1.1967240188307322,-0.2945411890968098,76561198039309853,enpitsu,24.0,-707.8400268554688,4353.0400390625,189.1300048828125,199.89999771118164,12104.100341796875,2278.699951171875,-3494.2001342773438,1878.3000183105469,-647.9000091552734,255.0,0.0,False,-0.04718161311596265,1.2149078737890975,0.03738682842641701,True,155.0,False,False,7,8,,bf81d8692db,games5425898691,19.0,-1669.7900390625,4913.35986328125,13.729999542236328,2622.0001220703125,-10080.499877929688,35.899999141693115,-615.6999969482422,778.7999725341797,-30.0,255.0,128.0,,0.01885024126825128,-1.809892083530133,-0.017403189441007196,True,62.0,False,False,12,10,,TerraMW,76561198156643344,3,-1279.6300048828125,3551.860107421875,17.0,4549.4000244140625,-13283.199462890625,3.3000001311302185,0.3999999910593033,-1.5000000596046448,-531.3999938964844,255.0,132.0,False,-0.009582402720808753,-1.8532705319917653,0.00019112777897679667,True,81.0,False,12,4,8,,:(,76561198054434500,11.0,-813.1699829101562,4675.89990234375,46.13999938964844,9827.999877929688,-7238.0999755859375,3460.7000732421875,3.0000001192092896,13.200000524520874,406.89998626708984,216.0,128.0,False,-0.009776226899814935,-2.546721038969197,-0.00033904498685361504,True,223.72708810273036,True,14,8,4,
8,3820,86.0,False,1,5183.869917622566,6.929999828338623,32.939998626708984,106.16000366210938,3050.4998779296875,22079.3994140625,7290.0,4740.5999755859375,-2685.4000854492188,2512.7999877929688,1.0,-0.05433595401109283,-0.04640909046075016,-0.09087092088833441,76561198039309853,enpitsu,24.0,-30.899999618530273,-181.5800018310547,17.049999237060547,9750.900268554688,16814.69970703125,2.5999999046325684,0.29999999329447746,0.5999999865889549,136.40000343322754,255.0,255.0,,-0.016785072466256618,2.0822740872740693,-0.0001065557630843025,True,0.0,False,False,False,False,,bf81d8692db,games5425898691,19.0,2849.639892578125,-4091.77001953125,17.010000228881836,17068.599853515625,-6747.2998046875,2.0999999344348907,3.0000001192092896,-1.0000000149011612,617.599983215332,255.0,251.0,,-0.009578867247010056,-2.763313119900111,8.331577209500186e-05,True,255.0,False,False,False,False,,TerraMW,76561198156643344,3,3141.6201171875,4061.56005859375,16.989999771118164,-574.7999954223633,-892.9000091552734,6.899999976158142,4.900000095367432,-3.700000047683716,-564.3999862670898,255.0,0.0,,-0.009136975948470584,-1.1405968595979543,-0.0002859897381856912,True,223.66329478961168,True,4,False,4,,:(,76561198054434500,11.0,-32.72999954223633,5315.60986328125,17.010000228881836,-276.8000030517578,1989.7999572753906,2.0000000298023224,-0.0,-0.5999999865889549,-0.5000000074505806,255.0,128.0,,-0.009265698402010733,-1.7108702400915978,-5.362771255770369e-05,True,116.0,False,False,False,False,
9,4240,101.0,False,0,2015.9405016484302,-1059.8599853515625,3130.72998046875,845.2000122070312,6300.2001953125,14719.7998046875,-8345.30029296875,-2599.7000122070312,-2387.2000122070312,4268.2000732421875,0.0,-0.5239958330297843,-0.8436374230371445,1.682128898023108,76561198054434500,:(,11.0,-1013.510009765625,2938.320068359375,855.5,11386.99951171875,8928.800048828125,825.1000213623047,-1946.1000061035156,-2070.399932861328,-4709.100036621094,128.0,221.0,,-0.30643923731111006,2.93894766810815,2.5797337797099655,True,117.0,False,6,4,8,,76561198156643344,TerraMW,3.0,-3196.669921875,4311.52001953125,17.010000228881836,1354.4999694824219,-3678.0999755859375,2.199999988079071,0.0,0.09999999776482582,273.1999969482422,255.0,150.0,,0.009473511506014573,-1.2410504316125124,5.2575745174223986e-05,True,0.0,False,4,8,6,,enpitsu,76561198039309853,24,-271.8399963378906,5478.97021484375,21.989999771118164,769.8000335693359,-3434.4000244140625,-135.2999973297119,0.7999999821186066,0.0,0.29999999329447746,255.0,0.0,,0.05502996672450136,-1.3493543394201548,0.008653678734363257,True,61.0,False,4,False,4,,games5425898691,bf81d8692db,19.0,-4078.989990234375,1838.25,345.6199951171875,3.1999999284744263,10225.0,-8177.60009765625,27.799999713897705,0.0,0.0,255.0,128.0,,0.6538727544635973,1.582850042720853,1.5781366059996373,True,115.0,False,4,4,False,
