Game ID                             	  ground	  low in air	  high in air	  defending half	  attacking half	  defending third	  neutral third	  attacking third	  behind ball	  in front of ball	  near wall	  in corner	  on wall	  full boost	  low boost	  no boost	  closest to ball	  close to ball	  furthest from ball	  slow speed	  boost speed	  supersonic	  carrying ball
f335ed82-7ffb-4a02-b175-fb745e60e592	 201.112	     103.761	            0	         191.835	         130.728	          151.625	        90.4566	          80.4818	      245.451	           77.1122	    68.6906	    2.03746	  68.6906	     21.8782	    90.7771	   31.0944	          87.4074	        31.5278	             57.3757	     32.8589	      184.786	      41.695	        1.71223
8b14adce-efa2-4691-8f39-6579a8c16c73	 199.597	     91.1008	      4.00644	         225.011	          90.057	          185.469	        83.7263	          45.8733	      235.418	           79.6506	    81.7983	    3.27736	  81.7983	     17.3302	    124.694	    34.632	          68.9891	        28.5086	             70.4849	     34.3881	      186.219	     56.7332	              0
abd85456-085b-4efe-a267-4d5901748394	 185.248	     117.012	     0.763972	         197.671	         123.518	          149.497	        95.7371	          75.9548	      253.354	           67.8357	    80.5441	    6.30184	  80.5441	     21.3388	    109.598	   50.3249	          81.1475	        29.9682	             65.9726	     26.8472	      208.573	     51.5584	              0
4541a24d-dd83-49ae-9541-ed88b6e8095b	 114.514	      53.526	      5.82626	         121.613	         63.7992	          95.8723	        45.3715	          44.1684	       139.82	            45.592	    55.7146	     2.6601	  55.7146	     14.1944	    49.1225	   11.6513	          43.8424	        15.7995	               58.33	     15.0794	      131.849	     32.9566	              0
7c284da5-5de1-4308-85de-dd4e3c61027f	 176.035	     118.957	      4.73376	         209.233	         108.298	          166.313	        79.8004	          71.4179	      197.199	           120.333	    81.4705	    8.15578	  81.4705	      16.674	     110.34	   38.4627	          62.7098	        28.2938	             81.4143	     28.7285	      205.553	     55.8764	        1.79066
453595e9-31c4-4b68-a1ee-6efcd704945b	 175.675	     113.899	      6.84141	         196.564	         116.303	          141.724	        110.112	          61.0308	      225.554	           87.3126	    70.6407	    5.78726	  70.6407	     28.0324	    118.161	   30.9519	          68.5523	        22.1647	             80.2093	     29.6043	      186.557	     56.1785	              0
d21367d8-195b-4926-9484-999adc47fed1	 189.397	     94.5644	      8.81223	         197.633	         113.702	          152.924	        84.7916	          73.6192	      222.298	            89.037	    96.9195	    6.52227	  96.9195	     36.3407	    81.7014	   34.1521	          66.1352	        29.9751	             83.0878	     33.3409	      186.634	      50.468	              0
139304ee-cc4a-4586-a35d-01966128f66b	 248.081	     140.863	      3.42222	         244.564	         169.856	          194.862	        105.847	           113.71	      296.141	           118.279	    101.167	    10.5226	  101.167	     26.5846	    145.592	   38.4432	          107.942	        38.6973	             76.3019	     34.2957	      235.668	     56.8823	        1.02066
a4aa7a73-488b-4ac1-9b91-26de8bac023a	 195.384	     97.5604	       10.195	         188.574	         128.986	          151.114	        88.6883	          77.7587	      235.371	           82.1898	    63.8893	    5.39061	  63.8893	      39.651	    89.7558	   15.9101	          76.9377	         25.528	             87.7244	      23.455	      195.637	     39.6123	              0
5382d62f-9e02-41dc-b3a5-5fe578066adc	 206.481	      91.977	      6.33544	         169.497	         146.688	          121.681	        89.4687	          105.036	      214.137	           102.049	    76.0986	     3.9338	  76.0986	     26.5723	    64.5602	   24.8374	          89.9694	        28.7968	             75.2519	     28.2169	      172.827	     36.9675	        1.34749
