Game ID                             	  ground	  low in air	  high in air	  defending half	  attacking half	  defending third	  neutral third	  attacking third	  behind ball	  in front of ball	  near wall	  in corner	  on wall	  full boost	  low boost	  no boost	  closest to ball	  close to ball	  furthest from ball	  slow speed	  boost speed	  supersonic	  carrying ball
12abdb60-12d9-492c-8cf5-8c4773b30648	 232.047	     69.6488	            0	         171.366	         137.535	          116.924	         106.48	          85.4966	      239.645	           69.2556	    51.2731	    4.65916	  51.2731	     32.3775	    102.872	     44.82	          60.5151	        25.7681	              94.314	     52.8689	      136.189	     30.6647	              0
06384ecc-dd9b-4dc4-9169-eccd76d66b72	 222.926	     80.1818	            0	         196.277	         117.829	          155.827	        77.0181	          81.2605	      232.255	           81.8512	    69.9057	    3.23996	  69.9057	     26.0348	    137.693	    46.347	          61.0767	        35.4091	             96.6202	     56.6455	      125.794	     32.7317	        1.85879
edde65bb-c70f-4157-9288-dd5e3bb187e9	  227.22	     95.6358	      2.65842	         215.842	         117.422	          159.861	        102.338	           71.138	      253.961	           79.3759	    68.1212	    3.82103	  68.1212	     23.3797	     134.64	   55.3937	          67.9858	        23.8565	             87.1022	     62.9191	      133.321	     24.2385	              0
1536e2e7-fff0-48d0-921a-4189b0737e0f	 205.454	     93.1214	       2.9921	         173.938	         138.116	          123.037	         97.839	          91.1781	      228.925	           83.1292	    69.0947	    7.32624	  69.0947	     29.4273	    85.5393	   35.4021	          84.7931	        22.0251	             70.9375	     56.0706	      143.685	     26.1434	              0
63a87f1c-94a0-4b5d-954b-dac69ddcb47d	  218.04	     86.4773	            0	         198.484	         118.669	          129.376	        124.274	          63.5024	      226.567	           90.5862	    65.3821	     3.6427	  65.3821	      27.393	    105.699	   41.4275	          72.6037	        21.8454	             78.1507	     48.5778	      147.668	     33.9778	        2.95211
4716b757-9ea3-4299-b705-4fc86f3a137b	 219.023	     88.5347	            0	         209.787	         103.524	          164.452	        80.1096	          68.7494	      234.376	           78.9355	    55.4315	    3.64211	  55.4315	     26.0392	    100.205	   35.7599	          75.7682	        30.2952	             62.9263	     60.8076	      124.786	     15.9756	              0
d9fc33f3-ee67-4361-95bc-128f44ba28bb	 219.098	     91.3417	            0	         211.756	         108.879	          150.035	         115.84	          54.8329	      199.318	            121.39	    80.1387	    2.61998	  80.1387	     21.9569	    141.247	    52.989	          74.8967	        31.4945	             67.5683	     44.3495	      158.754	     36.4843	              0
aaa1e2f9-e938-4f9c-b0a4-40b9db169656	 165.673	     57.2104	            0	          166.92	         58.8769	           117.65	        73.0429	          35.1045	      171.971	           53.8264	    30.8804	    3.27786	  30.8804	     21.6312	    60.1583	   28.6604	          57.4495	        20.8293	              48.435	      37.766	      92.7418	     17.5922	              0
fd950dd8-7470-42dd-91e1-e74f27cf849b	  215.09	     93.2816	      1.31087	         187.691	         125.963	          132.707	        106.659	          74.2882	      225.573	           88.0806	    60.4911	    6.65934	  60.4911	     37.0999	     84.652	   31.4628	          98.3424	          36.98	             70.0623	     52.1191	      136.544	     31.4246	        1.12881
812d718f-4e60-48eb-8417-b60d229733f9	 179.276	     53.8346	            0	         160.827	         77.7438	          122.157	        71.3712	          45.0428	      182.579	           55.9925	    34.6641	    2.14675	  34.6641	     18.7874	    88.9953	    47.302	          52.3484	        18.4588	             57.2794	     43.2838	      92.6744	     18.4547	        2.14907
cb36abbc-f37e-4440-b363-e9ace28a8a31	 215.916	     94.4607	     0.874343	         164.918	         152.748	          115.284	        110.742	          91.6401	      238.586	           79.0795	    56.8981	    3.06036	  56.8981	     45.4417	    80.0258	     37.65	          60.8072	        30.8727	             85.4067	     46.6773	      160.168	     24.1299	        7.83199
9e53cdfb-95e2-4552-beb5-1d44703d67c8	 223.515	     90.3737	            0	          230.36	         91.3583	          168.232	        89.6944	          63.7911	      247.352	           74.3662	    50.9072	    1.60294	  50.9072	     12.2648	    108.942	   42.9013	          72.3578	        28.1325	             80.6787	     57.9338	      128.512	     18.7544	              0
f5389565-f82e-481b-a007-7ad75610af04	 210.857	      91.834	            0	         199.193	         118.765	          151.455	        95.4776	          71.0255	      223.808	           94.1496	    78.2704	    1.23691	  78.2704	     32.7606	    95.6975	   37.2191	          77.3865	        30.5436	             77.5713	     64.7905	      126.256	     22.7222	        1.01935
3c07a1a5-f2c6-48b3-b807-3e5610b02f7c	 199.504	      86.685	       3.3094	         177.264	         121.486	            119.7	        109.315	           69.735	      231.646	           67.1037	    65.0238	    2.72778	  65.0238	     31.1353	    104.295	   49.2635	          68.4121	         26.573	             80.3453	     55.2148	       141.93	     27.9978	         1.7855
e6041ac2-3c04-4c76-90cf-fe6aa56ce69d	 199.602	       118.5	            0	         236.821	         85.6462	          175.326	        102.209	          44.9327	      197.941	           124.526	    65.6154	    3.67829	  65.6154	     26.9485	    135.629	   59.5751	          77.1495	        37.9647	             71.0842	     57.8625	      134.463	     21.4463	        1.05643
5a1fb1f1-0629-40b7-a255-224ea2a4fe7b	 164.577	     57.3388	            0	         134.158	         102.026	          98.8158	        70.8881	          66.4799	      186.235	           49.9485	     52.805	   0.986494	   52.805	     11.8519	    78.4428	   23.5304	          39.0262	         15.219	             50.8791	     38.1223	      107.307	     28.3689	        3.21052
a9dd20a3-30cb-40f8-a3c8-b46944af460a	 219.004	     91.6006	      1.09213	         204.793	         118.164	          152.907	        85.0912	          84.9589	      237.122	           85.8348	    73.9988	    8.85104	  73.9988	     26.3959	    121.339	   54.1902	          82.4122	        37.9512	             73.8488	     63.3131	      139.645	     17.0518	        1.91052
2044271c-8b03-4237-b421-2b903e5da2f0	 237.073	     83.9064	            0	         217.209	         110.687	          153.009	        125.364	           49.524	      253.728	           74.1685	    66.1314	    2.73031	  66.1314	     45.5907	    106.114	   38.7139	           50.823	        17.4993	             98.1442	     58.3072	      133.131	     15.6544	              0
e6ddee71-9656-41ee-ba3e-e33beb223f8e	  223.24	     86.6036	            0	         180.726	          135.89	          122.783	        117.004	           76.829	      244.373	           72.2426	    56.1432	     5.2055	  56.1432	     38.0902	    97.7664	    23.968	          90.3805	         30.807	             77.2346	     51.9269	      137.758	     29.6153	        3.60691
ca319fd1-b4cd-4906-b6f8-3b0e1facd8dc	 141.627	      52.391	      3.13165	         120.052	          89.697	          84.4756	        64.4166	          60.8564	      156.157	           53.5912	    45.1453	   0.985152	  45.1453	     33.3207	    65.2256	   27.8224	          44.6944	        12.7069	             55.2398	      24.474	      113.495	     27.9961	              0
cf68e8fa-6ca6-44cb-9f44-125d92544d89	 217.571	     91.7163	      1.09311	         187.329	         134.383	          113.101	         126.09	          82.5207	       229.79	           91.9221	    64.7045	    2.42705	  64.7045	      11.443	    139.557	   37.5962	          91.2661	        37.6876	             42.4176	     49.9782	      148.135	     25.5219	              0
ac65a0e0-36ea-495a-a112-14162b78baec	 233.747	     76.4764	      3.67942	         180.098	         139.308	          124.019	        106.951	          88.4347	      224.027	            95.378	    52.1796	    1.49086	  52.1796	     35.0312	    107.934	   35.6406	          57.5673	        20.4084	             80.4375	     43.8316	       132.75	     23.6687	              0
c1c2fa10-1621-4a5f-abf2-a3cc1003a02a	 211.917	     97.3899	      2.44127	         195.304	         125.442	          131.542	        101.484	          87.7194	      228.345	           92.4005	    58.9555	    3.24568	  58.9555	     36.1686	    75.4045	   33.5752	          85.9116	        31.2667	             67.0335	     53.6763	          150	     25.0812	              0
a9ba38b3-0968-4cd7-828b-224a1900b54b	 224.161	     86.0985	            0	         231.661	         92.6188	           188.07	        83.7799	          52.4294	      207.946	           116.333	    76.9433	    3.31219	  76.9433	     29.0598	    99.5908	   44.0198	          67.3417	        28.7933	              79.735	     48.0906	      158.503	     35.2464	              0
7d4a6dc5-37ac-43e4-bbb6-c76cad638927	 205.053	     85.0191	      1.45531	         154.549	         149.103	          103.779	        106.877	          92.9958	       213.02	           90.6322	    86.0158	    5.45854	  86.0158	     35.5806	    102.327	   45.9555	          59.4928	        25.1164	              76.938	       50.84	      140.416	     26.3995	        3.05726
936a4504-4910-447c-bfbe-affb3c593ed4	 211.606	     84.6616	      5.17076	         165.539	         147.334	          129.488	         71.649	          111.736	       192.06	           120.813	    68.3071	    4.04104	  68.3071	     20.4615	     132.43	   59.4527	          88.5905	        31.0884	             72.5518	     45.7072	      150.385	     26.9465	              0
d978fdb0-bbe4-4775-bfe1-dae553052be3	 214.805	     84.7806	            0	         171.915	         138.675	          125.708	         97.268	          87.6139	      223.663	           86.9265	    60.3778	    2.55013	  60.3778	     40.0912	    112.367	   27.2341	          94.7802	        39.6382	             49.4808	     54.0768	      133.734	     29.6751	              0
266011af-4488-49e9-be22-57c73ca1d6a9	 163.729	     52.1786	            0	         145.074	         77.6091	          101.053	        75.6968	          45.9335	      174.325	            48.358	      59.35	   0.108319	    59.35	     24.9519	    82.6473	   31.7038	            43.51	        16.8098	             52.2645	     48.6216	      91.6183	     11.3509	              0
9aefc87a-ca43-4fdd-97f4-5c30ba17945f	 231.524	     79.4587	      1.38367	         194.151	         123.636	          141.928	        96.7374	          79.1226	      238.811	           78.9766	    63.7501	     3.6775	  63.7501	     19.2615	     97.169	   27.4907	          69.9404	        24.7096	             103.549	     48.5649	      150.375	      32.294	              0
0793ee01-14ea-43e4-b07d-1bc35a94caf8	 241.862	     87.0733	      3.60457	         219.958	         123.426	          150.525	        109.645	          83.2138	      236.845	           106.539	    50.5314	     2.3026	  50.5314	     22.2972	    95.5284	   38.3091	          96.8816	        44.9927	             75.8447	     41.4308	      174.755	     35.1192	              0
a1860e97-16d5-47e6-a6da-f1c8ab379e12	 208.553	     90.3523	      1.38413	         190.931	         125.412	          137.997	        91.7197	           86.626	      225.543	           90.8006	     85.824	    5.49684	   85.824	     31.2803	    109.379	   31.0239	           69.573	        29.2491	              105.49	     41.6799	       168.48	      27.526	              0
93e3bcbc-7e58-431c-8da4-5ed3082d3e61	 211.358	     94.8506	     0.436977	         193.253	         123.226	          131.799	        107.736	          76.9444	      216.429	            100.05	    70.3187	    2.94836	  70.3187	     31.0273	    102.053	   42.0858	          100.259	         29.215	             76.0673	     39.3935	      186.276	     36.9875	        3.13128
22f8b726-925f-4a52-b93d-2504251838a9	 241.995	     99.6685	            0	          201.79	         152.942	          130.904	        126.034	          97.7938	       251.74	           102.992	    70.5739	     5.4981	  70.5739	     21.9921	    102.969	   42.7451	          78.8843	         32.819	             86.6832	     55.7188	      183.186	     41.7591	              0
c9eceee6-f6d6-42dd-babb-838a9f9cbb0e	 200.339	     99.0238	      4.87827	         204.272	         112.754	          155.735	        89.1983	          72.0924	      210.496	           106.531	    70.1078	    7.17571	  70.1078	     27.3866	     122.49	   56.4007	          97.5364	        38.8731	             59.5327	     40.8073	      161.561	     31.2796	        1.09243
a6143c56-040e-4064-855b-90e12e13a96c	 283.349	     110.752	      4.95042	         265.304	         153.847	          190.727	        135.399	          93.0249	      301.055	           118.096	    94.2628	    2.58508	  94.2628	     43.5791	    130.688	   48.5667	          85.2942	        32.2748	             127.132	     65.4749	      208.598	     35.5202	              0
