  xGF	  xGC	  GF	  GC	  HF	  HC	  xGD	  GD	  HD	Replay ID                           	  P(Win)	  P(Result)	  P(Score)	  Luck %	Outcome  	  StartTime
 7.4 	 3.46	   4	   0	  80	  64	 3.93	   4	  16	be26e956-abcf-45d8-9b84-ef1796184e34	   93.62	      93.62	      0.06	    6.38	W        	 1622661386
 4.66	 3.47	   4	   3	  62	  91	 1.19	   1	 -29	c3a8c85e-08aa-4834-8d9f-24db3c0d78f3	   70.53	      70.53	      7.4 	   29.47	W        	 1622661927
 4.52	 5   	   4	   1	  69	 102	-0.48	   3	 -33	a49b0a74-b791-4626-9206-cadbfd204972	   42.7 	      42.7 	      0.51	   57.3 	W        	 1622662358
 3.67	 5.2 	   1	   3	  73	  96	-1.53	  -2	 -23	c233d5f2-804c-43bc-8cb2-e636af3be959	   26.91	      73.09	      0.92	  -26.91	L        	 1622662790
 4.53	 3.04	   5	   1	  63	  60	 1.5 	   4	   3	8b9c2194-8220-43ea-9cee-c0ef93b12f90	   74.93	      74.93	      2.69	   25.07	W        	 1622663180
 3.81	 4.14	   1	   2	  89	  89	-0.33	  -1	   0	b6f91e7a-ab82-4156-ab34-3d80c787bb1f	   44.52	      55.48	      0.79	  -44.52	L*       	 1622663633
 3.94	 3.1 	   4	   6	  79	  78	 0.84	  -2	   1	77e20157-0d9b-4648-87fc-d6ccc9829139	   64.88	      35.12	      1.22	  -64.88	L        	 1622664116
 3.5 	 5.2 	   4	   3	  71	  78	-1.7 	   1	  -7	8885359f-09dd-4f77-92b4-56578bf5c643	   24.43	      24.43	      3.11	   75.57	W        	 1622664577
 4.19	 3.09	   1	   3	  64	  81	 1.1 	  -2	 -17	687411a3-fdec-4377-b1ab-d644e8fee26f	   69.7 	      30.3 	      1.21	  -69.7 	L        	 1622664975
 4.08	 5.7 	   3	   5	  69	  76	-1.62	  -2	  -7	ead4f8ae-a924-4cfe-8622-94725d49e462	   24.5 	      75.5 	      5.6 	  -24.5 	L        	 1622665464
 5.43	 3.95	   7	   3	  89	  89	 1.48	   4	   0	2c6626f0-0887-4378-ac38-2df4d003b42b	   72.05	      72.05	      3.7 	   27.95	W        	 1622666576
 5.4 	 6.93	   3	   4	  80	 104	-1.52	  -1	 -24	f05b78c3-2b01-4ead-a6d4-03c3bbfc9f79	   29.39	      70.61	      0.87	  -29.39	L*       	 1622667177
 5.11	 6.83	   4	   3	  68	 103	-1.72	   1	 -35	1ab1006e-f6f3-43bb-9f67-1d0de8b2f720	   25.13	      25.13	      0.5 	   74.87	W        	 1622667650
 3.74	 2.66	   2	   0	  76	  90	 1.09	   2	 -14	a21320f2-e96c-48b0-96ca-36a8559e4dbf	   68.08	      68.08	      1.05	   31.92	W        	 1622668554
 1.8 	 5.22	   1	   5	  56	 104	-3.41	  -4	 -48	365d9b56-ff6a-4282-a8e2-b7f61ccfa510	    4.98	      95.02	      7.7 	   -4.98	L        	 1622668975
 5.92	 5   	   3	   4	  78	  89	 0.91	  -1	 -11	e641ee95-d38b-4226-9ccc-6453b050640c	   64.49	      35.51	      1.49	  -64.49	L        	 1622669467
 4.2 	 4.09	   2	   5	  70	  81	 0.12	  -3	 -11	4292427b-0bb4-48b0-828d-13d4521ee3dd	   51.99	      48.01	      2.67	  -51.99	L        	 1622669892
 2.37	 0.18	   3	   0	  28	  28	 2.19	   3	   0	16610695-f169-4ded-be4e-8e8a6ee3daf7	   95.52	      95.52	     23.84	    4.48	W        	 1622750375
 5.86	 2.75	   5	   2	  72	  59	 3.11	   3	  13	0b362cfc-b338-4589-8519-ea85b24d6929	   91.96	      91.96	      6.36	    8.04	W        	 1622750849
 5.18	 4.74	   6	   5	  67	  85	 0.44	   1	 -18	a1e3e96e-14b3-4362-a794-fc960969a453	   57.13	      57.13	      5.39	   42.87	W        	 1622751378
 3.26	 5.39	   2	   6	  72	  88	-2.12	  -4	 -16	319caf2f-b412-4e0a-963c-c652ef92094e	   17.97	      82.03	      4.84	  -17.97	L        	 1622751862
 2.96	 1.62	   3	   1	  39	  27	 1.34	   2	  12	509dcf00-bbe9-4045-a3d5-46c5785e816d	   79.59	      79.59	     15.05	   20.41	W        	 1622752112
 5.84	 3.49	   6	   5	  78	  91	 2.35	   1	 -13	6d05c13e-920c-4b82-bd9f-9800a0a3a76e	   84.03	      84.03	      3.69	   15.97	W*       	 1622752639
 4.51	 3.66	   3	   1	  84	  87	 0.85	   2	  -3	12abdb60-12d9-492c-8cf5-8c4773b30648	   64.27	      64.27	      1.25	   35.73	W        	 1622753062
 3.88	 3.34	   4	   2	  64	  85	 0.54	   2	 -21	06384ecc-dd9b-4dc4-9169-eccd76d66b72	   60.49	      60.49	      6.92	   39.51	W        	 1622753527
 2.93	 4.55	   3	   4	  57	  96	-1.61	  -1	 -39	edde65bb-c70f-4157-9288-dd5e3bb187e9	   22.85	      77.15	      7.88	  -22.85	L*       	 1622754004
 2.89	 4.01	   2	   3	  52	  73	-1.11	  -1	 -21	1536e2e7-fff0-48d0-921a-4189b0737e0f	   29.75	      70.25	      7.29	  -29.75	L        	 1622754900
 4.07	 4.68	   3	   6	  70	  76	-0.61	  -3	  -6	63a87f1c-94a0-4b5d-954b-dac69ddcb47d	   38.89	      61.11	      4.31	  -38.89	L        	 1622755416
 2.03	 2.63	   2	   3	  67	  84	-0.59	  -1	 -17	4716b757-9ea3-4299-b705-4fc86f3a137b	   38.13	      61.87	      9.48	  -38.13	L        	 1622756011
 2.3 	 6.75	   1	   7	  79	  72	-4.45	  -6	   7	d9fc33f3-ee67-4361-95bc-128f44ba28bb	    2.71	      97.29	      4.79	   -2.71	L        	 1622756515
 4.68	 4.38	   6	   2	  57	  62	 0.29	   4	  -5	aaa1e2f9-e938-4f9c-b0a4-40b9db169656	   54.72	      54.72	      1.6 	   45.28	W        	 1622825031
 5.58	 3.95	   4	   0	  77	  71	 1.62	   4	   6	fd950dd8-7470-42dd-91e1-e74f27cf849b	   74.82	      74.82	      0.16	   25.18	W        	 1622825431
 2.92	 2.49	   4	   1	  50	  65	 0.43	   3	 -15	812d718f-4e60-48eb-8417-b60d229733f9	   59.4 	      59.4 	      4.76	   40.6 	W        	 1622825781
 3.99	 5.2 	   3	   4	  58	 101	-1.21	  -1	 -43	cb36abbc-f37e-4440-b363-e9ace28a8a31	   30.78	      69.22	      5.04	  -30.78	L        	 1622826234
 7.74	 5.16	   3	   6	  60	  98	 2.58	  -3	 -38	9e53cdfb-95e2-4552-beb5-1d44703d67c8	   82.8 	      17.2 	      0.21	  -82.8 	L        	 1622836772
 3.31	 2.75	   1	   2	  67	  71	 0.56	  -1	  -4	f5389565-f82e-481b-a007-7ad75610af04	   61.07	      38.93	      2.45	  -61.07	L*       	 1622837164
 5.96	 3.74	   8	   2	  74	  81	 2.22	   6	  -7	3c07a1a5-f2c6-48b3-b807-3e5610b02f7c	   82.33	      82.33	      1.9 	   17.67	W        	 1622837624
