Stat  	  Overall	  Normaltime	  Overtime
Games 	      357	         301	        56
Win % 	    48.74	       51.16	     35.71
Loss %	    51.26	       48.84	     64.29
Wins  	      174	         154	        20
Losses	      183	         147	        36
