,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_jump_active,opp_2_boost_collect,opp_2_handbrake
0,167,0.0,False,0,5166.847713766204,-4.010000228881836,50.72999954223633,105.98999786376953,-947.5,24202.39990234375,6044.4000244140625,2547.2000122070312,2102.899932861328,-5008.900146484375,0.0,0.07564882443088441,-0.16189930751894657,0.07784409059731053,1182584491435829735,RLK_Manu,19.0,40.47999954223633,-214.63999938964844,16.8799991607666,-12885.2001953125,17332.7001953125,27.5,13.799999952316284,4.900000095367432,214.0999984741211,255.0,211.0,,0.01030543425851721,2.2084599362743234,0.0003487100022591686,True,4,4,False,15.06092904460046,True,,1222386562737995952,TimelessOrb,7.0,-3240.6201171875,-4017.489990234375,16.979999542236328,-3111.7999267578125,-3967.5,20.899999141693115,-11.200000047683716,9.800000190734863,-0.3999999910593033,255.0,128.0,,0.01548240103407,0.9055797987424367,-4.505865333735887e-05,True,255.0,False,4,4,False,,enpitsu,76561198039309853,27.0,1660.6500244140625,2315.030029296875,17.049999237060547,-8616.699829101562,-317.5,3.3000001311302185,-0.3999999910593033,-0.09999999776482582,-2469.199981689453,255.0,0.0,,0.01666514074682268,-3.1328153209573366,-4.015584730955915e-05,True,107.0,False,False,False,False,,games5425898691,bf81d8692db,18.0,-170.75,458.6099853515625,82.5199966430664,1397.2000122070312,-22664.29931640625,2534.9000549316406,5394.1998291015625,-1072.3999786376953,40.900001525878906,128.0,128.0,0.62624060734353,-1.559274060181479,0.14280399903771873,True,0.0,False,False,3,4,,
1,777,22.0,False,1,6927.933284229953,2637.570068359375,-1565.4599609375,100.9800033569336,-8699.099731445312,26096.8994140625,6794.2999267578125,-1814.1999816894531,-1866.6999816894531,5405.8001708984375,1.0,0.5500703976123291,-0.02636733321648355,-1.2428467691208578,bf81d8692db,games5425898691,19.0,2689.22998046875,-1783.4599609375,49.150001525878906,-6960.9002685546875,21134.49951171875,3536.400146484375,-496.3999938964844,-156.899995803833,-124.30000305175781,128.0,128.0,,-0.022751872743354305,1.2656932167427764,-2.1948656474337422e-05,True,15,14,False,185.0,False,,76561198039309853,enpitsu,27.0,-525.2999877929688,3051.52001953125,17.030000686645508,-7548.3001708984375,-18096.500244140625,5.5000001192092896,1.2999999523162842,4.000000059604645,1877.7000427246094,255.0,128.0,False,-0.016777566060932076,-1.2625064535910893,-5.119589361010154e-05,True,61.0,False,6,6,False,,TimelessOrb,1222386562737995952,7.0,3491.18994140625,1057.219970703125,513.72998046875,1204.4999694824219,-14134.89990234375,-5066.300048828125,-193.29999923706055,-592.400016784668,-631.3000106811523,255.0,128.0,True,-0.4127627240071921,-1.0406170692414414,1.5672785706839418,True,101.26699366877155,True,8,False,6,,RLK_Manu,1182584491435829735,19.0,1987.2900390625,4117.2998046875,17.010000228881836,9283.200073242188,-3028.5000610351562,2.7000001072883606,0.29999999329447746,-0.29999999329447746,-3191.9000244140625,255.0,0.0,-0.009529405278176443,-2.6052314331787327,5.279786491807972e-06,True,196.0,False,False,6,10,,False
2,1617,52.0,True,0,1279.4231689491855,217.32000732421875,4509.56982421875,886.9600219726562,1489.7999572753906,7970.2001953125,-6248.499755859375,-5299.1998291015625,-1996.1000061035156,1296.1000061035156,0.0,0.43033107094066436,1.0575090841981516,-0.05000486929174279,1182584491435829735,RLK_Manu,19.0,139.80999755859375,4392.43017578125,809.8200073242188,-902.0999908447266,4328.999938964844,-1997.4000549316406,4786.9000244140625,2673.2998657226562,-433.4000015258789,128.0,55.0,False,0.027442396553071426,0.27717884409456106,1.0964674476074816,True,26,18,6,89.08690746368899,True,,1222386562737995952,TimelessOrb,8.0,-3617.780029296875,758.5700073242188,17.049999237060547,8945.900268554688,6186.400146484375,4.399999976158142,0.7000000029802322,4.799999892711639,-138.80000114440918,255.0,128.0,False,0.016512736097146864,0.5887233789522288,-0.00015201193999829157,True,255.0,False,12,10,False,,enpitsu,76561198039309853,27.0,-2760.10009765625,4420.81982421875,17.059999465942383,12016.800537109375,17033.800048828125,1.8000000715255737,-0.09999999776482582,0.0,-2071.3999938964844,255.0,0.0,False,0.016761204110824494,0.8776013993652605,5.794664752037932e-06,True,255.0,False,14,False,14,,games5425898691,bf81d8692db,19.0,-21.360000610351562,4956.72998046875,233.8800048828125,3933.800048828125,-4552.900085449219,1006.6999816894531,-116.49999618530273,-672.3999786376953,-237.90000915527344,255.0,108.0,-1.0341664214202608,-0.7875327726111726,0.06348979520179301,True,,False,False,24,26,,
3,3942,118.0,True,0,3851.3544355642384,-1260.8900146484375,1305.969970703125,131.7100067138672,11594.300537109375,21960.10009765625,7980.8001708984375,3042.0001220703125,-2123.8999938964844,-1718.800048828125,0.0,0.6450363420818941,-0.739082875434545,0.5275894509671502,1222386562737995952,TimelessOrb,7.0,-1353.8299560546875,1095.4100341796875,76.80999755859375,13005.10009765625,12560.0,3087.60009765625,-1045.999984741211,771.9999694824219,2836.199951171875,209.0,166.0,,0.11447587272192764,1.1735041132373023,0.014021093432536363,True,14,8,6,142.0,False,,1182584491435829735,RLK_Manu,19.0,-451.3800048828125,2235.22998046875,17.010000228881836,18139.200439453125,-1912.1000671386719,-0.19999999552965164,0.3999999910593033,0.0,-1936.300048828125,255.0,12.0,,0.00957453604349247,-0.16594815413890307,-2.214450273790672e-05,False,0.0,False,21,18,4,,enpitsu,76561198039309853,27.0,-1566.6800537109375,3029.800048828125,214.6999969482422,-7359.2999267578125,-5554.0997314453125,-1506.9999694824219,1067.6000213623047,-981.3999938964844,1818.2000732421875,255.0,255.0,,-0.6509920863775916,-1.4433481684732579,-0.8789169438932796,True,213.0,False,10,False,10,,games5425898691,bf81d8692db,19.0,514.239990234375,1976.3599853515625,16.700000762939453,17740.899658203125,-3369.5999145507812,73.49999904632568,-98.90000343322754,43.09999942779541,1918.2000732421875,255.0,255.0,0.00797907299030082,-0.11815230099678223,0.006710361761363473,True,82.0,False,False,14,18,,
4,4254,120.0,False,1,5104.993061455156,14.380000114440918,111.70999908447266,109.48999786376953,3197.60009765625,23403.1005859375,3116.4999389648438,5962.80029296875,-250.30000686645508,-617.7999877929688,1.0,-0.008047451304212146,0.03631554457400713,-0.3344402972217837,bf81d8692db,games5425898691,19.0,-25.0,-31.8700008392334,88.76000213623047,574.3000030517578,20943.40087890625,-86.40000343322754,-5425.2001953125,856.2000274658203,-288.700008392334,128.0,132.0,,-1.5175745736674358,1.6419498176258644,0.09561124661253174,True,4,3,False,22.0,False,,76561198039309853,enpitsu,27.0,-2921.0400390625,-4085.89990234375,17.049999237060547,-14150.899658203125,16.799999475479126,3.4999999403953552,-1.1999999731779099,-0.0,-2593.3999633789062,255.0,0.0,False,-0.01677333505978509,0.10177928738517703,-0.00020070709110806917,True,255.0,False,False,False,False,,TimelessOrb,1222386562737995952,7.0,3191.75,3954.56005859375,17.049999237060547,7895.7000732421875,-10035.599975585938,3.799999952316284,0.09999999776482582,-0.7000000029802322,-3003.2998657226562,255.0,0.0,False,-0.016757383695579196,-2.067261959455357,6.004022818419964e-05,True,255.0,False,False,False,False,,RLK_Manu,1182584491435829735,18.0,-210.7100067138672,34.709999084472656,112.04000091552734,-16128.399658203125,-16263.1005859375,13.799999952316284,-1376.9000244140625,-5288.900146484375,616.8000030517578,255.0,255.0,-0.4567085785359647,-1.4179189417138283,1.6837738083773357,True,0.0,False,False,5,6,,
5,4306,122.0,True,1,955.7908988282743,578.5700073242188,4238.4599609375,103.83000183105469,786.2999725341797,24602.80029296875,1065.2999877929688,-3349.5999145507812,862.5,-1480.5000305175781,1.0,0.16018525005575424,0.6908695502604235,0.20006442730972926,bf81d8692db,games5425898691,19.0,630.3800048828125,4075.25,48.880001068115234,2470.800018310547,22101.59912109375,3372.3001098632812,-34.80000019073486,-552.7000045776367,2791.400146484375,255.0,236.0,,-0.013055516461995707,1.4917131610851697,-0.009234091711070926,True,5,4,False,0.0,False,,76561198039309853,enpitsu,27.0,-3680.56005859375,-916.1400146484375,17.049999237060547,211.8000030517578,22998.9990234375,2.5,-0.0,-0.3999999910593033,-0.09999999776482582,255.0,128.0,False,-0.01678533328091426,1.580027710669194,3.696812753213339e-05,True,179.0,False,False,False,False,,TimelessOrb,1222386562737995952,7.0,976.6400146484375,4384.8701171875,17.049999237060547,-16584.3994140625,15935.999755859375,-1.5999999642372131,0.19999999552965164,-0.0,1403.0999755859375,255.0,255.0,False,-0.01677278732871642,0.7423900047111941,0.00033151262786950894,True,129.69772049175796,True,False,False,False,,RLK_Manu,1182584491435829735,18.0,-3284.110107421875,-1203.6400146484375,17.010000228881836,-8059.69970703125,15086.500244140625,1.899999976158142,-1.1999999731779099,2.800000011920929,-909.3000030517578,255.0,128.0,-0.009578582171910899,1.1317798277029494,5.769115683887996e-05,True,0.0,False,False,6,6,,False
6,4913,135.0,False,1,7052.710891186422,1350.050048828125,-1898.0799560546875,211.52000427246094,-9082.80029296875,30133.60107421875,2066.199951171875,649.1000366210938,-5906.199951171875,833.3999633789062,1.0,0.7453644255834935,2.242583206485887,-0.06232291259522367,bf81d8692db,games5425898691,19.0,1383.989990234375,-2048.580078125,154.92999267578125,1174.4000244140625,20134.200439453125,893.3999633789062,3185.0,-4398.599853515625,870.1000213623047,255.0,241.0,,0.1878543841352241,1.459010507888774,-0.6666626416886384,True,8,7,False,132.43678273693206,True,,76561198039309853,enpitsu,27.0,1705.9100341796875,-1821.6300048828125,17.059999465942383,-3970.4998779296875,-7128.900146484375,1.4000000059604645,0.7999999821186066,-0.19999999552965164,0.0,255.0,0.0,False,-0.016589888014161145,-1.0626210957484201,1.9125358571604535e-05,True,194.0,False,2,2,False,,TimelessOrb,1222386562737995952,7.0,1936.780029296875,-3502.330078125,17.049999237060547,-3920.0,9323.200073242188,2.5999999046325684,0.19999999552965164,-0.5000000074505806,463.6000061035156,255.0,156.0,False,-0.01668596146707534,1.2061254503186314,0.0003457736354313757,True,160.7893937351883,True,6,False,4,,RLK_Manu,1182584491435829735,19.0,788.4099731445312,91.05000305175781,17.010000228881836,-666.2000274658203,17474.3994140625,1.899999976158142,-0.0,0.5999999865889549,373.4000015258789,255.0,128.0,-0.009565630165855798,1.495806404876384,-0.00018324062817200035,True,159.0,False,False,8,8,,False
7,5570,159.0,False,0,4598.805910868485,-553.97998046875,553.9299926757812,1482.8900146484375,3112.39990234375,22434.29931640625,1092.0999908447266,-839.1999816894531,1004.8000335693359,543.8999938964844,0.0,-0.6146142930975664,1.815917793969129,2.4466092137055733,1182584491435829735,RLK_Manu,19.0,-579.3800048828125,338.5799865722656,1355.3399658203125,2426.3999938964844,15905.899658203125,2420.2000427246094,294.0999984741211,3329.5999145507812,4367.60009765625,255.0,128.0,,-1.013013546411502,2.1822582221487137,0.42253755054429676,True,4,False,4,47.36029239367413,True,,1222386562737995952,TimelessOrb,8.0,295.92999267578125,-2600.760009765625,17.049999237060547,8279.000244140625,12287.5,3.0000001192092896,-0.3999999910593033,-0.7000000029802322,1908.2000732421875,255.0,255.0,,0.01677691396987805,1.020231588691822,0.0001449440903840048,True,146.0,False,14,8,4,,enpitsu,76561198039309853,27.0,94.62000274658203,5568.39013671875,25.510000228881836,242.5,5124.000244140625,203.79999160766602,-2.5,0.09999999776482582,0.0,255.0,128.0,,0.05624612928405221,-1.618061651918253,-0.001864262451807572,True,177.0,False,6,False,6,,games5425898691,bf81d8692db,19.0,3447.090087890625,3276.68994140625,16.989999771118164,-5526.400146484375,21605.30029296875,4.600000083446503,-0.19999999552965164,0.0,1053.6000061035156,128.0,216.0,0.009621585322344068,1.8469879489266616,0.0001047716566626518,True,254.0,False,False,12,12,,
8,5887,171.0,True,1,2833.750954227294,84.83000183105469,2424.830078125,135.08999633789062,-6332.9998779296875,29208.30078125,5200.999755859375,-5024.800109863281,1299.9000549316406,-177.80000686645508,1.0,0.28404587354565625,2.395438283680668,0.2691125754253027,bf81d8692db,games5425898691,19.0,208.22000122070312,2256.590087890625,80.54000091552734,-3938.800048828125,22328.89892578125,3792.60009765625,-0.0,0.19999999552965164,0.5999999865889549,255.0,128.0,,-0.009592169701881351,1.395725122957278,-3.8948584486728196e-05,True,16,14,False,120.0,False,,76561198039309853,enpitsu,27.0,-874.6099853515625,1266.4300537109375,17.049999237060547,4379.700012207031,3333.900146484375,2.5999999046325684,-0.29999999329447746,-0.5999999865889549,0.0,128.0,128.0,,-0.01687235937756629,2.4909710956709024,6.009762115217102e-05,True,,False,14,14,False,,TimelessOrb,1222386562737995952,8.0,-3513.389892578125,-25.729999542236328,17.059999465942383,-3521.4999389648438,13612.900390625,1.7000000178813934,0.5999999865889549,-2.0000000298023224,-1365.3999328613281,255.0,0.0,,-0.016781500567250786,1.319159072094116,-0.00025366261007423694,True,255.0,False,18,4,10,,RLK_Manu,1182584491435829735,21.0,-2071.969970703125,-1421.3599853515625,76.91999816894531,2361.300048828125,-17733.900146484375,643.4999847412109,5497.60009765625,-156.70000076293945,-32.40000009536743,255.0,128.0,-0.005968857379398195,-3.113103803568127,-2.9331731456379333,True,141.0,False,4,9,12,,False
9,6167,172.0,False,0,5118.578153131817,-16.889999389648438,97.4800033569336,121.16000366210938,-3949.2999267578125,25615.30029296875,7167.0001220703125,917.2000122070312,597.9999923706055,-891.6999816894531,0.0,0.025631197874161536,-0.03668215972096362,0.037742424859626554,1182584491435829735,RLK_Manu,19.0,23.90999984741211,-186.33999633789062,21.959999084472656,-7852.19970703125,18409.599609375,2997.9000854492188,0.0,5.5000001192092896,968.8999938964844,255.0,255.0,,0.009642854754525395,1.9688713673218448,0.00031059764645067144,True,5,4,False,24.0,False,,1222386562737995952,TimelessOrb,9.0,-3163.580078125,-4057.0400390625,17.049999237060547,-759.3000030517578,-1050.8999633789062,2.8999999165534973,-2.0000000298023224,1.1999999731779099,0.0,255.0,128.0,,0.016138732020434032,0.9451449842335362,1.6164615278758782e-05,True,255.0,False,4,4,False,,enpitsu,76561198039309853,27.0,3178.929931640625,4026.18994140625,17.030000686645508,974.1000366210938,1224.000015258789,8.899999856948853,9.100000262260437,-4.699999988079071,62.5,255.0,128.0,,0.015858425001015725,-2.211820946533773,1.7261774711508113e-05,True,255.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,-100.22000122070312,301.7900085449219,84.45999908447266,2160.0999450683594,-22575.50048828125,2129.2999267578125,5476.7999267578125,502.00000762939453,44.699997901916504,128.0,167.0,0.8091219075911777,-1.6546652141381515,-0.11746780085797158,True,0.0,False,False,3,4,,
