,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect,opp_2_handbrake
0,171,0,False,False,1,5212.738380209576,-54.91999816894531,14.729999542236328,113.05000305175781,-9443.099975585938,-14607.39990234375,4142.799987792969,-1090.2999877929688,-1731.199951171875,-2747.6998901367188,1.0,-0.14447517539632482,0.08740393428189791,0.30063423876078227,764997303082394243,chickenlegpeice_,15.0,34.29999923706055,-112.80000305175781,69.55999755859375,-5770.5999755859375,1562.2000122070312,2967.0999145507812,4567.5,870.1999664306641,2937.60009765625,239.0,128.0,,0.40794622040079537,0.998533447758673,-0.071574843982184,True,0.0,False,False,4,False,,9008577481387032148,max_stetsun,10.0,-0.03999999910593033,-4221.7900390625,17.010000228881836,-10.700000524520874,8236.199951171875,2.0999999344348907,-0.7000000029802322,-0.0,23.09999942779541,255.0,129.0,,-0.009460486799157026,1.5697966061296709,-2.9003662728534355e-06,True,False,False,False,116.0,False,,enpitsu,76561198039309853,25.0,-0.0,3150.31005859375,17.049999237060547,-0.0,-12979.100341796875,2.7000001072883606,0.7999999821186066,-0.0,0.0,255.0,,,-0.016655219889701346,-1.5707740956181773,-2.4391545313337915e-07,True,116.0,False,False,False,False,,games5425898691,bf81d8692db,24.0,-37.060001373291016,178.82000732421875,91.94999694824219,6262.0001220703125,-21952.5,75.39999961853027,5489.4000244140625,334.00001525878906,63.69999885559082,128.0,128.0,-1.3554641719084284,-1.8055934644427714,0.1730694400981871,True,0.0,False,4,3,False,,
1,303,4,False,False,1,6893.361134346587,-3937.780029296875,225.42999267578125,577.760009765625,9173.200073242188,13815.999755859375,5836.400146484375,3499.7000122070312,1801.1000061035156,-4528.500061035156,1.0,-0.3483460480444789,2.6838268274399466,1.1157293397104011,764997303082394243,chickenlegpeice_,11.0,-3994.409912109375,143.75,447.20001220703125,3072.5,15567.2998046875,2597.0999145507812,-14.800000190734863,-1891.6999816894531,5164.2999267578125,255.0,128.0,,0.25786042058520753,0.8116289463584099,1.3310842414324762,True,211.16290742351165,True,False,6,5,,9008577481387032148,max_stetsun,9.0,-3328.340087890625,-1075.81005859375,17.0,2893.699951171875,12707.900390625,3.3000001311302185,0.09999999776482582,1.0000000149011612,812.7999877929688,255.0,178.0,,-0.009565132644974973,1.7896437187307883,8.509970896228404e-05,True,False,False,False,230.0,False,,enpitsu,76561198039309853,25.0,-2955.320068359375,2952.469970703125,17.059999465942383,-6872.80029296875,-13729.300537109375,1.1999999731779099,-0.0,0.19999999552965164,-1.0000000149011612,255.0,255.0,,-0.01678256197278794,-1.1065120402378696,2.298230619364061e-05,True,233.0,False,False,False,False,,games5425898691,bf81d8692db,24.0,3653.0,1600.0999755859375,16.989999771118164,-6435.5999755859375,21713.9990234375,2.5,0.5999999865889549,-7.699999809265137,1.2999999523162842,255.0,128.0,-0.009521050528894296,1.2825655535802838,0.00037178742377600907,True,173.59908802534946,True,6,6,False,,
2,394,8,False,False,0,9538.129357762831,1231.4599609375,-4157.83984375,356.8299865722656,14643.1005859375,15318.800048828125,12277.099609375,4169.4000244140625,-4245.7000732421875,767.5,0.0,0.46396292621394336,-2.7185558223699626,3.04074519283942,bf81d8692db,games5425898691,24.0,1129.800048828125,-4268.2001953125,229.80999755859375,14996.199951171875,13928.699951171875,3194.4000244140625,-1541.1000061035156,1751.3999938964844,97.5,255.0,63.0,,-0.7305868069264536,1.267008372785969,-0.1653857769090046,True,138.50294213910254,True,False,8,7,,76561198039309853,enpitsu,25.0,1241.3399658203125,-4252.56005859375,131.38999938964844,-42.69999980926514,-1542.5,3614.2999267578125,-2731.300048828125,-31.600000858306885,10.499999523162842,0.0,128.0,False,-0.05233647700181693,-1.5588598641163773,-0.00011399357917925737,True,2,False,1,121.0,False,,max_stetsun,9008577481387032148,9.0,1688.989990234375,-5017.490234375,227.67999267578125,-3692.0001220703125,-117.89999961853027,4481.7999267578125,-1087.300033569336,-1126.2999725341797,5272.39990234375,255.0,238.0,,-0.1935570550552959,-0.035540023518723866,0.5405869874101844,True,72.0,False,4,4,False,,chickenlegpeice_,764997303082394243,11.0,1255.3800048828125,-4118.7099609375,184.60000610351562,-16466.400146484375,-10714.69970703125,2745.10009765625,-539.7999954223633,577.2999954223633,710.6999969482422,192.0,128.0,-0.46691491976652905,-1.9158316314381012,-0.11193942023429747,True,159.60152275587922,True,8,6,False,,
3,564,14,False,True,0,3642.0712694043355,1214.1400146484375,2171.5,99.80000305175781,-7700.3997802734375,22086.0009765625,1468.5000610351562,-3940.1998901367188,-4518.399963378906,-241.20000839233398,0.0,-0.1335712240501618,1.9607207958761959,-0.91875835403003,bf81d8692db,games5425898691,24.0,1324.949951171875,1947.9000244140625,86.16999816894531,-1364.1000366210938,17597.80029296875,283.4000015258789,-4877.0001220703125,-2539.1000366210938,133.1999969482422,255.0,208.0,,0.9933660752221839,1.0331650373428762,-0.9648592947670266,True,35.0,False,False,10,9,,76561198039309853,enpitsu,25.0,1547.3199462890625,801.4600219726562,17.040000915527344,-3805.5999755859375,10155.800170898438,4.4999998807907104,0.0,0.0,2386.1000061035156,255.0,128.0,,0.01670038838523404,1.9812104417684806,2.3220127372602634e-07,True,2,False,2,78.0,False,,max_stetsun,9008577481387032148,9.0,770.4600219726562,3739.97998046875,17.010000228881836,-955.6999969482422,22325.6005859375,2.0999999344348907,0.0,1.5999999642372131,-371.30001068115234,255.0,128.0,,0.009598893348419756,1.5973016545605492,-1.7753720498134093e-05,True,61.0,False,8,4,6,,chickenlegpeice_,764997303082394243,14.0,2642.8701171875,2515.919921875,90.37999725341797,10689.200439453125,10789.100341796875,-4218.399963378906,1496.6999816894531,609.7000122070312,-1466.6999816894531,255.0,128.0,-0.703975362525752,1.0779291245853468,2.5544317714538165,True,42.940258008177565,True,12,8,False,,
4,598,15,False,False,1,9909.703539134674,-299.6400146484375,-4697.31005859375,121.13999938964844,5361.5997314453125,4126.600036621094,8050.999755859375,5167.5,2890.8999633789062,-968.6000061035156,1.0,-0.8472964465059759,-0.9966234280130968,-1.8266395624361884,9008577481387032148,max_stetsun,9.0,-330.2699890136719,-4827.31982421875,17.010000228881836,-1808.699951171875,-242.39999771118164,2.0999999344348907,0.19999999552965164,-4.300000071525574,9.599999785423279,208.0,128.0,False,-0.009553498630241684,3.005607009276463,1.7916890829229674e-05,True,61.0,False,4,8,6,,764997303082394243,chickenlegpeice_,12.0,-3790.93994140625,-3716.340087890625,18.06999969482422,-8255.399780273438,-10900.6005859375,-651.1000061035156,1326.7999267578125,2164.7999572753906,2133.699951171875,255.0,255.0,True,-0.01190307348974304,-0.8900988748234976,0.004380356289028472,True,12,False,8,37.0,False,,enpitsu,76561198039309853,25.0,-419.82000732421875,-1092.5999755859375,17.040000915527344,10281.99951171875,7877.0001220703125,3.799999952316284,0.7999999821186066,0.7000000029802322,47.800002098083496,255.0,128.0,,-0.016727162819534926,2.481844689246977,-0.00010635155596758065,True,78.0,False,2,False,2,,games5425898691,bf81d8692db,24.0,-1345.9200439453125,-3919.159912109375,16.670000076293945,-11747.19970703125,-7540.10009765625,72.5,5.5000001192092896,-0.5999999865889549,-2496.4999389648438,255.0,0.0,-0.009306193705567433,-0.44949433929167487,0.00012971192382048107,False,9.994184829855481,True,10,10,False,,
5,658,17,False,False,1,8940.601900468213,847.4299926757812,-3800.469970703125,326.70001220703125,15863.199462890625,20495.6005859375,8047.2998046875,5993.4002685546875,240.20000457763672,-145.9000015258789,1.0,-0.9622028118676986,-0.2328132250758855,-2.6956851397596258,9008577481387032148,max_stetsun,9.0,698.77001953125,-4021.14990234375,162.60000610351562,10008.099975585938,17432.19970703125,3829.5001220703125,-38.499999046325684,-1309.6000671386719,-373.80001068115234,219.0,193.0,False,0.5838290269647941,2.2267595428683333,-0.018024495628543424,True,4.500602117148791,True,4,10,7,,764997303082394243,chickenlegpeice_,12.0,-1610.77001953125,-4365.0400390625,16.989999771118164,13435.799560546875,-202.60000228881836,4.600000083446503,0.5999999865889549,0.3999999910593033,1.2999999523162842,128.0,128.0,False,-0.00960802500285835,-3.1267509947839023,-5.511634670787921e-05,True,12,False,8,243.0,False,,enpitsu,76561198039309853,25.0,1151.7900390625,-3074.25,149.16000366210938,-5141.199951171875,-19555.699462890625,3316.099853515625,294.20000076293945,-5453.800048828125,-647.2000122070312,128.0,0.0,False,-0.02574331814933071,-1.590983267914814,0.3479732311790815,True,0.0,False,4,False,3,,games5425898691,bf81d8692db,24.0,-3267.489990234375,-1529.4000244140625,76.69000244140625,-5530.3997802734375,18205.30029296875,-1323.2000732421875,-2968.599853515625,-788.3999633789062,-4.4999998807907104,255.0,128.0,0.7038940983298718,1.309633668391277,-0.002113238051062926,True,0.0,False,12,12,False,,
6,777,22,False,False,0,7909.846902600006,-2384.60009765625,-2628.510009765625,151.1999969482422,-20556.69921875,19527.19970703125,2482.7999877929688,2761.9000244140625,2845.4998779296875,-4502.60009765625,0.0,-0.28534584193282647,-0.3371217497447041,-0.36177819052666865,bf81d8692db,games5425898691,24.0,-2183.050048828125,-2822.389892578125,143.17999267578125,-18573.699951171875,13555.799560546875,507.20001220703125,-5363.3001708984375,-1031.8000030517578,648.0000305175781,255.0,114.0,,0.4153224331621151,2.0007669141768134,0.24101833682051585,True,201.01840862920204,True,False,14,13,,76561198039309853,enpitsu,25.0,-3509.669921875,1777.8499755859375,17.049999237060547,259.59999084472656,-22998.5009765625,-2.199999988079071,0.0,-0.5999999865889549,0.09999999776482582,255.0,128.0,False,0.016785330206845313,-1.5594850138469807,-3.47712520773777e-05,True,4,False,4,169.0,False,,max_stetsun,9008577481387032148,9.0,-2992.840087890625,557.5599975585938,16.989999771118164,-14250.2001953125,-12273.900146484375,4.4999998807907104,0.0,0.0,-992.3999786376953,206.0,74.0,False,0.009596316385999577,-2.4506066321879403,-0.00010658637542612496,True,0.0,False,12,4,10,,chickenlegpeice_,764997303082394243,15.0,-2485.419921875,-2548.989990234375,16.989999771118164,8994.099731445312,-13625.50048828125,2.8999999165534973,-0.7000000029802322,0.5000000074505806,3052.9998779296875,255.0,253.0,0.009612188036091587,-0.7699360704423568,-2.3852451605631452e-05,False,161.36477427841513,True,12,8,False,,False
7,877,25,False,False,0,3572.3609545187505,-2992.530029296875,2247.5400390625,821.8699951171875,8223.200073242188,6666.9000244140625,2950.1998901367188,5130.0,-2743.699951171875,1467.7999877929688,0.0,-0.41137371935213485,-0.33243087511515323,-0.0008803425980601589,bf81d8692db,games5425898691,24.0,-3068.02001953125,2170.580078125,661.6400146484375,5176.400146484375,21856.4990234375,4132.60009765625,2002.2000122070312,59.60000038146973,-1272.2000122070312,255.0,14.0,,-0.6236062888486995,1.125889300339776,0.2894425830871151,True,51.02821492123347,True,False,16,14,,76561198039309853,enpitsu,25.0,-718.469970703125,92.41000366210938,17.049999237060547,4603.299865722656,21331.10107421875,2.5,0.19999999552965164,0.29999999329447746,22.200000286102295,255.0,128.0,,0.016789673392438514,1.3606460517015067,-3.68734047194615e-05,True,4,False,4,115.0,False,,max_stetsun,9008577481387032148,9.0,-2213.239990234375,-2570.080078125,88.1500015258789,10326.199951171875,20203.800048828125,882.3000335693359,-5282.2998046875,-1304.7000122070312,803.0000305175781,232.0,240.0,False,0.9862244015356892,0.3326563773363541,-1.6287012728920909,True,106.0,False,16,4,13,,chickenlegpeice_,764997303082394243,12.0,-471.32000732421875,3012.169921875,17.010000228881836,2937.3001098632812,20602.7001953125,2.0999999344348907,0.0,0.7000000029802322,106.99999809265137,128.0,128.0,0.009649379400875607,1.4420720680304202,-0.00010203735882232285,True,125.0,False,14,10,False,,
8,928,27,False,False,0,1798.5298284221294,-1523.8299560546875,3454.610107421875,265.67999267578125,-12017.60009765625,21228.60107421875,4106.700134277344,303.799991607666,1698.9999389648438,-5746.300048828125,0.0,-0.08850037088652435,-0.37875718921599055,-1.5001795304624037,76561198039309853,enpitsu,25.0,-1373.030029296875,3271.510009765625,170.5399932861328,-9158.400268554688,15975.30029296875,2781.0000610351562,-0.29999999329447746,0.0,0.5999999865889549,128.0,128.0,,0.016791232955471275,2.0916748533732408,-1.801678894602462e-05,True,93.0,False,False,6,4,,bf81d8692db,games5425898691,24.0,-2133.5,5102.990234375,626.0,507.90000915527344,-2.5,1684.9000549316406,0.19999999552965164,1310.8999633789062,0.29999999329447746,255.0,0.0,,-1.5070190098914467,0.149872310609028,1.4211203086500872,True,16,False,14,41.0,False,,max_stetsun,9008577481387032148,9.0,-753.8099975585938,1161.3399658203125,17.0,6994.69970703125,18275.699462890625,3.3000001311302185,-0.29999999329447746,-0.5000000074505806,-4.699999988079071,128.0,128.0,False,0.009634352411063732,1.2045906391727894,7.037245178679806e-05,True,106.0,False,16,4,14,,chickenlegpeice_,764997303082394243,15.0,-1047.530029296875,3873.639892578125,46.13999938964844,-9991.199951171875,-7904.69970703125,3457.0001220703125,259.50000762939453,-322.79998779296875,66.10000133514404,255.0,128.0,0.018139467836556036,-2.4594543361046974,-5.902036118190775e-05,True,71.81472675774688,True,15,10,False,,False
9,1043,31,False,False,1,7519.53035274805,3822.97998046875,-1786.47998046875,132.66000366210938,-7110.0,14969.200439453125,-161.5999984741211,3363.2000732421875,104.30000305175781,1065.4000091552734,1.0,0.9409837361476652,-2.6702562822719442,1.6328505739498416,9008577481387032148,max_stetsun,9.0,3941.010009765625,-1896.77001953125,40.7400016784668,-2373.3999633789062,16624.599609375,-1179.8999786376953,-1074.1000366210938,-1143.3999633789062,1993.699951171875,238.0,177.0,False,-0.08846914064864037,1.4163834677614766,-0.485612293647987,True,8.0,False,4,16,14,,764997303082394243,chickenlegpeice_,12.0,3038.449951171875,-2342.2900390625,17.010000228881836,-819.7000122070312,9664.89990234375,2.0999999344348907,-0.0,0.9000000357627869,17.200000286102295,255.0,128.0,False,-0.009526808559152585,1.4833316926525706,-8.712955688416726e-05,False,16,False,10,47.0,False,,enpitsu,76561198039309853,25.0,3669.2099609375,-776.5599975585938,15.75,5780.8001708984375,18157.7001953125,126.49999618530273,25.59999942779541,-113.4000015258789,1614.1999816894531,255.0,128.0,,-0.020042162651223615,1.8852798036597949,0.006455463429095197,True,0.0,False,8,False,6,,games5425898691,bf81d8692db,24.0,2827.800048828125,-790.6199951171875,92.52999877929688,1408.0000305175781,22856.201171875,-168.1999969482422,-5472.0001220703125,-548.8999938964844,71.39999866485596,255.0,150.0,-0.9973921966631766,-1.8084103050729357,-3.0381847276047527,False,0.0,False,20,17,False,,
