,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,170,0.0,False,False,1,5165.211456589996,-25.040000915527344,57.56999969482422,91.25,-2603.900146484375,1398.800048828125,-74.40000057220459,-2766.7999267578125,-409.1999816894531,-1524.7000122070312,1.0,0.20482722703857326,0.253650773148848,0.24645110001860435,bb54e48d2fb,L O R E E N.,12.0,-70.44999694824219,-85.19000244140625,84.18000030517578,-3090.5999755859375,4061.300048828125,3005.7998657226562,3150.8999633789062,-4408.699951171875,-940.5000305175781,255.0,255.0,,0.14569876493696138,2.0327638967787105,-0.5398190091123773,True,5,False,6,39.0,False,,8097792243161099426,Alex210103,22.0,-7.559999942779541,-2353.429931640625,17.049999237060547,-602.9000091552734,11198.399658203125,2.5999999046325684,-0.0,-0.5999999865889549,0.0,255.0,128.0,,-0.016705567477663965,1.5169998534734492,5.258388915162808e-05,True,False,116.0,False,False,False,,enpitsu,76561198039309853,27,67.6500015258789,152.1300048828125,120.41000366210938,-2807.5,467.99999237060547,891.2999725341797,4503.299865722656,-2010.0,-2434.9000549316406,255.0,128.0,,-1.1946924417321592,2.123642158183531,-3.0832038215877207,True,1,4.0,False,2,False,,games5425898691,bf81d8692db,19.0,-2809.7900390625,4149.5498046875,17.010000228881836,-16859.300537109375,1443.3000183105469,2.3000000417232513,0.5000000074505806,-0.09999999776482582,1911.3999938964844,128.0,255.0,,-0.009630731463426837,0.020322636624598222,4.7803655050640096e-05,True,False,False,False,0.0,False,
1,179,0.0,False,False,1,5153.471649343276,-92.95999908447266,82.30999755859375,93.0,-1808.699951171875,1045.8999633789062,0.0,-1146.2000274658203,-1982.2000122070312,-491.3999938964844,1.0,-0.5388805709924657,0.4223031605543468,0.5038207164862131,bb54e48d2fb,L O R E E N.,12.0,-253.0399932861328,-57.869998931884766,98.44000244140625,-5354.4000244140625,887.3999786376953,-149.7000026702881,-2120.2000427246094,-4645.10009765625,-2043.699951171875,255.0,128.0,,0.3490652902271705,2.2138754088286943,-2.9475421752822015,True,5,False,6,39.0,False,,8097792243161099426,Alex210103,22.0,-29.450000762939453,-1947.0,17.049999237060547,-672.2000122070312,12486.700439453125,2.5999999046325684,-0.09999999776482582,-0.5999999865889549,0.0,255.0,128.0,,-0.016705567477663965,1.5169998534734492,5.258388915162808e-05,True,False,116.0,False,False,False,,enpitsu,76561198039309853,26,20.889999389648438,228.83999633789062,174.32000732421875,-1192.7999877929688,2457.7000427246094,846.2000274658203,4168.699951171875,-3561.7999267578125,-429.90001678466797,255.0,0.0,,1.167318110813123,2.4626136008243207,-2.941136284492966,True,2,4.0,False,2,False,,games5425898691,bf81d8692db,19.0,-3324.3798828125,4016.800048828125,17.010000228881836,-12625.999755859375,-8530.900268554688,2.3000000417232513,0.29999999329447746,-0.0,2045.8999633789062,255.0,255.0,,-0.009587732417160136,-0.6619916031579842,3.7461897903133836e-05,True,False,False,False,255.0,False,
2,210,1.0,False,False,1,5081.784667101741,-296.6099853515625,200.13999938964844,93.0,-1758.6000061035156,1018.4999847412109,0.0,-1116.1000061035156,-1927.2999572753906,-491.3999938964844,1.0,-0.03070398767241706,-2.4203775504907297,-2.2920892482808766,bb54e48d2fb,L O R E E N.,12.0,-458.1199951171875,132.14999389648438,67.88999938964844,12198.699951171875,19196.600341796875,3417.3001098632812,-1448.6000061035156,2141.0000610351562,4854.5001220703125,255.0,147.0,,-0.08461186270556016,2.9420286338181865,-0.05069891972921387,True,7,False,8,0.0,True,,8097792243161099426,Alex210103,22.0,-395.2099914550781,-14.210000038146973,63.810001373291016,4965.400085449219,16105.899658203125,2753.699951171875,-1700.5000305175781,2154.199981689453,4766.199951171875,255.0,10.0,,-0.08821889918218262,1.6911499690624445,0.030473154645256368,True,4,36.0,False,False,3,,enpitsu,76561198039309853,27,-157.39999389648438,400.010009765625,79.93000030517578,-5011.400146484375,-4036.300048828125,2431.9000244140625,3955.4000854492188,-3821.4999389648438,-16.49999976158142,255.0,0.0,,-0.6596230808398087,-0.8001431518787019,-0.002882332324620394,True,3,4.0,False,4,False,,games5425898691,bf81d8692db,19.0,-2997.840087890625,2894.3798828125,17.010000228881836,15361.500244140625,-29.30000066757202,0.0,-0.0,0.09999999776482582,2077.2999572753906,255.0,255.0,,-0.009581804736283752,3.075218167617349,-2.195042105917809e-05,True,False,False,False,226.7980386108481,True,
3,212,1.0,False,False,0,5466.361387079745,200.1999969482422,-215.32000732421875,112.63999938964844,-9831.400146484375,12046.199951171875,5454.6002197265625,2965.7000732421875,-3628.5000610351562,3746.7001342773438,0.0,-0.025993899221478017,2.2920361826370095,-2.4629759126220105,76561198039309853,enpitsu,27.0,197.3000030517578,-369.1199951171875,92.5199966430664,3305.7998657226562,2143.8999938964844,-181.5999984741211,-3409.7000122070312,1539.2999267578125,4031.6000366210938,255.0,0.0,,1.3071350556922305,0.7947332980360055,-0.13565523798225929,True,3,False,4,4.0,False,,bf81d8692db,games5425898691,19.0,2867.969970703125,-2906.570068359375,17.010000228881836,-15692.2998046875,-2695.10009765625,0.0,0.0,0.0,2049.4000244140625,255.0,255.0,,0.009580219651684426,-2.9034995670822994,-1.1376563033614915e-05,True,False,220.5071054735492,True,False,False,,L O R E E N.,bb54e48d2fb,12,458.1199951171875,-132.14999389648438,67.88999938964844,-12198.699951171875,-19196.600341796875,3417.3001098632812,1448.6000061035156,-2141.0000610351562,4854.5001220703125,255.0,147.0,,0.08461186270556016,-2.9420286338181865,-0.05069891972921387,True,7,0.0,False,8,False,,Alex210103,8097792243161099426,22.0,353.6700134277344,-118.98999786376953,84.2699966430664,-4964.5001220703125,-16159.200439453125,2198.699951171875,3756.9000244140625,-4016.7001342773438,-28.299999237060547,255.0,0.0,,0.43150786828839083,-1.4318295939513705,0.4947332822460105,True,3,False,4,36.0,False,
4,350,6.0,False,False,0,2842.912407049961,-3442.35009765625,3875.780029296875,104.0999984741211,5319.5001220703125,22376.10107421875,5638.4002685546875,1581.300048828125,-5584.7998046875,1519.2999267578125,0.0,0.4098562621648803,0.13746747760292752,-2.483260489303473,bf81d8692db,games5425898691,19.0,-3513.47998046875,3733.679931640625,15.859999656677246,4065.4998779296875,16954.599609375,-115.10000228881836,1408.8999938964844,661.6999816894531,-4281.700134277344,128.0,0.0,,-0.01970994309853154,1.2127895320002287,0.026060344978896744,True,4,False,4,122.0,False,,76561198039309853,enpitsu,27.0,-2276.110107421875,-3298.320068359375,17.049999237060547,13350.999755859375,12699.000244140625,-2.0999999344348907,-4.399999976158142,-4.699999988079071,910.6999969482422,255.0,255.0,,0.016801729824960535,0.813622086803018,-0.0001802723008501541,True,4,179.8257032645646,True,False,4,,L O R E E N.,bb54e48d2fb,13,-3446.179931640625,268.5,21.959999084472656,272.90000915527344,16783.399658203125,3001.6000366210938,0.19999999552965164,5.899999737739563,-1129.5999908447266,255.0,128.0,,0.009588969809205393,1.4858212893341507,0.00012688583333696085,True,10,255.0,False,11,False,,Alex210103,8097792243161099426,20.0,3501.81005859375,3510.68994140625,19.0,3444.5999145507812,20304.100341796875,-1490.2000427246094,-1297.7000427246094,3814.2001342773438,562.2000122070312,0.0,255.0,,0.03619063596989669,1.4990840239582695,-0.09695516858409889,False,8,False,8,0.0,False,
5,395,8.0,False,False,0,747.0563073209569,-1588.949951171875,4860.8701171875,282.6300048828125,14174.3994140625,7022.19970703125,9241.400146484375,5132.19970703125,1653.6000061035156,2631.4999389648438,0.0,-0.9685603203089119,-2.7614703515004924,2.2124682949042658,bf81d8692db,games5425898691,19.0,-1667.7900390625,4775.31005859375,116.26000213623047,9464.500122070312,10449.69970703125,3919.4000244140625,1860.2999877929688,-1600.8000183105469,-1063.6000061035156,255.0,3.0,,-0.26848370964451684,0.7406384358317184,0.013689052325194283,True,4,False,6,255.0,False,,76561198039309853,enpitsu,27.0,-474.67999267578125,-229.86000061035156,17.049999237060547,11945.10009765625,18413.699951171875,2.5999999046325684,-0.7000000029802322,0.19999999552965164,0.0,128.0,128.0,,0.016793918999377325,0.9953289559054098,1.8679650303197798e-05,True,4,174.0,False,False,4,,L O R E E N.,bb54e48d2fb,13,-3353.60009765625,3447.389892578125,17.010000228881836,13960.2001953125,8125.9002685546875,5.099999904632568,-0.19999999552965164,1.2999999523162842,-2004.4999694824219,255.0,0.0,,0.009511474423232134,0.45889563848037523,-4.4354606909448495e-05,True,12,255.0,False,12,False,,Alex210103,8097792243161099426,20.0,1963.489990234375,4562.8798828125,17.059999465942383,-13265.899658203125,3846.300048828125,1.1999999731779099,-0.09999999776482582,0.0,192.09999084472656,255.0,128.0,,0.016743950872812444,2.8768905951493804,-0.00010111147788021675,True,8,False,8,0.0,False,
6,449,10.0,False,False,1,9588.942598513291,-681.280029296875,-4318.330078125,327.2200012207031,-12762.900390625,13774.89990234375,1070.8999633789062,-1766.1000061035156,-2478.2000732421875,5170.9002685546875,1.0,-0.44825809085712925,-2.7748700322346402,0.969986949614361,8097792243161099426,Alex210103,20.0,-647.239990234375,-4477.169921875,189.3300018310547,-1745.3999328613281,6201.9000244140625,2418.5000610351562,-347.40001678466797,-4907.900085449219,625.2000045776367,243.0,255.0,,0.3955156345911732,1.788949898304366,-0.15125842334594397,True,9,False,10,0.0,False,,bb54e48d2fb,L O R E E N.,13.0,406.5,-3834.639892578125,17.010000228881836,-13163.1005859375,4668.399963378906,2.199999988079071,3.3000001311302185,-1.0000000149011612,1662.2999572753906,255.0,165.0,,-0.009583722981344122,0.29722244396270814,0.0001416526009462709,True,12,240.0,False,False,12,,enpitsu,76561198039309853,27,-940.8499755859375,-3677.75,186.6300048828125,7258.0999755859375,-21720.0,2135.2000427246094,-803.7999725341797,4502.699890136719,266.00000381469727,128.0,255.0,,0.32304047031798466,-1.6928810563829058,-0.10554570757249632,True,5,100.0,False,6,False,,games5425898691,bf81d8692db,19.0,251.07000732421875,-3973.409912109375,98.66999816894531,-5744.0997314453125,12450.400390625,-333.49998474121094,-4824.89990234375,-1275.6999969482422,-66.99999809265137,255.0,128.0,,1.3651737708752731,1.2477504052116137,-0.06589237751482165,True,6,False,8,255.0,False,
7,453,10.0,False,False,0,2038.6595365592407,871.8400268554688,4124.68017578125,343.45001220703125,16470.10009765625,9584.7998046875,10331.400146484375,4263.900146484375,3141.9000244140625,-2818.9999389648438,0.0,0.01841563648846177,-2.952963871554774,0.5351005477203095,76561198039309853,enpitsu,27.0,821.3699951171875,4039.679931640625,211.77000427246094,-6564.000244140625,19844.49951171875,-621.1999893188477,3341.4999389648438,-3531.400146484375,-2571.4999389648438,128.0,255.0,,-0.3206279578703034,1.770623294126724,-1.350483312414378,True,5,False,6,100.0,False,,bf81d8692db,games5425898691,19.0,-203.1699981689453,3869.580078125,93.6500015258789,5749.5001220703125,-12469.300537109375,-823.4999847412109,3785.10009765625,1000.5000305175781,-52.30000019073486,255.0,128.0,,-1.0006214335240533,-1.29134534900704,-0.024823337051480314,True,8,255.0,False,False,6,,L O R E E N.,bb54e48d2fb,13,-204.55999755859375,3775.330078125,17.010000228881836,13508.199462890625,-3905.5999755859375,2.199999988079071,-1.5000000596046448,0.3999999910593033,-1212.9000091552734,255.0,19.0,,0.009576043614815365,-0.26897485393407455,-0.0003212093258490869,True,12,240.0,False,12,False,,Alex210103,8097792243161099426,20.0,675.8499755859375,4378.0,210.02999877929688,1698.8999938964844,-5835.0,9.800000190734863,1039.800033569336,5066.199951171875,-1871.300048828125,255.0,255.0,,-0.3087671575257085,-1.7215988387118875,-1.3973534777307506,True,9,False,10,0.0,False,
8,536,13.0,False,False,0,5136.593369743775,3997.27001953125,3577.7900390625,225.67999267578125,215.10000228881836,19188.00048828125,4129.5001220703125,5859.69970703125,805.6999969482422,-1006.6999816894531,0.0,0.4739541475907262,-3.1240894550813127,0.45646038130565425,bf81d8692db,games5425898691,19.0,3899.27001953125,3394.06005859375,158.3699951171875,17885.2001953125,14408.1005859375,1234.4999694824219,-4407.60009765625,3274.5999145507812,-314.0999984741211,255.0,220.0,,0.31862202754103364,0.7507147417267629,-0.14960942066707567,True,7,False,10,107.40497212256156,True,,76561198039309853,enpitsu,27.0,-675.1199951171875,5534.16015625,24.06999969482422,-8779.69970703125,-1303.6000061035156,-35.19999980926514,-2.7000001072883606,-119.30000305175781,2610.4998779296875,255.0,255.0,,0.023217389069215378,-2.9529570352055075,-0.03910673149947338,False,6,50.0,False,False,6,,L O R E E N.,bb54e48d2fb,13,3447.530029296875,3742.3701171875,17.010000228881836,1850.8000183105469,-3585.4998779296875,2.5999999046325684,0.5999999865889549,-1.7000000178813934,-1186.3999938964844,0.0,0.0,,0.009916381981422471,-1.0900517234219442,-1.2371078280665208e-05,True,12,255.0,False,12,False,,Alex210103,8097792243161099426,20.0,-818.6799926757812,5603.47998046875,51.36000061035156,-5208.499755859375,4379.89990234375,3810.1998901367188,-2903.2998657226562,3454.5001220703125,3144.2001342773438,255.0,0.0,,0.0107333113926277,-0.22890670634000532,-0.21812083689995862,True,10,False,10,0.0,False,
9,613,16.0,False,False,1,10196.952049069218,-1575.4300537109375,-4752.919921875,93.94000244140625,-11852.80029296875,12678.900146484375,1033.0000305175781,-1638.800048828125,2789.7000122070312,-1818.5000610351562,1.0,1.4035630686460885,-0.07600962763160853,-1.3594324222596694,8097792243161099426,Alex210103,20.0,-1401.239990234375,-4867.8701171875,180.27999877929688,-12314.100341796875,7985.5999755859375,65.99999904632568,-2033.5000610351562,-479.3000030517578,-5087.699890136719,255.0,0.0,,-1.5291887487799167,1.3430428181317065,0.0027479566784746447,True,11,False,12,,False,,bb54e48d2fb,L O R E E N.,13.0,-1762.8299560546875,-2982.93994140625,17.010000228881836,-2094.7000122070312,13927.2998046875,2.3000000417232513,-0.29999999329447746,0.09999999776482582,2155.2000427246094,255.0,255.0,,-0.009563547499199989,1.3536502566554287,-8.979149521293123e-06,True,12,212.0,False,False,12,,enpitsu,76561198039309853,27,291.8399963378906,-3345.159912109375,17.049999237060547,-7388.499755859375,12545.2001953125,2.5999999046325684,0.09999999776482582,-0.19999999552965164,-64.29999828338623,255.0,255.0,True,-0.01678323762266707,1.0455680188801266,4.801771768601983e-05,True,6,5.0,False,6,False,,games5425898691,bf81d8692db,19.0,-2698.56005859375,-3344.780029296875,16.989999771118164,-5582.60009765625,11977.5,4.799999892711639,-0.0,-0.0,2274.7999572753906,255.0,255.0,,-0.009555720292470465,1.0666511225644077,3.023241533282133e-06,True,8,False,10,235.0,False,
