,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,170,0,False,False,1,5205.681296362398,-6.0,13.0600004196167,98.2300033569336,-6740.2001953125,22499.3994140625,7011.400146484375,3641.099853515625,2875.4998779296875,-2862.2000122070312,1.0,0.024316181587165996,0.02347924992416417,-0.030055030305912632,b89a082000b,fosors,8.0,77.7699966430664,-191.50999450683594,17.010000228881836,-13095.10009765625,14485.10009765625,2.199999988079071,2.5,-2.5999999046325684,-901.5000152587891,255.0,0.0,,-0.009583642332819574,0.8144034782304713,-0.0002969904762831141,True,0.0,False,False,False,False,,76561198423825760,Charles De Gaulle,16.0,-0.8199999928474426,-2032.22998046875,17.010000228881836,-366.6999816894531,11393.1005859375,2.0999999344348907,-0.0,0.7000000029802322,2.8999999165534973,255.0,128.0,,-0.00953937222962946,1.538080320812341,-8.048511863622366e-05,True,False,False,False,65.0,False,,enpitsu,76561198039309853,27.0,37.029998779296875,2777.60009765625,17.049999237060547,-2462.5,-11537.39990234375,2.5999999046325684,-0.0,-0.7000000029802322,19.199999570846558,255.0,128.0,,-0.016707490924039246,-1.3630201498339223,-6.973923392486783e-05,True,False,False,False,116.0,False,,games5425898691,bf81d8692db,24.0,-35.540000915527344,384.8399963378906,73.5199966430664,289.0999984741211,-22830.80078125,2689.7000122070312,5345.2001953125,-1119.4000244140625,-652.0999908447266,255.0,128.0,,-0.34005437687695067,-1.322799847557827,-0.013050959881538584,True,3,False,4,31.0,False,
1,172,0,False,False,0,5323.77450703142,60.470001220703125,-97.1500015258789,176.8300018310547,6781.199951171875,18013.399658203125,15953.199462890625,5504.7998046875,-50.19999980926514,-2386.1000061035156,0.0,-0.08900703162161444,-0.36697216734349786,0.17103898162541079,bf81d8692db,games5425898691,24.0,33.79999923706055,-237.97000122070312,88.77999877929688,-136.19999885559082,19811.700439453125,1892.1000671386719,-5460.3997802734375,413.69998931884766,512.400016784668,255.0,128.0,,0.8686855461388937,1.275709491704915,-0.08666847732806272,True,31.0,False,3,False,4,,76561198039309853,enpitsu,27.0,-20.530000686645508,-2699.739990234375,17.049999237060547,2486.9000244140625,11787.5,2.5999999046325684,0.0,0.7000000029802322,6.600000262260437,255.0,128.0,,0.01670751628726225,1.3637706441532793,-6.347001154466814e-05,True,False,False,False,116.0,False,,Charles De Gaulle,76561198423825760,16.0,4.599999904632568,1916.0699462890625,17.010000228881836,386.19998931884766,-11800.2001953125,2.0999999344348907,0.09999999776482582,-0.7000000029802322,0.3999999910593033,255.0,128.0,,0.00954687940222014,-1.537975136412833,-7.22300541036602e-05,True,False,False,False,65.0,False,,fosors,b89a082000b,8.0,37.529998779296875,55.810001373291016,16.190000534057617,10318.800048828125,-13819.200439453125,112.10000038146973,46.500000953674316,249.79999542236328,-842.2000122070312,255.0,255.0,,-0.0020886399473483467,-1.0319998026649653,0.01154897269120965,True,False,False,False,0.0,False,
2,282,4,False,False,1,9881.466089801774,-2282.2900390625,-4216.3798828125,257.25,-13540.999755859375,12193.499755859375,1620.5000305175781,-5306.400146484375,2772.9000854492188,389.50000762939453,1.0,0.5025780017687462,0.2231245538189626,-0.7044593559180982,76561198423825760,Charles De Gaulle,14.0,-2224.169921875,-4251.580078125,118.81999969482422,-8375.900268554688,-3456.9000244140625,1581.4999389648438,-4292.699890136719,-3236.199951171875,1161.3999938964844,255.0,0.0,,0.4343020104740158,-0.8832257152398378,0.2841773872050952,True,82.0,False,3,False,4,,b89a082000b,fosors,8.0,-3378.35009765625,-1353.719970703125,17.0,10301.500244140625,-12368.499755859375,3.3000001311302185,-0.0,0.5999999865889549,0.0,235.0,,,-0.009573412706294842,-2.265241186755633,2.4284531051844995e-05,True,4,False,4,209.0,False,,enpitsu,76561198039309853,27.0,-2546.6298828125,-1517.760009765625,17.049999237060547,9879.099731445312,8245.800170898438,3.400000035762787,-0.0,-0.0,2355.2000427246094,255.0,255.0,,-0.016733192185059826,2.3773391440714886,-1.3928803503056274e-05,True,False,False,False,70.0,False,,games5425898691,bf81d8692db,24.0,-4042.199951171875,-3161.929931640625,132.57000732421875,2206.3999938964844,17887.19970703125,-3886.9000244140625,-1356.0000610351562,-2141.6000366210938,-1239.4999694824219,255.0,0.0,,-0.2540320416456306,1.7404702859032757,1.0327260438128203,True,6,False,6,255.0,False,
3,381,7,False,False,0,6366.525090510629,3817.679931640625,860.530029296875,129.6199951171875,223.50000381469727,4196.700134277344,-5362.39990234375,-1083.0000305175781,2945.4998779296875,5113.699951171875,0.0,0.5834423953253525,1.5089567682256972,1.885167181552985,bf81d8692db,games5425898691,24.0,3860.85009765625,695.969970703125,140.77000427246094,8076.300048828125,-3681.4999389648438,-210.59999465942383,-5036.700134277344,389.3000030517578,2174.7999572753906,255.0,255.0,,-0.06390531022649852,0.003390347038310555,-2.0105126293669766,True,224.0,False,7,False,8,,76561198039309853,enpitsu,27.0,2699.530029296875,-4294.009765625,17.049999237060547,-17930.999755859375,-9442.60009765625,3.0000001192092896,0.09999999776482582,0.0,-2063.8999938964844,255.0,0.0,True,0.01677206615494135,-2.7339508820645126,1.2560611781800695e-05,True,False,False,False,255.0,False,,Charles De Gaulle,76561198423825760,13.0,3843.760009765625,1207.030029296875,76.08000183105469,-2889.89990234375,-22680.10009765625,2393.2000732421875,3426.7001342773438,-4301.7999267578125,34.20000076293945,128.0,0.0,False,0.11690206466851873,-1.4390744265434279,0.20324363801361703,True,6,5,False,5.0,False,,fosors,b89a082000b,8.0,72.91999816894531,5158.81982421875,17.0,-459.3000030517578,1551.3999938964844,3.100000023841858,-0.7999999821186066,-0.3999999910593033,-1954.7000122070312,227.0,0.0,False,0.009474622335446627,-0.7702610927366503,0.0001234891157792462,True,4,False,4,209.0,False,
4,384,7,False,False,1,7563.19051600688,-3801.85009765625,-787.22998046875,109.27999877929688,5643.699951171875,31953.60107421875,5552.60009765625,-1251.500015258789,-4513.800048828125,3749.5001220703125,1.0,-0.47543467039688464,-2.2344372693046437,2.293087270381647,76561198423825760,Charles De Gaulle,13.0,-3820.14990234375,-1026.1300048828125,93.9000015258789,2620.7998657226562,18421.8994140625,2080.500030517578,-3338.9999389648438,4323.0999755859375,640.9999847412109,128.0,0.0,False,-0.41848575163785184,1.2562306386403934,0.7639647135303891,True,5.0,False,5,False,6,,b89a082000b,fosors,8.0,-73.0,-5164.06005859375,17.0,-217.39999771118164,-147.89999961853027,3.100000023841858,1.0999999940395355,-1.899999976158142,-805.9999847412109,231.0,0.0,False,-0.00954307824424704,0.8855373042221041,-0.00018441559665498974,True,4,False,4,209.0,False,,enpitsu,76561198039309853,27.0,-2545.02001953125,4357.60009765625,17.049999237060547,18949.300537109375,6144.000244140625,3.100000023841858,-0.3999999910593033,-0.0,-2103.300018310547,255.0,0.0,False,-0.016782005293243696,2.9065038116572333,-1.1904233781310577e-05,True,False,False,False,255.0,False,,games5425898691,bf81d8692db,24.0,-3957.199951171875,-649.9299926757812,145.27000427246094,-1033.0000305175781,1869.4999694824219,3777.0999145507812,3639.1000366210938,-4093.900146484375,496.3999938964844,255.0,255.0,,-0.19335812122353332,-0.13176738926359602,-2.9090662598003996,True,7,False,8,224.0,False,
5,431,9,False,False,0,10386.81956639353,2900.610107421875,-4528.080078125,101.70999908447266,20139.000244140625,-29784.599609375,-2384.600067138672,2372.5999450683594,1552.2000122070312,-5287.80029296875,0.0,-0.06684172089518937,-0.3112304929682338,0.74566793759419,76561198039309853,enpitsu,27.0,2695.969970703125,-4397.259765625,90.45999908447266,12264.89990234375,-14689.3994140625,2291.999969482422,5077.799987792969,2065.5999755859375,-445.40000915527344,255.0,0.0,False,0.7743382693525854,-1.2637981860986378,-0.05297331403061657,True,209.0,False,1,False,2,,bf81d8692db,games5425898691,24.0,3797.1298828125,322.2900085449219,16.600000381469727,-5227.2998046875,-4017.0001220703125,-96.99999809265137,402.5,547.400016784668,50.0,255.0,128.0,,0.005550704756442865,-2.493414608919437,0.004636232581729568,True,8,False,8,224.0,False,,Charles De Gaulle,76561198423825760,13.0,3578.969970703125,-2201.89990234375,17.010000228881836,437.99999237060547,-19407.60009765625,2.0999999344348907,0.0,0.3999999910593033,0.09999999776482582,255.0,128.0,False,0.009597978271120626,-1.548210223954583,3.972582722389033e-05,True,6,6,False,0.0,False,,fosors,b89a082000b,8.0,95.81999969482422,3964.159912109375,17.0,2712.0999145507812,-11246.700439453125,3.6000001430511475,-0.19999999552965164,1.1999999731779099,2244.600067138672,239.0,255.0,False,0.00956533804142698,-1.2914953712488924,0.00013496211370185454,True,4,False,4,240.0,False,
6,542,13,False,False,0,9105.695431898386,1789.6199951171875,-3560.639892578125,220.72999572753906,-91.30000114440918,20463.800048828125,-10753.1005859375,-4623.900146484375,1976.9999694824219,3272.6998901367188,0.0,-0.8267628135183466,-0.4855177124082044,0.38443101076334635,76561198039309853,enpitsu,27.0,1726.4100341796875,-3817.169921875,256.1199951171875,1151.6999816894531,15405.400390625,-158.99999618530273,-3964.7000122070312,-3340.7000732421875,-1835.8000183105469,128.0,128.0,False,0.22078767146861403,0.2241941140122668,-2.2764407882361857,True,153.0,False,3,False,4,,bf81d8692db,games5425898691,24.0,-2.799999952316284,-4255.330078125,17.010000228881836,-990.1000213623047,-13699.599609375,2.3000000417232513,0.0,0.19999999552965164,2091.699981689453,128.0,255.0,,0.00964380111219897,-1.5796190402705639,2.612319176295616e-05,True,10,False,10,255.0,False,,Charles De Gaulle,76561198423825760,14.0,-3347.5,-3927.739990234375,17.010000228881836,-17706.300048828125,11398.499755859375,2.5999999046325684,-0.7999999821186066,0.7000000029802322,-2547.7000427246094,255.0,0.0,False,0.009608554616980947,2.4346660664797164,-3.171996839566719e-05,True,8,8,False,255.0,False,,fosors,b89a082000b,8.0,1308.0799560546875,-222.2100067138672,17.0,149.399995803833,-354.00001525878906,3.400000035762787,0.0,0.29999999329447746,96.5999984741211,132.0,128.0,False,0.009581533120998088,-1.2504297165411182,1.0121174464351108e-05,True,4,False,4,230.0,False,
7,585,15,False,False,1,4881.380593823457,-1849.280029296875,1103.75,419.04998779296875,2348.3999633789062,-1117.7999877929688,14824.200439453125,5866.300048828125,-787.9000091552734,982.2000122070312,1.0,-1.0895317543748413,-0.1389281706175226,-2.714381803740715,b89a082000b,fosors,8.0,-1862.9300537109375,1075.7900390625,229.38999938964844,109.79999542236328,7287.5,-158.50000381469727,2312.5999450683594,3657.3001098632812,3394.89990234375,255.0,0.0,,0.860044574442648,1.7341797108086117,1.2493320955362581,True,221.0,False,5,False,6,,76561198423825760,Charles De Gaulle,14.0,3006.590087890625,779.5,87.58999633789062,-8802.899780273438,-21243.9990234375,-444.1999816894531,1908.3999633789062,-4067.9998779296875,405.29998779296875,255.0,128.0,,0.7029430232358291,-1.4712083347521143,-0.7589632295166588,True,10,False,10,237.0,False,,enpitsu,76561198039309853,27.0,-1872.780029296875,1752.6800537109375,17.049999237060547,-215.59999465942383,-2595.4000854492188,2.5999999046325684,-3.8999998569488525,0.5999999865889549,-0.3999999910593033,255.0,,,-0.017136592764481973,-1.4876407289390432,2.7728351573897388e-05,True,4,4,False,184.0,False,,games5425898691,bf81d8692db,24.0,-474.54998779296875,4866.60009765625,17.010000228881836,-528.4000015258789,-194.3000030517578,2.0999999344348907,-0.0,-1.0000000149011612,0.0,255.0,128.0,,-0.00936730609682834,-0.3523299813663718,-1.4767847560120885e-05,True,10,False,10,255.0,False,
8,759,21,False,False,0,6434.034726327837,885.5700073242188,-1042.4599609375,391.7900085449219,-18951.500244140625,14217.099609375,4311.099853515625,1000.6999969482422,1100.999984741211,850.6999969482422,0.0,-0.29031936090316823,-1.866388021194037,-2.1696287966487358,76561198039309853,enpitsu,27.0,975.75,-1125.0,274.9599914550781,-13115.699462890625,7280.30029296875,1153.1999969482422,-2934.4000244140625,-270.9000015258789,-2867.9998779296875,255.0,128.0,False,-0.5086245504057864,2.5983681598436434,0.0245533766485418,True,203.0,False,5,False,6,,bf81d8692db,games5425898691,24.0,-3474.090087890625,-677.0399780273438,17.010000228881836,2270.0,7804.89990234375,2.3999999463558197,-0.09999999776482582,-0.19999999552965164,2502.7999877929688,255.0,255.0,,0.009524744900488482,1.31600893341171,1.8373188501253982e-05,True,10,False,12,189.0,False,,Charles De Gaulle,76561198423825760,13.0,943.3499755859375,-293.70001220703125,283.8599853515625,-7556.500244140625,-21344.3994140625,188.60000610351562,-562.0999908447266,-5237.9998779296875,1580.0,128.0,0.0,False,-0.022807672472736896,-1.8948089394136314,0.9163427852915822,True,12,11,False,73.0,False,,fosors,b89a082000b,8.0,-760.6599731445312,-537.7100219726562,16.989999771118164,-310.10000228881836,14573.699951171875,4.600000083446503,0.0,0.7999999821186066,0.09999999776482582,154.0,128.0,,0.009599140416613831,1.5921140536586618,-7.316779084525788e-05,True,6,False,6,82.0,False,
9,812,23,False,False,0,3936.610068091359,-2639.889892578125,1610.72998046875,139.57000732421875,3703.3999633789062,25813.60107421875,8158.499755859375,-262.7000045776367,-3701.400146484375,4714.89990234375,0.0,1.1848654292002214,-0.7086658981458671,2.5966527863533013,bf81d8692db,games5425898691,24.0,-2727.3798828125,1474.3399658203125,94.91000366210938,20342.60009765625,5519.6002197265625,2087.2000122070312,573.8000106811523,4815.299987792969,2594.7000122070312,255.0,0.0,,0.6601057653046106,0.43414611928730945,0.5158056863849714,True,95.0,False,11,False,14,,76561198039309853,enpitsu,27.0,-1589.0899658203125,136.27999877929688,17.049999237060547,-14123.299560546875,3553.0999755859375,2.7000001072883606,-0.5000000074505806,0.29999999329447746,1.5999999642372131,255.0,128.0,False,0.016796493054113924,2.895352012017128,-5.08724389275233e-05,True,6,False,6,233.0,False,,Charles De Gaulle,76561198423825760,14.0,-882.469970703125,-4125.31005859375,17.0,-19521.600341796875,-6570.0,3.4999999403953552,0.29999999329447746,0.0,-2008.2000732421875,255.0,0.0,False,0.009570798198978265,-2.8948364451087794,1.808532491816734e-05,True,12,12,False,104.0,False,,fosors,b89a082000b,8.0,-2678.030029296875,1693.3699951171875,16.989999771118164,-20297.099609375,-2932.3001098632812,4.699999988079071,0.09999999776482582,0.0,2007.2000122070312,234.0,255.0,,0.00957859762452418,-2.9205625116470184,1.531975382908652e-05,True,6,False,6,11.0,False,
