,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_boost_collect
0,178,0,False,True,1,5177.231949087364,-4.139999866485596,41.619998931884766,111.29000091552734,-4189.2999267578125,25507.5,9003.300170898438,5984.5001220703125,312.09999084472656,-295.2000045776367,1.0,0.0073646490014361975,0.006088953234985435,-0.13318388039559617,76561198039309853,enpitsu,25.0,29.75,-136.88999938964844,17.049999237060547,73.4000015258789,22805.80078125,-1.5999999642372131,-0.0,0.3999999910593033,1371.0000610351562,255.0,128.0,,-0.016767350924449722,1.5536329634031516,0.0003346476731861085,True,False,False,False,0.0,False,,bf81d8692db,games5425898691,20.0,2685.3701171875,-4030.97998046875,17.010000228881836,19198.599853515625,-6140.2001953125,2.3000000417232513,-1.0000000149011612,0.5999999865889549,1815.5999755859375,128.0,255.0,,-0.009618040508127115,-2.887616274152256,0.00014798393044941806,True,False,False,False,0.0,False,,depuemi,2163267719346808250,11.0,48.189998626708984,1517.550048828125,176.08999633789062,-444.1999816894531,-13555.799560546875,1327.2000122070312,-850.1999664306641,70.99999904632568,374.00001525878906,255.0,128.0,,0.6313021751284071,-1.8126513765576988,-0.09412832203743807,True,116.0,False,False,4,False,,KK1982NRW,6484371586704118751,8.0,-0.0,4783.83984375,17.010000228881836,-0.0,-2109.7000122070312,1.8000000715255737,0.7000000029802322,-0.0,0.0,128.0,,,-0.009559667211155474,-1.5708039667440508,3.666633232634508e-08,True,False,False,80.0,False,False,
1,298,4,False,False,1,1425.8989713478045,1103.5699462890625,3729.2900390625,337.25,11156.700439453125,11118.699951171875,3473.699951171875,4545.199890136719,3871.7999267578125,-591.3999938964844,1.0,-0.7726001822148731,-1.46675375251691,-0.4597176017944194,bf81d8692db,games5425898691,20.0,1026.989990234375,3608.3701171875,268.1300048828125,-6478.699951171875,17277.900390625,-211.5999984741211,3973.900146484375,3679.7000122070312,-957.6000213623047,128.0,0.0,,-0.22245423201889833,2.2995348943458285,2.6807747171606606,True,4,False,3,103.24808594488326,True,,76561198039309853,enpitsu,25.0,1221.06005859375,2869.06005859375,17.049999237060547,10489.100341796875,7558.599853515625,2.5,0.7999999821186066,0.5999999865889549,75.79999923706055,255.0,255.0,,-0.016858500620100064,2.507552205376786,-0.00010701926355924581,True,False,False,False,31.0,False,,depuemi,2163267719346808250,9.0,-1910.1400146484375,1935.18994140625,17.010000228881836,3465.4998779296875,22737.39990234375,-0.5000000074505806,-0.09999999776482582,-0.7000000029802322,0.0,255.0,,,-0.009559556553485483,1.7220625992802634,4.0728850483762335e-05,True,0.0,False,4,4,False,,KK1982NRW,6484371586704118751,7.0,-464.4800109863281,5200.7900390625,254.25999450683594,5525.10009765625,1323.9999389648438,-2459.1000366210938,-485.09998321533203,349.0999984741211,-1621.9000244140625,255.0,128.0,,-0.3165807486000441,-3.115425087584235,1.5031657142506378,True,False,False,80.0,False,False,
2,370,7,False,False,1,2563.5838214315345,3299.56005859375,4248.4501953125,142.35000610351562,2973.2000732421875,-6136.5997314453125,3510.4000854492188,4452.799987792969,3345.10009765625,2232.100067138672,1.0,-0.7167230784593566,-0.7973335964724367,2.5387016641071263,76561198039309853,enpitsu,25.0,3332.949951171875,4285.25,16.780000686645508,1405.5000305175781,1673.800048828125,-328.10001373291016,1090.2999877929688,-721.2999725341797,883.7999725341797,0.0,128.0,False,-0.00629286029385838,2.269458223159132,0.0014265834573876023,True,False,False,False,255.0,False,,bf81d8692db,games5425898691,20.0,-874.3300170898438,5526.35009765625,92.58999633789062,-1153.3000183105469,-11382.39990234375,3060.10009765625,815.9999847412109,4484.800109863281,-1029.8999786376953,255.0,128.0,,0.34599170207798435,-1.5269921363406906,-1.3422571559748142,True,4,False,4,90.0,False,,depuemi,2163267719346808250,9.0,2154.22998046875,4301.25,17.010000228881836,20435.999755859375,-1833.9999389648438,1.899999976158142,-0.29999999329447746,0.09999999776482582,-0.7999999821186066,255.0,128.0,,-0.009554392827988315,-3.0519592644169307,3.053736481293242e-05,True,33.0,False,4,4,False,,KK1982NRW,6484371586704118751,7.0,853.7899780273438,4959.31005859375,17.010000228881836,170.40000915527344,-42.89999961853027,1.899999976158142,-0.09999999776482582,-0.7999999821186066,-46.10000133514404,240.0,98.0,,-0.009405780847485333,-2.995104096116632,-1.3989418933859906e-05,True,False,False,80.0,False,False,
3,414,8,False,False,0,8924.760351618528,-3776.97998046875,-3306.969970703125,147.3800048828125,-5424.000244140625,3905.5999755859375,1734.7000122070312,-5137.9998779296875,-1142.3999786376953,2393.6000061035156,0.0,0.04089533219418156,0.3696808373783792,-1.05507807262819,2163267719346808250,depuemi,9.0,-3656.830078125,-3291.139892578125,16.989999771118164,-3466.400146484375,1872.2000122070312,4.799999892711639,0.7000000029802322,2.0999999344348907,1415.8000183105469,128.0,216.0,,0.009788565163942128,2.6276321748963536,-4.5515046075813385e-05,True,4,False,4,33.0,False,,6484371586704118751,KK1982NRW,7.0,-1984.3900146484375,-3913.419921875,17.010000228881836,-10065.0,10412.39990234375,2.0000000298023224,3.3000001311302185,-3.1999999284744263,986.6000366210938,255.0,128.0,,0.00957424148256599,2.3886479361505097,-8.461612749032704e-06,True,False,False,False,64.0,False,,enpitsu,76561198039309853,25.0,-4060.1298828125,-3708.4599609375,199.97000122070312,186.00000381469727,-4044.8001098632812,843.6000061035156,1652.5999450683594,549.7999954223633,593.6000061035156,255.0,255.0,False,-0.3762702982103649,-1.5316010240928748,-1.3086129563261526,True,227.0,False,False,False,False,,games5425898691,bf81d8692db,20.0,698.9099731445312,-3701.820068359375,16.989999771118164,-3074.5999145507812,13526.99951171875,2.5999999046325684,-0.19999999552965164,-0.5000000074505806,-2206.4999389648438,255.0,0.0,,0.009544417607196124,1.7344484919312646,1.7226264982233513e-05,True,4,False,48.75343648336267,True,4,
4,425,9,False,False,0,8851.444866830061,-3976.7099609375,-3158.030029296875,168.94000244140625,1294.2999267578125,4023.5000610351562,3272.0001220703125,-4886.600036621094,-2178.300018310547,2021.300048828125,0.0,0.7556985361452471,0.5037625608474434,3.1386046084274963,2163267719346808250,depuemi,9.0,-3761.419921875,-3240.52001953125,17.0,-2479.600067138672,1132.7999877929688,3.1999999284744263,0.5000000074505806,1.7000000178813934,0.5000000074505806,255.0,128.0,,0.00955504765146318,2.7132245719002723,-8.054841501596093e-06,True,4,False,4,33.0,False,,6484371586704118751,KK1982NRW,7.0,-2410.14990234375,-3542.3798828125,17.010000228881836,-10277.80029296875,8583.099975585938,1.899999976158142,-0.29999999329447746,0.19999999552965164,1.8000000715255737,146.0,128.0,,0.009576374176809564,2.4460975916377334,-3.3985878801103754e-05,True,False,False,False,64.0,False,,enpitsu,76561198039309853,25.0,-3986.4599609375,-3938.530029296875,161.44000244140625,3996.4999389648438,-5894.6002197265625,-3361.0000610351562,2440.0999450683594,-550.0,1249.8999786376953,255.0,255.0,True,0.43129383534318666,-0.9616549570563214,-1.1097150619070835,True,227.0,False,False,False,False,,games5425898691,bf81d8692db,20.0,776.1699829101562,-3047.320068359375,16.989999771118164,3900.5999755859375,17144.599609375,2.3000000417232513,0.5999999865889549,2.3000000417232513,777.7999877929688,255.0,251.0,,0.009602808405566468,1.3440502627650452,0.00017360214934777297,True,4,False,14.273995622511833,True,4,
5,456,10,False,False,0,8376.82855126766,-3830.889892578125,-2705.8701171875,115.69999694824219,5340.3997802734375,5400.8001708984375,-1855.5000305175781,-1841.300048828125,-1397.2000122070312,-757.0999908447266,0.0,0.7565681172767766,0.3735118906838687,2.8568588405941786,2163267719346808250,depuemi,9.0,-3975.860107421875,-2738.510009765625,62.349998474121094,3355.4000854492188,7434.2999267578125,-3130.5999755859375,-1351.0000610351562,934.1000366210938,-3003.2998657226562,255.0,0.0,,0.3169885930522608,1.0803456419436877,0.5841353938857187,True,4,False,4,33.0,False,,6484371586704118751,KK1982NRW,7.0,-3003.0400390625,-2201.260009765625,17.010000228881836,692.3999786376953,14050.400390625,2.0999999344348907,0.0,-2.5999999046325684,-1186.8000030517578,255.0,0.0,,0.009551875719231752,1.5201831004380757,-0.0001273002817282955,True,False,False,False,64.0,False,,enpitsu,76561198039309853,25.0,-3412.070068359375,-3224.429931640625,17.030000686645508,-5163.2000732421875,15557.19970703125,0.7999999821186066,0.19999999552965164,-0.7999999821186066,731.9000244140625,255.0,0.0,False,0.016784814291264508,1.9479592513134245,-0.0002841659121648736,True,136.20489449654855,True,False,False,False,,games5425898691,bf81d8692db,20.0,86.2300033569336,-1005.3099975585938,91.05999755859375,-10182.5,20417.5,-154.89999771118164,-5032.300109863281,-2219.1000366210938,-31.30000114440918,255.0,128.0,,-0.15632963850369902,-1.199513390319788,-3.129096137847283,True,6,False,31.0,False,5,
6,463,10,False,False,1,3779.110405944961,3647.739990234375,2549.7099609375,109.4800033569336,1189.800033569336,-23102.80029296875,6452.0001220703125,-3452.9000854492188,-3844.5999145507812,-3048.800048828125,1.0,-0.8985662296778748,0.30799004659400525,2.1814338264621167,76561198039309853,enpitsu,25.0,3564.47998046875,2812.06005859375,17.030000686645508,5005.4998779296875,-17999.100341796875,1.2999999523162842,0.29999999329447746,-1.5999999642372131,-1764.1000366210938,255.0,128.0,False,-0.016781906535363465,-1.800934831440536,-0.0002032120532591183,True,False,False,False,126.0,False,,bf81d8692db,games5425898691,20.0,167.7899932861328,496.2699890136719,86.56999969482422,10158.099975585938,-20343.800048828125,-430.99998474121094,4348.399963378906,1920.2000427246094,-45.70000171661377,255.0,128.0,,1.2808154527366424,-2.154742208302835,-0.16387898276799867,True,6,False,6,31.0,False,,depuemi,2163267719346808250,9.0,3830.97998046875,2586.179931640625,16.559999465942383,-8104.1998291015625,-5814.1998291015625,-420.2000045776367,-163.60000610351562,1103.0000305175781,-310.0,255.0,128.0,,-0.02509491780519873,-0.5652930480059256,0.024227262252063928,True,33.0,False,4,4,False,,KK1982NRW,6484371586704118751,7.0,2918.60009765625,1864.8900146484375,17.010000228881836,-6387.5,-12315.50048828125,2.0999999344348907,-0.19999999552965164,-0.29999999329447746,-2195.0,255.0,0.0,,-0.009547877411119338,-1.0303065729561647,-5.619026034273019e-05,True,False,False,64.0,False,False,
7,632,16,False,False,1,10023.103264221734,1911.280029296875,-4831.5498046875,195.49000549316406,25250.70068359375,-10030.800170898438,1573.2000732421875,-112.89999961853027,-63.499999046325684,2036.9999694824219,1.0,-0.22915354365152169,-2.9341337899877704,-0.3749676947429517,76561198039309853,enpitsu,25.0,1694.27001953125,-4740.5400390625,175.22999572753906,20911.59912109375,-3667.6998901367188,2682.9998779296875,-13.200000524520874,2.199999988079071,-817.3999786376953,128.0,128.0,False,-0.016780866360872747,-2.93775077688745,-0.0006696448013585241,True,2,False,False,129.0,False,,bf81d8692db,games5425898691,20.0,3935.719970703125,-3150.93994140625,39.400001525878906,-4184.2999267578125,13292.7001953125,-1940.2000427246094,-749.0000152587891,1602.4000549316406,1859.9000549316406,255.0,255.0,,-0.1471677734417274,1.205096000590255,-0.4181316344991867,True,6,False,6,255.0,False,,depuemi,2163267719346808250,8.0,1175.4300537109375,-4142.9599609375,16.989999771118164,-12433.399658203125,737.2000122070312,4.699999988079071,0.19999999552965164,-0.0,-2354.2999267578125,255.0,0.0,,-0.009529888040254153,0.12330249010079543,1.1689655568334709e-05,True,6.0,False,4,4,False,,KK1982NRW,6484371586704118751,7.0,2574.760009765625,-2855.0400390625,17.010000228881836,-11252.099609375,6710.10009765625,2.3000000417232513,-0.19999999552965164,0.09999999776482582,-3001.7001342773438,255.0,0.0,False,-0.009543376017222993,0.7425599394643895,-9.72867361703827e-05,True,False,False,35.0,False,False,
8,683,18,False,False,0,3582.5117818874664,-3939.18994140625,3249.659912109375,239.7899932861328,-319.7999954223633,25099.19921875,11944.49951171875,5646.099853515625,1237.300033569336,-1609.4000244140625,0.0,0.07107372196736256,-0.5682079521238457,-0.15677746624563546,6484371586704118751,KK1982NRW,7.0,-3889.60009765625,2985.2099609375,132.02000427246094,-7892.5,21363.60107421875,3209.5001220703125,-1931.4999389648438,597.2999954223633,-92.60000228881836,255.0,45.0,False,-0.1351975956824528,2.1223702941699756,0.015961735304791388,True,4,False,3,0.0,False,,2163267719346808250,depuemi,8.0,-40.470001220703125,2097.75,16.989999771118164,10347.39990234375,-9188.499755859375,4.699999988079071,0.0,0.09999999776482582,2208.800048828125,255.0,255.0,,0.009537032556182726,-0.6627099629265484,1.0763593780511065e-05,True,4,False,4,6.0,False,,enpitsu,76561198039309853,25.0,-3157.139892578125,4798.58984375,104.54000091552734,6302.0001220703125,2424.499969482422,-3169.5999145507812,-2435.0999450683594,-111.99999809265137,-1576.1000061035156,255.0,128.0,False,0.4396218542148891,0.3763602191837795,0.7932981367629076,True,129.0,False,False,2,False,,games5425898691,bf81d8692db,20.0,-3195.030029296875,3806.8701171875,17.020000457763672,-12210.0,3079.8001098632812,1.2999999523162842,0.0,0.0,2327.2000122070312,255.0,255.0,,0.009559438490616598,2.9613052274868092,-1.3625838955729453e-05,True,6,False,255.0,False,6,
9,741,20,False,False,1,10169.949237691633,1546.719970703125,-5009.10986328125,714.0,11715.799560546875,5343.900146484375,-2648.3999633789062,-297.39999771118164,4825.7000732421875,2771.099853515625,1.0,-1.0445411667337328,1.715969006895026,1.0536349789936539,76561198039309853,enpitsu,25.0,1374.780029296875,-5050.22998046875,731.3300170898438,4162.099914550781,3307.2000122070312,300.49999237060547,-3113.800048828125,50.10000228881836,-3502.9000854492188,0.0,128.0,False,0.7238559042483405,0.1265343429110885,1.6547131608291221,True,4,False,1,90.0,False,,bf81d8692db,games5425898691,20.0,2652.1298828125,-3347.239990234375,17.020000457763672,-7908.800048828125,-15348.699951171875,-2.0999999344348907,-0.19999999552965164,-0.5999999865889549,36.40000104904175,255.0,128.0,,-0.00958948487465534,-1.0999074957016957,-2.514981097829659e-05,True,6,False,6,201.65983639737607,True,,depuemi,2163267719346808250,8.0,-670.2899780273438,-3849.43994140625,16.989999771118164,8499.89990234375,-8950.900268554688,4.4999998807907104,-2.3000000417232513,2.3999999463558197,1349.4999694824219,255.0,155.0,,-0.009536612752500773,-2.35475939382308,0.00013636021359514486,True,37.0,False,4,4,False,,KK1982NRW,6484371586704118751,7.0,3657.6201171875,-3924.7900390625,15.9399995803833,-7279.4000244140625,6069.4000244140625,154.89999771118164,-50.59999942779541,-211.90000534057617,2442.5999450683594,255.0,255.0,False,0.005475427511993202,0.6506531174476705,0.008832813900261164,True,4,False,0.0,False,4,
