,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,165,0.0,False,False,1,5206.462387659109,-12.699999809265137,13.449999809265137,97.7699966430664,-19378.699951171875,21037.39990234375,7116.500244140625,-285.3000068664551,-307.99999237060547,103.29999923706055,1.0,-0.002572283189611686,-0.000871624901049575,0.002380228888438387,2535414359215580,Chuilzevale,10.0,163.4499969482422,-181.36000061035156,20.709999084472656,-13877.099609375,15994.69970703125,3032.0001220703125,-87.89999961853027,-47.89999961853027,986.6999816894531,128.0,240.0,,-0.014286752384907156,0.8658929198786038,-0.00014296695166666817,True,0.0,False,4,False,5,,2535405930685548,Chuipoudic,6.0,17.40999984741211,-2394.919921875,17.010000228881836,-1477.5999450683594,13990.10009765625,2.0000000298023224,-0.0,-0.7000000029802322,-2.199999988079071,254.0,128.0,,-0.009568921609155822,1.4659281259566286,7.436293145343788e-05,True,93.0,False,False,False,False,,enpitsu,76561198039309853,27.0,-191.66000366210938,324.07000732421875,75.83000183105469,8672.000122070312,-21148.1005859375,2543.300018310547,4944.100036621094,34.90000009536743,-871.9000244140625,255.0,0.0,,-0.1637615936584816,-2.2051476332455446,0.03603958876230101,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,24.0,-2534.340087890625,3995.929931640625,17.010000228881836,-16831.700439453125,7287.7001953125,2.199999988079071,-0.09999999776482582,0.29999999329447746,1487.5999450683594,255.0,255.0,,-0.009610165038481097,0.3860486412792199,0.00020494532984825507,True,0.0,False,False,False,False,
1,166,0.0,False,False,0,5308.378588290275,96.08000183105469,-74.8499984741211,157.47000122070312,507.20001220703125,18668.199462890625,17662.39990234375,5060.10009765625,3007.0001220703125,-1163.0000305175781,0.0,0.16422104419951875,-0.02925600348979092,0.2576098923583905,76561198039309853,enpitsu,27.0,169.97000122070312,-271.17999267578125,81.91000366210938,-8681.500244140625,21161.10107421875,2377.2000122070312,-5389.1998291015625,657.9000091552734,-879.4999694824219,255.0,0.0,,0.29657121708278306,2.203744596638165,0.1562898676669576,True,0.0,False,1,False,2,,bf81d8692db,games5425898691,24.0,2691.080078125,-4052.14990234375,17.010000228881836,17207.60009765625,-4996.499938964844,2.3000000417232513,-1.0000000149011612,0.7000000029802322,1820.5999755859375,128.0,255.0,,0.009608893547996884,-0.2288366576812067,0.00011756735574240395,True,0.0,False,False,False,False,,Chuilzevale,2535414359215580,10.0,-45.470001220703125,48.7599983215332,46.33000183105469,12081.8994140625,-13523.199462890625,2470.5999755859375,-3035.7000732421875,-1234.000015258789,865.8000183105469,128.0,255.0,,-0.14407850098608013,-0.7606758876675636,-0.025409080325791446,True,0.0,False,6,False,4,,Chuipoudic,2535405930685548,6.0,-17.40999984741211,2394.919921875,17.010000228881836,1477.5999450683594,-13990.10009765625,2.0000000298023224,0.0,0.7000000029802322,-2.199999988079071,254.0,128.0,,0.009568921609155822,-1.4659281259566286,7.436293145343788e-05,True,93.0,False,False,False,False,
2,167,0.0,False,False,1,5217.395718847938,-111.68000030517578,20.84000015258789,221.25999450683594,-14905.30029296875,-11378.00048828125,23908.798828125,925.5999755859375,2416.199951171875,114.70000267028809,1.0,-0.17619874974964,0.03357452618071322,0.327511804812766,2535414359215580,Chuilzevale,10.0,-28.600000381469727,2.299999952316284,57.75,-17424.3994140625,6766.5997314453125,2169.2999267578125,5299.2999267578125,-1444.1000366210938,-284.6999931335449,128.0,255.0,,0.3053409163203551,0.6904686216678255,-0.23195879566086575,True,0.0,False,5,False,6,,2535405930685548,Chuipoudic,6.0,3.880000114440918,-2266.510009765625,17.010000228881836,-1474.9000549316406,14016.099853515625,2.0000000298023224,-0.0,-0.7000000029802322,-0.29999999329447746,254.0,128.0,,-0.009576942923323093,1.4660152912681474,6.672625636209285e-05,True,93.0,False,False,False,False,,enpitsu,76561198039309853,27.0,-169.97000122070312,271.17999267578125,81.91000366210938,8681.500244140625,-21161.10107421875,2377.2000122070312,5389.1998291015625,-657.9000091552734,-879.4999694824219,255.0,0.0,,-0.29657121708278306,-2.203744596638165,0.1562898676669576,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,24.0,-2691.080078125,4052.14990234375,17.010000228881836,-17207.60009765625,4996.499938964844,2.3000000417232513,1.0000000149011612,-0.7000000029802322,1820.5999755859375,128.0,255.0,,-0.009608893547996884,0.2288366576812067,0.00011756735574240395,True,0.0,False,False,False,False,
3,277,4.0,False,False,0,5320.186423421331,3831.449951171875,2699.590087890625,1001.27001953125,-13541.600341796875,20763.60107421875,4522.9998779296875,1792.7000427246094,4923.999938964844,2922.2000122070312,0.0,0.7343813213027665,2.872483137153857,1.5727040410927957,bf81d8692db,games5425898691,24.0,3966.0,2516.419921875,932.4500122070312,-10431.199951171875,20475.30029296875,-974.4999694824219,-1549.4000244140625,-3992.5,-1663.0000305175781,255.0,240.0,,0.14754064201124503,1.4960919538895634,-1.626902968858718,True,165.0,False,3,False,4,,76561198039309853,enpitsu,27.0,3439.780029296875,1002.8900146484375,17.059999465942383,-5383.599853515625,11421.500244140625,1.899999976158142,0.0,0.0,2342.4000549316406,255.0,,,0.01671907562082887,2.0746129581619326,-6.315400260270989e-06,True,31.0,False,False,2,2,,Chuilzevale,2535414359215580,10.0,3319.830078125,2052.610107421875,17.010000228881836,-4148.599853515625,13375.400390625,2.3000000417232513,-0.09999999776482582,1.0999999940395355,-2042.2999572753906,254.0,0.0,,0.009592192559812283,1.8245463611721733,-0.00013007807637716858,True,255.0,False,8,False,6,,Chuipoudic,2535405930685548,7.0,3912.820068359375,4112.2998046875,663.0499877929688,-4002.7999877929688,5645.3997802734375,8199.000244140625,-2147.7000427246094,-1201.500015258789,1298.6000061035156,255.0,255.0,,-0.8042881510658869,2.196950951538962,-1.570057910721013,True,251.85931173704003,True,False,False,False,
4,345,6.0,False,False,1,9006.52189939697,-1158.469970703125,-3629.070068359375,318.1199951171875,8494.099731445312,-9599.600219726562,2597.60009765625,1295.8999633789062,-3369.2999267578125,-4416.9000244140625,1.0,0.09363485479539273,-1.5799902220979076,1.9993766145692893,2535414359215580,Chuilzevale,10.0,-1157.43994140625,-3545.489990234375,260.75,16513.699951171875,-1426.1000061035156,1419.9000549316406,-4022.9998779296875,2992.5,2260.399932861328,128.0,234.0,,0.2692834095393783,2.9587140827013534,-2.4852973447695654,True,186.0,False,7,False,10,,2535405930685548,Chuipoudic,7.0,244.11000061035156,-4761.43994140625,158.9199981689453,20371.8994140625,3054.1000366210938,-10230.0,2696.7999267578125,3424.5001220703125,3353.9999389648438,71.0,255.0,False,-0.6271471571517884,1.2586765339422747,-0.002882904695438277,True,138.0,False,False,False,6,,enpitsu,76561198039309853,27.0,-1216.7099609375,-3534.659912109375,168.55999755859375,9018.599853515625,-10642.39990234375,-1810.8000183105469,-3645.7000732421875,3369.89990234375,2366.9000244140625,255.0,128.0,,-0.5435507225995726,-2.239410600446683,0.4522002830517845,True,3.0,False,4,False,3,,games5425898691,bf81d8692db,24.0,-2571.429931640625,-5066.509765625,69.83000183105469,-266.00000381469727,6246.300048828125,-8113.0999755859375,5495.0,-86.89999580383301,-215.6999969482422,255.0,128.0,,-0.8847169168733348,1.5445828524730665,0.03969577271804529,True,165.0,False,4,False,4,
5,381,7.0,False,True,0,1019.005051546168,87.75,4874.27978515625,141.47000122070312,-2887.5,8838.300170898438,2343.8999938964844,-3410.0,-428.3000183105469,-4673.699951171875,0.0,0.2222881223469276,0.5455240994743561,2.2124664460555805,76561198039309853,enpitsu,27.0,33.970001220703125,4854.97998046875,15.869999885559082,-4997.60009765625,2740.1998901367188,107.5,-875.5999755859375,392.00000762939453,961.2999725341797,0.0,128.0,,0.009211944242959133,2.834222528822422,0.0056535919100925295,True,3.0,False,4,False,4,,bf81d8692db,games5425898691,24.0,1662.8699951171875,3611.64990234375,17.0,-19255.899658203125,-4852.699890136719,1.0999999940395355,-0.3999999910593033,-0.29999999329447746,-1953.0999755859375,255.0,0.0,,0.009575019369086743,-2.962345533507257,-4.41128802996988e-05,True,77.44356125913636,True,False,4,4,,Chuilzevale,2535414359215580,11.0,-1054.5799560546875,3599.080078125,26.959999084472656,-16129.69970703125,2105.2000427246094,-1455.0,-5411.5997314453125,-857.6000213623047,477.99999237060547,255.0,255.0,,-0.014654640140454306,2.6605656537937663,-0.500375092094656,True,186.0,False,10,False,8,,Chuipoudic,2535405930685548,7.0,-255.1999969482422,4921.1298828125,46.13999938964844,11294.69970703125,6956.5997314453125,3457.5,-244.40000534057617,333.69998931884766,-840.1999664306641,254.0,36.0,False,0.018121459119284443,0.5686396906645543,-0.0017917615197869917,True,59.70480855049625,True,7,False,False,
6,385,8.0,False,False,1,10167.025623890639,-117.44000244140625,-4976.39013671875,194.05999755859375,-16157.099609375,-890.8999633789062,7499.5001220703125,2395.0999450683594,4619.200134277344,-2987.60009765625,1.0,0.008985308266279716,0.23944870750294683,1.7409778415215111,2535405930685548,Chuipoudic,7.0,102.95999908447266,-5003.8701171875,85.31999969482422,-17875.400390625,-6616.7999267578125,2974.1000366210938,433.8999938964844,-5253.2000732421875,-1569.9000549316406,255.0,62.0,False,-0.2331530701177632,-0.4150344276962551,0.02853296036051039,True,46.98637425514959,True,3,False,8,,2535414359215580,Chuilzevale,11.0,1315.800048828125,-3685.139892578125,19.899999618530273,14430.50048828125,-6106.9000244140625,-33.80000114440918,19.800000190734863,-355.40000915527344,-102.29999542236328,254.0,97.0,,-0.015469044579189031,-2.7656809100683937,0.14283185111433552,True,186.0,False,False,8,10,,enpitsu,76561198039309853,27.0,-3.569999933242798,-4868.77978515625,16.809999465942383,2483.6000061035156,-954.1000366210938,59.60000038146973,-55.19999980926514,76.10000133514404,302.90000915527344,128.0,128.0,,-0.013684010952148945,-2.8797014285138856,0.00470041039058788,True,3.0,False,4,False,4,,games5425898691,bf81d8692db,24.0,-1359.8599853515625,-3583.159912109375,17.0,20778.89892578125,-901.9000244140625,1.0999999940395355,0.09999999776482582,0.09999999776482582,-1997.2999572753906,255.0,0.0,,-0.009591266619336593,-3.023478505646135,-2.126363016735784e-05,True,64.7251269637897,True,4,False,4,
7,493,11.0,False,False,1,9607.416160756444,-3563.840087890625,-3369.5400390625,93.12999725341797,-818.7999725341797,5686.7999267578125,0.0,-5763.699951171875,-828.8999938964844,1446.3999938964844,1.0,0.9063923392337371,2.8075512832085114,-2.0765525624167633,2535414359215580,Chuilzevale,10.0,-3408.409912109375,-3540.889892578125,19.469999313354492,-16651.800537109375,14265.6005859375,2960.4000854492188,-0.5999999865889549,-0.29999999329447746,-1528.0999755859375,128.0,5.0,,-0.009620004808088218,0.737318354566256,-0.00026372907687547683,True,133.0,False,10,False,13,,2535405930685548,Chuipoudic,7.0,301.0,-4394.9599609375,17.010000228881836,-6712.7001953125,9655.700073242188,2.3999999463558197,-1.7000000178813934,2.5,1801.0000610351562,254.0,255.0,False,-0.009561194363591161,0.9229732045750157,4.720109250711571e-05,True,44.0,False,False,4,8,,enpitsu,76561198039309853,27.0,3151.530029296875,-4055.60009765625,17.049999237060547,10671.99951171875,9648.900146484375,-0.5999999865889549,-0.5000000074505806,-0.19999999552965164,2166.999969482422,255.0,128.0,,-0.01677516806337148,2.346237953660784,3.060532145998184e-05,True,229.95096761693236,True,4,False,4,,games5425898691,bf81d8692db,24.0,171.30999755859375,-4858.5,17.010000228881836,-3520.8999633789062,15048.499755859375,2.3000000417232513,-0.29999999329447746,-3.1999999284744263,1249.8999786376953,255.0,163.0,,-0.009522507169482258,1.2994514875345582,7.559867490424685e-05,True,0.0,False,4,False,4,
8,572,14.0,True,True,1,5033.4978313069605,-2515.25,1438.719970703125,179.44000244140625,17427.900390625,23058.5009765625,2545.0999450683594,-3412.5,-400.09998321533203,2179.9000549316406,1.0,-0.582963741448725,-1.0965843118066143,-1.7659821446430939,2535414359215580,Chuilzevale,10.0,-2692.719970703125,1254.3499755859375,142.74000549316406,14675.10009765625,17544.300537109375,2415.5999755859375,-1304.7999572753906,1270.5000305175781,1605.8000183105469,255.0,81.0,,0.03940729216252676,1.9209971354676085,0.00026932512739429547,True,191.79987966629767,True,11,False,16,,2535405930685548,Chuipoudic,7.0,-2094.52001953125,-1296.3800048828125,17.0,-105.69999694824219,14047.5,3.4999999403953552,0.09999999776482582,-3.400000035762787,-1380.2999877929688,255.0,0.0,,-0.009590080826061765,1.5724516994263948,-0.00013000971816494146,True,136.0,False,False,4,8,,enpitsu,76561198039309853,28.0,3180.800048828125,1971.530029296875,17.049999237060547,-6696.500244140625,22003.5009765625,-2.199999988079071,-0.09999999776482582,0.7000000029802322,0.9000000357627869,255.0,128.0,,-0.01679039941512288,1.2752345285142497,-3.823894682109677e-05,True,165.0,False,4,False,4,,games5425898691,bf81d8692db,24.0,-983.719970703125,1018.530029296875,16.65999984741211,28.599998950958252,22999.7998046875,66.30000114440918,22.5,-6.1000001430511475,-1364.2999267578125,255.0,46.0,,-0.01089865274352563,1.5975651227998497,0.00021273684356614252,True,0.0,True,8,False,8,
9,875,16.0,False,False,1,5181.905079169919,11.850000381469727,34.08000183105469,94.25,10545.6005859375,25693.60107421875,1609.9000549316406,-174.40000534057617,46.79999828338623,-360.9000015258789,1.0,0.0007626736461299632,0.006016328068693808,0.0029208936772974125,2535414359215580,Chuilzevale,10.0,-69.51000213623047,-122.44999694824219,67.58999633789062,9251.599731445312,18601.99951171875,3088.599853515625,2975.0,3079.1000366210938,-3452.2000122070312,128.0,0.0,,0.006745228214175412,1.9009239953551704,0.20121868150184796,True,3.0,False,5,False,6,,2535405930685548,Chuipoudic,7.0,-0.0,-1942.0,17.010000228881836,-0.0,14100.0,2.0999999344348907,-0.5999999865889549,-0.0,0.0,254.0,,False,-0.009544408615608195,1.570804062458835,-3.701008606201032e-08,True,84.0,False,False,4,4,,enpitsu,76561198039309853,27.0,32.59000015258789,618.3200073242188,99.66999816894531,3224.5001220703125,-22629.19921875,2434.2999267578125,3998.3999633789062,3611.300048828125,1104.800033569336,255.0,255.0,,-0.4983029869017837,-1.4803223961321177,-0.3344663657831336,True,31.0,False,2,False,1,,games5425898691,bf81d8692db,24.0,-2410.35009765625,3869.199951171875,17.010000228881836,-17953.599853515625,9851.199951171875,2.0000000298023224,-2.3000000417232513,0.5000000074505806,490.99998474121094,128.0,218.0,,-0.00959814871126253,0.5025998576072139,9.241745897733917e-05,True,0.0,False,False,False,False,
