,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_jump_active,opp_2_boost_collect
0,172,0.0,False,False,0,5106.389559243119,-25.8799991607666,108.29000091552734,113.58000183105469,-24771.99951171875,9755.900268554688,-7.400000095367432,103.29999923706055,387.59998321533203,-5986.500244140625,0.0,0.12901392297853165,-0.04839279140051467,-0.21554300972672089,3226530983475684152,kolala14710,18.0,15.84000015258789,-46.599998474121094,102.7300033569336,2182.899932861328,8951.199951171875,3712.6998901367188,2718.0999755859375,-2101.6000366210938,1599.6000671386719,255.0,175.0,,-0.3578602937126678,1.5658414683470046,-0.10267127906499511,True,3,False,4,0.0,False,,beb2912b13b,TTv-skaace,12.0,19.34000015258789,-1724.3399658203125,17.049999237060547,-614.5999908447266,13982.80029296875,2.5999999046325684,-0.19999999552965164,-0.19999999552965164,0.0,255.0,128.0,,0.01671993368639661,1.6147437023971003,1.6358276595664024e-05,True,False,False,False,116.0,False,,enpitsu,76561198039309853,27,-54.86000061035156,3302.949951171875,17.049999237060547,1903.2000732421875,-11001.300048828125,2.5999999046325684,0.29999999329447746,-0.5999999865889549,0.3999999910593033,255.0,0.0,,0.01669032130554013,-1.3994005770790452,-5.173623670179545e-05,True,False,116.0,False,False,False,,games5425898691,bf81d8692db,16.0,99.41000366210938,154.94000244140625,98.4800033569336,574.0000152587891,-7881.300048828125,333.1999969482422,2533.699951171875,-3529.1000366210938,-3372.6998901367188,128.0,128.0,,1.394231705299451,-0.6608112336056696,1.825037273189,True,False,0.0,False,3,4,
1,273,3.0,False,False,1,8222.521049493807,3979.25,-2482.56005859375,1117.260009765625,-11744.69970703125,6277.80029296875,19058.699951171875,5533.699951171875,715.2999877929688,2205.7000732421875,1.0,-0.2882513470609525,-2.9838470763498637,1.5590725009162054,76561198039309853,enpitsu,27.0,4046.199951171875,-2607.10009765625,898.8800048828125,-3767.9000854492188,20213.499755859375,10305.999755859375,1828.2000732421875,265.10000228881836,-446.50001525878906,255.0,128.0,,0.6202667949279792,1.607313349439328,-1.5514404569497882,True,1,False,2,184.0,False,,bf81d8692db,games5425898691,17.0,-3577.409912109375,-10.979999542236328,17.010000228881836,-12240.2001953125,-9787.899780273438,0.7000000029802322,0.5000000074505806,0.29999999329447746,2008.9999389648438,255.0,255.0,,-0.009581582328770887,-0.7369124814875644,6.186559620292577e-05,True,6,6,False,248.77326459013008,True,,TTv-skaace,beb2912b13b,12,3472.780029296875,1742.7099609375,17.059999465942383,-7919.4000244140625,990.1000213623047,1.1999999731779099,12.599999904632568,-8.299999833106995,1155.8999633789062,128.0,130.0,False,-0.016955020079101917,0.07107027602384018,0.0002771717660182428,True,False,255.0,False,False,False,,kolala14710,3226530983475684152,18.0,-1962.489990234375,871.6900024414062,111.05000305175781,-7185.5999755859375,17177.60009765625,-139.79999542236328,-5093.599853515625,-2074.4000244140625,44.000000953674316,255.0,128.0,,1.413568402245202,-2.2291873556127197,2.871138673448965,True,False,0.0,False,5,6,
2,382,7.0,False,False,0,4320.308618565492,-1329.3499755859375,841.47998046875,904.719970703125,9385.700073242188,19858.800048828125,7576.300048828125,3932.2000122070312,4476.499938964844,-705.2999877929688,0.0,0.29798436494529035,-2.8225595891094692,-0.22220067022362155,beb2912b13b,TTv-skaace,13.0,-1391.6800537109375,657.3499755859375,743.0999755859375,3878.9999389648438,15870.50048828125,6687.5,-2064.499969482422,683.7000274658203,473.49998474121094,255.0,128.0,,-1.1117135546553656,0.7946575281025517,0.6431519732972056,True,False,4,4,151.72631377814923,True,,3226530983475684152,kolala14710,17.0,589.3300170898438,-2524.64990234375,17.049999237060547,-7338.699951171875,17948.1005859375,2.5999999046325684,0.09999999776482582,-0.19999999552965164,-48.69999885559082,128.0,128.0,False,0.016864984684070078,1.9537086905552727,3.594834379739213e-05,True,6,6,False,233.0,False,,enpitsu,76561198039309853,27,-2015.989990234375,-1315.8900146484375,17.030000686645508,7675.999755859375,20197.099609375,5.199999809265137,-2.3000000417232513,-6.499999761581421,1056.2000274658203,255.0,128.0,False,0.01676962216448522,1.25375356763029,6.97478186864892e-05,True,2,101.0,False,2,False,,games5425898691,bf81d8692db,17.0,1538.5,4750.97021484375,17.020000457763672,-3646.199951171875,910.4000091552734,0.7999999821186066,1.0999999940395355,0.0,-741.8000030517578,255.0,57.0,,0.009514010036691535,2.946294926765311,-0.00010263930637849997,True,False,255.0,False,6,6,
3,469,10.0,False,False,1,9335.835169963266,-1323.77001953125,-3928.10009765625,185.82000732421875,-22830.2001953125,14272.2998046875,4343.800048828125,-4469.200134277344,3911.400146484375,852.0999908447266,1.0,-0.43092509213580493,-2.9242334442564073,-0.6083037455204141,76561198039309853,enpitsu,27.0,-1161.75,-4025.949951171875,57.470001220703125,-21981.298828125,6630.999755859375,1358.9999389648438,-4090.7000732421875,-2854.4000244140625,-2316.7999267578125,255.0,128.0,False,-0.15332330993302457,0.28230318196751425,0.07989751029422183,True,3,False,4,92.0,False,,bf81d8692db,games5425898691,17.0,-134.8000030517578,-4913.1201171875,717.0,4783.399963378906,-1183.3000183105469,-1468.3999633789062,739.3000030517578,188.89999389648438,-2173.000030517578,255.0,128.0,,-0.30805905658905897,-0.6884247583101941,1.10476667307616,True,8,6,False,179.0,False,,TTv-skaace,beb2912b13b,13,328.3399963378906,-4940.64013671875,16.989999771118164,1.5000000596046448,-538.6999893188477,17.699999809265137,-10.90000033378601,0.3999999910593033,41.70000076293945,255.0,128.0,,-0.015696303798064894,1.5107591704871601,-0.00010114718387747553,True,False,148.0,False,4,4,,kolala14710,3226530983475684152,16.0,-1493.989990234375,-2669.8701171875,120.94000244140625,1805.8000183105469,-22627.900390625,3703.2000732421875,-2493.5000610351562,-158.59999656677246,-1366.4999389648438,128.0,3.0,False,0.29792342880787925,-1.4680907910650685,0.020177417314771198,True,False,192.2665289268699,True,6,8,
4,557,14.0,False,True,1,6132.276535254685,-1690.3299560546875,-420.19000244140625,113.12999725341797,8902.999877929688,21783.89892578125,4543.999938964844,3732.7999877929688,1267.699966430664,4523.0999755859375,1.0,-0.624730023299069,-1.53113433625511,-1.712243306726582,76561198039309853,enpitsu,27.0,-1739.719970703125,-645.719970703125,17.040000915527344,12222.80029296875,19483.299560546875,-0.09999999776482582,-1.899999976158142,-3.3000001311302185,-888.0000305175781,255.0,128.0,,-0.016775357730453796,2.1266896129409756,-0.0002958652952363213,True,4,False,4,5.988584877342307,True,,bf81d8692db,games5425898691,17.0,889.4500122070312,-2057.14990234375,91.55000305175781,132.70000457763672,22612.19970703125,-139.49999809265137,-5495.8001708984375,-212.80000686645508,11.799999475479126,255.0,,,1.472221282037262,-1.6316669966638189,3.1193281166052302,True,10,7,False,100.0,False,,TTv-skaace,beb2912b13b,13,-11.0,315.5199890136719,17.049999237060547,-3931.9000244140625,21108.20068359375,2.7000001072883606,0.5999999865889549,-0.0,-0.5000000074505806,255.0,,,-0.016824377908423324,1.3866849667665677,1.3122224637317346e-05,True,4,143.0,False,6,4,,kolala14710,3226530983475684152,17.0,-1869.1199951171875,-2166.0400390625,108.41000366210938,-1064.8999786376953,22883.701171875,1840.0999450683594,-5499.89990234375,-28.599998950958252,-1.4000000059604645,255.0,128.0,,-1.033287708886185,1.5659841154480396,-0.00016182337847536816,True,False,95.0,False,7,10,
5,594,15.0,False,False,0,7635.2743084724425,542.510009765625,-2358.5400390625,147.7100067138672,-3513.2998657226562,1548.2000732421875,-5.699999928474426,413.1999969482422,-2264.600067138672,5540.8001708984375,0.0,1.406232130602063,-1.3483367118918763,0.3019249902594428,beb2912b13b,TTv-skaace,13.0,565.7899780273438,-2507.919921875,96.12000274658203,10765.10009765625,-7512.9998779296875,2156.9000244140625,-3053.800048828125,4522.900085449219,683.0999755859375,128.0,255.0,,0.17579986453866076,-0.798761640298253,-0.6302065640836098,True,5,4,8,174.0,False,,3226530983475684152,kolala14710,17.0,1952.7099609375,-929.2000122070312,17.049999237060547,-1911.1000061035156,-22663.798828125,3.100000023841858,-0.29999999329447746,0.5000000074505806,-56.19999885559082,255.0,128.0,,0.016811988471983907,-1.660542521811954,5.4628734390273806e-05,True,10,8,False,125.0,False,,enpitsu,76561198039309853,27,558.0999755859375,-2112.340087890625,103.75,-4140.299987792969,-22551.201171875,161.8000030517578,5434.000244140625,-849.3000030517578,6.9999998807907104,255.0,128.0,,1.3512362816142967,-1.7200352351607844,0.00590582454290318,True,5,0.0,False,6,False,,games5425898691,bf81d8692db,17.0,-1637.25,-574.3499755859375,17.010000228881836,-19261.600341796875,-7166.9000244140625,2.3000000417232513,-0.19999999552965164,0.0,-2005.5999755859375,255.0,0.0,,0.009587079456633726,-2.8628604716156545,-3.342025689221222e-05,True,False,99.0,False,8,10,
6,595,15.0,True,True,1,3046.219634457199,-523.27001953125,2444.610107421875,142.2100067138672,3972.39990234375,29441.79931640625,-1566.6000366210938,1035.1000213623047,1648.0000305175781,-949.1000366210938,1.0,-1.3393422073895367,0.9354066672176342,0.659935166143099,76561198039309853,enpitsu,27.0,-523.8599853515625,2290.030029296875,103.4800033569336,4070.0,19542.39990234375,-61.79999828338623,-2996.099853515625,1254.3000030517578,4311.199951171875,255.0,128.0,,-1.4197650372174067,-1.2717937392606997,2.832118830216885,True,5,False,6,0.0,False,,bf81d8692db,games5425898691,17.0,1800.8800048828125,618.6799926757812,17.010000228881836,19854.300537109375,3797.39990234375,2.3000000417232513,-0.0,-0.0,-2011.0000610351562,255.0,0.0,,-0.009591283388142113,3.0302874677275202,-1.1389971031379374e-05,True,10,8,False,99.0,False,,TTv-skaace,beb2912b13b,13,-651.25,2584.419921875,104.54000091552734,-10248.1005859375,9120.900268554688,109.70000267028809,3421.6000366210938,-4274.89990234375,516.5999984741211,128.0,255.0,,-0.22817665559296188,0.8052343900890899,-1.2664288447190037,True,5,174.0,False,8,4,,kolala14710,3226530983475684152,17.0,-1939.3299560546875,1080.219970703125,17.049999237060547,2092.7000427246094,22646.201171875,2.7000001072883606,0.19999999552965164,-1.1999999731779099,-144.79999542236328,255.0,111.0,,-0.016812070856932464,1.6653761113129704,1.3995997548343898e-05,True,False,125.0,False,8,10,
7,876,16.0,False,False,0,5233.671574716289,51.77000045776367,-7.139999866485596,93.19999694824219,14777.5,523.6000061035156,534.0000152587891,-4689.2999267578125,3163.900146484375,1999.7999572753906,0.0,0.32639762177982207,0.019970845702913263,-0.40532486661425454,beb2912b13b,TTv-skaace,13.0,-91.98999786376953,-104.87999725341797,149.5500030517578,5767.1002197265625,3972.6998901367188,6692.5,-1540.7000732421875,377.79998779296875,-5266.199951171875,255.0,55.0,,0.30901979239095395,0.7111577486180214,0.05418222144301473,True,3,False,4,0.0,False,,3226530983475684152,kolala14710,16.0,0.0,-2383.5400390625,60.56999969482422,0.0,15249.300537109375,-2150.2000427246094,-2083.000030517578,-9.200000166893005,12.999999523162842,255.0,128.0,,-0.32307396663179094,1.5730980313870282,-0.0010785195078690628,True,4,4,False,146.0,False,,enpitsu,76561198039309853,27,48.459999084472656,143.2100067138672,95.75,-1796.7999267578125,-5478.800048828125,526.8000030517578,5338.800048828125,-476.5999984741211,1232.7999877929688,255.0,255.0,,0.8974355234760996,-2.3342191252543927,-0.7845554469483744,True,1,2.0,False,2,False,,games5425898691,bf81d8692db,17.0,-2121.110107421875,3706.820068359375,17.010000228881836,-18212.7001953125,9643.499755859375,1.899999976158142,0.5000000074505806,-0.29999999329447746,-3.700000047683716,255.0,128.0,,0.009592079460048733,2.6540946698913936,5.497377587385162e-05,True,False,0.0,False,False,False,
8,962,19.0,False,False,0,6507.055889338849,3417.25,267.8699951171875,103.20999908447266,-4621.499938964844,12394.69970703125,5451.099853515625,1570.0,5703.0999755859375,-1004.3000030517578,0.0,0.06058863918950696,-0.9862616603117761,-0.8496913960717464,3226530983475684152,kolala14710,16.0,3516.760009765625,164.38999938964844,15.859999656677246,-3522.3001098632812,8934.500122070312,16.59999966621399,-86.00000381469727,312.39999771118164,1451.300048828125,255.0,128.0,,0.017709547081930052,2.041504618391125,-0.018915076812002773,True,4,False,4,239.33837422760584,True,,beb2912b13b,TTv-skaace,13.0,2147.72998046875,-187.64999389648438,17.049999237060547,13064.200439453125,-1194.800033569336,2.5999999046325684,-0.7000000029802322,0.3999999910593033,-133.69999885559082,255.0,108.0,,0.016699829452658497,-0.08738958137364544,-5.5160001399690565e-05,True,4,4,False,31.0,False,,enpitsu,76561198039309853,27,1535.56005859375,800.1599731445312,94.02999877929688,7820.999755859375,14322.5,-160.9000015258789,-4893.999938964844,2509.600067138672,7.5,255.0,128.0,,0.2359783760415586,-2.044957440138708,3.140157624564872,True,3,2.0,False,4,False,,games5425898691,bf81d8692db,17.0,-2050.6201171875,3396.22998046875,17.030000686645508,6010.0,14414.100341796875,-0.3999999910593033,-0.7000000029802322,-2.0000000298023224,267.60000228881836,255.0,128.0,,0.009590315172556185,1.1937029449743504,-5.129931549619065e-05,True,False,254.0,False,False,False,
9,1008,21.0,False,False,0,4546.902232902982,2654.4599609375,2299.47998046875,101.52999877929688,-11173.00048828125,17676.600341796875,393.69998931884766,-884.7000122070312,4076.099853515625,-1444.1000366210938,0.0,-0.7393734925874644,-2.6556055503367877,2.147678062309951,3226530983475684152,kolala14710,16.0,2781.47998046875,2174.570068359375,17.049999237060547,-11082.80029296875,12615.6005859375,2.7000001072883606,-3.3000001311302185,3.4999999403953552,-1145.4000091552734,255.0,76.0,,0.016764464288468863,2.2679800942974766,-0.00027159923275060056,True,4,False,4,184.0,False,,beb2912b13b,TTv-skaace,13.0,3071.219970703125,-2281.3701171875,101.33000183105469,-769.4999694824219,-21567.5,-159.89999771118164,5439.7998046875,700.8000183105469,408.49998474121094,255.0,128.0,,0.1762915116587426,2.0360466573864793,3.1240693964549684,,6,5,False,0.0,False,,enpitsu,76561198039309853,27,2346.56005859375,2290.64990234375,166.89999389648438,3914.2001342773438,7191.6998291015625,2105.0999450683594,-4830.5999755859375,2629.5999145507812,0.0,255.0,,,0.6700594037603508,1.0722466456566229,-5.382435910987912e-06,True,5,2.0,False,6,False,,games5425898691,bf81d8692db,17.0,-979.52001953125,5032.35986328125,24.06999969482422,8677.39990234375,4505.199890136719,1322.2999572753906,2921.4999389648438,-1264.1999816894531,-1914.1999816894531,255.0,4.0,,-0.17187461483240066,0.5081072007316972,0.1411264912383522,True,False,255.0,False,False,False,
