,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_boost_collect
0,511,12.0,False,1,5022.7129397075805,-2364.199951171875,1319.1700439453125,189.52999877929688,14410.699462890625,17703.00048828125,6528.2000732421875,5163.599853515625,-562.9999923706055,-106.19999885559082,1.0,0.9272157680731324,-1.1973482602997545,-2.4479434154363764,bf81d8692db,games5425898691,19.0,-2520.14990234375,1094.56005859375,46.220001220703125,7972.7001953125,20310.999755859375,3472.60009765625,375.49999237060547,1148.6000061035156,-1500.5000305175781,128.0,0.0,,-0.013328302128158071,2.052921137952941,0.024937805353150103,True,46.0,False,10,8,False,,76561198039309853,enpitsu,24.0,-3448.820068359375,-2606.31005859375,17.049999237060547,-3275.7998657226562,13715.6005859375,2.800000011920929,-0.0,-0.7000000029802322,0.0,255.0,0.0,False,-0.01677062321965727,1.336363149736279,6.198144894910478e-05,True,False,False,204.0,False,False,,TTVpablychenko3,b7b572138bb,12.0,1647.1600341796875,653.530029296875,111.45999908447266,-519.7999954223633,16537.19970703125,-140.39999961853027,-4432.900085449219,-3236.7001342773438,-349.70001220703125,255.0,128.0,,0.9441212252647294,-2.810273160246866,2.662790985302155,True,10,178.0,False,False,9,,Er Silves26,76561198382233214,12.0,-3339.89990234375,3666.550048828125,17.049999237060547,8413.699951171875,21200.80078125,3.1999999284744263,0.29999999329447746,1.1999999731779099,-1789.7999572753906,178.0,0.0,,-0.01677731402463141,2.0015920273212187,-0.00017182411967621458,True,6,4,0.0,False,8,
1,720,20.0,True,0,2354.142449077464,-272.9599914550781,2869.800048828125,421.04998779296875,-5583.0999755859375,30201.79931640625,-5248.4002685546875,-4059.5001220703125,-4408.900146484375,285.0,0.0,0.8192011888770662,1.5810169010069899,-1.1529522473066585,76561198382233214,Er Silves26,13.0,-188.3800048828125,2639.02001953125,361.739990234375,1521.0000610351562,22351.69921875,3661.0000610351562,-795.1000213623047,-1863.0999755859375,2280.2999877929688,165.0,189.0,False,-0.45711817206300515,2.1508098997458904,-0.2543991510273129,True,103.071896770949,True,14,6,10,,b7b572138bb,TTVpablychenko3,12.0,2081.27001953125,1388.0699462890625,908.3099975585938,16414.69970703125,9104.299926757812,-6731.099853515625,126.00000381469727,-563.4000015258789,-423.6000061035156,255.0,128.0,False,0.2789661834308896,-1.9525032464998513,0.6525383941284507,True,12,4,0.0,False,10,,enpitsu,76561198039309853,24.0,-90.0999984741211,3231.35009765625,265.1300048828125,-6354.000244140625,-13073.800048828125,2150.8999633789062,2640.4000854492188,-4354.4000244140625,-247.99999237060547,255.0,0.0,False,-0.25811209180684064,-1.9236952530791551,0.1321509635338729,True,2,168.0,False,False,1,,games5425898691,bf81d8692db,19.0,285.760009765625,2627.85009765625,328.7099914550781,15879.200439453125,9315.10009765625,-1355.3999328613281,-944.4000244140625,1439.7000122070312,89.49999809265137,255.0,128.0,,-0.14855557545282388,0.5725704421626141,-0.03543186825684114,True,10,False,131.0,False,14,
2,1971,56.0,False,1,5482.677837453195,-1170.5,61.68000030517578,118.05000305175781,5798.3001708984375,20210.30029296875,3935.1998901367188,5881.300048828125,1098.7999725341797,-449.1999816894531,1.0,0.5476256086021574,1.0708895155008298,-2.6586595675631854,bf81d8692db,games5425898691,19.0,-1231.68994140625,-86.2699966430664,15.270000457763672,-2303.8999938964844,13801.199951171875,-641.2999725341797,-305.79999923706055,1214.1000366210938,-1424.6000671386719,255.0,128.0,,-0.02256354091324824,1.5114868198991636,0.035356620893802315,True,62.70047302656277,True,10,10,False,,76561198039309853,enpitsu,24.0,2110.989990234375,1997.6400146484375,17.030000686645508,5526.6998291015625,-11417.19970703125,1.4000000059604645,1.7000000178813934,-3.3000001311302185,250.9000015258789,255.0,255.0,False,-0.01671797830755676,-2.007290637410666,0.00016751634837012638,False,10,False,128.90303663797286,True,10,,TTVpablychenko3,b7b572138bb,12.0,3144.0400390625,4831.25,119.8499984741211,-8196.400146484375,9580.599975585938,1792.7999877929688,-681.1000061035156,-1900.7000732421875,1427.5,255.0,255.0,False,0.11892003332206987,0.8608677735458976,-0.9722225248252937,True,18,255.0,False,4,12,,Er Silves26,76561198382233214,12.0,3175.030029296875,4595.81005859375,23.459999084472656,75.9000015258789,15206.400146484375,1679.6000671386719,3561.199951171875,-3068.900146484375,2601.7999267578125,255.0,255.0,False,0.12097059342103163,1.4880506395886837,-0.14501467138717772,True,4,False,22.0,False,6,
3,2021,58.0,False,1,1946.5737987714597,-167.49000549316406,3509.6201171875,133.38999938964844,8164.5001220703125,22713.1005859375,-1010.1999664306641,2093.9999389648438,1568.2000732421875,-585.4999923706055,1.0,0.5408626371202794,-2.993108361236387,-1.100983171518029,bf81d8692db,games5425898691,19.0,-244.64999389648438,3385.989990234375,120.80999755859375,5267.9998779296875,21660.90087890625,-124.20000076293945,-5359.7998046875,1012.6999664306641,-704.4000244140625,255.0,128.0,,0.20608113250130544,-1.35879463499862,-3.1277180801093136,True,0.0,False,12,11,False,,76561198039309853,enpitsu,24.0,3177.27001953125,-769.1699829101562,17.030000686645508,-14433.599853515625,-12105.0,5.799999833106995,-0.0,-0.0,-2051.6000366210938,255.0,128.0,False,-0.016757313381812706,-0.6233079055694104,8.235985414292306e-06,True,10,False,255.0,False,10,,TTVpablychenko3,b7b572138bb,12.0,-211.72999572753906,3680.550048828125,185.7100067138672,-8890.30029296875,-21209.7998046875,322.09999084472656,2669.89990234375,4522.200012207031,-1634.1999816894531,255.0,255.0,True,0.3017398636686662,-1.0375059351138547,-2.1059914272016713,False,20,185.97129440307617,True,4,13,,Er Silves26,76561198382233214,12.0,406.3599853515625,4596.41015625,71.4800033569336,-17983.199462890625,-4147.699890136719,-1831.6000366210938,-86.99999809265137,-2600.10009765625,155.10000228881836,128.0,218.0,False,0.6788557505563662,0.08150704672164497,-0.02893220366691423,True,6,False,0.0,False,8,
4,2278,67.0,False,1,1310.5314122183208,2000.3199462890625,4434.330078125,180.16000366210938,-14875.699462890625,5204.1998291015625,3267.2000122070312,4403.0999755859375,-1106.2999725341797,3922.6998901367188,1.0,-1.5052393952992478,2.415347660198204,2.145321276846819,76561198039309853,enpitsu,24.0,2098.590087890625,4378.009765625,69.2300033569336,-674.8999786376953,16920.999755859375,2858.900146484375,-3716.099853515625,-2574.5999145507812,3132.39990234375,255.0,255.0,False,-0.12461615845445458,1.577378326838179,-0.02666194035192826,True,116.0,False,14,13,False,,bf81d8692db,games5425898691,20.0,97.5,2261.1298828125,17.0,13622.5,-3411.099853515625,3.700000047683716,-0.3999999910593033,-0.0,1673.6000061035156,255.0,235.0,,-0.009594970908500847,-2.924536152294059,0.00015387871850437875,True,14,False,92.0,False,14,,TTVpablychenko3,b7b572138bb,12.0,113.52999877929688,5208.47998046875,17.049999237060547,11034.49951171875,-1560.7000732421875,4.900000095367432,0.5999999865889549,-0.5000000074505806,-3349.2001342773438,128.0,75.0,False,-0.016849862581147103,-2.5210951949123555,-1.4360897362954346e-05,True,24,135.0,False,4,18,,Er Silves26,76561198382233214,12.0,2791.10009765625,4401.91015625,17.040000915527344,-8946.199951171875,6852.19970703125,4.900000095367432,-0.29999999329447746,0.09999999776482582,2403.2000732421875,223.0,255.0,False,-0.016725132369826135,0.5935303978180797,-4.279581096110431e-05,True,10,False,255.0,False,12,
5,2483,75.0,True,1,1019.4440589236235,647.2100219726562,4151.3798828125,133.44000244140625,-25725.10009765625,20117.900390625,1778.699951171875,-363.3000183105469,662.3999786376953,5952.19970703125,1.0,0.7605900266952652,1.4104699661024618,-2.7354301667795515,76561198039309853,enpitsu,24.0,739.0499877929688,3972.7099609375,114.88999938964844,-3575.4998779296875,14548.900146484375,1734.2999267578125,799.0000152587891,224.59999084472656,-169.40000534057617,128.0,128.0,,0.013843074793406187,1.2985351252302604,-0.00013273611810124016,True,95.0,False,20,19,False,,bf81d8692db,games5425898691,19.0,1049.93994140625,3148.2900390625,17.020000457763672,-10690.6005859375,6649.000244140625,1.0999999940395355,1.899999976158142,-1.0999999940395355,1553.3000183105469,255.0,168.0,,-0.009563500883294617,0.48728748720442866,-0.00010368499252361922,True,14,False,,False,14,,TTVpablychenko3,b7b572138bb,12.0,-2171.2900390625,838.6500244140625,17.059999465942383,-16331.700439453125,-12782.80029296875,-3.400000035762787,-0.0,-0.19999999552965164,-22.40000009536743,255.0,128.0,,-0.01676737709999353,-0.6619619384204225,-5.59707626820223e-06,,28,15.288430021655175,True,4,22,,Er Silves26,76561198382233214,12.0,966.780029296875,4224.75,96.61000061035156,-20398.399658203125,-4387.799987792969,-359.50000762939453,-1098.8999938964844,-5275.4998779296875,-1100.199966430664,137.0,0.0,,-0.9092989908423343,-1.8515287882203995,2.312891420173916,True,11,4,211.2024341475579,True,14,
6,2750,75.0,False,0,5202.356142048012,-1.909999966621399,15.050000190734863,97.43000030517578,-81.49999618530273,23480.2001953125,6377.80029296875,1389.4999694824219,1896.3999938964844,-5520.2001953125,0.0,0.029376287797258073,-0.08277900151547779,0.01970873878731054,b7b572138bb,TTVpablychenko3,12.0,-26.579999923706055,-154.4499969482422,41.72999954223633,-14433.800048828125,14053.399658203125,810.6999969482422,-1751.4999389648438,-3499.1000366210938,-2941.300048828125,242.0,255.0,,0.26953055646927765,1.818815502018974,-0.31054270317923754,True,33.0,False,6,5,False,,76561198382233214,Er Silves26,12.0,0.0,-3961.0,17.049999237060547,0.0,10327.80029296875,2.8999999165534973,-0.7999999821186066,0.0,0.0,255.0,,,0.016624701215590138,1.5708035160320084,3.3224939954583595e-10,True,False,False,116.0,False,False,,enpitsu,76561198039309853,24.0,-148.35000610351562,309.7099914550781,107.5,11317.7001953125,-19935.400390625,1804.4000244140625,5284.1998291015625,-520.4000091552734,-1433.9999389648438,255.0,0.0,,0.6926958166023549,-0.7941842025176251,0.4887946407384211,True,2,0.0,False,False,1,,games5425898691,bf81d8692db,19.0,0.0,5066.56982421875,17.010000228881836,0.0,-1580.5000305175781,2.3999999463558197,0.7000000029802322,0.0,0.0,255.0,,,0.009391819022345399,-1.5707878295104034,3.9981008938747724e-08,True,False,False,85.0,False,False,
7,3070,87.0,True,0,3503.7564287420396,-2069.260009765625,1838.52001953125,217.35000610351562,9686.199951171875,25679.69970703125,4920.5999755859375,-18.99999976158142,3214.1000366210938,682.0999908447266,0.0,0.3404145420063098,-0.46602759061855636,-1.4188525272671983,b7b572138bb,TTVpablychenko3,12.0,-2138.60009765625,1664.4200439453125,135.36000061035156,6179.1998291015625,21990.0,2693.3999633789062,-2902.9000854492188,-3733.3999633789062,-859.1999816894531,255.0,250.0,False,0.04262061679953168,1.0748541482716993,-0.4865690458446646,True,102.60622786962858,True,10,8,False,,76561198382233214,Er Silves26,13.0,,,,,,,,,,,,,,,,False,,,,,,,enpitsu,76561198039309853,24.0,41.77000045776367,-1967.8199462890625,101.58000183105469,478.6000061035156,20803.89892578125,-151.19999885559082,-5498.599853515625,123.4000015258789,-0.29999999329447746,255.0,128.0,False,-0.3938932175627923,-1.5932910378595164,-3.1414687992832797,True,6,31.0,False,False,6,,games5425898691,bf81d8692db,19.0,-3760.0,1130.93994140625,16.360000610351562,7264.000244140625,21821.8994140625,110.10000228881836,-11.100000143051147,175.79999923706055,8.799999952316284,255.0,128.0,,0.004482946202025213,1.2490110243797952,-0.014145682876884735,True,False,False,0.0,False,False,
8,4419,127.0,True,1,1785.9337276737292,652.02001953125,3370.81005859375,124.63999938964844,-16101.500244140625,21447.80029296875,1260.8000183105469,-698.3999633789062,-2142.5999450683594,5560.7000732421875,1.0,-0.8392336067727081,-0.22701019950039453,-0.7674847171014321,bf81d8692db,games5425898691,19.0,746.5399780273438,3062.93994140625,78.56999969482422,1333.0000305175781,22634.7998046875,3858.3999633789062,-0.0,-0.0,98.50000381469727,255.0,128.0,,-0.009587725594845987,1.6028977431540186,-0.00023020916935614756,True,106.96269236328786,True,16,12,False,,76561198039309853,enpitsu,24.0,1021.3099975585938,3090.949951171875,17.049999237060547,-11251.300048828125,1001.6000366210938,2.0000000298023224,-1.899999976158142,-0.0,447.79998779296875,255.0,128.0,False,-0.01669313638538028,0.048276832031375054,-0.00036525758777348734,True,12,False,199.0,False,12,,TTVpablychenko3,b7b572138bb,12.0,2016.219970703125,5098.89990234375,147.83999633789062,-5734.7998046875,122.10000038146973,939.0000152587891,402.59998321533203,259.7999954223633,-80.60000419616699,255.0,128.0,,0.23997786265002163,0.046784756226413295,-1.4365055428906117,True,20,0.0,False,8,12,,Er Silves26,76561198382233214,12.0,851.1799926757812,3729.530029296875,17.049999237060547,-1936.9000244140625,9094.000244140625,3.700000047683716,0.09999999776482582,-0.3999999910593033,2760.5999755859375,255.0,255.0,False,-0.016699919448291634,1.269559331401857,-4.332077837919621e-06,True,14,4,251.87360851995408,True,20,
9,5002,139.0,True,1,2022.02790718826,-935.4099731445312,4282.9501953125,196.8699951171875,9669.299926757812,14047.900390625,728.8999938964844,3343.2000732421875,-4799.89990234375,-1335.3999328613281,1.0,0.11550971017015928,2.445047312082915,1.9738903209981673,76561198039309853,enpitsu,24.0,-1041.239990234375,4153.8701171875,93.7699966430664,5242.0001220703125,15578.199462890625,2720.0,-916.8000030517578,1787.2000122070312,-2006.3999938964844,255.0,0.0,False,-0.028015608261857953,1.829302280484014,0.01410174055204321,True,21.0,False,4,3,False,,bf81d8692db,games5425898691,19.0,1443.3699951171875,4062.830078125,17.010000228881836,-12026.8994140625,-4129.800109863281,2.5,-2.0999999344348907,-0.7999999821186066,-1780.5000305175781,255.0,48.0,,-0.009554917825038664,-0.2973641951947181,-0.0001671094598823746,True,6,False,200.0,False,4,,TTVpablychenko3,b7b572138bb,12.0,2422.25,2372.739990234375,17.020000457763672,-8699.400024414062,9692.5,2.5,0.19999999552965164,-0.7000000029802322,-2.3999999463558197,255.0,128.0,,-0.01671626114748782,0.8396733562166833,5.90481797669019e-05,True,8,103.03842577370274,True,4,6,,Er Silves26,76561198382233214,12.0,530.8800048828125,5102.93994140625,1304.6700439453125,-10331.600341796875,-3.3000001311302185,-8064.4000244140625,4.300000071525574,34.50000047683716,-0.19999999552965164,255.0,128.0,,-0.6419361744692358,0.020703436145634375,-1.5829842677325654,True,False,4,48.0,False,4,
