,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_boost_collect
0,178,0,False,False,0,5216.655411125479,37.900001525878906,7.619999885559082,126.52999877929688,14911.300048828125,12169.000244140625,7879.0997314453125,4446.300048828125,684.1999816894531,-3970.0,0.0,0.041864698881919876,0.09390508046063825,0.4145221080252045,bf81d8692db,games5425898691,23.0,1.7300000190734863,-119.30999755859375,93.0199966430664,1094.000015258789,12764.49951171875,-1156.8000030517578,-5478.800048828125,-110.39999961853027,-469.0999984741211,128.0,136.0,,1.498885438211278,1.3516859209458392,-0.1856569310702033,True,3,False,4,31.0,False,,76561198039309853,enpitsu,27.0,0.0,-2373.7099609375,17.049999237060547,0.0,7556.199951171875,2.5,0.7000000029802322,0.0,0.0,255.0,,,0.016700997939493475,1.570774477373452,-2.4226578640790356e-07,True,86.0,False,False,False,False,,jamdef13,3351595734301454363,9.0,-25.020000457763672,209.8800048828125,49.15999984741211,-2739.5001220703125,-20960.10009765625,3537.3001098632812,227.29999542236328,-51.99999809265137,-2242.899932861328,255.0,37.0,,0.014566813102626183,-1.874821936471474,-0.000541162646979103,False,False,False,4,14.0,False,,CarGoesBrummm,4397455427977710418,9.0,-2987.14990234375,4127.47998046875,17.010000228881836,-16804.000244140625,-6362.60009765625,2.5999999046325684,0.0,0.0,2862.7999877929688,255.0,255.0,False,0.009592106893904719,-2.6143447854895316,9.118846673743193e-05,True,False,False,255.0,False,False,310.0
1,297,4,False,False,1,10080.69143021908,-3209.550048828125,-4066.780029296875,172.82000732421875,-18638.900146484375,13470.0,-1064.3000030517578,-1430.2000427246094,-5755.30029296875,-910.9999847412109,1.0,0.28114027111334866,-0.16190103270834802,1.777200244457351,4397455427977710418,CarGoesBrummm,9.0,-3052.7900390625,-4180.31005859375,141.3800048828125,-14519.599609375,6407.0001220703125,2113.8999938964844,-4185.400085449219,3559.8001098632812,-244.59999084472656,128.0,0.0,,-0.06731307303151315,0.736558268363615,0.8663438081661546,True,5,False,6,204.8174450089855,True,,3351595734301454363,jamdef13,8.0,3624.469970703125,-132.9600067138672,17.010000228881836,7256.6998291015625,-11874.000244140625,2.3000000417232513,0.29999999329447746,-0.5000000074505806,-2156.7999267578125,255.0,0.0,,-0.009570218987714502,-2.0581970680963875,-7.329754999202923e-05,,255.0,False,4,False,4,,enpitsu,76561198039309853,27.0,-3433.510009765625,-3628.8701171875,79.98999786376953,5342.8997802734375,-18880.0,3549.2999267578125,1513.3000183105469,342.20001220703125,-1274.1000366210938,255.0,0.0,,-0.11979176431618538,-1.6925311919265242,-0.010631976876441107,True,1,False,2,13.0,False,,games5425898691,bf81d8692db,24.0,-3764.56005859375,-1324.550048828125,16.610000610351562,6818.4002685546875,-12288.499755859375,52.60000228881836,-17.5,59.40000057220459,365.0,255.0,156.0,,-0.00763854163329005,-2.107614000024056,0.007355043780417302,True,6,False,255.0,False,6,
2,300,4,False,False,0,4476.514770896954,3418.6298828125,3947.0400390625,175.9199981689453,14453.399658203125,12369.7998046875,8626.199951171875,4594.5001220703125,3556.7999267578125,-1496.199951171875,0.0,0.4290720334141638,0.0811870161970689,2.2274154041003147,76561198039309853,enpitsu,27.0,3381.2900390625,3841.610107421875,105.68000030517578,-4469.100036621094,20297.900390625,1356.9999694824219,-5028.399963378906,801.9000244140625,-2078.8999938964844,255.0,128.0,,0.7535221645479009,1.532412056524678,0.007592100087384151,True,1,False,2,13.0,False,,bf81d8692db,games5425898691,24.0,3630.030029296875,1515.300048828125,17.010000228881836,-9227.2998046875,10581.099853515625,3.700000047683716,7.599999904632568,-12.799999713897705,1349.4999694824219,255.0,150.0,,0.009447809738131535,2.338718271332786,0.0005667597476117605,True,255.0,False,6,False,6,,jamdef13,3351595734301454363,8.0,-3705.47998046875,346.8999938964844,17.010000228881836,-2569.2001342773438,13448.499755859375,2.3000000417232513,0.0,0.0,-2219.7999572753906,255.0,0.0,,0.009579086854697931,1.6921679682735054,-2.9450191069393872e-05,,4,False,4,255.0,False,,CarGoesBrummm,4397455427977710418,9.0,3157.31005859375,4142.93017578125,150.7899932861328,13008.00048828125,-4865.299987792969,140.20000457763672,4301.000061035156,-3390.0,508.4000015258789,255.0,0.0,,-0.055399611606960254,-0.6644952254573512,1.460855387113185,True,5,False,195.4983655098946,True,6,
3,381,7,False,False,0,3784.419544771575,-163.74000549316406,1427.0999755859375,158.92999267578125,-28298.30078125,11059.599609375,-1379.7000122070312,-1660.7000732421875,711.8000030517578,5721.400146484375,0.0,-0.9196009245920737,1.4722754096434756,2.1177317283754595,bf81d8692db,games5425898691,24.0,-6.079999923706055,1308.3399658203125,107.9000015258789,-18885.699462890625,6592.60009765625,826.9999694824219,-3811.300048828125,-3955.1998901367188,-281.5999984741211,255.0,174.0,,1.1534530820070859,2.9238309029649603,0.48672057504676325,True,7,False,8,230.0,False,,76561198039309853,enpitsu,28.0,3608.110107421875,3804.6298828125,17.049999237060547,-80.69999694824219,-13082.7001953125,6.9999998807907104,6.499999761581421,-8.399999737739563,-559.0999984741211,255.0,128.0,False,0.016394761501769953,-1.619208907597549,-0.000244305522378549,True,13.0,False,2,False,2,,jamdef13,3351595734301454363,8.0,-1797.4300537109375,3820.25,17.010000228881836,11243.199462890625,8465.10009765625,2.3000000417232513,2.199999988079071,1.4000000059604645,1073.6000061035156,255.0,181.0,,0.009591078359491807,0.6435384724663351,0.00017760355516823934,,4,False,4,255.0,False,,CarGoesBrummm,4397455427977710418,10.0,2052.25,4301.2099609375,69.68000030517578,-13838.900146484375,7548.0999755859375,-1372.5,-2190.2000427246094,-448.4000015258789,-350.99998474121094,237.0,128.0,,-0.15429862741761496,3.035376722500319,-0.7823110416515302,True,8,False,198.0,False,8,
4,455,10,False,False,0,3425.3170052163955,-3960.7099609375,3610.179931640625,1279.0799560546875,11333.199462890625,11146.800537109375,14670.50048828125,3164.1000366210938,2796.6000366210938,-4262.200012207031,0.0,0.9280070634910973,-1.9110114339217483,-2.720098095940555,bf81d8692db,games5425898691,24.0,-4078.969970703125,3554.300048828125,1115.699951171875,34.50000047683716,16181.199951171875,15247.5,-137.70000457763672,3.100000023841858,-163.60000610351562,255.0,128.0,,-0.7490587560955567,1.5824914926088367,1.5620389296103603,True,8,False,8,119.4499526075138,True,,76561198039309853,enpitsu,27.0,3580.56005859375,-1124.3499755859375,91.87000274658203,-3317.7999877929688,-22544.49951171875,-151.09999656677246,5311.400146484375,-1427.2000122070312,-30.899999141693115,128.0,128.0,False,-0.4012202607745048,1.305904093583531,-3.135448327131776,False,44.0,False,6,False,5,,jamdef13,3351595734301454363,8.0,-447.29998779296875,5327.06982421875,17.09000015258789,1913.2000732421875,-5949.2999267578125,-111.70000076293945,-259.7999954223633,-14.09999966621399,-2053.8999938964844,255.0,0.0,False,0.012483325397605438,-1.2194621876305494,0.007988633555534485,,4,False,4,255.0,False,,CarGoesBrummm,4397455427977710418,10.0,-1237.530029296875,5013.7900390625,29.079999923706055,-2992.9998779296875,6916.9000244140625,2254.9000549316406,5399.000244140625,668.4999847412109,-808.1999969482422,176.0,128.0,,-0.35976783091171505,1.9041329251343215,-0.08129495033748929,True,8,False,198.0,False,8,
5,541,13,False,False,1,9353.430742646331,1396.510009765625,-4200.02978515625,94.98999786376953,-20.899999141693115,14256.600341796875,1246.9000244140625,-1642.5999450683594,-3911.9000244140625,2356.7999267578125,1.0,-0.8541072562752281,2.7046568654036647,-0.14316793749934859,4397455427977710418,CarGoesBrummm,9.0,1320.199951171875,-4422.35986328125,16.989999771118164,1511.4999389648438,10503.900146484375,2.3000000417232513,-0.09999999776482582,-0.0,-985.9999847412109,255.0,83.0,,-0.009533862590838427,1.7119563180725261,-0.00016157359615427968,True,8,False,10,154.23944972151074,True,,3351595734301454363,jamdef13,8.0,4.579999923706055,-5495.31005859375,22.59000015258789,-34.50000047683716,-57.30000019073486,2.0999999344348907,2.3000000417232513,-0.9000000357627869,-0.3999999910593033,246.0,128.0,False,-0.04473974806892463,2.030398857864889,-0.017513528909737657,False,255.0,False,4,False,4,,enpitsu,76561198039309853,27.0,22.389999389648438,4737.1298828125,17.049999237060547,13335.10009765625,-1480.2999877929688,2.5999999046325684,0.19999999552965164,-0.0,-2766.7999267578125,128.0,128.0,False,-0.01682867597492454,-2.2042053106915933,2.361440278453032e-05,True,6,False,6,255.0,False,,games5425898691,bf81d8692db,24.0,2046.0999755859375,-3308.1201171875,17.010000228881836,-13832.5,-4594.5001220703125,2.199999988079071,-0.0,-0.09999999776482582,1278.499984741211,255.0,190.0,,-0.009580743450468669,-0.3752586425732411,-0.00010838458684128367,True,8,False,255.0,False,8,
6,552,13,False,False,0,1577.0947816784087,-1376.9200439453125,3638.02001953125,102.43000030517578,20411.300048828125,7323.499755859375,8617.100219726562,5903.599853515625,1069.4000244140625,-60.39999961853027,0.0,-0.05522428445397531,-2.2035210284604387,-1.6973660622081792,bf81d8692db,games5425898691,24.0,-1547.1800537109375,3521.219970703125,19.479999542236328,13718.199462890625,4417.0001220703125,2958.900146484375,0.9000000357627869,0.3999999910593033,-1291.4999389648438,255.0,49.0,,0.009590064647988918,0.27828527285268234,-5.69333292171059e-05,True,8,False,9,255.0,False,,76561198039309853,enpitsu,28.0,-226.89999389648438,-4582.2998046875,17.049999237060547,-9.700000286102295,3354.7000122070312,2.5,0.0,-0.9000000357627869,-194.0999984741211,,,,0.016862874233735933,1.5200820378413626,0.00015228515999926828,True,255.0,False,6,False,6,,jamdef13,3351595734301454363,8.0,-60.900001525878906,5381.0,18.25,-2466.999969482422,-4968.999938964844,-143.90000343322754,-222.19999313354492,-25.0,-4.000000059604645,255.0,,,0.03906523012779,-2.0303421681485476,-0.012116568222245886,,4,False,4,255.0,False,,CarGoesBrummm,4397455427977710418,9.0,-1432.5,3884.10009765625,16.969999313354492,-2390.0,-14975.10009765625,5.0,-3.4999999403953552,1.5000000596046448,1651.9000244140625,255.0,228.0,,0.009805904130181854,-1.7074480815355746,0.0002542796526990303,True,8,False,188.61264530304942,True,10,
7,654,17,False,False,0,4693.481327950286,3524.739990234375,3563.35009765625,93.44000244140625,1938.3999633789062,-7720.3997802734375,-6.800000071525574,5571.7999267578125,1370.8000183105469,1753.6000061035156,0.0,-0.5180539990771418,1.7203719681951146,-0.13040492738581594,bf81d8692db,games5425898691,24.0,3588.919921875,3422.429931640625,16.989999771118164,283.50000381469727,20021.300048828125,4.699999988079071,0.0,0.5999999865889549,1422.5999450683594,128.0,255.0,,0.009635232053360001,1.5786170518054456,0.00020552805981244196,True,10,False,10,214.0,False,,76561198039309853,enpitsu,27.0,-228.97999572753906,-4462.22998046875,33.290000915527344,-41.500000953674316,-4.900000095367432,-180.40000915527344,-321.50001525878906,0.5999999865889549,644.7000122070312,,0.0,,-0.0003512579105469837,1.5742874225942773,-3.1414177903838265,True,255.0,False,8,False,6,,jamdef13,3351595734301454363,8.0,160.00999450683594,5121.169921875,17.0,-2926.4999389648438,8051.300048828125,3.400000035762787,-0.19999999552965164,0.5999999865889549,0.0,0.0,128.0,,0.009680286963528923,-1.2221496055736396,6.247582272416402e-05,False,4,False,4,255.0,False,,CarGoesBrummm,4397455427977710418,10.0,-67.26000213623047,3228.860107421875,17.010000228881836,-2810.2999877929688,13817.099609375,2.0999999344348907,0.0,0.7000000029802322,2.800000011920929,255.0,128.0,False,0.00960035841042244,1.7719458260834942,-7.404967876198712e-05,True,10,False,136.0,False,12,
8,712,19,True,True,0,2305.562468849965,1130.7099609375,4040.8798828125,532.030029296875,-6029.4000244140625,7721.7999267578125,2701.400146484375,-488.80001068115234,1347.7000427246094,-5579.4000244140625,0.0,0.8585128919785348,-2.5098849744943226,-2.2847556996781555,bf81d8692db,games5425898691,24.0,1073.510009765625,3935.969970703125,413.80999755859375,-14967.2998046875,1104.8999786376953,3641.7001342773438,-896.5000152587891,3208.9999389648438,-3323.2000732421875,255.0,0.0,,-0.7685977608683894,1.3289857011520547,1.4554831712580392,True,10,False,12,189.22529005235245,True,,76561198039309853,enpitsu,27.0,-236.39999389648438,-4470.759765625,32.310001373291016,47.10000038146973,-41.10000133514404,-64.0999984741211,384.70001220703125,-181.70000076293945,3868.599853515625,,128.0,,-0.0018749346831792568,-0.30763330962474744,-3.1402701622964546,True,255.0,False,8,False,6,,jamdef13,3351595734301454363,8.0,80.83999633789062,5218.72998046875,17.0,889.0000152587891,-3874.1000366210938,3.400000035762787,1.5999999642372131,-0.5999999865889549,0.0,192.0,128.0,,0.0094592325514451,-1.345166359665154,-6.468510151985617e-05,False,4,False,4,255.0,False,,CarGoesBrummm,4397455427977710418,10.0,826.7100219726562,4119.25,348.80999755859375,9285.700073242188,-3921.0000610351562,5440.8001708984375,2576.7999267578125,-2675.4000854492188,4056.0000610351562,128.0,255.0,True,-0.5571649506635564,-0.47677947750520444,1.2139749855921567,True,10,4,122.16962576425207,True,14,
9,1007,21,False,False,1,5085.097440825994,77.61000061035156,121.19000244140625,176.4199981689453,3588.2000732421875,10765.10009765625,19140.2001953125,5670.9002685546875,-1830.0,700.6999969482422,1.0,0.1574003462644117,0.029763056633667857,0.3643431136656598,4397455427977710418,CarGoesBrummm,9.0,34.13999938964844,-33.40999984741211,79.02999877929688,12243.900146484375,15542.2998046875,1890.8999633789062,-5186.199951171875,1701.300048828125,676.6000366210938,255.0,138.0,,-0.5700380966896272,1.843937296792021,0.007615312648121462,True,5,False,6,0.0,False,,3351595734301454363,jamdef13,8.0,-76.23999786376953,-5526.39990234375,23.75,-168.29999923706055,-4834.700012207031,205.0,10.700000524520874,0.3999999910593033,0.0,255.0,128.0,,-0.049281419119099334,1.6056690866403591,-0.0014243822228837432,,116.0,False,False,False,False,,enpitsu,76561198039309853,27.0,-26.149999618530273,4833.85986328125,17.049999237060547,1.2999999523162842,-15.499999523162842,2.5,5.299999713897705,0.3999999910593033,0.0,128.0,128.0,False,-0.016454677803651094,-1.651331235367437,6.219651524715247e-06,True,False,False,False,116.0,False,,games5425898691,bf81d8692db,24.0,58.59000015258789,235.8300018310547,94.80000305175781,-6593.800048828125,-16446.800537109375,68.49999904632568,5055.899963378906,-796.6000366210938,2013.0000305175781,128.0,128.0,,-1.30434716267703,-2.092684200361165,0.6298320586627141,True,3,False,0.0,False,4,
