,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_boost_collect,opp_2_handbrake
0,224,2,False,False,1,3517.4666746485173,3277.43994140625,2551.31005859375,133.88999938964844,-304.7999954223633,27896.99951171875,8032.9998779296875,1090.5999755859375,-5801.6998291015625,1072.5,1.0,0.5972314232914441,0.3898984021535017,-0.9621875215309732,1371523928947335533,SONOPROCAMER,12.0,3242.89990234375,2422.360107421875,15.050000190734863,9018.300170898438,17490.0,-616.3000106811523,-1225.199966430664,-1250.5000305175781,2740.1998901367188,255.0,128.0,False,-0.04620416036540903,1.9910845344231525,-0.058661672234767856,True,0.0,False,4,4,False,,76561198427787741,Fury24_,7.0,3342.7099609375,-122.75,17.010000228881836,18205.2001953125,3142.9000854492188,2.7000001072883606,-0.3999999910593033,-0.0,3025.10009765625,255.0,255.0,False,-0.009576906820681203,2.7670685762307636,0.0001399565285833796,True,3.0,False,4,4,False,,enpitsu,76561198039309853,25,3312.419921875,-993.5999755859375,17.059999465942383,10439.89990234375,16160.30029296875,1.5999999642372131,0.7999999821186066,1.0999999940395355,1341.1000061035156,255.0,128.0,,-0.01678166364496085,2.128536704891553,0.00021054856550085414,True,2,0.0,False,2,False,,games5425898691,bf81d8692db,18.0,2258.830078125,4694.2900390625,17.010000228881836,-13511.8994140625,-3579.1000366210938,2.3000000417232513,-0.3999999910593033,-0.0,2177.7000427246094,255.0,255.0,-0.00959177557669396,-0.32613396392072946,-4.568784485280222e-05,True,False,False,255.0,False,False,,
1,281,4,False,False,0,10034.108080051677,-1020.9500122070312,-4893.330078125,119.9000015258789,-4785.799865722656,-21503.60107421875,-373.6000061035156,3514.5001220703125,-1144.4999694824219,-3953.0999755859375,0.0,-0.7422295663498247,2.674607100884329,0.7599641449071077,bf81d8692db,games5425898691,18.0,-926.4199829101562,-4755.1298828125,70.26000213623047,4212.39990234375,-15399.7998046875,3122.3001098632812,765.1000213623047,3809.89990234375,3892.0999145507812,255.0,128.0,,0.0856977231139445,-1.376277497237318,-0.05231808519861545,True,229.9344600144253,True,3,False,False,,76561198039309853,enpitsu,25.0,-3528.4599609375,-2804.6201171875,17.059999465942383,-2474.600067138672,-17841.800537109375,1.2999999523162842,0.0,0.5000000074505806,-0.9000000357627869,255.0,255.0,,0.016781902876183776,-1.7087681141757425,4.119029785667322e-05,True,,False,2,2,False,,Fury24_,76561198427787741,6,-2143.75,-2098.18994140625,17.010000228881836,12283.599853515625,-8922.000122070312,2.0999999344348907,-0.5000000074505806,0.19999999552965164,-7.200000286102295,255.0,128.0,,0.009604487106432167,-0.6292918320094805,6.82380416932489e-05,True,4,232.0,False,4,False,,SONOPROCAMER,1371523928947335533,11.0,-1197.449951171875,-4561.56982421875,200.30999755859375,20690.50048828125,-10023.099975585938,-340.09998321533203,2447.5,4905.7000732421875,-438.80001068115234,255.0,199.0,0.8772573056367801,-2.202890813299972,-1.7760662366184954,True,6,5,5.9344600144253,True,False,,True
2,316,5,False,True,1,1628.037993900839,1273.1099853515625,3556.239990234375,187.1999969482422,-6727.39990234375,14326.800537109375,8705.800170898438,4782.9998779296875,1123.3000183105469,3443.900146484375,1.0,0.012398725059132268,-1.4091768992053038,1.4628393148520944,76561198427787741,Fury24_,6.0,1293.9100341796875,3326.02001953125,70.02999877929688,-927.3000335693359,17870.899658203125,2957.3001098632812,-3101.199951171875,-4488.299865722656,-33.09999942779541,128.0,255.0,False,-0.03646402305073173,2.0428149003655345,-0.22286906478322782,True,238.0,False,6,5,False,,1371523928947335533,SONOPROCAMER,11.0,-817.0399780273438,5803.93994140625,48.61000061035156,3602.3001098632812,6641.9000244140625,-247.60000228881836,323.10001373291016,-4281.700134277344,-2968.699951171875,255.0,0.0,False,0.07159628220684285,2.1929336591295736,0.4056250463677545,True,0.0,False,6,6,False,,enpitsu,76561198039309853,25,2463.89990234375,4352.35986328125,17.059999465942383,-14973.900146484375,5993.3001708984375,1.2999999523162842,-0.5000000074505806,0.09999999776482582,1.2999999523162842,255.0,128.0,,-0.01677461382548236,0.38054170093201567,-4.977239068503438e-05,True,2,,False,2,False,,games5425898691,bf81d8692db,18.0,583.72998046875,5979.7900390625,236.82000732421875,3785.4998779296875,-116.89999580383301,-1080.0,-470.8000183105469,248.79999160766602,-239.3000030517578,255.0,68.0,-0.17610190713083834,3.1405344917748073,1.494347435971022,True,4,False,173.0,False,False,,
3,379,7,False,False,0,9194.513127817489,-123.80999755859375,-4022.030029296875,239.91000366210938,5674.000244140625,5013.299865722656,-26.500000953674316,4838.800048828125,-1948.5000610351562,-2964.5001220703125,0.0,-0.1305339412686601,2.404386811183929,1.6412633407732058,76561198039309853,enpitsu,25.0,-171.27000427246094,-4048.679931640625,101.94000244140625,6937.9998779296875,12943.1005859375,204.69999313354492,-4793.800048828125,2540.2999877929688,903.1999969482422,255.0,0.0,,1.3494754998815863,1.5387251369538795,0.3592429244418872,True,,False,4,3,False,,bf81d8692db,games5425898691,18.0,-30.040000915527344,-4523.56982421875,16.989999771118164,435.8000183105469,18252.80029296875,2.199999988079071,0.0,0.19999999552965164,120.60000419616699,255.0,128.0,,0.009589957725971356,1.5598168922144249,-6.790665129002011e-05,True,66.46536769661846,True,4,False,False,,Fury24_,76561198427787741,6,-1527.43994140625,-4069.159912109375,99.86000061035156,417.99999237060547,19703.399658203125,-167.70000457763672,-5493.599853515625,199.40000534057617,172.70000457763672,255.0,128.0,False,1.179535277203804,-1.2757111456831751,-2.8463024763849782,True,7,157.0,False,8,False,,SONOPROCAMER,1371523928947335533,11.0,-49.470001220703125,-3860.1201171875,82.4800033569336,5246.199951171875,20859.599609375,6843.3001708984375,393.80001068115234,4205.899963378906,1100.6999969482422,255.0,152.0,-0.0697527451259851,1.849200462351464,0.45913166691904406,True,8,6,31.0,False,False,,False
4,450,10,True,True,1,2619.7401970085166,-931.0900268554688,3262.56005859375,92.98999786376953,1200.0,27563.5009765625,224.89999771118164,-159.49999809265137,-3121.199951171875,5046.199951171875,1.0,0.6054090467624224,-0.2262395946343232,-1.1008260447642173,76561198427787741,Fury24_,6.0,-957.7899780273438,3087.89990234375,108.58999633789062,-2305.2000427246094,18496.99951171875,2128.0999755859375,-772.5,4805.899963378906,-2560.4000854492188,128.0,0.0,False,-0.06846617783597782,1.50464143080555,1.1607781010082117,True,57.0,False,10,9,False,,1371523928947335533,SONOPROCAMER,11.0,-995.6099853515625,2471.25,17.010000228881836,-3057.0001220703125,-671.6999816894531,2.0000000298023224,-0.19999999552965164,-0.3999999910593033,-1692.1000671386719,255.0,0.0,True,-0.009471724276373463,-0.3374346449562147,-0.0001214086437036565,True,31.0,False,8,8,False,,enpitsu,76561198039309853,25,-2564.7900390625,2570.22998046875,37.38999938964844,-10807.7001953125,8105.999755859375,58.29999923706055,-147.10000038146973,340.29998779296875,-1166.9999694824219,255.0,0.0,,-0.013281759488066744,0.6378103263282026,0.9057184554669091,True,4,21.626761028843543,True,4,False,,games5425898691,bf81d8692db,18.0,-2537.89990234375,2478.159912109375,15.699999809265137,-12899.599609375,8567.80029296875,3.799999952316284,168.1999969482422,155.0,-1332.5,255.0,0.0,-0.027425809275943538,0.629831065611247,0.013734681537394128,True,4,False,24.809831998681513,True,False,,
5,730,11,False,False,1,5274.076452823389,-87.26000213623047,-41.61000061035156,102.81999969482422,-26821.0009765625,3614.5001220703125,1541.4999389648438,124.89999771118164,332.7000045776367,5989.4000244140625,1.0,0.12124319393227811,-0.23887126289905924,0.0760031008654033,76561198427787741,Fury24_,6.0,-8.350000381469727,-214.7100067138672,70.5999984741211,8431.400146484375,21203.1005859375,2819.5001220703125,-4544.100036621094,-3083.9999389648438,298.799991607666,128.0,255.0,,-0.07938643265196324,2.274197055290464,-0.2574374839651944,True,14.0,False,6,5,False,,1371523928947335533,SONOPROCAMER,11.0,14.100000381469727,-3838.4599609375,17.010000228881836,202.19999313354492,10885.10009765625,2.0999999344348907,0.09999999776482582,-0.0,0.0,255.0,128.0,,-0.009560105610217967,1.5893950646986539,2.651872311899425e-06,True,116.0,False,4,4,False,,enpitsu,76561198039309853,25,6.420000076293945,112.08000183105469,115.37999725341797,-13050.899658203125,-16742.099609375,95.60000419616699,4399.700012207031,-2424.9000549316406,2238.699951171875,255.0,128.0,,-1.4506119368178962,-0.8528216493187478,-0.16556498426006755,True,1,0.0,False,2,False,,games5425898691,bf81d8692db,18.0,-2307.780029296875,3773.780029296875,17.010000228881836,-18350.699462890625,10215.599975585938,2.0000000298023224,0.09999999776482582,-0.0,-127.5,255.0,128.0,-0.00960205290951469,0.5206673827795891,6.061503806890439e-05,True,False,False,0.0,False,False,,
6,731,11,False,False,0,5179.726995306117,132.25,63.36000061035156,101.37000274658203,29396.99951171875,17846.500244140625,-1214.800033569336,256.200008392334,-1607.7999877929688,-5774.7998046875,0.0,-0.16091009675740928,0.09809730324983737,0.07558508019109601,76561198039309853,enpitsu,25.0,77.11000061035156,-30.34000015258789,115.76000213623047,12942.900390625,11428.499755859375,25.0,-4906.000061035156,1897.5999450683594,-1606.1000061035156,255.0,128.0,,1.2192293014592444,-1.894364483112125,-2.9955524563626494,True,0.0,False,2,1,False,,bf81d8692db,games5425898691,18.0,2459.929931640625,-3860.25,17.010000228881836,18205.50048828125,-10466.199951171875,2.0000000298023224,-0.09999999776482582,0.0,-25.899999141693115,255.0,132.0,,0.009602182715084484,-0.5261520857532245,3.428227890868149e-05,True,0.0,False,False,False,False,,Fury24_,76561198427787741,6,-64.29000091552734,78.73999786376953,91.16000366210938,-8287.80029296875,-14999.300537109375,2300.5999755859375,4397.900085449219,3286.300048828125,328.10001373291016,128.0,255.0,,0.12000084729925896,-2.383564718494917,-0.7706088681976874,True,5,14.0,False,6,False,,SONOPROCAMER,1371523928947335533,11.0,-15.800000190734863,3745.969970703125,17.010000228881836,-209.20000076293945,-11269.7998046875,2.0999999344348907,-0.09999999776482582,0.0,0.0,255.0,128.0,0.009560105610217967,-1.5893950646986539,2.651872311899425e-06,True,4,4,116.0,False,False,,
7,829,15,False,False,1,10372.673374279346,-3676.93994140625,-4170.240234375,1748.010009765625,-5723.0999755859375,22894.599609375,12262.900390625,3279.5999145507812,325.6999969482422,-5013.699951171875,1.0,0.9707100345009362,3.0053376465631496,0.02248597509994817,1371523928947335533,SONOPROCAMER,11.0,-3613.0,-4351.0400390625,1594.739990234375,133.90000343322754,15815.50048828125,16414.3994140625,-1161.2000274658203,389.70001220703125,4715.400085449219,255.0,2.0,True,1.0585910605710989,0.6956023739793548,1.6383559218151964,True,186.0580988725026,True,6,5,False,,76561198427787741,Fury24_,6.0,3671.60009765625,-692.6400146484375,92.19999694824219,3194.1000366210938,-19916.800537109375,4254.599914550781,-494.70001220703125,-4130.299987792969,-1581.199951171875,128.0,0.0,,-0.009231269717563743,-1.3953447380333173,0.3672841411452102,True,214.2517934819703,True,10,8,False,,enpitsu,76561198039309853,25,-2819.550048828125,1789.0999755859375,17.049999237060547,9527.39990234375,12968.599853515625,3.0000001192092896,-0.0,0.09999999776482582,-2046.199951171875,255.0,128.0,,-0.016771674384572357,2.2701373622090175,-1.7006347459200544e-05,True,2,0.0,False,2,False,,games5425898691,bf81d8692db,18.0,-4079.050048828125,-1982.52001953125,375.6099853515625,15.099999904632568,-21475.90087890625,3662.39990234375,1700.5000305175781,-39.30000066757202,-3.3000001311302185,128.0,255.0,0.11682622399850158,-1.561714617296641,-1.5716703480532361,True,False,False,230.0,False,False,,
8,978,20,False,False,0,10481.276749711786,3286.320068359375,-4470.68994140625,188.75999450683594,13069.69970703125,8137.2998046875,-4741.099853515625,-3339.2999267578125,3473.800048828125,3574.89990234375,0.0,0.8655527561027503,-2.8073034465903044,0.39051311577190617,76561198039309853,enpitsu,25.0,3089.39990234375,-4566.18017578125,220.8699951171875,8257.2998046875,4313.800048828125,1260.5000305175781,-5359.7998046875,-932.6000213623047,-807.3999786376953,255.0,128.0,False,0.26613672848154685,0.7823649518050928,-0.6058410075779407,True,0.0,False,4,3,False,,bf81d8692db,games5425898691,19.0,3707.969970703125,-815.7100219726562,16.969999313354492,-6974.69970703125,5027.300109863281,13.300000429153442,17.300000190734863,-26.19999885559082,2497.7000427246094,255.0,255.0,,0.008986734692100788,2.5521343417565343,0.0016525668689844173,True,113.0,False,4,4,False,,Fury24_,76561198427787741,6,1296.22998046875,-105.0999984741211,17.010000228881836,14759.69970703125,-15387.2998046875,2.199999988079071,-0.9000000357627869,1.2999999523162842,1795.2000427246094,255.0,154.0,,0.009567842662342745,-0.7276100049253446,-2.354263270432961e-05,True,10,233.0,False,12,False,,SONOPROCAMER,1371523928947335533,11.0,3178.929931640625,-4096.7998046875,55.130001068115234,-743.3999633789062,-17633.299560546875,3664.5999145507812,-727.3000335693359,-12.5,1555.0,255.0,195.0,-0.014669703611779274,-1.5220031747033704,0.0003746920935125482,True,7,6,116.85776342627824,True,False,,False
9,1087,24,False,False,1,5799.771774809805,-3616.64990234375,1496.739990234375,100.81999969482422,7557.8997802734375,-28118.60107421875,1396.199951171875,616.1000061035156,-233.1999969482422,-2446.999969482422,1.0,-1.0519873194641203,-2.766283041369205,-1.505294436353761,1371523928947335533,SONOPROCAMER,11.0,-3703.5400390625,1797.6500244140625,58.52000045776367,4691.9000244140625,-22331.0009765625,2882.7999877929688,1655.5000305175781,4343.0999755859375,1575.5999755859375,255.0,251.0,True,-0.053826416087607014,-1.6027246017424737,-0.12166056968305569,True,235.18959992162644,True,10,7,False,,76561198427787741,Fury24_,6.0,-2872.429931640625,4929.9599609375,38.13999938964844,-2365.2000427246094,-1555.7000732421875,-55.59999942779541,143.90000343322754,-445.40000915527344,1408.6000061035156,255.0,255.0,,0.05304598436460321,-0.42622012298865053,-0.43103575374759096,True,196.45563017424718,True,14,12,False,,enpitsu,76561198039309853,25,-2939.800048828125,3250.320068359375,94.68000030517578,-5156.199951171875,-15526.99951171875,-156.09999656677246,5241.5997314453125,-1665.8000183105469,3.4999999403953552,255.0,128.0,False,0.0783868360627161,1.8784687325795333,3.140927593735909,True,5,0.0,False,6,False,,games5425898691,bf81d8692db,18.0,-2128.1298828125,3788.030029296875,17.010000228881836,-7771.7999267578125,-11015.999755859375,2.3000000417232513,0.09999999776482582,-0.0,2247.2999572753906,255.0,255.0,-0.009552390219824968,-1.0245338009563028,1.793126523461111e-05,True,6,6,79.0,False,False,,
