,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect,opp_2_handbrake
0,166,0,False,False,1,5200.93897402216,5.980000019073486,15.779999732971191,93.01000213623047,11090.799560546875,25756.4990234375,2013.3999633789062,-4622.0001220703125,1340.3999328613281,3583.2000732421875,1.0,0.013577719131663207,-0.03401748010743511,0.0440337553575979,b410453f7cb,JaimeQuint96,15.0,-103.97000122070312,-227.5800018310547,52.599998474121094,10271.500244140625,18474.89990234375,3587.2000122070312,-568.4999847412109,232.80000686645508,1845.3999328613281,255.0,190.0,False,-0.027398827064961814,1.932532944198109,0.0004034869204618388,False,4,False,6,0.0,False,,bab4d0f12eb,CiJey .-,12.0,3068.10009765625,-4167.27978515625,16.950000762939453,5588.800048828125,-9065.399780273438,18.799999952316284,-8.100000023841858,-4.799999892711639,0.0,128.0,128.0,,-0.00897702688624305,1.0183111623210341,-6.507399693014006e-07,True,255.0,False,False,4,4,,enpitsu,76561198039309853,26,2996.4599609375,3969.10009765625,17.049999237060547,3401.0000610351562,8700.800170898438,2.8999999165534973,-4.099999964237213,1.5000000596046448,0.0,255.0,128.0,,-0.016551270621992874,-1.198159997747702,-6.685315493512312e-06,True,False,255.0,False,False,False,40.0,games5425898691,bf81d8692db,24.0,-14.100000381469727,560.1900024414062,56.93000030517578,4734.4000244140625,-22341.59912109375,2672.6998901367188,2706.7999267578125,-30.999999046325684,-1255.6999969482422,128.0,128.0,-0.06416261540461564,-1.6266873592226807,0.016975249160739288,True,0.0,False,4,3,False,,
1,169,0,False,False,0,5448.286085324805,-124.73999786376953,-253.4199981689453,116.5,-25496.298828125,5406.199951171875,10050.399780273438,4144.100036621094,-276.5999984741211,4330.0,0.0,-0.28995751485040505,0.46660712035344537,0.602092102449445,bf81d8692db,games5425898691,24.0,-24.110000610351562,-377.44000244140625,75.56999969482422,-3728.2998657226562,18904.200439453125,1219.800033569336,-4543.500061035156,-2297.2999572753906,2080.500030517578,128.0,128.0,,0.697266726997519,1.5937110246356059,-0.05623818293222545,True,3,False,4,0.0,False,,76561198039309853,enpitsu,26.0,-3019.93994140625,-4029.14990234375,17.049999237060547,-2338.9999389648438,-5983.800048828125,2.8999999165534973,1.2999999523162842,-0.3999999910593033,0.0,255.0,128.0,,0.01633568329788731,1.1981588418230982,2.88889638046928e-06,True,255.0,False,False,False,False,,JaimeQuint96,b410453f7cb,15,-83.08999633789062,-82.20999908447266,100.55000305175781,-12133.00048828125,-19390.2001953125,2285.500030517578,4718.999938964844,-2824.2999267578125,60.59999942779541,255.0,25.0,False,0.39276930784896813,-1.7970328519866712,0.1650178309184213,False,5,0.0,False,6,False,,CiJey .-,bab4d0f12eb,12.0,-3104.659912109375,4226.60009765625,17.010000228881836,-5404.7998046875,8767.000122070312,4.1999998688697815,2.800000011920929,1.5999999642372131,0.0,128.0,128.0,0.009343808878744989,-1.0183121069679077,-7.697731567345954e-06,True,255.0,False,4,4,False,,
2,170,0,False,False,1,4884.456090472043,314.92999267578125,290.2300109863281,185.80999755859375,32108.40087890625,14100.0,11257.60009765625,4710.899963378906,534.1999816894531,-3677.0999145507812,1.0,0.25259516402904164,-0.4195129787629368,0.44251126670936886,b410453f7cb,JaimeQuint96,15.0,83.08999633789062,82.20999908447266,100.55000305175781,12133.00048828125,19390.2001953125,2285.500030517578,-4718.999938964844,2824.2999267578125,60.59999942779541,255.0,25.0,False,-0.39276930784896813,1.7970328519866712,0.1650178309184213,False,5,False,6,0.0,False,,bab4d0f12eb,CiJey .-,12.0,3145.610107421875,-4293.009765625,17.010000228881836,4264.100036621094,-6917.0001220703125,2.3999999463558197,1.0999999940395355,0.5999999865889549,0.0,255.0,128.0,,-0.00934906845507467,1.0183120838571282,1.723790461551829e-06,True,255.0,False,False,4,4,,enpitsu,76561198039309853,26,3034.56005859375,4066.56005859375,17.049999237060547,1276.9999694824219,3266.7999267578125,2.8999999165534973,-0.5000000074505806,0.09999999776482582,0.0,255.0,0.0,,-0.016302867120794186,-1.1981585896399947,-6.455035312545098e-06,True,False,255.0,False,False,False,,games5425898691,bf81d8692db,24.0,24.110000610351562,377.44000244140625,75.56999969482422,3728.2998657226562,-18904.200439453125,1219.800033569336,4543.500061035156,2297.2999572753906,2080.500030517578,128.0,128.0,-0.697266726997519,-1.5937110246356059,-0.05623818293222545,True,0.0,False,4,3,False,,
3,259,3,False,False,1,1260.766398991958,324.8599853515625,4016.02001953125,199.7899932861328,-2429.7999572753906,-13801.500244140625,-7463.900146484375,1669.1999816894531,-2178.9999389648438,5335.2001953125,1.0,0.0708525342857439,-0.3298151685190406,-0.19200896254437577,b410453f7cb,JaimeQuint96,15.0,202.22999572753906,3978.75,139.30999755859375,-5519.1998291015625,13526.800537109375,-5.899999737739563,-3995.5999755859375,3670.7000732421875,-900.0,255.0,0.0,False,-0.2965700239464165,0.8079563991629918,1.3904832578222786,True,7,False,8,31.0,False,,bab4d0f12eb,CiJey .-,12.0,473.760009765625,-2178.830078125,17.010000228881836,-12769.89990234375,14034.69970703125,2.199999988079071,0.29999999329447746,-0.7000000029802322,0.0,229.0,128.0,,-0.009578582801972551,0.8325567988223325,6.519938169121409e-05,True,201.0,False,False,4,4,,enpitsu,76561198039309853,26,426.92999267578125,4164.81005859375,263.70001220703125,-20948.30078125,-6770.5999755859375,1809.1999816894531,4694.2999267578125,-2492.2000122070312,-1414.6000671386719,255.0,255.0,,-0.21282693123248944,-0.07863454231231842,-0.7547976386886933,True,1,200.0,False,2,False,,games5425898691,bf81d8692db,24.0,-2491.669921875,-411.6300048828125,16.68000030517578,-16295.2001953125,6949.6002197265625,71.19999885559082,15.800000429153442,29.30000066757202,1431.4999389648438,255.0,253.0,-0.011493846748626168,0.3832238440232845,0.0004685336519118546,True,0.0,False,6,6,False,,
4,314,5,False,False,1,3261.397937635441,-111.0999984741211,2037.989990234375,159.25999450683594,1406.9999694824219,24064.89990234375,11782.39990234375,5935.5999755859375,-95.79999923706055,-871.2000274658203,1.0,0.8671318250176403,-0.3385737283519011,0.2179773876197548,bab4d0f12eb,CiJey .-,12.0,-138.52999877929688,1905.3800048828125,97.94999694824219,-1900.2999877929688,19859.3994140625,-1358.6000061035156,-4831.9000244140625,-1509.2999267578125,-2150.2999877929688,255.0,167.0,,-1.05738324846615,2.0456447879804,-1.0518571063534945,True,5,False,6,75.74885166332291,True,,b410453f7cb,JaimeQuint96,15.0,-750.239990234375,5319.33984375,16.989999771118164,154.3000030517578,-4139.599914550781,-97.20000267028809,-197.00000762939453,5.600000023841858,-420.0,202.0,128.0,,-0.0085190950029017,-1.6059678471488033,0.0011112918993711966,True,61.0,False,False,8,8,,enpitsu,76561198039309853,26,-2409.22998046875,3568.1298828125,17.020000457763672,5325.8001708984375,4174.800109863281,3.1999999284744263,-1.5000000596046448,-0.19999999552965164,1925.0,255.0,128.0,,-0.01661434977071324,2.519801261121205,0.0003349240727619285,True,2,118.54947965632209,True,2,False,,games5425898691,bf81d8692db,24.0,-2918.1201171875,2372.31005859375,17.0,14025.799560546875,18228.399658203125,1.1999999731779099,0.09999999776482582,0.3999999910593033,0.0,255.0,128.0,-0.009585352508376317,2.226636842883337,-3.742594670144083e-05,True,139.1327053885307,True,6,6,False,,
5,395,8,False,False,0,7907.769535790312,-186.64999389648438,-2735.889892578125,321.1199951171875,-3405.10009765625,25672.7001953125,-1302.5,2238.300018310547,5215.4998779296875,-1946.0000610351562,0.0,-1.3021726657972612,1.876444054101742,-0.42945267004250376,76561198039309853,enpitsu,26.0,-121.18000030517578,-2960.4599609375,212.47999572753906,-10297.2998046875,18751.400146484375,2385.8999633789062,-2016.6000366210938,-1303.699951171875,95.10000228881836,255.0,128.0,False,-0.16623652782259,2.1379503850026524,-0.01047231668477805,True,3,False,4,44.0,False,,bf81d8692db,games5425898691,24.0,89.45999908447266,-3435.489990234375,17.010000228881836,-8577.80029296875,21340.6005859375,0.0,0.0,0.09999999776482582,-156.99999809265137,255.0,128.0,,0.009597614411595555,1.9384036604265282,9.250537252209749e-05,True,15.342193585570163,True,False,6,6,,JaimeQuint96,b410453f7cb,15,1059.239990234375,-723.2999877929688,17.010000228881836,-4385.10009765625,21572.099609375,2.3000000417232513,0.7000000029802322,-2.199999988079071,-631.5000152587891,224.0,18.0,,0.009589015931616719,1.8018671718821824,-0.00036185706892211144,False,10,32.0,False,10,False,,CiJey .-,bab4d0f12eb,12.0,-394.57000732421875,-3363.699951171875,17.010000228881836,-1918.3000183105469,16198.599853515625,2.3999999463558197,-0.09999999776482582,1.0999999940395355,1451.0000610351562,255.0,255.0,0.009583111933569472,1.7043716126838568,0.00019749271425222365,True,0.0,False,6,6,False,,False
6,450,10,False,False,1,6901.225211042084,728.0,-1759.1800537109375,135.61000061035156,8849.500122070312,18856.099853515625,8649.199829101562,4359.200134277344,-1231.2999725341797,2954.4000244140625,1.0,0.18529961292782907,2.6058946462442023,0.9469675031954036,b410453f7cb,JaimeQuint96,15.0,602.52001953125,-1996.239990234375,46.209999084472656,15101.300048828125,9473.099975585938,3470.2999877929688,4.4999998807907104,3.700000047683716,2347.7000427246094,255.0,255.0,,-0.009569116582745948,2.4056279745974383,0.0001797106294921665,True,10,False,12,62.0,False,,bab4d0f12eb,CiJey .-,12.0,,,,,,,,,,,,,,,,False,,,,,,,enpitsu,76561198039309853,26,2732.93994140625,159.52000427246094,17.020000457763672,21843.798828125,1741.3999938964844,5.799999833106995,3.400000035762787,0.19999999552965164,-682.3000335693359,255.0,0.0,False,-0.016773688214849557,3.1079524663871685,8.252550093875262e-05,False,4,0.0,False,4,False,,games5425898691,bf81d8692db,24.0,2534.72998046875,1201.2099609375,17.020000457763672,10703.1005859375,13364.100341796875,1.0999999940395355,-2.5999999046325684,-3.100000023841858,1107.6000213623047,255.0,128.0,-0.009588716490414881,2.1772519136833344,-9.021967327598375e-05,False,0.0,False,6,6,False,,
7,550,14,False,False,0,9813.404283527996,-3586.669921875,-4297.330078125,293.6400146484375,-2717.0001220703125,7339.69970703125,5715.0,4401.600036621094,655.5000305175781,-4024.2999267578125,0.0,-1.205028159121492,1.2616673330526063,-1.7201847931664551,bf81d8692db,games5425898691,25.0,-3583.449951171875,-4446.7099609375,211.5399932861328,-6555.4998779296875,6984.7998046875,-1369.4999694824219,1488.699951171875,512.400016784668,500.60001373291016,255.0,232.0,,0.1332647437932246,2.3389760723032786,1.3871388349910905,True,6,False,6,255.0,False,,76561198039309853,enpitsu,26.0,-1482.93994140625,-2087.800048828125,17.049999237060547,10326.700439453125,-10990.50048828125,2.8999999165534973,-0.19999999552965164,-0.5000000074505806,0.29999999329447746,255.0,0.0,,0.016821225601558135,-0.8164678834033832,-1.6550569421805588e-05,True,102.0,False,False,4,4,,JaimeQuint96,b410453f7cb,15,,,,,,,,,,,,,,,,True,,,,,,,CiJey .-,bab4d0f12eb,12.0,-2784.949951171875,4381.7900390625,17.010000228881836,-3425.0,-6382.1002197265625,2.3000000417232513,0.29999999329447746,0.7999999821186066,-15.099999904632568,255.0,,0.009518725976531126,-2.065731774967357,8.178145107179047e-05,True,85.0,False,False,False,False,,
8,589,15,False,False,0,8947.635105156038,-3951.56005859375,-3269.739990234375,440.4700012207031,2098.6000061035156,8662.19970703125,-2160.800018310547,4049.89990234375,770.5999755859375,-3237.0999145507812,0.0,-0.15646427113921366,-1.993315057242536,-0.039879458807697304,bf81d8692db,games5425898691,24.0,-4079.25,-3362.2900390625,370.3999938964844,57.5,9648.900146484375,-936.9999694824219,-2654.89990234375,-201.10000610351562,-68.49999904632568,255.0,0.0,,0.10288083117168074,1.598781642584756,1.552232067263146,True,6,False,6,255.0,False,,76561198039309853,enpitsu,26.0,-801.7899780273438,-3995.1298828125,17.049999237060547,6244.000244140625,-12701.99951171875,3.4999999403953552,0.0,0.0,2171.7999267578125,255.0,255.0,True,0.01677941498742281,-1.0568312329827787,0.00011815630131611426,True,133.0,False,False,4,4,,JaimeQuint96,b410453f7cb,15,,,,,,,,,,,,,,,,True,,,,,,,CiJey .-,bab4d0f12eb,12.0,-3232.8798828125,2747.719970703125,17.010000228881836,-88.59999656677246,-16086.099853515625,0.0,0.0,1.5000000596046448,390.8000183105469,255.0,128.0,0.009601007900773402,-1.5431925224419536,-0.00016505631449540746,True,217.47534617300957,True,False,False,False,,
9,609,16,False,False,0,8314.726353809427,-3796.010009765625,-2652.60009765625,128.1300048828125,7427.80029296875,11839.49951171875,-978.0999755859375,1589.1999816894531,-108.90000343322754,-1388.2000732421875,0.0,-0.9680544858523343,1.8390165516688555,-2.1283499890805766,bf81d8692db,games5425898691,24.0,-3905.389892578125,-2780.97998046875,28.079999923706055,7587.60009765625,8585.700073242188,-2227.5999450683594,-131.70000076293945,-3435.7000732421875,122.10000038146973,255.0,128.0,,0.17823178734439163,0.8226623325369304,0.2240502852322535,True,6,False,6,236.2110021550168,True,,76561198039309853,enpitsu,26.0,-107.38999938964844,-4614.1298828125,17.049999237060547,8370.599975585938,-4266.300048828125,2.8999999165534973,-3.0000001192092896,-3.700000047683716,2582.7999877929688,0.0,128.0,False,0.016685878757755488,1.3197870093369035,0.00029405601744267405,True,133.0,False,False,4,4,,JaimeQuint96,b410453f7cb,15,,,,,,,,,,,,,,,,True,,,,,,,CiJey .-,bab4d0f12eb,12.0,-3176.52001953125,1492.219970703125,17.010000228881836,967.2000122070312,-19432.5,2.199999988079071,0.0,-0.7000000029802322,0.09999999776482582,253.0,128.0,0.009602247406684129,-1.521032944899695,-5.8670305752882464e-05,True,191.0,False,False,False,False,,
