,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect,shot_taker_handbrake
0,170,0,False,False,1,5161.851437566478,-5.329999923706055,57.45000076293945,157.39999389648438,4525.799865722656,26103.89892578125,9755.999755859375,3837.9998779296875,-2017.7999877929688,-4146.9000244140625,1.0,-0.012624315929537595,0.47705363112260396,-0.2944696828764859,30ede34f15234a558b3594e92eb7afb6,games5425898691,20.0,-59.70000076293945,-64.77999877929688,92.26000213623047,-5076.400146484375,17348.199462890625,-672.6000213623047,-3282.60009765625,1924.4000244140625,-3971.199951171875,128.0,178.0,-1.3033660982883588,2.292337553221017,-0.4509553829131808,True,0.0,False,4,3,False,,76561198039309853,enpitsu,27.0,47.869998931884766,-80.9000015258789,112.88999938964844,-10351.199951171875,9064.299926757812,2035.5000305175781,-3622.6998901367188,-4137.200012207031,93.29999923706055,255.0,128.0,,-1.2665406890071649,0.4497495444726268,-0.008671243020553958,True,2,False,1,0.0,False,,héhéhé is back,76561198397404879,3.0,-1.0299999713897705,183.47000122070312,96.55000305175781,10750.30029296875,-7971.5997314453125,-1561.1000061035156,3670.1998901367188,2019.9000549316406,-3563.5000610351562,255.0,77.0,,-0.3609595592128537,1.1455051541856842,-3.1214133852388612,True,4.0,False,3,False,4,,N E V E K,76561198343350165,5.0,3087.6298828125,4457.18994140625,17.010000228881836,-4928.900146484375,12485.2001953125,2.5999999046325684,0.5000000074505806,-1.0000000149011612,2751.099853515625,255.0,255.0,False,-0.009590394686761403,1.0687440052715256,7.280294569287136e-05,True,255.0,False,4,4,False,,
1,262,3,False,False,0,10177.227476262076,-346.4599914550781,-5022.3798828125,143.94000244140625,3958.800048828125,6550.10009765625,7900.5999755859375,5329.69970703125,-1883.699951171875,2011.300048828125,0.0,-0.12811709356061501,-0.951375349110744,0.04316961191735172,76561198343350165,N E V E K,5.0,-410.2900085449219,-5165.830078125,62.13999938964844,7787.0001220703125,2349.2999267578125,-167.39999771118164,-5171.500244140625,-1202.3999786376953,-1435.0,0.0,255.0,-0.005662406021255771,0.1370815917507565,-2.772555721892944,True,198.54692463721,True,4,5,False,,76561198397404879,héhéhé is back,3.0,-3268.949951171875,142.63999938964844,17.0,-13969.100341796875,-589.3000030517578,3.6000001430511475,1.1999999731779099,-0.19999999552965164,2059.9000549316406,243.0,255.0,,0.009558303540032667,-3.0503383835526328,0.00012859694962711073,True,4,False,4,0.0,False,,enpitsu,76561198039309853,27.0,2840.6298828125,-102.94999694824219,17.059999465942383,11498.499755859375,6344.1998291015625,1.899999976158142,-0.29999999329447746,-0.19999999552965164,2271.699981689453,255.0,255.0,,0.016740793717083903,0.5640227843632957,4.805884875266976e-05,True,0.0,False,2,False,2,,games5425898691,30ede34f15234a558b3594e92eb7afb6,20.0,3507.050048828125,-115.01000213623047,15.789999961853027,13509.100341796875,11797.2998046875,-19.09999966621399,623.1999969482422,218.4000015258789,641.6999816894531,255.0,255.0,,0.011358933430772752,0.7485112518871005,0.007898529838501577,True,255.0,False,6,6,False,190.0,True
2,332,5,False,False,0,8687.358730430822,612.5900268554688,-3415.3701171875,132.5800018310547,2619.7000122070312,12904.7998046875,3139.2001342773438,3963.5000610351562,1714.7999572753906,201.10000610351562,0.0,0.29975989808499576,0.2809399307931768,1.9789482488274088,76561198343350165,N E V E K,5.0,582.5900268554688,-3636.22998046875,72.08000183105469,1296.9999694824219,9302.999877929688,-3471.199951171875,-167.09999084472656,-5.899999737739563,305.2000045776367,255.0,128.0,-0.0941885093287497,1.4411804754022366,0.03980373037471671,True,186.0,False,6,6,False,,76561198397404879,héhéhé is back,3.0,-2600.60009765625,-2998.449951171875,17.010000228881836,14490.0,-2993.599853515625,2.0999999344348907,-2.3000000417232513,0.3999999910593033,73.60000133514404,234.0,51.0,False,0.009575730250583636,-0.15712672867241545,-0.00023976173782825488,True,6,False,6,255.0,False,,enpitsu,76561198039309853,27.0,3775.47998046875,3697.27001953125,17.059999465942383,5545.5999755859375,13766.099853515625,1.8000000715255737,0.0,-0.3999999910593033,2978.900146484375,255.0,255.0,True,0.01677552321361858,1.633833146971317,7.84918317773495e-05,True,,False,4,False,4,,games5425898691,30ede34f15234a558b3594e92eb7afb6,20.0,1723.4000244140625,3034.830078125,16.989999771118164,-12254.3994140625,-10745.2001953125,4.799999892711639,0.3999999910593033,0.09999999776482582,2015.5000305175781,255.0,255.0,,0.009572484539145918,-2.3521993787193036,4.26695533368048e-05,True,211.85152692179526,True,6,6,False,,
3,373,7,False,False,0,7038.539276449463,975.5700073242188,-1645.1500244140625,136.4600067138672,-4572.699890136719,13002.60009765625,3570.10009765625,3225.5999755859375,3268.699951171875,3861.300048828125,0.0,0.6917166470542361,0.07365580323922252,-0.2528501056837552,76561198343350165,N E V E K,5.0,1075.6700439453125,-1659.77001953125,16.600000381469727,-1770.0999450683594,18215.10009765625,-200.0,342.79998779296875,-193.89999389648438,2320.2000427246094,255.0,255.0,0.003175677215255168,1.7452108203626902,-0.004700388345367479,True,112.94637423176918,True,6,6,False,,76561198397404879,héhéhé is back,4.0,-488.6199951171875,-3203.820068359375,17.010000228881836,12425.50048828125,6417.2998046875,2.0999999344348907,0.29999999329447746,0.19999999552965164,363.3000183105469,241.0,128.0,False,0.009577153351876448,0.5150300578321042,-0.0002057585665925061,True,6,False,6,255.0,False,,enpitsu,76561198039309853,27.0,2941.7099609375,4156.259765625,17.059999465942383,-8560.0,-7805.5999755859375,1.1999999731779099,1.899999976158142,1.0000000149011612,741.1000061035156,255.0,128.0,False,0.016703619359608297,-2.347317109404602,-0.00025417393234865727,True,255.0,False,4,False,4,,games5425898691,30ede34f15234a558b3594e92eb7afb6,20.0,1157.1800537109375,737.6099853515625,16.989999771118164,-4064.8001098632812,-14740.999755859375,4.600000083446503,0.0,0.19999999552965164,-103.69999885559082,255.0,128.0,,0.009601601082810144,-1.8511228828478108,6.304311574055066e-05,True,205.0,False,6,6,False,,
4,382,7,False,False,0,6586.089317925063,807.3499755859375,-1222.010009765625,233.2100067138672,-8809.099731445312,6252.60009765625,6196.199951171875,955.1999664306641,4810.899963378906,3455.7000732421875,0.0,0.042826735310056804,2.3031776401609125,1.2363557500832973,76561198343350165,N E V E K,5.0,842.7999877929688,-1156.6800537109375,96.83000183105469,-11889.000244140625,12781.700439453125,2145.399932861328,3495.7000732421875,-2014.6000671386719,2043.2000732421875,0.0,255.0,0.021948183609131325,2.323246638727454,-0.7712195801881709,True,110.0,False,8,7,False,,76561198397404879,héhéhé is back,4.0,-102.69000244140625,-2980.9599609375,17.010000228881836,12127.5,7190.5999755859375,2.0999999344348907,0.29999999329447746,0.5999999865889549,1.899999976158142,241.0,128.0,False,0.009564485789232436,0.5355442551097794,-5.5488719867064865e-05,True,6,False,6,255.0,False,,enpitsu,76561198039309853,27.0,2663.860107421875,3860.199951171875,17.059999465942383,-8663.300170898438,-9266.900024414062,1.7000000178813934,4.1999998688697815,4.300000071525574,-566.1999893188477,255.0,0.0,False,0.01672026659212481,-2.31078527356381,-0.00014299020792161088,True,255.0,False,4,False,4,,games5425898691,30ede34f15234a558b3594e92eb7afb6,20.0,1038.8599853515625,241.99000549316406,64.41999816894531,-2912.9998779296875,-15369.3994140625,2980.4998779296875,-1123.0000305175781,101.5999984741211,606.8999862670898,255.0,16.0,,-0.0473331080035096,-1.6285240609518257,-0.0012823938800000394,True,198.67533768376995,True,8,6,False,,True
5,439,9,False,False,0,5091.878645716792,-967.969970703125,48.630001068115234,103.5199966430664,-3538.2998657226562,20750.6005859375,645.5999755859375,-317.2999954223633,1296.300048828125,5849.6002197265625,0.0,0.11033103303908308,2.2993108212719116,1.190148714945252,76561198397404879,héhéhé is back,4.0,-997.02001953125,-103.23999786376953,15.84000015258789,-2962.5,14558.199462890625,-952.7999877929688,-2095.2999877929688,2638.0999755859375,-1836.6999816894531,255.0,138.0,0.024971862207581463,1.6752955355300931,0.025526851162649012,False,202.7153548322698,True,6,6,False,17.0,76561198343350165,N E V E K,5.0,-1629.1400146484375,845.4500122070312,17.010000228881836,-11485.30029296875,7625.30029296875,2.0999999344348907,0.5000000074505806,-0.5000000074505806,-18.200000524520874,255.0,128.0,False,0.009565435692226436,2.5527242489515825,7.021615949782805e-05,True,8,False,8,110.0,False,,enpitsu,76561198039309853,27.0,-126.44000244140625,2237.159912109375,17.059999465942383,-9099.000244140625,-5105.7000732421875,1.1999999731779099,1.8000000715255737,-1.4000000059604645,-158.29999923706055,255.0,0.0,False,0.017212585939777758,-2.650021080052087,0.0001408355505140849,True,201.0,False,4,False,4,,games5425898691,30ede34f15234a558b3594e92eb7afb6,20.0,-1530.489990234375,-3250.239990234375,17.0,-20818.60107421875,-1504.9000549316406,2.7000001072883606,0.0,-0.09999999776482582,-2011.9000244140625,255.0,0.0,,0.0095758028592698,3.13523203547129,-1.4269689232457669e-05,True,180.7153548322698,True,8,8,False,,False
6,469,10,False,False,0,2998.163608673894,-1323.9100341796875,2172.530029296875,93.13999938964844,-2934.1000366210938,17895.50048828125,0.0,-4678.299865722656,-159.89999771118164,3753.2998657226562,0.0,0.7405840868986326,2.605719874508838,0.49201715943405644,76561198397404879,héhéhé is back,4.0,-1406.949951171875,2008.6600341796875,148.52999877929688,-2749.89990234375,22806.10107421875,1147.5,-1138.3000183105469,-71.79999828338623,-472.90000915527344,251.0,35.0,0.15663876287587647,1.5697260567069877,-0.001515139327362628,False,114.0,False,8,6,False,,76561198343350165,N E V E K,5.0,-3072.580078125,922.47998046875,17.010000228881836,-13208.1005859375,-4916.300048828125,2.0999999344348907,-0.5999999865889549,0.0,76.10000133514404,255.0,128.0,False,0.009602161765118722,-2.7753467404263112,-9.261681115172508e-05,False,8,False,8,141.0,False,,enpitsu,76561198039309853,27.0,-1158.699951171875,2338.280029296875,133.36000061035156,-14750.6005859375,1170.2999877929688,3218.699951171875,-167.99999237060547,-5003.399963378906,214.20000076293945,255.0,128.0,False,0.4874460234970554,3.129782739864419,0.00868754994649265,True,190.0,False,5,False,6,,games5425898691,30ede34f15234a558b3594e92eb7afb6,20.0,-3063.949951171875,-1530.989990234375,92.02999877929688,-7041.6998291015625,21846.79931640625,515.6999969482422,-5335.30029296875,-1335.3999328613281,-19.90000009536743,255.0,128.0,,1.1985493308700446,1.8067242955067322,-0.009717757771296529,True,128.0,False,10,9,False,,False
7,471,11,False,False,0,2911.405797144967,-1362.4300537109375,2266.199951171875,90.5199966430664,-3584.5001220703125,16686.700439453125,-1399.4999694824219,-5685.4998779296875,1072.0999908447266,1588.9999389648438,0.0,0.8807811695513919,-2.8806612457332323,1.1458946641094998,76561198397404879,héhéhé is back,4.0,-1406.949951171875,2008.6600341796875,148.52999877929688,-2749.89990234375,22806.10107421875,1147.5,-1138.3000183105469,-71.79999828338623,-472.90000915527344,251.0,35.0,0.15663876287587647,1.5697260567069877,-0.001515139327362628,False,114.0,False,8,6,False,,76561198343350165,N E V E K,5.0,-3182.409912109375,880.77001953125,17.010000228881836,-13161.800537109375,-5052.900085449219,2.0999999344348907,-0.5999999865889549,0.0,19.299999475479126,255.0,128.0,False,0.009602297643051434,-2.772141882346811,-7.722986846905508e-05,False,8,False,8,141.0,False,,enpitsu,76561198039309853,27.0,-1158.699951171875,2338.280029296875,133.36000061035156,-14750.6005859375,1170.2999877929688,3218.699951171875,-167.99999237060547,-5003.399963378906,214.20000076293945,255.0,128.0,False,0.4874460234970554,3.129782739864419,0.00868754994649265,True,190.0,False,5,False,6,,games5425898691,30ede34f15234a558b3594e92eb7afb6,20.0,-3122.64990234375,-1348.8900146484375,91.66999816894531,-7042.5,21851.79931640625,-161.10000610351562,-5331.7999267578125,-1349.1999816894531,-21.700000762939453,255.0,123.0,,1.340082096427603,-1.3060044093066252,-3.1212803585011897,True,128.0,False,10,9,False,,False
8,472,11,False,False,1,7456.341077419008,1386.050048828125,-2300.219970703125,93.69999694824219,9159.600219726562,-7131.199951171875,709.5999908447266,3424.1000366210938,2321.4999389648438,-412.00000762939453,1.0,-0.8798666800932466,2.674794580620996,1.3795375061757247,76561198039309853,enpitsu,27.0,1260.989990234375,-2377.449951171875,163.5800018310547,9796.300048828125,-8318.400268554688,3832.9000854492188,572.2999954223633,4397.39990234375,-3253.3999633789062,255.0,128.0,-0.9979852035439342,-2.7016176197725694,-0.01153259865432125,True,190.0,False,6,5,False,,30ede34f15234a558b3594e92eb7afb6,games5425898691,20.0,3122.64990234375,1348.8900146484375,91.66999816894531,7042.5,-21851.79931640625,-161.10000610351562,5331.7999267578125,1349.1999816894531,-21.700000762939453,255.0,123.0,,-1.340082096427603,1.3060044093066252,-3.1212803585011897,True,10,False,9,128.0,False,,héhéhé is back,76561198397404879,4.0,1445.1600341796875,-2173.300048828125,166.14999389648438,6700.9002685546875,-16244.3994140625,3018.699951171875,-3465.7000732421875,4166.400146484375,-181.10000610351562,246.0,128.0,False,-0.02441881200585722,-1.5193079446357984,-0.20622929328686576,False,114.0,False,6,False,8,,N E V E K,76561198343350165,5.0,3182.409912109375,-880.77001953125,17.010000228881836,13161.800537109375,5052.900085449219,2.0999999344348907,0.5999999865889549,-0.0,19.299999475479126,255.0,128.0,False,-0.009602297643051434,2.772141882346811,-7.722986846905508e-05,False,141.0,False,8,8,False,,False
9,489,11,False,False,1,7932.192615796818,1913.43994140625,-2726.669921875,93.1500015258789,7726.099853515625,-6384.0997314453125,0.0,4184.2999267578125,4287.9998779296875,-322.2999954223633,1.0,0.6079783769026076,2.339579787648106,-1.4654990327051618,76561198039309853,enpitsu,27.0,1823.0699462890625,-2880.18994140625,181.0500030517578,9563.300170898438,-8578.400268554688,-262.7000045776367,2746.9000244140625,4428.0999755859375,-544.1999816894531,128.0,128.0,1.1223359926440035,-2.8052556013121435,-0.24204789940804827,True,190.0,False,6,6,False,,30ede34f15234a558b3594e92eb7afb6,games5425898691,20.0,3584.27001953125,-82.04000091552734,62.77000045776367,7016.6998291015625,-21755.2001953125,-1628.0000305175781,2575.7000732421875,644.1999816894531,-12.599999904632568,255.0,128.0,,0.5626870909776914,-1.8192487956504844,-0.005772788466271651,True,10,False,10,128.0,False,,héhéhé is back,76561198397404879,4.0,1767.1700439453125,-3123.5400390625,328.19000244140625,4878.900146484375,-15040.699462890625,949.8000335693359,-1154.800033569336,2578.2000732421875,4718.900146484375,221.0,129.0,True,0.028386553273142684,2.8485503582275333,-1.9573194868278918,True,114.0,False,6,False,8,,N E V E K,76561198343350165,5.0,3733.429931640625,-234.97999572753906,17.010000228881836,393.4000015258789,13129.89990234375,2.5999999046325684,-0.0,-0.19999999552965164,2935.5999755859375,255.0,255.0,False,-0.009566265188007779,1.4457089132902023,7.163027301483923e-05,True,141.0,False,8,8,False,,False
