,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,173,0,False,True,1,5151.204101765481,10.420000076293945,65.48999786376953,106.72000122070312,4004.8001098632812,27597.39990234375,5769.7998046875,-461.5999984741211,26.400001049041748,281.200008392334,1.0,0.0006825998451959852,-0.007025606902450571,0.011558787549207816,bf81d8692db,games5425898691,23.0,-29.260000228881836,-257.3999938964844,21.979999542236328,1824.9000549316406,20453.399658203125,2998.9999389648438,0.3999999910593033,3.8999998569488525,-997.0999908447266,255.0,101.0,,-0.00958974519114355,1.7137545195029087,7.826020460243378e-05,True,4,False,11.0,False,False,,76561198039309853,enpitsu,27.0,69.79000091552734,-4447.3701171875,17.049999237060547,804.1000366210938,7415.3997802734375,2.5999999046325684,-0.09999999776482582,-0.9000000357627869,-83.50000381469727,255.0,128.0,,-0.016637220994189465,1.6880727328775085,0.0001162595451671236,True,116.0,False,False,False,False,,brunozzzZ_,51c1771d3b234feab856731bf9ed6d83,15.0,-1677.2099609375,2189.2099609375,17.010000228881836,9242.899780273438,-9242.999877929688,0.0,0.29999999329447746,0.3999999910593033,0.0,255.0,,,-0.009522708365967199,-2.3561837428718184,-2.953443865567536e-06,True,False,False,False,46.51787500740379,True,,S1lva,76561198311210071,15.0,3064.239990234375,4111.33984375,17.010000228881836,9590.599975585938,14779.100341796875,2.3000000417232513,-0.09999999776482582,-0.09999999776482582,1958.2000732421875,255.0,255.0,,-0.009572649581276637,2.076832921524727,2.2963224645320514e-05,True,255.0,False,False,False,False,
1,219,1,False,False,0,9691.760176138197,-624.6199951171875,-4547.9599609375,176.3300018310547,21626.79931640625,-294.7999954223633,10610.2001953125,4992.5,-3024.2001342773438,-1388.5000610351562,0.0,-0.38414061715613956,0.3251547768799279,0.8872065713157548,76561198311210071,S1lva,15.0,-807.2899780273438,-4630.31982421875,97.16999816894531,20501.39892578125,10182.999877929688,2122.7999877929688,-4138.699951171875,3542.60009765625,755.1999664306641,255.0,255.0,,0.5094231246712083,-0.01794651587868043,-0.4244771010571596,True,4,3,193.0,False,False,,51c1771d3b234feab856731bf9ed6d83,brunozzzZ_,15.0,-558.7000122070312,-3386.22998046875,79.70999908447266,-7371.5997314453125,-17604.69970703125,-1344.7000122070312,2052.7999877929688,954.1999816894531,1560.2000427246094,128.0,128.0,False,-0.17144449244744792,-2.1857947255242665,0.848372685337324,True,0.0,False,4,False,4,,enpitsu,76561198039309853,27.0,389.1400146484375,2363.7900390625,17.049999237060547,14537.39990234375,-13953.900146484375,-2.3000000417232513,0.7000000029802322,-1.0000000149011612,79.20000076293945,255.0,128.0,,0.01679541770435066,-0.7565158380474665,-8.546022447160927e-05,True,False,False,False,56.43740217660063,True,,games5425898691,bf81d8692db,23.0,-449.3699951171875,-3578.35009765625,16.899999618530273,7569.89990234375,-21511.79931640625,25.09999990463257,5.299999713897705,10.199999809265137,1998.2000732421875,255.0,255.0,,0.009054393711867784,-1.1501207121636523,0.000708264970676302,True,0.0,False,4,False,4,
2,307,4,False,False,1,4925.683884215186,-3481.39990234375,2881.52001953125,324.05999755859375,16180.899658203125,23475.0,8472.80029296875,5227.2998046875,-2814.8001098632812,-867.0999908447266,1.0,-0.1548401110392805,0.7115962039427685,0.5660121713989177,76561198039309853,enpitsu,27.0,-3595.5400390625,2633.4599609375,223.72000122070312,10924.49951171875,20183.800048828125,1451.9999694824219,310.79999923706055,2143.000030517578,144.3000030517578,255.0,0.0,,0.10438500855027208,1.6794340012275006,0.018726051810191494,True,2,1,212.0,False,False,,bf81d8692db,games5425898691,23.0,-4078.989990234375,1784.8800048828125,536.1799926757812,2.7000001072883606,-19417.7001953125,458.4000015258789,72.69999980926514,-0.5999999865889549,0.0,255.0,128.0,,0.028678272030826846,-1.5612017751878169,-1.570616683956495,True,255.0,False,4,False,4,,brunozzzZ_,51c1771d3b234feab856731bf9ed6d83,16.0,-3464.429931640625,4466.58984375,117.43000030517578,-6476.7999267578125,-7593.699951171875,-371.5999984741211,1541.1000061035156,-4130.4998779296875,3288.2998657226562,255.0,255.0,,-0.7248793461624626,-1.2045409688820023,-1.1548457817431794,True,6,False,6,,False,,S1lva,76561198311210071,16.0,-1366.260009765625,4980.64990234375,21.68000030517578,6621.300048828125,-2061.9000244140625,-475.40000915527344,-1783.6000061035156,251.5999984741211,158.29999923706055,128.0,128.0,False,-0.04863670037356811,-2.8050716828798885,0.17827041288978596,True,193.0,False,4,False,4,
3,368,7,False,False,0,8564.777490964432,606.4299926757812,-3291.969970703125,320.5799865722656,1677.7999877929688,26986.69921875,-558.1999969482422,4960.199890136719,2866.4999389648438,-1783.0000305175781,0.0,0.490923713038503,1.0180460851103794,1.4110785964269028,76561198311210071,S1lva,15.0,525.3599853515625,-3496.510009765625,202.32000732421875,-4655.7000732421875,22353.40087890625,2765.2999877929688,-2550.399932861328,-1908.3999633789062,-3664.8001098632812,128.0,255.0,False,-0.3774985444366092,0.4308462408620652,0.14654631353429065,True,6,5,89.39286001010613,True,False,,51c1771d3b234feab856731bf9ed6d83,brunozzzZ_,16.0,1931.5799560546875,-4059.419921875,26.299999237060547,-12069.69970703125,2923.2000732421875,-2738.2998657226562,-1857.5,-705.5999755859375,-352.09999084472656,255.0,128.0,False,0.039473446675007094,2.9777224710404977,-0.1736487449771199,True,,False,8,False,8,,enpitsu,76561198039309853,27.0,1704.989990234375,-4515.3798828125,17.030000686645508,-3036.400146484375,14258.199462890625,1.5999999642372131,-0.7000000029802322,0.7000000029802322,-2185.7000732421875,255.0,128.0,,0.016755936437817733,1.7162103390636352,-4.1834395583747826e-05,True,2,False,2,108.70276962300785,True,,games5425898691,bf81d8692db,23.0,1062.5,-213.9499969482422,17.010000228881836,-14877.7001953125,14244.7998046875,2.3000000417232513,-0.3999999910593033,0.19999999552965164,-2013.6000061035156,255.0,0.0,,0.009576424646109265,2.299256467493691,-3.9694137102694205e-05,True,172.0,False,4,False,4,
4,441,9,False,False,1,8207.401997537047,-1064.8699951171875,-2829.719970703125,102.83000183105469,-9084.400024414062,764.7000122070312,3088.599853515625,2398.300018310547,-2576.7999267578125,2860.10009765625,1.0,1.329697852427475,-0.07094805720903717,1.1552436650376712,bf81d8692db,games5425898691,23.0,-950.510009765625,-2941.929931640625,52.150001525878906,-1253.7999725341797,35.79999923706055,3603.2998657226562,103.99999618530273,-611.1000061035156,-801.5000152587891,255.0,128.0,,-0.027379190677484396,-0.13737048743714883,-0.0007825436978516552,True,6,4,203.0,False,False,,76561198039309853,enpitsu,27.0,-3102.6298828125,-808.75,17.030000686645508,-5727.7001953125,-21379.89990234375,5.099999904632568,-0.09999999776482582,-0.09999999776482582,12.400000095367432,255.0,128.0,,-0.016786955036473573,-1.3104058387287831,-2.0441514672307542e-05,True,51.0,False,2,False,2,,brunozzzZ_,51c1771d3b234feab856731bf9ed6d83,16.0,3229.10009765625,3598.89990234375,16.989999771118164,7953.800048828125,-19154.000244140625,4.799999892711639,-0.0,0.09999999776482582,-2053.3999633789062,255.0,0.0,False,-0.009580755877561083,-1.8798152767534162,9.701044907997056e-06,True,10,False,10,0.0,False,,S1lva,76561198311210071,15.0,-854.9099731445312,-2267.68994140625,141.7899932861328,-11426.600341796875,-19794.49951171875,2571.0000610351562,-0.0,-0.0,-110.10000228881836,128.0,128.0,False,-0.009616020125729048,-0.9832656532081228,0.0002474563848092751,True,6.9880173975421505,True,8,False,6,
5,446,9,False,False,0,3147.346637852148,1256.97998046875,2844.25,137.14999389648438,22243.30078125,16669.69970703125,-3896.300048828125,-5085.899963378906,1027.0999908447266,-3012.9998779296875,0.0,-0.6506704346226492,0.8585589473538418,0.7733044300580348,76561198311210071,S1lva,15.0,1115.06005859375,2714.800048828125,180.3000030517578,11586.400146484375,19827.19970703125,952.6000213623047,0.0,0.0,-70.39999961853027,128.0,128.0,False,0.009618003223882022,0.9634042962955075,0.00015195147042391604,True,8,6,0.0,False,False,,51c1771d3b234feab856731bf9ed6d83,brunozzzZ_,16.0,-3302.780029296875,-3252.0,37.709999084472656,-1611.199951171875,20041.700439453125,3270.7000732421875,0.0,-1.899999976158142,-2155.8999633789062,128.0,128.0,True,0.009561987155664952,1.5186061506061368,-3.588151255416835e-05,True,0.0,False,12,False,10,,enpitsu,76561198039309853,27.0,3202.330078125,1183.010009765625,17.030000686645508,5684.6002197265625,21390.2001953125,5.099999904632568,0.09999999776482582,0.09999999776482582,0.9000000357627869,255.0,128.0,,0.01678696223747029,1.3111681259879455,-1.4043731576431639e-05,True,2,False,2,51.0,False,,games5425898691,bf81d8692db,23.0,1062.989990234375,3008.389892578125,97.6500015258789,5822.39990234375,3308.0999755859375,87.5,-2542.2999572753906,4820.799865722656,-738.6000061035156,255.0,194.0,,1.2817594999810007,-0.5300054063988617,-1.040475113806944,True,203.0,False,6,False,5,
6,518,12,False,False,1,10437.87242744431,-3533.449951171875,-4311.41015625,1255.3599853515625,-2136.300048828125,15421.99951171875,3945.8999633789062,1877.8999328613281,-3086.300048828125,-4790.299987792969,1.0,-0.5054659227319268,2.5738897754789565,-2.6992193001422526,76561198039309853,enpitsu,27.0,-3514.239990234375,-4478.169921875,1223.3499755859375,-5589.0997314453125,9470.999755859375,3577.0999145507812,-1692.8999328613281,-2336.4999389648438,1602.2999572753906,255.0,0.0,,0.16113712077362582,0.7317595787459298,1.5589476063928482,True,4,3,238.0,False,False,,bf81d8692db,games5425898691,23.0,-2273.0400390625,-4931.10009765625,17.270000457763672,-10361.700439453125,-8377.80029296875,156.19999885559082,-775.5999755859375,128.100004196167,-1622.2999572753906,255.0,110.0,,-0.0002857896679430154,-0.6217851076632852,0.00872184332039531,True,233.0,False,6,False,6,,brunozzzZ_,51c1771d3b234feab856731bf9ed6d83,16.0,2000.6300048828125,33.59000015258789,97.5199966430664,-22059.89990234375,-6501.7999267578125,-289.6999931335449,4647.799987792969,-2940.4000854492188,-31.400001049041748,255.0,255.0,True,-0.5337784349891707,0.9189260930403257,-2.195355434042703,True,13,False,14,157.92448157905247,True,,S1lva,76561198311210071,15.0,-2845.5400390625,-3654.60009765625,90.47000122070312,-6379.5001220703125,14349.3994140625,2481.300048828125,-2654.8001098632812,-4672.39990234375,1170.4000091552734,255.0,255.0,False,-0.4170272595016649,1.310250198476691,-0.27127979446968536,False,0.0,False,10,False,7,
7,582,14,False,False,1,7705.051278857002,-3987.820068359375,-819.5399780273438,427.9599914550781,2840.8999633789062,21036.99951171875,-8982.7001953125,1280.7000732421875,-2940.10009765625,-3826.7999267578125,1.0,0.19239855880330403,-2.6612058331962887,-2.337136821135109,76561198039309853,enpitsu,27.0,-4077.27001953125,-1016.5,413.57000732421875,2857.3001098632812,19930.999755859375,-11116.8994140625,-265.79999923706055,-47.39999771118164,81.30000114440918,255.0,128.0,,-0.48856239809371593,1.5338445037043016,1.577527735445995,True,6,5,165.8642150202105,True,False,,bf81d8692db,games5425898691,23.0,-3722.3701171875,-2702.14990234375,17.010000228881836,-1210.8000183105469,14699.100341796875,2.0999999344348907,-0.0,2.3999999463558197,-375.49999237060547,255.0,128.0,,-0.009601078965248498,1.5127386062814892,2.691002341817846e-05,True,225.0,False,6,False,6,,brunozzzZ_,51c1771d3b234feab856731bf9ed6d83,16.0,-3189.679931640625,-448.9800109863281,34.58000183105469,-22690.6005859375,2144.7999572753906,3087.39990234375,0.19999999552965164,0.5000000074505806,0.0,255.0,,,-0.009641676310676134,0.09425631692496578,2.5941492720589045e-05,True,14,False,16,52.58452490324612,True,,S1lva,76561198311210071,15.0,-4005.050048828125,216.72999572753906,215.33999633789062,-1267.7999877929688,18658.499755859375,1162.9000091552734,-2501.6000366210938,422.79998779296875,-859.8999786376953,255.0,0.0,,0.5285609485553728,1.5385271670494465,-0.12526020057844411,False,,False,12,False,10,
8,589,15,False,False,0,6889.557808240611,3970.169921875,262.8699951171875,196.3300018310547,21646.8994140625,-29149.69970703125,-1814.6000671386719,1856.9000244140625,949.7000122070312,-5625.8001708984375,0.0,-0.35997390931760553,1.2685902655916852,-1.5391503724313984,51c1771d3b234feab856731bf9ed6d83,brunozzzZ_,16.0,3809.919921875,390.2900085449219,100.87999725341797,20396.500244140625,-2217.5,512.2000122070312,534.1999816894531,-5422.2998046875,-749.8000335693359,128.0,255.0,,-0.48500310332952945,0.23297639847662524,-0.08205637316541542,True,16,14,36.0,False,False,,76561198311210071,S1lva,15.0,4036.830078125,-700.6199951171875,223.72000122070312,327.90000915527344,-18545.2001953125,-417.90000915527344,4559.100036621094,-2533.6000061035156,554.0000152587891,255.0,128.0,,0.3511001356428192,-1.9239410341309247,-0.05382130437546371,False,,False,12,False,10,,enpitsu,76561198039309853,27.0,4010.25,566.3099975585938,172.50999450683594,-5381.300048828125,-19334.000244140625,-7822.19970703125,-619.0000152587891,3478.599853515625,4214.89990234375,255.0,128.0,,0.6340224141044547,-0.9334470521285834,1.7285234117663384,True,5,False,6,160.0,False,,games5425898691,bf81d8692db,23.0,3741.1201171875,2223.909912109375,17.010000228881836,-413.69998931884766,-14663.800048828125,2.199999988079071,0.0,0.7999999821186066,-1534.6000671386719,255.0,0.0,,0.009595546106161972,-1.6127276297148863,-0.0002088388735170948,True,255.0,False,6,False,6,
9,692,18,True,True,1,1714.8686999901047,-635.1699829101562,4367.7998046875,250.8699951171875,-702.3999786376953,29951.298828125,2656.099853515625,-395.40000915527344,2253.800048828125,4204.100036621094,1.0,-0.6931160976723769,2.294694635978559,-1.9758197429854645,bf81d8692db,games5425898691,23.0,-630.6500244140625,4098.08984375,197.44000244140625,5577.0001220703125,22254.89990234375,1616.3999938964844,-2445.500030517578,4447.099914550781,-643.7999725341797,255.0,0.0,,0.2623215208448782,1.676937852724261,0.14716818394925343,True,8,7,117.0168172492776,True,False,,76561198039309853,enpitsu,27.0,-934.1400146484375,2768.669921875,17.030000686645508,8480.2001953125,12714.200439453125,5.099999904632568,0.5999999865889549,-0.19999999552965164,0.0,128.0,128.0,False,-0.016912359467055115,2.1590244268909577,-1.2747143527583858e-05,True,199.0,False,6,False,6,,brunozzzZ_,51c1771d3b234feab856731bf9ed6d83,16.0,-1297.8900146484375,3891.89990234375,17.010000228881836,13268.900146484375,6172.9998779296875,2.0999999344348907,-0.5999999865889549,-0.0,-34.30000066757202,255.0,128.0,False,-0.009585671703596976,2.7110377331674242,8.042561878126503e-05,True,16,False,18,0.0,False,,S1lva,76561198311210071,15.0,-907.1799926757812,4902.52001953125,17.0,14326.700439453125,-1530.0,3.1999999284744263,-5.400000214576721,1.1999999731779099,-985.1000213623047,128.0,128.0,,-0.009569903006294879,0.19288022004160918,-7.485459221763532e-05,True,255.0,False,12,False,10,
