,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,170,0.0,False,True,1,5173.857409144102,-5.119999885559082,45.220001220703125,106.33000183105469,-1563.0999755859375,21652.80029296875,6148.499755859375,3175.0,2481.199951171875,-4445.4998779296875,1.0,0.0823407124964697,0.13268721859859536,-0.09205970460097532,bf9e2c169bb,PtHenk,11.0,-15.920000076293945,-130.14999389648438,16.049999237060547,-11198.499755859375,13638.00048828125,-165.79999923706055,106.30000114440918,-121.80000305175781,-586.5999984741211,255.0,128.0,,-0.01279291801060969,0.917454300523469,0.004229692398629082,True,False,0.0,False,False,False,,76561198810719683,a_couchinho,14.0,-0.0,-2642.0,17.010000228881836,-0.0,13725.999755859375,2.0999999344348907,-0.7999999821186066,-0.0,0.0,255.0,,,-0.009498631517434493,1.5708043502953375,-3.803362393823418e-08,True,False,False,False,146.0,False,,enpitsu,76561198039309853,27.0,-0.0,2577.4599609375,17.049999237060547,-0.0,-13893.499755859375,2.7000001072883606,0.7999999821186066,-0.0,0.0,255.0,0.0,,-0.016670479252160426,-1.5707742227540715,-2.4338197291840506e-07,True,146.0,False,False,False,False,,games5425898691,bf81d8692db,19.0,-10.779999732971191,321.1700134277344,79.58999633789062,3819.2001342773438,-22590.2001953125,1952.5,5497.5,-74.49999809265137,-145.600004196167,255.0,94.0,,-0.7042963524152618,-1.5792984209569136,0.012504301145787159,True,4,3,False,31.0,False,
1,171,0.0,False,False,0,5274.199200217517,11.319999694824219,-55.56999969482422,139.1699981689453,2875.8999633789062,18568.00048828125,13339.000244140625,5691.300048828125,-411.89998626708984,-1854.2999267578125,0.0,-0.09124552540185242,-0.30122159339843296,0.08722441898797773,bf81d8692db,games5425898691,19.0,10.779999732971191,-321.1700134277344,79.58999633789062,-3819.2001342773438,22590.2001953125,1952.5,-5497.5,74.49999809265137,-145.600004196167,255.0,94.0,,0.7042963524152618,1.5792984209569136,0.012504301145787159,True,3,31.0,False,4,False,,76561198039309853,enpitsu,27.0,0.0,-2577.4599609375,17.049999237060547,0.0,13893.499755859375,2.7000001072883606,-0.7999999821186066,0.0,0.0,255.0,0.0,,0.016670479252160426,1.5707742227540715,-2.4338197291840506e-07,True,False,False,False,146.0,False,,a_couchinho,76561198810719683,14.0,0.0,2526.929931640625,17.010000228881836,0.0,-13876.500244140625,2.0999999344348907,0.7999999821186066,0.0,0.0,255.0,,,0.009498631517434493,-1.5708043502953375,-3.803362393823418e-08,True,146.0,False,False,False,False,,PtHenk,bf9e2c169bb,11.0,15.920000076293945,130.14999389648438,16.049999237060547,11198.499755859375,-13638.00048828125,-165.79999923706055,-106.30000114440918,121.80000305175781,-586.5999984741211,255.0,128.0,,0.01279291801060969,-0.917454300523469,0.004229692398629082,True,False,False,False,0.0,False,
2,280,4.0,False,False,0,2184.6237885122564,948.4500122070312,3969.280029296875,227.2899932861328,-1832.5999450683594,27313.00048828125,-8779.000244140625,-491.8000030517578,29.30000066757202,-268.700008392334,0.0,0.0015668506399996688,0.404317649752839,-1.2624304513912246,76561198039309853,enpitsu,26.0,968.0,3681.8701171875,215.63999938964844,-1824.7999572753906,17410.30029296875,2562.5,-2090.0,-4874.100036621094,-1457.5999450683594,255.0,255.0,,-0.30349703240791986,1.1951271120330527,-0.743680412653822,True,1,17.0,False,2,False,,bf81d8692db,games5425898691,20.0,-4036.25,2645.8701171875,122.58000183105469,3230.0,-15945.999755859375,-5049.100036621094,1741.300048828125,-2256.9000244140625,706.6000366210938,255.0,255.0,,0.34300601589267127,-1.3189674898999102,-0.958314496776499,True,4,False,4,255.0,False,,a_couchinho,76561198810719683,14.0,702.260009765625,3970.389892578125,98.19999694824219,4900.4998779296875,-3446.6000366210938,-151.5999984741211,5458.2000732421875,603.8999938964844,-305.0,86.0,0.0,,-0.026739451856731503,0.034616877269117725,1.9556002390153047,True,90.0,False,4,False,3,,PtHenk,bf9e2c169bb,11.0,3865.989990234375,3305.330078125,18.90999984741211,-7486.5997314453125,21725.400390625,-944.1000366210938,139.0999984741211,2341.199951171875,-194.89999771118164,255.0,,,0.062314773310335705,1.9072202169912968,-0.10771617408472095,True,4,4,False,131.0,False,
3,338,6.0,True,True,0,1043.8538390029412,-1083.260009765625,4113.080078125,130.47000122070312,11250.999755859375,28801.59912109375,5282.39990234375,2488.000030517578,-4908.599853515625,2390.399932861328,0.0,-0.2323449494330389,2.9330747501468126,2.8733096956203346,bf81d8692db,games5425898691,20.0,-1185.010009765625,3937.699951171875,96.87000274658203,7811.300048828125,21518.20068359375,2224.600067138672,-4409.100036621094,-954.4999694824219,1349.4000244140625,255.0,216.0,,0.12890168295929558,1.13948198275664,-0.030489666388475528,True,5,177.0,False,6,False,,76561198039309853,enpitsu,26.0,803.260009765625,5673.72998046875,33.529998779296875,-813.0999755859375,-6139.4000244140625,-423.80001068115234,83.29999923706055,768.3999633789062,276.200008392334,255.0,128.0,,0.08020533334986381,-1.6960299793871088,0.12076499656927443,True,2,False,2,17.0,False,,a_couchinho,76561198810719683,14.0,399.45001220703125,4277.740234375,17.010000228881836,-16065.0,2663.800048828125,-0.3999999910593033,5.400000214576721,-0.3999999910593033,765.9999847412109,255.0,128.0,,0.009599493210998403,3.0235755736918124,-6.451818251072053e-05,True,11.68419784115208,True,4,False,4,,PtHenk,bf9e2c169bb,11.0,67.91999816894531,4631.0400390625,83.77999877929688,-22578.701171875,-4168.599853515625,1350.0999450683594,-665.0,1526.0000610351562,1257.0999908447266,255.0,128.0,,-0.2993785706450261,-2.4885925821621138,-0.04086185598244077,True,6,4,False,45.0,False,
4,605,6.0,False,False,0,5222.44183638074,17.709999084472656,-1.8899999856948853,93.73999786376953,-321.5999984741211,1040.5999755859375,1106.6999816894531,2184.499969482422,902.3000335693359,155.79999923706055,0.0,-0.16700291057912353,-0.5500851834896394,-0.01284570561449903,76561198039309853,enpitsu,27.0,84.58000183105469,-127.43000030517578,104.62999725341797,480.9000015258789,-2523.699951171875,964.4999694824219,-3836.7999267578125,-3260.5999755859375,531.1999893188477,255.0,0.0,,0.8337729483546926,-1.8920949699738665,2.5059145879203144,True,1,0.0,False,2,False,,bf81d8692db,games5425898691,19.0,-3059.570068359375,-4138.85986328125,17.010000228881836,-16883.399658203125,3312.7999877929688,2.3000000417232513,-0.29999999329447746,0.0,-1967.2000122070312,255.0,0.0,,0.009578823184682474,2.878497577683405,-3.209365477842956e-05,True,False,False,False,255.0,False,,a_couchinho,76561198810719683,14.0,8.920000076293945,148.5399932861328,120.30999755859375,3210.0,3281.0000610351562,838.0999755859375,4810.400085449219,2257.2000122070312,-1419.1999816894531,250.0,128.0,,0.8114897991812126,1.8058919225102141,-3.082367417246517,True,0.0,False,4,False,3,,PtHenk,bf9e2c169bb,11.0,3039.389892578125,4160.75,17.049999237060547,15999.200439453125,521.3999938964844,4.000000059604645,0.5999999865889549,0.0,-3083.5000610351562,255.0,0.0,False,0.016760112839269134,-0.21978816939631382,-0.00015045218778643292,True,False,False,False,255.0,False,
5,606,6.0,False,False,1,5226.5417938005,-12.649999618530273,-6.949999809265137,92.62999725341797,1574.1000366210938,306.5999984741211,-2320.800018310547,-470.49999237060547,-1107.9000091552734,-2350.7000732421875,1.0,0.08843609107982553,0.5917940210924834,0.045259471417886235,76561198810719683,a_couchinho,14.0,-8.920000076293945,-148.5399932861328,120.30999755859375,-3210.0,-3281.0000610351562,838.0999755859375,-4810.400085449219,-2257.2000122070312,-1419.1999816894531,250.0,128.0,,-0.8114897991812126,-1.8058919225102141,-3.082367417246517,True,3,0.0,False,4,False,,bf9e2c169bb,PtHenk,11.0,-3039.389892578125,-4160.75,17.049999237060547,-15999.200439453125,-521.3999938964844,4.000000059604645,-0.5999999865889549,-0.0,-3083.5000610351562,255.0,0.0,False,-0.016760112839269134,0.21978816939631382,-0.00015045218778643292,True,False,False,False,251.8739696728286,True,,enpitsu,76561198039309853,27.0,-84.58000183105469,127.43000030517578,104.62999725341797,-480.9000015258789,2523.699951171875,964.4999694824219,3836.7999267578125,3260.5999755859375,531.1999893188477,255.0,0.0,,-0.8337729483546926,1.8920949699738665,2.5059145879203144,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,19.0,3059.570068359375,4138.85986328125,17.010000228881836,16883.399658203125,-3312.7999877929688,2.3000000417232513,0.29999999329447746,-0.0,-1967.2000122070312,255.0,0.0,,-0.009578823184682474,-2.878497577683405,-3.209365477842956e-05,True,False,False,False,255.0,False,
6,618,7.0,False,False,1,5204.885861024551,25.350000381469727,8.449999809265137,94.87999725341797,825.5000305175781,337.59998321533203,713.3999633789062,-370.2000045776367,905.1000213623047,-2350.7000732421875,1.0,0.09850353277893646,1.7279148673614835,0.4780555098584092,76561198810719683,a_couchinho,14.0,-139.99000549316406,-293.42999267578125,123.08000183105469,-3081.9000244140625,-3442.5,-391.3999938964844,-4851.700134277344,-111.09999656677246,-716.6000366210938,235.0,0.0,,0.984567401236078,1.3235436932742597,-0.14183033260113984,True,4,0.0,False,4,False,,bf9e2c169bb,PtHenk,11.0,-3521.030029296875,-3662.27001953125,17.049999237060547,-2054.9000549316406,16335.799560546875,-1.0999999940395355,-0.0,-0.19999999552965164,-2095.0999450683594,255.0,0.0,False,-0.016775226547402405,1.5161236404402392,2.364497757501154e-05,True,False,False,False,214.29501069489348,True,,enpitsu,76561198039309853,27.0,-109.76000213623047,259.75,103.55999755859375,-421.5999984741211,2792.0001220703125,-873.6000061035156,2788.5000610351562,1693.3000183105469,-1653.3999633789062,255.0,128.0,,0.36283651869603156,2.9126344611689414,-0.805133226629522,True,0.0,False,2,False,2,,games5425898691,bf81d8692db,19.0,3654.419921875,3657.929931640625,17.010000228881836,5604.7998046875,-13620.30029296875,2.3000000417232513,-0.09999999776482582,-0.0,-2032.1000671386719,255.0,0.0,,-0.009627761501692566,-1.894793101475392,-1.904222763216487e-05,True,False,False,False,255.0,False,
7,659,8.0,False,False,0,5053.027878649182,-113.55000305175781,147.9199981689453,147.27999877929688,14264.3994140625,4326.300048828125,5150.30029296875,3865.8999633789062,-145.0,-4586.099853515625,0.0,0.014818282778537513,0.5026655151926483,0.35689416147449043,76561198039309853,enpitsu,25.0,-211.50999450683594,30.0,89.08999633789062,-1078.3000183105469,11495.0,2576.099853515625,-4431.099853515625,3120.8999633789062,-935.2999877929688,255.0,0.0,,0.48660475774943596,1.814115218320532,0.4195090175885615,True,3,0.0,False,4,False,,bf81d8692db,games5425898691,19.0,-2375.5400390625,-2480.02001953125,17.010000228881836,12585.6005859375,6285.30029296875,2.0999999344348907,-3.8999998569488525,-1.899999976158142,815.4000091552734,255.0,128.0,,0.009587516936241536,0.5078709297771297,-2.5345925579176222e-05,True,False,False,False,255.0,False,,a_couchinho,76561198810719683,14.0,-150.4499969482422,337.3699951171875,108.95999908447266,-4184.700012207031,-5265.4998779296875,2001.7999267578125,4311.9000244140625,3338.9999389648438,712.9000091552734,255.0,255.0,,0.19347188954413785,-2.487185258590079,-0.5729650588011196,True,0.0,False,6,False,5,,PtHenk,bf9e2c169bb,11.0,1280.97998046875,1859.280029296875,17.049999237060547,-20501.10107421875,-10425.799560546875,2.5,0.29999999329447746,0.19999999552965164,0.0,255.0,128.0,False,0.01678464399140769,-2.671131632974212,3.398157450944491e-05,True,False,False,False,143.0,False,
8,757,12.0,False,False,0,6230.541282424639,3980.909912109375,1262.449951171875,172.75999450683594,3141.400146484375,1401.9000244140625,4415.400085449219,-1010.9999847412109,5809.69970703125,-1106.500015258789,0.0,0.8326844933887674,0.5319435066791011,-2.2314864590491457,bf81d8692db,games5425898691,19.0,4028.590087890625,1021.989990234375,106.58000183105469,6329.1998291015625,20616.10107421875,7994.5001220703125,-1074.3000030517578,-4367.39990234375,1426.9999694824219,255.0,255.0,,-0.35192845865553546,1.2777909730821133,-0.8365175013205688,True,False,138.9398535938673,True,False,False,,76561198039309853,enpitsu,25.0,-34.529998779296875,982.9199829101562,17.049999237060547,1234.000015258789,1089.800033569336,2.5,0.7000000029802322,-0.5999999865889549,0.0,255.0,255.0,,0.016613429434768824,0.7234494109502582,-1.848539894179453e-05,True,4,False,4,31.0,False,,a_couchinho,76561198810719683,14.0,1037.43994140625,1857.1800537109375,30.1299991607666,5909.89990234375,14654.599609375,-2389.1000366210938,-3125.5999755859375,439.00001525878906,-983.6000061035156,255.0,128.0,,-0.2589257109167459,1.2059891017822189,0.07512885991965378,True,,False,8,False,8,,PtHenk,bf9e2c169bb,11.0,4078.93994140625,1200.6199951171875,483.0,-3.100000023841858,11404.300537109375,-2438.699951171875,-2176.6000366210938,1.5999999642372131,0.19999999552965164,255.0,255.0,,0.3358328363394557,1.5530367518352013,-1.5766062726988421,True,False,False,False,216.0,False,
9,835,15.0,False,False,1,10269.258204490627,-1436.780029296875,-4860.7900390625,188.13999938964844,-16066.500244140625,8091.199951171875,2373.800048828125,-417.59998321533203,3944.5001220703125,-4501.7999267578125,1.0,1.0539651659649263,-1.6287712390174898,-1.5329798225884737,76561198810719683,a_couchinho,14.0,-1188.5,-4890.7998046875,115.06999969482422,-12300.799560546875,256.8000030517578,2363.699951171875,-3236.099853515625,-2951.6000366210938,-3326.300048828125,255.0,21.0,,-0.1887710883104158,0.15629134955956042,0.012009797547128977,True,9,31.0,False,10,False,,bf9e2c169bb,PtHenk,11.0,-3125.830078125,-4906.4599609375,595.6400146484375,-1698.5000610351562,1402.8999328613281,12621.199951171875,-1349.1999816894531,-1767.5,-357.00000762939453,255.0,0.0,,1.3415513988662893,0.6130855135192813,1.4963601964839017,True,False,False,False,116.0,False,,enpitsu,76561198039309853,25.0,-34.540000915527344,-2740.050048828125,17.049999237060547,-3305.2999877929688,-3831.9000244140625,2.8999999165534973,-0.09999999776482582,-0.3999999910593033,-2094.9000549316406,255.0,0.0,,-0.016625436361956354,-0.9138837278838992,-8.012429591697672e-05,True,61.0,False,4,False,4,,games5425898691,bf81d8692db,19.0,-1589.6500244140625,-4985.56982421875,110.80999755859375,1396.7999267578125,-21534.599609375,2830.1998901367188,-163.79999160766602,5.799999833106995,-1265.4000091552734,255.0,128.0,,0.03615278446964551,-1.2303386843413058,0.005007274784474744,True,4,False,False,142.0,False,
