,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,opp_2_handbrake
0,174,0,False,True,1,5127.647514456462,-10.850000381469727,93.18000030517578,94.79000091552734,-2763.9999389648438,28618.5009765625,1367.7000427246094,-4326.600036621094,-1253.3999633789062,-3963.3999633789062,1.0,-0.058585094210450446,0.1441784230355522,0.158189903222079,251436606774968186,vertu1131,13.0,39.58000183105469,-240.02000427246094,87.05000305175781,-8543.499755859375,21168.30078125,2812.0001220703125,-2279.1000366210938,-2153.800048828125,2644.89990234375,241.0,226.0,,-0.14780475794584377,1.1748897618138485,0.005512329493960919,True,6,10.936533358789255,True,5,False,,556063166130775378,XJTXTRX,13.0,-0.0,-2545.469970703125,17.010000228881836,-0.7999999821186066,12786.199951171875,2.0000000298023224,0.3999999910593033,-0.0,0.0,246.0,,,-0.009574926869779374,1.5706971541079624,4.7500182127544764e-07,True,4,False,146.0,False,4,,enpitsu,76561198039309853,26.0,-0.0,4454.419921875,17.049999237060547,-0.0,-6870.2001953125,2.5999999046325684,0.7999999821186066,-0.0,0.0,255.0,,,-0.016571293998840494,-1.5707734616731892,7.380093861737067e-06,True,False,False,False,116.0,False,,games5425898691,bf81d8692db,20.0,17.940000534057617,362.80999755859375,96.48999786376953,-164.79999542236328,-22783.1005859375,2442.2999572753906,5494.4000244140625,-246.49999618530273,-2.0999999344348907,128.0,128.0,-0.7884664742744991,-1.5758012072949998,0.03514511745136118,True,4.0,3.0,False,31.0,False,,
1,175,0,False,False,0,5381.433124287856,20.81999969482422,-162.75999450683594,104.66999816894531,7139.5001220703125,8547.2998046875,6969.89990234375,5894.7998046875,187.60000228881836,-1102.3999786376953,0.0,0.16564722933360237,-0.24600497048108064,0.4602133510987647,bf81d8692db,games5425898691,20.0,-17.65999984741211,-324.8299865722656,100.41999816894531,164.79999542236328,22783.1005859375,2333.8999938964844,-5494.5001220703125,244.20000076293945,0.3999999910593033,128.0,128.0,,0.9088846921697493,1.5830889229337348,0.044838992065264885,True,4,31.0,False,3,False,,76561198039309853,enpitsu,26.0,0.0,-4442.77978515625,17.049999237060547,0.0,7018.4002685546875,2.5999999046325684,-0.7999999821186066,0.0,0.0,255.0,,,0.016571293998840494,1.5707734616731892,7.380093861737067e-06,True,False,False,116.0,False,False,,XJTXTRX,556063166130775378,13.0,0.0,2437.929931640625,17.010000228881836,0.7999999821186066,-12998.699951171875,2.0000000298023224,-0.3999999910593033,0.0,0.0,246.0,,,0.009574926869779374,-1.5706971541079624,4.7500182127544764e-07,True,4,4,False,146.0,False,,vertu1131,251436606774968186,13.0,29.15999984741211,77.62000274658203,109.93000030517578,8129.89990234375,-18773.599853515625,2552.100067138672,550.8000183105469,5468.599853515625,200.6999969482422,244.0,226.0,0.3794093421922301,-1.2106315555716314,-0.47716632742389786,True,6.0,5.0,False,7.805083815769478,True,,
2,176,0,False,False,1,5080.501545150592,-38.90999984741211,146.25999450683594,149.5800018310547,-14608.599853515625,-11716.199951171875,10438.399658203125,-839.8000335693359,1112.699966430664,-5835.7000732421875,1.0,-0.22435421836640765,0.695204427914819,0.5957189948346544,251436606774968186,vertu1131,13.0,-29.15999984741211,-77.62000274658203,109.93000030517578,-8129.89990234375,18773.599853515625,2552.100067138672,-550.8000183105469,-5468.599853515625,200.6999969482422,244.0,226.0,,-0.3794093421922301,1.2106315555716314,-0.47716632742389786,True,6,4.667767701610439,True,5,False,,556063166130775378,XJTXTRX,13.0,-0.0,-2437.929931640625,17.010000228881836,-0.7999999821186066,12998.699951171875,2.0000000298023224,0.3999999910593033,-0.0,0.0,246.0,,,-0.009574926869779374,1.5706971541079624,4.7500182127544764e-07,True,4,False,146.0,False,4,,enpitsu,76561198039309853,26.0,-0.0,4442.77978515625,17.049999237060547,-0.0,-7018.4002685546875,2.5999999046325684,0.7999999821186066,-0.0,0.0,255.0,,,-0.016571293998840494,-1.5707734616731892,7.380093861737067e-06,True,False,False,False,116.0,False,,games5425898691,bf81d8692db,20.0,17.65999984741211,324.8299865722656,100.41999816894531,-164.79999542236328,-22783.1005859375,2333.8999938964844,5494.5001220703125,-244.20000076293945,0.3999999910593033,128.0,128.0,-0.9088846921697493,-1.5830889229337348,0.044838992065264885,True,4.0,3.0,False,31.0,False,,
3,177,0,False,False,0,5375.150338002629,69.58999633789062,-147.7100067138672,188.14999389648438,13590.999755859375,5112.5,11543.1005859375,2737.0001220703125,-1138.0000305175781,-5216.5997314453125,0.0,0.2132021356297743,-0.9273979658597551,0.5495877071027019,bf81d8692db,games5425898691,20.0,-28.229999542236328,-242.6699981689453,102.75,-3056.099853515625,6465.7000732421875,-73.20000171661377,1028.7999725341797,-85.0,-2092.2999572753906,128.0,128.0,,1.344804440811602,1.5901499447833254,0.5117042476737426,True,4,31.0,False,3,False,,76561198039309853,enpitsu,26.0,0.0,-4393.83984375,17.049999237060547,0.0,7586.400146484375,2.5999999046325684,-0.7999999821186066,0.0,0.0,255.0,,,0.016578923935711868,1.570773461671743,-2.5001750516758935e-07,True,False,False,116.0,False,False,,XJTXTRX,556063166130775378,13.0,0.0,2328.68994140625,17.010000228881836,0.7999999821186066,-13194.7998046875,2.0000000298023224,-0.29999999329447746,0.0,0.0,246.0,,,0.009574926869779374,-1.5706971541079624,4.7500182127544764e-07,True,4,4,False,146.0,False,,vertu1131,251436606774968186,13.0,115.61000061035156,-8.640000343322754,126.2699966430664,11611.8994140625,-5396.5997314453125,561.1000061035156,90.9000015258789,5181.6998291015625,1841.4999389648438,246.0,226.0,0.6142820278541518,-1.1875918495830684,-1.084869842951791,True,6.0,5.0,False,1.5504518298692567,True,,
4,313,5,False,False,1,7985.291098057051,-2719.389892578125,-1979.9599609375,347.1000061035156,10270.899658203125,8639.500122070312,9836.400146484375,1495.5000305175781,-370.99998474121094,-7.400000095367432,1.0,-0.48859531085722846,1.0693757277520293,-1.310482107011935,556063166130775378,XJTXTRX,13.0,-2789.06005859375,-2071.419921875,169.97999572753906,17860.899658203125,2889.7000122070312,6209.4000244140625,1609.1000366210938,-3437.6998901367188,1762.7000427246094,253.0,95.0,,0.6554317311044634,2.335574317480163,-0.16698080447251873,True,8,11.949462526588022,True,4,5,,251436606774968186,vertu1131,14.0,-4067.760009765625,-2303.340087890625,184.1300048828125,3299.1000366210938,-19463.599853515625,-11801.700439453125,-167.5,-5495.10009765625,-160.40000915527344,255.0,128.0,,-0.542502732888732,-1.7492071342833568,-1.2773171056870296,True,8,False,136.0202065975436,True,8,,enpitsu,76561198039309853,26.0,-2344.18994140625,-69.0199966430664,17.049999237060547,6823.599853515625,-18100.899658203125,2.5,-0.19999999552965164,0.3999999910593033,0.0,255.0,,,-0.01678986706960718,-1.9312949760659377,4.276608286409567e-05,True,False,False,False,208.0,False,,games5425898691,bf81d8692db,20.0,-2565.610107421875,-1261.6700439453125,125.91999816894531,340.6999969482422,-18873.199462890625,2123.000030517578,-527.2999954223633,-440.40000915527344,-1389.4999694824219,255.0,77.0,0.3921716747597021,-1.2774696412915563,0.08086623742158619,True,8.0,6.0,False,8.952963731622187,True,,
5,403,8,False,False,0,5828.812364677579,-463.7099914550781,-672.760009765625,114.30000305175781,-15869.49951171875,16181.300048828125,8551.300048828125,5926.199951171875,-640.1999664306641,685.5999755859375,0.0,0.6438074327591938,0.3521577167830891,0.6261908292997823,76561198039309853,enpitsu,26.0,-334.9700012207031,-858.0900268554688,69.94999694824219,-13737.60009765625,10261.700439453125,2939.89990234375,-2376.1000061035156,-1559.4000244140625,-2548.3999633789062,255.0,0.0,False,0.104510361642204,2.618153048196714,0.0029464771598577133,True,2,217.0,False,1,False,,bf81d8692db,games5425898691,20.0,3252.47998046875,3277.010009765625,95.41000366210938,1652.1000671386719,-17527.7001953125,-146.70000076293945,5492.39990234375,287.1999931335449,20.399999618530273,255.0,128.0,,-0.7008023743230465,1.6262098515936572,3.136676918327703,True,9,False,0.0,False,10,,XJTXTRX,556063166130775378,13.0,-2880.590087890625,719.9199829101562,17.010000228881836,-19214.89990234375,-8906.799926757812,2.0000000298023224,-0.9000000357627869,-0.29999999329447746,1268.8999938964844,253.0,229.0,,0.009554037129333188,-2.685775790643203,0.00013918811340243932,True,8,4,6,0.0,False,,vertu1131,251436606774968186,14.0,-846.530029296875,1807.1300048828125,17.0,-11481.099853515625,-6903.2000732421875,3.6000001430511475,-0.7999999821186066,0.5000000074505806,-2190.399932861328,255.0,0.0,0.009631269250360498,-2.658151747159447,-5.362473304455533e-05,True,8.0,8.0,False,255.0,False,,
6,507,12,False,False,0,2136.7539635489616,-2823.43994140625,4217.669921875,153.80999755859375,18141.099853515625,13711.800537109375,1140.2999877929688,2193.5000610351562,-2776.7999267578125,2149.2999267578125,0.0,-0.9267921165881587,-2.7806422502026282,1.5963338175764177,76561198039309853,enpitsu,26.0,-2967.989990234375,4143.1298828125,102.08000183105469,16103.399658203125,12845.400390625,2159.600067138672,-2441.4999389648438,4793.299865722656,-1145.5999755859375,255.0,128.0,False,0.8819805865835161,0.5922140244022281,0.02549257129048767,True,4,245.0,False,3,False,,bf81d8692db,games5425898691,20.0,2527.570068359375,-4397.25,17.010000228881836,-20182.2998046875,-3524.4000244140625,2.3000000417232513,0.0,0.0,-2012.2000122070312,255.0,0.0,,0.009587282700527994,-3.046969045646081,-1.5944605648886842e-05,True,12,False,31.0,False,12,,XJTXTRX,556063166130775378,13.0,361.7300109863281,4039.510009765625,17.0,10505.6005859375,18670.0,3.4999999403953552,0.0,0.09999999776482582,2169.499969482422,255.0,255.0,True,0.009563586688806672,1.1363216105479592,0.00010803002815502976,True,10,6,6,198.0,False,,vertu1131,251436606774968186,13.0,-1892.9200439453125,4718.97021484375,71.19999694824219,-12021.8994140625,-5440.7000732421875,3991.400146484375,0.0,0.29999999329447746,122.29999542236328,254.0,128.0,0.009426499196518126,-2.687328428705017,-0.0002742505613748748,True,9.0,8.0,False,183.64187525164695,True,,False
7,515,12,False,False,1,9862.789473812374,2451.280029296875,-4599.39013671875,206.00999450683594,11518.599853515625,-10193.099975585938,7830.5999755859375,-308.799991607666,-710.8000183105469,-3018.3999633789062,1.0,-0.25114827975779713,2.1003121978157147,1.8938441743521455,251436606774968186,vertu1131,13.0,2266.8798828125,-4593.009765625,188.9499969482422,2947.6998901367188,-3083.3999633789062,6102.8997802734375,3497.7999877929688,53.29999923706055,-4243.999938964844,243.0,12.0,False,-0.04077759072289408,3.069886752803824,0.31622313593778845,True,10,158.68213319009348,True,9,False,,556063166130775378,XJTXTRX,13.0,-551.7899780273438,-4656.83984375,17.0,-203.50000381469727,-17019.300537109375,3.700000047683716,-0.5000000074505806,1.0000000149011612,3512.7999877929688,255.0,151.0,False,-0.009570036702323979,-2.13868137685995,5.0858932524238174e-05,True,6,6,198.0,False,10,,enpitsu,76561198039309853,26.0,2526.360107421875,-4524.16015625,96.55999755859375,-1645.2000427246094,-6560.0,-519.5999908447266,2303.3999633789062,-4991.600036621094,-165.6999969482422,255.0,0.0,False,0.04335217920303657,2.7358986854565717,3.1236786609557106,True,4,3,False,245.0,False,,games5425898691,bf81d8692db,20.0,-2030.449951171875,4367.58984375,17.010000228881836,19380.2001953125,-4234.800109863281,2.0000000298023224,-0.9000000357627869,-0.0,-254.69999313354492,255.0,128.0,-0.009613228105550374,-2.8977834166031395,0.0001647471297832498,True,12.0,12.0,False,31.0,False,,
8,595,15,False,False,1,8505.996472298568,3625.929931640625,-2916.02001953125,255.5500030517578,-8369.400024414062,21256.10107421875,9149.199829101562,2208.8999938964844,289.50000762939453,1613.2000732421875,1.0,0.36490270090136145,0.519038232396106,-0.10777487743211805,251436606774968186,vertu1131,13.0,3704.14990234375,-3113.219970703125,113.66999816894531,1436.0000610351562,22380.10009765625,4114.800109863281,2431.1000061035156,-182.70000457763672,686.9999694824219,255.0,245.0,,0.24711145797217243,1.5700117495714059,-0.010768434232760162,True,12,10.976309827578923,True,10,False,,556063166130775378,XJTXTRX,13.0,690.6500244140625,-2493.219970703125,17.0,-6792.5,12325.999755859375,3.3000001311302185,-0.7999999821186066,1.7000000178813934,1141.6999816894531,247.0,215.0,,-0.00956020852849051,1.0701980564691476,0.0001840979669590212,True,6,6,208.0,False,10,,enpitsu,76561198039309853,26.0,3916.159912109375,-3543.60009765625,31.09000015258789,-1762.4000549316406,19129.89990234375,-613.8999938964844,-19.40000057220459,1233.0999755859375,790.5000305175781,255.0,128.0,False,-0.06733358155294357,1.429617771410602,-0.3299151651471412,True,4,4,False,86.82184959996131,True,,games5425898691,bf81d8692db,20.0,3837.570068359375,3296.64990234375,17.920000076293945,4438.0999755859375,-19745.899658203125,257.2999954223633,243.60000610351562,-980.1999664306641,-2006.7999267578125,255.0,0.0,0.00026645974725036736,-1.7198205909677564,0.0341114330202814,True,12.0,12.0,False,255.0,False,,
9,666,17,False,False,0,7511.10348226464,-1558.8299560546875,-2341.800048828125,417.9100036621094,-5029.599914550781,-9997.100219726562,2993.9999389648438,3110.10009765625,-836.9999694824219,5062.200012207031,0.0,-0.5726335204993733,0.32969773599859725,-0.7047245682814856,bf81d8692db,games5425898691,20.0,-1535.06005859375,-2372.389892578125,311.6000061035156,4847.200012207031,2009.9000549316406,-139.399995803833,-295.79999923706055,-5266.5997314453125,-1557.1000671386719,255.0,177.0,,-0.26605819958472393,1.50003737152383,2.230066151519052,True,14,202.0,False,13,False,,76561198039309853,enpitsu,26.0,-3676.5400390625,-2210.280029296875,17.030000686645508,-419.1999816894531,-22994.3994140625,5.199999809265137,0.0,0.0,-0.09999999776482582,255.0,128.0,False,0.01678574696446072,-1.5890454793862936,7.058165656316301e-06,True,4,False,43.0,False,4,,XJTXTRX,556063166130775378,13.0,604.4299926757812,-880.0999755859375,17.0,8716.300048828125,-7327.0001220703125,3.4999999403953552,1.0000000149011612,-0.7000000029802322,-2135.500030517578,128.0,0.0,,0.009602271695971653,-0.7390414612453601,-0.00013796026843046903,True,10,6,6,182.0,False,,vertu1131,251436606774968186,13.0,-1627.010009765625,-2285.8701171875,208.24000549316406,12638.1005859375,-19140.799560546875,1703.9999389648438,1490.3999328613281,927.5,-33.80000114440918,255.0,125.0,-0.7110615129330814,-0.9604776195034253,0.01574777070065642,True,14.0,13.0,False,0.0,False,,
