,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_dodge_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect
0,178,0,False,False,1,5204.942824896993,2.9100000858306885,12.25,92.44999694824219,9326.099853515625,25038.00048828125,1078.499984741211,1875.8999633789062,-335.09998321533203,5606.9000244140625,1.0,-0.0031641762996872796,-0.04670560926779769,-0.015559344484570931,b8a489d3a8b,DaigoShigueno06,18.0,-96.69000244140625,-285.20001220703125,62.619998931884766,5679.000244140625,20348.299560546875,3144.8001098632812,-787.0999908447266,2046.9999694824219,-1898.5000610351562,128.0,0.0,,-0.03402391894169338,1.544705153926801,0.014119171734794015,True,4,3,False,22.0,False,,b20343a1a6b,Nezhaq,16.0,-3150.340087890625,-4150.8798828125,17.010000228881836,-12917.900390625,9872.100219726562,2.800000011920929,-0.5000000074505806,0.29999999329447746,-2005.7000732421875,255.0,0.0,,-0.009585444293556095,0.7201686912707009,-6.373729941060875e-05,True,False,255.0,False,False,False,,enpitsu,76561198039309853,26.0,23.059999465942383,458.3399963378906,98.31999969482422,-2776.9000244140625,-22700.50048828125,2436.4999389648438,3787.9998779296875,-855.8999633789062,-943.0000305175781,255.0,0.0,,-0.2859501261748291,-1.6956982292309735,0.008496611084909397,True,1,False,31.0,False,2,,games5425898691,bf81d8692db,20.0,-2561.169921875,3754.02001953125,17.010000228881836,-20155.30029296875,7187.60009765625,2.800000011920929,-0.5000000074505806,0.19999999552965164,-1657.5999450683594,255.0,0.0,,-0.009597480121349927,0.3822583192512803,-0.0001810898975104047,True,0.0,False,False,False,False,
1,180,0,False,False,0,5352.2161652093255,-67.98999786376953,-147.77999877929688,95.54000091552734,-17216.500244140625,23207.80029296875,270.40000915527344,-1872.2999572753906,330.60001373291016,5546.500244140625,0.0,0.053393315292621056,0.41721267115190835,-0.13147161336908267,76561198039309853,enpitsu,26.0,-23.059999465942383,-458.3399963378906,98.31999969482422,2776.9000244140625,22700.50048828125,2436.4999389648438,-3787.9998779296875,855.8999633789062,-943.0000305175781,255.0,0.0,,0.2859501261748291,1.6956982292309735,0.008496611084909397,True,2,1,False,31.0,False,,bf81d8692db,games5425898691,20.0,2723.85009765625,-3824.6201171875,17.010000228881836,18898.299560546875,-9595.2001953125,2.800000011920929,0.7999999821186066,-0.29999999329447746,-1887.1000671386719,255.0,0.0,,0.009587091779077983,-0.5327148595615118,-9.374983207674325e-05,True,False,0.0,False,False,False,,DaigoShigueno06,b8a489d3a8b,18.0,50.83000183105469,121.83999633789062,86.62000274658203,-5097.900085449219,-17858.1005859375,2715.7000732421875,-569.3999862670898,-4915.5999755859375,-2400.399932861328,128.0,0.0,,0.09812641377398751,-1.7081556495764054,0.5550027818724229,True,3,False,22.0,False,4,,Nezhaq,b20343a1a6b,16.0,3230.639892578125,4079.389892578125,17.010000228881836,11339.000244140625,-11352.19970703125,2.800000011920929,0.5000000074505806,-0.19999999552965164,-2020.5000305175781,255.0,0.0,,0.009574251432300984,-0.8544712637496805,-4.9577711448499956e-05,True,255.0,False,False,False,False,
2,181,0,False,False,1,5082.664006484347,149.3300018310547,112.4800033569336,101.75,32112.19970703125,930.5000305175781,2150.0,2363.699951171875,258.50000381469727,-5508.599853515625,1.0,-0.09847342574503448,-0.2863768640703386,-0.24567307120473264,b8a489d3a8b,DaigoShigueno06,18.0,-10.65999984741211,21.030000686645508,102.79000091552734,4618.999938964844,15127.80029296875,359.0999984741211,-561.8999862670898,4666.199951171875,-2856.4999389648438,128.0,0.0,,-0.2184099859053816,1.8180679668470356,1.185383658840592,True,4,3,False,22.0,False,,b20343a1a6b,Nezhaq,16.0,-3230.639892578125,-4079.389892578125,17.010000228881836,-11339.000244140625,11352.19970703125,2.800000011920929,-0.5000000074505806,0.19999999552965164,-2020.5000305175781,255.0,0.0,,-0.009574251432300984,0.8544712637496805,-4.9577711448499956e-05,True,False,255.0,False,False,False,,enpitsu,76561198039309853,26.0,-1.4800000190734863,283.9800109863281,117.22000122070312,-3331.4999389648438,-16849.7998046875,2335.5999755859375,4498.2000732421875,-1078.7000274658203,2975.10009765625,255.0,0.0,,-0.7130192805619648,-1.9001847367834273,0.3112999758269256,True,1,False,31.0,False,2,,games5425898691,bf81d8692db,20.0,-2723.85009765625,3824.6201171875,17.010000228881836,-18898.299560546875,9595.2001953125,2.800000011920929,-0.7999999821186066,0.29999999329447746,-1887.1000671386719,255.0,0.0,,-0.009587091779077983,0.5327148595615118,-9.374983207674325e-05,True,0.0,False,False,False,False,
3,407,8,False,False,0,5922.109789793694,-3110.31005859375,-352.55999755859375,324.95001220703125,-5552.60009765625,28577.60009765625,-1513.3999633789062,1890.2000427246094,1691.3999938964844,-5437.39990234375,0.0,-0.7119213895620952,2.0313912962768788,1.3780139936592182,bf81d8692db,games5425898691,21.0,-3079.219970703125,-526.8099975585938,294.6499938964844,-12309.89990234375,16578.00048828125,251.5999984741211,-2956.4999389648438,-4609.4000244140625,-511.5999984741211,255.0,63.0,,0.3778728937443068,2.624863526932421,-0.42700822969801877,True,4,3,False,127.54756109176141,True,,76561198039309853,enpitsu,26.0,-1743.93994140625,-4505.7900390625,17.059999465942383,-1253.3999633789062,3003.900146484375,1.899999976158142,-0.7000000029802322,-0.09999999776482582,0.0,255.0,128.0,False,0.016514344765998723,1.9661312129007715,-1.5008497102883133e-05,True,False,255.0,False,2,2,,DaigoShigueno06,b8a489d3a8b,18.0,-3155.739990234375,-178.6999969482422,140.0399932861328,-1199.8999786376953,-8747.60009765625,3457.0999145507812,-2601.7999267578125,586.5999984741211,838.0999755859375,128.0,255.0,,-0.48305842029439483,-1.6270310083247184,-0.022791088277826922,True,6,False,241.0,False,8,,Nezhaq,b20343a1a6b,16.0,-2557.10009765625,-565.510009765625,104.0999984741211,-2022.4000549316406,21351.10107421875,242.29999542236328,-4714.800109863281,-2791.6000366210938,-475.60001373291016,255.0,128.0,,0.9054589617934078,0.8016880636364832,-1.2568245785604426,True,0.0,False,6,3,False,
4,408,8,False,False,1,5360.546062017279,3126.469970703125,265.5299987792969,327.760009765625,-6259.89990234375,-13343.00048828125,15393.399658203125,5923.699951171875,677.3999786376953,-670.6999969482422,1.0,0.5784076788410386,-1.8274493206947864,1.4488314075477158,b8a489d3a8b,DaigoShigueno06,18.0,3155.739990234375,178.6999969482422,140.0399932861328,1199.8999786376953,8747.60009765625,3457.0999145507812,2601.7999267578125,-586.5999984741211,838.0999755859375,128.0,255.0,,0.48305842029439483,1.6270310083247184,-0.022791088277826922,True,8,6,False,241.0,False,,b20343a1a6b,Nezhaq,16.0,2557.10009765625,565.510009765625,104.0999984741211,2022.4000549316406,-21351.10107421875,242.29999542236328,4714.800109863281,2791.6000366210938,-475.60001373291016,255.0,128.0,,-0.9054589617934078,-0.8016880636364832,-1.2568245785604426,True,False,0.0,False,3,6,,enpitsu,76561198039309853,26.0,1743.93994140625,4505.7900390625,17.059999465942383,1253.3999633789062,-3003.900146484375,1.899999976158142,0.7000000029802322,0.09999999776482582,0.0,255.0,128.0,False,-0.016514344765998723,-1.9661312129007715,-1.5008497102883133e-05,True,2,False,255.0,False,2,,games5425898691,bf81d8692db,21.0,3079.219970703125,526.8099975585938,294.6499938964844,12309.89990234375,-16578.00048828125,251.5999984741211,2956.4999389648438,4609.4000244140625,-511.5999984741211,255.0,63.0,,-0.3778728937443068,-2.624863526932421,-0.42700822969801877,True,124.3696686349889,True,4,3,False,
5,513,12,False,False,1,9255.061540862656,997.0599975585938,-4114.509765625,134.0,-6487.2998046875,13584.7998046875,5430.10009765625,5943.599853515625,-258.29999923706055,778.4999847412109,1.0,-0.1358846480505078,1.1505771127560556,-2.516539808337351,b20343a1a6b,Nezhaq,16.0,1048.699951171875,-4284.31982421875,17.0,-7880.9002685546875,15798.00048828125,4.099999964237213,-0.29999999329447746,-0.0,-1967.1000671386719,208.0,0.0,,-0.009562540850144964,1.1789597967914034,-1.5623449667896874e-05,True,6,4,False,225.0,False,,b8a489d3a8b,DaigoShigueno06,18.0,1844.9100341796875,-200.67999267578125,17.010000228881836,1491.0000610351562,-14020.2001953125,2.5999999046325684,0.19999999552965164,-0.5999999865889549,0.0,255.0,128.0,,-0.00957615226535524,-1.6767814746432277,-5.743055854994728e-05,True,False,241.0,False,8,8,,enpitsu,76561198039309853,26.0,224.5500030517578,-1415.3599853515625,17.059999465942383,-3836.0000610351562,-14002.099609375,1.899999976158142,-0.5000000074505806,0.09999999776482582,0.0,0.0,255.0,False,-0.016904847140839688,-1.3033807520206082,-2.9086117100751842e-06,True,4,False,196.0,False,4,,games5425898691,bf81d8692db,21.0,3486.02001953125,-2417.1201171875,16.979999542236328,-13155.2001953125,3106.0000610351562,12.100000381469727,-5.199999809265137,-8.399999737739563,-50.300002098083496,255.0,128.0,,-0.009018864601147782,0.23893021569181647,-0.00014259296972794088,True,135.0,False,4,4,False,
6,551,13,False,False,0,2914.1400023960396,-123.98999786376953,2329.97998046875,252.64999389648438,7984.7998046875,17518.699951171875,-5933.3001708984375,-5074.100036621094,163.29999923706055,-506.5999984741211,0.0,-0.9034580714054603,0.368906473139421,1.7873744426331406,76561198039309853,enpitsu,26.0,-152.61000061035156,2143.570068359375,293.5299987792969,4139.800109863281,9968.699951171875,235.49999237060547,-2806.7001342773438,4122.699890136719,2318.3999633789062,255.0,0.0,,0.19195764350256916,1.7809551798990664,1.0955684456203578,True,6,5,False,138.0,False,,bf81d8692db,games5425898691,21.0,-1538.52001953125,818.739990234375,89.0199966430664,14739.000244140625,-15387.19970703125,-139.79999542236328,4434.89990234375,3252.5,-45.999999046325684,255.0,,,-1.4108826102897831,2.1516568287971767,-3.088947854258652,True,False,111.0,False,5,6,,DaigoShigueno06,b8a489d3a8b,18.0,-1820.81005859375,2181.800048828125,17.010000228881836,1195.5000305175781,14049.7998046875,2.5999999046325684,0.0,-0.7999999821186066,-0.09999999776482582,255.0,,,0.009594971138970988,1.48583585188676,8.85189040827711e-05,True,8,False,241.0,False,8,23.0,Nezhaq,b20343a1a6b,16.0,-80.16000366210938,2645.830078125,202.36000061035156,3658.9999389648438,-12239.200439453125,2472.899932861328,-3294.2999267578125,-3783.2998657226562,-2254.499969482422,,0.0,,-0.1843752749916799,-2.6390219719883805,0.3269067357511274,True,157.0,False,8,5,False,
7,552,13,False,False,1,7605.515089003235,78.0199966430664,-2421.39990234375,218.64999389648438,-6727.9998779296875,9059.7998046875,-3846.300048828125,-4889.4000244140625,-337.5,3461.0000610351562,1.0,0.8308356219714788,-0.5707949020724924,1.591727950892817,b20343a1a6b,Nezhaq,16.0,49.59000015258789,-2546.199951171875,220.22999572753906,-3770.7998657226562,9505.700073242188,1588.0000305175781,4617.099914550781,1977.5,-2240.7000732421875,,128.0,,0.04094423285127592,2.740930843728015,0.9834811261829369,True,8,5,False,157.0,False,,b8a489d3a8b,DaigoShigueno06,18.0,1820.81005859375,-2181.800048828125,17.010000228881836,-1195.5000305175781,-14049.7998046875,2.5999999046325684,-0.0,0.7999999821186066,-0.09999999776482582,255.0,,,-0.009594971138970988,-1.48583585188676,8.85189040827711e-05,True,False,255.0,False,8,8,,enpitsu,76561198039309853,26.0,152.61000061035156,-2143.570068359375,293.5299987792969,-4139.800109863281,-9968.699951171875,235.49999237060547,2806.7001342773438,-4122.699890136719,2318.3999633789062,255.0,0.0,,-0.19195764350256916,-1.7809551798990664,1.0955684456203578,True,5,False,138.0,False,6,,games5425898691,bf81d8692db,21.0,1538.52001953125,-818.739990234375,89.0199966430664,-14739.000244140625,15387.19970703125,-139.79999542236328,-4434.89990234375,-3252.5,-45.999999046325684,255.0,,,1.4108826102897831,-2.1516568287971767,-3.088947854258652,True,111.0,False,6,6,False,
8,588,14,False,False,1,6694.8145612655035,-598.8599853515625,-1385.7900390625,92.87999725341797,-4148.699951171875,6608.599853515625,1993.2000732421875,-4953.399963378906,-3109.5999145507812,1339.2999267578125,1.0,0.8757155339168285,0.40153338957735424,-2.4112463695746484,b20343a1a6b,Nezhaq,16.0,-359.739990234375,-1561.3399658203125,49.08000183105469,-3589.1000366210938,9258.400268554688,-4923.399963378906,680.6999969482422,1303.699951171875,5299.6002197265625,255.0,255.0,,-0.08257786416204882,0.8936347378008096,0.24405675668370072,True,8,6,False,138.17182812383098,True,,b8a489d3a8b,DaigoShigueno06,18.0,907.2000122070312,-3508.8798828125,17.010000228881836,-13688.800048828125,-2076.199951171875,2.800000011920929,2.0999999344348907,0.19999999552965164,1778.699951171875,255.0,255.0,,-0.009579461733559995,-0.16374110591138513,0.0003475867210248341,True,False,255.0,False,8,8,,enpitsu,76561198039309853,26.0,-450.05999755859375,-3079.320068359375,33.66999816894531,-4485.299987792969,-6897.5,-5800.10009765625,2244.1000366210938,-1780.2000427246094,-91.40000343322754,255.0,128.0,,0.12365068542121349,-0.9224687601217635,0.0004993743063613516,True,6,False,138.0,False,6,,games5425898691,bf81d8692db,21.0,-417.7200012207031,2.0999999046325684,17.020000457763672,-11621.99951171875,-11739.3994140625,-1.2999999523162842,1.5999999642372131,1.5999999642372131,647.0999908447266,255.0,128.0,,-0.009597325293508135,-0.8443570058794205,-0.00026058390025979444,True,85.90472274441873,True,6,6,False,
9,604,15,False,False,0,4487.157157601629,831.2000122070312,998.5800170898438,97.80000305175781,-13540.699462890625,1133.1999969482422,2149.9000549316406,1537.1000671386719,-639.3000030517578,5764.4000244140625,0.0,0.3338172602302956,1.5041427846234559,0.5395465361645487,bf81d8692db,games5425898691,21.0,958.5900268554688,954.2899780273438,51.5,7135.30029296875,17994.200439453125,2960.2999877929688,2192.7999877929688,-131.00000381469727,2969.5999145507812,255.0,238.0,,-0.0012760134971834965,1.3222729152160748,0.004126742558297027,True,8,6,False,50.0,False,,76561198039309853,enpitsu,26.0,834.2100219726562,3508.60009765625,17.059999465942383,8684.89990234375,7182.5,2.199999988079071,6.200000047683716,5.0,-1296.199951171875,255.0,128.0,,0.016715362135412058,0.668513141071774,-0.00016288868918709303,True,False,138.0,False,6,6,,DaigoShigueno06,b8a489d3a8b,18.0,-326.4700012207031,3887.1201171875,17.010000228881836,4633.999938964844,3380.5999755859375,3.100000023841858,1.7000000178813934,1.4000000059604645,-1506.3999938964844,16.0,0.0,,0.009904579585014962,0.62078797146737,-9.20144584334938e-05,True,8,False,255.0,False,8,,Nezhaq,b20343a1a6b,16.0,913.4299926757812,1153.8800048828125,94.54000091552734,5324.89990234375,-10126.599731445312,2282.100067138672,2918.2998657226562,-4655.400085449219,-245.0,0.0,0.0,,0.032386850971891604,-1.0092718159374783,0.7014058808763177,True,118.0,False,10,7,False,
