,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_boost_collect
0,173,0.0,False,False,1,5201.536761956408,-4.019999980926514,16.920000076293945,97.55000305175781,-9725.30029296875,23974.09912109375,6556.6998291015625,1973.8999938964844,505.29998779296875,-128.99999618530273,1.0,0.004211236384739766,0.001038971615330103,-0.016446854474214432,76561198370091257,I NEARLY,21.0,63.40999984741211,-97.75,37.59000015258789,-3830.1998901367188,18027.5,2166.300048828125,1711.7999267578125,-1599.7999572753906,4975.899963378906,255.0,255.0,True,-0.04827371069486667,1.1734403378577332,0.011246750050743761,True,False,4,47.0,False,5,,76561198004729694,just,12.0,2998.2099609375,-3975.06005859375,17.010000228881836,17659.000244140625,1312.1000671386719,3.0000001192092896,-0.5999999865889549,-0.09999999776482582,2882.3001098632812,255.0,255.0,True,-0.009603062047215043,2.865659480860209,0.00015146757641070982,True,False,255.0,False,False,False,310.0,enpitsu,76561198039309853,28,28.350000381469727,519.52001953125,80.68000030517578,-902.0999908447266,-22873.40087890625,2234.4000244140625,3645.7000732421875,-523.8999938964844,-1008.8999938964844,255.0,0.0,,-0.19476980526621462,-1.3739631790313978,-0.013298469516969976,True,31.0,False,2,False,1,,games5425898691,bf81d8692db,18.0,3090.3701171875,4265.5498046875,17.010000228881836,9245.30029296875,15040.50048828125,2.800000011920929,-0.5999999865889549,-0.09999999776482582,1925.8000183105469,128.0,255.0,,-0.009612791559874247,2.0549090370773087,3.919478484433828e-05,True,255.0,False,False,False,False,
1,176,0.0,False,False,0,5480.2468649066,198.35000610351562,-229.8699951171875,207.49000549316406,23798.701171875,-1707.5999450683594,11352.39990234375,3638.2998657226562,-135.9000015258789,-4768.999938964844,0.0,0.003716118227481211,-0.40853192599866167,0.11198388182736256,76561198039309853,enpitsu,28.0,-20.780000686645508,-328.67999267578125,96.7300033569336,912.9000091552734,22920.70068359375,1668.3999633789062,-5375.30029296875,1099.800033569336,-382.09999084472656,255.0,0.0,,0.7796799562913432,1.3000218894089368,-0.04627298692667619,True,False,1,31.0,False,2,,bf81d8692db,games5425898691,18.0,-3154.800048828125,-4394.06005859375,17.010000228881836,-6479.1998291015625,-15665.30029296875,2.800000011920929,0.3999999910593033,0.0,1934.6000671386719,128.0,255.0,,0.009618997486642421,-1.8943014237111215,1.5107662917160438e-05,True,False,255.0,False,False,False,,just,76561198004729694,12,-3141.89990234375,3957.030029296875,17.010000228881836,-16721.500244140625,-3057.5,3.1999999284744263,0.0,0.09999999776482582,3222.39990234375,255.0,255.0,False,0.00960038757661309,-2.609973728195694,8.091973596608758e-05,True,255.0,False,False,False,False,,I NEARLY,76561198370091257,21.0,-31.020000457763672,-52.709999084472656,58.59000015258789,3954.89990234375,-18054.7998046875,2708.800048828125,-1769.7999572753906,3491.099853515625,3863.800048828125,255.0,255.0,True,0.059851249037953726,-0.8135871721085297,-0.2567921232998158,True,47.0,False,6,False,4,
2,266,3.0,False,False,0,6266.296536442748,1867.550048828125,-483.989990234375,360.5199890136719,14433.800048828125,13018.599853515625,1979.7999572753906,3055.8999633789062,-4796.000061035156,1912.5999450683594,0.0,1.2354775492745929,1.542378445826811,-1.1206110116732948,76561198039309853,enpitsu,28.0,1767.050048828125,-544.22998046875,262.2699890136719,8422.39990234375,6849.6002197265625,-954.5999908447266,-5160.5999755859375,-1214.5999908447266,-1463.6000061035156,255.0,255.0,,-0.6496559927777098,0.5124800303472669,-2.08824618372329,True,False,3,0.0,False,4,,bf81d8692db,games5425898691,18.0,1608.3299560546875,-2474.02001953125,17.0,19143.900146484375,-7314.0997314453125,4.099999964237213,0.19999999552965164,0.0,-2013.5000610351562,255.0,0.0,,0.009587630567237737,-0.4434199324907383,-3.208212483495353e-05,True,False,180.0,False,False,False,,just,76561198004729694,12,154.1999969482422,5430.68994140625,19.940000534057617,6338.599853515625,2801.4999389648438,123.90000343322754,-16.699999570846558,-13.600000143051147,-52.199997901916504,255.0,128.0,False,0.04698536178481504,-1.1357974248386926,0.016778476637610184,True,255.0,False,4,False,4,,I NEARLY,76561198370091257,20.0,2612.1298828125,-335.8900146484375,17.010000228881836,15315.2001953125,4087.9000854492188,2.5,0.7999999821186066,0.0,41.99999809265137,255.0,128.0,False,0.009617344376580508,0.26647981744710214,-7.715767751276486e-05,True,0.0,False,6,False,6,
3,372,7.0,False,False,0,5032.971717876617,3682.7099609375,3050.449951171875,210.57000732421875,-7629.1998291015625,11698.900146484375,4567.699890136719,-28.599998950958252,931.2000274658203,-726.3999938964844,0.0,0.547903963699098,3.0044037819498968,0.31987040614826284,76561198039309853,enpitsu,28.0,3742.010009765625,2982.3798828125,71.1500015258789,-1115.0,13721.300048828125,3100.4998779296875,-4731.400146484375,-577.7999877929688,1413.5000610351562,255.0,255.0,,0.137545571736688,1.7334521821138795,0.006924161112733385,True,False,5,,False,6,,bf81d8692db,games5425898691,18.0,2955.469970703125,-4283.39013671875,17.010000228881836,-12905.400390625,153.69999885559082,2.8999999165534973,0.0,0.0,-2293.3999633789062,255.0,0.0,,0.009561051191918368,3.063913763979106,-9.807307668873862e-06,True,False,255.0,False,False,False,,just,76561198004729694,12,203.8000030517578,5512.5400390625,23.260000228881836,-2.5,-3.400000035762787,2.0000000298023224,-0.29999999329447746,0.5000000074505806,0.0,128.0,128.0,,0.04247438664643213,-0.9847464117025178,0.021871463069191032,True,255.0,False,4,False,4,,I NEARLY,76561198370091257,19.0,2759.68994140625,4537.83984375,17.010000228881836,-8630.800170898438,5887.9998779296875,3.0000001192092896,0.5999999865889549,1.0000000149011612,2492.899932861328,128.0,255.0,True,0.009666958143262471,2.631626080699066,0.00010610102642649373,True,255.0,False,6,False,6,
4,423,9.0,False,False,1,10647.130367099107,-2363.89990234375,-4995.7998046875,194.0800018310547,-2867.9998779296875,8881.199951171875,1631.199951171875,3241.6000366210938,-709.8999786376953,-4998.699951171875,1.0,-0.7567816306293967,-0.9971514214013938,0.4304714123464491,76561198370091257,I NEARLY,19.0,-2246.93994140625,-5103.009765625,254.49000549316406,-4025.10009765625,8.999999761581421,2577.2000122070312,20.199999809265137,-2229.1000366210938,-7.699999809265137,255.0,0.0,False,0.6442386965404,-0.011367652444167587,1.5650284728592796,True,False,6,255.0,False,6,,76561198004729694,just,12.0,-529.0599975585938,-5125.830078125,17.010000228881836,3.4999999403953552,1.7000000178813934,2.7000001072883606,1.4000000059604645,1.1999999731779099,0.0,128.0,128.0,,-0.00974024385858151,0.9508232756530596,-2.0490645853082016e-05,True,4,255.0,False,4,False,,enpitsu,76561198039309853,28,-2689.47998046875,-4730.5,65.7300033569336,13399.300537109375,-1957.1000671386719,-94.79999542236328,715.2999877929688,-423.49998474121094,1141.9999694824219,128.0,0.0,,0.019378916697481135,2.67414174004563,0.17563161050447398,True,,False,8,2,6,,games5425898691,bf81d8692db,18.0,-1077.6700439453125,1509.52001953125,20.75,9750.499877929688,-18120.6005859375,-2095.399932861328,2691.6000366210938,1483.0999755859375,-259.4000053405762,255.0,0.0,,0.08158757072983475,-2.055059292499427,-0.00016015802660277256,True,231.0,False,4,False,4,
5,466,10.0,False,False,1,9635.651826107955,-2763.570068359375,-3773.659912109375,111.44999694824219,483.10001373291016,19211.400146484375,2809.5999145507812,1015.8999633789062,-3958.2000732421875,-2223.000030517578,1.0,-0.6427023046282286,1.8444553874449199,1.2563190218188685,76561198370091257,I NEARLY,19.0,-2791.300048828125,-4016.860107421875,17.010000228881836,2139.600067138672,14800.400390625,1.5000000596046448,-0.0,-0.09999999776482582,1448.699951171875,255.0,255.0,False,-0.009590611202381506,1.712082396375836,0.0003156686841293697,False,False,6,204.77401285274055,True,6,,76561198004729694,just,12.0,-1513.3399658203125,-4321.240234375,17.010000228881836,-11590.999755859375,7606.099853515625,2.8999999165534973,-1.7000000178813934,1.0000000149011612,-1897.8999328613281,255.0,0.0,,-0.009573864207331396,0.6071498624230405,-0.0002798407022093613,True,4,218.0,False,4,False,,enpitsu,76561198039309853,28,-1340.9200439453125,-3934.89990234375,43.04999923706055,-3490.10009765625,12179.100341796875,3159.5001220703125,-285.6999969482422,-123.80000114440918,763.8999938964844,255.0,128.0,,-0.021900949254412914,1.1987730783136383,-0.0014449913444873456,True,,False,10,2,7,,games5425898691,bf81d8692db,17.0,-1910.6800537109375,-438.94000244140625,17.010000228881836,-16762.5,2455.7000732421875,2.5999999046325684,1.0999999940395355,0.09999999776482582,-133.00000190734863,255.0,128.0,,-0.009619067602329773,0.16229888197740536,0.0001432607394225285,True,231.0,False,4,False,4,
6,511,12.0,False,False,1,6979.27005265062,-2708.56005859375,-836.4000244140625,105.83999633789062,6688.4002685546875,16324.89990234375,2762.2000122070312,-2843.0999755859375,-1803.699951171875,-4966.099853515625,1.0,-0.04725070990802975,-1.4916480728491086,0.6366251427412851,76561198370091257,I NEARLY,19.0,-2859.679931640625,-936.6099853515625,16.989999771118164,4179.599914550781,20269.000244140625,5.199999809265137,-0.9000000357627869,-4.300000071525574,-522.400016784668,255.0,0.0,False,-0.00958434149788164,1.7717373286903195,-7.685453252052374e-06,False,False,6,140.0,False,6,,76561198004729694,just,12.0,-1468.8499755859375,-2292.820068359375,17.010000228881836,5887.5,12700.50048828125,2.7000001072883606,-1.7000000178813934,-4.600000083446503,943.7999725341797,255.0,128.0,,-0.009593544516203697,1.9472112940321606,-7.19577968960699e-05,True,4,249.0,False,4,False,,enpitsu,76561198039309853,28,-2088.5,-991.3300170898438,87.04000091552734,-278.0999946594238,22893.701171875,2101.9000244140625,-5497.39990234375,167.00000762939453,-23.299999237060547,255.0,128.0,,-0.6747873695663151,1.6045807806589805,-0.002658752238169495,True,31.0,False,12,2,9,22.0,games5425898691,bf81d8692db,17.0,-3688.949951171875,1766.0899658203125,17.010000228881836,-1647.1000671386719,22940.80078125,0.7999999821186066,-0.0,-0.9000000357627869,-9.300000071525574,255.0,128.0,,-0.009609156848486492,1.50029888800713,6.402114049065667e-05,True,152.0,False,4,False,4,
7,531,13.0,False,False,1,5718.104166498884,-2224.3701171875,348.3399963378906,131.38999938964844,4916.700134277344,18381.99951171875,-539.3000030517578,-971.2000274658203,-671.3999938964844,-4821.700134277344,1.0,-0.9644461905144925,2.9094562931530454,0.9577627998956866,76561198370091257,I NEARLY,19.0,-2194.090087890625,171.5800018310547,17.020000457763672,6534.0997314453125,15159.100341796875,-0.5999999865889549,-0.09999999776482582,-0.7000000029802322,1995.7000732421875,255.0,255.0,False,-0.009595424304124436,1.9141818834751212,8.700550196822053e-06,False,False,6,116.30619348761857,True,6,,76561198004729694,just,12.0,-1214.2099609375,-1279.3900146484375,17.010000228881836,5410.999755859375,12970.2001953125,2.800000011920929,1.5000000596046448,3.0000001192092896,829.1999816894531,255.0,255.0,,-0.009585915168654442,1.9946784912630373,0.0003020015109284541,True,4,249.0,False,4,False,,enpitsu,76561198039309853,28,-2107.360107421875,574.3400268554688,86.1500015258789,-276.1000061035156,22907.60009765625,-912.0999908447266,-3913.699951171875,126.00000381469727,-9.100000262260437,128.0,128.0,,0.9712062532611189,1.599395795230845,-0.004403847881984631,True,31.0,False,12,2,10,,games5425898691,bf81d8692db,17.0,-3624.909912109375,3319.840087890625,17.010000228881836,6656.199951171875,21639.29931640625,2.7000001072883606,-0.7000000029802322,-2.0999999344348907,-1412.5,255.0,0.0,,-0.009590017527157348,1.9052462445511167,-7.133709065679495e-05,True,152.0,False,4,False,4,
8,569,14.0,False,False,1,3528.862449657335,-1739.8399658203125,2793.679931640625,93.13999938964844,3114.89990234375,16070.999755859375,0.0,-5431.7999267578125,813.3999633789062,-2415.2999877929688,1.0,-0.7145501383509015,-1.0936350979253733,0.005863169690927996,76561198370091257,I NEARLY,20.0,-1920.18994140625,2869.949951171875,16.989999771118164,15499.49951171875,16525.400390625,5.299999713897705,-0.0,0.09999999776482582,-1950.0,255.0,0.0,,-0.009582521444662784,2.3994035920000134,-5.035693793056601e-06,,False,6,26.0,False,6,,76561198004729694,just,12.0,-1076.8199462890625,349.2900085449219,17.010000228881836,-6098.499755859375,12271.400146484375,2.5999999046325684,-0.5000000074505806,1.1999999731779099,-451.3999938964844,255.0,128.0,,-0.009576188767958457,1.1500989114488258,0.00016445218533329785,True,4,249.0,False,4,False,,enpitsu,76561198039309853,28,-1480.8699951171875,2586.47998046875,70.02999877929688,-1252.2000122070312,8539.69970703125,2961.099853515625,-897.0999908447266,-1937.5,2960.2999877929688,128.0,255.0,,-0.015653771031593215,1.986336903573133,-0.014996171864178991,True,73.0,False,14,2,11,,games5425898691,bf81d8692db,18.0,-1431.52001953125,4881.97021484375,17.010000228881836,14177.099609375,3127.3001098632812,2.5999999046325684,0.09999999776482582,-0.3999999910593033,-1.8000000715255737,255.0,128.0,,-0.00963340761668796,2.9247742103705443,-9.740868292299114e-06,True,152.0,False,4,False,4,
9,600,15.0,False,True,1,1523.5024846799188,24.530000686645508,3890.360107421875,119.80999755859375,3577.6998901367188,11673.299560546875,-1225.8999633789062,-1685.8999633789062,1808.0999755859375,-4496.700134277344,1.0,-0.3421322762185187,-0.7603316037727486,0.26193118818947103,76561198370091257,I NEARLY,20.0,134.27000427246094,3826.81005859375,76.19000244140625,6349.7998046875,7478.2000732421875,2997.0999145507812,-1168.7999725341797,-5170.7000732421875,1465.2999877929688,0.0,255.0,True,0.0969734860298848,2.2284897897521465,-0.30925339759285164,,False,7,42.0,False,8,,76561198004729694,just,12.0,-1161.0400390625,1757.0799560546875,17.010000228881836,11507.7001953125,6485.9002685546875,2.8999999165534973,-0.19999999552965164,-0.0,-2275.500030517578,255.0,0.0,,-0.009550268415052627,2.6963809495063766,1.009648841625708e-05,True,4,249.0,False,4,False,,enpitsu,76561198039309853,28,-1580.8900146484375,3690.39990234375,15.960000038146973,1667.7999877929688,7999.89990234375,-447.5,-648.7999725341797,-1526.3999938964844,-447.59998321533203,255.0,0.0,,-0.014839242469111103,2.001639252527355,0.015489665592681168,True,73.0,False,14,2,12,,games5425898691,bf81d8692db,18.0,11.380000114440918,4090.510009765625,43.209999084472656,12174.599609375,-14337.39990234375,3280.7000732421875,237.29999542236328,201.90000534057617,-2.8999999165534973,255.0,128.0,,-0.01478283967317049,-2.274260861106348,4.5044951330475446e-05,True,138.0,False,6,False,4,
