,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_dodge_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_double_jump_active,opp_2_dodge_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,169,0,False,False,0,5228.096677265141,36.56999969482422,-4.25,107.22000122070312,8753.099975585938,9107.999877929688,8017.7001953125,3914.2999267578125,843.3000183105469,-4468.299865722656,0.0,-0.06812861614976025,-0.32514216287215547,0.07324549249001526,76561198039309853,enpitsu,24.0,48.56999969482422,-156.8300018310547,109.91000366210938,-2968.9999389648438,6517.39990234375,3323.599853515625,-5184.89990234375,273.6000061035156,-1814.1000366210938,255.0,0.0,,0.7920891135130997,2.103178931994782,0.5416579827872463,True,0.0,False,2,False,1,,bf81d8692db,games5425898691,19.0,-2742.330078125,-4062.2900390625,17.010000228881836,-17055.699462890625,1412.8999328613281,2.3000000417232513,-0.19999999552965164,0.0,-1969.2999267578125,255.0,0.0,,0.009590247557722423,2.9900511238675067,-3.0120501037955526e-05,True,False,False,False,0.0,False,,pacoterreno,7008731131955861710,18.0,-48.04999923706055,148.69000244140625,105.79000091552734,5529.0997314453125,-1236.6999816894531,4387.39990234375,3524.8001098632812,3266.7001342773438,2674.7000122070312,221.0,110.0,,0.710846087477776,-1.1071695412406435,0.02135196731934808,True,0.0,False,4,3,False,,Cartonllu,7192326025122666278,67.0,76.91999816894531,2066.0400390625,17.010000228881836,-790.9999847412109,-12931.099853515625,2.0999999344348907,0.0,0.09999999776482582,-1.899999976158142,233.0,128.0,,0.009564999371199125,-1.6322336187684205,2.6671209605379185e-05,True,False,False,False,116.0,False,
1,170,0,False,False,1,5233.743687784681,-50.810001373291016,-7.389999866485596,118.62000274658203,-11970.799560546875,982.2000122070312,7238.499755859375,4563.699951171875,1431.199951171875,1573.5000610351562,1.0,0.07494603189086575,0.3489726082599377,0.07008694774045073,7008731131955861710,pacoterreno,18.0,48.04999923706055,-148.69000244140625,105.79000091552734,-5529.0997314453125,1236.6999816894531,4387.39990234375,-3524.8001098632812,-3266.7001342773438,2674.7000122070312,221.0,110.0,,-0.710846087477776,1.1071695412406435,0.02135196731934808,True,0.0,False,4,False,3,,7192326025122666278,Cartonllu,20.0,-76.91999816894531,-2066.0400390625,17.010000228881836,790.9999847412109,12931.099853515625,2.0999999344348907,-0.0,-0.09999999776482582,-1.899999976158142,233.0,128.0,,-0.009564999371199125,1.6322336187684205,2.6671209605379185e-05,True,False,False,False,116.0,False,,enpitsu,76561198039309853,24.0,-48.56999969482422,156.8300018310547,109.91000366210938,2968.9999389648438,-6517.39990234375,3323.599853515625,5184.89990234375,-273.6000061035156,-1814.1000366210938,255.0,0.0,,-0.7920891135130997,-2.103178931994782,0.5416579827872463,True,0.0,False,2,1,False,,games5425898691,bf81d8692db,19.0,2742.330078125,4062.2900390625,17.010000228881836,17055.699462890625,-1412.8999328613281,2.3000000417232513,0.19999999552965164,-0.0,-1969.2999267578125,255.0,0.0,,-0.009590247557722423,-2.9900511238675067,-3.0120501037955526e-05,True,False,False,False,0.0,False,
2,231,2,False,False,1,6073.225744510091,-2640.320068359375,202.5399932861328,94.58999633789062,-7605.4998779296875,-545.8000183105469,4362.39990234375,422.00000762939453,-5881.199951171875,1110.2999877929688,1.0,-0.8520592698718248,0.42774264360106057,1.0312091941139798,7192326025122666278,Cartonllu,20.0,-2629.199951171875,48.369998931884766,17.010000228881836,-16326.199951171875,4906.7999267578125,2.199999988079071,1.2999999523162842,-0.7999999821186066,-1213.3000183105469,128.0,0.0,,-0.00961330339354848,0.30151244373405967,-0.00018893373180355527,True,66.0,False,False,False,False,,7008731131955861710,pacoterreno,18.0,-1653.31005859375,-15.760000228881836,17.010000228881836,-14513.699951171875,-325.49999237060547,1.8000000715255737,0.09999999776482582,-0.5000000074505806,-1.5000000596046448,219.0,128.0,,-0.009554531227470959,-0.02217900406173937,2.5032294099069117e-05,True,4,4,False,0.0,False,,enpitsu,76561198039309853,24.0,-62.689998626708984,244.67999267578125,17.049999237060547,1005.8999633789062,9921.799926757812,2.5999999046325684,-0.0,-1.0999999940395355,-28.80000114440918,255.0,128.0,False,-0.016683575766411267,1.6757373392838357,0.00010172150794770794,True,0.0,False,2,2,False,,games5425898691,bf81d8692db,19.0,1914.8299560546875,3568.02001953125,17.010000228881836,-8437.7001953125,13611.8994140625,2.0999999344348907,-0.19999999552965164,-0.0,-74.80000019073486,255.0,128.0,,-0.009576505712456693,1.0197587801212724,3.7602822582650536e-06,True,False,False,False,215.0,False,
3,268,3,False,False,1,6756.6305134130125,-3639.14990234375,131.55999755859375,93.27999877929688,-6744.4000244140625,-476.89998626708984,2582.39990234375,418.49998474121094,-5918.900146484375,889.1000366210938,1.0,-0.523625399914668,2.6399705337779347,-1.7961531384213034,7008731131955861710,pacoterreno,17.0,-3579.239990234375,-25.75,17.010000228881836,-13498.699951171875,3893.9999389648438,2.3000000417232513,-0.7999999821186066,-0.0,-2026.4999389648438,227.0,0.0,,-0.009577736365388443,0.329043818191245,-0.00011905130371223991,True,255.0,False,4,False,4,,7192326025122666278,Cartonllu,20.0,-3960.6298828125,728.3499755859375,52.849998474121094,-4448.299865722656,7202.60009765625,2469.1000366210938,-1386.1000061035156,2332.899932861328,-2060.8999633789062,230.0,0.0,,0.32981583520115826,1.0242841684387936,0.41944235949237385,True,False,False,False,66.0,False,,enpitsu,76561198039309853,24.0,113.4800033569336,1894.7900390625,17.049999237060547,1496.9999694824219,13998.599853515625,2.5999999046325684,-0.5000000074505806,-0.29999999329447746,0.0,255.0,128.0,False,-0.01671890256304603,1.677348667072807,3.2917190844195634e-05,False,31.0,False,2,2,False,,games5425898691,bf81d8692db,19.0,501.7699890136719,5160.31982421875,17.010000228881836,-14142.5,6472.80029296875,2.3000000417232513,0.9000000357627869,-0.19999999552965164,1873.699951171875,255.0,255.0,,-0.00960402413380536,0.3832898950482622,0.0001314086859974269,True,False,False,False,215.0,False,
4,279,4,False,False,1,6784.31391663361,-3993.97998046875,437.3399963378906,214.02999877929688,4128.699951171875,4546.9000244140625,4514.100036621094,799.3000030517578,-3426.6000366210938,4859.89990234375,1.0,0.15761918227346275,-1.9024099626882374,-0.5256466570624051,7008731131955861710,pacoterreno,17.0,-3936.43994140625,219.80999755859375,38.34000015258789,-8002.7001953125,9648.900146484375,3207.9998779296875,931.1000061035156,3701.9000244140625,828.7999725341797,221.0,255.0,,0.28659853022645365,0.8833729856058512,0.29431279614013495,True,255.0,False,4,False,4,,7192326025122666278,Cartonllu,20.0,-3993.409912109375,1098.3499755859375,76.30000305175781,2436.4999389648438,9671.199951171875,-1999.4999694824219,-1166.3999938964844,-1450.2999877929688,-1863.6000061035156,230.0,0.0,,-0.2336887149991604,1.8363892873984702,0.7026693223198685,True,False,False,False,66.0,False,,enpitsu,76561198039309853,24.0,100.70999908447266,2492.360107421875,17.049999237060547,-983.7999725341797,14066.8994140625,2.5999999046325684,-0.0,0.3999999910593033,7.300000190734863,255.0,,,-0.016766261272209294,1.5000042645587037,-3.993837004366953e-05,,31.0,False,2,2,False,,games5425898691,bf81d8692db,19.0,10.789999961853027,5213.89013671875,17.010000228881836,-14233.699951171875,-3236.300048828125,2.3000000417232513,-0.0,-0.09999999776482582,2086.7999267578125,255.0,255.0,,-0.009582676816758829,-0.29011167098457147,-2.3136717489904464e-05,True,False,False,False,215.0,False,
5,324,5,False,False,1,5815.069062684664,-3335.719970703125,1151.5699462890625,99.5999984741211,14903.900146484375,-3315.8999633789062,6967.2998046875,-4136.499938964844,-2364.9000549316406,3646.400146484375,1.0,1.2572742827664622,0.35459498623424496,-1.2301207745542744,7008731131955861710,pacoterreno,17.0,-3529.1201171875,1236.6600341796875,16.989999771118164,11754.100341796875,-2908.699951171875,10.90000033378601,9.300000071525574,7.900000214576721,-2324.4000244140625,212.0,0.0,,-0.008992705448577276,-2.836019274922792,-0.0004077066149492966,True,232.0,False,4,False,4,,7192326025122666278,Cartonllu,16.0,-2679.570068359375,385.5299987792969,105.94000244140625,-1037.699966430664,-18324.599609375,384.90001678466797,4498.800048828125,-3107.60009765625,-594.1999816894531,238.0,89.0,,-1.1052212338745406,-1.9165662371795906,0.8840063746440442,True,4,3,False,14.0,False,,enpitsu,76561198039309853,24.0,159.97000122070312,4693.18017578125,17.049999237060547,-2937.9000854492188,10320.999755859375,3.1999999284744263,0.09999999776482582,-0.7999999821186066,1807.7000427246094,128.0,255.0,,-0.016839580658888253,1.2874798918517862,0.00026680606537668705,True,61.0,False,2,2,False,,games5425898691,bf81d8692db,19.0,-28.15999984741211,5254.0,17.010000228881836,-530.4999923706055,-356.50001525878906,2.0000000298023224,0.5000000074505806,-1.0000000149011612,0.0,255.0,128.0,,-0.009358611770143414,-0.5916652001743529,-7.104929863626248e-06,True,False,False,False,215.0,False,
6,381,7,False,False,1,4808.079289249066,-317.82000732421875,487.6600036621094,119.31999969482422,13559.7998046875,8446.199951171875,-434.00001525878906,-734.3000030517578,-523.6999893188477,2354.600067138672,1.0,1.2904803106939753,0.2749389103640047,-1.335175004143937,7008731131955861710,pacoterreno,16.0,-408.4599914550781,348.29998779296875,16.989999771118164,14164.3994140625,4649.100036621094,4.699999988079071,0.3999999910593033,-0.0,1654.7000122070312,241.0,255.0,,-0.00959102491876616,2.799055114194891,0.00016424336157254847,True,156.0,False,4,False,4,,7192326025122666278,Cartonllu,16.0,-3131.469970703125,-3558.389892578125,17.0,-1344.4000244140625,-19687.19970703125,3.400000035762787,-0.0,-2.3000000417232513,495.0,233.0,200.0,,-0.00958867111981464,-1.5044328022209885,2.5227811026663834e-05,True,4,4,False,0.0,False,,enpitsu,76561198039309853,24.0,46.95000076293945,4135.3798828125,17.049999237060547,11111.400146484375,4242.39990234375,3.1999999284744263,-0.3999999910593033,-0.0,2377.5,255.0,255.0,,-0.01670743563086892,2.7169787671653536,4.1771966979670365e-05,True,92.0,False,2,2,False,,games5425898691,bf81d8692db,19.0,-1124.3399658203125,3831.389892578125,17.010000228881836,9155.499877929688,-13151.500244140625,-0.3999999910593033,0.3999999910593033,-1.0000000149011612,51.90000057220459,255.0,128.0,,-0.00961458454592706,-2.185960906402858,-5.178109351772346e-05,True,False,False,False,183.69671408848097,True,
7,407,8,False,False,1,3925.1673822885605,838.760009765625,1215.25,93.20999908447266,11144.599609375,7082.39990234375,226.90000534057617,-3387.60009765625,4501.499938964844,2063.8999938964844,1.0,-0.15625242817804985,1.2542602184920615,3.113974170115621,7008731131955861710,pacoterreno,16.0,795.5999755859375,916.719970703125,17.0,10702.80029296875,13069.300537109375,0.9000000357627869,-4.300000071525574,-5.899999737739563,341.1000061035156,255.0,10.0,,-0.009598093281805572,2.1903217491076803,-0.00019618789713971192,True,121.55711825688684,True,4,False,4,,7192326025122666278,Cartonllu,15.0,-2151.860107421875,-4875.06005859375,17.0,17016.8994140625,711.3999938964844,3.4999999403953552,-0.19999999552965164,0.09999999776482582,1981.300048828125,234.0,255.0,,-0.009589476598266975,3.029736161170315,2.3572475892867428e-05,True,4,4,False,255.0,False,,enpitsu,76561198039309853,24.0,762.02001953125,4956.81982421875,17.049999237060547,1485.0,3037.60009765625,2.5,-16.59999966621399,4.4999998807907104,-1188.7999725341797,0.0,128.0,False,-0.017158314828632944,-2.7690234082359244,-0.00021990593094534965,True,92.0,False,2,2,False,,games5425898691,bf81d8692db,19.0,164.0,2515.320068359375,17.010000228881836,19616.400146484375,-12008.1005859375,-0.19999999552965164,3.0000001192092896,-1.899999976158142,842.7999877929688,255.0,235.0,,-0.009599692845917314,-2.603497104009603,8.95594302341553e-05,True,False,False,False,102.29070110987588,True,
8,410,8,False,False,1,3843.312432834923,967.8900146484375,1297.3599853515625,93.19999694824219,10925.899658203125,6955.4998779296875,55.59999942779541,-3369.4000244140625,4588.999938964844,1893.9999389648438,1.0,-0.24582028561547759,0.8696272406664265,-2.499260517249528,7008731131955861710,pacoterreno,16.0,1008.8900146484375,1162.56005859375,17.0,13392.900390625,12797.60009765625,1.1999999731779099,1.1999999731779099,1.2999999523162842,-1830.5000305175781,255.0,0.0,,-0.009581388966482014,2.4291208407071205,-0.00014741400369845602,True,112.09729040053587,True,4,False,4,,7192326025122666278,Cartonllu,15.0,-2012.5699462890625,-4856.4501953125,17.0,16396.099853515625,3455.8999633789062,3.4999999403953552,-0.19999999552965164,-0.0,1994.7999572753906,235.0,255.0,,-0.009576609289266812,2.863993211895286,3.5951466373648374e-05,True,4,4,False,255.0,False,,enpitsu,76561198039309853,24.0,767.6400146484375,4979.7001953125,17.049999237060547,-48.00000190734863,2471.7999267578125,2.5999999046325684,3.0000001192092896,-2.199999988079071,-782.6999664306641,0.0,128.0,False,-0.017048152354830412,-2.700415792968189,-0.00023462656322881706,True,92.0,False,2,2,False,,games5425898691,bf81d8692db,19.0,331.3999938964844,2420.7099609375,17.010000228881836,20350.2001953125,-10717.60009765625,-0.09999999776482582,-3.400000035762787,1.7000000178813934,873.7999725341797,255.0,146.0,,-0.009595245859721487,-2.6937812083481454,7.790142361834144e-05,True,False,False,False,92.83087325352491,True,
9,422,9,False,False,0,6930.646175725467,-1401.3199462890625,-1772.199951171875,115.7300033569336,-17994.599609375,17956.700439453125,10624.200439453125,5909.4000244140625,1038.1999969482422,-32.799999713897705,0.0,-0.8296220397208021,1.3721074535908968,-2.1545767634150126,bf81d8692db,games5425898691,19.0,-1250.18994140625,-1980.5899658203125,17.010000228881836,-19864.300537109375,11593.399658203125,-0.19999999552965164,3.799999952316284,-2.0999999344348907,-1050.199966430664,255.0,0.0,,0.009599165457790876,2.5962960691303154,-6.802403976720363e-05,True,55.30396579414283,True,False,False,False,,76561198039309853,enpitsu,24.0,-665.75,-5055.10986328125,17.049999237060547,2601.7999267578125,-1533.6000061035156,2.5999999046325684,0.7000000029802322,0.19999999552965164,-1.2999999523162842,128.0,128.0,False,0.016749021274259118,2.6088545374319096,4.3442601758415865e-05,True,2,2,False,92.0,False,,pacoterreno,7008731131955861710,16.0,-1609.969970703125,-1599.4200439453125,16.989999771118164,-12798.499755859375,-10280.2001953125,4.699999988079071,1.8000000715255737,-1.0000000149011612,1458.800048828125,91.0,255.0,,0.00981247041454533,-2.4333653557287613,0.00017088189184152506,True,99.0,False,4,4,False,,Cartonllu,7192326025122666278,15.0,1474.0799560546875,4465.8798828125,17.0,-8828.499755859375,-12888.399658203125,3.3000001311302185,-0.19999999552965164,-0.19999999552965164,342.90000915527344,231.0,128.0,,0.009595706555982101,-2.1350502703310883,-0.00019182998783470317,True,False,4,4,255.0,False,
