,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_boost,shot_taker_boost_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_boost_collect
0,178,0,False,False,1,5228.7186542726,19.850000381469727,-14.789999961853027,111.68000030517578,6527.2998046875,-4083.3999633789062,1628.6000061035156,-2786.7999267578125,-1672.1000671386719,2742.5,1.0,-0.035994733595787524,-0.05170365329294541,0.27947203365097417,6980277146675983970,ICW-Tazzajkad,9.0,-25.6200008392334,-165.72000122070312,70.4800033569336,5021.400146484375,-233.60000610351562,1835.8000183105469,4056.7001342773438,2566.7001342773438,-2683.9999389648438,255.0,0.0,,0.4019203725036036,1.8387261094579583,0.005514802650582536,True,3,0.0,False,False,4,,7446556733963769775,Boss_Dems,10.0,-149.77999877929688,-2153.639892578125,17.010000228881836,713.0999755859375,14034.300537109375,2.199999988079071,-0.0,-1.5000000596046448,-1407.7000427246094,255.0,46.0,,-0.009576577454157336,1.6401286811310467,-0.00011836532043498208,True,False,False,False,116.0,False,,enpitsu,76561198039309853,29.0,1.4600000381469727,118.48999786376953,107.02999877929688,-13.09999942779541,-22928.30078125,44.29999828338623,5499.89990234375,-2.5999999046325684,0.0,255.0,128.0,,-1.4398770587361565,-1.5702196747535957,-9.94231348593552e-05,True,31.0,False,2,False,1,,games5425898691,bf81d8692db,18.0,-2871.1201171875,4077.75,17.010000228881836,-18458.699951171875,5284.6002197265625,2.3000000417232513,1.0000000149011612,-0.5999999865889549,1836.4999389648438,128.0,255.0,,-0.009615557549602062,0.22173518349086455,0.0001183212754179373,True,False,False,255.0,False,False,50.0
1,195,0,False,False,1,5205.577672788187,489.3500061035156,-49.66999816894531,95.5199966430664,6660.5999755859375,-18.50000023841858,599.7000122070312,-1624.7999572753906,2165.2000427246094,-1226.2999725341797,1.0,-0.24095116888434015,0.035375581224593125,1.9778559275480418,6980277146675983970,ICW-Tazzajkad,9.0,276.8999938964844,-269.4100036621094,83.41000366210938,5344.2999267578125,-1722.8999328613281,-146.19999885559082,2304.2999267578125,4203.699951171875,2696.0000610351562,255.0,40.0,True,0.5713129973847443,2.0475900644692384,-1.9207287059575857,True,3,0.0,False,False,4,,7446556733963769775,Boss_Dems,10.0,45.040000915527344,-1350.68994140625,17.010000228881836,7714.4000244140625,12202.7001953125,0.0,1.7000000178813934,3.0000001192092896,-1769.7000122070312,255.0,109.0,,-0.00957117877352949,2.2011200993239237,-6.9055071822551655e-06,True,False,False,False,106.6047656331011,True,,enpitsu,76561198039309853,29.0,47.470001220703125,115.11000061035156,102.08000183105469,747.9000091552734,65.79999923706055,-1126.6000366210938,3265.4998779296875,865.8000183105469,207.39999771118164,255.0,255.0,,0.7208505175060885,-1.7758936134600412,0.08195266390244538,True,31.0,False,2,False,2,,games5425898691,bf81d8692db,18.0,-3799.090087890625,3817.090087890625,17.989999771118164,-10247.7001953125,-12345.400390625,261.70000076293945,495.99998474121094,791.2000274658203,2042.2999572753906,255.0,255.0,,0.007042685362558167,-0.9411660587115689,-0.035645391237592014,True,False,False,255.0,False,False,
2,217,1,False,False,1,5174.6079121233815,968.5,-34.099998474121094,93.1500015258789,5215.0,404.39998626708984,0.0,-443.1999969482422,5715.10009765625,-1226.2999725341797,1.0,-0.06701941728759239,2.4818898619024354,-1.1605055987533364,7446556733963769775,Boss_Dems,10.0,985.9600219726562,-210.6699981689453,17.010000228881836,9908.099975585938,15703.699951171875,2.199999988079071,-2.5,-4.000000059604645,1162.5,255.0,128.0,,-0.00958269099495682,2.083113302813299,6.126083490674054e-05,True,False,73.0,False,False,False,,6980277146675983970,ICW-Tazzajkad,9.0,712.3800048828125,-246.10000610351562,17.010000228881836,5067.799987792969,4854.89990234375,2.8999999165534973,0.7000000029802322,-2.7000001072883606,886.8000030517578,255.0,128.0,False,-0.009631579456468161,2.3374506826815873,-0.00033035665416159644,True,4,4,False,0.0,False,,enpitsu,76561198039309853,29.0,214.3699951171875,70.08000183105469,17.049999237060547,5794.89990234375,-257.00000762939453,3.100000023841858,0.7000000029802322,1.4000000059604645,2223.699951171875,255.0,255.0,,-0.016558149369936347,-3.0652833660367445,-4.1893465185390566e-07,True,31.0,False,2,False,2,,games5425898691,bf81d8692db,18.0,-3582.2099609375,2681.3798828125,17.0,14628.699951171875,-10319.7998046875,10.800000429153442,-29.800000190734863,41.79999828338623,1950.8999633789062,255.0,255.0,,-0.008756283275319635,-2.594201050672974,0.002388692315351952,True,False,False,204.8616774236002,True,False,
3,272,3,True,True,1,1509.7944939873819,1388.9000244140625,3712.929931640625,163.0,-8614.400024414062,17115.50048828125,3064.89990234375,-4182.799987792969,1971.3999938964844,3823.2000732421875,1.0,0.04616299292202885,1.5577587321335555,2.8009991214118646,7446556733963769775,Boss_Dems,10.0,1566.2099609375,3690.02001953125,117.33999633789062,-2568.900146484375,22395.90087890625,1558.9999389648438,-30.399999618530273,520.099983215332,3316.300048828125,255.0,128.0,,-0.15296895759272133,0.5078393246036718,0.06197158601301982,True,False,45.0,False,False,4,,6980277146675983970,ICW-Tazzajkad,10.0,2930.340087890625,-162.1199951171875,17.010000228881836,13824.3994140625,-2553.6000061035156,2.0999999344348907,-4.099999964237213,0.7999999821186066,1039.1999816894531,251.0,128.0,False,-0.009590179781345354,-2.980582128507324,0.00019507935959515914,True,4,4,False,0.0,False,,enpitsu,76561198039309853,30.0,1287.2099609375,2667.389892578125,78.47000122070312,5704.89990234375,18305.10009765625,-1669.2999267578125,-2661.400146484375,828.4999847412109,0.0,128.0,0.0,,0.5471106966633708,1.872735874916822,-5.576736804728349e-05,True,0.0,False,4,False,4,,games5425898691,bf81d8692db,19.0,95.7699966430664,4422.9599609375,84.68000030517578,21930.90087890625,6535.4998779296875,2306.699981689453,201.49999618530273,-2153.8999938964844,-1828.3999633789062,255.0,16.0,,0.1888085945770456,-3.069159676125347,0.019360171025132666,True,4,False,92.20596972844933,True,False,
4,549,4,False,False,1,5201.9544796278215,4.480000019073486,15.010000228881836,99.04000091552734,4179.700012207031,22456.4990234375,6643.599853515625,2962.5,-2744.7000122070312,4437.200012207031,1.0,-0.03342247804725041,-0.052021405495927445,-0.03423148346419161,7446556733963769775,Boss_Dems,10.0,-40.68000030517578,-167.75999450683594,17.010000228881836,13308.499755859375,14568.1005859375,1.899999976158142,-0.29999999329447746,-0.3999999910593033,-11.000000238418579,255.0,123.0,,-0.009597383125520909,2.3090117709840166,2.5808711112891456e-05,True,False,0.0,False,False,False,,6980277146675983970,ICW-Tazzajkad,10.0,-239.6999969482422,-3804.97998046875,17.010000228881836,-817.3000335693359,7090.7000732421875,2.0999999344348907,-0.0,0.3999999910593033,-511.3999938964844,251.0,128.0,False,-0.009515257125599199,1.7718352860617554,-8.854873034171559e-06,True,4,4,False,116.0,False,,enpitsu,76561198039309853,30.0,-0.0,5102.97021484375,17.049999237060547,-0.0,8268.300170898438,2.5999999046325684,-0.5999999865889549,-0.0,0.0,255.0,,,-0.01674677600886567,-1.5707748601881248,-2.392834531677249e-07,True,116.0,False,False,False,False,,games5425898691,bf81d8692db,18.0,75.33999633789062,371.7699890136719,78.6500015258789,-2337.2999572753906,-22684.599609375,2448.5000610351562,5499.2999267578125,-19.09999966621399,80.50000190734863,128.0,137.0,,-0.5743959929311833,-1.5703845787198583,0.0037366670382289126,True,4,3,0.0,False,False,
5,551,4,False,False,0,5244.290727532206,-11.600000381469727,-29.18000030517578,189.55999755859375,3883.2998657226562,21125.50048828125,12980.999755859375,5904.69970703125,-305.9000015258789,1019.8999786376953,0.0,0.012698914720643256,0.38868071395698167,0.3065502857700908,bf81d8692db,games5425898691,18.0,-56.4900016784668,-193.0399932861328,93.87000274658203,2102.899932861328,18779.89990234375,738.0999755859375,-4604.2999267578125,1309.1999816894531,-2708.3999633789062,128.0,164.0,,1.1931620849213116,1.5317713672933444,0.165851529999952,True,3,0.0,False,False,4,,76561198039309853,enpitsu,30.0,0.0,-5170.56982421875,17.049999237060547,0.0,-6051.199951171875,2.5999999046325684,4.000000059604645,0.0,0.0,255.0,,,0.016517885932029172,1.5707729566138313,-2.5279878503283695e-07,True,False,False,False,116.0,False,,ICW-Tazzajkad,6980277146675983970,10.0,239.47999572753906,3738.550048828125,17.010000228881836,-676.6000366210938,-7380.4998779296875,2.0999999344348907,0.0,-0.5000000074505806,-348.69998931884766,251.0,128.0,False,0.00952004721976329,-1.8112250720617928,-1.2629005540863702e-05,True,116.0,False,4,False,4,,Boss_Dems,7446556733963769775,10.0,-62.63999938964844,60.13999938964844,16.149999618530273,-12137.80029296875,-13018.399658203125,130.79999923706055,97.60000228881836,-106.70000076293945,-619.1999816894531,255.0,47.0,,0.0007045795708475423,-2.2926415809778633,-0.0008123195591767639,True,False,False,0.0,False,False,
6,652,8,False,True,0,2575.2112192109225,1233.25,3691.550048828125,422.8399963378906,-5843.0999755859375,6246.5997314453125,1626.7999267578125,-657.6999664306641,-4293.299865722656,4139.2999267578125,0.0,-0.6628046708523542,-0.20315105060241404,2.9462524152889977,bf81d8692db,games5425898691,18.0,1269.6199951171875,3587.389892578125,284.8500061035156,-1871.6000366210938,6460.9002685546875,3512.60009765625,78.29999923706055,683.0000305175781,266.49999618530273,255.0,128.0,,-0.8183848988504087,0.8404538577591001,1.7778261072538422,True,4,0.0,False,False,6,,76561198039309853,enpitsu,29.0,-35.540000915527344,-4803.33984375,17.049999237060547,-527.2000122070312,5924.6002197265625,2.5999999046325684,0.0,0.0,0.0,255.0,128.0,,0.016610340157923682,1.6595793201332527,4.6313460177927275e-06,True,False,False,False,116.0,False,,ICW-Tazzajkad,6980277146675983970,10.0,1403.25,4208.77978515625,17.010000228881836,-7876.400146484375,3641.300048828125,-0.29999999329447746,1.899999976158142,-0.9000000357627869,-113.50000381469727,255.0,128.0,False,0.009514675262384347,2.6968575025160457,0.00017722089462555976,True,94.11148371747746,True,4,False,4,,Boss_Dems,7446556733963769775,10.0,-3713.989990234375,2579.919921875,16.979999542236328,1195.5999755859375,22968.89892578125,3.400000035762787,0.0,-0.5999999865889549,156.09999656677246,255.0,128.0,,0.009584439460927099,1.5274761510658816,-1.6852221118534775e-05,True,False,False,177.0,False,False,
7,683,9,False,False,1,9617.812390497627,-586.9400024414062,-4362.7998046875,211.94000244140625,2045.2000427246094,7380.2001953125,1546.4999389648438,3972.6998901367188,1962.7999877929688,4045.2999877929688,1.0,0.9575444809690915,-0.3764546726464152,2.691937182706515,6980277146675983970,ICW-Tazzajkad,10.0,-554.4400024414062,-4467.14990234375,126.31999969482422,4249.4000244140625,4943.999938964844,1779.7000122070312,-5400.7000732421875,-790.8999633789062,-675.1000213623047,255.0,255.0,,-0.046420501622206074,2.7374054641168173,-0.7554267722025659,True,5,87.0,False,False,6,,7446556733963769775,Boss_Dems,11.0,2546.27001953125,-4702.31005859375,16.989999771118164,-10741.800537109375,-8698.400268554688,4.600000083446503,0.29999999329447746,0.19999999552965164,-813.3000183105469,76.0,71.0,,-0.00995129988660111,-0.6695721357599289,-8.524649074020679e-05,True,False,False,False,255.0,False,,enpitsu,76561198039309853,30.0,-42.650001525878906,3609.9599609375,17.049999237060547,-1055.2999877929688,-12669.3994140625,2.5999999046325684,0.5000000074505806,0.29999999329447746,0.0,255.0,255.0,,-0.016678573427321458,-1.4876665112987708,3.1725902563381596e-05,True,146.0,False,False,False,False,,games5425898691,bf81d8692db,18.0,-1191.3199462890625,-4140.64990234375,42.709999084472656,570.2999877929688,-4607.200012207031,-5705.10009765625,-543.8999938964844,4114.800109863281,-1424.6000671386719,255.0,128.0,,0.04761838617225794,2.9897504510709845,-0.4378093643988533,True,6,4,,False,False,
8,725,10,False,False,0,2086.807697467667,284.6600036621094,3419.300048828125,125.41999816894531,-10985.50048828125,-6283.4002685546875,2650.1998901367188,-1423.9999389648438,2428.3999633789062,817.2000122070312,0.0,-1.2863893891270417,-0.28132507626607706,-0.1354704743559789,bf81d8692db,games5425898691,18.0,469.5400085449219,3475.1201171875,17.010000228881836,-8665.999755859375,-7887.1002197265625,2.0999999344348907,0.0,0.0,-341.50001525878906,255.0,125.0,,0.009551678967037604,-2.4278991450696403,0.0001236931711435617,True,4,,False,False,6,,76561198039309853,enpitsu,30.0,-9.65999984741211,-2439.820068359375,17.049999237060547,-244.89999771118164,-4259.100036621094,2.5999999046325684,0.7999999821186066,0.0,0.0,0.0,128.0,,0.017043697343053783,1.513304828606345,-1.6392869449375913e-06,True,False,False,False,177.0,False,,ICW-Tazzajkad,6980277146675983970,10.0,-74.30000305175781,3567.909912109375,17.010000228881836,-4529.100036621094,-9487.2998046875,2.5999999046325684,-1.0999999940395355,-1.8000000715255737,-2218.5000610351562,232.0,0.0,False,0.009573920464724528,-2.0462139582138565,-0.00020796768028604745,True,66.0,False,6,False,6,,Boss_Dems,7446556733963769775,11.0,-277.6099853515625,4028.590087890625,16.989999771118164,16926.700439453125,-15571.8994140625,2.3999999463558197,0.5999999865889549,-0.7000000029802322,-1741.9000244140625,255.0,27.0,,0.00959703357855162,-0.7946565505496829,-0.00014843152939233824,True,False,False,158.37956143963726,True,False,
9,758,11,False,False,0,2428.7163811412165,-985.4099731445312,2712.929931640625,128.6199951171875,-18493.599853515625,3462.9998779296875,3873.2000732421875,1914.9000549316406,-1211.500015258789,1280.5999755859375,0.0,0.6174935223148683,1.1297508876394773,-0.7415788359405797,bf81d8692db,games5425898691,19.0,-824.2999877929688,2605.929931640625,51.560001373291016,-15751.400146484375,317.8000068664551,3239.8001098632812,-77.30000019073486,-579.0000152587891,-2109.9000549316406,255.0,40.0,,0.026398255494948914,2.937744523259581,-0.0009158273806109919,True,4,0.0,False,False,8,,76561198039309853,enpitsu,29.0,-161.8300018310547,-3499.409912109375,17.049999237060547,-6897.60009765625,-9046.900024414062,2.8999999165534973,3.4999999403953552,3.1999999284744263,-1781.7999267578125,0.0,128.0,,0.016853380198693344,0.7573283819473091,3.407124727657586e-05,True,False,False,False,177.0,False,,ICW-Tazzajkad,6980277146675983970,10.0,-970.72998046875,2977.5400390625,17.010000228881836,-8027.1002197265625,-11619.49951171875,-0.19999999552965164,-1.1999999731779099,-2.199999988079071,651.1000061035156,255.0,174.0,False,0.00957388058327232,-2.1462293503966077,-0.00020753949644317652,True,17.90476568539937,True,6,False,6,,Boss_Dems,7446556733963769775,11.0,950.3400268554688,1649.9000244140625,90.18000030517578,9230.2001953125,-20570.2001953125,-1914.4000244140625,1803.6000061035156,-137.29999542236328,-666.1000061035156,255.0,132.0,,-0.16997735109251114,-0.9678707574077402,-0.6123660050887803,False,4,4,151.0,False,False,
