,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost_collect,opp_2_handbrake
0,171,0,False,False,1,5141.204907807481,-187.1999969482422,114.19999694824219,121.41999816894531,-33810.6005859375,6977.0001220703125,4313.900146484375,-692.6000213623047,2577.9000854492188,5373.499755859375,1.0,0.04602265025398062,0.4019969162239983,0.11107721654366084,2535415034069482,luk3f3rr13r,8.0,-50.65999984741211,-6.139999866485596,114.5,-12916.099853515625,12380.6005859375,501.1000061035156,4204.800109863281,-3538.0999755859375,-223.70000839233398,254.0,255.0,True,-0.1844234565043229,1.6497943746161046,-1.7012967065965188,True,0.0,False,4,3,False,,2535452288653959,Byrom ig,10.0,-2984.739990234375,-4158.39990234375,17.010000228881836,-15447.7001953125,2153.6000061035156,3.4999999403953552,-0.5000000074505806,-0.0,-3403.0999755859375,254.0,0.0,False,-0.009591239289154842,0.46194384358001184,-5.5391432169895104e-05,True,False,255.0,False,False,False,,enpitsu,76561198039309853,25,-0.019999999552965164,3570.39990234375,17.049999237060547,162.90000915527344,-10033.599853515625,3.1999999284744263,-0.0,-0.5999999865889549,48.400001525878906,255.0,128.0,False,-0.016679874183711255,-1.5929285955500117,-6.725969612075865e-05,True,False,False,False,116.0,False,,games5425898691,bf81d8692db,19.0,-68.56999969482422,247.6999969482422,91.91999816894531,342.99999237060547,-18307.5,1439.6000671386719,5248.900146484375,-1207.9000091552734,-1113.3000183105469,128.0,128.0,-1.1024035980465214,-1.3131193174564608,-0.00494814195822889,True,31.0,False,3,False,4,,
1,295,4,False,False,1,2263.5191249062627,1105.2099609375,2886.169921875,422.55999755859375,29836.59912109375,7673.3001708984375,16291.199951171875,5569.1998291015625,-337.2999954223633,-2206.699981689453,1.0,-0.2934195219085977,-1.0299066923377462,0.7139827693099997,2535452288653959,Byrom ig,9.0,993.02001953125,2760.60009765625,308.9599914550781,12099.599609375,17688.299560546875,1055.0,-269.89999771118164,5482.80029296875,340.0,255.0,5.0,,0.538251870960239,1.8129634838347164,0.7594037868353826,True,97.5706666490083,True,4,3,False,,2535415034069482,luk3f3rr13r,8.0,-106.18000030517578,-873.9400024414062,15.930000305175781,22170.90087890625,4967.0001220703125,83.10000419616699,-126.70000076293945,-66.79999828338623,1516.300048828125,255.0,255.0,,-0.01129052014857704,2.899402363803047,-0.006185693418120842,True,6,214.0,False,6,False,,enpitsu,76561198039309853,25,1087.510009765625,3026.25,289.5799865722656,7768.0999755859375,-14975.2001953125,2670.1998901367188,243.70000839233398,-617.9999923706055,-594.7999954223633,255.0,255.0,,0.507968627193579,-0.8966695011090253,0.3960721201702467,True,2,False,1,139.0,False,,games5425898691,bf81d8692db,19.0,-2473.56005859375,5094.41015625,115.11000061035156,18304.69970703125,-1459.6000671386719,-3558.2998657226562,-1776.199951171875,756.5000152587891,-609.1999816894531,255.0,128.0,-0.23603326605454633,-3.050316105531199,1.2905085580234235,True,214.22495472815734,True,6,False,6,,
2,354,6,False,False,0,9417.518759089426,-2184.39990234375,-4188.97021484375,215.52999877929688,-4200.899963378906,9516.199951171875,8195.499877929688,1216.6000366210938,5868.499755859375,-282.5,0.0,0.5668839624830299,0.9886443582942275,1.0229444187105046,bf81d8692db,games5425898691,19.0,-2028.1199951171875,-4273.22021484375,77.12999725341797,-22248.30078125,5201.199951171875,2631.0000610351562,-227.5,-1967.2000122070312,-345.8000183105469,255.0,140.0,,0.0027257694946625265,2.9216898621480327,-0.002792174044172086,True,194.0,False,8,7,False,,76561198039309853,enpitsu,25.0,-3899.919921875,-4014.0400390625,96.16000366210938,30.399999618530273,-5189.7998046875,3246.6000366210938,8.100000023841858,1558.9999389648438,1928.8999938964844,255.0,255.0,True,-0.5639630350067572,-1.582602041257521,-0.6627167990149024,True,2,139.0,False,2,False,,Byrom ig,2535452288653959,9,-4079.219970703125,-2261.2099609375,491.0299987792969,55.900001525878906,11394.7998046875,10480.899658203125,-1958.8999938964844,-78.09999942779541,10.499999523162842,255.0,11.0,,-0.7013792371443912,1.5786298921222428,1.5681950626974057,True,4,False,4,73.45116555306218,True,,luk3f3rr13r,2535415034069482,8.0,-1719.7099609375,-1854.4000244140625,16.989999771118164,11160.699462890625,-1651.300048828125,5.600000023841858,-0.3999999910593033,0.0,2713.699951171875,254.0,255.0,0.009566097937458039,-0.034750296128051715,-2.0547194039948255e-05,True,255.0,False,6,False,6,,False
3,458,10,False,False,0,4412.438421196613,-3893.31005859375,1901.8299560546875,1184.97998046875,-461.89998626708984,16922.60009765625,178.09999465942383,2119.1000366210938,-3518.800048828125,4373.399963378906,0.0,-0.847539986050428,-1.7637328561410293,1.8947791146642428,bf81d8692db,games5425898691,19.0,-3871.97998046875,1800.27001953125,1111.3800048828125,8841.300048828125,18561.99951171875,-2620.5999755859375,-196.10000610351562,5435.0,-819.4000244140625,255.0,0.0,,0.253223540166481,2.257842508424912,2.9430731310886786,True,118.0,False,10,10,False,,76561198039309853,enpitsu,25.0,-1665.0899658203125,-2599.300048828125,17.049999237060547,-2271.4999389648438,12731.800537109375,3.6000001430511475,-0.29999999329447746,1.2999999523162842,1537.2999572753906,255.0,255.0,False,0.01671050550505998,1.7473370590507113,0.0002839806241821329,True,2,139.0,False,2,False,,Byrom ig,2535452288653959,10,-2783.3798828125,4760.5400390625,17.010000228881836,10917.5,6023.900146484375,3.700000047683716,0.9000000357627869,1.2999999523162842,-2987.39990234375,0.0,0.0,False,0.00980784488646894,0.0742238627017167,3.484488498151702e-05,True,4,False,4,255.0,False,,luk3f3rr13r,2535415034069482,8.0,-2176.320068359375,3201.47998046875,16.989999771118164,2396.6000366210938,14757.19970703125,5.099999904632568,0.0,-0.7999999821186066,0.0,254.0,128.0,0.00958920514699514,1.4097640815265422,7.586083312653472e-05,True,250.0,False,6,False,6,,False
4,514,12,False,False,1,10026.196621889756,3239.989990234375,-4608.35009765625,138.72999572753906,11515.699462890625,6039.1998291015625,-9467.80029296875,-3566.199951171875,4697.9998779296875,1100.0,1.0,0.6698348744366044,2.9635746624201964,-3.127579658996662,2535452288653959,Byrom ig,10.0,3120.2900390625,-4680.43017578125,191.08999633789062,6637.1002197265625,-985.5999755859375,2282.7999877929688,-2596.7999267578125,2346.699981689453,3220.7000732421875,128.0,128.0,False,0.35550716349898287,-0.06894815534773076,0.010276063858265252,True,255.0,False,6,4,False,,2535415034069482,luk3f3rr13r,8.0,2714.070068359375,-5083.43994140625,198.05999755859375,3741.0000610351562,65.59999942779541,2159.199981689453,-5355.30029296875,-17.999999523162842,-5.699999928474426,255.0,255.0,False,0.11409739574042936,3.0073850787798464,-1.472280342807061,True,6,250.0,False,6,False,,enpitsu,76561198039309853,25,3462.639892578125,146.25,17.049999237060547,638.3000183105469,-3962.3001098632812,3.100000023841858,-3.6000001430511475,-0.09999999776482582,-0.7999999821186066,128.0,128.0,False,-0.017096533169141826,-1.7302703986767114,2.6648055193477436e-05,True,2,False,2,255.0,False,160.0,games5425898691,bf81d8692db,19.0,2677.9599609375,-5024.9501953125,45.08000183105469,5162.9998779296875,-5541.199951171875,3962.5,-5095.400085449219,-837.9000091552734,1681.300048828125,255.0,255.0,0.5734130064054936,-2.291713944565488,-0.2688935467089843,True,118.0,False,10,False,10,,
5,572,14,False,False,0,3843.436774118561,-3826.669921875,2653.39990234375,111.86000061035156,2957.5,23030.2001953125,13430.400390625,5914.5001220703125,-979.1000366210938,-243.50000381469727,0.0,-0.40680502728966844,-2.7078173088470177,2.834430623606137,76561198039309853,enpitsu,25.0,-3850.93994140625,2523.3798828125,16.549999237060547,744.0000152587891,20171.300048828125,-1531.6000366210938,-1651.7999267578125,2601.400146484375,-1562.4000549316406,255.0,0.0,,0.037930258456190566,1.5137832030430511,0.09004513615425462,True,120.0,False,2,2,False,,bf81d8692db,games5425898691,19.0,-3825.25,3646.3701171875,17.709999084472656,-11425.0,-9721.599731445312,307.8000068664551,-70.9000015258789,1205.1000213623047,299.7999954223633,255.0,128.0,,-0.014980541386372635,-2.4153592735700347,-0.021407525009185975,True,10,0.0,False,10,False,,Byrom ig,2535452288653959,10,-3215.3701171875,4028.429931640625,17.010000228881836,270.0,-1047.9000091552734,2.5999999046325684,0.5999999865889549,0.09999999776482582,0.0,1.0,128.0,,0.00989846835329031,-1.3186435098202915,-6.61880887206837e-06,True,6,False,4,238.0,False,,luk3f3rr13r,2535415034069482,8.0,-3028.18994140625,3617.18994140625,16.950000762939453,-4927.5,-4940.5999755859375,19.09999966621399,-1.0000000149011612,11.399999856948853,124.70000267028809,254.0,128.0,0.010014103884016443,-2.352559575740572,0.0002715581013719559,True,229.0,False,6,False,6,,
6,660,17,False,False,1,10219.278043176688,8.300000190734863,-5040.64990234375,220.17999267578125,-12844.300537109375,3021.7001342773438,-3887.7999877929688,-4909.100036621094,1439.4999694824219,2316.300048828125,1.0,-0.4874139251089757,2.0840206380462063,-1.333924643203049,2535452288653959,Byrom ig,10.0,-67.41000366210938,-5057.10009765625,261.9599914550781,-17061.600341796875,816.6999816894531,1516.9000244140625,-244.50000762939453,-185.79999923706055,453.8999938964844,238.0,128.0,,0.19117816593410952,-0.5088227908390961,2.223073179065146,True,158.0,False,6,4,4,,2535415034069482,luk3f3rr13r,8.0,319.5299987792969,-5127.35986328125,179.86000061035156,-22290.30029296875,-5187.60009765625,2286.199951171875,-104.49999809265137,424.00001525878906,-445.60001373291016,254.0,128.0,False,0.29598675191824414,0.0733697532152158,0.041099828177720885,True,6,37.84381936442477,True,8,False,,enpitsu,76561198039309853,25,129.1199951171875,-4854.41015625,289.94000244140625,-2825.2999877929688,-11704.599609375,-149.3000030517578,-4734.200134277344,2407.7000427246094,-1428.0999755859375,255.0,0.0,False,0.2624728381966774,-2.6712585796885655,-2.4984882036549547,True,4,False,3,64.0,False,,games5425898691,bf81d8692db,19.0,710.2000122070312,-3108.280029296875,17.010000228881836,-18426.600341796875,-2628.0999755859375,3.100000023841858,-0.0,1.8000000715255737,47.10000038146973,255.0,156.0,-0.009701947939453628,-0.13778123229952635,6.918453395637074e-05,True,0.0,False,12,False,12,,
7,668,18,False,False,1,10171.920098184377,-351.3599853515625,-4955.14990234375,93.51000213623047,-9576.400146484375,3328.0999755859375,3379.5999145507812,-2800.4998779296875,-5051.700134277344,1623.699951171875,1.0,-1.224517296074714,-1.4412586335886515,1.521264963528894,2535415034069482,luk3f3rr13r,8.0,-461.2699890136719,-5286.5400390625,204.74000549316406,-22761.4990234375,-3290.7998657226562,-289.20000076293945,-1116.3999938964844,-361.5999984741211,-1616.4999389648438,255.0,128.0,False,-0.05005907755161381,0.9166332999171827,0.5730552782685733,True,12.729178290213401,True,8,6,False,,2535452288653959,Byrom ig,10.0,-646.010009765625,-5033.4501953125,268.260009765625,-18412.7001953125,693.4999847412109,-780.1999664306641,117.29999542236328,2027.1000671386719,516.5999984741211,228.0,128.0,,0.7666241734052308,-1.1255897098258707,1.2725314758184474,True,4,158.0,False,6,4,,enpitsu,76561198039309853,25,42.650001525878906,-5226.5,285.010009765625,-2639.5001220703125,-11791.400146484375,-151.09999656677246,-4794.5001220703125,2399.9000549316406,-1225.6999969482422,255.0,0.0,False,0.21891424336956516,-2.7169720967953603,1.4158298241191607,True,4,False,4,64.0,False,,games5425898691,bf81d8692db,19.0,265.5299987792969,-3225.820068359375,17.010000228881836,-16507.099609375,-7714.0997314453125,2.800000011920929,0.5999999865889549,0.19999999552965164,1920.5000305175781,255.0,255.0,-0.009586641865201315,-0.5008741326416783,7.457228408597171e-05,True,0.0,False,12,False,12,,
8,700,19,False,False,0,2398.6582115288993,1436.550048828125,4580.740234375,116.8499984741211,3757.0999145507812,10720.6005859375,6297.7001953125,1227.6000213623047,516.3999938964844,5850.30029296875,0.0,0.6707353084423594,2.500271461839703,2.4963993050408924,bf81d8692db,games5425898691,19.0,1400.280029296875,4407.1201171875,19.479999542236328,14705.10009765625,9717.2998046875,2959.4000244140625,0.29999999329447746,0.19999999552965164,103.4000015258789,255.0,150.0,,0.009594107417468922,0.5833241999346656,6.966189264762735e-05,True,0.0,False,13,12,False,,76561198039309853,enpitsu,25.0,394.1199951171875,5759.41015625,79.80999755859375,4776.199951171875,-2301.3999938964844,-3709.2001342773438,-2740.4000854492188,-2463.0999755859375,1524.2999267578125,255.0,255.0,False,0.3541003953783039,2.494669633389722,0.4145460154383996,True,4,64.0,False,4,False,,Byrom ig,2535452288653959,10,2340.85009765625,4894.68994140625,16.75,4151.600036621094,1887.7000427246094,45.79999923706055,53.89999866485596,-14.600000381469727,571.8999862670898,255.0,255.0,,0.011664232722025152,0.3825178515963744,-0.0009561061828533137,True,6,4,4,158.0,False,,luk3f3rr13r,2535415034069482,8.0,603.5999755859375,5059.52001953125,16.899999618530273,-968.0999755859375,-5414.69970703125,26.700000762939453,-0.29999999329447746,-43.89999866485596,1733.2000732421875,255.0,255.0,0.00937671837132218,-1.5915357379578763,-0.002241236772171076,True,4.0,False,6,False,10,,False
9,740,20,False,False,1,9961.807046345113,-2026.030029296875,-4383.6201171875,205.00999450683594,-12029.200439453125,12506.199951171875,-2122.2999572753906,187.39999771118164,3295.2999877929688,-2655.7000732421875,1.0,-1.1867030085926462,2.859493484756852,1.654581934031347,2535415034069482,luk3f3rr13r,9.0,-1929.8800048828125,-4513.47998046875,184.38999938964844,-15551.800537109375,5906.500244140625,157.2000026702881,-3612.2000122070312,-4056.7999267578125,862.3000335693359,255.0,123.0,True,-0.8380828899152832,-0.03727029078778087,0.7109123462315048,True,0.0,False,12,7,False,,2535452288653959,Byrom ig,10.0,-3123.699951171875,-4622.5498046875,18.799999237060547,4638.800048828125,11892.60009765625,-2147.5999450683594,2828.0999755859375,-2804.1000366210938,-890.8999633789062,255.0,128.0,False,-0.11660690361015688,2.0255861239827353,0.0536900076945053,True,4,123.6068644215984,True,6,4,,enpitsu,76561198039309853,25,-13.899999618530273,-5003.7998046875,17.020000457763672,2344.1000366210938,14659.599609375,3.6000001430511475,-5.0,-3.6000001430511475,727.3000335693359,255.0,128.0,False,-0.016546271410076124,1.6815684991145083,-8.448291639930691e-05,True,4,False,4,0.0,True,,games5425898691,bf81d8692db,19.0,-3192.97998046875,-4800.66015625,138.58999633789062,-4482.300109863281,9360.800170898438,-6232.1002197265625,1886.0000610351562,-2317.100067138672,-273.8999938964844,255.0,70.0,-0.5602932156569235,1.1627626764687602,0.9465391590559301,True,0.0,False,12,False,14,,
