,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,169,0,False,False,0,5217.600517339481,3.9000000953674316,0.5899999737739563,102.9000015258789,1441.1000061035156,101.19999885559082,9766.599731445312,2052.4000549316406,659.8999786376953,-5599.1998291015625,0.0,0.0344531541393796,-0.21841933820530232,0.07706069726825922,8295322438437247114,jordymaten055,9.0,31.65999984741211,-116.80000305175781,104.04000091552734,-9382.999877929688,13533.199462890625,-492.40001678466797,-5163.2000732421875,-1356.3999938964844,1323.3000183105469,255.0,128.0,,1.2188627846886313,-3.0235257599578444,1.4873195454431427,True,0.0,False,4,False,3,,3983041304062842327,TfoxPro,8.0,-3040.830078125,-4133.259765625,17.010000228881836,-5314.000244140625,-10307.900390625,3.6000001430511475,0.0,0.09999999776482582,2670.7998657226562,240.0,255.0,True,0.009562064360747014,-1.9238653690230136,0.00012317897501510974,True,255.0,False,4,4,False,,enpitsu,76561198039309853,27,-28.93000030517578,156.42999267578125,110.4000015258789,12269.000244140625,-11281.700439453125,1165.0,4727.200012207031,803.8999938964844,-2693.699951171875,255.0,0.0,,0.9964626550770697,-0.863247015800434,0.180414420174355,True,0.0,False,2,False,1,,games5425898691,bf81d8692db,24.0,3384.830078125,936.469970703125,17.010000228881836,16372.5,10049.7998046875,2.800000011920929,-0.3999999910593033,0.0,2006.3999938964844,255.0,255.0,,0.009574744790958102,0.6266718247738335,4.5677967606333385e-05,,False,False,False,0.0,False,
1,172,0,False,False,1,5242.038031038885,-19.639999389648438,-21.450000762939453,123.69999694824219,-2595.4998779296875,519.900016784668,-2440.500030517578,775.0,612.0999908447266,-5918.0999755859375,1.0,0.2170365055444391,1.075744435066048,0.08125972785011575,76561198039309853,enpitsu,27.0,-53.7400016784668,-152.02999877929688,109.26000213623047,-8545.2001953125,-1186.9000244140625,-57.199997901916504,-5420.4998779296875,-126.5999984741211,-922.6999664306641,255.0,128.0,,-1.2671558477791722,-0.8054209058167286,2.4680340172853814,True,0.0,False,2,False,1,,bf81d8692db,games5425898691,24.0,-3487.780029296875,-1010.8900146484375,17.010000228881836,-14683.399658203125,-11989.300537109375,2.800000011920929,0.3999999910593033,0.19999999552965164,2002.8999328613281,255.0,255.0,,-0.009574145116699132,-0.7603060236071338,4.3701576384366587e-05,,0.0,False,False,False,False,,jordymaten055,8295322438437247114,9,24.18000030517578,106.62000274658203,117.11000061035156,5804.1998291015625,202.90000915527344,1516.199951171875,4578.999938964844,-293.1999969482422,-3032.5,255.0,128.0,,-1.2261099347871212,2.893776037988408,2.0422612617417615,True,0.0,False,4,False,3,,TfoxPro,3983041304062842327,8.0,3110.56005859375,4318.39013671875,17.010000228881836,2100.7000732421875,10581.700439453125,3.3000001311302185,-0.0,-0.5000000074505806,3196.0000610351562,221.0,255.0,False,-0.009547512384391589,1.4035384151725978,8.829090808682183e-05,True,4,False,4,255.0,False,
2,241,2,False,False,1,4662.337247877349,-282.8599853515625,629.1599731445312,98.2699966430664,1312.7000427246094,14176.800537109375,2963.3999633789062,1166.3999938964844,-5082.900085449219,1025.5999755859375,1.0,0.027963563274244638,-2.9399826413255834,-0.61127924950029,76561198039309853,enpitsu,27.0,-301.2300109863281,448.8399963378906,17.059999465942383,7051.7999267578125,9372.5,1.899999976158142,-0.0,0.5999999865889549,0.0,255.0,255.0,,-0.01668354771268322,2.2158237810995485,-4.88858890895326e-05,True,0.0,False,2,False,2,,bf81d8692db,games5425898691,24.0,-1823.699951171875,-4644.490234375,17.010000228881836,18468.00048828125,970.1999664306641,2.7000001072883606,3.1999999284744263,0.3999999910593033,1220.199966430664,255.0,255.0,,-0.009568332727311352,3.0697116445231574,7.952260869408472e-05,True,255.0,False,False,False,False,,jordymaten055,8295322438437247114,8,2098.669921875,185.47000122070312,17.020000457763672,14062.19970703125,-804.3000030517578,1.4000000059604645,-0.9000000357627869,0.09999999776482582,-127.20000267028809,255.0,128.0,,-0.00957618352708662,-3.0682549889503488,0.00012915774976743628,True,0.0,False,4,False,4,,TfoxPro,3983041304062842327,8.0,1107.47998046875,3317.6201171875,17.010000228881836,-4797.699890136719,-12732.5,0.7000000029802322,-0.0,0.09999999776482582,328.1999969482422,255.0,128.0,False,-0.009576575944293257,-1.2431196768789117,-0.00016806740691123137,True,4,False,4,248.82261499281853,True,
3,271,3,False,False,0,7162.420855678995,218.94000244140625,-1935.1099853515625,155.25999450683594,8714.199829101562,19505.10009765625,9182.80029296875,4558.500061035156,59.699997901916504,3900.7000732421875,0.0,0.5684761013038828,2.7255191909887397,-1.6025206211856415,3983041304062842327,TfoxPro,9.0,259.4800109863281,-2065.72998046875,105.18000030517578,16236.600341796875,9461.799926757812,335.9000015258789,9.49999988079071,-244.89999771118164,4780.299987792969,226.0,255.0,True,0.014576385374064475,0.13312691576381253,-1.398433342352286,True,188.0,False,6,False,5,,8295322438437247114,jordymaten055,8.0,-3622.840087890625,-70.12000274658203,17.020000457763672,-11976.700439453125,-4437.099914550781,2.0999999344348907,0.3999999910593033,0.29999999329447746,3246.4999389648438,255.0,255.0,False,0.00958365853375384,-2.53422902351934,6.910754395090277e-05,True,255.0,False,4,4,False,,enpitsu,76561198039309853,27,130.97999572753906,-1755.0799560546875,87.31999969482422,-846.2999725341797,-19982.7001953125,2520.399932861328,5484.89990234375,-353.69998931884766,199.79999542236328,255.0,255.0,,0.5545704036274848,-1.6126751979772986,0.005121441187929227,True,11.0,False,4,False,3,,games5425898691,bf81d8692db,24.0,676.3499755859375,3398.179931640625,17.010000228881836,2944.5001220703125,-21081.59912109375,0.3999999910593033,0.0,0.09999999776482582,1898.3000183105469,255.0,251.0,,0.009598997386858649,-1.3601501727684289,-1.3288966278994783e-05,True,False,False,False,201.67982798750685,True,
4,378,7,False,False,0,4299.099057916453,2642.77001953125,2698.820068359375,436.7099914550781,-13952.2998046875,835.4000091552734,5511.9000244140625,2688.0999755859375,3394.5999145507812,-3681.400146484375,0.0,-1.281168689791977,0.6573654684035316,2.921063140862333,3983041304062842327,TfoxPro,8.0,2661.6201171875,2756.81005859375,248.74000549316406,-15035.899658203125,10780.999755859375,261.5999984741211,2308.6000061035156,-2198.0999755859375,-4481.9000244140625,224.0,255.0,True,-0.7869475871618742,2.5359968526154772,0.6964776561248546,True,215.0,False,8,False,7,,8295322438437247114,jordymaten055,8.0,731.5499877929688,-57.5099983215332,17.010000228881836,5577.9998779296875,10271.700439453125,2.5999999046325684,0.5000000074505806,-0.19999999552965164,0.0,255.0,128.0,,0.009601805496968234,1.0732985704852491,-6.5941920044548335e-06,True,207.0,False,6,6,False,,enpitsu,76561198039309853,27,-3258.320068359375,-1519.8599853515625,89.12999725341797,-6543.800048828125,21797.80029296875,-803.7000274658203,-3955.8999633789062,-1115.999984741211,-3.4999999403953552,128.0,128.0,,-1.0239435536113768,1.847240844899714,-0.0017004879324201772,True,0.0,False,6,False,6,,games5425898691,bf81d8692db,24.0,2531.75,3005.1201171875,235.41000366210938,-4265.199890136719,-9945.499877929688,4187.0001220703125,-324.70001220703125,713.3000183105469,503.1999969482422,255.0,128.0,,-0.908766176517091,-0.5433818643013617,-0.8715766518577652,True,False,3,4,163.58460204575653,True,
5,439,9,False,False,0,2335.106023591432,-334.1300048828125,2873.5,115.12999725341797,-8420.800170898438,-143.00000190734863,4833.0999755859375,94.79999542236328,-5573.2000732421875,-2220.399932861328,0.0,-1.2222712990148448,2.132158847744512,1.388264793850193,8295322438437247114,jordymaten055,8.0,-542.1900024414062,3139.02001953125,96.37000274658203,-8319.000244140625,19926.600341796875,-156.70000076293945,-2077.2999572753906,5075.199890136719,-420.0,252.0,128.0,,0.1219543339963577,2.030643776060515,2.5756850927124804,True,115.0,False,8,False,7,,3983041304062842327,TfoxPro,8.0,-705.739990234375,4148.27001953125,16.989999771118164,-19573.800048828125,9331.300048828125,5.199999809265137,-1.4000000059604645,0.5999999865889549,-1812.1000671386719,225.0,0.0,False,0.009586323557938958,2.6428338654487047,-0.00015340627381623287,True,180.0,False,8,8,False,,enpitsu,76561198039309853,27,-3545.22998046875,3320.2099609375,17.059999465942383,2061.300048828125,22053.798828125,2.5999999046325684,3.1999999284744263,6.499999761581421,-1075.999984741211,255.0,0.0,,0.0169075547515797,1.4296219792347056,-4.822365473369067e-05,True,31.0,False,8,False,8,,games5425898691,bf81d8692db,24.0,-871.3099975585938,4307.97021484375,530.97998046875,-11697.19970703125,8068.0999755859375,-4550.4998779296875,519.7999954223633,-724.1999816894531,795.5000305175781,255.0,0.0,,-0.23281193612524825,0.8355527201122278,-0.8338798419255238,True,False,4,4,97.0425033261699,True,
6,489,11,False,False,0,2461.3279237018255,-1777.68994140625,2842.010009765625,158.02999877929688,16924.7998046875,-13719.49951171875,8510.2001953125,-3135.0,-4225.899963378906,2883.0999755859375,0.0,-0.23349953946899873,0.8676255503424832,-2.644417607557954,3983041304062842327,TfoxPro,9.0,-1922.8599853515625,2953.659912109375,84.23999786376953,11054.200439453125,-19859.49951171875,2440.2999877929688,-446.30001068115234,5472.0001220703125,327.5,236.0,255.0,True,0.03729412847009753,-1.4513451354993159,-0.33680626429997423,True,92.31265375691079,True,10,False,9,,8295322438437247114,jordymaten055,8.0,-1758.06005859375,3677.1298828125,17.0,-5277.60009765625,-16894.300537109375,1.5000000596046448,-1.2999999523162842,-3.8999998569488525,-681.3999938964844,255.0,128.0,,0.009600663154982248,-1.9155671113022879,3.2120394396974874e-05,True,72.688335469974,True,8,8,False,,enpitsu,76561198039309853,27,-2176.14990234375,3742.889892578125,17.059999465942383,4106.199951171875,-11970.699462890625,1.8000000715255737,0.19999999552965164,-0.5999999865889549,0.5999999865889549,255.0,0.0,False,0.016724569131979863,-1.2402362491087549,-5.6755220542391296e-05,True,0.0,False,8,False,8,,games5425898691,bf81d8692db,24.0,-1864.3399658203125,4422.330078125,17.010000228881836,620.9000015258789,-9656.199951171875,2.7000001072883606,0.0,-1.0999999940395355,35.299999713897705,255.0,128.0,,0.009538239776769878,-1.5013171938554108,-9.601880216282792e-05,True,False,4,4,75.0,False,
7,613,16,False,False,1,5332.564601491344,-3617.919921875,2300.85009765625,252.69000244140625,-754.8000335693359,25256.99951171875,8423.800048828125,2755.7000732421875,1503.8999938964844,5113.0999755859375,1.0,-0.79866961668845,1.0957860637527497,0.21354253763129152,bf81d8692db,games5425898691,24.0,-3584.449951171875,2121.510009765625,119.19000244140625,10.700000524520874,22970.80078125,1158.0999755859375,-3981.0000610351562,3187.0001220703125,-2060.0999450683594,255.0,8.0,,-0.8272253843965653,1.2060071764701978,0.689898104093897,True,0.0,False,6,4,3,,76561198039309853,enpitsu,27.0,-2615.919921875,-2912.449951171875,17.059999465942383,-3966.7999267578125,-13532.099609375,1.899999976158142,0.09999999776482582,0.5999999865889549,-1.0000000149011612,255.0,128.0,,-0.016772668229285,-1.2854595250692302,5.7197369565618174e-05,True,,False,10,10,False,,jordymaten055,8295322438437247114,8,1859.9200439453125,4723.06982421875,17.010000228881836,-13249.49951171875,2154.2999267578125,2.5999999046325684,0.7000000029802322,0.09999999776482582,-23.599998950958252,255.0,128.0,False,-0.009592404572274211,0.16477835410870745,6.859262129360472e-05,True,255.0,False,10,False,10,,TfoxPro,3983041304062842327,9.0,-3061.0400390625,3620.1201171875,17.0,6140.999755859375,-5123.499755859375,4.300000071525574,0.09999999776482582,-0.0,2503.300018310547,233.0,255.0,True,-0.009523321099581905,-2.4781522948268737,5.928579626084144e-07,True,10,False,10,255.0,False,
8,671,18,False,False,0,9939.768942962604,1508.6700439453125,-4504.509765625,344.19000244140625,28778.701171875,682.6000213623047,2709.8001098632812,9.200000166893005,1089.8999786376953,5900.10009765625,0.0,0.9321615842395967,-1.9456179563272915,-1.2660795650528505,8295322438437247114,jordymaten055,8.0,1310.68994140625,-4506.759765625,276.9100036621094,22436.298828125,4450.400085449219,2228.0999755859375,-268.6000061035156,5141.500244140625,1934.4999694824219,255.0,112.0,False,-0.3544896066044135,0.42961662623761393,0.25155621742467366,True,210.0,False,12,False,11,,3983041304062842327,TfoxPro,9.0,1326.760009765625,-4544.43994140625,71.26000213623047,-11348.699951171875,-1013.6000061035156,3887.9998779296875,-3.0000001192092896,-1.5999999642372131,-222.00000762939453,128.0,128.0,False,0.009896866062175588,-3.1044858483877102,0.0008149506662175945,True,255.0,False,12,10,False,,enpitsu,76561198039309853,27,1570.4599609375,4207.83984375,17.059999465942383,-7796.400146484375,-16911.8994140625,-2.3000000417232513,0.0,0.0,2020.8000183105469,255.0,255.0,,0.016779679830793575,-1.9332356084515476,1.2609775771383172e-05,True,170.4136946765325,True,10,False,10,,games5425898691,bf81d8692db,24.0,2047.989990234375,-4702.85986328125,17.020000457763672,-10133.499755859375,11363.800048828125,2.0000000298023224,-4.099999964237213,4.099999964237213,-2015.7000732421875,255.0,10.0,,0.009588089395776008,2.231142731494973,-0.0002787390014576587,True,4,4,6,31.0,False,
9,747,21,False,False,0,7952.709039136641,3633.43994140625,-1396.800048828125,126.2300033569336,-7419.69970703125,26589.49951171875,6159.4000244140625,-685.2999877929688,4215.7000732421875,-4213.999938964844,0.0,0.06213168679565918,-2.3532862668793846,-0.05635170631452507,8295322438437247114,jordymaten055,8.0,3758.409912109375,-1620.6300048828125,27.940000534057617,-16794.100341796875,15616.099853515625,95.9000015258789,324.0999984741211,857.6000213623047,1178.8999938964844,255.0,244.0,False,-0.15572395251858528,2.200699651879023,0.1521583271342153,True,108.0,False,14,False,13,,3983041304062842327,TfoxPro,9.0,437.70001220703125,-4948.02978515625,17.010000228881836,-4280.4998779296875,3880.7000732421875,3.1999999284744263,0.0,0.19999999552965164,-2812.9000854492188,236.0,0.0,False,0.00953741691455068,2.2031167489849106,2.147542069291903e-05,True,255.0,False,12,12,False,,enpitsu,76561198039309853,27,3538.1201171875,-1078.5699462890625,95.41999816894531,7368.3001708984375,-21573.30078125,2995.1998901367188,164.20000076293945,2148.300018310547,649.4999694824219,128.0,255.0,,0.016897854095677976,-1.6420476349812991,-0.017283925447458243,True,213.0,False,12,False,11,,games5425898691,bf81d8692db,24.0,-771.8499755859375,334.8800048828125,16.540000915527344,-11505.30029296875,19458.00048828125,87.89999961853027,34.40000057220459,28.900001049041748,1569.6000671386719,255.0,255.0,,0.012220850511855943,2.1384872728176147,-0.00020994751098248263,True,8,4,10,92.0,False,
