,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_double_jump_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_dodge_active,team_mate_ball_cam,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_double_jump_active,opp_2_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect
0,178,0.0,False,False,1,5215.421940968621,54.58000183105469,-7.099999904632568,136.6699981689453,14363.1005859375,7483.800048828125,8752.899780273438,192.80000686645508,854.4000244140625,-2205.399932861328,1.0,0.032869052447796046,-0.06261607613041291,0.6606074602155518,889383288701620212,KING_KIA7,8.0,-7.989999771118164,-157.8000030517578,80.05999755859375,4777.900085449219,4956.300048828125,4650.299987792969,5449.69970703125,429.59999084472656,-604.3999862670898,248.0,63.0,,0.3361811720215292,1.829555227285702,0.12619223225719156,True,16.0,False,3,4,False,,b6b5b9138ab,iCrazyBad,7.0,-1714.1199951171875,-4235.64990234375,17.010000228881836,-19068.900146484375,1411.9999694824219,1.899999976158142,-0.3999999910593033,-0.19999999552965164,0.0,247.0,128.0,,-0.009570240059030443,0.07391061605029633,-3.532085813648993e-05,False,31.0,False,False,False,True,33.0,enpitsu,76561198039309853,27,-0.0,2413.81005859375,17.049999237060547,-0.0,-11646.700439453125,2.5999999046325684,-0.5000000074505806,-0.0,0.0,255.0,255.0,,-0.01676203533771714,-1.5707749880211213,-2.386930271178236e-07,True,False,False,116.0,False,False,,games5425898691,bf81d8692db,24.0,13.84000015258789,111.7699966430664,85.16000366210938,1888.6000061035156,-2879.2001342773438,0.29999999329447746,4348.699951171875,1385.3999328613281,3068.9999389648438,128.0,167.0,,-1.1703486929321545,-0.7183001936683203,-1.0552765433062596,True,3,False,4,22.0,False,
1,325,5.0,False,False,1,4436.139002281543,3794.300048828125,1781.550048828125,143.94000244140625,-6191.099853515625,8697.999877929688,981.9000244140625,4795.799865722656,3526.0000610351562,-752.6999664306641,1.0,0.35759442751898607,-2.0334614646729503,0.537667153863733,889383288701620212,KING_KIA7,8.0,3880.699951171875,1663.469970703125,22.920000076293945,-4164.89990234375,11135.799560546875,-769.5999908447266,-615.4000091552734,1375.0,764.4999694824219,255.0,255.0,,-0.06624534296006218,1.2005512842028092,-0.1914317088381266,True,236.21847741065488,True,4,4,False,,b6b5b9138ab,iCrazyBad,7.0,2583.56005859375,325.45001220703125,17.010000228881836,-2744.8001098632812,11839.599609375,2.3999999463558197,0.19999999552965164,-0.7000000029802322,2228.9999389648438,227.0,231.0,,-0.009576231520873963,1.2943612181547353,9.963609233746961e-05,False,185.0,False,False,False,True,,enpitsu,76561198039309853,27,1570.739990234375,4390.85009765625,17.049999237060547,-8241.900024414062,8103.499755859375,2.7000001072883606,0.29999999329447746,-0.5999999865889549,-1.0000000149011612,128.0,128.0,,-0.01670708471485961,-2.3649850903583904,-6.719190891128609e-05,True,False,False,124.0,False,False,,games5425898691,bf81d8692db,24.0,3119.47998046875,4911.759765625,288.57000732421875,-5167.0001220703125,4297.9998779296875,2698.3999633789062,-652.9000091552734,-1901.0000610351562,886.5000152587891,128.0,255.0,,0.30889757099105336,0.6843228027534901,-1.5713074717949513,True,8,False,8,255.0,False,
2,351,6.0,False,False,1,3430.275847163065,3133.469970703125,2539.89990234375,151.4600067138672,-7134.7998046875,5275.8001708984375,1921.9999694824219,-1041.6000366210938,-810.1999664306641,-755.8000183105469,1.0,1.3266593804720537,0.19999942323770276,-2.9203779343929313,889383288701620212,KING_KIA7,8.0,3166.60009765625,2552.27001953125,16.739999771118164,-4336.199951171875,4716.9000244140625,8.199999928474426,224.89999771118164,-374.00001525878906,-424.1999816894531,128.0,128.0,,-0.02458031237631679,0.8449337162948783,-0.01944381482756074,True,208.0,False,4,4,False,,b6b5b9138ab,iCrazyBad,7.0,1733.81005859375,1087.4100341796875,17.010000228881836,-10705.10009765625,-478.6000061035156,2.3000000417232513,1.0000000149011612,-0.0,2101.699981689453,128.0,200.0,,-0.009643374043897656,-0.10476781584111854,-7.591440643177267e-06,False,216.0,False,False,False,True,,enpitsu,76561198039309853,27,966.010009765625,4985.0498046875,17.1299991607666,-4751.7999267578125,4647.200012207031,56.90000057220459,247.19999313354492,-71.99999809265137,-0.29999999329447746,0.0,128.0,,-0.01825496119423393,-2.365005712052499,0.002890441844459498,True,False,False,124.0,False,False,,games5425898691,bf81d8692db,24.0,2475.1298828125,4938.6201171875,15.699999809265137,-8231.300048828125,-7092.2998046875,-228.70000839233398,-1489.4000244140625,-550.8000183105469,1983.8999938964844,255.0,255.0,,-0.010746566874673078,-0.7591370899279664,-0.0017942905054652916,True,8,False,8,255.0,False,
3,371,7.0,False,False,1,2808.131596719557,2614.050048828125,2918.760009765625,119.81999969482422,-10887.099609375,-1203.3999633789062,2411.199951171875,1710.0,48.60000133514404,1176.8000030517578,1.0,0.41367546805886063,1.0882005271410715,-2.5662678720451186,889383288701620212,KING_KIA7,8.0,2672.72998046875,3016.43994140625,21.209999084472656,-10560.0,4684.700012207031,2349.2999267578125,725.8999633789062,-1027.9000091552734,1987.7000427246094,199.0,255.0,,-0.016141350374608603,0.31764181465014435,-0.008415222983284756,True,175.0,False,4,5,False,,b6b5b9138ab,iCrazyBad,7.0,1015.489990234375,1189.969970703125,17.010000228881836,-10660.0,3725.0,2.3000000417232513,1.899999976158142,-0.7000000029802322,1791.4999389648438,201.0,209.0,,-0.009574644618786411,0.3189837445064157,0.000246625179567921,False,216.0,False,False,False,True,,enpitsu,76561198039309853,27,588.6099853515625,5282.580078125,26.770000457763672,-4448.999938964844,3453.599853515625,-978.3999633789062,-3725.4998779296875,2350.399932861328,-505.9000015258789,0.0,255.0,True,-0.03796120753116299,-2.552514857536055,0.3309856825733313,True,False,False,124.0,False,False,,games5425898691,bf81d8692db,24.0,2218.530029296875,4096.1298828125,104.6500015258789,-2136.6000366210938,-13992.099609375,2232.100067138672,-1490.3999328613281,181.10000610351562,-195.40000915527344,255.0,107.0,,0.3205345128566645,-1.4061440126248692,0.0048395765350099556,True,8,False,10,236.19508803531693,True,
4,387,7.0,False,False,0,7930.467584867828,-1985.5899658203125,-2715.260009765625,164.6199951171875,11467.099609375,29094.49951171875,-3922.7999877929688,1446.199951171875,-84.0999984741211,-5822.39990234375,0.0,-0.5599386314709454,-0.4845004024170204,-2.7794794688908597,bf81d8692db,games5425898691,24.0,-2025.2900390625,-2953.93994140625,162.6199951171875,4011.300048828125,22477.19970703125,-390.09998321533203,-5371.7999267578125,1177.5,-80.10000228881836,255.0,128.0,,1.0631584175031281,-1.7252116819715566,-3.0781716919461863,True,186.0893160040661,True,9,10,False,,76561198039309853,enpitsu,27.0,-392.9100036621094,-5495.47998046875,22.639999389648438,185.10000228881836,175.49999237060547,-7.799999713897705,-0.7000000029802322,-24.700000286102295,-527.5,255.0,0.0,False,0.05336087578606826,1.9353207006781707,0.01392689007646761,False,124.0,False,False,False,True,,iCrazyBad,b6b5b9138ab,7,-419.79998779296875,-1012.8200073242188,17.010000228881836,6424.0997314453125,9211.900024414062,2.3999999463558197,-0.19999999552965164,-0.19999999552965164,2352.5999450683594,204.0,225.0,,0.009565954726627855,1.021675542649281,2.42420964057892e-05,True,False,False,216.0,False,False,,KING_KIA7,889383288701620212,8.0,-2036.6199951171875,-2906.31005859375,77.94000244140625,10565.0,3303.2998657226562,-660.1000213623047,-5359.000244140625,435.8000183105469,1157.7999877929688,255.0,255.0,,0.3200855001861046,0.0812648897755752,2.983804343639583,True,5,False,6,175.0,False,
5,517,12.0,False,False,0,2453.352091109315,1554.68994140625,5025.740234375,1019.72998046875,-4750.799865722656,-124.0999984741211,6865.10009765625,-5549.5001220703125,1260.5000305175781,1581.3999938964844,0.0,-0.2282854610485475,0.7605121002322645,0.6596013846975496,bf81d8692db,games5425898691,24.0,1686.5999755859375,5031.41015625,891.52001953125,1251.2999725341797,-4292.200012207031,10079.500122070312,1342.5,-1788.0999755859375,-3580.8999633789062,128.0,255.0,,-1.0139467642190607,3.0376081813325087,-1.7776831499007906,True,85.0,False,10,12,False,,76561198039309853,enpitsu,28.0,-54.9900016784668,-901.3699951171875,17.049999237060547,-2683.599853515625,13829.000244140625,2.5999999046325684,-0.19999999552965164,0.5999999865889549,0.09999999776482582,255.0,0.0,False,0.016753144651783687,1.7624994045544748,-6.020805249707345e-05,False,216.0,False,False,False,True,,iCrazyBad,b6b5b9138ab,7,1529.3599853515625,5100.509765625,864.1400146484375,6756.9000244140625,-2958.800048828125,6462.2998046875,3.8999998569488525,-1294.4000244140625,3.1999999284744263,255.0,219.0,False,-0.7678415112880264,0.01324647575380146,1.561857738270821,True,5,False,124.0,False,4,,KING_KIA7,889383288701620212,8.0,-26.139999389648438,3273.260009765625,16.989999771118164,-1055.8999633789062,16804.7998046875,4.799999892711639,0.0,1.2999999523162842,-1823.9999389648438,228.0,0.0,,0.009606940276670405,1.5864283769170149,-0.00015380126590597358,True,6,False,6,177.0,False,
6,518,12.0,False,False,1,10448.415987805038,-1541.739990234375,-5020.06005859375,1046.9000244140625,2846.7999267578125,6382.0001220703125,11376.400146484375,4666.9000244140625,2803.9999389648438,-115.0,1.0,0.1249577130815114,-0.8067890883281192,0.5190963832439972,b6b5b9138ab,iCrazyBad,7.0,-1529.3599853515625,-5100.509765625,864.1400146484375,-6756.9000244140625,2958.800048828125,6462.2998046875,-3.8999998569488525,1294.4000244140625,3.1999999284744263,255.0,219.0,False,0.7678415112880264,-0.01324647575380146,1.561857738270821,True,124.0,False,4,5,False,,889383288701620212,KING_KIA7,8.0,24.100000381469727,-3412.530029296875,16.989999771118164,-1356.0000610351562,-16576.600341796875,4.799999892711639,-0.0,-0.5999999865889549,-1944.9000549316406,228.0,0.0,,-0.009579943073512545,-1.4280519148244568,-5.7695763675875496e-05,False,177.0,False,6,6,True,,enpitsu,76561198039309853,28,77.38999938964844,786.0700073242188,17.049999237060547,2685.7998657226562,-13839.89990234375,2.5999999046325684,0.19999999552965164,-0.5999999865889549,0.0,255.0,0.0,False,-0.016753144651783687,-1.7624994045544748,-6.020805249707345e-05,True,False,False,216.0,False,False,,games5425898691,bf81d8692db,24.0,-1686.5999755859375,-5031.41015625,891.52001953125,-1251.2999725341797,4292.200012207031,10079.500122070312,-1342.5,1788.0999755859375,-3580.8999633789062,128.0,255.0,,1.0139467642190607,-3.0376081813325087,-1.7776831499007906,True,10,False,12,85.0,False,
7,607,15.0,True,True,0,2661.140634373147,907.530029296875,3183.22998046875,505.5,-3091.7001342773438,19623.699951171875,368.4000015258789,-3632.9000854492188,-2716.400146484375,3927.0999145507812,0.0,-0.6986878634198395,0.773203625359204,0.25324189730998636,76561198039309853,enpitsu,27.0,902.7999877929688,3007.7099609375,368.05999755859375,4962.200012207031,13143.00048828125,1513.0000305175781,4935.899963378906,1430.3999328613281,1959.4999694824219,128.0,128.0,,-0.8061953633013987,0.5998433677051003,0.49916077145817855,True,156.0,False,False,2,False,,bf81d8692db,games5425898691,24.0,2133.760009765625,3678.919921875,459.2200012207031,1349.7000122070312,-4514.800109863281,-12010.699462890625,-314.4000053405762,-85.10000228881836,-144.60000038146973,255.0,128.0,,-0.37667473439228805,-1.4812806297719954,-0.2702483926606265,False,85.0,False,12,10,True,,iCrazyBad,b6b5b9138ab,7,772.4500122070312,3036.469970703125,295.739990234375,-13152.80029296875,-3971.099853515625,-11593.499755859375,-2328.000030517578,788.0999755859375,4161.199951171875,255.0,141.0,False,-0.6173545443349615,-3.0861099503995204,0.733245963362266,True,6,False,0.0,False,6,,KING_KIA7,889383288701620212,8.0,72.26000213623047,4169.52978515625,16.989999771118164,-3745.7000732421875,11101.500244140625,4.799999892711639,0.09999999776482582,-1.0000000149011612,1807.7999877929688,255.0,255.0,,0.009542742518897659,1.8995353681543108,0.0003299655504872546,True,6,False,6,207.0,False,34.0
8,920,16.0,False,False,1,5185.797811763097,2.4200000762939453,31.770000457763672,101.08000183105469,611.5000152587891,6869.6002197265625,1643.0999755859375,1120.6999969482422,108.19999694824219,-184.40000534057617,1.0,0.005687742763794355,0.009031691245855206,-0.05600765684355501,889383288701620212,KING_KIA7,8.0,-10.0,-160.42999267578125,16.709999084472656,-2029.4000244140625,4507.5,-148.90000343322754,310.9000015258789,132.60000228881836,-1923.3000183105469,255.0,128.0,,-0.002419391076840099,1.189009166714773,-1.4234835547100805e-05,True,0.0,False,False,False,False,,b6b5b9138ab,iCrazyBad,7.0,2913.860107421875,-3195.9599609375,17.010000228881836,-8407.60009765625,8232.39990234375,2.0000000298023224,-0.3999999910593033,0.7000000029802322,12.300000190734863,183.0,128.0,False,-0.009595879571792757,0.7727893637166334,-7.754280618537206e-05,False,255.0,False,False,False,True,,enpitsu,76561198039309853,27,-109.37999725341797,2245.580078125,17.049999237060547,-27.59999990463257,-16675.0,-2.0999999344348907,-0.0,-1.2999999523162842,71.70000076293945,255.0,128.0,False,-0.01678526910950758,-1.5765001896958466,-9.715190580650869e-05,True,False,False,98.05254190198835,True,False,,games5425898691,bf81d8692db,24.0,-373.9200134277344,-1887.489990234375,21.93000030517578,-5444.0997314453125,-20840.0,-1950.3999328613281,1688.6000061035156,-3630.8999633789062,2145.7000732421875,255.0,0.0,,0.053867033471289606,-1.2446398034307262,-0.12206126167669766,False,4,False,4,24.787062424485402,True,
9,936,17.0,False,False,1,4788.466503209554,37.83000183105469,429.05999755859375,97.94000244140625,528.6999893188477,5676.300048828125,852.9000091552734,-1802.7000427246094,296.1000061035156,-184.40000534057617,1.0,0.10083915472121269,0.09915797242427275,-0.5686147623461477,889383288701620212,KING_KIA7,8.0,-101.1500015258789,284.3599853515625,79.5999984741211,5551.099853515625,7824.1998291015625,3481.4999389648438,770.9999847412109,4152.200012207031,-3137.0001220703125,255.0,0.0,,-0.009960198952012105,1.791409790876343,0.050540213559033056,True,0.0,False,3,4,False,,b6b5b9138ab,iCrazyBad,7.0,2320.760009765625,-2687.510009765625,17.010000228881836,-10259.599609375,7238.2000732421875,2.0000000298023224,-0.19999999552965164,-0.0,14.40000057220459,172.0,128.0,False,-0.009575892423154892,0.612216198227928,-4.470456237447684e-05,False,255.0,False,False,False,True,,enpitsu,76561198039309853,27,-5.929999828338623,1055.7099609375,22.0,4351.7999267578125,-22027.60009765625,2992.3001098632812,-0.5999999865889549,4.300000071525574,321.30001068115234,255.0,0.0,False,-0.01678409539649501,-1.7907247132732012,-0.00018103876166567016,True,2,False,55.78929037945245,True,1,,games5425898691,bf81d8692db,24.0,-1193.6800537109375,-2919.550048828125,16.989999771118164,-20654.29931640625,-7598.2000732421875,5.099999904632568,-0.0,-0.0,-1995.8000183105469,255.0,0.0,,-0.009579603390459308,-0.273013281140307,-7.387348325158152e-06,False,4,False,4,0.0,False,
