,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_double_jump_active,opp_1_jump_active,opp_1_boost,opp_1_boost_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_dodge_active,opp_2_jump_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,shot_taker_handbrake
0,307,5,False,0,3430.734547940559,-746.3699951171875,1712.530029296875,210.80999755859375,7480.5999755859375,18182.900390625,7111.500244140625,3741.7999267578125,2456.9000244140625,-3995.1998901367188,0.0,-0.3937444459370646,2.980391747804254,0.9566939370229429,bf81d8692db,games5425898691,24.0,-768.739990234375,1541.1300048828125,57.86000061035156,2271.6000366210938,16900.30029296875,2833.2998657226562,-2211.9000244140625,-4826.000061035156,1437.5,128.0,255.0,0.01565831382135682,1.1826684990111056,-0.16094619486862094,True,3,False,4,,False,,76561198039309853,enpitsu,26.0,-3399.050048828125,-310.2099914550781,17.059999465942383,-9987.7001953125,9804.199829101562,1.899999976158142,0.7999999821186066,-0.5999999865889549,-1890.3999328613281,255.0,0.0,False,0.016758832860418515,2.3304697667062118,-0.00014443434343554628,True,2,,False,2,False,,PGLO VANTAGE,2535440011133815,11.0,-2177.610107421875,3602.75,17.010000228881836,4751.099853515625,16202.39990234375,2.3000000417232513,0.3999999910593033,0.7999999821186066,-1861.4999389648438,254.0,0.0,,0.009614888564324638,1.2338318601940126,-0.00011859799959439698,True,6,False,6,197.0,False,,SnoobYz,42861e50c3624bce982793a1e5496a78,9,2335.280029296875,2186.639892578125,75.18000030517578,-16474.49951171875,15073.00048828125,-1247.7999877929688,-2557.899932861328,1103.6000061035156,-1304.4999694824219,255.0,0.0,False,-0.345305272067154,2.8145360122780616,-0.6921149207069959,True,10,10,False,171.0,False,,
1,657,17,True,0,1756.442756774573,820.4500122070312,4767.31982421875,333.2300109863281,-21337.80029296875,5499.7998046875,-3999.89990234375,-2378.2000732421875,-2242.7999877929688,5031.199951171875,0.0,0.16782225201886203,2.937868596999068,-1.1130139270562822,76561198039309853,enpitsu,26.0,1004.3200073242188,4597.60009765625,357.8500061035156,-11987.39990234375,8631.799926757812,-1571.6999816894531,-1271.9999694824219,253.1999969482422,356.8000030517578,255.0,255.0,0.23785497608835582,1.7749910933522532,1.4274293603622121,True,4,False,6,23.0,False,,bf81d8692db,games5425898691,24.0,763.8200073242188,5054.27001953125,721.969970703125,-12046.300048828125,6594.0997314453125,2775.7000732421875,1487.5,-1104.5999908447266,5178.499755859375,255.0,128.0,,0.16886850749309332,2.990159443644301,0.3674792665679009,True,8,75.0,False,10,False,,PGLO VANTAGE,2535440011133815,11.0,1609.3900146484375,4784.10009765625,127.97000122070312,743.3999633789062,1921.300048828125,-2036.9000244140625,-2468.000030517578,553.1999969482422,-22.40000009536743,254.0,128.0,,0.4601840298314043,-1.7869247400042543,0.010363993459526216,True,8,4,12,185.0,False,,SnoobYz,42861e50c3624bce982793a1e5496a78,9,1160.9599609375,4215.58984375,494.32000732421875,1700.2999877929688,-6119.69970703125,3572.39990234375,-1150.8999633789062,-311.9000053405762,962.5,230.0,190.0,,-0.8776723689959863,0.028203640300005377,-0.8153537375498151,True,12,14,4,155.0,False,,
2,940,18,False,1,5142.191490139468,0.18000000715255737,76.44000244140625,95.5,-171.20000839233398,31328.701171875,1933.9999389648438,-710.1000213623047,-267.09999084472656,-3891.7999267578125,1.0,-0.007540615811812079,0.0973158360815219,0.01741927538047945,2535440011133815,PGLO VANTAGE,11.0,-10.859999656677246,-182.3699951171875,98.36000061035156,-5070.4998779296875,22375.0,1626.9999694824219,-3883.599853515625,-3823.699951171875,738.7999725341797,254.0,237.0,-0.43355895826794477,1.903521361105322,-0.5816578506512858,True,5,False,6,9.644808697444143,True,,42861e50c3624bce982793a1e5496a78,SnoobYz,9.0,-3105.030029296875,-4151.27978515625,17.010000228881836,-17212.39990234375,8103.4002685546875,1.7000000178813934,-0.29999999329447746,0.29999999329447746,-3551.300048828125,255.0,0.0,False,-0.009593611127742124,0.8265333779379285,-0.0001129347113500128,True,False,251.8526626145968,True,False,False,,enpitsu,76561198039309853,25.0,-0.0,4770.8701171875,17.049999237060547,-0.0,-3890.4000854492188,2.5999999046325684,0.7999999821186066,-0.0,0.0,255.0,,,-0.016517885932029172,-1.5707729566138313,-2.5279878503283695e-07,True,False,False,False,116.0,False,,games5425898691,bf81d8692db,24,8.5600004196167,418.0199890136719,93.13999938964844,-2782.6998901367188,-22631.99951171875,2411.7999267578125,5049.599914550781,-2158.000030517578,307.39999771118164,128.0,134.0,,-0.6629571762795741,-1.4844309812286283,0.2547407292677876,True,3,4,False,31.0,False,,
3,2951,82,False,0,4809.98351334313,-2358.820068359375,557.8499755859375,152.02000427246094,13220.400390625,22326.10107421875,9195.30029296875,5043.999938964844,2745.1998901367188,1738.0999755859375,0.0,-0.0855817294663324,1.3764064654190868,0.4612388633746375,bf81d8692db,games5425898691,24.0,-2434.64990234375,325.05999755859375,62.66999816894531,14756.800537109375,17420.799560546875,2762.6998901367188,-3302.0001220703125,3040.8999633789062,-906.8000030517578,255.0,145.0,0.0999226585251597,0.6767919759016516,-0.008479497941215657,True,11,False,12,96.0,False,,76561198039309853,enpitsu,25.0,-879.1199951171875,-242.35000610351562,17.049999237060547,-2246.300048828125,2409.1000366210938,2.5999999046325684,-1.4000000059604645,1.7000000178813934,-348.80001068115234,255.0,128.0,False,0.016597459670469328,2.330166686617946,5.150912272574979e-05,True,6,128.0,False,6,False,,PGLO VANTAGE,2535440011133815,11.0,1403.8599853515625,1922.8499755859375,17.0,-7216.199951171875,20776.298828125,3.400000035762787,0.0,-0.5000000074505806,0.0,254.0,128.0,,0.00958630781320305,1.9050873035151603,4.673621660562229e-05,True,16,False,16,242.0,False,,SnoobYz,42861e50c3624bce982793a1e5496a78,9,-1190.6099853515625,759.22998046875,132.02000427246094,-21696.79931640625,4549.2999267578125,3657.9000854492188,-4.699999988079071,1293.8999938964844,1246.9999694824219,255.0,128.0,,-0.28047599908883253,-2.851114238716329,-0.04263893763572063,True,14,16,False,0.0,False,,
4,3084,87,False,0,3137.650155097912,2026.97998046875,3999.3701171875,526.1799926757812,-9897.000122070312,8568.400268554688,-7181.7999267578125,-1872.2000122070312,-1242.7999877929688,5563.2000732421875,0.0,0.16378097985960152,-0.6698108131405371,-2.5547400848005624,76561198039309853,enpitsu,25.0,2178.830078125,3878.679931640625,541.219970703125,1078.7999725341797,12178.499755859375,3823.599853515625,-2375.0999450683594,-3097.3001098632812,-3874.89990234375,255.0,255.0,-0.69100178349327,2.324333220451152,-1.0703334572054508,True,7,False,8,51.0,False,,bf81d8692db,games5425898691,24.0,2249.110107421875,3869.090087890625,391.45001220703125,-9610.800170898438,17987.099609375,3721.0000610351562,2161.3999938964844,-3896.300048828125,-3224.2999267578125,255.0,255.0,,-0.4344233869106813,2.3270200080048706,-1.0513648128073003,True,13,30.649195494190323,True,14,False,,PGLO VANTAGE,2535440011133815,11.0,-3443.360107421875,4584.64013671875,204.1199951171875,779.1999816894531,429.70001220703125,-1158.8999938964844,-372.40001678466797,-326.50001525878906,-33.80000114440918,255.0,0.0,,0.010068574615976907,0.7994129239253432,1.3513926925031872,True,16,4,18,179.0,False,,SnoobYz,42861e50c3624bce982793a1e5496a78,9,-2021.8900146484375,4719.2998046875,17.010000228881836,18264.49951171875,5212.8997802734375,3.400000035762787,2.3999999463558197,0.0,-1982.7000427246094,255.0,0.0,False,0.00963982900943559,0.20534930464112325,-0.00012938157774841072,True,18,18,False,0.0,False,,False
5,3474,101,False,1,2243.1196835667492,-1220.9300537109375,4398.25,95.33000183105469,5009.4000244140625,6840.2001953125,1088.3000183105469,-1384.7000122070312,5638.800048828125,1511.6999816894531,1.0,0.442539973656363,2.6353850901847866,2.607486660138676,42861e50c3624bce982793a1e5496a78,SnoobYz,9.0,-1241.7099609375,4223.22998046875,17.0,4725.4998779296875,3430.2999877929688,3.6000001430511475,-0.19999999552965164,-0.09999999776482582,2263.6000061035156,255.0,255.0,-0.009516298333304104,2.5397558083155363,7.815762715281498e-05,,26,4,28,0.0,False,,2535440011133815,PGLO VANTAGE,10.0,-791.3599853515625,2940.06005859375,17.030000686645508,10936.800537109375,9852.000122070312,-0.09999999776482582,-2.5,-1.0000000149011612,1535.8000183105469,1.0,255.0,,-0.009924447446437027,2.377379399555409,0.0002032185525573526,True,20,170.0,False,22,4,,enpitsu,76561198039309853,25.0,-2280.85009765625,-326.05999755859375,17.049999237060547,10101.699829101562,9239.000244140625,3.100000023841858,-1.0000000149011612,-0.7000000029802322,1884.4999694824219,255.0,128.0,False,-0.016738603596441054,2.3756620858256565,0.0002465656367003879,True,14,False,16,255.0,False,,games5425898691,bf81d8692db,24,-806.0499877929688,5052.580078125,25.420000076293945,9686.300048828125,-2365.399932861328,-2107.7999877929688,-5348.4002685546875,911.8000030517578,-901.2999725341797,0.0,128.0,,-0.05865007654653105,-2.64899310051053,0.3670781452191816,True,18,18,False,18.0,False,,
6,3484,102,False,1,2001.5446950974324,-1042.43994140625,4641.3701171875,93.20999908447266,4977.300109863281,6080.10009765625,711.6000366210938,-2946.199951171875,5044.5001220703125,1368.2000732421875,1.0,-0.9562903759121384,1.0067306554219149,-1.897245795610223,42861e50c3624bce982793a1e5496a78,SnoobYz,9.0,-1095.6199951171875,4475.85009765625,16.989999771118164,1525.2999877929688,8551.099853515625,4.600000083446503,0.19999999552965164,0.29999999329447746,999.8000335693359,251.0,174.0,-0.009536462001796682,1.7039560618444465,-0.00020768119312615616,,26,4,28,0.0,False,,2535440011133815,PGLO VANTAGE,10.0,-490.6400146484375,3335.3701171875,17.030000686645508,8635.800170898438,11044.200439453125,0.0,1.0000000149011612,1.4000000059604645,-1836.199951171875,255.0,7.0,,-0.009576668728526569,2.259411647854565,-0.000281218845210494,True,20,170.0,False,22,4,,enpitsu,76561198039309853,25.0,-2025.1600341796875,39.369998931884766,17.049999237060547,6757.9998779296875,12258.699951171875,2.5999999046325684,0.3999999910593033,0.7999999821186066,57.199997901916504,255.0,128.0,False,-0.01674986779583624,2.067664081003033,-9.299145003803336e-05,True,14,False,16,255.0,False,,games5425898691,bf81d8692db,24,-685.3499755859375,5009.02978515625,17.010000228881836,-673.1999969482422,473.49998474121094,2.0999999344348907,0.5999999865889549,-2.199999988079071,17.899999618530273,128.0,87.0,,-0.009639222751427206,-2.5391908185097067,-8.51448714853258e-05,True,18,18,False,18.0,False,,
7,3531,104,True,1,1167.2471651580827,-179.24000549316406,4685.77001953125,251.52000427246094,-17561.300048828125,11861.400146484375,2366.0000610351562,3477.39990234375,-1298.800048828125,-4713.800048828125,1.0,-0.27102566359091873,-0.523237984126466,-0.820916233372813,2535440011133815,PGLO VANTAGE,11.0,-9.859999656677246,4589.22998046875,168.82000732421875,-11709.3994140625,6119.0997314453125,3805.5999755859375,4817.799987792969,-2120.800018310547,-1593.800048828125,254.0,255.0,0.5954893139012184,0.5653625702403187,-0.30276331205812135,True,21,4,24,129.29114824982102,True,,42861e50c3624bce982793a1e5496a78,SnoobYz,8.0,-533.3400268554688,5238.43994140625,16.479999542236328,3407.60009765625,3048.599853515625,-100.9000015258789,130.2999973297119,243.50000381469727,1116.8000030517578,255.0,255.0,False,-0.011884277880653929,2.4539604262226233,-0.02427687883671609,,26,0.0,False,28,4,,enpitsu,76561198039309853,25.0,-900.9099731445312,2338.7099609375,17.049999237060547,2756.199951171875,17116.300048828125,0.9000000357627869,0.3999999910593033,2.0000000298023224,166.8000030517578,255.0,128.0,False,-0.016785289897644492,1.7131866865949212,-0.00016446284344967207,True,14,False,16,225.0,False,,games5425898691,bf81d8692db,24,-623.8599853515625,5353.08984375,29.850000381469727,1650.8000183105469,1015.5999755859375,-2863.9999389648438,-2385.8999633789062,-4189.800109863281,-2646.199951171875,255.0,128.0,,-0.2076547803602986,-2.450654987323289,-0.004786143644993122,True,20,20,False,18.0,False,,
8,4439,127,True,0,1008.86585562042,-1059.9200439453125,4144.5400390625,347.79998779296875,19366.199951171875,11062.60009765625,1213.0999755859375,1416.7999267578125,2477.2000122070312,-5277.80029296875,0.0,0.045772948409917434,-3.094106547459319,-0.20242978693946345,bf81d8692db,games5425898691,24.0,-1172.27001953125,3997.590087890625,216.60000610351562,3782.3001098632812,14585.50048828125,3288.3999633789062,1248.7999725341797,785.9999847412109,-883.3999633789062,255.0,58.0,-1.025799804430148,0.3217245738866991,0.5422905165141677,True,12,False,12,185.00615058150342,True,,76561198039309853,enpitsu,25.0,-1830.699951171875,4093.280029296875,17.030000686645508,7071.300048828125,-12251.199951171875,5.199999809265137,0.0,0.5000000074505806,0.0,255.0,128.0,False,0.01676458464242588,-1.047324477994795,4.406908287941546e-05,True,6,196.0,False,8,False,,PGLO VANTAGE,2535440011133815,11.0,-1047.6300048828125,4425.4599609375,118.4000015258789,5187.5,-13606.300048828125,3808.900146484375,-2652.0001220703125,-240.0,-1380.2000427246094,254.0,173.0,False,-0.28612325869560973,-1.6409265062470444,0.03849782711410771,False,12,False,14,34.9697635891617,True,,SnoobYz,42861e50c3624bce982793a1e5496a78,8,-1152.1099853515625,4358.4599609375,149.2899932861328,12818.199462890625,-10911.099853515625,3795.8999633789062,-1220.199966430664,-1094.1000366210938,-1672.1000671386719,255.0,68.0,,-0.39668148818341725,-1.2833203017792225,0.08845871511680098,True,12,14,False,189.51243861516315,True,,
9,4839,133,True,0,3423.270834435467,-3297.110107421875,2700.030029296875,155.99000549316406,18846.99951171875,15697.60009765625,3590.2999877929688,-227.80000686645508,-2753.2000732421875,5326.099853515625,0.0,-0.09592764555587224,-2.4975589702814087,1.8468606053036243,76561198039309853,enpitsu,25.0,-3391.760009765625,2656.389892578125,44.40999984741211,15668.699951171875,12697.5,1965.3999328613281,-1193.0000305175781,5366.199951171875,172.00000762939453,255.0,128.0,0.06865816095233591,0.600258974923909,0.020052247634874804,True,3,False,4,238.0,False,,bf81d8692db,games5425898691,24.0,-3226.010009765625,3233.360107421875,17.010000228881836,-72.69999980926514,17802.80029296875,2.0999999344348907,0.0,-0.7999999821186066,-157.7999973297119,255.0,128.0,,0.009606627761789239,1.5563303389283694,0.00012888557882664002,True,6,4.0,False,6,False,,PGLO VANTAGE,2535440011133815,11.0,-3723.179931640625,1425.25,80.6500015258789,1517.7999877929688,17719.200439453125,447.59998321533203,-4057.9998779296875,-3620.7998657226562,-819.7000122070312,255.0,244.0,,0.21042879143384252,0.8418261526171663,-1.3719733857666654,,7,False,8,,False,,SnoobYz,42861e50c3624bce982793a1e5496a78,9,-1194.3599853515625,4090.860107421875,17.010000228881836,-9097.999877929688,16091.199951171875,1.8000000715255737,2.8999999165534973,-3.0000001192092896,4.600000083446503,244.0,0.0,False,0.009609854594381425,2.256770759288933,-0.0003678142833708198,True,4,4,False,222.0,False,,
