,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_dodge_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_dodge_active,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_double_jump_active,opp_2_dodge_active,opp_2_jump_active,opp_2_boost_collect,opp_2_handbrake
0,175,0,False,True,0,5125.108641569558,0.6700000166893005,93.94000244140625,97.04000091552734,-275.10000228881836,30306.298828125,1542.5999450683594,-5326.300048828125,327.5,-42.69999980926514,0.0,0.010744978490290944,-0.002380806041997626,-0.17753837325948083,76561198419557807,FRKZDMR,11.0,9.800000190734863,-163.94000244140625,73.75,1688.800048828125,22776.39892578125,2716.4999389648438,-1034.5999908447266,77.89999961853027,-4.900000095367432,255.0,128.0,,0.05719354884701177,1.495292105102982,1.602593716445793e-05,True,21.260172100477334,True,4,6,False,,8770c947f1404cf98c6570e8452169d5,Gummiged V2,14.0,110.22000122070312,-4577.43017578125,17.049999237060547,-58.29999923706055,7390.9002685546875,2.7000001072883606,-0.7999999821186066,0.0,0.0,236.0,128.0,,0.016594295309480565,1.5787231860802078,4.674655238238213e-06,True,116.0,False,4,False,4,,enpitsu,76561198039309853,28,19.59000015258789,319.0899963378906,158.9199981689453,-1398.9999389648438,-22931.0009765625,338.49998474121094,3662.60009765625,620.4999923706055,-4055.7998657226562,255.0,0.0,,1.2288379557005629,1.595633778175495,-2.8476507561937097,True,1,31.0,False,2,False,,games5425898691,30ede34f15234a558b3594e92eb7afb6,16.0,3082.909912109375,4297.68017578125,17.010000228881836,7132.1002197265625,14393.399658203125,2.3000000417232513,-0.29999999329447746,0.0,1968.5000610351562,128.0,255.0,0.009613384547082668,1.178869282475532,3.6210852729467916e-05,True,255.0,False,False,False,False,,
1,176,0,False,False,1,5372.425810079855,11.949999809265137,-159.19000244140625,90.4000015258789,11779.3994140625,15423.699951171875,-11160.0,-4016.4999389648438,338.6000061035156,-4444.4000244140625,1.0,-0.01639431014265021,0.12644151558343777,-0.19940430996243422,76561198039309853,enpitsu,28.0,-19.59000015258789,-319.0899963378906,158.9199981689453,1398.9999389648438,22931.0009765625,338.49998474121094,-3662.60009765625,-620.4999923706055,-4055.7998657226562,255.0,0.0,,-1.2288379557005629,-1.595633778175495,-2.8476507561937097,True,31.0,False,1,2,False,,30ede34f15234a558b3594e92eb7afb6,games5425898691,16.0,-3082.909912109375,-4297.68017578125,17.010000228881836,-7132.1002197265625,-14393.399658203125,2.3000000417232513,0.29999999329447746,-0.0,1968.5000610351562,128.0,255.0,,-0.009613384547082668,-1.178869282475532,3.6210852729467916e-05,True,255.0,False,False,False,False,,Gummiged V2,8770c947f1404cf98c6570e8452169d5,14,-110.22000122070312,4577.43017578125,17.049999237060547,58.29999923706055,-7390.9002685546875,2.7000001072883606,0.7999999821186066,-0.0,0.0,236.0,128.0,,-0.016594295309480565,-1.5787231860802078,4.674655238238213e-06,True,4,116.0,False,4,False,,FRKZDMR,76561198419557807,11.0,-18.520000457763672,25.93000030517578,89.30999755859375,-831.9000244140625,-22898.40087890625,1991.9999694824219,591.5999984741211,1071.500015258789,3117.9000854492188,255.0,128.0,0.1211438575826556,-1.729342947777892,-0.057492416781112866,True,18.13628401551197,True,False,5,6,,
2,177,0,False,False,0,5047.060370722212,-59.34000015258789,162.77000427246094,97.36000061035156,-20597.19970703125,7017.5,-1756.1000061035156,3502.9998779296875,3661.7999267578125,-3212.39990234375,0.0,-0.0799309904032773,-0.22839757927660567,0.004037170838636159,76561198419557807,FRKZDMR,11.0,18.520000457763672,-25.93000030517578,89.30999755859375,831.9000244140625,22898.40087890625,1991.9999694824219,-591.5999984741211,-1071.500015258789,3117.9000854492188,255.0,128.0,,-0.1211438575826556,1.729342947777892,-0.057492416781112866,True,14.971509707871318,True,5,6,False,,8770c947f1404cf98c6570e8452169d5,Gummiged V2,14.0,110.22000122070312,-4577.43017578125,17.049999237060547,-58.29999923706055,7390.9002685546875,2.7000001072883606,-0.7999999821186066,0.0,0.0,236.0,128.0,,0.016594295309480565,1.5787231860802078,4.674655238238213e-06,True,116.0,False,4,False,4,,enpitsu,76561198039309853,28,19.59000015258789,319.0899963378906,158.9199981689453,-1398.9999389648438,-22931.0009765625,338.49998474121094,3662.60009765625,620.4999923706055,-4055.7998657226562,255.0,0.0,,1.2288379557005629,1.595633778175495,-2.8476507561937097,True,1,31.0,False,2,False,,games5425898691,30ede34f15234a558b3594e92eb7afb6,16.0,3130.25,4420.10009765625,17.010000228881836,4515.299987792969,14957.5,2.3000000417232513,0.0,-0.19999999552965164,2015.0,255.0,255.0,0.009600698813958416,1.3448079719757262,2.3903041650516418e-05,True,255.0,False,False,False,False,,
3,286,4,False,False,0,4545.598832742061,-3982.60009765625,1803.030029296875,557.010009765625,14814.7998046875,14207.39990234375,9884.299926757812,-161.8000030517578,3783.9999389648438,-4653.399963378906,0.0,0.16231611504819912,-2.22065411049161,1.6272598528990854,8770c947f1404cf98c6570e8452169d5,Gummiged V2,14.0,-4080.580078125,1740.719970703125,430.69000244140625,-674.8000335693359,15242.39990234375,10472.5,3606.7001342773438,-1527.5999450683594,-1570.0999450683594,122.0,255.0,,-0.6987773948092054,1.5863384679353545,1.5458270803884686,True,233.0,False,6,6,False,,76561198419557807,FRKZDMR,10.0,3254.97998046875,482.9200134277344,17.020000457763672,13626.700439453125,-10993.499755859375,0.7999999821186066,-0.09999999776482582,0.0,-144.3000030517578,255.0,128.0,,0.009602949039700418,-0.6941406025527701,7.763327572991781e-05,True,,False,6,False,6,,enpitsu,76561198039309853,28,-2005.8900146484375,3165.52001953125,15.729999542236328,-11940.0,13559.100341796875,-503.1999969482422,-515.8000183105469,-1383.2000732421875,-649.4000244140625,255.0,0.0,,0.01732035180761644,2.2495219616234423,-0.0009328636062408611,True,4,,False,4,False,,games5425898691,30ede34f15234a558b3594e92eb7afb6,17.0,-3477.5400390625,4566.18017578125,359.989990234375,5478.2000732421875,4869.4000244140625,12413.800048828125,-1559.9000549316406,1116.8000030517578,56.99999809265137,255.0,0.0,-1.0130302573415475,0.7638464493349126,1.6038779311556326,True,255.0,False,False,False,False,,
4,348,6,False,False,1,10033.425531872632,743.72998046875,-4892.27001953125,1083.6500244140625,-4345.400085449219,14085.0,-4435.199890136719,-1286.4999389648438,-3122.0001220703125,4959.599914550781,1.0,0.3986727868811626,2.92344728520403,1.320088427575202,30ede34f15234a558b3594e92eb7afb6,games5425898691,17.0,703.760009765625,-5021.27978515625,1076.0,-6013.699951171875,8928.200073242188,-3204.4000244140625,-935.0,-1048.1999969482422,-2707.6998901367188,255.0,19.0,,-0.21980730157935077,0.07285103909299219,1.568779294554159,True,235.0,False,3,4,False,,76561198039309853,enpitsu,28.0,459.4700012207031,-4654.10009765625,17.059999465942383,-5487.60009765625,138.90000343322754,1.1999999731779099,0.5999999865889549,0.3999999910593033,0.0,128.0,128.0,,-0.016893303132490576,0.0253621821880222,5.013359731353709e-05,True,,False,4,False,4,,Gummiged V2,8770c947f1404cf98c6570e8452169d5,14,2374.7900390625,-2814.659912109375,883.5,-9265.10009765625,235.30000686645508,-5473.0999755859375,-2929.2001342773438,4360.199890136719,-1630.3999328613281,128.0,43.0,,-0.37633704656272443,1.5902538591592192,2.0329190841952887,True,8,169.4412473170988,True,8,False,,FRKZDMR,76561198419557807,10.0,-1946.0799560546875,-954.3400268554688,17.020000457763672,6032.0001220703125,-15494.3994140625,0.7999999821186066,-0.0,-0.0,-1.0999999940395355,255.0,128.0,-0.009599332535483365,-1.9418561862051196,1.6275839570331557e-05,True,207.0,False,False,6,6,,False
5,442,9,False,False,0,4297.610549305476,584.9299926757812,1105.6099853515625,98.05999755859375,5500.7000732421875,2777.60009765625,-245.59999465942383,2288.9999389648438,2056.3999938964844,2150.7000732421875,0.0,-0.06535925348304938,-1.4385628404484567,0.4663912663074025,8770c947f1404cf98c6570e8452169d5,Gummiged V2,14.0,512.010009765625,986.6099853515625,17.059999465942383,4186.300048828125,-177.60000228881836,2.5,-0.5999999865889549,0.0,-358.69998931884766,24.0,0.0,False,0.01723127177362338,0.026849358155356516,-0.00029201791644373773,True,128.0,False,8,8,False,,76561198419557807,FRKZDMR,10.0,-1869.8599853515625,2248.27001953125,16.969999313354492,-5523.599853515625,-8095.10009765625,12.899999618530273,2.199999988079071,-2.800000011920929,2323.9999389648438,255.0,255.0,False,0.009327125417864018,-2.135123896317922,4.829998637251598e-06,True,162.0,False,8,False,8,,enpitsu,76561198039309853,28,348.95001220703125,4237.97998046875,17.059999465942383,9976.699829101562,2433.8999938964844,2.0999999344348907,-0.29999999329447746,0.0,2381.300048828125,255.0,255.0,,0.016690219540637662,0.2866515580439278,3.75796341599475e-05,True,4,31.0,False,4,False,,games5425898691,30ede34f15234a558b3594e92eb7afb6,17.0,961.0999755859375,1956.56005859375,61.90999984741211,-2754.1000366210938,-18937.2998046875,3030.2999877929688,-1027.0999908447266,148.59999656677246,-160.6999969482422,255.0,69.0,-0.037949082680301775,-1.7202949242482657,0.00011814417904753808,True,165.47252488649016,True,False,4,6,,
6,451,10,False,False,1,6348.478586037685,-707.75,-1002.5700073242188,117.61000061035156,-1800.8000183105469,28415.50048828125,5121.6998291015625,334.59999084472656,2489.7999572753906,5448.699951171875,1.0,-0.6575606565922523,0.4259612421298219,0.4191954989391216,30ede34f15234a558b3594e92eb7afb6,games5425898691,17.0,-740.8200073242188,-1239.239990234375,132.85000610351562,8450.800170898438,17817.80029296875,142.5,-1196.2999725341797,5339.000244140625,-559.900016784668,255.0,16.0,,-0.3993206687119106,1.7605230375493857,1.025210974048212,True,137.31356568490307,True,5,6,False,,76561198039309853,enpitsu,28.0,-631.22998046875,-4431.39013671875,17.059999465942383,-7955.9002685546875,-7789.89990234375,1.8000000715255737,-1.2999999523162842,-1.2999999523162842,-1435.8999633789062,255.0,0.0,False,-0.016698299887323482,-0.8152278392251147,-0.0006346067456457605,True,31.0,False,4,False,4,,Gummiged V2,8770c947f1404cf98c6570e8452169d5,18,-628.7999877929688,-939.280029296875,15.449999809265137,-3999.89990234375,4108.999938964844,-493.49998474121094,-1628.8999938964844,-372.2999954223633,-2316.999969482422,255.0,255.0,False,-0.05129026361377762,0.4247861703541323,0.058880443428200806,True,8,128.0,False,8,False,,FRKZDMR,76561198419557807,10.0,1939.6099853515625,-1928.3900146484375,17.010000228881836,-1600.5000305175781,10597.60009765625,2.5,-0.0,-0.0,2381.699981689453,255.0,255.0,-0.009541893461854144,1.3655123019548856,-6.54981668554527e-06,True,162.0,False,False,8,8,,False
7,452,10,False,False,0,4462.851722382305,720.4600219726562,980.1799926757812,137.6999969482422,11149.49951171875,-9423.599853515625,13170.6005859375,5910.2001953125,-1024.1000366210938,-143.4000015258789,0.0,0.6904937900704485,-0.2914455504346143,0.6409063679096295,8770c947f1404cf98c6570e8452169d5,Gummiged V2,18.0,628.7999877929688,939.280029296875,15.449999809265137,3999.89990234375,-4108.999938964844,-493.49998474121094,1628.8999938964844,372.2999954223633,-2316.999969482422,255.0,255.0,False,0.05129026361377762,-0.4247861703541323,0.058880443428200806,True,128.0,False,8,8,False,,76561198419557807,FRKZDMR,10.0,-1916.6199951171875,1841.4100341796875,17.010000228881836,3701.0000610351562,-10237.2998046875,2.5,0.0,0.0,2383.2000732421875,255.0,255.0,False,0.009538684746822217,-1.1669508681083112,5.776377142381345e-06,True,162.0,False,8,False,8,,enpitsu,76561198039309853,28,700.8800048828125,4494.1201171875,17.059999465942383,8717.39990234375,7220.5999755859375,2.0000000298023224,2.0000000298023224,1.899999976158142,-2326.7999267578125,255.0,0.0,False,0.01670983968183693,0.6496039697492708,-0.00037893432798667156,True,4,31.0,False,4,False,,games5425898691,30ede34f15234a558b3594e92eb7afb6,17.0,740.8200073242188,1239.239990234375,132.85000610351562,-8450.800170898438,-17817.80029296875,142.5,1196.2999725341797,-5339.000244140625,-559.900016784668,255.0,16.0,0.3993206687119106,-1.7605230375493857,1.025210974048212,True,134.15732477557276,True,False,5,6,,
8,566,14,False,False,1,5035.900097143486,-3361.699951171875,2450.7099609375,103.77999877929688,11702.5,18856.99951171875,8719.500122070312,-2654.7000122070312,4147.0001220703125,3428.3999633789062,1.0,-0.515884938952822,0.26304733930521423,0.46728851953167666,30ede34f15234a558b3594e92eb7afb6,games5425898691,17.0,-3436.909912109375,2326.75,50.34000015258789,3625.5999755859375,18809.000244140625,3061.199951171875,1936.6000366210938,-3058.2998657226562,-1054.000015258789,255.0,154.0,,0.14147346536935693,1.9270515993558262,-0.07183411661678325,True,130.0,False,7,8,False,,76561198039309853,enpitsu,28.0,-2987.780029296875,-431.5799865722656,17.059999465942383,10405.799560546875,12940.2001953125,1.4000000059604645,4.600000083446503,5.699999928474426,-1090.1000213623047,255.0,128.0,,-0.01677701556599332,2.2935926002452187,-4.494015368209785e-05,True,254.0,False,4,False,4,,Gummiged V2,8770c947f1404cf98c6570e8452169d5,15,-3002.25,4225.4501953125,17.049999237060547,592.599983215332,-4719.2999267578125,2.800000011920929,0.09999999776482582,0.5000000074505806,2037.8999328613281,240.0,255.0,,-0.01662214251816369,-1.6317762199733994,8.709070992306185e-05,True,8,255.0,False,10,False,,FRKZDMR,76561198419557807,10.0,-62.83000183105469,5045.1298828125,17.010000228881836,-5615.5999755859375,1160.6999969482422,2.0000000298023224,0.3999999910593033,-0.0,1199.7000122070312,255.0,128.0,-0.009482809799263392,-0.25464002196957974,-0.00010772098988301424,True,226.0,False,False,10,10,,False
9,633,16,False,False,0,9199.006771477583,835.760009765625,-3894.530029296875,341.29998779296875,-3818.800048828125,26272.60009765625,614.7999954223633,1797.7999877929688,-1987.7000427246094,4036.7001342773438,0.0,-1.1006241540368318,1.4402900270903278,0.47618291592612305,76561198419557807,FRKZDMR,10.0,792.72998046875,-4036.659912109375,237.35000610351562,-995.4000091552734,15108.699951171875,2212.7999877929688,-3755.10009765625,-3883.9999389648438,-1031.1000061035156,128.0,255.0,False,-0.4922103369752355,0.7115537216444143,-0.49754859942768476,True,172.7421504118109,True,11,12,False,,8770c947f1404cf98c6570e8452169d5,Gummiged V2,15.0,1033.8900146484375,-3890.840087890625,160.75999450683594,-19913.399658203125,7403.599853515625,2856.7999267578125,-1492.1000671386719,-693.6000061035156,2661.199951171875,255.0,45.0,,-0.5960589562865337,-2.993889663308795,0.9534575197035495,True,201.7421504118109,True,12,False,9,,enpitsu,76561198039309853,28,-255.0399932861328,-804.5700073242188,17.059999465942383,-8110.8001708984375,11656.500244140625,1.899999976158142,0.0,0.0,-2164.1000366210938,255.0,0.0,,0.01676601384753831,2.1140969494516297,-2.6637140027171308e-05,True,4,255.0,False,4,False,,games5425898691,30ede34f15234a558b3594e92eb7afb6,17.0,1713.449951171875,-4889.16015625,14.720000267028809,-11426.8994140625,10955.999755859375,404.70001220703125,30.0,-133.59999656677246,-1347.5,255.0,0.0,-0.025421321807920158,2.354274996282277,-0.043574009013655775,True,95.54324287240223,True,False,8,8,,
