,frame,time,goal,shot,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_handbrake,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_dodge_active,shot_taker_double_jump_active,shot_taker_jump_active,shot_taker_boost,shot_taker_boost_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_dodge_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost,opp_2_boost_active,opp_2_boost_collect,opp_2_handbrake
0,174,0,False,False,1,5062.156964539427,-43.61000061035156,165.80999755859375,108.1500015258789,-7423.4002685546875,29184.49951171875,2724.8001098632812,-4487.200012207031,-1658.800048828125,3621.199951171875,1.0,-0.06785417418679822,-0.2240855580544736,0.27318621038221597,76561198970889287,❦????3???,14.0,14.270000457763672,-77.5,70.81999969482422,-11154.7998046875,16779.69970703125,2352.899932861328,4059.2999267578125,-3657.2000122070312,-629.3999862670898,128.0,255.0,True,0.17864152327080465,1.2016176073983467,-0.29864457381128584,True,5,False,6,0.0,False,,76561199052932933,kiani,8.0,-3193.6201171875,-4124.1201171875,17.010000228881836,-16068.499755859375,-1201.9999694824219,3.400000035762787,-0.0,-0.0,-3261.099853515625,255.0,0.0,False,-0.009602784926506168,0.4509111426200004,-4.9372297800068155e-05,True,False,False,255.0,False,False,,enpitsu,76561198039309853,26,2766.320068359375,4105.39990234375,17.049999237060547,14261.800537109375,255.79999923706055,4.000000059604645,1.5000000596046448,-0.0,-2612.0999145507812,255.0,0.0,False,-0.016770762938539734,-3.0555090143054615,-0.00015530852485923712,True,0.0,False,False,False,False,,games5425898691,bf81d8692db,24.0,23.670000076293945,391.8500061035156,86.56999969482422,-590.4999923706055,-22829.49951171875,2027.2000122070312,5495.7000732421875,-216.20000839233398,-5.600000023841858,128.0,128.0,-0.7769261136564833,-1.5304565407200232,-0.0009116164634561378,True,4,3,False,31.0,False,,
1,175,0,False,False,0,5433.080953536248,95.08999633789062,-201.9199981689453,137.9600067138672,21679.29931640625,4058.599853515625,11399.49951171875,4665.4998779296875,773.3000183105469,-3692.5,0.0,0.06489421154741984,0.1385355709427147,0.5653479719647658,bf81d8692db,games5425898691,24.0,-23.670000076293945,-391.8500061035156,86.56999969482422,590.4999923706055,22829.49951171875,2027.2000122070312,-5495.7000732421875,216.20000839233398,-5.600000023841858,128.0,128.0,,0.7769261136564833,1.5304565407200232,-0.0009116164634561378,True,3,False,4,31.0,False,,76561198039309853,enpitsu,26.0,-2893.739990234375,-4091.25,17.049999237060547,-13503.1005859375,3077.6998901367188,4.000000059604645,-1.0000000149011612,0.5000000074505806,-2563.9999389648438,255.0,0.0,False,0.016772560812400056,2.8158112077152775,-3.930452476485256e-05,True,False,False,255.0,False,False,40.0,kiani,76561199052932933,8,3193.6201171875,4124.1201171875,17.010000228881836,16068.499755859375,1201.9999694824219,3.400000035762787,0.0,0.0,-3261.099853515625,255.0,0.0,False,0.009602784926506168,-0.4509111426200004,-4.9372297800068155e-05,True,255.0,False,False,False,False,,❦????3???,76561198970889287,14.0,-14.270000457763672,77.5,70.81999969482422,11154.7998046875,-16779.69970703125,2352.899932861328,-4059.2999267578125,3657.2000122070312,-629.3999862670898,128.0,255.0,-0.17864152327080465,-1.2016176073983467,-0.29864457381128584,True,6,5,False,0.0,False,,True
2,177,0,False,False,1,5068.3737746487295,-255.69000244140625,204.2100067138672,212.67999267578125,-31156.99951171875,10047.39990234375,11812.099609375,3548.699951171875,1133.499984741211,4703.299865722656,1.0,-0.056933810752471156,-0.13152794995296213,0.6539469337262893,76561198970889287,❦????3???,14.0,-97.26000213623047,89.29000091552734,90.98999786376953,-11244.3994140625,15788.399658203125,2013.699951171875,4046.6000366210938,-3606.099853515625,933.0999755859375,128.0,255.0,True,0.27976556953165793,1.1477583023760003,-1.0885770119656077,True,5,False,6,0.0,False,,76561199052932933,kiani,8.0,-3339.27001953125,-4114.5400390625,17.010000228881836,-12976.500244140625,2820.10009765625,3.799999952316284,-0.0,0.29999999329447746,-3467.60009765625,255.0,0.0,False,-0.009586580636243973,0.7900362188236759,-3.994016976422878e-05,True,False,False,255.0,False,False,,enpitsu,76561198039309853,26,2893.739990234375,4091.25,17.049999237060547,13503.1005859375,-3077.6998901367188,4.000000059604645,1.0000000149011612,-0.5000000074505806,-2563.9999389648438,255.0,0.0,False,-0.016772560812400056,-2.8158112077152775,-3.930452476485256e-05,True,248.7155012802411,True,False,False,False,,games5425898691,bf81d8692db,24.0,25.649999618530273,191.3000030517578,92.3499984741211,333.80001068115234,-19028.699951171875,-113.90000343322754,5255.999755859375,-1613.2000732421875,-146.49999618530273,128.0,105.0,-1.4733895938444108,-2.618272717911941,1.3501597208446734,True,4,3,False,31.0,False,,
3,270,3,False,False,0,8310.66127717734,288.82000732421875,-3085.77001953125,157.4600067138672,8840.10009765625,13259.69970703125,4640.0,2258.3999633789062,-4611.499938964844,3103.599853515625,0.0,0.22788596649481604,1.3086176317766278,-0.12570383450896672,76561198039309853,enpitsu,26.0,215.82000732421875,-3169.280029296875,87.22000122070312,12687.60009765625,4707.300109863281,534.5000076293945,-4900.899963378906,2340.399932861328,867.6000213623047,255.0,255.0,False,0.6312820986854913,0.43521751397165626,-0.3767585322054007,True,1,False,2,212.0,False,,bf81d8692db,games5425898691,24.0,-3525.780029296875,116.75,17.010000228881836,-9293.699951171875,-19276.600341796875,2.800000011920929,0.29999999329447746,0.7000000029802322,1911.0000610351562,255.0,255.0,,0.009592102939498923,-1.9536752699556135,9.154676827660288e-05,True,False,4,255.0,False,4,,kiani,76561199052932933,8,86.5999984741211,-520.0999755859375,17.010000228881836,-20705.70068359375,3234.8001098632812,3.0000001192092896,0.0,0.0,-2010.3999328613281,255.0,0.0,False,0.009573880802810516,2.9077261304048108,-2.1957876467126232e-05,True,200.0,False,4,False,4,,❦????3???,76561198970889287,15.0,4038.139892578125,-3872.60009765625,387.55999755859375,5454.89990234375,16890.0,-4039.5001220703125,-427.40001678466797,-710.1000213623047,1425.0,255.0,128.0,0.2257574367803104,1.2578717779191901,-1.5848272791462494,True,8,8,False,198.0,False,,False
4,327,5,False,False,1,5410.3448251045465,-1951.3199462890625,539.5,181.9600067138672,9240.700073242188,3326.6000366210938,8101.5997314453125,1781.4999389648438,-4990.5999755859375,2814.2001342773438,1.0,1.1089977931411987,0.9344678537561433,-1.7646196486506465,76561198970889287,❦????3???,14.0,-2096.7099609375,484.6300048828125,63.56999969482422,22299.29931640625,-5054.2999267578125,2488.6000061035156,-4223.699951171875,2343.2000732421875,1281.9000244140625,128.0,255.0,True,-0.014550571619225568,-2.672099221583459,-0.14632238331379985,True,9,False,10,127.74034400652816,True,,76561199052932933,kiani,8.0,-1196.02001953125,-1598.7099609375,17.010000228881836,-3729.89990234375,-16344.000244140625,2.5999999046325684,-0.19999999552965164,-2.199999988079071,731.2000274658203,255.0,173.0,False,-0.009585111464756796,-1.3866165262735552,-0.00016497933078627865,True,False,4,135.0,False,4,,enpitsu,76561198039309853,26,-2332.639892578125,1120.760009765625,17.020000457763672,5589.1998291015625,-21578.00048828125,3.3000001311302185,-0.0,-0.0,2055.7000732421875,255.0,255.0,,-0.01677104236908653,-1.9020856353964617,-4.273064228863015e-06,True,86.69355713936592,True,2,False,2,,games5425898691,bf81d8692db,24.0,2022.6400146484375,4021.2099609375,17.010000228881836,-15385.50048828125,12098.00048828125,2.5999999046325684,-0.7000000029802322,0.3999999910593033,215.0,128.0,128.0,-0.009642425083335838,0.6414007123093665,-0.0001502378027622695,True,4,4,False,217.0,False,,
5,397,8,False,False,1,3813.4814843404665,272.95001220703125,1377.760009765625,134.89999389648438,2840.7000732421875,16001.099853515625,-1038.3000183105469,1185.6999969482422,-619.0000152587891,-5849.000244140625,1.0,-0.9272533491589572,-0.4755788635440183,-2.3053325861911538,76561198970889287,❦????3???,14.0,288.55999755859375,1233.8199462890625,178.75999450683594,-11945.400390625,15853.399658203125,208.89999389648438,-5456.099853515625,685.0,106.70000076293945,128.0,0.0,True,-0.044512335597084327,0.17817983372490365,1.3930800411570088,True,11,False,12,112.0,False,,76561199052932933,kiani,8.0,791.9299926757812,-903.4400024414062,17.010000228881836,5412.2998046875,-10958.499755859375,3.100000023841858,-0.0,-0.0,-2361.999969482422,255.0,0.0,False,-0.009541637490776154,-1.9617114350753753,6.944267795601325e-06,True,False,4,95.0,False,4,,enpitsu,76561198039309853,26,213.3800048828125,1524.8399658203125,87.16000366210938,9401.699829101562,-13736.400146484375,7514.7998046875,-288.700008392334,940.0,-451.5999984741211,255.0,0.0,,-0.05446843827232702,3.1145585348622173,-0.021830155464272312,True,70.0,False,4,False,3,,games5425898691,bf81d8692db,24.0,384.2900085449219,1503.719970703125,73.12999725341797,13579.3994140625,-18202.099609375,3603.699951171875,875.5999755859375,5233.599853515625,-1446.3999938964844,255.0,128.0,-0.0809297965852902,-2.1470235559974964,-0.24723832028393017,True,6,5,False,192.0,False,,
6,398,8,False,False,0,6522.275420896919,-346.5400085449219,-1359.0899658203125,161.2100067138672,-14967.900390625,6626.300048828125,4648.299865722656,1270.8999633789062,1198.3000183105469,-1454.6000671386719,0.0,1.0248340176703652,-0.0012477121826335567,-2.490524887981242,76561198039309853,enpitsu,26.0,-264.0899963378906,-1496.8199462890625,113.83999633789062,-10877.60009765625,-363.49998474121094,2225.500030517578,1458.0000305175781,-3265.7998657226562,4178.299865722656,255.0,0.0,,0.22941673486810185,-2.8586051483448105,-0.26175084773566026,True,3,False,4,70.0,False,,bf81d8692db,games5425898691,24.0,-384.2900085449219,-1503.719970703125,73.12999725341797,-13579.3994140625,18202.099609375,3603.699951171875,-875.5999755859375,-5233.599853515625,-1446.3999938964844,255.0,128.0,,0.0809297965852902,2.1470235559974964,-0.24723832028393017,True,False,5,192.0,False,6,,kiani,76561199052932933,8,-791.9299926757812,903.4400024414062,17.010000228881836,-5412.2998046875,10958.499755859375,3.100000023841858,0.0,0.0,-2361.999969482422,255.0,0.0,False,0.009541637490776154,1.9617114350753753,6.944267795601325e-06,True,95.0,False,4,False,4,,❦????3???,76561198970889287,14.0,-288.55999755859375,-1233.8199462890625,178.75999450683594,11945.400390625,-15853.399658203125,208.89999389648438,5456.099853515625,-685.0,106.70000076293945,128.0,0.0,0.044512335597084327,-0.17817983372490365,1.3930800411570088,True,12,11,False,112.0,False,,True
7,399,8,False,False,0,6475.098525461153,-371.3699951171875,-1313.81005859375,183.33999633789062,-5885.2001953125,14404.300537109375,6913.900146484375,2958.2998657226562,593.6999893188477,-5185.999755859375,0.0,1.046910090750907,-0.008432401074778013,-2.2808308847494065,bf81d8692db,games5425898691,24.0,-499.1499938964844,-1354.3199462890625,100.04000091552734,-14074.7998046875,17500.400390625,2868.3999633789062,-3565.5999755859375,-3486.7001342773438,-2318.9999389648438,255.0,128.0,,0.5744574978097647,1.8531427228248216,-0.5065759027513881,True,5,False,6,192.0,False,,76561198039309853,enpitsu,26.0,-264.0899963378906,-1496.8199462890625,113.83999633789062,-10877.60009765625,-363.49998474121094,2225.500030517578,1458.0000305175781,-3265.7998657226562,4178.299865722656,255.0,0.0,,0.22941673486810185,-2.8586051483448105,-0.26175084773566026,True,False,3,70.0,False,4,,kiani,76561199052932933,8,-826.760009765625,999.0,17.010000228881836,-3153.5000610351562,11815.50048828125,3.100000023841858,-0.09999999776482582,0.0,-2353.699951171875,255.0,0.0,False,0.009559314281392907,1.765334203261522,-2.4425571238475587e-06,True,95.0,False,4,False,4,,❦????3???,76561198970889287,14.0,-195.42999267578125,-1265.4100341796875,195.49000549316406,10771.400146484375,-1793.3999633789062,2261.3999938964844,5285.7000732421875,-1013.3999633789062,-1133.0000305175781,128.0,0.0,0.14818557870394616,-0.25151966532179376,2.283145387636378,True,12,11,False,112.0,False,,True
8,452,10,False,False,1,6536.506383317221,1482.6199951171875,-1370.1300048828125,290.1700134277344,19172.60009765625,20922.80029296875,4415.400085449219,-764.1999816894531,-633.6999893188477,-5917.19970703125,1.0,-0.9657670370906097,-0.03782871853077531,3.0837883754221775,76561199052932933,kiani,8.0,1430.260009765625,-1509.9200439453125,199.91000366210938,9265.499877929688,13396.600341796875,1432.2000122070312,2843.2000732421875,-3336.099853515625,3322.0001220703125,255.0,128.0,False,0.18111588202429357,1.6857839050721393,0.8191970254735268,True,5,False,6,35.63451181175889,True,,76561198970889287,❦????3???,15.0,-2175.469970703125,1076.0699462890625,16.989999771118164,-17045.899658203125,-9736.500244140625,2.800000011920929,0.3999999910593033,0.19999999552965164,235.6999969482422,255.0,128.0,False,-0.009602666979375825,-0.5403343771320473,-8.921163835640281e-05,True,False,12,61.470666567484535,True,12,,enpitsu,76561198039309853,26,2231.739990234375,2189.780029296875,17.030000686645508,6621.199951171875,15066.300048828125,1.4000000059604645,0.29999999329447746,1.0000000149011612,91.70000076293945,255.0,128.0,,-0.016774339063216133,1.974676045225672,-0.00011658387796590227,False,1.080653782813787,True,4,False,4,,games5425898691,bf81d8692db,24.0,2106.14990234375,-1753.030029296875,17.020000457763672,-11112.19970703125,-11126.8994140625,1.7000000178813934,0.3999999910593033,-0.0,-2036.6000366210938,255.0,0.0,-0.00956911159694186,-0.7170104730093309,3.092549757276211e-05,True,6,6,False,192.0,False,,
9,518,12,False,False,0,8269.054792725083,-2931.429931640625,-2874.6298828125,167.97999572753906,26595.30029296875,16194.69970703125,3813.3999633789062,2109.600067138672,1525.7000732421875,-5405.5999755859375,0.0,0.20619532346455957,0.5124763751283936,-0.712504535490034,76561198039309853,enpitsu,26.0,-3029.3701171875,-3023.389892578125,162.0500030517578,14530.0,10030.30029296875,2530.2999877929688,-1456.4999389648438,4840.0,2168.6000061035156,255.0,0.0,False,0.5452242153868715,0.9198691636069182,0.41774172923747227,True,5,False,6,201.0,False,,bf81d8692db,games5425898691,24.0,1230.6600341796875,-1279.4200439453125,17.010000228881836,8680.800170898438,-20794.7998046875,2.800000011920929,0.0,-0.3999999910593033,-328.8999938964844,255.0,128.0,,0.009604463020823796,-1.206396910508324,0.00012489487728325306,True,False,8,148.0,False,8,,kiani,76561199052932933,8,-2877.989990234375,-2163.4599609375,119.6500015258789,4485.799865722656,-20989.09912109375,2759.89990234375,4703.500061035156,2797.9000854492188,545.9000015258789,255.0,251.0,False,0.7484251510719981,-1.0781086059341505,-0.014267198282700797,True,0.0,False,8,False,7,,❦????3???,76561198970889287,15.0,789.1500244140625,805.3800048828125,16.989999771118164,-15998.00048828125,1696.7999267578125,5.099999904632568,-3.8999998569488525,-0.5000000074505806,-999.4000244140625,0.0,128.0,0.009871830062116806,2.9644364024028014,0.0001035839306193839,True,12,12,False,225.0,False,,False
